,chartjs/chart.js,highcharts/highcharts,d3/d3
2022-05-28,0,0,0
2022-05-29,0,0,0
2022-05-30,0,16,0
2022-05-31,1,4,0
2022-06-01,1,5,0
2022-06-02,0,1,0
2022-06-03,0,10,0
2022-06-04,0,0,0
2022-06-05,0,0,0
2022-06-06,1,1,0
2022-06-07,1,9,0
2022-06-08,1,0,0
2022-06-09,0,0,0
2022-06-10,0,1,0
2022-06-11,0,0,0
2022-06-12,0,1,0
2022-06-13,1,13,0
2022-06-14,0,4,0
2022-06-15,0,11,0
2022-06-16,0,7,0
2022-06-17,0,10,0
2022-06-18,0,1,0
2022-06-19,0,0,0
2022-06-20,1,2,0
2022-06-21,0,17,0
2022-06-22,4,7,0
2022-06-23,0,16,0
2022-06-24,0,14,2
2022-06-25,0,2,0
2022-06-26,0,2,2
2022-06-27,0,9,0
2022-06-28,0,0,0
2022-06-29,5,0,0
2022-06-30,0,2,0
2022-07-01,0,0,0
2022-07-02,0,0,0
2022-07-03,0,0,4
2022-07-04,0,27,0
2022-07-05,0,9,0
2022-07-06,0,17,0
2022-07-07,2,5,0
2022-07-08,0,34,0
2022-07-09,0,14,0
2022-07-10,0,1,0
2022-07-11,0,9,0
2022-07-12,0,10,0
2022-07-13,0,6,0
2022-07-14,0,17,0
2022-07-15,0,2,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,2,5,0
2022-07-19,0,6,0
2022-07-20,5,2,0
2022-07-21,0,2,0
2022-07-22,0,0,0
2022-07-23,0,0,0
2022-07-24,3,0,0
2022-07-25,2,2,0
2022-07-26,2,2,0
2022-07-27,3,4,0
2022-07-28,1,1,0
2022-07-29,1,0,0
2022-07-30,5,0,0
2022-07-31,0,0,0
2022-08-01,1,4,0
2022-08-02,1,2,0
2022-08-03,4,0,0
2022-08-04,2,35,0
2022-08-05,5,70,0
2022-08-06,1,0,0
2022-08-07,2,0,0
2022-08-08,0,14,0
2022-08-09,0,5,0
2022-08-10,0,12,0
2022-08-11,0,24,0
2022-08-12,1,2,0
2022-08-13,0,0,0
2022-08-14,0,0,0
2022-08-15,0,13,0
2022-08-16,0,19,0
2022-08-17,1,2,0
2022-08-18,10,19,0
2022-08-19,0,7,0
2022-08-20,0,0,0
2022-08-21,0,0,0
2022-08-22,10,5,0
2022-08-23,2,15,0
2022-08-24,0,17,0
2022-08-25,0,9,0
2022-08-26,0,4,0
2022-08-27,0,0,0
2022-08-28,0,0,0
2022-08-29,1,16,0
2022-08-30,0,6,0
2022-08-31,4,6,0
2022-09-01,1,4,0
2022-09-02,2,19,0
2022-09-03,0,0,0
2022-09-04,0,0,0
2022-09-05,0,0,0
2022-09-06,1,26,0
2022-09-07,0,31,0
2022-09-08,0,8,0
2022-09-09,0,2,0
2022-09-10,2,0,0
2022-09-11,0,0,0
2022-09-12,0,14,0
2022-09-13,2,15,0
2022-09-14,1,4,0
2022-09-15,1,3,0
2022-09-16,1,0,0
2022-09-17,0,0,0
2022-09-18,0,0,0
2022-09-19,0,11,0
2022-09-20,0,7,0
2022-09-21,0,23,0
2022-09-22,0,8,0
2022-09-23,0,9,0
2022-09-24,2,0,0
2022-09-25,0,3,0
2022-09-26,1,12,0
2022-09-27,3,3,0
2022-09-28,2,6,0
2022-09-29,0,5,0
2022-09-30,3,10,0
2022-10-01,1,0,0
2022-10-02,0,0,0
2022-10-03,0,6,0
2022-10-04,0,5,0
2022-10-05,0,17,0
2022-10-06,3,29,0
2022-10-07,4,10,0
2022-10-08,0,0,0
2022-10-09,1,0,0
2022-10-10,0,3,0
2022-10-11,0,2,0
2022-10-12,5,2,0
2022-10-13,0,1,0
2022-10-14,0,3,0
2022-10-15,0,0,0
2022-10-16,0,0,0
2022-10-17,2,4,0
2022-10-18,0,13,0
2022-10-19,4,0,0
2022-10-20,0,1,0
2022-10-21,1,0,0
2022-10-22,1,0,0
2022-10-23,0,0,0
2022-10-24,1,3,0
2022-10-25,0,4,0
2022-10-26,2,17,0
2022-10-27,1,13,0
2022-10-28,0,9,0
2022-10-29,0,1,0
2022-10-30,0,1,0
2022-10-31,0,23,0
2022-11-01,1,13,0
2022-11-02,0,14,0
2022-11-03,0,16,0
2022-11-04,3,10,0
2022-11-05,0,2,0
2022-11-06,0,0,0
2022-11-07,0,7,0
2022-11-08,1,11,0
2022-11-09,0,6,0
2022-11-10,0,7,0
2022-11-11,1,37,0
2022-11-12,2,0,0
2022-11-13,2,0,0
2022-11-14,1,13,0
2022-11-15,1,10,0
2022-11-16,0,14,0
2022-11-17,3,14,0
2022-11-18,3,18,0
2022-11-19,0,0,0
2022-11-20,0,0,0
2022-11-21,1,13,0
2022-11-22,0,19,0
2022-11-23,1,10,0
2022-11-24,1,17,0
2022-11-25,3,8,0
2022-11-26,0,4,0
2022-11-27,0,0,0
2022-11-28,0,20,0
2022-11-29,0,24,0
2022-11-30,1,16,0
2022-12-01,0,29,0
2022-12-02,0,18,0
2022-12-03,0,0,2
2022-12-04,0,0,0
2022-12-05,0,21,0
2022-12-06,0,29,0
2022-12-07,0,7,0
2022-12-08,0,5,0
2022-12-09,1,24,0
2022-12-10,2,7,0
2022-12-11,0,0,0
2022-12-12,0,40,1
2022-12-13,1,15,0
2022-12-14,3,21,0
2022-12-15,4,11,0
2022-12-16,6,21,0
2022-12-17,2,0,0
2022-12-18,0,0,0
2022-12-19,1,26,0
2022-12-20,3,94,3
2022-12-21,0,56,0
2022-12-22,1,12,0
2022-12-23,0,9,0
2022-12-24,0,2,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,0,6,0
2022-12-28,0,7,0
2022-12-29,0,17,0
2022-12-30,0,11,0
2022-12-31,0,0,0
2023-01-01,0,0,0
2023-01-02,0,18,0
2023-01-03,0,27,0
2023-01-04,0,54,0
2023-01-05,2,35,0
2023-01-06,0,13,0
2023-01-07,0,1,0
2023-01-08,0,0,0
2023-01-09,0,16,0
2023-01-10,2,19,0
2023-01-11,0,16,2
2023-01-12,0,29,0
2023-01-13,5,26,0
2023-01-14,0,3,0
2023-01-15,0,2,0
2023-01-16,0,52,0
2023-01-17,0,48,0
2023-01-18,4,29,2
2023-01-19,0,31,0
2023-01-20,1,22,0
2023-01-21,0,0,0
2023-01-22,0,0,0
2023-01-23,0,32,0
2023-01-24,0,48,0
2023-01-25,0,45,0
2023-01-26,0,31,0
2023-01-27,1,30,0
2023-01-28,1,1,0
2023-01-29,0,1,0
2023-01-30,1,38,0
2023-01-31,0,28,0
2023-02-01,0,29,0
2023-02-02,1,23,0
2023-02-03,1,22,0
2023-02-04,0,1,0
2023-02-05,0,0,0
2023-02-06,0,32,0
2023-02-07,2,27,0
2023-02-08,1,22,0
2023-02-09,1,19,0
2023-02-10,4,8,0
2023-02-11,0,2,0
2023-02-12,2,0,0
2023-02-13,0,25,0
2023-02-14,0,20,0
2023-02-15,4,24,0
2023-02-16,0,17,0
2023-02-17,0,15,0
2023-02-18,0,1,0
2023-02-19,0,0,0
2023-02-20,0,12,0
2023-02-21,0,23,0
2023-02-22,1,17,0
2023-02-23,1,20,0
2023-02-24,0,18,0
2023-02-25,0,3,0
2023-02-26,1,1,0
2023-02-27,0,54,0
2023-02-28,0,34,0
2023-03-01,1,24,0
2023-03-02,0,17,0
2023-03-03,0,37,0
2023-03-04,0,1,0
2023-03-05,0,1,0
2023-03-06,0,38,0
2023-03-07,0,31,0
2023-03-08,0,20,0
2023-03-09,0,24,0
2023-03-10,0,34,0
2023-03-11,0,8,0
2023-03-12,0,1,0
2023-03-13,0,46,0
2023-03-14,0,35,0
2023-03-15,0,11,0
2023-03-16,0,18,0
2023-03-17,0,18,0
2023-03-18,0,2,0
2023-03-19,0,1,0
2023-03-20,0,36,0
2023-03-21,1,50,0
2023-03-22,0,26,0
2023-03-23,0,24,0
2023-03-24,0,16,0
2023-03-25,0,4,2
2023-03-26,0,0,0
2023-03-27,0,21,0
2023-03-28,0,25,0
2023-03-29,2,22,0
2023-03-30,0,19,0
2023-03-31,0,25,0
2023-04-01,0,1,2
2023-04-02,1,1,0
2023-04-03,0,23,0
2023-04-04,0,10,0
2023-04-05,0,4,0
2023-04-06,0,2,0
2023-04-07,0,6,0
2023-04-08,0,0,0
2023-04-09,0,0,0
2023-04-10,0,0,0
2023-04-11,0,39,0
2023-04-12,0,21,0
2023-04-13,0,24,0
2023-04-14,0,9,0
2023-04-15,0,2,0
2023-04-16,0,10,0
2023-04-17,0,40,0
2023-04-18,0,50,0
2023-04-19,2,43,0
2023-04-20,4,22,0
2023-04-21,0,26,0
2023-04-22,0,6,0
2023-04-23,0,6,0
2023-04-24,0,54,0
2023-04-25,0,35,0
2023-04-26,0,24,0
2023-04-27,2,13,0
2023-04-28,1,15,0
2023-04-29,0,1,0
2023-04-30,0,0,0
2023-05-01,0,1,0
2023-05-02,0,29,0
2023-05-03,0,15,0
2023-05-04,0,10,0
2023-05-05,0,6,0
2023-05-06,0,0,0
2023-05-07,0,1,0
2023-05-08,0,17,0
2023-05-09,0,28,0
2023-05-10,0,23,0
2023-05-11,0,18,0
2023-05-12,0,16,0
2023-05-13,0,1,0
2023-05-14,0,2,0
2023-05-15,0,19,0
2023-05-16,0,28,0
2023-05-17,0,12,0
2023-05-18,0,7,0
2023-05-19,4,7,0
2023-05-20,0,0,0
2023-05-21,0,0,0
2023-05-22,0,58,0
2023-05-23,0,37,0
2023-05-24,0,52,0
2023-05-25,1,15,0
2023-05-26,0,38,0
2023-05-27,0,1,0
2023-05-28,0,0,0
2023-05-29,0,4,0
2023-05-30,0,19,0
2023-05-31,1,18,0
2023-06-01,0,11,0
2023-06-02,0,13,0
2023-06-03,0,2,2
2023-06-04,1,0,0
2023-06-05,1,23,0
2023-06-06,0,16,0
2023-06-07,1,31,0
2023-06-08,1,7,18
2023-06-09,0,3,18
2023-06-10,0,1,7
2023-06-11,0,1,6
2023-06-12,0,9,6
2023-06-13,2,12,3
2023-06-14,0,16,9
2023-06-15,0,34,7
2023-06-16,0,33,8
2023-06-17,0,1,6
2023-06-18,0,1,2
2023-06-19,0,20,1
2023-06-20,3,39,1
2023-06-21,0,9,4
2023-06-22,0,34,5
2023-06-23,0,37,1
2023-06-24,0,0,0
2023-06-25,0,1,1
2023-06-26,0,35,0
2023-06-27,0,22,0
2023-06-28,0,43,0
2023-06-29,0,52,0
2023-06-30,0,40,0
2023-07-01,1,0,0
2023-07-02,0,5,0
2023-07-03,0,252,0
2023-07-04,0,40,0
2023-07-05,1,50,0
2023-07-06,0,42,0
2023-07-07,0,23,0
2023-07-08,0,0,0
2023-07-09,0,0,0
2023-07-10,0,30,0
2023-07-11,1,12,0
2023-07-12,0,12,0
2023-07-13,1,12,0
2023-07-14,0,22,0
2023-07-15,0,0,0
2023-07-16,0,0,0
2023-07-17,0,21,0
2023-07-18,0,12,0
2023-07-19,0,22,0
2023-07-20,0,3,0
2023-07-21,0,3,0
2023-07-22,0,0,0
2023-07-23,0,0,0
2023-07-24,3,15,0
2023-07-25,1,8,0
2023-07-26,2,7,0
2023-07-27,0,11,0
2023-07-28,0,4,0
2023-07-29,0,3,2
2023-07-30,0,0,0
2023-07-31,0,17,1
2023-08-01,0,23,0
2023-08-02,2,9,0
2023-08-03,0,16,0
2023-08-04,0,16,0
2023-08-05,0,0,0
2023-08-06,0,0,0
2023-08-07,4,15,0
2023-08-08,0,5,1
2023-08-09,0,19,0
2023-08-10,0,21,0
2023-08-11,0,14,0
2023-08-12,0,0,0
2023-08-13,0,0,0
2023-08-14,0,23,0
2023-08-15,0,3,0
2023-08-16,0,40,0
2023-08-17,0,38,0
2023-08-18,0,21,0
2023-08-19,0,0,0
2023-08-20,0,0,0
2023-08-21,0,52,2
2023-08-22,0,44,0
2023-08-23,0,34,1
2023-08-24,1,206,1
2023-08-25,0,24,0
2023-08-26,0,0,0
2023-08-27,0,1,0
2023-08-28,0,64,0
2023-08-29,0,32,0
2023-08-30,0,51,0
2023-08-31,0,68,0
2023-09-01,0,27,0
2023-09-02,0,0,0
2023-09-03,0,6,0
2023-09-04,1,45,0
2023-09-05,0,33,0
2023-09-06,1,27,0
2023-09-07,0,25,0
2023-09-08,0,21,0
2023-09-09,0,0,0
2023-09-10,0,0,0
2023-09-11,1,23,0
2023-09-12,0,30,0
2023-09-13,0,18,0
2023-09-14,2,25,0
2023-09-15,0,12,0
2023-09-16,0,0,0
2023-09-17,0,0,0
2023-09-18,0,25,0
2023-09-19,0,23,0
2023-09-20,0,28,0
2023-09-21,0,43,0
2023-09-22,0,16,0
2023-09-23,0,0,0
2023-09-24,0,0,0
2023-09-25,0,5,0
2023-09-26,0,20,0
2023-09-27,0,10,0
2023-09-28,0,28,0
2023-09-29,0,3,0
2023-09-30,0,5,0
2023-10-01,0,7,0
2023-10-02,0,15,0
2023-10-03,0,35,0
2023-10-04,0,17,1
2023-10-05,0,29,2
2023-10-06,0,51,1
2023-10-07,0,1,0
2023-10-08,0,9,0
2023-10-09,0,14,0
2023-10-10,0,6,0
2023-10-11,0,19,1
2023-10-12,0,30,1
2023-10-13,0,35,0
2023-10-14,0,0,0
2023-10-15,0,0,1
2023-10-16,0,34,0
2023-10-17,0,5,0
2023-10-18,0,16,0
2023-10-19,0,20,0
2023-10-20,0,49,0
2023-10-21,0,0,0
2023-10-22,0,1,0
2023-10-23,0,34,1
2023-10-24,0,11,0
2023-10-25,0,14,0
2023-10-26,0,23,0
2023-10-27,0,6,0
2023-10-28,0,7,0
2023-10-29,0,0,0
2023-10-30,1,12,1
2023-10-31,0,57,0
2023-11-01,0,20,0
2023-11-02,0,21,0
2023-11-03,0,30,1
2023-11-04,0,5,0
2023-11-05,0,0,0
2023-11-06,2,21,0
2023-11-07,0,19,1
2023-11-08,0,32,1
2023-11-09,2,12,0
2023-11-10,0,37,0
2023-11-11,0,1,0
2023-11-12,0,1,0
2023-11-13,0,20,0
2023-11-14,0,14,0
2023-11-15,0,34,0
2023-11-16,0,16,0
2023-11-17,1,11,0
2023-11-18,0,8,0
2023-11-19,0,1,0
2023-11-20,0,12,0
2023-11-21,0,6,0
2023-11-22,0,12,0
2023-11-23,0,34,0
2023-11-24,0,9,0
2023-11-25,0,0,0
2023-11-26,0,0,0
2023-11-27,0,8,0
2023-11-28,0,45,0
2023-11-29,1,25,0
2023-11-30,1,13,0
2023-12-01,0,7,0
2023-12-02,0,0,0
2023-12-03,0,1,0
2023-12-04,2,19,0
2023-12-05,0,36,0
2023-12-06,0,15,0
2023-12-07,0,53,0
2023-12-08,0,20,0
2023-12-09,0,13,0
2023-12-10,0,0,0
2023-12-11,0,16,0
2023-12-12,0,34,0
2023-12-13,0,15,0
2023-12-14,1,39,1
2023-12-15,0,12,0
2023-12-16,0,0,0
2023-12-17,0,1,0
2023-12-18,0,14,0
2023-12-19,0,6,0
2023-12-20,0,39,0
2023-12-21,0,5,0
2023-12-22,0,11,0
2023-12-23,0,0,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,0,0
2023-12-27,1,9,0
2023-12-28,0,5,0
2023-12-29,0,4,0
2023-12-30,0,0,0
2023-12-31,0,0,0
2024-01-01,0,0,0
2024-01-02,0,13,0
2024-01-03,0,15,0
2024-01-04,0,36,0
2024-01-05,0,11,0
2024-01-06,0,2,0
2024-01-07,0,4,0
2024-01-08,0,31,0
2024-01-09,1,17,0
2024-01-10,0,29,0
2024-01-11,0,58,0
2024-01-12,0,49,0
2024-01-13,0,8,0
2024-01-14,0,9,0
2024-01-15,0,9,0
2024-01-16,0,25,0
2024-01-17,0,29,0
2024-01-18,0,42,0
2024-01-19,0,12,0
2024-01-20,0,4,0
2024-01-21,0,2,0
2024-01-22,0,32,0
2024-01-23,0,21,0
2024-01-24,0,53,0
2024-01-25,0,24,0
2024-01-26,0,21,0
2024-01-27,0,16,0
2024-01-28,0,6,0
2024-01-29,0,33,1
2024-01-30,0,42,0
2024-01-31,0,26,0
2024-02-01,0,28,0
2024-02-02,0,33,0
2024-02-03,0,1,0
2024-02-04,0,2,0
2024-02-05,0,18,0
2024-02-06,0,25,0
2024-02-07,0,18,0
2024-02-08,0,7,0
2024-02-09,0,18,0
2024-02-10,0,2,0
2024-02-11,0,2,0
2024-02-12,1,23,0
2024-02-13,0,16,0
2024-02-14,0,28,0
2024-02-15,0,24,0
2024-02-16,0,19,0
2024-02-17,0,3,0
2024-02-18,1,5,0
2024-02-19,0,45,0
2024-02-20,0,94,0
2024-02-21,0,31,0
2024-02-22,0,22,0
2024-02-23,0,42,0
2024-02-24,1,8,0
2024-02-25,0,1,0
2024-02-26,0,39,0
2024-02-27,0,60,0
2024-02-28,2,40,0
2024-02-29,0,54,0
2024-03-01,0,34,0
2024-03-02,0,0,0
2024-03-03,0,0,0
2024-03-04,0,33,0
2024-03-05,0,15,0
2024-03-06,0,22,0
2024-03-07,0,18,0
2024-03-08,0,25,0
2024-03-09,0,1,0
2024-03-10,0,2,0
2024-03-11,1,29,0
2024-03-12,0,30,6
2024-03-13,0,51,0
2024-03-14,0,20,0
2024-03-15,0,36,0
2024-03-16,0,4,0
2024-03-17,0,0,0
2024-03-18,0,18,0
2024-03-19,0,32,0
2024-03-20,0,106,0
2024-03-21,0,24,0
2024-03-22,0,26,0
2024-03-23,0,0,0
2024-03-24,0,0,0
2024-03-25,0,25,0
2024-03-26,0,12,0
2024-03-27,0,67,0
2024-03-28,0,5,0
2024-03-29,0,4,0
2024-03-30,0,0,0
2024-03-31,0,0,0
2024-04-01,0,0,0
2024-04-02,0,21,0
2024-04-03,0,15,0
2024-04-04,0,38,0
2024-04-05,0,35,0
2024-04-06,0,4,0
2024-04-07,0,1,0
2024-04-08,0,24,0
2024-04-09,0,20,1
2024-04-10,0,19,0
2024-04-11,0,18,0
2024-04-12,0,29,0
2024-04-13,0,0,0
2024-04-14,0,0,0
2024-04-15,0,14,0
2024-04-16,0,29,0
2024-04-17,0,28,0
2024-04-18,0,16,0
2024-04-19,0,27,0
2024-04-20,0,4,0
2024-04-21,0,0,0
2024-04-22,0,38,0
2024-04-23,0,29,0
2024-04-24,0,27,0
2024-04-25,0,31,2
2024-04-26,0,19,0
2024-04-27,0,0,0
2024-04-28,0,0,0
2024-04-29,3,21,0
2024-04-30,0,29,0
2024-05-01,0,6,0
2024-05-02,0,24,0
2024-05-03,0,21,0
2024-05-04,0,1,0
2024-05-05,0,0,0
2024-05-06,1,36,0
2024-05-07,0,35,0
2024-05-08,0,18,0
2024-05-09,0,6,0
2024-05-10,0,24,0
2024-05-11,0,6,0
2024-05-12,0,0,0
2024-05-13,0,15,0
2024-05-14,0,31,0
2024-05-15,0,21,0
2024-05-16,0,22,0
2024-05-17,2,8,0
2024-05-18,0,1,0
2024-05-19,0,0,0
2024-05-20,0,8,0
2024-05-21,2,21,0
2024-05-22,0,39,0
2024-05-23,0,4,0
