,tensorflow/models,huggingface/transformers,pytorch/vision
2020-03-12,8,7,3
2020-03-13,5,6,4
2020-03-14,5,1,0
2020-03-15,4,0,0
2020-03-16,3,7,4
2020-03-17,11,11,4
2020-03-18,3,8,0
2020-03-19,6,23,1
2020-03-20,4,5,2
2020-03-21,1,0,0
2020-03-22,1,0,0
2020-03-23,0,9,3
2020-03-24,2,13,3
2020-03-25,7,5,0
2020-03-26,4,15,0
2020-03-27,5,10,0
2020-03-28,1,0,0
2020-03-29,1,2,0
2020-03-30,7,11,5
2020-03-31,7,16,5
2020-04-01,7,7,4
2020-04-02,9,5,5
2020-04-03,8,10,5
2020-04-04,5,7,0
2020-04-05,2,2,0
2020-04-06,3,19,3
2020-04-07,1,8,5
2020-04-08,6,6,2
2020-04-09,4,5,2
2020-04-10,7,7,2
2020-04-11,2,2,0
2020-04-12,2,0,0
2020-04-13,7,2,0
2020-04-14,4,2,4
2020-04-15,7,2,1
2020-04-16,9,12,1
2020-04-17,12,8,0
2020-04-18,1,6,0
2020-04-19,2,0,0
2020-04-20,9,10,0
2020-04-21,6,4,1
2020-04-22,8,6,0
2020-04-23,5,9,1
2020-04-24,34,6,2
2020-04-25,21,1,0
2020-04-26,8,0,1
2020-04-27,6,9,2
2020-04-28,3,14,2
2020-04-29,2,5,3
2020-04-30,1,4,0
2020-05-01,13,16,0
2020-05-02,2,11,0
2020-05-03,0,1,0
2020-05-04,5,2,5
2020-05-05,3,4,6
2020-05-06,10,7,0
2020-05-07,5,17,3
2020-05-08,5,9,0
2020-05-09,2,0,0
2020-05-10,2,3,0
2020-05-11,4,17,5
2020-05-12,9,12,3
2020-05-13,5,7,0
2020-05-14,12,14,4
2020-05-15,3,10,1
2020-05-16,0,0,0
2020-05-17,1,1,0
2020-05-18,6,19,6
2020-05-19,12,13,3
2020-05-20,8,13,5
2020-05-21,11,4,3
2020-05-22,4,15,0
2020-05-23,2,1,0
2020-05-24,4,0,0
2020-05-25,2,11,0
2020-05-26,7,11,3
2020-05-27,4,10,0
2020-05-28,4,7,0
2020-05-29,11,8,4
2020-05-30,2,0,1
2020-05-31,0,0,1
2020-06-01,4,25,3
2020-06-02,8,11,0
2020-06-03,11,7,1
2020-06-04,10,14,3
2020-06-05,3,13,1
2020-06-06,1,3,0
2020-06-07,0,1,0
2020-06-08,6,9,0
2020-06-09,7,9,1
2020-06-10,8,14,1
2020-06-11,4,6,3
2020-06-12,12,7,0
2020-06-13,0,1,0
2020-06-14,1,2,0
2020-06-15,3,14,0
2020-06-16,6,13,0
2020-06-17,11,14,1
2020-06-18,12,10,0
2020-06-19,17,5,1
2020-06-20,2,7,0
2020-06-21,4,1,0
2020-06-22,7,30,2
2020-06-23,14,11,3
2020-06-24,8,24,0
2020-06-25,10,11,0
2020-06-26,9,12,4
2020-06-27,1,2,0
2020-06-28,14,4,0
2020-06-29,28,21,4
2020-06-30,31,18,7
2020-07-01,30,17,2
2020-07-02,0,11,3
2020-07-03,4,10,3
2020-07-04,3,0,0
2020-07-05,2,0,0
2020-07-06,8,13,5
2020-07-07,6,22,2
2020-07-08,17,9,2
2020-07-09,14,10,2
2020-07-10,24,20,2
2020-07-11,7,1,0
2020-07-12,3,1,2
2020-07-13,16,7,2
2020-07-14,15,14,0
2020-07-15,4,14,2
2020-07-16,22,10,2
2020-07-17,30,11,1
2020-07-18,5,8,0
2020-07-19,3,0,0
2020-07-20,14,17,1
2020-07-21,11,24,0
2020-07-22,11,7,0
2020-07-23,25,8,0
2020-07-24,27,13,0
2020-07-25,0,0,0
2020-07-26,4,3,0
2020-07-27,8,16,0
2020-07-28,28,21,0
2020-07-29,15,9,2
2020-07-30,23,10,4
2020-07-31,15,10,9
2020-08-01,4,2,0
2020-08-02,4,1,0
2020-08-03,33,11,14
2020-08-04,11,19,2
2020-08-05,38,10,1
2020-08-06,6,8,1
2020-08-07,25,19,2
2020-08-08,12,5,1
2020-08-09,7,2,0
2020-08-10,9,12,0
2020-08-11,17,28,1
2020-08-12,11,12,0
2020-08-13,22,11,0
2020-08-14,24,7,1
2020-08-15,5,0,0
2020-08-16,2,2,0
2020-08-17,12,28,0
2020-08-18,25,13,0
2020-08-19,14,7,0
2020-08-20,4,16,4
2020-08-21,7,8,3
2020-08-22,2,2,0
2020-08-23,4,3,0
2020-08-24,12,13,3
2020-08-25,11,20,3
2020-08-26,12,19,1
2020-08-27,11,12,2
2020-08-28,7,9,2
2020-08-29,1,3,0
2020-08-30,0,6,0
2020-08-31,4,15,1
2020-09-01,2,22,3
2020-09-02,6,12,3
2020-09-03,6,12,1
2020-09-04,3,8,0
2020-09-05,0,1,0
2020-09-06,1,1,0
2020-09-07,1,18,1
2020-09-08,6,9,0
2020-09-09,13,6,2
2020-09-10,7,24,0
2020-09-11,7,9,0
2020-09-12,0,1,0
2020-09-13,1,2,0
2020-09-14,7,14,9
2020-09-15,14,15,0
2020-09-16,10,11,0
2020-09-17,4,16,0
2020-09-18,8,27,4
2020-09-19,4,4,0
2020-09-20,1,3,0
2020-09-21,6,16,1
2020-09-22,6,24,7
2020-09-23,2,8,1
2020-09-24,5,15,3
2020-09-25,5,19,1
2020-09-26,3,0,0
2020-09-27,2,2,0
2020-09-28,7,14,4
2020-09-29,3,11,6
2020-09-30,6,16,2
2020-10-01,5,27,3
2020-10-02,11,1,1
2020-10-03,2,0,1
2020-10-04,0,2,0
2020-10-05,3,19,6
2020-10-06,7,16,5
2020-10-07,4,13,9
2020-10-08,9,8,1
2020-10-09,5,14,2
2020-10-10,0,2,0
2020-10-11,0,3,1
2020-10-12,2,11,4
2020-10-13,10,10,3
2020-10-14,3,12,7
2020-10-15,3,13,1
2020-10-16,3,12,5
2020-10-17,2,3,0
2020-10-18,0,1,0
2020-10-19,4,17,0
2020-10-20,5,14,2
2020-10-21,10,24,7
2020-10-22,15,22,7
2020-10-23,9,11,6
2020-10-24,3,2,0
2020-10-25,3,1,0
2020-10-26,9,26,6
2020-10-27,8,21,7
2020-10-28,9,11,1
2020-10-29,3,21,0
2020-10-30,5,10,10
2020-10-31,0,0,0
2020-11-01,15,2,0
2020-11-02,2,15,2
2020-11-03,5,14,2
2020-11-04,1,13,2
2020-11-05,4,10,2
2020-11-06,6,19,6
2020-11-07,8,2,0
2020-11-08,2,7,0
2020-11-09,3,19,7
2020-11-10,8,22,3
2020-11-11,4,11,0
2020-11-12,5,9,2
2020-11-13,7,11,0
2020-11-14,3,0,0
2020-11-15,0,1,0
2020-11-16,5,10,6
2020-11-17,6,14,0
2020-11-18,6,26,4
2020-11-19,5,19,4
2020-11-20,5,6,3
2020-11-21,0,0,0
2020-11-22,0,1,0
2020-11-23,3,17,0
2020-11-24,4,10,0
2020-11-25,5,5,0
2020-11-26,3,6,2
2020-11-27,1,12,5
2020-11-28,0,1,0
2020-11-29,0,3,0
2020-11-30,5,15,3
2020-12-01,3,11,6
2020-12-02,3,7,6
2020-12-03,6,7,4
2020-12-04,10,5,4
2020-12-05,2,2,1
2020-12-06,1,1,0
2020-12-07,2,11,2
2020-12-08,4,9,3
2020-12-09,4,10,3
2020-12-10,2,7,3
2020-12-11,5,15,2
2020-12-12,1,0,2
2020-12-13,0,0,0
2020-12-14,11,10,2
2020-12-15,4,19,2
2020-12-16,2,10,1
2020-12-17,2,12,1
2020-12-18,2,9,0
2020-12-19,3,3,0
2020-12-20,0,1,1
2020-12-21,4,9,0
2020-12-22,2,10,2
2020-12-23,2,6,2
2020-12-24,2,8,0
2020-12-25,0,2,0
2020-12-26,0,0,0
2020-12-27,0,1,0
2020-12-28,2,3,0
2020-12-29,2,3,0
2020-12-30,1,1,0
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,1,3,0
2021-01-03,0,1,0
2021-01-04,2,12,4
2021-01-05,6,13,1
2021-01-06,3,15,0
2021-01-07,3,9,2
2021-01-08,6,7,2
2021-01-09,2,0,0
2021-01-10,0,2,0
2021-01-11,2,16,1
2021-01-12,7,13,0
2021-01-13,5,14,0
2021-01-14,7,11,3
2021-01-15,4,5,2
2021-01-16,3,0,0
2021-01-17,0,0,0
2021-01-18,0,3,1
2021-01-19,6,13,2
2021-01-20,10,17,5
2021-01-21,3,11,1
2021-01-22,6,5,3
2021-01-23,2,2,0
2021-01-24,2,0,0
2021-01-25,8,7,4
2021-01-26,2,13,3
2021-01-27,3,21,5
2021-01-28,2,11,6
2021-01-29,4,6,4
2021-01-30,1,1,0
2021-01-31,1,2,0
2021-02-01,3,11,3
2021-02-02,7,9,5
2021-02-03,4,11,1
2021-02-04,2,14,6
2021-02-05,4,7,1
2021-02-06,1,0,0
2021-02-07,2,0,0
2021-02-08,4,25,1
2021-02-09,5,16,3
2021-02-10,2,9,2
2021-02-11,4,8,6
2021-02-12,8,4,5
2021-02-13,0,6,0
2021-02-14,0,0,0
2021-02-15,2,12,4
2021-02-16,4,5,4
2021-02-17,4,8,0
2021-02-18,4,6,1
2021-02-19,4,15,1
2021-02-20,0,3,0
2021-02-21,0,1,0
2021-02-22,7,9,9
2021-02-23,3,3,5
2021-02-24,9,6,1
2021-02-25,7,11,4
2021-02-26,7,4,2
2021-02-27,2,5,0
2021-02-28,3,3,0
2021-03-01,5,5,17
2021-03-02,10,1,3
2021-03-03,8,9,3
2021-03-04,2,6,3
2021-03-05,5,11,0
2021-03-06,1,3,0
2021-03-07,0,0,0
2021-03-08,3,20,2
2021-03-09,2,9,3
2021-03-10,7,8,7
2021-03-11,11,17,5
2021-03-12,5,7,6
2021-03-13,1,0,0
2021-03-14,2,0,0
2021-03-15,1,16,4
2021-03-16,5,14,3
2021-03-17,3,11,3
2021-03-18,6,14,1
2021-03-19,8,9,1
2021-03-20,2,0,4
2021-03-21,0,5,0
2021-03-22,11,10,3
2021-03-23,9,12,0
2021-03-24,8,6,4
2021-03-25,6,7,1
2021-03-26,6,3,0
2021-03-27,0,0,0
2021-03-28,0,1,0
2021-03-29,7,11,1
2021-03-30,8,11,11
2021-03-31,3,13,3
2021-04-01,6,7,0
2021-04-02,9,1,0
2021-04-03,1,0,0
2021-04-04,1,0,0
2021-04-05,12,15,0
2021-04-06,7,12,2
2021-04-07,1,11,7
2021-04-08,2,14,4
2021-04-09,3,13,2
2021-04-10,1,0,1
2021-04-11,0,0,0
2021-04-12,7,9,3
2021-04-13,11,15,1
2021-04-14,5,10,2
2021-04-15,3,3,0
2021-04-16,5,5,1
2021-04-17,2,0,1
2021-04-18,0,0,1
2021-04-19,4,4,5
2021-04-20,5,6,4
2021-04-21,6,13,6
2021-04-22,3,7,3
2021-04-23,3,19,6
2021-04-24,2,2,0
2021-04-25,0,2,0
2021-04-26,5,20,7
2021-04-27,7,3,6
2021-04-28,5,3,4
2021-04-29,2,4,1
2021-04-30,7,19,2
2021-05-01,0,0,0
2021-05-02,0,1,0
2021-05-03,3,12,2
2021-05-04,10,8,2
2021-05-05,6,5,2
2021-05-06,5,8,1
2021-05-07,7,7,4
2021-05-08,2,0,0
2021-05-09,0,1,0
2021-05-10,7,10,4
2021-05-11,11,8,9
2021-05-12,3,9,1
2021-05-13,4,8,3
2021-05-14,5,4,1
2021-05-15,0,0,1
2021-05-16,0,0,0
2021-05-17,8,7,9
2021-05-18,3,10,2
2021-05-19,3,3,3
2021-05-20,7,6,4
2021-05-21,3,7,21
2021-05-22,2,1,3
2021-05-23,0,0,0
2021-05-24,8,7,6
2021-05-25,5,9,6
2021-05-26,3,7,5
2021-05-27,6,3,5
2021-05-28,6,3,0
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,0,4,0
2021-06-01,2,15,7
2021-06-02,6,7,1
2021-06-03,11,2,4
2021-06-04,6,2,9
2021-06-05,0,0,6
2021-06-06,2,0,1
2021-06-07,2,7,7
2021-06-08,4,11,4
2021-06-09,5,8,13
2021-06-10,1,10,9
2021-06-11,6,3,9
2021-06-12,2,0,0
2021-06-13,1,1,0
2021-06-14,6,19,3
2021-06-15,18,14,5
2021-06-16,9,6,4
2021-06-17,3,9,3
2021-06-18,3,4,2
2021-06-19,2,0,0
2021-06-20,2,0,0
2021-06-21,4,10,4
2021-06-22,3,10,1
2021-06-23,3,21,3
2021-06-24,12,5,2
2021-06-25,6,10,2
2021-06-26,0,2,0
2021-06-27,0,0,0
2021-06-28,3,13,4
2021-06-29,2,11,1
2021-06-30,5,10,1
2021-07-01,11,12,2
2021-07-02,3,7,0
2021-07-03,1,0,0
2021-07-04,1,1,0
2021-07-05,2,12,1
2021-07-06,0,9,0
2021-07-07,4,12,0
2021-07-08,5,9,1
2021-07-09,7,11,1
2021-07-10,2,3,0
2021-07-11,0,0,0
2021-07-12,3,19,3
2021-07-13,8,13,0
2021-07-14,2,11,2
2021-07-15,2,19,1
2021-07-16,3,5,3
2021-07-17,2,4,0
2021-07-18,0,0,0
2021-07-19,7,3,0
2021-07-20,2,9,2
2021-07-21,2,9,0
2021-07-22,6,4,3
2021-07-23,1,3,2
2021-07-24,3,2,0
2021-07-25,0,0,1
2021-07-26,5,10,1
2021-07-27,4,3,1
2021-07-28,2,12,2
2021-07-29,4,3,1
2021-07-30,2,6,1
2021-07-31,0,0,0
2021-08-01,2,1,0
2021-08-02,3,3,1
2021-08-03,12,3,1
2021-08-04,3,10,3
2021-08-05,5,4,0
2021-08-06,2,6,4
2021-08-07,1,0,0
2021-08-08,1,2,0
2021-08-09,6,6,1
2021-08-10,1,12,0
2021-08-11,10,3,0
2021-08-12,3,13,2
2021-08-13,2,7,1
2021-08-14,0,0,0
2021-08-15,0,0,0
2021-08-16,1,7,4
2021-08-17,4,2,3
2021-08-18,4,2,2
2021-08-19,4,1,2
2021-08-20,5,1,1
2021-08-21,1,0,0
2021-08-22,0,0,0
2021-08-23,5,9,4
2021-08-24,2,5,0
2021-08-25,12,8,0
2021-08-26,3,13,5
2021-08-27,4,8,2
2021-08-28,2,1,0
2021-08-29,0,0,0
2021-08-30,3,22,0
2021-08-31,5,21,5
2021-09-01,5,26,4
2021-09-02,7,11,5
2021-09-03,8,0,0
2021-09-04,0,0,3
2021-09-05,0,0,1
2021-09-06,5,11,7
2021-09-07,12,5,2
2021-09-08,3,13,2
2021-09-09,5,7,1
2021-09-10,18,7,2
2021-09-11,4,0,0
2021-09-12,3,0,0
2021-09-13,2,10,3
2021-09-14,3,8,6
2021-09-15,2,4,2
2021-09-16,6,11,3
2021-09-17,8,9,3
2021-09-18,1,0,0
2021-09-19,1,0,0
2021-09-20,10,10,2
2021-09-21,19,12,7
2021-09-22,9,11,1
2021-09-23,6,6,1
2021-09-24,10,10,6
2021-09-25,0,2,0
2021-09-26,0,4,1
2021-09-27,3,9,3
2021-09-28,5,2,2
2021-09-29,4,10,9
2021-09-30,1,8,5
2021-10-01,17,5,4
2021-10-02,7,0,0
2021-10-03,3,0,0
2021-10-04,8,6,4
2021-10-05,2,10,7
2021-10-06,1,12,5
2021-10-07,3,8,10
2021-10-08,3,11,5
2021-10-09,8,1,0
2021-10-10,0,0,0
2021-10-11,4,10,3
2021-10-12,3,7,2
2021-10-13,6,1,4
2021-10-14,4,10,2
2021-10-15,4,4,5
2021-10-16,2,3,0
2021-10-17,0,1,1
2021-10-18,6,10,7
2021-10-19,8,3,7
2021-10-20,10,10,12
2021-10-21,3,12,9
2021-10-22,9,9,6
2021-10-23,10,0,0
2021-10-24,8,0,1
2021-10-25,12,11,9
2021-10-26,11,14,9
2021-10-27,3,8,10
2021-10-28,8,11,5
2021-10-29,9,11,11
2021-10-30,0,0,0
2021-10-31,1,0,2
2021-11-01,4,9,9
2021-11-02,3,7,8
2021-11-03,3,11,11
2021-11-04,6,4,7
2021-11-05,2,3,8
2021-11-06,1,4,3
2021-11-07,1,0,0
2021-11-08,5,8,5
2021-11-09,3,10,6
2021-11-10,6,6,3
2021-11-11,4,7,6
2021-11-12,5,4,8
2021-11-13,4,2,0
2021-11-14,0,1,1
2021-11-15,4,8,2
2021-11-16,12,5,6
2021-11-17,9,6,5
2021-11-18,4,7,4
2021-11-19,8,5,1
2021-11-20,2,0,0
2021-11-21,0,2,3
2021-11-22,3,6,9
2021-11-23,7,1,1
2021-11-24,0,3,1
2021-11-25,1,2,2
2021-11-26,0,4,3
2021-11-27,0,0,1
2021-11-28,0,1,0
2021-11-29,2,6,5
2021-11-30,2,6,5
2021-12-01,3,6,3
2021-12-02,1,8,3
2021-12-03,9,6,1
2021-12-04,4,0,0
2021-12-05,0,1,2
2021-12-06,2,15,2
2021-12-07,3,5,5
2021-12-08,1,19,11
2021-12-09,4,10,8
2021-12-10,1,10,2
2021-12-11,1,2,0
2021-12-12,0,3,0
2021-12-13,7,19,3
2021-12-14,1,3,4
2021-12-15,5,12,1
2021-12-16,3,11,3
2021-12-17,2,8,1
2021-12-18,0,0,0
2021-12-19,0,0,2
2021-12-20,2,12,2
2021-12-21,3,17,2
2021-12-22,2,14,2
2021-12-23,0,16,0
2021-12-24,0,1,1
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,8,1
2021-12-28,2,8,0
2021-12-29,4,2,0
2021-12-30,0,6,2
2021-12-31,0,0,1
2022-01-01,0,0,1
2022-01-02,0,0,1
2022-01-03,0,7,0
2022-01-04,6,6,2
