,webpack/webpack,parcel-bundler/parcel,rollup/rollup
2020-07-12,1,4,0
2020-07-13,5,1,0
2020-07-14,3,0,0
2020-07-15,18,1,0
2020-07-16,3,0,0
2020-07-17,10,2,0
2020-07-18,0,3,7
2020-07-19,0,3,0
2020-07-20,11,0,0
2020-07-21,7,2,0
2020-07-22,8,0,3
2020-07-23,4,1,3
2020-07-24,2,0,0
2020-07-25,0,2,0
2020-07-26,0,0,0
2020-07-27,5,0,0
2020-07-28,8,0,1
2020-07-29,3,1,0
2020-07-30,8,1,0
2020-07-31,4,0,0
2020-08-01,4,0,0
2020-08-02,4,1,0
2020-08-03,20,2,0
2020-08-04,12,1,0
