,laravel/framework,codeigniter4/CodeIgniter4,chriskacerguis/codeigniter-restserver
2016-03-03,13,2,0
2016-03-04,12,0,0
2016-03-05,8,3,0
2016-03-06,6,0,0
2016-03-07,20,0,0
2016-03-08,5,8,0
2016-03-09,23,4,0
2016-03-10,0,2,0
2016-03-11,6,4,0
2016-03-12,7,0,0
2016-03-13,5,0,0
2016-03-14,1,0,0
2016-03-15,7,7,0
2016-03-16,9,12,0
2016-03-17,10,7,0
2016-03-18,18,5,0
2016-03-19,27,22,0
2016-03-20,1,2,2
2016-03-21,20,5,0
2016-03-22,8,2,0
2016-03-23,19,1,0
2016-03-24,5,10,0
2016-03-25,29,6,0
2016-03-26,5,11,0
2016-03-27,6,1,0
2016-03-28,41,4,0
2016-03-29,29,14,0
2016-03-30,19,24,0
2016-03-31,13,13,0
2016-04-01,48,18,0
2016-04-02,7,3,0
2016-04-03,7,5,11
2016-04-04,4,12,0
2016-04-05,23,4,0
2016-04-06,25,0,2
2016-04-07,19,1,1
2016-04-08,15,1,0
2016-04-09,5,3,0
2016-04-10,0,0,0
2016-04-11,9,0,0
2016-04-12,7,5,1
2016-04-13,11,0,0
2016-04-14,17,0,7
2016-04-15,2,3,0
2016-04-16,11,0,0
2016-04-17,0,0,2
2016-04-18,19,5,0
2016-04-19,7,10,0
2016-04-20,12,7,0
2016-04-21,10,3,0
2016-04-22,7,0,0
2016-04-23,4,0,0
2016-04-24,2,0,0
2016-04-25,22,3,0
2016-04-26,0,0,0
2016-04-27,19,3,0
2016-04-28,10,0,0
2016-04-29,20,7,0
2016-04-30,5,11,0
2016-05-01,5,5,0
2016-05-02,9,0,0
2016-05-03,6,5,0
2016-05-04,15,1,0
2016-05-05,8,1,1
2016-05-06,8,5,0
2016-05-07,7,3,0
2016-05-08,1,0,0
2016-05-09,15,10,0
2016-05-10,8,1,0
2016-05-11,9,0,0
2016-05-12,8,5,0
2016-05-13,4,2,0
2016-05-14,4,2,0
2016-05-15,9,11,1
2016-05-16,9,5,0
2016-05-17,15,0,0
2016-05-18,21,3,0
2016-05-19,12,3,0
2016-05-20,6,7,0
2016-05-21,4,3,0
2016-05-22,4,2,0
2016-05-23,8,1,0
2016-05-24,15,12,0
2016-05-25,41,3,0
2016-05-26,41,0,0
2016-05-27,11,9,0
2016-05-28,7,10,4
2016-05-29,5,3,4
2016-05-30,21,4,0
2016-05-31,27,9,0
2016-06-01,38,6,0
2016-06-02,7,14,0
2016-06-03,38,14,0
2016-06-04,5,9,0
2016-06-05,4,6,0
2016-06-06,52,11,0
2016-06-07,7,12,0
2016-06-08,12,0,0
2016-06-09,5,0,0
2016-06-10,17,0,0
2016-06-11,12,2,0
2016-06-12,6,0,0
2016-06-13,3,0,0
2016-06-14,33,0,0
2016-06-15,3,6,0
2016-06-16,9,3,0
2016-06-17,23,3,0
2016-06-18,13,0,3
2016-06-19,16,0,1
2016-06-20,13,0,2
2016-06-21,6,1,1
2016-06-22,24,0,6
2016-06-23,3,4,0
2016-06-24,6,5,0
2016-06-25,0,5,0
2016-06-26,6,6,0
2016-06-27,7,2,1
2016-06-28,8,11,0
2016-06-29,18,7,0
2016-06-30,28,10,0
2016-07-01,18,5,0
2016-07-02,10,1,0
2016-07-03,0,0,0
2016-07-04,0,0,0
2016-07-05,5,3,0
2016-07-06,1,4,0
2016-07-07,2,0,0
2016-07-08,2,4,1
2016-07-09,0,0,0
2016-07-10,8,0,1
2016-07-11,3,11,0
2016-07-12,19,11,0
2016-07-13,12,4,0
2016-07-14,8,11,0
2016-07-15,15,19,0
2016-07-16,2,6,0
2016-07-17,8,0,0
2016-07-18,29,6,3
2016-07-19,11,6,0
2016-07-20,17,7,0
2016-07-21,23,6,0
2016-07-22,12,1,0
2016-07-23,50,4,0
2016-07-24,32,1,0
2016-07-25,10,7,0
2016-07-26,18,0,0
2016-07-27,22,5,1
2016-07-28,12,6,0
2016-07-29,23,8,0
2016-07-30,3,6,3
2016-07-31,7,2,0
2016-08-01,32,6,0
2016-08-02,12,8,0
2016-08-03,7,5,0
2016-08-04,25,2,0
2016-08-05,26,0,0
2016-08-06,22,0,0
2016-08-07,35,2,0
2016-08-08,25,8,0
2016-08-09,38,6,0
2016-08-10,34,2,0
2016-08-11,22,1,0
2016-08-12,46,8,0
2016-08-13,8,0,0
2016-08-14,4,4,0
2016-08-15,15,7,0
2016-08-16,19,1,0
2016-08-17,13,2,0
2016-08-18,20,2,2
2016-08-19,15,2,0
2016-08-20,4,2,0
2016-08-21,6,0,0
2016-08-22,37,2,0
2016-08-23,15,0,2
2016-08-24,24,8,0
2016-08-25,13,2,0
2016-08-26,27,1,0
2016-08-27,15,1,0
2016-08-28,17,5,0
2016-08-29,14,0,0
2016-08-30,8,7,0
2016-08-31,13,15,0
2016-09-01,11,1,0
2016-09-02,18,0,0
2016-09-03,2,0,0
2016-09-04,1,0,1
2016-09-05,21,0,0
2016-09-06,17,0,0
2016-09-07,32,4,1
2016-09-08,14,2,2
2016-09-09,17,4,0
2016-09-10,0,3,2
2016-09-11,4,6,0
2016-09-12,5,7,0
2016-09-13,2,1,0
2016-09-14,4,1,0
2016-09-15,8,2,0
2016-09-16,14,1,0
2016-09-17,3,0,0
2016-09-18,5,2,0
2016-09-19,7,4,0
2016-09-20,16,3,0
2016-09-21,18,0,0
2016-09-22,7,16,0
2016-09-23,10,9,0
2016-09-24,7,3,0
2016-09-25,1,0,0
2016-09-26,7,1,0
2016-09-27,10,2,0
2016-09-28,16,0,0
2016-09-29,17,0,1
2016-09-30,4,0,0
2016-10-01,0,0,0
2016-10-02,2,1,0
2016-10-03,16,0,0
2016-10-04,9,5,0
2016-10-05,20,2,0
2016-10-06,14,0,0
2016-10-07,7,2,0
2016-10-08,3,1,0
2016-10-09,2,0,0
2016-10-10,9,1,0
2016-10-11,1,0,0
2016-10-12,13,2,0
2016-10-13,30,1,0
2016-10-14,10,2,0
2016-10-15,15,0,0
2016-10-16,6,0,0
2016-10-17,20,1,0
2016-10-18,13,2,0
2016-10-19,12,1,0
2016-10-20,5,1,0
2016-10-21,4,3,0
2016-10-22,10,0,0
2016-10-23,5,0,0
2016-10-24,13,4,0
2016-10-25,3,0,0
2016-10-26,15,2,2
2016-10-27,7,2,0
2016-10-28,17,0,0
2016-10-29,3,0,0
2016-10-30,15,2,0
2016-10-31,21,3,0
2016-11-01,30,0,0
2016-11-02,35,3,0
2016-11-03,22,2,0
2016-11-04,9,0,0
2016-11-05,7,2,0
2016-11-06,4,3,0
2016-11-07,17,3,0
2016-11-08,25,1,0
2016-11-09,4,1,0
2016-11-10,8,4,0
2016-11-11,23,4,0
2016-11-12,2,10,0
2016-11-13,3,0,0
2016-11-14,31,10,0
2016-11-15,16,5,0
2016-11-16,12,4,0
2016-11-17,13,4,0
2016-11-18,18,1,0
2016-11-19,6,0,0
2016-11-20,3,0,0
2016-11-21,11,1,0
2016-11-22,7,2,5
2016-11-23,5,0,0
2016-11-24,10,1,0
2016-11-25,3,0,0
2016-11-26,5,2,0
2016-11-27,7,0,0
2016-11-28,11,1,0
2016-11-29,18,1,0
2016-11-30,10,2,0
2016-12-01,11,4,0
2016-12-02,8,0,0
2016-12-03,12,7,0
2016-12-04,6,0,0
2016-12-05,16,6,0
2016-12-06,16,1,0
2016-12-07,21,4,0
2016-12-08,14,1,0
2016-12-09,4,0,0
2016-12-10,6,0,0
2016-12-11,10,0,0
2016-12-12,15,0,0
2016-12-13,10,2,0
2016-12-14,22,0,0
2016-12-15,24,2,0
2016-12-16,18,1,0
2016-12-17,7,2,0
2016-12-18,10,2,0
2016-12-19,26,6,0
2016-12-20,43,3,0
2016-12-21,30,2,3
2016-12-22,27,0,0
2016-12-23,31,3,0
2016-12-24,17,1,0
2016-12-25,8,0,0
2016-12-26,9,1,0
2016-12-27,23,5,2
2016-12-28,28,9,0
2016-12-29,23,11,0
2016-12-30,20,4,0
2016-12-31,1,4,0
2017-01-01,18,0,0
2017-01-02,24,4,0
2017-01-03,32,6,0
2017-01-04,52,3,0
2017-01-05,21,2,0
2017-01-06,19,4,0
2017-01-07,4,3,0
2017-01-08,8,0,0
2017-01-09,35,6,0
2017-01-10,42,8,0
2017-01-11,15,0,0
2017-01-12,11,1,0
2017-01-13,19,0,0
2017-01-14,1,1,0
2017-01-15,11,6,0
2017-01-16,15,9,0
2017-01-17,23,4,0
2017-01-18,23,9,0
2017-01-19,10,5,0
2017-01-20,10,22,0
2017-01-21,6,0,0
2017-01-22,8,0,0
2017-01-23,13,1,0
2017-01-24,11,0,0
2017-01-25,14,0,0
2017-01-26,19,1,0
2017-01-27,18,3,0
2017-01-28,5,0,0
2017-01-29,1,0,0
2017-01-30,12,0,0
2017-01-31,20,1,0
2017-02-01,14,0,0
2017-02-02,11,1,0
2017-02-03,15,2,0
2017-02-04,8,3,0
2017-02-05,4,2,0
2017-02-06,13,1,0
2017-02-07,14,12,0
2017-02-08,18,8,0
2017-02-09,5,3,0
2017-02-10,19,7,0
2017-02-11,6,11,0
2017-02-12,8,1,0
2017-02-13,10,0,0
2017-02-14,8,0,0
2017-02-15,13,2,0
2017-02-16,8,1,0
2017-02-17,11,0,0
2017-02-18,0,1,0
2017-02-19,1,0,0
2017-02-20,4,0,0
2017-02-21,9,1,0
2017-02-22,13,2,0
2017-02-23,1,1,0
2017-02-24,9,1,0
2017-02-25,3,0,0
2017-02-26,4,0,0
2017-02-27,14,3,0
2017-02-28,5,0,0
2017-03-01,24,1,0
2017-03-02,10,0,0
2017-03-03,2,1,0
2017-03-04,2,0,0
2017-03-05,2,6,0
2017-03-06,1,13,0
2017-03-07,11,9,0
2017-03-08,12,0,0
2017-03-09,29,4,0
2017-03-10,9,6,0
2017-03-11,0,2,0
2017-03-12,2,0,0
2017-03-13,12,3,0
2017-03-14,5,1,0
2017-03-15,9,0,0
2017-03-16,27,0,0
2017-03-17,4,4,0
2017-03-18,6,0,0
2017-03-19,8,4,0
2017-03-20,10,2,0
2017-03-21,2,3,0
2017-03-22,4,2,0
2017-03-23,13,0,0
2017-03-24,15,2,0
2017-03-25,13,2,0
2017-03-26,9,0,0
2017-03-27,6,0,0
2017-03-28,6,0,0
2017-03-29,14,6,0
2017-03-30,5,3,0
2017-03-31,7,0,0
2017-04-01,14,5,0
2017-04-02,6,0,0
2017-04-03,5,14,0
2017-04-04,7,3,0
2017-04-05,22,2,0
2017-04-06,10,3,0
2017-04-07,18,1,0
2017-04-08,8,0,0
2017-04-09,17,0,0
2017-04-10,27,0,0
2017-04-11,22,5,0
2017-04-12,5,3,0
2017-04-13,2,0,0
2017-04-14,0,2,0
2017-04-15,0,1,0
2017-04-16,6,1,0
2017-04-17,12,2,0
2017-04-18,16,7,0
2017-04-19,20,3,0
2017-04-20,7,2,0
2017-04-21,7,2,0
2017-04-22,0,0,0
2017-04-23,0,0,0
2017-04-24,9,0,0
2017-04-25,2,2,0
2017-04-26,6,9,0
2017-04-27,16,2,0
2017-04-28,13,3,0
2017-04-29,2,0,0
2017-04-30,5,0,0
2017-05-01,6,0,0
2017-05-02,5,1,0
2017-05-03,9,1,0
2017-05-04,5,3,0
2017-05-05,13,6,0
2017-05-06,12,3,0
2017-05-07,2,0,0
2017-05-08,5,11,0
2017-05-09,11,4,0
2017-05-10,5,11,0
2017-05-11,23,2,0
2017-05-12,21,7,0
2017-05-13,6,0,0
2017-05-14,6,2,0
2017-05-15,21,4,0
2017-05-16,13,2,0
2017-05-17,4,4,0
2017-05-18,13,0,0
2017-05-19,10,9,0
2017-05-20,3,1,0
2017-05-21,3,4,0
2017-05-22,5,3,0
2017-05-23,7,6,0
2017-05-24,16,0,0
2017-05-25,6,2,0
2017-05-26,8,8,0
2017-05-27,1,5,0
2017-05-28,12,10,0
2017-05-29,3,9,0
2017-05-30,23,2,0
2017-05-31,4,3,0
2017-06-01,32,2,0
2017-06-02,15,9,0
2017-06-03,2,6,0
2017-06-04,7,1,0
2017-06-05,1,2,0
2017-06-06,5,2,0
2017-06-07,18,0,0
2017-06-08,4,1,0
2017-06-09,8,1,0
2017-06-10,4,0,0
2017-06-11,4,1,0
2017-06-12,4,7,0
2017-06-13,9,0,0
2017-06-14,12,5,0
2017-06-15,12,5,0
2017-06-16,6,9,0
2017-06-17,6,0,0
2017-06-18,3,2,0
2017-06-19,21,5,0
2017-06-20,11,10,0
2017-06-21,7,5,0
2017-06-22,3,10,0
2017-06-23,12,5,4
2017-06-24,1,0,0
2017-06-25,13,4,0
2017-06-26,20,3,0
2017-06-27,14,4,0
2017-06-28,12,2,0
2017-06-29,22,1,0
2017-06-30,14,6,0
2017-07-01,5,0,0
2017-07-02,10,1,0
2017-07-03,11,4,0
2017-07-04,4,0,0
2017-07-05,13,9,0
2017-07-06,30,8,0
2017-07-07,11,6,0
2017-07-08,11,3,0
2017-07-09,2,4,0
2017-07-10,7,5,0
2017-07-11,26,2,0
2017-07-12,7,9,0
2017-07-13,17,7,0
2017-07-14,14,15,0
2017-07-15,2,0,0
2017-07-16,3,7,0
2017-07-17,25,6,0
2017-07-18,26,7,0
2017-07-19,40,6,0
2017-07-20,21,6,0
2017-07-21,11,6,0
2017-07-22,0,2,0
2017-07-23,7,10,3
2017-07-24,10,9,0
2017-07-25,7,22,0
2017-07-26,6,14,0
2017-07-27,6,9,0
2017-07-28,5,6,0
2017-07-29,8,1,0
2017-07-30,6,0,0
2017-07-31,20,0,0
2017-08-01,7,3,0
2017-08-02,26,4,0
2017-08-03,9,5,0
2017-08-04,6,9,0
2017-08-05,3,0,0
2017-08-06,8,1,0
2017-08-07,13,16,0
2017-08-08,8,17,0
2017-08-09,16,6,1
2017-08-10,1,0,0
2017-08-11,8,4,0
2017-08-12,14,0,0
2017-08-13,3,0,0
2017-08-14,14,3,0
2017-08-15,4,4,0
2017-08-16,21,12,0
2017-08-17,20,10,0
2017-08-18,7,1,0
2017-08-19,3,0,0
2017-08-20,5,0,0
2017-08-21,24,0,0
2017-08-22,6,2,0
2017-08-23,19,0,0
2017-08-24,34,0,0
2017-08-25,29,2,0
2017-08-26,19,0,0
2017-08-27,9,3,0
2017-08-28,9,7,0
2017-08-29,7,1,0
2017-08-30,25,2,0
2017-08-31,29,5,0
2017-09-01,23,3,0
2017-09-02,14,0,0
2017-09-03,8,0,0
2017-09-04,14,0,0
2017-09-05,19,2,0
2017-09-06,40,6,0
2017-09-07,16,5,0
2017-09-08,6,5,0
2017-09-09,3,4,0
2017-09-10,3,3,0
2017-09-11,12,4,0
2017-09-12,8,1,0
2017-09-13,34,0,0
2017-09-14,12,2,0
2017-09-15,3,2,1
2017-09-16,1,2,0
2017-09-17,4,0,0
2017-09-18,9,4,0
2017-09-19,31,0,0
2017-09-20,22,1,0
2017-09-21,37,0,0
2017-09-22,9,2,0
2017-09-23,9,6,4
2017-09-24,3,0,3
2017-09-25,9,0,0
2017-09-26,9,2,0
2017-09-27,8,1,0
2017-09-28,7,0,0
2017-09-29,16,0,0
2017-09-30,2,1,0
2017-10-01,5,9,0
2017-10-02,11,0,0
2017-10-03,7,10,0
2017-10-04,1,2,1
2017-10-05,2,8,0
2017-10-06,6,0,1
2017-10-07,8,2,0
2017-10-08,1,10,0
2017-10-09,3,4,0
2017-10-10,5,12,0
2017-10-11,3,3,0
2017-10-12,2,6,0
2017-10-13,8,3,0
2017-10-14,2,0,0
2017-10-15,1,2,0
2017-10-16,9,5,0
2017-10-17,13,5,0
2017-10-18,6,5,0
2017-10-19,11,10,0
2017-10-20,3,1,0
2017-10-21,1,0,0
2017-10-22,9,0,0
2017-10-23,3,3,0
2017-10-24,3,3,0
2017-10-25,13,3,0
2017-10-26,0,15,0
2017-10-27,6,1,0
2017-10-28,3,0,0
2017-10-29,3,2,0
2017-10-30,8,1,0
2017-10-31,9,11,0
2017-11-01,8,3,0
2017-11-02,14,3,0
2017-11-03,7,0,0
2017-11-04,3,7,0
2017-11-05,6,6,0
2017-11-06,15,0,0
2017-11-07,12,14,0
2017-11-08,4,1,0
2017-11-09,8,8,0
2017-11-10,4,2,0
2017-11-11,0,0,0
2017-11-12,0,2,0
2017-11-13,2,8,0
2017-11-14,4,2,0
2017-11-15,6,7,0
2017-11-16,14,5,0
2017-11-17,6,2,0
2017-11-18,2,1,1
2017-11-19,1,0,0
2017-11-20,5,1,0
2017-11-21,3,3,0
2017-11-22,16,0,0
2017-11-23,3,2,0
2017-11-24,3,1,0
2017-11-25,1,6,2
2017-11-26,7,1,0
2017-11-27,6,5,0
2017-11-28,2,4,0
2017-11-29,7,7,0
2017-11-30,10,0,0
2017-12-01,9,1,0
2017-12-02,7,0,0
2017-12-03,6,3,0
2017-12-04,18,3,0
2017-12-05,8,5,0
2017-12-06,8,2,0
2017-12-07,13,0,0
2017-12-08,17,0,0
2017-12-09,5,0,0
2017-12-10,3,3,0
2017-12-11,6,0,0
2017-12-12,5,0,0
2017-12-13,8,5,0
2017-12-14,13,0,0
2017-12-15,5,4,0
2017-12-16,10,0,0
2017-12-17,4,0,0
2017-12-18,8,4,0
2017-12-19,6,1,0
2017-12-20,6,1,0
2017-12-21,2,2,0
2017-12-22,6,9,0
2017-12-23,1,0,0
2017-12-24,2,2,0
2017-12-25,2,0,0
2017-12-26,15,0,0
2017-12-27,2,0,0
2017-12-28,6,0,0
2017-12-29,14,7,0
2017-12-30,1,0,0
2017-12-31,6,5,0
2018-01-01,4,6,0
2018-01-02,23,0,0
2018-01-03,13,3,0
2018-01-04,11,0,0
2018-01-05,18,0,0
2018-01-06,17,1,0
2018-01-07,1,0,0
2018-01-08,5,7,0
2018-01-09,20,10,0
2018-01-10,6,0,0
2018-01-11,7,0,0
2018-01-12,13,0,0
2018-01-13,12,2,0
2018-01-14,5,0,0
2018-01-15,11,2,0
2018-01-16,19,6,0
2018-01-17,12,2,0
2018-01-18,16,6,0
2018-01-19,15,0,0
2018-01-20,5,3,0
2018-01-21,8,1,0
2018-01-22,1,1,0
2018-01-23,9,0,0
2018-01-24,1,0,0
2018-01-25,7,0,0
2018-01-26,9,0,0
2018-01-27,3,0,0
2018-01-28,3,0,0
2018-01-29,10,3,0
2018-01-30,8,1,0
2018-01-31,9,7,0
2018-02-01,9,3,0
2018-02-02,14,4,0
2018-02-03,7,6,0
2018-02-04,6,1,0
2018-02-05,12,4,0
2018-02-06,7,6,0
2018-02-07,11,0,0
2018-02-08,13,0,0
2018-02-09,9,0,0
2018-02-10,5,0,0
2018-02-11,3,0,0
2018-02-12,5,10,0
2018-02-13,8,0,0
2018-02-14,7,5,0
2018-02-15,7,0,0
2018-02-16,9,9,0
2018-02-17,2,3,0
2018-02-18,0,0,0
2018-02-19,8,6,0
2018-02-20,13,4,0
2018-02-21,12,0,0
2018-02-22,15,0,0
2018-02-23,10,6,0
2018-02-24,3,0,0
2018-02-25,2,0,0
2018-02-26,10,2,0
2018-02-27,8,5,3
2018-02-28,9,2,0
2018-03-01,11,1,0
2018-03-02,8,0,0
2018-03-03,0,0,0
2018-03-04,7,0,0
2018-03-05,6,0,0
2018-03-06,19,0,0
2018-03-07,14,2,0
2018-03-08,9,5,1
2018-03-09,26,2,0
2018-03-10,24,0,0
2018-03-11,8,0,0
2018-03-12,12,2,0
2018-03-13,25,0,0
2018-03-14,26,0,0
2018-03-15,5,0,0
2018-03-16,5,0,0
2018-03-17,9,0,0
2018-03-18,13,0,0
2018-03-19,8,2,0
2018-03-20,9,7,0
2018-03-21,14,3,0
2018-03-22,11,2,0
2018-03-23,3,0,0
2018-03-24,8,0,0
2018-03-25,12,0,0
2018-03-26,9,0,0
2018-03-27,9,0,0
2018-03-28,11,0,0
2018-03-29,11,0,0
2018-03-30,9,0,0
2018-03-31,4,0,0
2018-04-01,2,0,0
2018-04-02,8,0,0
2018-04-03,6,2,0
2018-04-04,3,2,0
2018-04-05,3,1,0
2018-04-06,1,0,0
2018-04-07,1,0,0
2018-04-08,1,1,0
2018-04-09,7,0,0
2018-04-10,1,0,0
2018-04-11,1,0,0
2018-04-12,0,0,0
2018-04-13,2,6,0
2018-04-14,0,0,0
2018-04-15,1,0,0
2018-04-16,5,0,0
2018-04-17,12,1,0
2018-04-18,4,0,0
2018-04-19,1,1,0
2018-04-20,0,7,0
2018-04-21,0,6,0
2018-04-22,1,5,0
2018-04-23,0,3,0
2018-04-24,0,6,0
2018-04-25,28,5,0
2018-04-26,9,1,0
2018-04-27,1,4,0
2018-04-28,0,0,0
2018-04-29,9,0,0
2018-04-30,8,3,0
2018-05-01,0,0,0
2018-05-02,17,1,0
2018-05-03,19,3,0
2018-05-04,8,1,0
2018-05-05,5,0,0
2018-05-06,4,3,0
2018-05-07,7,1,0
2018-05-08,12,11,0
2018-05-09,1,2,0
2018-05-10,8,0,0
2018-05-11,5,12,0
2018-05-12,3,2,0
2018-05-13,4,5,0
2018-05-14,9,7,0
2018-05-15,4,3,0
2018-05-16,4,7,0
2018-05-17,5,3,0
2018-05-18,3,3,0
2018-05-19,2,0,0
2018-05-20,3,2,0
2018-05-21,17,10,0
2018-05-22,4,5,0
2018-05-23,8,8,0
2018-05-24,10,5,0
2018-05-25,16,4,0
2018-05-26,5,9,0
2018-05-27,6,1,0
2018-05-28,13,0,0
2018-05-29,6,9,0
2018-05-30,7,18,0
2018-05-31,14,1,0
2018-06-01,8,9,0
2018-06-02,5,0,5
2018-06-03,2,2,0
2018-06-04,21,3,0
2018-06-05,10,7,0
2018-06-06,17,6,0
2018-06-07,11,8,0
2018-06-08,9,4,0
2018-06-09,12,3,0
2018-06-10,2,0,0
2018-06-11,3,0,0
2018-06-12,24,2,0
2018-06-13,3,0,0
2018-06-14,1,1,0
2018-06-15,12,0,0
2018-06-16,0,0,0
2018-06-17,0,0,0
2018-06-18,3,0,0
2018-06-19,3,0,0
2018-06-20,10,0,0
2018-06-21,4,0,0
2018-06-22,3,4,0
2018-06-23,1,0,0
2018-06-24,2,0,0
2018-06-25,3,7,0
2018-06-26,2,7,0
2018-06-27,0,3,0
2018-06-28,2,4,0
2018-06-29,2,5,0
2018-06-30,9,0,0
2018-07-01,1,1,0
2018-07-02,9,5,0
2018-07-03,5,2,0
2018-07-04,4,2,0
2018-07-05,0,7,0
2018-07-06,4,10,0
2018-07-07,1,0,0
2018-07-08,2,8,0
2018-07-09,6,6,0
2018-07-10,8,4,0
2018-07-11,5,4,0
2018-07-12,4,0,0
2018-07-13,7,3,0
2018-07-14,7,1,0
2018-07-15,16,3,0
2018-07-16,2,9,0
2018-07-17,12,1,0
2018-07-18,6,2,0
2018-07-19,5,2,0
2018-07-20,2,3,0
2018-07-21,4,2,0
2018-07-22,20,0,0
2018-07-23,6,3,0
2018-07-24,2,6,0
2018-07-25,0,3,0
2018-07-26,17,4,0
2018-07-27,5,5,0
2018-07-28,2,0,0
2018-07-29,6,9,0
2018-07-30,14,1,1
2018-07-31,11,1,0
