,scikit-learn/scikit-learn,statsmodels/statsmodels,mlpack/mlpack
2022-06-28,17,0,3
2022-06-29,16,3,0
2022-06-30,11,0,1
2022-07-01,1,2,1
2022-07-02,0,0,1
2022-07-03,0,0,3
2022-07-04,3,0,1
2022-07-05,0,0,0
2022-07-06,11,1,0
2022-07-07,9,4,3
2022-07-08,2,1,6
2022-07-09,0,0,9
2022-07-10,0,0,0
2022-07-11,0,0,4
2022-07-12,2,0,8
2022-07-13,0,3,1
2022-07-14,0,0,0
2022-07-15,1,1,0
2022-07-16,11,0,0
2022-07-17,3,0,0
2022-07-18,1,0,0
2022-07-19,17,1,1
2022-07-20,9,2,4
2022-07-21,13,1,0
2022-07-22,7,2,9
2022-07-23,1,0,2
2022-07-24,0,0,1
2022-07-25,12,0,0
2022-07-26,7,0,3
2022-07-27,11,0,0
2022-07-28,9,0,0
2022-07-29,5,0,3
2022-07-30,0,0,13
2022-07-31,1,0,18
2022-08-01,4,3,4
2022-08-02,2,2,7
2022-08-03,4,0,0
2022-08-04,2,0,0
2022-08-05,12,0,0
2022-08-06,0,0,1
2022-08-07,1,0,0
2022-08-08,2,0,0
2022-08-09,2,0,0
2022-08-10,5,3,3
2022-08-11,4,9,2
2022-08-12,4,0,6
2022-08-13,2,0,2
2022-08-14,0,2,2
2022-08-15,1,1,14
2022-08-16,3,4,4
2022-08-17,2,0,4
2022-08-18,1,0,14
2022-08-19,1,0,2
2022-08-20,0,0,5
2022-08-21,0,0,0
2022-08-22,2,2,0
2022-08-23,1,1,0
2022-08-24,8,0,0
2022-08-25,6,0,0
2022-08-26,5,1,3
2022-08-27,0,1,0
2022-08-28,0,0,0
2022-08-29,11,0,1
2022-08-30,12,0,0
2022-08-31,11,0,1
2022-09-01,4,0,2
2022-09-02,21,0,9
2022-09-03,6,0,2
2022-09-04,3,0,4
2022-09-05,14,0,0
2022-09-06,7,0,0
2022-09-07,10,0,0
2022-09-08,4,1,1
2022-09-09,12,2,2
2022-09-10,3,0,5
2022-09-11,0,0,3
2022-09-12,8,1,0
2022-09-13,3,0,0
2022-09-14,1,0,0
2022-09-15,4,0,7
2022-09-16,10,0,0
2022-09-17,1,0,0
2022-09-18,1,0,0
2022-09-19,6,2,0
2022-09-20,6,0,0
2022-09-21,4,0,6
2022-09-22,4,1,5
2022-09-23,4,0,1
2022-09-24,2,0,1
2022-09-25,6,0,0
2022-09-26,10,3,1
2022-09-27,7,0,0
2022-09-28,5,0,2
2022-09-29,1,0,0
2022-09-30,6,0,1
2022-10-01,0,0,0
2022-10-02,0,0,0
2022-10-03,4,0,0
2022-10-04,1,0,0
2022-10-05,0,0,1
2022-10-06,6,1,1
2022-10-07,9,0,1
2022-10-08,0,1,0
2022-10-09,0,1,1
2022-10-10,5,8,0
2022-10-11,2,10,0
2022-10-12,5,0,0
2022-10-13,16,0,0
2022-10-14,8,0,0
2022-10-15,0,0,0
2022-10-16,0,0,0
2022-10-17,3,0,2
2022-10-18,4,0,2
2022-10-19,3,0,3
2022-10-20,2,1,4
2022-10-21,0,0,1
2022-10-22,0,0,1
2022-10-23,4,1,1
2022-10-24,5,5,2
2022-10-25,5,5,6
2022-10-26,5,5,1
2022-10-27,2,2,1
2022-10-28,9,0,0
2022-10-29,0,0,0
2022-10-30,0,0,0
2022-10-31,2,4,1
2022-11-01,3,3,1
2022-11-02,4,9,0
2022-11-03,19,0,5
2022-11-04,8,1,3
2022-11-05,1,0,0
2022-11-06,0,1,0
2022-11-07,2,0,2
2022-11-08,1,1,0
2022-11-09,0,2,0
2022-11-10,5,1,0
2022-11-11,1,1,6
2022-11-12,5,1,0
2022-11-13,4,1,0
2022-11-14,3,0,6
2022-11-15,17,0,0
2022-11-16,9,0,4
2022-11-17,10,0,2
2022-11-18,11,0,3
2022-11-19,0,0,2
2022-11-20,1,0,0
2022-11-21,2,1,4
2022-11-22,9,0,0
2022-11-23,4,0,1
2022-11-24,8,0,0
2022-11-25,14,0,0
2022-11-26,0,3,0
2022-11-27,0,2,0
2022-11-28,9,2,1
2022-11-29,6,5,0
2022-11-30,8,8,0
2022-12-01,5,3,8
2022-12-02,8,0,6
2022-12-03,1,1,4
2022-12-04,0,1,0
2022-12-05,2,8,2
2022-12-06,6,7,4
2022-12-07,5,2,1
2022-12-08,3,12,1
2022-12-09,5,6,0
2022-12-10,0,1,0
2022-12-11,0,0,0
2022-12-12,2,0,0
2022-12-13,6,0,0
2022-12-14,3,0,0
2022-12-15,5,0,0
2022-12-16,1,0,0
2022-12-17,0,0,0
2022-12-18,0,0,0
2022-12-19,4,1,0
2022-12-20,0,0,0
2022-12-21,0,0,0
2022-12-22,5,0,0
2022-12-23,0,2,1
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,7,3,0
2022-12-28,12,0,0
2022-12-29,3,0,5
2022-12-30,0,0,0
2022-12-31,4,0,0
2023-01-01,0,0,1
2023-01-02,4,0,0
2023-01-03,8,1,0
2023-01-04,3,0,0
2023-01-05,6,0,3
2023-01-06,3,9,0
2023-01-07,0,0,0
2023-01-08,0,3,0
2023-01-09,5,8,3
2023-01-10,2,5,2
2023-01-11,12,0,3
2023-01-12,10,0,4
2023-01-13,11,0,1
2023-01-14,6,0,0
2023-01-15,0,0,0
2023-01-16,3,0,0
2023-01-17,2,2,1
2023-01-18,12,0,2
2023-01-19,4,1,0
2023-01-20,5,1,0
2023-01-21,0,0,0
2023-01-22,0,0,0
2023-01-23,6,0,1
2023-01-24,9,0,12
2023-01-25,3,3,5
2023-01-26,5,2,11
2023-01-27,5,2,7
2023-01-28,0,0,6
2023-01-29,0,1,2
2023-01-30,3,0,0
2023-01-31,0,0,0
2023-02-01,1,3,22
2023-02-02,1,3,3
2023-02-03,4,2,2
2023-02-04,3,0,9
2023-02-05,1,0,1
2023-02-06,2,0,9
2023-02-07,7,3,6
2023-02-08,7,4,0
2023-02-09,8,1,8
2023-02-10,2,2,4
2023-02-11,1,0,7
2023-02-12,1,0,20
2023-02-13,2,2,8
2023-02-14,1,3,19
2023-02-15,0,3,3
2023-02-16,0,0,1
2023-02-17,3,4,9
2023-02-18,0,0,0
2023-02-19,7,2,1
2023-02-20,4,5,1
2023-02-21,1,0,1
2023-02-22,1,0,1
2023-02-23,3,0,0
2023-02-24,12,2,0
2023-02-25,1,2,0
2023-02-26,1,1,3
2023-02-27,8,0,0
2023-02-28,16,0,1
2023-03-01,0,0,3
2023-03-02,3,0,0
2023-03-03,2,0,0
2023-03-04,0,0,0
2023-03-05,0,0,1
2023-03-06,14,0,1
2023-03-07,5,0,0
2023-03-08,6,1,2
2023-03-09,11,0,0
2023-03-10,12,0,1
2023-03-11,0,0,0
2023-03-12,0,0,0
2023-03-13,12,0,0
2023-03-14,10,0,0
2023-03-15,9,0,0
2023-03-16,10,1,0
2023-03-17,7,0,0
2023-03-18,0,1,0
2023-03-19,0,5,1
2023-03-20,7,0,0
2023-03-21,9,0,0
2023-03-22,11,0,0
2023-03-23,4,0,0
2023-03-24,5,0,0
2023-03-25,1,0,0
2023-03-26,0,1,0
2023-03-27,7,0,6
2023-03-28,6,0,0
2023-03-29,11,0,0
2023-03-30,7,0,0
2023-03-31,0,0,0
2023-04-01,0,0,0
2023-04-02,4,0,4
2023-04-03,17,0,2
2023-04-04,18,0,1
2023-04-05,2,2,0
2023-04-06,5,3,0
2023-04-07,3,5,1
2023-04-08,0,0,0
2023-04-09,0,0,0
2023-04-10,0,0,2
2023-04-11,3,0,1
2023-04-12,10,0,2
2023-04-13,5,4,2
2023-04-14,13,6,1
2023-04-15,0,3,0
2023-04-16,1,3,0
2023-04-17,2,5,0
2023-04-18,2,0,0
2023-04-19,12,0,0
2023-04-20,3,3,0
2023-04-21,1,6,0
2023-04-22,0,2,0
2023-04-23,0,9,0
2023-04-24,6,9,0
2023-04-25,12,1,0
2023-04-26,4,10,1
2023-04-27,5,1,7
2023-04-28,1,2,4
2023-04-29,0,1,0
2023-04-30,0,4,0
2023-05-01,0,1,0
2023-05-02,2,5,1
2023-05-03,0,6,0
2023-05-04,7,0,0
2023-05-05,5,7,0
2023-05-06,1,2,0
2023-05-07,0,2,1
2023-05-08,1,2,0
2023-05-09,5,0,0
2023-05-10,2,0,0
2023-05-11,0,3,0
2023-05-12,0,0,0
2023-05-13,0,0,0
2023-05-14,0,0,0
2023-05-15,3,0,0
2023-05-16,5,1,0
2023-05-17,6,2,0
2023-05-18,0,0,1
2023-05-19,1,1,0
2023-05-20,0,0,0
2023-05-21,0,1,0
2023-05-22,3,0,0
2023-05-23,4,0,0
2023-05-24,7,0,1
2023-05-25,1,0,0
2023-05-26,1,0,0
2023-05-27,0,0,1
2023-05-28,0,0,0
2023-05-29,0,0,4
2023-05-30,4,0,8
2023-05-31,9,0,4
2023-06-01,8,2,1
2023-06-02,4,0,0
2023-06-03,1,0,6
2023-06-04,0,0,4
2023-06-05,1,0,0
2023-06-06,3,0,0
2023-06-07,5,0,0
2023-06-08,5,3,0
2023-06-09,7,3,4
2023-06-10,0,2,1
2023-06-11,0,1,0
2023-06-12,1,0,2
2023-06-13,2,0,5
2023-06-14,9,2,2
2023-06-15,3,0,0
2023-06-16,4,0,2
2023-06-17,0,0,1
2023-06-18,0,0,0
2023-06-19,6,0,0
2023-06-20,7,2,5
2023-06-21,11,0,0
2023-06-22,9,1,1
2023-06-23,10,1,1
2023-06-24,0,1,1
2023-06-25,0,1,4
2023-06-26,4,1,1
2023-06-27,9,0,0
2023-06-28,7,0,0
2023-06-29,9,11,0
2023-06-30,12,6,0
2023-07-01,1,0,1
2023-07-02,0,1,0
2023-07-03,3,0,0
2023-07-04,0,0,1
2023-07-05,5,1,0
2023-07-06,10,0,2
2023-07-07,2,0,4
2023-07-08,0,0,0
2023-07-09,0,0,1
2023-07-10,7,0,0
2023-07-11,2,0,0
2023-07-12,5,0,0
2023-07-13,4,0,0
2023-07-14,2,0,1
2023-07-15,0,0,0
2023-07-16,0,0,0
2023-07-17,2,0,0
2023-07-18,4,0,0
2023-07-19,0,0,1
2023-07-20,2,1,0
2023-07-21,4,1,3
2023-07-22,0,0,0
2023-07-23,0,0,0
2023-07-24,4,0,0
2023-07-25,3,0,5
2023-07-26,3,0,0
2023-07-27,7,0,0
2023-07-28,2,1,1
2023-07-29,0,0,0
2023-07-30,2,0,1
2023-07-31,3,0,0
2023-08-01,8,0,1
2023-08-02,10,0,0
2023-08-03,1,0,0
2023-08-04,0,0,0
2023-08-05,0,0,4
2023-08-06,0,0,0
2023-08-07,3,0,1
2023-08-08,8,0,2
2023-08-09,6,0,10
2023-08-10,4,4,0
2023-08-11,3,0,0
2023-08-12,5,0,1
2023-08-13,0,0,0
2023-08-14,2,0,0
2023-08-15,3,0,0
2023-08-16,2,0,9
2023-08-17,0,0,7
2023-08-18,11,0,2
2023-08-19,0,0,0
2023-08-20,1,0,0
2023-08-21,4,0,0
2023-08-22,5,0,0
2023-08-23,8,0,0
2023-08-24,7,0,1
2023-08-25,4,0,0
2023-08-26,1,0,0
2023-08-27,0,0,0
2023-08-28,12,0,0
2023-08-29,3,0,7
2023-08-30,2,0,0
2023-08-31,1,2,0
2023-09-01,4,4,4
2023-09-02,0,0,0
2023-09-03,0,0,0
2023-09-04,0,0,0
2023-09-05,3,0,3
2023-09-06,7,0,0
2023-09-07,11,0,1
2023-09-08,0,0,0
2023-09-09,0,0,0
2023-09-10,1,0,0
2023-09-11,22,0,0
2023-09-12,10,0,0
2023-09-13,39,0,0
2023-09-14,3,0,0
2023-09-15,7,0,0
2023-09-16,3,0,0
2023-09-17,2,0,0
2023-09-18,6,0,3
2023-09-19,8,0,1
2023-09-20,6,0,1
2023-09-21,3,0,0
2023-09-22,0,0,0
2023-09-23,0,0,0
2023-09-24,0,0,0
2023-09-25,12,0,33
2023-09-26,3,0,0
2023-09-27,3,0,0
2023-09-28,7,0,0
2023-09-29,8,1,0
2023-09-30,0,0,0
2023-10-01,0,0,1
2023-10-02,5,0,2
2023-10-03,2,0,0
2023-10-04,1,0,6
2023-10-05,3,0,5
2023-10-06,5,0,0
2023-10-07,0,0,0
2023-10-08,0,0,0
2023-10-09,5,0,1
2023-10-10,5,0,0
2023-10-11,7,0,2
2023-10-12,0,0,0
2023-10-13,3,0,0
2023-10-14,0,1,1
2023-10-15,0,2,0
2023-10-16,3,0,0
2023-10-17,4,2,0
2023-10-18,5,0,9
2023-10-19,5,0,8
2023-10-20,5,0,4
2023-10-21,1,0,1
2023-10-22,1,0,2
2023-10-23,4,0,7
2023-10-24,3,0,1
2023-10-25,2,0,0
2023-10-26,2,0,1
2023-10-27,2,0,4
2023-10-28,0,11,0
2023-10-29,0,1,9
2023-10-30,6,0,0
2023-10-31,6,0,1
2023-11-01,5,0,53
2023-11-02,5,0,22
2023-11-03,5,0,3
2023-11-04,2,0,0
2023-11-05,0,0,1
2023-11-06,2,0,0
2023-11-07,5,0,2
2023-11-08,5,1,18
2023-11-09,3,0,1
2023-11-10,3,0,5
2023-11-11,0,0,0
2023-11-12,1,0,0
2023-11-13,6,0,57
2023-11-14,6,0,6
2023-11-15,4,0,24
2023-11-16,5,0,10
2023-11-17,5,0,1
2023-11-18,3,0,0
2023-11-19,1,0,0
2023-11-20,8,0,7
2023-11-21,3,0,0
2023-11-22,5,0,20
2023-11-23,4,0,0
2023-11-24,5,0,24
2023-11-25,1,0,1
2023-11-26,1,0,0
2023-11-27,10,0,23
2023-11-28,6,0,4
2023-11-29,1,0,8
2023-11-30,3,0,11
2023-12-01,5,16,0
2023-12-02,1,0,0
2023-12-03,2,0,4
2023-12-04,13,0,5
2023-12-05,4,3,0
2023-12-06,4,5,6
2023-12-07,4,2,1
2023-12-08,1,5,13
2023-12-09,0,0,0
2023-12-10,0,0,0
2023-12-11,9,5,13
2023-12-12,4,9,9
2023-12-13,3,3,20
2023-12-14,1,0,16
2023-12-15,0,20,7
2023-12-16,0,0,4
2023-12-17,0,0,7
2023-12-18,6,0,5
2023-12-19,3,2,9
2023-12-20,1,0,2
2023-12-21,1,0,22
2023-12-22,1,0,6
2023-12-23,0,0,3
2023-12-24,0,0,0
2023-12-25,1,0,0
2023-12-26,0,0,0
2023-12-27,1,0,1
2023-12-28,0,0,0
2023-12-29,0,37,0
2023-12-30,0,10,2
2023-12-31,0,3,5
2024-01-01,0,1,0
2024-01-02,5,3,0
2024-01-03,0,4,3
2024-01-04,3,2,14
2024-01-05,1,0,24
2024-01-06,1,1,1
2024-01-07,0,0,0
2024-01-08,4,0,2
2024-01-09,4,0,1
2024-01-10,2,0,5
2024-01-11,8,0,8
2024-01-12,12,0,14
2024-01-13,4,0,6
2024-01-14,2,1,19
2024-01-15,14,0,4
2024-01-16,7,0,1
2024-01-17,11,2,4
2024-01-18,9,2,10
2024-01-19,6,0,16
2024-01-20,4,0,0
2024-01-21,0,0,0
2024-01-22,19,0,0
2024-01-23,2,0,19
2024-01-24,2,0,0
2024-01-25,8,0,1
2024-01-26,20,0,1
2024-01-27,0,0,21
2024-01-28,0,0,2
2024-01-29,0,0,1
2024-01-30,3,0,16
2024-01-31,5,0,11
2024-02-01,7,0,0
2024-02-02,5,0,0
2024-02-03,2,0,0
2024-02-04,1,0,0
2024-02-05,4,0,0
2024-02-06,4,0,4
2024-02-07,4,7,0
2024-02-08,2,0,0
2024-02-09,5,0,0
2024-02-10,1,0,2
2024-02-11,1,0,2
2024-02-12,7,2,15
2024-02-13,5,1,0
2024-02-14,9,0,3
2024-02-15,1,0,0
2024-02-16,7,0,0
2024-02-17,3,0,1
2024-02-18,0,0,0
2024-02-19,10,0,1
2024-02-20,10,5,0
2024-02-21,7,1,8
2024-02-22,10,1,13
2024-02-23,12,0,4
2024-02-24,0,0,16
2024-02-25,0,0,0
2024-02-26,9,0,4
2024-02-27,5,0,10
2024-02-28,7,2,33
2024-02-29,2,0,10
2024-03-01,1,0,0
2024-03-02,9,0,0
2024-03-03,1,0,0
2024-03-04,6,0,0
2024-03-05,5,0,7
2024-03-06,6,0,4
2024-03-07,4,0,10
2024-03-08,5,0,1
2024-03-09,1,0,0
2024-03-10,0,0,0
2024-03-11,5,0,2
2024-03-12,0,0,1
2024-03-13,3,0,4
2024-03-14,2,0,1
2024-03-15,0,0,0
2024-03-16,0,0,0
2024-03-17,0,0,0
2024-03-18,10,2,0
2024-03-19,5,0,2
2024-03-20,4,0,2
2024-03-21,2,0,3
2024-03-22,0,0,6
2024-03-23,0,0,0
2024-03-24,0,0,0
2024-03-25,7,0,3
2024-03-26,3,0,1
2024-03-27,4,0,1
2024-03-28,6,0,3
2024-03-29,1,1,1
2024-03-30,0,2,2
2024-03-31,0,0,0
2024-04-01,4,1,1
2024-04-02,2,0,5
2024-04-03,4,2,9
2024-04-04,3,0,1
2024-04-05,3,0,0
2024-04-06,0,0,0
2024-04-07,0,0,0
2024-04-08,11,1,11
2024-04-09,3,0,2
2024-04-10,9,0,14
2024-04-11,9,1,25
2024-04-12,5,1,2
2024-04-13,0,0,0
2024-04-14,0,0,2
2024-04-15,7,3,1
2024-04-16,5,5,6
2024-04-17,6,0,3
2024-04-18,2,5,2
2024-04-19,2,3,3
2024-04-20,0,0,7
2024-04-21,0,1,1
2024-04-22,7,0,5
2024-04-23,6,2,8
2024-04-24,2,0,2
2024-04-25,4,0,2
2024-04-26,6,0,2
2024-04-27,0,0,0
2024-04-28,0,0,0
2024-04-29,5,0,1
2024-04-30,1,0,0
2024-05-01,0,0,0
2024-05-02,8,0,17
2024-05-03,4,0,2
2024-05-04,1,0,0
2024-05-05,0,0,0
2024-05-06,6,0,1
2024-05-07,6,1,1
2024-05-08,1,1,0
2024-05-09,1,0,1
2024-05-10,0,0,0
2024-05-11,1,0,0
2024-05-12,0,0,0
2024-05-13,13,1,3
2024-05-14,4,7,3
2024-05-15,3,11,10
2024-05-16,3,0,6
2024-05-17,6,0,3
2024-05-18,1,1,6
2024-05-19,1,4,5
2024-05-20,7,1,0
2024-05-21,4,0,4
2024-05-22,5,0,3
2024-05-23,3,0,0
2024-05-24,5,1,7
2024-05-25,3,7,3
2024-05-26,0,2,4
2024-05-27,4,0,0
2024-05-28,4,0,3
2024-05-29,1,0,5
2024-05-30,4,0,3
2024-05-31,2,2,2
2024-06-01,0,4,0
2024-06-02,0,0,0
2024-06-03,7,0,1
2024-06-04,3,0,0
2024-06-05,10,21,3
2024-06-06,11,6,4
2024-06-07,5,0,7
2024-06-08,0,0,4
2024-06-09,0,0,5
2024-06-10,11,0,11
2024-06-11,1,0,1
2024-06-12,0,0,3
2024-06-13,6,5,0
2024-06-14,3,25,5
2024-06-15,1,0,3
2024-06-16,0,0,6
2024-06-17,7,1,8
2024-06-18,4,0,2
2024-06-19,5,0,0
2024-06-20,7,0,1
2024-06-21,4,17,11
2024-06-22,0,1,3
2024-06-23,0,0,1
2024-06-24,3,0,0
2024-06-25,0,0,3
2024-06-26,3,1,6
2024-06-27,2,0,3
2024-06-28,6,0,11
2024-06-29,0,0,0
2024-06-30,0,0,0
2024-07-01,3,1,8
2024-07-02,5,0,1
2024-07-03,6,2,5
2024-07-04,6,0,4
2024-07-05,3,0,23
2024-07-06,0,0,12
2024-07-07,0,0,3
2024-07-08,7,1,9
2024-07-09,9,0,7
2024-07-10,5,0,12
2024-07-11,5,0,3
2024-07-12,7,0,9
2024-07-13,0,0,10
2024-07-14,0,2,0
2024-07-15,7,12,12
2024-07-16,2,1,0
2024-07-17,1,0,5
2024-07-18,3,0,6
2024-07-19,3,0,11
2024-07-20,5,3,0
2024-07-21,1,0,3
2024-07-22,11,0,7
2024-07-23,6,0,4
2024-07-24,3,0,8
2024-07-25,6,0,2
2024-07-26,1,0,1
2024-07-27,0,0,0
2024-07-28,0,0,3
2024-07-29,6,0,8
2024-07-30,2,0,1
2024-07-31,1,0,0
2024-08-01,2,0,0
2024-08-02,5,0,1
2024-08-03,1,0,0
2024-08-04,0,0,0
2024-08-05,6,0,0
2024-08-06,1,0,1
2024-08-07,0,0,0
2024-08-08,0,0,1
2024-08-09,0,0,0
2024-08-10,3,0,0
2024-08-11,0,0,0
2024-08-12,6,3,1
2024-08-13,8,0,0
2024-08-14,1,0,2
2024-08-15,1,1,0
2024-08-16,1,0,1
2024-08-17,0,0,0
2024-08-18,0,0,0
2024-08-19,4,0,1
2024-08-20,1,0,1
2024-08-21,1,0,0
2024-08-22,1,0,3
2024-08-23,2,3,3
2024-08-24,0,0,5
2024-08-25,0,0,0
2024-08-26,6,0,1
2024-08-27,1,3,6
2024-08-28,1,0,8
2024-08-29,3,0,5
2024-08-30,7,0,9
2024-08-31,1,0,5
2024-09-01,1,0,11
2024-09-02,4,1,1
2024-09-03,2,12,1
2024-09-04,9,0,10
2024-09-05,11,2,2
2024-09-06,3,2,8
2024-09-07,0,2,8
2024-09-08,0,0,0
2024-09-09,7,0,8
2024-09-10,8,0,9
2024-09-11,3,0,4
2024-09-12,3,3,3
2024-09-13,4,1,0
2024-09-14,1,0,0
2024-09-15,0,3,0
2024-09-16,7,0,8
2024-09-17,3,0,1
2024-09-18,7,0,3
2024-09-19,2,0,1
2024-09-20,1,0,1
2024-09-21,0,0,0
2024-09-22,0,0,1
2024-09-23,9,0,5
2024-09-24,0,0,2
2024-09-25,0,0,5
2024-09-26,0,0,8
2024-09-27,4,0,0
2024-09-28,2,0,0
2024-09-29,2,1,1
2024-09-30,5,0,14
2024-10-01,0,0,0
2024-10-02,5,2,17
2024-10-03,3,0,2
2024-10-04,1,0,3
2024-10-05,0,0,0
2024-10-06,0,0,0
2024-10-07,8,0,4
2024-10-08,12,6,0
2024-10-09,4,0,0
2024-10-10,2,0,3
2024-10-11,4,0,1
2024-10-12,0,2,0
2024-10-13,2,0,1
2024-10-14,14,0,2
2024-10-15,7,4,4
2024-10-16,2,11,12
2024-10-17,16,13,2
2024-10-18,12,5,0
2024-10-19,0,0,1
2024-10-20,0,0,2
2024-10-21,9,1,8
2024-10-22,2,0,12
2024-10-23,2,12,2
2024-10-24,3,3,1
2024-10-25,1,0,6
2024-10-26,1,0,1
2024-10-27,0,0,0
2024-10-28,7,3,1
2024-10-29,16,0,2
2024-10-30,5,0,1
2024-10-31,1,0,2
2024-11-01,1,0,0
2024-11-02,0,0,4
2024-11-03,0,0,0
2024-11-04,5,0,2
2024-11-05,8,0,16
2024-11-06,2,0,6
2024-11-07,5,0,3
2024-11-08,4,0,0
2024-11-09,0,0,0
2024-11-10,0,0,0
2024-11-11,1,0,3
2024-11-12,10,2,0
2024-11-13,1,0,2
2024-11-14,1,2,2
2024-11-15,6,13,1
2024-11-16,0,0,0
2024-11-17,0,3,2
2024-11-18,4,1,0
2024-11-19,4,1,0
2024-11-20,3,3,0
2024-11-21,4,1,1
2024-11-22,4,0,0
2024-11-23,1,0,2
2024-11-24,0,0,7
2024-11-25,10,0,1
2024-11-26,2,0,0
2024-11-27,1,0,2
2024-11-28,2,7,0
2024-11-29,6,6,1
2024-11-30,0,0,2
2024-12-01,0,0,0
2024-12-02,7,3,0
2024-12-03,3,0,0
2024-12-04,3,1,6
2024-12-05,3,0,2
2024-12-06,2,0,5
2024-12-07,2,0,2
2024-12-08,1,1,0
2024-12-09,9,4,0
2024-12-10,1,2,1
