,sveltejs/svelte,vuejs/core,facebook/react
2024-05-18,0,0,1
2024-05-19,0,0,2
2024-05-20,7,5,9
2024-05-21,7,2,9
2024-05-22,7,0,3
2024-05-23,19,0,9
2024-05-24,6,2,3
2024-05-25,0,0,2
2024-05-26,0,0,1
2024-05-27,6,14,0
2024-05-28,6,2,10
2024-05-29,8,1,16
2024-05-30,4,14,7
2024-05-31,10,7,15
2024-06-01,0,0,0
2024-06-02,3,0,0
2024-06-03,4,0,12
2024-06-04,8,8,4
2024-06-05,5,4,5
2024-06-06,13,4,9
2024-06-07,3,5,8
2024-06-08,9,0,2
2024-06-09,2,0,0
2024-06-10,5,10,15
2024-06-11,2,1,15
2024-06-12,4,0,8
2024-06-13,5,0,4
2024-06-14,2,20,10
2024-06-15,0,0,1
2024-06-16,0,0,0
2024-06-17,12,2,6
2024-06-18,6,1,2
2024-06-19,6,0,2
2024-06-20,8,0,6
2024-06-21,5,0,15
2024-06-22,0,14,6
2024-06-23,2,3,0
2024-06-24,9,3,4
2024-06-25,7,0,13
2024-06-26,4,1,10
2024-06-27,5,0,5
2024-06-28,3,6,5
2024-06-29,6,1,0
2024-06-30,1,0,1
2024-07-01,6,0,10
2024-07-02,8,0,4
2024-07-03,8,0,4
2024-07-04,7,0,4
2024-07-05,3,1,0
2024-07-06,0,0,1
2024-07-07,2,0,0
2024-07-08,14,2,6
2024-07-09,11,0,5
2024-07-10,10,0,9
2024-07-11,7,5,9
2024-07-12,6,3,11
2024-07-13,0,6,3
2024-07-14,2,0,0
2024-07-15,7,8,7
2024-07-16,8,6,15
2024-07-17,8,12,6
2024-07-18,5,2,16
2024-07-19,3,11,1
2024-07-20,1,0,1
2024-07-21,3,0,0
2024-07-22,9,0,9
2024-07-23,6,0,9
2024-07-24,17,9,13
2024-07-25,12,1,21
2024-07-26,6,0,10
2024-07-27,4,0,0
2024-07-28,3,0,0
2024-07-29,7,7,27
2024-07-30,3,0,18
2024-07-31,5,6,5
2024-08-01,7,1,4
2024-08-02,6,7,11
2024-08-03,1,5,1
2024-08-04,1,1,0
2024-08-05,4,14,3
2024-08-06,3,22,13
2024-08-07,0,22,2
2024-08-08,2,20,10
2024-08-09,0,2,8
2024-08-10,11,2,0
2024-08-11,4,5,0
2024-08-12,12,7,8
2024-08-13,2,6,6
2024-08-14,5,2,10
2024-08-15,13,9,8
2024-08-16,5,8,13
2024-08-17,8,0,2
2024-08-18,4,0,1
2024-08-19,3,7,5
2024-08-20,12,6,7
2024-08-21,9,0,6
2024-08-22,7,0,14
2024-08-23,5,0,6
2024-08-24,7,0,0
2024-08-25,1,0,0
2024-08-26,5,1,2
2024-08-27,5,0,8
2024-08-28,3,7,9
2024-08-29,2,7,7
2024-08-30,2,0,5
2024-08-31,0,0,0
2024-09-01,3,0,0
2024-09-02,1,7,0
2024-09-03,4,9,4
2024-09-04,3,7,5
2024-09-05,3,15,3
2024-09-06,3,8,6
2024-09-07,0,2,4
2024-09-08,0,0,1
2024-09-09,1,0,9
2024-09-10,5,10,8
2024-09-11,3,0,3
2024-09-12,8,0,8
2024-09-13,9,13,6
2024-09-14,1,1,3
2024-09-15,1,0,0
2024-09-16,12,11,12
2024-09-17,11,0,5
2024-09-18,6,1,10
2024-09-19,10,0,7
2024-09-20,6,13,2
2024-09-21,1,0,0
2024-09-22,0,3,0
2024-09-23,3,1,5
2024-09-24,4,3,3
2024-09-25,1,0,5
2024-09-26,4,7,14
2024-09-27,4,6,1
2024-09-28,1,2,0
2024-09-29,3,0,0
2024-09-30,1,0,9
2024-10-01,0,0,6
2024-10-02,0,0,2
2024-10-03,10,6,2
2024-10-04,4,1,0
2024-10-05,1,0,0
2024-10-06,0,0,0
2024-10-07,5,0,10
2024-10-08,4,0,1
2024-10-09,7,0,8
2024-10-10,3,0,15
2024-10-11,3,23,2
2024-10-12,2,0,1
2024-10-13,0,0,1
2024-10-14,6,5,5
2024-10-15,6,0,5
2024-10-16,8,0,4
2024-10-17,8,1,4
2024-10-18,10,0,11
