,davisking/dlib,opencv/opencv,scikit-image/scikit-image
2010-12-22,18,7,0
2010-12-23,12,14,0
2010-12-24,3,5,0
2010-12-25,0,0,0
2010-12-26,13,1,0
2010-12-27,1,7,0
2010-12-28,4,6,0
2010-12-29,1,4,0
2010-12-30,6,1,0
2010-12-31,28,2,0
2011-01-01,3,0,0
2011-01-02,6,0,0
2011-01-03,4,1,0
2011-01-04,1,0,0
2011-01-05,0,2,0
2011-01-06,0,1,0
2011-01-07,0,1,3
2011-01-08,0,1,0
2011-01-09,0,0,0
2011-01-10,0,1,0
2011-01-11,0,5,0
2011-01-12,0,11,0
2011-01-13,6,10,0
2011-01-14,0,5,0
2011-01-15,0,0,0
2011-01-16,0,0,0
2011-01-17,0,11,0
2011-01-18,1,6,0
2011-01-19,0,11,0
2011-01-20,0,7,0
2011-01-21,0,14,0
2011-01-22,9,0,0
2011-01-23,0,0,0
2011-01-24,0,7,0
2011-01-25,0,10,0
2011-01-26,0,9,0
2011-01-27,0,9,0
2011-01-28,0,8,2
2011-01-29,0,0,0
2011-01-30,0,1,0
2011-01-31,0,18,0
2011-02-01,0,9,0
2011-02-02,0,9,0
2011-02-03,2,5,0
2011-02-04,3,7,0
2011-02-05,4,0,0
2011-02-06,5,0,0
2011-02-07,4,9,0
2011-02-08,4,1,0
2011-02-09,2,12,0
2011-02-10,1,4,0
2011-02-11,4,3,1
2011-02-12,0,0,0
2011-02-13,1,2,0
2011-02-14,4,9,0
2011-02-15,1,8,0
2011-02-16,0,6,0
2011-02-17,0,10,0
2011-02-18,0,12,0
2011-02-19,0,0,0
2011-02-20,0,1,0
2011-02-21,0,4,0
2011-02-22,1,5,0
2011-02-23,0,2,0
2011-02-24,0,2,0
2011-02-25,0,1,0
2011-02-26,0,1,0
2011-02-27,0,3,0
2011-02-28,0,5,0
2011-03-01,0,3,0
2011-03-02,2,2,0
2011-03-03,3,2,0
2011-03-04,0,0,0
2011-03-05,0,5,0
2011-03-06,0,1,0
2011-03-07,0,2,0
2011-03-08,0,1,1
2011-03-09,0,1,0
2011-03-10,1,1,0
2011-03-11,0,1,0
2011-03-12,0,0,0
2011-03-13,4,2,12
2011-03-14,0,3,7
2011-03-15,4,2,0
2011-03-16,2,2,0
2011-03-17,0,2,0
2011-03-18,5,0,0
2011-03-19,0,0,0
2011-03-20,4,0,0
2011-03-21,0,0,0
2011-03-22,3,3,0
2011-03-23,10,1,0
2011-03-24,13,2,0
2011-03-25,0,2,0
2011-03-26,0,0,1
2011-03-27,0,0,0
2011-03-28,0,5,0
2011-03-29,0,1,0
2011-03-30,0,3,1
2011-03-31,0,4,0
2011-04-01,0,5,1
2011-04-02,0,3,1
2011-04-03,0,2,0
2011-04-04,0,4,0
2011-04-05,0,1,4
2011-04-06,0,3,0
2011-04-07,2,3,3
2011-04-08,1,3,2
2011-04-09,1,0,0
2011-04-10,0,3,0
2011-04-11,0,2,3
2011-04-12,0,0,0
2011-04-13,0,1,0
2011-04-14,0,1,0
2011-04-15,0,6,0
2011-04-16,0,0,0
2011-04-17,1,3,1
2011-04-18,14,8,1
2011-04-19,0,5,4
2011-04-20,0,4,0
2011-04-21,0,8,0
2011-04-22,3,7,0
2011-04-23,2,4,0
2011-04-24,0,3,0
2011-04-25,0,9,0
2011-04-26,0,14,0
2011-04-27,0,5,0
2011-04-28,0,2,0
2011-04-29,9,14,0
2011-04-30,0,15,0
2011-05-01,2,3,0
2011-05-02,0,7,0
2011-05-03,1,8,0
2011-05-04,8,8,0
2011-05-05,1,6,0
2011-05-06,0,17,0
2011-05-07,4,2,0
2011-05-08,0,5,0
2011-05-09,0,15,2
2011-05-10,5,10,0
2011-05-11,0,19,0
2011-05-12,0,3,0
2011-05-13,6,6,0
2011-05-14,10,0,0
2011-05-15,9,6,0
2011-05-16,4,6,0
2011-05-17,3,11,2
2011-05-18,0,13,0
2011-05-19,2,5,0
2011-05-20,8,10,4
2011-05-21,6,15,0
2011-05-22,9,0,0
2011-05-23,2,18,0
2011-05-24,1,14,0
2011-05-25,1,10,0
2011-05-26,1,7,0
2011-05-27,10,9,0
2011-05-28,27,7,1
2011-05-29,14,2,0
2011-05-30,4,19,2
2011-05-31,1,22,7
2011-06-01,1,29,0
2011-06-02,3,17,0
2011-06-03,4,14,0
2011-06-04,13,2,0
2011-06-05,7,2,0
2011-06-06,0,8,0
2011-06-07,6,16,0
2011-06-08,4,21,0
2011-06-09,3,25,0
2011-06-10,2,18,0
2011-06-11,4,3,0
2011-06-12,3,1,0
2011-06-13,0,15,0
2011-06-14,0,21,0
2011-06-15,0,17,0
2011-06-16,0,17,0
2011-06-17,0,29,0
2011-06-18,5,10,0
2011-06-19,25,10,0
2011-06-20,7,11,0
2011-06-21,8,8,0
2011-06-22,0,4,0
2011-06-23,0,10,1
2011-06-24,3,7,0
2011-06-25,0,1,0
2011-06-26,0,3,0
2011-06-27,0,10,0
2011-06-28,0,11,0
2011-06-29,0,22,0
2011-06-30,0,23,0
2011-07-01,0,24,0
2011-07-02,0,5,0
2011-07-03,0,1,0
2011-07-04,0,17,0
2011-07-05,1,10,0
2011-07-06,0,11,0
2011-07-07,0,22,0
2011-07-08,13,18,0
2011-07-09,0,1,0
2011-07-10,0,2,3
2011-07-11,0,17,0
2011-07-12,0,21,0
2011-07-13,10,16,0
2011-07-14,0,24,0
2011-07-15,0,15,33
2011-07-16,0,12,28
2011-07-17,0,2,1
2011-07-18,1,15,6
2011-07-19,0,20,7
2011-07-20,0,7,4
2011-07-21,0,11,3
2011-07-22,0,21,0
2011-07-23,0,1,0
2011-07-24,0,6,0
2011-07-25,0,12,0
2011-07-26,0,9,0
2011-07-27,0,16,0
2011-07-28,0,10,0
2011-07-29,0,9,0
2011-07-30,0,4,0
2011-07-31,0,3,0
2011-08-01,0,10,0
2011-08-02,0,18,0
2011-08-03,0,26,0
2011-08-04,0,13,0
2011-08-05,0,8,0
2011-08-06,0,13,0
2011-08-07,1,3,0
2011-08-08,3,14,0
2011-08-09,5,16,0
2011-08-10,2,27,0
2011-08-11,0,19,0
2011-08-12,4,18,0
2011-08-13,1,12,0
2011-08-14,1,9,0
2011-08-15,0,19,0
2011-08-16,0,5,0
2011-08-17,2,7,1
2011-08-18,1,0,6
2011-08-19,0,2,0
2011-08-20,0,3,0
2011-08-21,4,8,1
2011-08-22,0,8,18
2011-08-23,1,1,0
2011-08-24,6,2,7
2011-08-25,8,0,0
2011-08-26,3,8,0
2011-08-27,0,4,0
2011-08-28,1,0,0
2011-08-29,6,4,6
2011-08-30,2,5,0
2011-08-31,2,7,0
2011-09-01,1,2,0
2011-09-02,1,2,0
2011-09-03,1,0,0
2011-09-04,2,3,0
2011-09-05,1,13,0
2011-09-06,0,6,0
2011-09-07,2,17,0
2011-09-08,13,6,0
2011-09-09,12,4,0
2011-09-10,6,3,0
2011-09-11,10,1,0
2011-09-12,1,9,0
2011-09-13,0,6,3
2011-09-14,0,5,0
2011-09-15,4,8,0
2011-09-16,6,3,6
2011-09-17,11,0,10
2011-09-18,8,1,4
2011-09-19,8,4,2
2011-09-20,1,6,3
2011-09-21,1,7,0
2011-09-22,2,11,0
2011-09-23,1,1,1
2011-09-24,16,2,9
2011-09-25,7,0,7
2011-09-26,0,9,27
2011-09-27,1,9,22
2011-09-28,2,5,4
2011-09-29,1,5,4
2011-09-30,0,10,0
2011-10-01,5,2,8
2011-10-02,1,0,0
2011-10-03,0,18,0
2011-10-04,0,13,5
2011-10-05,0,4,4
2011-10-06,0,6,4
2011-10-07,0,5,2
2011-10-08,8,0,1
2011-10-09,5,1,19
2011-10-10,3,4,31
2011-10-11,3,4,2
2011-10-12,0,6,25
2011-10-13,3,2,4
2011-10-14,0,1,2
2011-10-15,0,0,12
2011-10-16,0,1,6
2011-10-17,0,2,1
2011-10-18,0,2,6
2011-10-19,0,4,0
2011-10-20,4,4,0
2011-10-21,0,13,1
2011-10-22,7,0,2
2011-10-23,0,0,0
2011-10-24,0,4,12
2011-10-25,0,1,4
2011-10-26,0,2,2
2011-10-27,0,4,11
2011-10-28,3,3,6
2011-10-29,0,0,1
2011-10-30,13,3,0
2011-10-31,1,9,0
2011-11-01,1,3,0
2011-11-02,3,0,6
2011-11-03,9,4,0
2011-11-04,7,3,0
2011-11-05,1,0,0
2011-11-06,6,1,1
2011-11-07,0,4,6
2011-11-08,0,3,1
2011-11-09,0,5,0
2011-11-10,0,3,0
2011-11-11,0,2,2
2011-11-12,0,0,0
2011-11-13,0,1,0
2011-11-14,0,4,0
2011-11-15,0,1,0
2011-11-16,0,5,0
2011-11-17,0,4,1
2011-11-18,0,2,0
2011-11-19,0,1,0
2011-11-20,0,0,0
2011-11-21,0,9,8
2011-11-22,2,5,2
2011-11-23,0,8,1
2011-11-24,0,3,0
2011-11-25,0,2,0
2011-11-26,0,0,2
2011-11-27,0,2,1
2011-11-28,0,6,1
2011-11-29,0,2,0
2011-11-30,0,8,13
2011-12-01,0,4,5
2011-12-02,0,0,1
2011-12-03,9,6,9
2011-12-04,11,1,0
2011-12-05,3,1,7
2011-12-06,0,0,5
2011-12-07,1,0,2
2011-12-08,3,1,3
2011-12-09,2,1,9
2011-12-10,6,0,0
2011-12-11,6,0,5
2011-12-12,1,5,3
2011-12-13,2,2,6
2011-12-14,1,1,0
2011-12-15,1,2,1
2011-12-16,3,2,1
2011-12-17,1,0,4
2011-12-18,3,0,4
2011-12-19,0,5,1
2011-12-20,0,4,1
2011-12-21,0,6,1
2011-12-22,1,4,6
2011-12-23,0,5,2
2011-12-24,5,0,0
2011-12-25,4,0,1
2011-12-26,14,6,8
2011-12-27,13,11,1
2011-12-28,0,5,0
2011-12-29,7,5,0
2011-12-30,1,1,0
2011-12-31,10,0,0
2012-01-01,19,0,0
2012-01-02,4,0,0
2012-01-03,2,3,0
2012-01-04,0,1,0
2012-01-05,0,1,1
2012-01-06,0,5,0
2012-01-07,3,1,0
2012-01-08,2,0,2
2012-01-09,0,4,2
2012-01-10,0,3,1
2012-01-11,0,7,0
2012-01-12,0,3,0
2012-01-13,0,2,0
2012-01-14,1,0,0
2012-01-15,0,0,2
2012-01-16,0,9,0
2012-01-17,0,1,2
2012-01-18,0,3,0
2012-01-19,1,10,0
2012-01-20,0,5,0
2012-01-21,24,0,2
2012-01-22,2,1,1
2012-01-23,2,8,2
2012-01-24,0,5,0
2012-01-25,0,14,0
2012-01-26,1,9,0
2012-01-27,0,4,5
2012-01-28,0,1,1
2012-01-29,4,1,0
2012-01-30,1,8,0
2012-01-31,0,3,1
2012-02-01,0,2,3
2012-02-02,0,1,3
2012-02-03,7,10,16
2012-02-04,0,3,5
2012-02-05,4,1,22
2012-02-06,0,14,3
2012-02-07,0,1,4
2012-02-08,1,4,12
2012-02-09,0,4,9
2012-02-10,0,4,26
2012-02-11,1,2,0
2012-02-12,0,0,8
2012-02-13,0,4,6
2012-02-14,0,6,7
2012-02-15,0,11,7
2012-02-16,0,11,0
2012-02-17,0,7,0
2012-02-18,0,1,0
2012-02-19,0,2,2
2012-02-20,0,7,8
2012-02-21,0,6,11
2012-02-22,2,12,8
2012-02-23,4,2,1
2012-02-24,0,11,0
2012-02-25,0,0,0
2012-02-26,0,1,11
2012-02-27,1,12,8
2012-02-28,3,2,1
2012-02-29,6,5,0
2012-03-01,6,6,0
2012-03-02,0,13,5
2012-03-03,0,1,5
2012-03-04,0,4,2
2012-03-05,0,4,0
2012-03-06,2,1,0
2012-03-07,5,11,0
2012-03-08,3,1,0
2012-03-09,0,0,2
2012-03-10,20,1,0
2012-03-11,6,13,2
2012-03-12,0,9,1
2012-03-13,0,6,1
2012-03-14,0,6,0
2012-03-15,0,26,0
2012-03-16,0,7,0
2012-03-17,5,3,0
2012-03-18,5,12,0
2012-03-19,0,19,0
2012-03-20,3,16,0
2012-03-21,5,19,1
2012-03-22,12,13,0
2012-03-23,1,8,0
2012-03-24,0,3,0
2012-03-25,0,2,0
2012-03-26,0,29,1
2012-03-27,0,23,1
2012-03-28,0,37,0
2012-03-29,0,32,0
2012-03-30,6,24,0
2012-03-31,4,18,0
2012-04-01,1,3,0
2012-04-02,1,10,0
2012-04-03,0,10,0
2012-04-04,0,21,0
2012-04-05,1,17,1
2012-04-06,0,19,0
2012-04-07,0,5,0
2012-04-08,0,4,0
2012-04-09,0,43,2
2012-04-10,0,42,0
2012-04-11,4,20,0
2012-04-12,0,29,0
2012-04-13,2,17,0
2012-04-14,3,0,0
2012-04-15,0,1,0
2012-04-16,0,26,8
2012-04-17,0,11,0
2012-04-18,0,21,0
2012-04-19,0,10,1
2012-04-20,0,9,1
2012-04-21,0,0,2
2012-04-22,4,2,1
2012-04-23,0,13,10
2012-04-24,2,23,4
2012-04-25,1,20,14
2012-04-26,0,17,1
2012-04-27,0,21,3
2012-04-28,12,28,2
2012-04-29,16,0,1
2012-04-30,2,6,5
2012-05-01,20,0,2
2012-05-02,2,5,0
2012-05-03,11,5,17
2012-05-04,0,9,3
2012-05-05,10,5,0
2012-05-06,13,0,0
2012-05-07,2,2,3
2012-05-08,0,0,4
2012-05-09,2,0,54
2012-05-10,0,1,0
2012-05-11,1,4,0
2012-05-12,5,9,0
2012-05-13,0,1,0
2012-05-14,1,4,0
2012-05-15,2,3,2
2012-05-16,0,3,4
2012-05-17,0,8,0
2012-05-18,0,11,0
2012-05-19,17,5,1
2012-05-20,17,4,0
2012-05-21,7,9,0
2012-05-22,2,17,39
2012-05-23,3,9,11
2012-05-24,0,6,2
2012-05-25,0,12,0
2012-05-26,0,0,0
2012-05-27,0,0,0
2012-05-28,0,16,1
2012-05-29,0,18,1
2012-05-30,0,12,0
2012-05-31,0,13,1
2012-06-01,0,13,0
2012-06-02,0,0,0
2012-06-03,0,0,0
2012-06-04,0,1,0
2012-06-05,0,6,0
2012-06-06,0,16,0
2012-06-07,0,3,7
2012-06-08,0,10,0
2012-06-09,0,10,0
2012-06-10,0,6,0
