,mlpack/mlpack,statsmodels/statsmodels,scikit-learn/scikit-learn
2015-02-15,17,6,2
2015-02-16,1,10,5
2015-02-17,0,0,0
2015-02-18,0,3,6
2015-02-19,0,0,4
2015-02-20,1,0,11
2015-02-21,1,0,2
2015-02-22,1,0,0
2015-02-23,1,0,4
2015-02-24,3,0,22
2015-02-25,0,0,13
2015-02-26,0,0,7
2015-02-27,10,0,5
2015-02-28,1,0,4
2015-03-01,1,0,4
2015-03-02,1,0,16
2015-03-03,7,0,15
2015-03-04,0,0,9
2015-03-05,6,0,15
2015-03-06,0,0,9
2015-03-07,2,0,4
2015-03-08,1,0,0
2015-03-09,3,0,8
2015-03-10,2,0,10
2015-03-11,2,0,3
2015-03-12,113,1,5
2015-03-13,0,0,2
2015-03-14,3,0,1
2015-03-15,0,0,3
2015-03-16,0,0,4
2015-03-17,0,1,6
2015-03-18,0,1,15
2015-03-19,0,5,7
2015-03-20,3,0,12
2015-03-21,0,2,5
2015-03-22,3,1,0
2015-03-23,3,7,14
2015-03-24,4,0,7
2015-03-25,6,0,5
2015-03-26,2,0,11
2015-03-27,0,0,1
2015-03-28,0,0,1
2015-03-29,0,0,4
2015-03-30,4,0,2
2015-03-31,5,0,7
2015-04-01,4,0,4
2015-04-02,6,0,19
2015-04-03,1,0,3
2015-04-04,0,0,4
2015-04-05,10,0,3
2015-04-06,0,0,6
2015-04-07,2,0,1
2015-04-08,3,0,6
2015-04-09,2,0,13
2015-04-10,0,0,8
2015-04-11,0,0,6
2015-04-12,1,0,4
2015-04-13,0,0,7
2015-04-14,3,0,7
2015-04-15,9,0,11
2015-04-16,0,0,7
2015-04-17,6,0,0
2015-04-18,5,0,0
2015-04-19,0,0,2
2015-04-20,4,0,11
2015-04-21,8,0,1
2015-04-22,23,0,1
2015-04-23,11,0,3
2015-04-24,0,0,8
2015-04-25,6,0,0
2015-04-26,2,0,0
2015-04-27,11,0,4
2015-04-28,8,0,11
2015-04-29,31,0,2
2015-04-30,0,0,9
2015-05-01,0,0,15
2015-05-02,0,0,3
2015-05-03,11,0,2
2015-05-04,11,0,4
2015-05-05,4,0,5
2015-05-06,0,0,14
2015-05-07,3,2,8
2015-05-08,3,0,10
2015-05-09,0,0,4
2015-05-10,2,0,8
2015-05-11,0,0,4
2015-05-12,1,0,5
2015-05-13,0,0,5
2015-05-14,1,0,3
2015-05-15,2,0,14
2015-05-16,0,2,10
2015-05-17,0,0,4
2015-05-18,0,0,4
2015-05-19,0,0,9
2015-05-20,17,0,11
2015-05-21,2,0,13
2015-05-22,1,0,4
2015-05-23,3,0,5
2015-05-24,0,0,1
2015-05-25,0,0,4
2015-05-26,0,0,6
2015-05-27,0,3,11
2015-05-28,6,0,8
2015-05-29,0,0,5
2015-05-30,0,0,2
2015-05-31,0,0,2
2015-06-01,12,0,10
2015-06-02,1,0,3
2015-06-03,5,0,4
2015-06-04,2,0,4
2015-06-05,0,0,5
2015-06-06,1,0,3
2015-06-07,0,0,0
2015-06-08,3,0,13
2015-06-09,1,0,6
2015-06-10,1,0,2
2015-06-11,1,0,14
2015-06-12,0,0,3
2015-06-13,0,0,2
2015-06-14,0,0,0
2015-06-15,0,0,6
2015-06-16,12,0,2
2015-06-17,3,0,2
2015-06-18,0,0,3
2015-06-19,0,0,0
2015-06-20,4,0,1
2015-06-21,2,0,2
2015-06-22,1,0,1
2015-06-23,1,0,0
2015-06-24,2,13,11
2015-06-25,0,2,7
2015-06-26,6,0,0
2015-06-27,3,0,0
2015-06-28,1,4,0
2015-06-29,1,15,4
2015-06-30,2,0,0
2015-07-01,1,6,3
2015-07-02,1,12,3
2015-07-03,1,32,1
2015-07-04,1,9,0
2015-07-05,2,2,1
2015-07-06,0,0,1
2015-07-07,4,1,6
2015-07-08,6,0,4
2015-07-09,4,42,2
2015-07-10,3,11,1
2015-07-11,0,6,20
2015-07-12,2,14,14
2015-07-13,27,1,1
2015-07-14,0,17,0
2015-07-15,4,1,4
2015-07-16,4,5,8
2015-07-17,0,3,3
2015-07-18,0,1,1
2015-07-19,0,0,5
2015-07-20,0,0,3
2015-07-21,1,9,4
2015-07-22,0,2,4
2015-07-23,1,2,19
2015-07-24,0,4,3
2015-07-25,0,1,0
2015-07-26,0,0,0
2015-07-27,30,0,0
2015-07-28,1,2,6
2015-07-29,1,0,4
2015-07-30,1,1,9
2015-07-31,1,1,17
2015-08-01,0,0,3
2015-08-02,0,0,2
2015-08-03,1,0,10
2015-08-04,0,0,2
2015-08-05,4,0,2
2015-08-06,0,0,8
2015-08-07,3,0,0
2015-08-08,0,0,3
2015-08-09,1,0,4
2015-08-10,0,0,2
2015-08-11,0,0,19
2015-08-12,0,0,2
2015-08-13,0,0,10
2015-08-14,1,0,14
2015-08-15,0,0,1
2015-08-16,0,0,1
2015-08-17,3,3,8
2015-08-18,0,0,6
2015-08-19,5,0,0
2015-08-20,4,0,3
2015-08-21,4,0,0
2015-08-22,0,0,0
2015-08-23,0,0,3
2015-08-24,0,0,4
2015-08-25,0,0,11
2015-08-26,0,0,8
2015-08-27,0,0,9
2015-08-28,0,2,6
2015-08-29,37,0,2
2015-08-30,0,0,37
2015-08-31,8,1,4
2015-09-01,3,0,14
2015-09-02,8,0,5
2015-09-03,10,5,1
2015-09-04,13,0,2
2015-09-05,0,4,1
2015-09-06,0,0,4
2015-09-07,0,1,9
2015-09-08,5,39,10
2015-09-09,5,4,8
2015-09-10,4,0,10
2015-09-11,2,0,13
2015-09-12,1,0,6
2015-09-13,0,0,5
2015-09-14,0,0,5
2015-09-15,4,0,4
2015-09-16,9,0,9
2015-09-17,1,0,0
2015-09-18,0,0,3
2015-09-19,0,72,1
2015-09-20,0,4,3
2015-09-21,13,1,1
2015-09-22,16,0,8
2015-09-23,7,1,6
2015-09-24,5,0,2
2015-09-25,13,0,4
2015-09-26,2,0,3
2015-09-27,0,0,0
2015-09-28,14,0,6
2015-09-29,6,0,4
2015-09-30,16,0,2
2015-10-01,12,0,4
2015-10-02,15,0,2
2015-10-03,1,0,1
2015-10-04,0,0,4
2015-10-05,0,61,11
2015-10-06,0,0,9
2015-10-07,2,2,22
2015-10-08,5,0,10
2015-10-09,0,1,3
2015-10-10,0,0,1
2015-10-11,6,0,3
2015-10-12,0,0,8
2015-10-13,3,0,7
2015-10-14,8,0,7
2015-10-15,1,0,22
2015-10-16,1,0,11
2015-10-17,10,0,4
2015-10-18,6,0,0
2015-10-19,19,47,216
2015-10-20,24,1,37
2015-10-21,11,2,51
2015-10-22,7,0,12
2015-10-23,1,0,53
2015-10-24,0,0,16
2015-10-25,0,0,6
2015-10-26,0,0,10
2015-10-27,8,0,3
2015-10-28,7,5,6
2015-10-29,8,9,5
2015-10-30,10,3,12
2015-10-31,0,1,10
2015-11-01,10,0,12
2015-11-02,8,0,31
2015-11-03,4,2,20
2015-11-04,4,17,12
2015-11-05,7,3,10
2015-11-06,4,3,2
2015-11-07,1,1,4
2015-11-08,0,0,2
2015-11-09,1,1,5
2015-11-10,4,0,5
2015-11-11,3,0,7
2015-11-12,23,0,12
2015-11-13,2,0,4
2015-11-14,2,10,4
2015-11-15,0,1,3
2015-11-16,3,0,17
2015-11-17,9,0,4
2015-11-18,6,0,2
2015-11-19,8,0,9
2015-11-20,15,0,9
2015-11-21,0,0,1
2015-11-22,1,0,0
2015-11-23,8,0,1
2015-11-24,10,0,5
2015-11-25,1,0,0
2015-11-26,1,1,7
2015-11-27,0,1,0
2015-11-28,1,0,0
2015-11-29,0,0,1
2015-11-30,27,0,2
2015-12-01,5,0,3
2015-12-02,11,1,1
2015-12-03,6,0,4
2015-12-04,2,0,3
2015-12-05,0,1,5
2015-12-06,2,0,2
2015-12-07,5,0,2
2015-12-08,7,0,5
2015-12-09,13,0,9
2015-12-10,3,0,10
2015-12-11,12,0,3
2015-12-12,0,0,5
2015-12-13,0,0,1
2015-12-14,13,0,2
2015-12-15,12,0,8
2015-12-16,10,0,10
2015-12-17,0,0,1
2015-12-18,5,0,2
2015-12-19,0,0,2
2015-12-20,5,0,7
2015-12-21,14,5,0
2015-12-22,18,0,0
2015-12-23,33,0,0
2015-12-24,1,0,4
2015-12-25,0,0,1
2015-12-26,0,0,0
2015-12-27,1,0,0
2015-12-28,0,0,6
2015-12-29,0,0,1
2015-12-30,1,0,1
2015-12-31,5,0,2
2016-01-01,3,0,3
2016-01-02,0,4,2
2016-01-03,0,0,2
2016-01-04,0,0,6
2016-01-05,0,0,3
2016-01-06,0,0,1
2016-01-07,0,0,3
2016-01-08,0,0,6
2016-01-09,0,0,3
2016-01-10,0,0,9
2016-01-11,0,0,0
2016-01-12,0,1,0
2016-01-13,3,0,4
2016-01-14,0,3,2
2016-01-15,0,2,2
2016-01-16,0,2,2
2016-01-17,0,0,2
2016-01-18,2,1,2
2016-01-19,6,1,4
2016-01-20,0,5,3
2016-01-21,0,0,25
2016-01-22,4,0,4
2016-01-23,1,0,5
2016-01-24,2,0,0
2016-01-25,14,2,4
2016-01-26,0,0,6
2016-01-27,1,0,2
2016-01-28,0,0,10
2016-01-29,3,0,4
2016-01-30,2,9,0
2016-01-31,7,1,1
2016-02-01,7,0,0
2016-02-02,0,0,2
2016-02-03,1,0,3
2016-02-04,4,0,8
2016-02-05,0,5,5
2016-02-06,0,3,17
2016-02-07,0,1,2
2016-02-08,4,0,3
2016-02-09,1,0,14
2016-02-10,7,0,8
2016-02-11,0,37,14
2016-02-12,6,8,6
2016-02-13,0,12,3
2016-02-14,0,7,1
2016-02-15,0,2,11
2016-02-16,0,7,8
2016-02-17,3,5,5
2016-02-18,2,3,12
2016-02-19,14,0,4
2016-02-20,1,0,0
2016-02-21,0,1,2
2016-02-22,8,0,4
2016-02-23,3,0,7
2016-02-24,7,0,6
2016-02-25,16,0,4
2016-02-26,1,0,3
2016-02-27,21,0,1
2016-02-28,3,0,2
2016-02-29,2,0,7
2016-03-01,3,0,2
2016-03-02,14,1,0
2016-03-03,6,0,1
2016-03-04,1,0,2
2016-03-05,3,10,1
2016-03-06,0,16,1
2016-03-07,18,2,2
2016-03-08,9,9,4
2016-03-09,6,3,0
2016-03-10,3,0,6
2016-03-11,4,0,9
2016-03-12,2,1,0
2016-03-13,2,0,5
2016-03-14,10,0,4
2016-03-15,18,0,3
2016-03-16,1,0,3
2016-03-17,3,1,0
2016-03-18,5,0,0
2016-03-19,0,0,4
2016-03-20,0,0,3
2016-03-21,5,0,5
2016-03-22,7,1,4
2016-03-23,6,0,6
2016-03-24,5,0,3
2016-03-25,1,0,1
2016-03-26,4,0,3
2016-03-27,0,0,0
2016-03-28,1,0,0
2016-03-29,0,1,0
2016-03-30,0,1,4
2016-03-31,1,1,2
2016-04-01,3,0,5
2016-04-02,0,0,1
2016-04-03,0,1,0
2016-04-04,0,0,2
2016-04-05,13,0,8
2016-04-06,3,0,2
2016-04-07,2,0,9
2016-04-08,0,0,0
2016-04-09,9,0,0
2016-04-10,1,0,9
2016-04-11,6,0,1
2016-04-12,22,0,3
2016-04-13,10,0,1
2016-04-14,17,0,4
2016-04-15,7,0,3
2016-04-16,11,0,1
2016-04-17,0,0,1
2016-04-18,15,0,1
2016-04-19,8,0,1
2016-04-20,2,0,4
2016-04-21,2,0,3
2016-04-22,8,0,4
2016-04-23,0,2,2
2016-04-24,0,1,4
2016-04-25,3,1,5
2016-04-26,0,9,2
2016-04-27,0,14,3
2016-04-28,0,10,5
2016-04-29,0,0,1
2016-04-30,0,0,0
2016-05-01,0,0,0
2016-05-02,2,1,0
2016-05-03,3,1,2
2016-05-04,2,0,2
2016-05-05,0,24,1
2016-05-06,0,3,0
2016-05-07,0,1,2
2016-05-08,0,1,4
2016-05-09,2,0,2
2016-05-10,0,0,7
2016-05-11,0,3,0
2016-05-12,2,0,0
2016-05-13,0,4,4
2016-05-14,0,0,3
2016-05-15,0,0,0
2016-05-16,4,1,0
2016-05-17,0,0,2
2016-05-18,0,1,0
2016-05-19,0,0,6
2016-05-20,11,1,0
2016-05-21,0,0,0
2016-05-22,0,0,17
2016-05-23,3,1,1
2016-05-24,6,3,1
2016-05-25,7,0,4
2016-05-26,8,0,6
2016-05-27,2,0,0
2016-05-28,5,2,0
2016-05-29,2,0,1
2016-05-30,3,20,1
2016-05-31,25,3,1
2016-06-01,15,4,2
2016-06-02,16,3,8
2016-06-03,4,0,2
2016-06-04,9,5,0
2016-06-05,25,0,0
2016-06-06,19,5,0
2016-06-07,14,1,1
2016-06-08,28,2,0
2016-06-09,7,0,2
2016-06-10,4,11,2
2016-06-11,0,13,1
2016-06-12,1,7,1
2016-06-13,12,16,3
2016-06-14,12,12,0
2016-06-15,14,5,4
2016-06-16,7,28,4
2016-06-17,3,1,4
2016-06-18,6,68,2
2016-06-19,10,16,3
2016-06-20,7,19,0
2016-06-21,1,29,5
2016-06-22,19,0,5
2016-06-23,8,4,4
2016-06-24,4,8,4
2016-06-25,0,0,0
2016-06-26,1,0,1
2016-06-27,17,2,2
2016-06-28,20,0,3
2016-06-29,13,0,1
2016-06-30,4,0,2
2016-07-01,11,0,1
2016-07-02,2,0,0
2016-07-03,1,0,0
2016-07-04,4,3,0
2016-07-05,4,0,0
2016-07-06,12,8,0
2016-07-07,8,1,1
2016-07-08,14,6,0
2016-07-09,0,0,0
2016-07-10,3,0,0
2016-07-11,6,1,2
2016-07-12,5,0,2
2016-07-13,15,2,3
2016-07-14,0,1,2
2016-07-15,2,6,1
2016-07-16,4,3,7
2016-07-17,0,0,7
2016-07-18,12,0,3
2016-07-19,3,1,0
2016-07-20,12,0,1
2016-07-21,19,1,3
2016-07-22,8,0,7
2016-07-23,2,0,2
2016-07-24,3,0,0
2016-07-25,12,0,7
2016-07-26,3,0,4
2016-07-27,22,0,6
2016-07-28,2,0,8
2016-07-29,0,0,2
2016-07-30,0,0,1
2016-07-31,0,0,1
2016-08-01,33,0,3
2016-08-02,3,0,2
2016-08-03,10,0,21
2016-08-04,7,0,3
2016-08-05,2,0,2
2016-08-06,8,0,5
2016-08-07,10,0,1
2016-08-08,8,0,2
2016-08-09,2,0,2
2016-08-10,5,10,7
2016-08-11,9,0,6
2016-08-12,7,0,2
2016-08-13,2,0,6
2016-08-14,3,5,1
2016-08-15,5,11,0
2016-08-16,16,10,5
2016-08-17,15,9,9
2016-08-18,19,1,3
2016-08-19,3,2,4
2016-08-20,24,3,14
2016-08-21,0,1,0
2016-08-22,2,0,1
2016-08-23,22,0,3
2016-08-24,1,0,4
2016-08-25,1,0,6
2016-08-26,8,0,6
2016-08-27,0,0,12
2016-08-28,1,0,5
2016-08-29,12,0,7
2016-08-30,10,0,11
2016-08-31,2,0,20
2016-09-01,8,1,5
2016-09-02,7,0,0
2016-09-03,0,0,1
2016-09-04,0,0,1
2016-09-05,0,0,4
2016-09-06,0,0,13
2016-09-07,3,0,2
2016-09-08,2,0,8
2016-09-09,0,0,2
2016-09-10,0,0,3
2016-09-11,0,0,4
2016-09-12,1,0,20
2016-09-13,9,0,15
2016-09-14,4,0,13
2016-09-15,4,0,6
2016-09-16,8,0,3
2016-09-17,2,0,5
2016-09-18,0,0,2
2016-09-19,8,3,4
2016-09-20,1,10,5
2016-09-21,3,72,3
2016-09-22,2,0,15
2016-09-23,4,0,8
2016-09-24,4,0,4
2016-09-25,3,0,2
2016-09-26,4,1,0
2016-09-27,1,0,4
2016-09-28,1,0,7
2016-09-29,6,2,6
2016-09-30,0,1,9
2016-10-01,0,0,1
2016-10-02,2,0,0
2016-10-03,5,0,2
2016-10-04,5,0,4
2016-10-05,7,0,6
2016-10-06,3,0,7
2016-10-07,2,0,8
2016-10-08,1,0,4
2016-10-09,0,0,5
2016-10-10,0,0,6
2016-10-11,2,0,5
2016-10-12,0,0,2
2016-10-13,3,0,7
2016-10-14,2,0,1
2016-10-15,0,0,1
2016-10-16,0,0,0
2016-10-17,4,0,2
2016-10-18,14,0,3
2016-10-19,4,1,4
2016-10-20,1,1,13
2016-10-21,0,0,1
2016-10-22,0,0,0
2016-10-23,0,0,1
2016-10-24,7,0,4
2016-10-25,7,0,13
2016-10-26,0,2,4
2016-10-27,0,0,1
2016-10-28,0,1,0
2016-10-29,0,0,4
2016-10-30,12,0,4
2016-10-31,3,0,4
2016-11-01,11,0,3
2016-11-02,1,0,2
2016-11-03,6,0,4
2016-11-04,0,10,0
2016-11-05,0,0,2
2016-11-06,0,0,1
2016-11-07,0,0,6
2016-11-08,0,0,1
2016-11-09,0,2,5
2016-11-10,0,3,1
2016-11-11,1,1,0
2016-11-12,0,0,1
2016-11-13,0,1,0
2016-11-14,0,0,1
2016-11-15,0,0,6
2016-11-16,1,1,5
2016-11-17,0,0,4
2016-11-18,5,0,0
2016-11-19,0,0,0
2016-11-20,2,0,1
2016-11-21,5,0,3
2016-11-22,0,0,3
2016-11-23,17,0,1
2016-11-24,3,45,3
2016-11-25,0,0,2
2016-11-26,0,3,0
2016-11-27,3,0,0
2016-11-28,3,0,1
2016-11-29,7,0,6
2016-11-30,4,1,3
2016-12-01,5,0,3
2016-12-02,2,0,3
2016-12-03,1,0,2
2016-12-04,0,4,0
2016-12-05,3,0,3
2016-12-06,2,0,3
2016-12-07,2,0,2
2016-12-08,0,0,4
2016-12-09,0,2,4
2016-12-10,0,0,2
2016-12-11,1,0,1
2016-12-12,1,0,3
2016-12-13,0,0,4
2016-12-14,4,0,0
2016-12-15,4,0,6
2016-12-16,4,0,1
2016-12-17,0,0,0
2016-12-18,1,0,0
2016-12-19,1,1,4
2016-12-20,0,8,11
2016-12-21,6,0,1
2016-12-22,6,0,3
2016-12-23,4,0,2
2016-12-24,0,0,0
2016-12-25,0,0,0
2016-12-26,0,2,0
2016-12-27,8,0,7
2016-12-28,0,0,2
2016-12-29,1,1,3
2016-12-30,0,0,0
2016-12-31,0,0,0
2017-01-01,0,0,1
2017-01-02,0,1,2
2017-01-03,2,2,1
2017-01-04,1,0,4
2017-01-05,0,1,3
2017-01-06,3,0,1
2017-01-07,1,1,3
2017-01-08,0,2,2
2017-01-09,3,2,1
2017-01-10,2,1,0
