,iterate-ch/cyberduck,aws/aws-cli,rclone/rclone
2017-05-07,1,0,1
2017-05-08,37,0,0
2017-05-09,23,3,1
2017-05-10,0,0,0
2017-05-11,12,7,3
2017-05-12,10,3,3
2017-05-13,5,0,0
2017-05-14,8,0,0
2017-05-15,27,3,43
2017-05-16,16,8,0
2017-05-17,2,3,0
2017-05-18,14,6,16
2017-05-19,19,0,6
2017-05-20,23,0,0
2017-05-21,22,1,0
2017-05-22,23,3,0
2017-05-23,9,5,0
2017-05-24,30,5,9
2017-05-25,2,4,4
2017-05-26,0,0,3
2017-05-27,0,0,0
2017-05-28,0,0,1
2017-05-29,21,0,5
2017-05-30,43,3,5
2017-05-31,10,4,0
2017-06-01,0,4,7
2017-06-02,32,3,0
2017-06-03,4,0,0
2017-06-04,0,0,4
2017-06-05,39,4,1
2017-06-06,30,4,1
2017-06-07,22,3,4
2017-06-08,9,5,1
2017-06-09,37,4,1
2017-06-10,1,0,4
2017-06-11,0,0,0
2017-06-12,22,4,0
2017-06-13,18,3,3
2017-06-14,13,4,13
2017-06-15,5,0,6
2017-06-16,14,12,0
2017-06-17,0,0,0
2017-06-18,3,1,1
2017-06-19,13,6,4
2017-06-20,39,3,12
2017-06-21,8,4,0
2017-06-22,5,4,0
2017-06-23,9,3,1
2017-06-24,3,0,0
2017-06-25,17,0,2
2017-06-26,34,0,8
2017-06-27,33,1,2
2017-06-28,10,3,1
2017-06-29,0,3,3
2017-06-30,10,3,5
2017-07-01,0,0,0
2017-07-02,0,0,0
2017-07-03,43,0,2
2017-07-04,57,0,1
2017-07-05,11,3,1
2017-07-06,4,11,6
2017-07-07,39,3,2
2017-07-08,1,0,3
2017-07-09,16,0,3
2017-07-10,18,0,1
2017-07-11,19,0,0
2017-07-12,31,6,0
2017-07-13,8,4,0
2017-07-14,19,3,1
2017-07-15,1,0,0
2017-07-16,0,0,3
2017-07-17,3,3,0
2017-07-18,25,0,4
2017-07-19,33,3,1
2017-07-20,20,5,0
2017-07-21,30,3,0
2017-07-22,7,0,8
2017-07-23,2,0,22
2017-07-24,31,8,0
2017-07-25,32,6,0
2017-07-26,14,3,7
2017-07-27,5,3,4
2017-07-28,3,1,0
2017-07-29,0,0,1
2017-07-30,1,0,2
2017-07-31,13,6,1
2017-08-01,1,4,2
2017-08-02,37,2,1
2017-08-03,21,4,7
2017-08-04,24,3,15
2017-08-05,2,0,3
2017-08-06,14,1,2
2017-08-07,45,0,9
2017-08-08,36,3,0
2017-08-09,23,3,4
2017-08-10,0,3,8
2017-08-11,21,3,1
2017-08-12,7,0,2
2017-08-13,3,1,0
2017-08-14,22,7,0
2017-08-15,11,4,0
2017-08-16,11,4,0
2017-08-17,12,13,2
2017-08-18,34,4,0
2017-08-19,0,0,4
2017-08-20,1,0,0
2017-08-21,12,3,0
2017-08-22,9,9,2
2017-08-23,5,5,0
2017-08-24,6,4,0
2017-08-25,21,3,0
2017-08-26,2,0,0
2017-08-27,1,0,0
2017-08-28,27,1,0
2017-08-29,6,3,2
2017-08-30,13,3,1
2017-08-31,11,3,11
2017-09-01,11,4,2
2017-09-02,2,0,0
2017-09-03,1,0,0
2017-09-04,27,0,0
2017-09-05,24,3,0
2017-09-06,15,3,4
2017-09-07,9,6,0
2017-09-08,9,6,1
2017-09-09,12,0,0
2017-09-10,0,0,2
2017-09-11,2,5,3
2017-09-12,2,5,9
2017-09-13,0,8,1
2017-09-14,9,4,2
2017-09-15,0,12,4
2017-09-16,0,3,9
2017-09-17,0,0,1
2017-09-18,3,4,0
2017-09-19,5,3,4
2017-09-20,5,0,0
2017-09-21,18,9,0
2017-09-22,12,1,0
2017-09-23,0,0,0
2017-09-24,1,0,5
2017-09-25,23,4,1
2017-09-26,2,7,0
2017-09-27,11,4,1
2017-09-28,1,0,3
2017-09-29,4,5,0
2017-09-30,8,0,19
2017-10-01,0,0,2
2017-10-02,14,3,2
2017-10-03,10,6,0
2017-10-04,14,3,0
2017-10-05,4,4,0
2017-10-06,3,3,0
2017-10-07,2,0,0
2017-10-08,23,0,0
2017-10-09,28,4,6
2017-10-10,17,3,3
2017-10-11,18,4,1
2017-10-12,6,3,1
2017-10-13,11,7,1
2017-10-14,3,0,1
2017-10-15,0,0,0
2017-10-16,25,6,7
2017-10-17,23,4,0
2017-10-18,15,12,0
2017-10-19,15,9,1
2017-10-20,10,4,3
2017-10-21,2,0,0
2017-10-22,0,0,0
2017-10-23,1,3,2
2017-10-24,4,3,3
2017-10-25,5,1,2
2017-10-26,10,5,6
2017-10-27,16,2,0
2017-10-28,2,2,0
2017-10-29,6,0,0
2017-10-30,25,1,0
2017-10-31,19,2,1
2017-11-01,29,3,1
2017-11-02,4,1,1
2017-11-03,28,6,22
2017-11-04,4,0,9
2017-11-05,11,0,7
2017-11-06,31,0,2
2017-11-07,36,6,1
2017-11-08,32,3,0
2017-11-09,10,15,2
2017-11-10,12,0,0
2017-11-11,12,0,0
2017-11-12,0,0,0
2017-11-13,25,0,0
2017-11-14,17,5,2
2017-11-15,5,3,7
2017-11-16,0,3,1
2017-11-17,2,3,12
2017-11-18,2,0,0
2017-11-19,0,0,3
2017-11-20,1,4,47
2017-11-21,11,7,6
2017-11-22,37,9,5
2017-11-23,6,3,5
2017-11-24,7,0,4
2017-11-25,7,0,0
2017-11-26,2,0,0
2017-11-27,22,4,0
2017-11-28,23,5,5
2017-11-29,2,21,2
2017-11-30,2,6,2
2017-12-01,0,0,0
2017-12-02,1,0,0
2017-12-03,1,1,9
2017-12-04,2,3,3
2017-12-05,8,6,0
2017-12-06,1,12,1
2017-12-07,0,9,6
2017-12-08,8,7,0
2017-12-09,0,1,2
2017-12-10,0,0,7
2017-12-11,9,5,1
2017-12-12,22,7,2
2017-12-13,11,1,3
2017-12-14,3,5,4
2017-12-15,1,5,2
2017-12-16,0,0,0
2017-12-17,2,0,0
2017-12-18,3,1,2
2017-12-19,3,6,2
2017-12-20,0,3,5
2017-12-21,5,7,2
2017-12-22,7,3,1
2017-12-23,1,1,3
2017-12-24,0,0,0
2017-12-25,0,0,0
2017-12-26,0,0,0
2017-12-27,0,0,0
2017-12-28,0,1,0
2017-12-29,0,3,0
2017-12-30,0,0,0
2017-12-31,0,0,0
2018-01-01,0,0,0
2018-01-02,11,3,0
2018-01-03,1,1,0
2018-01-04,0,0,0
2018-01-05,17,7,3
2018-01-06,1,1,8
2018-01-07,0,0,3
2018-01-08,26,3,1
2018-01-09,7,6,0
2018-01-10,30,0,4
2018-01-11,0,3,3
2018-01-12,8,4,3
2018-01-13,0,0,0
2018-01-14,2,0,0
2018-01-15,6,8,1
2018-01-16,0,10,7
2018-01-17,10,7,0
2018-01-18,9,7,6
2018-01-19,2,16,7
2018-01-20,1,1,8
2018-01-21,0,0,8
2018-01-22,1,0,5
2018-01-23,4,13,2
2018-01-24,10,0,0
2018-01-25,5,4,7
2018-01-26,15,6,6
2018-01-27,0,0,2
2018-01-28,0,0,0
2018-01-29,21,3,9
2018-01-30,15,1,5
2018-01-31,18,0,4
2018-02-01,0,5,1
2018-02-02,7,0,16
2018-02-03,5,0,0
2018-02-04,4,0,0
2018-02-05,9,3,2
2018-02-06,7,4,3
2018-02-07,3,1,0
2018-02-08,2,5,0
2018-02-09,10,3,2
2018-02-10,0,0,1
2018-02-11,0,0,2
2018-02-12,15,3,8
2018-02-13,4,3,2
2018-02-14,3,5,2
2018-02-15,1,3,2
2018-02-16,4,4,10
2018-02-17,1,0,0
2018-02-18,0,0,1
2018-02-19,4,6,10
2018-02-20,5,6,5
2018-02-21,7,4,1
2018-02-22,3,4,1
2018-02-23,7,4,0
2018-02-24,0,0,0
2018-02-25,0,0,2
2018-02-26,0,3,10
2018-02-27,5,4,5
2018-02-28,8,4,3
2018-03-01,8,3,3
2018-03-02,2,3,2
2018-03-03,0,0,0
2018-03-04,3,2,7
2018-03-05,3,0,0
2018-03-06,4,3,3
2018-03-07,8,0,4
2018-03-08,7,7,6
2018-03-09,31,0,7
2018-03-10,1,0,1
2018-03-11,0,0,7
2018-03-12,6,3,0
2018-03-13,3,3,3
2018-03-14,3,4,10
2018-03-15,1,3,8
2018-03-16,4,4,2
2018-03-17,0,0,15
2018-03-18,0,0,5
2018-03-19,0,0,7
2018-03-20,5,3,0
2018-03-21,8,4,3
2018-03-22,0,6,3
2018-03-23,2,4,6
2018-03-24,1,0,1
2018-03-25,0,0,0
2018-03-26,2,3,6
2018-03-27,0,6,0
2018-03-28,0,3,2
2018-03-29,0,3,1
2018-03-30,0,3,2
2018-03-31,0,0,1
2018-04-01,0,0,1
2018-04-02,3,5,2
2018-04-03,11,4,1
2018-04-04,8,8,5
2018-04-05,1,4,5
2018-04-06,13,4,5
2018-04-07,0,0,4
2018-04-08,2,0,2
2018-04-09,6,4,5
2018-04-10,10,3,0
2018-04-11,5,2,4
2018-04-12,1,0,0
2018-04-13,1,0,17
2018-04-14,0,0,0
2018-04-15,0,0,2
2018-04-16,4,0,2
2018-04-17,0,3,3
2018-04-18,2,0,4
2018-04-19,2,4,1
2018-04-20,0,10,14
2018-04-21,0,0,5
2018-04-22,7,0,0
2018-04-23,7,5,2
2018-04-24,5,11,1
2018-04-25,10,3,4
2018-04-26,21,3,10
2018-04-27,5,0,2
2018-04-28,0,0,5
2018-04-29,0,0,0
2018-04-30,4,5,6
2018-05-01,4,0,2
2018-05-02,7,3,0
2018-05-03,13,3,1
2018-05-04,12,4,0
2018-05-05,0,1,19
2018-05-06,0,0,0
2018-05-07,7,3,5
2018-05-08,9,3,0
2018-05-09,18,1,1
2018-05-10,13,10,2
2018-05-11,8,1,5
2018-05-12,5,0,6
2018-05-13,0,0,9
2018-05-14,1,9,0
2018-05-15,2,3,1
2018-05-16,0,6,3
2018-05-17,0,6,0
2018-05-18,3,3,0
2018-05-19,20,0,0
2018-05-20,10,0,0
2018-05-21,24,4,0
2018-05-22,15,3,4
2018-05-23,12,0,0
2018-05-24,12,6,4
2018-05-25,19,3,0
2018-05-26,0,0,0
2018-05-27,4,0,0
2018-05-28,14,3,1
2018-05-29,19,3,3
2018-05-30,12,1,0
2018-05-31,2,2,2
2018-06-01,5,6,0
2018-06-02,1,0,3
2018-06-03,1,0,2
2018-06-04,4,2,4
2018-06-05,4,7,0
2018-06-06,2,1,3
2018-06-07,4,4,1
2018-06-08,2,4,3
2018-06-09,0,0,1
2018-06-10,2,0,8
2018-06-11,6,4,0
2018-06-12,4,5,2
2018-06-13,20,17,3
2018-06-14,1,6,3
2018-06-15,15,4,1
2018-06-16,0,1,2
2018-06-17,0,0,4
2018-06-18,0,3,4
2018-06-19,5,4,0
2018-06-20,5,6,0
2018-06-21,10,7,0
2018-06-22,21,7,1
2018-06-23,0,0,0
2018-06-24,0,0,0
2018-06-25,25,11,2
2018-06-26,16,4,1
2018-06-27,9,6,0
2018-06-28,4,7,1
2018-06-29,14,5,0
2018-06-30,0,0,1
2018-07-01,0,0,0
2018-07-02,1,3,3
2018-07-03,3,8,1
2018-07-04,4,0,3
2018-07-05,5,5,3
2018-07-06,25,6,1
2018-07-07,0,0,0
2018-07-08,0,0,2
2018-07-09,7,6,2
2018-07-10,6,10,0
2018-07-11,3,4,1
2018-07-12,2,8,0
2018-07-13,15,5,1
2018-07-14,0,0,3
2018-07-15,0,0,3
2018-07-16,7,4,11
2018-07-17,0,6,1
2018-07-18,8,7,2
2018-07-19,20,3,1
2018-07-20,24,3,2
2018-07-21,1,0,0
2018-07-22,9,0,1
2018-07-23,15,1,0
2018-07-24,10,3,0
2018-07-25,16,6,0
2018-07-26,11,10,0
2018-07-27,12,0,0
2018-07-28,8,0,0
2018-07-29,6,1,2
2018-07-30,12,4,3
2018-07-31,14,3,1
2018-08-01,5,5,0
2018-08-02,1,6,0
2018-08-03,1,3,3
2018-08-04,10,0,1
2018-08-05,8,0,1
2018-08-06,16,6,9
2018-08-07,12,3,15
2018-08-08,2,4,0
2018-08-09,0,4,0
2018-08-10,3,3,6
2018-08-11,3,0,2
2018-08-12,13,0,0
2018-08-13,4,5,0
2018-08-14,3,3,0
2018-08-15,24,3,0
2018-08-16,0,3,2
2018-08-17,22,3,8
2018-08-18,1,0,3
2018-08-19,1,0,0
2018-08-20,7,3,8
2018-08-21,3,4,6
2018-08-22,0,3,0
2018-08-23,0,3,0
2018-08-24,0,4,0
2018-08-25,1,5,0
2018-08-26,0,0,14
2018-08-27,5,5,1
2018-08-28,30,3,6
2018-08-29,10,3,0
2018-08-30,1,15,8
2018-08-31,8,4,2
2018-09-01,1,0,10
2018-09-02,1,0,14
2018-09-03,10,0,11
2018-09-04,13,3,10
2018-09-05,2,3,0
2018-09-06,1,4,2
2018-09-07,0,8,14
2018-09-08,0,0,1
2018-09-09,0,0,1
2018-09-10,3,4,7
2018-09-11,3,8,3
2018-09-12,2,7,6
2018-09-13,7,3,0
2018-09-14,3,2,2
2018-09-15,0,0,1
2018-09-16,2,0,0
2018-09-17,2,9,7
2018-09-18,18,7,9
2018-09-19,1,7,3
2018-09-20,32,7,0
2018-09-21,4,3,4
2018-09-22,0,0,0
2018-09-23,0,0,0
2018-09-24,0,3,4
2018-09-25,0,3,10
2018-09-26,11,3,3
2018-09-27,4,16,0
2018-09-28,0,4,0
2018-09-29,1,0,3
2018-09-30,6,0,0
2018-10-01,16,4,0
2018-10-02,2,3,2
2018-10-03,2,0,2
2018-10-04,24,4,2
2018-10-05,15,5,0
2018-10-06,1,0,12
2018-10-07,0,0,1
2018-10-08,0,4,0
2018-10-09,28,3,1
2018-10-10,5,3,1
2018-10-11,10,4,9
2018-10-12,3,3,1
2018-10-13,0,0,14
2018-10-14,0,0,8
2018-10-15,4,3,3
2018-10-16,25,11,1
2018-10-17,32,5,2
2018-10-18,15,3,1
2018-10-19,2,5,0
2018-10-20,7,0,1
2018-10-21,11,0,0
2018-10-22,1,4,0
2018-10-23,21,3,8
2018-10-24,18,3,3
2018-10-25,4,7,7
2018-10-26,4,5,2
2018-10-27,0,0,1
2018-10-28,8,0,2
2018-10-29,8,0,0
2018-10-30,11,3,0
2018-10-31,15,3,0
2018-11-01,9,3,0
2018-11-02,10,6,11
2018-11-03,0,0,5
2018-11-04,4,0,10
2018-11-05,0,3,9
2018-11-06,3,5,2
2018-11-07,0,3,2
2018-11-08,1,3,3
2018-11-09,0,1,0
2018-11-10,0,2,1
2018-11-11,0,1,3
2018-11-12,3,1,6
2018-11-13,21,7,3
2018-11-14,7,3,4
2018-11-15,15,3,4
2018-11-16,11,3,1
2018-11-17,0,0,1
2018-11-18,1,0,0
2018-11-19,0,2,3
2018-11-20,3,4,3
2018-11-21,5,6,0
2018-11-22,18,0,6
2018-11-23,0,0,3
2018-11-24,0,0,4
2018-11-25,0,0,0
2018-11-26,3,7,4
2018-11-27,6,10,1
2018-11-28,4,8,0
2018-11-29,6,11,3
2018-11-30,6,6,0
2018-12-01,0,0,0
2018-12-02,2,0,11
2018-12-03,5,3,0
2018-12-04,45,3,2
2018-12-05,10,3,2
2018-12-06,14,11,7
2018-12-07,23,5,0
2018-12-08,1,0,0
2018-12-09,11,0,0
2018-12-10,12,2,0
2018-12-11,35,1,0
2018-12-12,21,8,0
2018-12-13,9,3,2
2018-12-14,35,3,1
2018-12-15,5,0,0
2018-12-16,1,1,0
2018-12-17,11,6,0
2018-12-18,21,3,0
2018-12-19,19,5,1
2018-12-20,10,9,2
2018-12-21,9,3,0
2018-12-22,6,0,2
2018-12-23,0,0,0
2018-12-24,0,0,0
2018-12-25,0,0,0
2018-12-26,0,0,11
2018-12-27,2,1,0
2018-12-28,1,1,2
2018-12-29,0,0,4
2018-12-30,0,0,0
2018-12-31,0,0,0
2019-01-01,1,0,0
2019-01-02,1,0,0
2019-01-03,0,7,0
2019-01-04,3,4,2
2019-01-05,4,0,1
2019-01-06,0,0,0
2019-01-07,0,4,1
2019-01-08,11,3,4
2019-01-09,33,5,8
2019-01-10,13,8,3
2019-01-11,24,4,7
2019-01-12,0,0,6
2019-01-13,24,0,1
2019-01-14,15,3,2
2019-01-15,24,0,3
2019-01-16,20,4,0
2019-01-17,21,3,1
2019-01-18,0,5,5
2019-01-19,0,0,0
2019-01-20,0,0,0
2019-01-21,5,4,0
2019-01-22,3,4,0
2019-01-23,9,7,1
2019-01-24,15,1,2
2019-01-25,12,8,1
2019-01-26,0,0,0
2019-01-27,0,0,11
2019-01-28,11,0,8
2019-01-29,0,2,9
2019-01-30,7,2,1
2019-01-31,56,8,1
2019-02-01,6,1,6
2019-02-02,9,0,16
2019-02-03,7,1,13
2019-02-04,9,4,3
2019-02-05,6,6,2
2019-02-06,6,5,2
2019-02-07,2,4,10
2019-02-08,2,5,1
2019-02-09,0,0,9
2019-02-10,12,0,5
2019-02-11,1,3,0
2019-02-12,9,3,7
2019-02-13,25,7,4
2019-02-14,15,3,2
2019-02-15,22,8,0
2019-02-16,0,0,2
2019-02-17,0,0,0
2019-02-18,1,5,1
2019-02-19,0,3,0
2019-02-20,1,5,0
2019-02-21,9,4,1
2019-02-22,23,3,0
2019-02-23,9,1,0
2019-02-24,3,0,0
2019-02-25,23,3,4
2019-02-26,19,3,7
2019-02-27,21,6,4
2019-02-28,16,6,5
2019-03-01,11,10,5
2019-03-02,1,0,0
2019-03-03,2,0,0
2019-03-04,8,3,0
2019-03-05,9,4,2
2019-03-06,0,3,3
2019-03-07,1,3,0
2019-03-08,5,3,0
2019-03-09,13,0,3
2019-03-10,5,0,5
2019-03-11,8,3,3
2019-03-12,38,9,0
2019-03-13,24,4,2
2019-03-14,11,3,0
2019-03-15,5,0,7
2019-03-16,0,0,8
2019-03-17,4,0,9
2019-03-18,3,3,7
2019-03-19,3,3,1
2019-03-20,4,3,0
2019-03-21,9,4,0
2019-03-22,9,4,0
2019-03-23,0,0,0
2019-03-24,1,0,0
2019-03-25,5,3,6
2019-03-26,5,3,0
2019-03-27,10,5,0
2019-03-28,8,2,2
2019-03-29,5,7,1
2019-03-30,0,0,0
2019-03-31,3,0,0
2019-04-01,4,3,0
2019-04-02,14,4,0
2019-04-03,5,8,0
2019-04-04,19,8,0
2019-04-05,17,4,0
2019-04-06,1,0,0
2019-04-07,0,0,0
2019-04-08,11,5,0
2019-04-09,3,3,0
2019-04-10,3,0,1
2019-04-11,4,5,4
2019-04-12,4,2,4
2019-04-13,0,0,3
2019-04-14,0,0,0
2019-04-15,8,2,3
2019-04-16,1,6,10
2019-04-17,1,12,0
2019-04-18,4,8,0
2019-04-19,0,11,0
2019-04-20,2,0,0
2019-04-21,1,0,0
2019-04-22,3,2,0
2019-04-23,15,3,0
2019-04-24,20,5,4
2019-04-25,7,7,3
2019-04-26,5,5,1
2019-04-27,4,0,0
2019-04-28,0,0,0
2019-04-29,7,6,0
2019-04-30,10,5,1
2019-05-01,25,7,6
2019-05-02,4,3,2
2019-05-03,0,3,0
2019-05-04,0,0,0
2019-05-05,0,0,0
2019-05-06,1,3,0
2019-05-07,1,4,0
2019-05-08,3,11,1
2019-05-09,12,4,1
2019-05-10,1,8,0
2019-05-11,3,1,25
2019-05-12,0,1,3
2019-05-13,2,6,5
2019-05-14,35,3,3
2019-05-15,19,3,2
2019-05-16,1,3,1
2019-05-17,28,11,0
2019-05-18,0,0,0
2019-05-19,4,0,0
2019-05-20,14,4,1
2019-05-21,8,3,0
2019-05-22,16,9,1
2019-05-23,13,3,0
2019-05-24,9,15,1
2019-05-25,0,0,0
2019-05-26,3,0,0
2019-05-27,4,0,10
2019-05-28,26,3,0
2019-05-29,1,4,3
2019-05-30,17,3,0
2019-05-31,15,4,0
2019-06-01,0,0,0
2019-06-02,5,0,0
2019-06-03,0,5,7
2019-06-04,14,10,0
2019-06-05,4,12,2
2019-06-06,0,5,2
2019-06-07,3,4,3
2019-06-08,1,0,4
2019-06-09,0,0,8
2019-06-10,1,6,4
2019-06-11,3,6,0
2019-06-12,9,3,4
2019-06-13,12,7,5
2019-06-14,4,4,0
2019-06-15,0,0,17
2019-06-16,1,1,0
2019-06-17,1,5,1
2019-06-18,3,5,0
2019-06-19,6,4,6
2019-06-20,3,3,1
2019-06-21,11,5,0
2019-06-22,0,1,1
2019-06-23,0,0,0
2019-06-24,0,4,1
2019-06-25,1,3,1
2019-06-26,0,4,4
2019-06-27,3,9,6
2019-06-28,0,4,3
2019-06-29,0,0,0
2019-06-30,1,0,8
2019-07-01,7,3,9
2019-07-02,4,4,14
2019-07-03,5,6,5
2019-07-04,8,0,3
2019-07-05,13,4,2
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,0,4,0
2019-07-09,0,3,0
2019-07-10,0,5,0
2019-07-11,0,5,0
2019-07-12,0,13,0
2019-07-13,6,0,1
2019-07-14,0,0,0
2019-07-15,0,2,0
2019-07-16,0,5,0
2019-07-17,0,5,0
2019-07-18,0,7,0
2019-07-19,0,6,0
2019-07-20,1,0,2
2019-07-21,0,6,0
2019-07-22,9,3,5
2019-07-23,6,4,0
2019-07-24,7,6,8
2019-07-25,3,5,0
2019-07-26,9,9,0
2019-07-27,0,0,0
2019-07-28,20,0,17
2019-07-29,22,4,0
2019-07-30,7,11,0
2019-07-31,1,4,0
2019-08-01,0,1,0
2019-08-02,2,3,4
2019-08-03,8,0,5
2019-08-04,2,1,5
2019-08-05,20,3,1
2019-08-06,6,6,17
2019-08-07,11,7,1
2019-08-08,0,9,13
2019-08-09,1,9,3
2019-08-10,1,0,9
2019-08-11,0,0,0
2019-08-12,3,7,6
2019-08-13,4,8,6
2019-08-14,4,7,22
2019-08-15,9,9,3
2019-08-16,1,6,0
2019-08-17,3,0,14
2019-08-18,5,0,0
2019-08-19,0,6,0
2019-08-20,20,3,3
2019-08-21,15,5,1
2019-08-22,17,6,8
2019-08-23,15,3,7
2019-08-24,0,0,2
2019-08-25,0,0,7
2019-08-26,0,5,6
2019-08-27,9,11,1
2019-08-28,6,7,2
2019-08-29,12,4,2
2019-08-30,12,12,0
2019-08-31,0,0,0
2019-09-01,7,0,0
2019-09-02,6,0,6
2019-09-03,7,3,3
2019-09-04,4,5,7
2019-09-05,6,4,1
2019-09-06,11,4,6
2019-09-07,0,0,1
2019-09-08,0,0,3
2019-09-09,8,8,6
2019-09-10,2,8,0
2019-09-11,7,10,0
2019-09-12,3,4,2
2019-09-13,14,0,8
2019-09-14,0,0,10
2019-09-15,0,0,5
2019-09-16,1,4,2
2019-09-17,12,7,7
2019-09-18,3,13,0
2019-09-19,10,7,2
2019-09-20,29,4,9
2019-09-21,0,0,3
2019-09-22,0,0,1
2019-09-23,8,5,0
2019-09-24,1,5,7
2019-09-25,9,13,3
2019-09-26,0,13,1
2019-09-27,3,6,0
2019-09-28,0,0,1
2019-09-29,0,0,6
2019-09-30,1,7,45
2019-10-01,10,8,6
2019-10-02,7,13,7
2019-10-03,2,6,0
2019-10-04,2,4,3
2019-10-05,6,0,7
2019-10-06,0,0,3
2019-10-07,19,14,0
2019-10-08,11,9,11
2019-10-09,0,3,6
2019-10-10,2,5,5
2019-10-11,0,13,5
2019-10-12,0,0,2
2019-10-13,2,0,6
2019-10-14,4,12,6
2019-10-15,2,14,4
2019-10-16,0,3,7
2019-10-17,3,3,5
2019-10-18,1,5,0
2019-10-19,0,0,1
2019-10-20,2,0,0
2019-10-21,2,4,8
2019-10-22,6,3,0
2019-10-23,11,6,1
2019-10-24,16,11,1
2019-10-25,18,1,1
2019-10-26,4,0,3
2019-10-27,1,0,1
2019-10-28,10,6,5
2019-10-29,9,3,3
2019-10-30,8,3,5
2019-10-31,5,4,0
2019-11-01,1,5,0
2019-11-02,3,0,1
2019-11-03,1,0,0
2019-11-04,12,3,0
2019-11-05,5,3,3
2019-11-06,4,6,0
2019-11-07,12,6,0
2019-11-08,3,10,0
2019-11-09,0,0,2
2019-11-10,2,0,2
2019-11-11,4,4,11
2019-11-12,9,3,1
2019-11-13,0,3,0
2019-11-14,4,6,9
2019-11-15,6,11,1
2019-11-16,0,0,1
2019-11-17,0,0,0
2019-11-18,7,3,6
2019-11-19,6,3,3
2019-11-20,9,7,0
2019-11-21,51,5,3
2019-11-22,12,5,0
2019-11-23,2,0,0
2019-11-24,3,0,1
