,lodash/lodash,ramda/ramda,jashkenas/underscore
2014-07-23,2,23,0
2014-07-24,2,4,0
2014-07-25,9,15,0
2014-07-26,0,2,0
2014-07-27,0,1,0
2014-07-28,11,4,0
2014-07-29,5,2,0
2014-07-30,2,1,0
2014-07-31,0,2,7
2014-08-01,4,5,1
2014-08-02,1,0,8
2014-08-03,4,0,0
2014-08-04,2,0,6
2014-08-05,0,0,2
2014-08-06,0,4,0
2014-08-07,1,0,0
2014-08-08,3,0,0
2014-08-09,2,20,0
2014-08-10,0,17,0
2014-08-11,3,4,0
2014-08-12,2,0,0
2014-08-13,0,5,0
2014-08-14,0,2,0
2014-08-15,5,2,0
2014-08-16,0,2,0
2014-08-17,0,0,0
2014-08-18,10,5,0
2014-08-19,0,3,1
2014-08-20,3,12,0
2014-08-21,8,13,0
2014-08-22,1,5,1
2014-08-23,4,7,0
2014-08-24,6,13,0
2014-08-25,8,8,0
2014-08-26,5,6,10
2014-08-27,5,2,21
2014-08-28,1,5,2
2014-08-29,0,3,3
2014-08-30,0,7,3
2014-08-31,0,39,1
2014-09-01,2,14,2
2014-09-02,12,20,11
2014-09-03,1,6,14
2014-09-04,2,6,0
2014-09-05,4,12,0
2014-09-06,4,7,0
2014-09-07,1,7,0
2014-09-08,3,0,3
2014-09-09,2,6,3
2014-09-10,2,2,0
2014-09-11,1,4,3
2014-09-12,6,4,0
2014-09-13,2,4,0
2014-09-14,1,6,0
2014-09-15,7,6,2
2014-09-16,3,12,2
2014-09-17,7,8,1
2014-09-18,3,8,0
2014-09-19,3,1,5
2014-09-20,6,8,3
2014-09-21,1,5,0
2014-09-22,7,2,0
2014-09-23,0,6,4
2014-09-24,9,5,0
2014-09-25,3,4,0
2014-09-26,1,3,6
2014-09-27,0,12,0
2014-09-28,2,8,0
2014-09-29,0,0,0
2014-09-30,1,0,0
2014-10-01,0,1,0
2014-10-02,8,0,0
2014-10-03,3,0,1
2014-10-04,2,5,0
2014-10-05,0,0,0
2014-10-06,3,1,0
2014-10-07,0,3,0
2014-10-08,1,8,1
2014-10-09,5,6,2
2014-10-10,1,0,0
2014-10-11,0,0,0
2014-10-12,2,0,0
2014-10-13,0,0,0
2014-10-14,0,3,0
2014-10-15,0,1,0
2014-10-16,0,3,0
2014-10-17,0,9,0
2014-10-18,19,5,3
2014-10-19,3,7,1
2014-10-20,5,3,0
2014-10-21,6,6,2
2014-10-22,0,9,10
2014-10-23,4,2,3
2014-10-24,8,5,0
2014-10-25,7,4,0
2014-10-26,0,5,0
2014-10-27,1,3,0
2014-10-28,0,2,0
2014-10-29,1,1,0
2014-10-30,2,2,0
2014-10-31,7,0,1
2014-11-01,2,2,0
2014-11-02,5,0,0
2014-11-03,1,1,0
2014-11-04,0,5,3
2014-11-05,3,2,1
2014-11-06,1,2,0
2014-11-07,9,0,2
2014-11-08,11,1,2
2014-11-09,7,11,0
2014-11-10,5,5,0
2014-11-11,2,6,2
2014-11-12,3,0,2
2014-11-13,3,7,0
2014-11-14,8,11,1
2014-11-15,4,3,0
2014-11-16,1,3,1
2014-11-17,1,2,2
2014-11-18,1,8,1
2014-11-19,0,14,0
2014-11-20,0,8,0
2014-11-21,7,2,1
2014-11-22,6,2,0
2014-11-23,3,10,1
2014-11-24,3,20,0
2014-11-25,6,11,0
2014-11-26,0,4,0
2014-11-27,1,1,0
2014-11-28,7,5,0
2014-11-29,1,8,1
2014-11-30,0,5,0
2014-12-01,5,4,1
2014-12-02,2,4,2
2014-12-03,2,15,1
2014-12-04,0,6,5
2014-12-05,2,14,0
2014-12-06,8,17,0
2014-12-07,3,3,0
2014-12-08,2,9,1
2014-12-09,4,2,0
2014-12-10,4,3,3
2014-12-11,5,2,2
2014-12-12,0,2,0
2014-12-13,1,4,3
2014-12-14,6,1,0
2014-12-15,2,2,3
2014-12-16,7,0,2
2014-12-17,1,0,1
2014-12-18,6,0,1
2014-12-19,0,0,0
2014-12-20,11,0,3
2014-12-21,2,0,0
2014-12-22,15,0,0
2014-12-23,2,0,0
2014-12-24,1,0,0
2014-12-25,0,0,0
2014-12-26,0,0,2
2014-12-27,8,0,0
2014-12-28,9,0,2
2014-12-29,4,2,7
2014-12-30,1,2,0
2014-12-31,12,0,0
2015-01-01,1,0,1
2015-01-02,8,8,0
2015-01-03,6,2,0
2015-01-04,4,0,0
2015-01-05,0,0,2
2015-01-06,9,0,1
2015-01-07,1,0,0
2015-01-08,6,1,0
2015-01-09,2,5,0
2015-01-10,3,0,0
2015-01-11,0,6,0
2015-01-12,0,4,0
2015-01-13,0,0,0
2015-01-14,0,2,0
2015-01-15,0,0,0
2015-01-16,0,0,0
2015-01-17,0,0,0
2015-01-18,0,2,0
2015-01-19,0,1,3
2015-01-20,0,1,2
2015-01-21,0,2,4
2015-01-22,0,2,1
2015-01-23,0,1,2
2015-01-24,0,8,0
2015-01-25,0,5,2
2015-01-26,0,6,9
2015-01-27,0,4,1
2015-01-28,0,3,0
2015-01-29,0,3,0
2015-01-30,0,1,1
2015-01-31,0,0,0
2015-02-01,0,0,0
2015-02-02,0,0,0
2015-02-03,87,2,0
2015-02-04,0,0,0
2015-02-05,33,0,0
2015-02-06,0,2,6
2015-02-07,7,2,1
2015-02-08,0,1,11
2015-02-09,21,7,5
2015-02-10,3,8,3
2015-02-11,9,8,0
2015-02-12,11,4,2
2015-02-13,6,4,0
2015-02-14,0,5,0
2015-02-15,3,9,0
2015-02-16,7,0,0
2015-02-17,1,2,5
2015-02-18,5,5,0
2015-02-19,7,4,11
2015-02-20,0,1,43
2015-02-21,1,3,2
2015-02-22,0,0,3
2015-02-23,12,1,4
2015-02-24,4,4,0
2015-02-25,2,3,0
2015-02-26,5,0,0
2015-02-27,4,0,2
2015-02-28,5,0,0
2015-03-01,6,6,0
2015-03-02,2,8,0
2015-03-03,11,11,0
2015-03-04,6,3,0
2015-03-05,2,3,0
2015-03-06,5,7,0
2015-03-07,4,3,0
2015-03-08,3,15,0
2015-03-09,4,4,1
2015-03-10,3,1,1
2015-03-11,2,7,0
2015-03-12,3,11,0
2015-03-13,11,20,6
2015-03-14,1,5,2
2015-03-15,5,4,0
2015-03-16,3,4,0
2015-03-17,11,4,0
2015-03-18,2,0,0
2015-03-19,2,10,1
2015-03-20,7,17,1
2015-03-21,6,8,0
2015-03-22,4,13,0
2015-03-23,5,5,0
2015-03-24,5,1,0
2015-03-25,4,2,4
2015-03-26,5,2,0
2015-03-27,0,2,1
2015-03-28,4,1,0
2015-03-29,6,4,1
2015-03-30,5,7,0
2015-03-31,6,3,0
2015-04-01,6,0,4
2015-04-02,2,1,9
2015-04-03,15,0,3
2015-04-04,2,1,0
2015-04-05,11,1,0
2015-04-06,8,10,0
2015-04-07,14,1,0
2015-04-08,10,0,7
2015-04-09,4,0,2
2015-04-10,4,5,0
2015-04-11,5,5,0
2015-04-12,7,2,0
2015-04-13,5,2,0
2015-04-14,7,1,0
2015-04-15,7,0,0
2015-04-16,3,2,0
2015-04-17,5,0,0
2015-04-18,2,2,0
2015-04-19,3,0,0
2015-04-20,5,0,0
2015-04-21,5,2,0
2015-04-22,2,1,2
2015-04-23,7,4,1
2015-04-24,0,2,0
2015-04-25,0,0,0
2015-04-26,3,0,0
2015-04-27,0,0,3
2015-04-28,0,0,3
2015-04-29,4,0,0
2015-04-30,3,0,0
2015-05-01,4,1,0
2015-05-02,2,0,0
2015-05-03,2,0,0
2015-05-04,4,3,0
2015-05-05,1,2,0
2015-05-06,4,0,0
2015-05-07,3,1,2
2015-05-08,6,3,3
2015-05-09,4,2,1
2015-05-10,1,1,0
2015-05-11,6,3,0
2015-05-12,3,1,0
2015-05-13,5,2,0
2015-05-14,6,3,2
2015-05-15,7,1,4
2015-05-16,5,1,0
2015-05-17,8,0,0
2015-05-18,2,1,0
2015-05-19,3,0,0
2015-05-20,2,4,0
2015-05-21,0,12,0
2015-05-22,3,2,7
2015-05-23,8,2,0
2015-05-24,6,2,1
2015-05-25,6,1,3
2015-05-26,9,10,5
2015-05-27,3,2,1
2015-05-28,3,3,1
2015-05-29,4,0,1
2015-05-30,1,0,0
2015-05-31,1,1,0
2015-06-01,0,3,2
2015-06-02,8,2,0
2015-06-03,7,7,0
2015-06-04,3,1,1
2015-06-05,5,1,0
2015-06-06,4,3,0
2015-06-07,5,2,0
2015-06-08,3,3,0
2015-06-09,0,4,0
2015-06-10,4,2,2
2015-06-11,3,0,1
2015-06-12,2,8,0
2015-06-13,2,3,0
2015-06-14,2,10,0
2015-06-15,3,5,0
2015-06-16,0,1,0
2015-06-17,0,3,0
2015-06-18,3,2,0
2015-06-19,0,3,0
2015-06-20,0,0,0
2015-06-21,0,10,0
2015-06-22,8,8,0
2015-06-23,0,0,0
2015-06-24,5,2,0
2015-06-25,5,3,0
2015-06-26,4,3,2
2015-06-27,0,0,0
2015-06-28,3,5,0
2015-06-29,1,0,0
2015-06-30,4,0,0
2015-07-01,0,1,1
2015-07-02,0,0,0
2015-07-03,0,1,0
2015-07-04,0,1,0
2015-07-05,0,6,0
2015-07-06,0,3,5
2015-07-07,0,1,0
2015-07-08,0,5,0
2015-07-09,0,2,1
2015-07-10,0,4,1
2015-07-11,0,4,0
2015-07-12,0,19,0
2015-07-13,0,3,2
2015-07-14,0,0,0
2015-07-15,0,0,1
2015-07-16,0,0,0
2015-07-17,0,2,0
2015-07-18,0,0,0
2015-07-19,0,0,0
2015-07-20,121,3,0
