,redis/redis,tarantool/tarantool,memcached/memcached
2019-01-07,0,0,0
2019-01-08,0,0,0
2019-01-09,74,1,0
2019-01-10,6,6,0
2019-01-11,7,0,0
2019-01-12,0,0,0
2019-01-13,0,0,0
2019-01-14,9,1,0
2019-01-15,9,6,1
2019-01-16,5,6,0
2019-01-17,5,0,0
2019-01-18,3,0,0
2019-01-19,1,0,0
2019-01-20,0,0,0
2019-01-21,10,0,0
2019-01-22,15,0,0
2019-01-23,10,0,0
2019-01-24,3,7,0
2019-01-25,12,3,0
2019-01-26,1,0,0
2019-01-27,1,0,0
2019-01-28,13,0,0
2019-01-29,4,3,0
2019-01-30,9,4,0
2019-01-31,5,0,0
2019-02-01,4,0,0
2019-02-02,0,0,0
2019-02-03,0,0,0
2019-02-04,6,8,0
2019-02-05,4,7,0
2019-02-06,3,4,0
2019-02-07,9,4,0
2019-02-08,4,12,0
2019-02-09,0,0,0
2019-02-10,0,0,0
2019-02-11,6,4,0
2019-02-12,10,6,0
2019-02-13,6,11,0
2019-02-14,2,5,0
2019-02-15,0,8,0
2019-02-16,0,0,0
2019-02-17,0,0,0
2019-02-18,5,5,0
2019-02-19,4,0,0
2019-02-20,1,0,0
2019-02-21,12,9,0
2019-02-22,7,12,0
2019-02-23,0,0,0
2019-02-24,1,1,0
2019-02-25,8,23,0
2019-02-26,2,4,0
2019-02-27,10,15,0
2019-02-28,8,8,0
2019-03-01,22,6,0
2019-03-02,2,1,0
2019-03-03,1,0,0
2019-03-04,1,4,0
2019-03-05,1,4,0
2019-03-06,1,4,0
2019-03-07,5,9,0
2019-03-08,3,0,0
2019-03-09,2,0,0
2019-03-10,3,0,0
2019-03-11,1,3,0
2019-03-12,11,2,0
2019-03-13,15,20,0
2019-03-14,13,1,0
2019-03-15,11,11,0
2019-03-16,1,0,0
2019-03-17,0,0,0
2019-03-18,10,6,0
2019-03-19,2,11,0
2019-03-20,4,4,0
2019-03-21,17,3,0
2019-03-22,3,1,0
2019-03-23,0,0,0
2019-03-24,3,0,0
2019-03-25,0,2,0
2019-03-26,0,13,0
2019-03-27,0,14,0
2019-03-28,1,24,0
2019-03-29,0,1,0
2019-03-30,0,0,0
2019-03-31,0,0,0
2019-04-01,0,4,0
2019-04-02,0,29,0
2019-04-03,0,6,0
2019-04-04,0,4,0
2019-04-05,0,7,0
2019-04-06,0,0,0
2019-04-07,0,13,0
2019-04-08,3,3,0
2019-04-09,1,8,0
2019-04-10,2,12,0
2019-04-11,2,15,0
2019-04-12,0,16,0
2019-04-13,0,0,0
2019-04-14,0,0,0
2019-04-15,2,0,0
2019-04-16,3,4,1
2019-04-17,1,3,0
2019-04-18,0,9,0
2019-04-19,0,1,0
2019-04-20,0,0,0
2019-04-21,0,0,0
2019-04-22,0,0,0
2019-04-23,0,6,0
2019-04-24,1,1,0
2019-04-25,0,25,0
2019-04-26,8,2,0
2019-04-27,0,0,14
2019-04-28,0,0,0
2019-04-29,1,6,0
2019-04-30,0,4,0
2019-05-01,0,0,0
2019-05-02,1,6,0
2019-05-03,0,0,0
2019-05-04,0,0,0
2019-05-05,2,0,0
2019-05-06,22,9,0
2019-05-07,4,5,0
2019-05-08,4,1,0
2019-05-09,0,1,0
2019-05-10,11,2,0
2019-05-11,0,0,0
2019-05-12,0,0,0
2019-05-13,2,18,1
2019-05-14,1,1,0
2019-05-15,5,12,0
2019-05-16,0,1,0
2019-05-17,0,4,0
2019-05-18,0,1,0
2019-05-19,0,0,0
2019-05-20,0,8,8
2019-05-21,2,23,0
2019-05-22,1,8,0
2019-05-23,0,3,0
2019-05-24,0,0,0
2019-05-25,0,0,1
2019-05-26,0,0,0
2019-05-27,0,5,0
2019-05-28,0,6,0
2019-05-29,1,7,0
2019-05-30,0,7,0
2019-05-31,0,3,0
2019-06-01,0,0,0
2019-06-02,2,0,0
2019-06-03,0,1,0
2019-06-04,0,4,0
2019-06-05,2,0,0
2019-06-06,0,14,0
2019-06-07,2,6,0
2019-06-08,0,1,0
2019-06-09,0,5,0
2019-06-10,1,0,0
2019-06-11,0,3,0
2019-06-12,1,0,0
2019-06-13,2,13,0
2019-06-14,0,2,0
2019-06-15,0,0,0
2019-06-16,0,3,0
2019-06-17,0,1,0
2019-06-18,0,2,0
2019-06-19,0,2,0
2019-06-20,0,32,0
2019-06-21,0,5,0
2019-06-22,0,0,0
2019-06-23,0,2,0
2019-06-24,0,7,0
2019-06-25,1,8,0
2019-06-26,0,0,0
2019-06-27,0,1,0
2019-06-28,0,6,0
2019-06-29,1,0,0
2019-06-30,2,0,0
2019-07-01,0,2,0
2019-07-02,1,0,0
2019-07-03,3,2,0
2019-07-04,3,15,0
2019-07-05,2,13,0
2019-07-06,0,1,0
2019-07-07,4,0,0
2019-07-08,6,9,0
2019-07-09,0,6,0
2019-07-10,8,0,0
2019-07-11,0,16,0
2019-07-12,3,6,0
2019-07-13,0,2,0
2019-07-14,0,0,0
2019-07-15,1,4,0
2019-07-16,1,1,0
2019-07-17,9,1,0
2019-07-18,5,7,0
2019-07-19,3,5,0
2019-07-20,0,0,0
2019-07-21,1,0,0
2019-07-22,9,1,0
2019-07-23,7,0,0
2019-07-24,7,28,0
2019-07-25,3,5,0
2019-07-26,0,7,1
2019-07-27,0,0,0
2019-07-28,1,2,0
2019-07-29,1,4,0
2019-07-30,9,6,0
2019-07-31,6,7,0
2019-08-01,0,9,0
2019-08-02,3,13,0
2019-08-03,0,0,0
2019-08-04,0,0,0
2019-08-05,2,0,0
2019-08-06,0,2,0
2019-08-07,1,0,0
2019-08-08,1,1,0
2019-08-09,0,1,0
2019-08-10,0,0,0
2019-08-11,0,1,0
2019-08-12,0,0,0
2019-08-13,0,1,0
2019-08-14,0,9,0
2019-08-15,0,4,0
2019-08-16,0,4,0
2019-08-17,0,0,0
2019-08-18,2,0,0
2019-08-19,0,2,0
2019-08-20,0,13,0
2019-08-21,0,6,0
2019-08-22,1,16,0
2019-08-23,0,1,1
2019-08-24,0,0,0
2019-08-25,1,0,0
2019-08-26,0,1,0
2019-08-27,0,11,2
2019-08-28,0,5,10
2019-08-29,0,11,3
2019-08-30,1,0,0
2019-08-31,5,0,0
2019-09-01,0,0,0
2019-09-02,2,1,0
2019-09-03,0,0,0
2019-09-04,4,0,0
2019-09-05,4,0,0
2019-09-06,3,0,0
2019-09-07,0,0,0
2019-09-08,0,0,0
2019-09-09,0,2,0
2019-09-10,0,3,0
2019-09-11,1,0,0
2019-09-12,3,2,0
2019-09-13,3,4,0
2019-09-14,0,0,0
2019-09-15,2,0,0
2019-09-16,7,4,0
2019-09-17,4,3,1
2019-09-18,7,6,1
2019-09-19,0,1,2
2019-09-20,15,1,0
2019-09-21,0,0,2
2019-09-22,1,0,0
2019-09-23,9,0,0
2019-09-24,0,1,0
2019-09-25,6,4,0
2019-09-26,7,0,0
2019-09-27,11,1,0
2019-09-28,0,0,3
2019-09-29,0,0,0
2019-09-30,10,0,2
2019-10-01,4,3,6
2019-10-02,5,0,0
2019-10-03,5,0,0
2019-10-04,9,10,0
2019-10-05,0,0,0
2019-10-06,0,0,0
2019-10-07,12,0,0
2019-10-08,4,0,0
2019-10-09,2,3,0
2019-10-10,9,0,0
2019-10-11,0,0,0
2019-10-12,0,1,0
2019-10-13,0,0,0
2019-10-14,0,1,0
2019-10-15,3,2,0
2019-10-16,5,3,0
2019-10-17,3,8,5
2019-10-18,0,0,0
2019-10-19,0,0,0
2019-10-20,2,1,0
2019-10-21,0,4,0
2019-10-22,0,0,6
2019-10-23,27,2,0
2019-10-24,6,4,0
2019-10-25,3,0,0
2019-10-26,0,0,0
2019-10-27,0,0,0
2019-10-28,17,18,0
2019-10-29,8,0,0
2019-10-30,3,6,0
2019-10-31,11,1,0
2019-11-01,0,3,0
2019-11-02,0,0,0
2019-11-03,2,0,0
2019-11-04,20,0,0
2019-11-05,3,2,0
2019-11-06,7,0,0
2019-11-07,1,1,0
2019-11-08,1,3,0
2019-11-09,0,6,0
2019-11-10,2,0,2
2019-11-11,3,1,2
2019-11-12,1,8,0
2019-11-13,2,6,0
2019-11-14,5,4,0
2019-11-15,2,1,0
2019-11-16,0,0,0
2019-11-17,0,0,0
2019-11-18,5,0,0
2019-11-19,33,0,0
2019-11-20,5,0,0
2019-11-21,7,9,0
2019-11-22,12,1,0
2019-11-23,0,0,0
2019-11-24,0,0,0
2019-11-25,4,0,0
2019-11-26,1,1,0
2019-11-27,0,9,0
2019-11-28,2,0,0
2019-11-29,1,0,0
2019-11-30,0,0,0
2019-12-01,2,0,0
2019-12-02,9,5,0
2019-12-03,2,1,0
2019-12-04,0,0,0
2019-12-05,3,5,0
2019-12-06,1,2,0
2019-12-07,0,0,0
2019-12-08,0,0,0
2019-12-09,4,0,0
2019-12-10,1,8,0
2019-12-11,5,3,0
2019-12-12,10,0,0
2019-12-13,1,0,0
2019-12-14,0,0,0
2019-12-15,0,0,0
2019-12-16,4,1,0
2019-12-17,13,2,0
2019-12-18,10,0,0
2019-12-19,4,3,0
2019-12-20,1,0,0
2019-12-21,2,0,0
2019-12-22,0,0,0
2019-12-23,2,3,0
2019-12-24,0,4,0
2019-12-25,0,4,0
2019-12-26,2,0,0
2019-12-27,0,3,0
2019-12-28,0,1,0
2019-12-29,5,2,0
2019-12-30,2,27,0
2019-12-31,4,17,0
2020-01-01,2,0,0
2020-01-02,0,0,0
2020-01-03,0,0,0
2020-01-04,1,0,0
2020-01-05,0,0,0
2020-01-06,1,0,0
2020-01-07,4,0,0
2020-01-08,6,0,0
2020-01-09,3,0,0
2020-01-10,7,2,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,8,5,0
2020-01-14,2,2,20
2020-01-15,2,1,0
2020-01-16,2,1,0
2020-01-17,1,1,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,1,1,0
2020-01-21,0,4,4
2020-01-22,0,0,0
2020-01-23,2,0,0
2020-01-24,0,1,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,1,0,0
2020-01-28,2,0,0
2020-01-29,5,2,0
2020-01-30,5,0,0
2020-01-31,0,0,0
2020-02-01,0,0,12
2020-02-02,1,0,0
2020-02-03,4,0,0
2020-02-04,9,1,0
2020-02-05,10,1,0
2020-02-06,38,2,0
2020-02-07,4,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,5,0,0
2020-02-11,2,0,0
2020-02-12,4,4,0
2020-02-13,2,0,0
2020-02-14,8,3,0
2020-02-15,0,3,4
2020-02-16,3,0,0
2020-02-17,0,1,0
2020-02-18,2,2,0
2020-02-19,2,2,0
2020-02-20,6,10,0
2020-02-21,4,1,0
2020-02-22,4,0,0
2020-02-23,4,0,0
2020-02-24,5,6,0
2020-02-25,3,2,0
2020-02-26,0,0,3
2020-02-27,20,5,0
2020-02-28,8,4,0
2020-02-29,1,0,0
2020-03-01,0,0,0
2020-03-02,5,4,0
2020-03-03,1,1,0
2020-03-04,7,3,0
2020-03-05,5,6,0
2020-03-06,1,2,7
2020-03-07,2,0,2
2020-03-08,0,1,1
2020-03-09,1,0,2
2020-03-10,2,2,6
2020-03-11,2,0,6
2020-03-12,5,1,2
2020-03-13,7,0,0
2020-03-14,0,0,0
2020-03-15,4,0,0
2020-03-16,9,12,1
2020-03-17,0,3,2
2020-03-18,9,1,0
2020-03-19,0,1,0
2020-03-20,5,19,0
2020-03-21,0,0,0
2020-03-22,3,0,0
2020-03-23,13,1,2
2020-03-24,0,0,0
2020-03-25,5,1,1
2020-03-26,3,11,6
2020-03-27,9,1,2
2020-03-28,3,0,2
2020-03-29,2,1,0
2020-03-30,5,0,0
2020-03-31,11,0,0
2020-04-01,7,0,0
2020-04-02,21,11,0
2020-04-03,9,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,15,1,0
2020-04-07,2,8,0
2020-04-08,3,8,0
2020-04-09,8,0,1
2020-04-10,2,13,0
2020-04-11,1,1,5
2020-04-12,1,0,8
2020-04-13,2,9,1
2020-04-14,8,3,1
2020-04-15,5,18,0
2020-04-16,5,4,0
2020-04-17,5,18,0
2020-04-18,1,1,0
2020-04-19,1,0,0
2020-04-20,8,22,0
2020-04-21,4,1,0
2020-04-22,8,0,0
2020-04-23,10,0,0
2020-04-24,4,2,0
2020-04-25,3,0,0
2020-04-26,0,0,0
2020-04-27,7,2,0
2020-04-28,11,5,0
2020-04-29,7,1,3
2020-04-30,7,3,3
2020-05-01,3,1,3
2020-05-02,4,0,0
2020-05-03,1,0,0
2020-05-04,14,0,0
2020-05-05,14,0,0
2020-05-06,6,0,0
2020-05-07,1,1,0
2020-05-08,1,6,0
2020-05-09,4,0,0
2020-05-10,2,0,0
2020-05-11,3,0,0
2020-05-12,4,4,0
2020-05-13,2,0,6
2020-05-14,12,0,0
2020-05-15,2,5,0
2020-05-16,1,0,0
2020-05-17,4,0,1
2020-05-18,7,10,0
2020-05-19,5,2,0
2020-05-20,4,20,0
2020-05-21,11,8,0
2020-05-22,7,1,0
2020-05-23,0,0,0
2020-05-24,2,0,0
2020-05-25,4,2,0
2020-05-26,6,0,0
2020-05-27,9,4,3
2020-05-28,9,7,0
2020-05-29,3,1,0
2020-05-30,0,0,0
2020-05-31,3,0,0
2020-06-01,0,2,0
2020-06-02,1,2,0
2020-06-03,1,7,0
2020-06-04,0,1,0
2020-06-05,0,0,0
2020-06-06,3,0,0
2020-06-07,1,0,0
2020-06-08,9,13,0
2020-06-09,3,18,2
2020-06-10,2,6,0
2020-06-11,3,2,0
2020-06-12,3,0,0
2020-06-13,0,0,0
2020-06-14,1,1,0
2020-06-15,2,3,0
2020-06-16,4,3,0
2020-06-17,1,1,0
2020-06-18,3,0,0
2020-06-19,0,1,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,5,10,0
2020-06-23,3,2,0
2020-06-24,2,0,0
2020-06-25,3,0,0
2020-06-26,0,5,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,5,0
2020-06-30,0,1,0
2020-07-01,0,0,2
2020-07-02,0,6,7
2020-07-03,0,3,0
2020-07-04,0,0,0
2020-07-05,0,0,1
2020-07-06,0,5,0
2020-07-07,0,1,0
2020-07-08,0,23,0
2020-07-09,0,4,0
2020-07-10,17,30,0
2020-07-11,2,5,0
2020-07-12,1,1,0
2020-07-13,4,8,0
2020-07-14,3,4,0
2020-07-15,6,7,0
2020-07-16,4,6,0
2020-07-17,1,8,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,5,8,0
2020-07-21,7,2,0
2020-07-22,4,5,0
2020-07-23,3,0,0
2020-07-24,1,1,0
2020-07-25,0,0,0
2020-07-26,1,0,0
2020-07-27,3,1,0
2020-07-28,5,8,0
2020-07-29,4,3,0
2020-07-30,4,2,0
2020-07-31,3,2,0
2020-08-01,0,0,0
2020-08-02,1,0,0
2020-08-03,0,0,0
2020-08-04,3,0,0
2020-08-05,4,0,0
2020-08-06,7,0,0
2020-08-07,2,0,0
2020-08-08,7,0,0
2020-08-09,4,0,0
2020-08-10,0,0,0
2020-08-11,18,1,0
2020-08-12,6,2,0
2020-08-13,1,1,0
2020-08-14,1,0,0
2020-08-15,3,1,0
2020-08-16,1,0,0
2020-08-17,2,1,0
2020-08-18,5,0,0
2020-08-19,1,0,0
2020-08-20,6,1,0
2020-08-21,1,0,0
2020-08-22,0,0,0
2020-08-23,3,0,0
2020-08-24,3,8,0
2020-08-25,2,1,0
2020-08-26,0,0,0
2020-08-27,4,0,0
2020-08-28,2,0,0
2020-08-29,0,0,0
2020-08-30,1,0,1
2020-08-31,2,4,0
2020-09-01,2,0,0
2020-09-02,3,0,0
2020-09-03,3,0,0
2020-09-04,0,0,0
2020-09-05,0,0,0
2020-09-06,8,0,0
2020-09-07,3,0,0
2020-09-08,5,5,0
2020-09-09,11,4,0
2020-09-10,4,0,0
2020-09-11,0,9,0
2020-09-12,0,1,0
2020-09-13,3,1,0
2020-09-14,0,2,0
2020-09-15,2,4,0
2020-09-16,4,0,0
2020-09-17,2,4,0
2020-09-18,0,8,0
2020-09-19,1,0,0
2020-09-20,3,0,0
2020-09-21,5,0,0
2020-09-22,6,0,0
2020-09-23,4,13,0
2020-09-24,6,1,0
2020-09-25,3,8,0
2020-09-26,0,1,0
2020-09-27,3,0,0
2020-09-28,1,4,0
2020-09-29,6,11,0
2020-09-30,3,1,0
2020-10-01,3,5,0
2020-10-02,2,2,0
2020-10-03,0,0,0
2020-10-04,2,0,0
2020-10-05,3,0,0
2020-10-06,1,5,0
2020-10-07,1,2,0
