,JuliaLang/julia,rust-lang/rust,python/cpython
2023-06-24,4,55,3
2023-06-25,4,61,3
2023-06-26,7,62,13
2023-06-27,10,113,12
2023-06-28,11,101,16
2023-06-29,10,93,9
2023-06-30,11,99,18
2023-07-01,3,61,11
2023-07-02,3,72,11
2023-07-03,4,112,26
2023-07-04,2,67,19
2023-07-05,14,100,9
2023-07-06,13,69,12
2023-07-07,11,89,12
2023-07-08,4,83,8
2023-07-09,2,41,7
2023-07-10,10,103,16
2023-07-11,12,53,25
2023-07-12,9,81,13
2023-07-13,13,84,12
2023-07-14,10,92,11
2023-07-15,10,33,8
2023-07-16,4,74,7
2023-07-17,9,76,15
2023-07-18,8,84,13
2023-07-19,13,80,6
2023-07-20,4,96,12
2023-07-21,3,103,12
2023-07-22,4,94,40
2023-07-23,6,38,26
2023-07-24,12,100,20
2023-07-25,3,94,26
2023-07-26,7,83,18
2023-07-27,6,90,23
2023-07-28,2,78,14
2023-07-29,3,73,11
2023-07-30,0,103,2
2023-07-31,7,131,18
2023-08-01,5,87,10
2023-08-02,10,109,8
2023-08-03,10,96,9
2023-08-04,3,99,17
2023-08-05,3,70,7
2023-08-06,1,73,7
2023-08-07,2,88,19
2023-08-08,4,96,15
2023-08-09,9,73,12
2023-08-10,9,53,12
2023-08-11,6,72,11
2023-08-12,1,40,4
2023-08-13,0,49,4
2023-08-14,16,89,7
2023-08-15,3,98,12
2023-08-16,5,101,26
2023-08-17,5,57,15
2023-08-18,9,83,9
2023-08-19,3,47,7
2023-08-20,2,45,12
2023-08-21,11,67,27
2023-08-22,3,105,26
2023-08-23,7,60,22
2023-08-24,6,79,34
2023-08-25,10,56,20
2023-08-26,6,51,5
2023-08-27,2,46,11
2023-08-28,7,91,14
2023-08-29,2,70,33
2023-08-30,9,86,13
2023-08-31,16,62,16
2023-09-01,9,73,18
2023-09-02,1,72,18
2023-09-03,5,76,10
2023-09-04,0,34,12
2023-09-05,11,75,18
2023-09-06,8,88,24
2023-09-07,7,71,25
2023-09-08,5,103,19
2023-09-09,8,46,11
2023-09-10,1,64,13
2023-09-11,4,91,20
2023-09-12,4,67,27
2023-09-13,12,52,13
2023-09-14,13,85,13
2023-09-15,7,66,14
2023-09-16,5,65,4
2023-09-17,6,44,2
2023-09-18,9,91,12
2023-09-19,8,77,14
2023-09-20,12,72,12
2023-09-21,4,83,14
2023-09-22,7,124,24
2023-09-23,8,63,9
2023-09-24,2,62,5
2023-09-25,6,80,22
2023-09-26,5,54,20
2023-09-27,7,35,18
2023-09-28,5,112,17
2023-09-29,8,68,29
2023-09-30,8,46,13
2023-10-01,3,52,8
2023-10-02,4,100,18
2023-10-03,5,82,18
2023-10-04,3,85,21
2023-10-05,6,105,23
2023-10-06,9,113,10
2023-10-07,8,39,4
2023-10-08,2,53,5
2023-10-09,3,111,18
2023-10-10,5,90,27
2023-10-11,8,69,22
2023-10-12,4,67,17
2023-10-13,5,55,21
2023-10-14,3,72,13
2023-10-15,3,71,4
2023-10-16,9,83,15
2023-10-17,9,97,24
2023-10-18,5,78,13
2023-10-19,4,83,13
2023-10-20,26,66,18
2023-10-21,1,118,9
2023-10-22,1,78,6
2023-10-23,5,113,10
2023-10-24,13,87,13
2023-10-25,14,163,17
2023-10-26,8,75,11
2023-10-27,9,101,13
2023-10-28,12,61,5
2023-10-29,3,101,8
2023-10-30,4,114,18
2023-10-31,16,88,20
2023-11-01,16,47,18
2023-11-02,15,108,12
2023-11-03,9,53,17
2023-11-04,9,78,12
2023-11-05,4,34,4
2023-11-06,8,37,7
2023-11-07,3,63,14
2023-11-08,11,85,12
2023-11-09,11,49,17
2023-11-10,8,50,13
2023-11-11,3,38,2
2023-11-12,1,67,5
2023-11-13,3,73,13
2023-11-14,12,58,15
2023-11-15,7,90,19
2023-11-16,9,115,11
2023-11-17,14,75,15
2023-11-18,3,48,8
2023-11-19,6,65,11
2023-11-20,4,82,8
2023-11-21,9,93,8
2023-11-22,8,103,13
2023-11-23,8,77,4
2023-11-24,3,98,4
2023-11-25,10,116,9
2023-11-26,3,96,3
2023-11-27,5,75,25
2023-11-28,4,101,10
2023-11-29,2,81,6
2023-11-30,1,69,12
2023-12-01,2,70,16
2023-12-02,1,88,4
2023-12-03,1,55,13
2023-12-04,6,121,21
2023-12-05,15,122,18
2023-12-06,12,74,11
2023-12-07,16,76,21
2023-12-08,9,136,13
2023-12-09,3,55,7
2023-12-10,2,76,10
2023-12-11,12,84,14
2023-12-12,5,121,18
2023-12-13,8,62,21
2023-12-14,8,88,24
2023-12-15,7,115,12
2023-12-16,0,57,6
2023-12-17,0,39,7
2023-12-18,6,139,10
2023-12-19,8,96,11
2023-12-20,9,68,12
2023-12-21,9,55,17
2023-12-22,6,64,12
2023-12-23,7,93,7
2023-12-24,0,46,11
2023-12-25,4,28,3
2023-12-26,0,60,10
2023-12-27,3,39,13
2023-12-28,5,62,9
2023-12-29,2,53,2
2023-12-30,5,51,3
2023-12-31,1,45,2
2024-01-01,0,33,6
2024-01-02,8,63,11
2024-01-03,8,99,10
2024-01-04,5,129,6
2024-01-05,9,121,12
2024-01-06,16,87,12
2024-01-07,10,110,2
2024-01-08,18,93,18
2024-01-09,5,119,21
2024-01-10,6,73,25
2024-01-11,15,118,12
2024-01-12,7,70,24
2024-01-13,11,71,7
2024-01-14,9,75,5
2024-01-15,3,67,10
2024-01-16,12,90,30
2024-01-17,6,71,18
2024-01-18,11,98,20
2024-01-19,9,131,6
2024-01-20,6,81,10
2024-01-21,2,80,11
2024-01-22,7,122,20
2024-01-23,7,87,20
2024-01-24,9,57,11
2024-01-25,7,85,13
2024-01-26,4,117,25
2024-01-27,6,57,13
2024-01-28,4,50,4
2024-01-29,11,71,22
2024-01-30,19,114,18
2024-01-31,18,81,16
2024-02-01,12,33,23
2024-02-02,5,52,19
2024-02-03,4,42,12
2024-02-04,3,54,14
2024-02-05,9,80,16
2024-02-06,11,83,16
2024-02-07,14,91,9
2024-02-08,23,122,5
2024-02-09,6,161,10
2024-02-10,23,86,13
2024-02-11,12,113,16
2024-02-12,13,141,22
2024-02-13,19,151,16
2024-02-14,8,100,22
2024-02-15,10,107,26
2024-02-16,13,114,19
2024-02-17,9,119,20
2024-02-18,4,87,5
2024-02-19,4,128,16
2024-02-20,12,120,26
2024-02-21,10,125,17
2024-02-22,6,115,12
2024-02-23,10,93,14
2024-02-24,0,73,5
2024-02-25,3,94,15
2024-02-26,12,126,22
2024-02-27,8,134,5
2024-02-28,3,109,28
2024-02-29,8,161,22
2024-03-01,8,120,23
2024-03-02,2,73,5
2024-03-03,5,87,6
2024-03-04,9,117,18
2024-03-05,8,162,22
2024-03-06,5,127,16
2024-03-07,3,105,17
2024-03-08,8,110,12
2024-03-09,10,114,6
2024-03-10,3,112,4
2024-03-11,14,137,22
2024-03-12,9,126,22
2024-03-13,6,107,28
2024-03-14,9,160,25
2024-03-15,4,91,15
2024-03-16,0,77,12
2024-03-17,2,117,7
2024-03-18,2,111,25
2024-03-19,4,124,27
2024-03-20,6,98,12
2024-03-21,3,126,18
2024-03-22,6,165,13
2024-03-23,6,114,4
2024-03-24,0,109,6
2024-03-25,3,112,9
2024-03-26,8,98,16
2024-03-27,10,123,8
2024-03-28,7,85,18
2024-03-29,6,59,17
2024-03-30,2,64,0
2024-03-31,1,77,5
2024-04-01,4,81,9
2024-04-02,5,83,13
2024-04-03,7,109,20
2024-04-04,7,103,14
2024-04-05,8,87,8
2024-04-06,5,95,2
2024-04-07,3,55,4
2024-04-08,5,115,16
2024-04-09,6,86,16
2024-04-10,4,96,10
2024-04-11,5,118,19
2024-04-12,2,83,24
2024-04-13,4,56,7
2024-04-14,3,91,9
2024-04-15,5,144,18
2024-04-16,11,177,20
2024-04-17,3,105,29
2024-04-18,6,77,15
2024-04-19,4,99,21
2024-04-20,8,98,1
2024-04-21,1,70,7
2024-04-22,8,78,11
2024-04-23,10,90,14
2024-04-24,5,97,20
2024-04-25,10,82,14
2024-04-26,10,62,11
2024-04-27,2,66,4
2024-04-28,2,73,6
2024-04-29,6,87,22
2024-04-30,10,78,24
2024-05-01,4,42,25
2024-05-02,15,115,20
2024-05-03,4,100,24
2024-05-04,2,139,14
2024-05-05,2,75,21
2024-05-06,5,82,40
2024-05-07,12,41,40
2024-05-08,5,80,19
2024-05-09,10,78,18
2024-05-10,10,80,21
2024-05-11,1,125,4
2024-05-12,2,84,2
2024-05-13,13,81,8
2024-05-14,4,78,7
2024-05-15,5,83,6
2024-05-16,11,66,8
2024-05-17,7,72,4
2024-05-18,2,59,7
2024-05-19,2,79,7
2024-05-20,8,130,28
2024-05-21,6,92,24
2024-05-22,7,88,26
2024-05-23,7,123,10
2024-05-24,10,92,9
2024-05-25,6,58,9
2024-05-26,2,50,6
2024-05-27,3,77,13
2024-05-28,5,86,18
2024-05-29,12,111,23
2024-05-30,7,76,16
2024-05-31,9,53,22
2024-06-01,0,46,10
2024-06-02,0,50,7
2024-06-03,2,70,27
2024-06-04,10,129,27
2024-06-05,18,147,8
2024-06-06,4,95,10
2024-06-07,7,123,18
2024-06-08,10,66,7
2024-06-09,5,95,0
2024-06-10,11,63,8
2024-06-11,6,133,14
2024-06-12,6,136,18
2024-06-13,8,143,13
2024-06-14,9,87,9
2024-06-15,3,64,10
2024-06-16,0,91,9
2024-06-17,1,102,26
2024-06-18,8,106,22
2024-06-19,1,146,21
2024-06-20,6,87,15
2024-06-21,10,118,13
2024-06-22,4,84,6
2024-06-23,5,80,9
2024-06-24,4,122,20
2024-06-25,4,101,9
2024-06-26,5,55,17
2024-06-27,8,70,13
2024-06-28,4,110,8
2024-06-29,1,98,5
2024-06-30,0,93,4
2024-07-01,5,87,18
2024-07-02,4,120,10
2024-07-03,2,89,19
2024-07-04,4,118,11
2024-07-05,6,113,7
2024-07-06,5,99,5
2024-07-07,2,164,2
2024-07-08,2,96,14
2024-07-09,7,75,8
2024-07-10,4,77,15
2024-07-11,4,56,6
2024-07-12,3,102,2
2024-07-13,3,46,16
2024-07-14,2,65,12
2024-07-15,4,100,18
