,jetbrains/kotlin,scala/scala,apache/groovy
2023-11-23,42,6,3
2023-11-24,32,3,4
2023-11-25,1,0,0
2023-11-26,7,0,5
2023-11-27,29,4,0
2023-11-28,53,0,3
2023-11-29,28,6,5
2023-11-30,37,2,0
2023-12-01,41,2,2
2023-12-02,0,0,0
2023-12-03,0,0,0
2023-12-04,41,2,0
2023-12-05,82,6,0
2023-12-06,18,7,2
2023-12-07,72,3,1
2023-12-08,37,3,0
2023-12-09,1,0,3
2023-12-10,0,0,0
2023-12-11,10,4,0
2023-12-12,57,2,0
2023-12-13,70,5,2
2023-12-14,29,3,5
2023-12-15,27,2,1
2023-12-16,3,0,5
2023-12-17,3,2,0
2023-12-18,41,7,3
2023-12-19,86,13,0
2023-12-20,29,2,4
2023-12-21,67,0,3
2023-12-22,2,5,3
2023-12-23,0,0,1
2023-12-24,1,2,1
2023-12-25,0,0,0
2023-12-26,2,0,2
2023-12-27,3,0,1
2023-12-28,11,1,0
2023-12-29,4,0,1
2023-12-30,0,0,6
2023-12-31,0,0,1
2024-01-01,0,0,1
2024-01-02,30,0,1
2024-01-03,35,2,0
2024-01-04,36,4,2
2024-01-05,56,4,4
2024-01-06,3,0,1
2024-01-07,0,0,0
2024-01-08,51,3,1
2024-01-09,43,0,5
2024-01-10,57,0,1
2024-01-11,33,4,6
2024-01-12,48,1,7
2024-01-13,0,7,5
2024-01-14,1,3,1
2024-01-15,39,6,4
2024-01-16,55,14,1
2024-01-17,59,1,0
2024-01-18,46,12,2
2024-01-19,55,4,0
2024-01-20,1,0,2
2024-01-21,0,0,3
2024-01-22,42,2,1
2024-01-23,39,2,2
2024-01-24,43,1,1
2024-01-25,22,3,5
2024-01-26,46,7,3
2024-01-27,1,1,1
2024-01-28,1,0,1
2024-01-29,45,1,3
2024-01-30,49,7,6
2024-01-31,52,2,1
2024-02-01,24,0,0
2024-02-02,23,4,0
2024-02-03,0,0,0
2024-02-04,0,0,2
2024-02-05,29,1,1
2024-02-06,23,3,0
2024-02-07,27,2,1
2024-02-08,47,6,0
2024-02-09,64,0,0
2024-02-10,4,0,0
2024-02-11,10,0,1
2024-02-12,52,20,0
2024-02-13,54,3,0
2024-02-14,53,2,3
2024-02-15,58,0,2
2024-02-16,17,0,0
2024-02-17,0,0,0
2024-02-18,7,0,0
2024-02-19,67,3,0
2024-02-20,42,0,0
2024-02-21,49,3,3
2024-02-22,40,4,12
2024-02-23,46,6,5
2024-02-24,0,2,3
2024-02-25,10,0,1
2024-02-26,61,2,4
2024-02-27,69,0,2
2024-02-28,98,0,0
2024-02-29,41,0,1
2024-03-01,31,2,0
2024-03-02,1,1,0
2024-03-03,1,0,0
2024-03-04,45,0,3
2024-03-05,52,4,1
2024-03-06,48,1,0
2024-03-07,56,2,0
2024-03-08,38,1,6
2024-03-09,32,1,3
2024-03-10,3,2,7
2024-03-11,62,2,2
2024-03-12,71,0,0
2024-03-13,52,2,1
2024-03-14,79,9,0
2024-03-15,61,1,0
2024-03-16,3,4,0
2024-03-17,0,2,0
2024-03-18,32,0,1
2024-03-19,46,3,1
2024-03-20,50,0,0
2024-03-21,41,1,1
2024-03-22,40,0,3
2024-03-23,2,0,0
2024-03-24,0,4,0
2024-03-25,31,2,0
2024-03-26,46,5,8
2024-03-27,29,3,4
2024-03-28,49,0,0
2024-03-29,10,0,0
2024-03-30,0,1,1
2024-03-31,4,0,2
2024-04-01,1,0,0
2024-04-02,53,1,0
2024-04-03,56,0,0
2024-04-04,58,3,2
2024-04-05,25,2,0
2024-04-06,0,4,9
2024-04-07,1,0,0
2024-04-08,31,12,1
2024-04-09,31,7,1
2024-04-10,24,4,1
2024-04-11,29,4,0
2024-04-12,54,1,0
2024-04-13,2,2,0
2024-04-14,0,0,0
2024-04-15,42,6,0
2024-04-16,68,1,1
2024-04-17,59,4,0
2024-04-18,70,0,5
2024-04-19,64,1,10
2024-04-20,0,0,1
2024-04-21,0,1,1
2024-04-22,51,0,1
2024-04-23,52,0,2
2024-04-24,42,0,4
2024-04-25,57,0,1
2024-04-26,37,0,0
2024-04-27,7,0,0
2024-04-28,0,0,1
2024-04-29,36,0,0
2024-04-30,31,0,1
2024-05-01,2,2,3
2024-05-02,46,0,0
2024-05-03,14,1,3
2024-05-04,0,0,1
2024-05-05,0,1,0
2024-05-06,36,3,0
2024-05-07,55,1,0
2024-05-08,60,5,3
2024-05-09,9,0,2
2024-05-10,33,0,2
2024-05-11,0,0,0
2024-05-12,4,1,1
2024-05-13,51,3,1
2024-05-14,35,0,1
2024-05-15,76,0,0
2024-05-16,33,0,1
2024-05-17,31,0,0
2024-05-18,5,0,4
2024-05-19,2,0,4
2024-05-20,8,1,1
2024-05-21,47,6,0
2024-05-22,47,6,0
2024-05-23,33,0,1
2024-05-24,13,0,0
2024-05-25,3,0,0
2024-05-26,0,0,2
2024-05-27,68,0,0
2024-05-28,71,0,1
2024-05-29,105,2,2
2024-05-30,67,0,1
2024-05-31,31,0,0
2024-06-01,6,1,4
2024-06-02,0,0,7
2024-06-03,34,1,2
2024-06-04,70,7,5
2024-06-05,43,2,2
2024-06-06,30,1,1
2024-06-07,94,1,0
2024-06-08,1,0,0
2024-06-09,0,1,0
2024-06-10,35,1,1
2024-06-11,66,2,0
2024-06-12,24,1,3
2024-06-13,28,2,1
2024-06-14,34,1,5
2024-06-15,1,0,12
2024-06-16,9,0,4
2024-06-17,88,2,2
2024-06-18,80,0,2
2024-06-19,84,3,2
2024-06-20,38,2,4
2024-06-21,89,1,2
2024-06-22,17,4,4
2024-06-23,1,3,3
2024-06-24,69,5,13
2024-06-25,57,1,3
2024-06-26,45,3,2
2024-06-27,42,0,1
2024-06-28,54,0,0
2024-06-29,23,0,0
2024-06-30,4,0,1
2024-07-01,60,0,1
2024-07-02,95,0,2
2024-07-03,34,2,1
2024-07-04,19,0,0
2024-07-05,48,0,1
2024-07-06,1,0,5
2024-07-07,0,0,1
2024-07-08,37,0,0
2024-07-09,56,1,2
2024-07-10,49,5,2
2024-07-11,33,6,0
2024-07-12,30,4,1
2024-07-13,4,0,1
2024-07-14,0,1,1
2024-07-15,36,7,0
2024-07-16,53,1,0
2024-07-17,39,1,0
2024-07-18,50,6,1
2024-07-19,14,0,1
2024-07-20,1,0,0
2024-07-21,0,3,0
2024-07-22,72,3,0
2024-07-23,37,0,1
2024-07-24,45,0,0
2024-07-25,53,0,0
2024-07-26,29,1,0
2024-07-27,2,0,0
2024-07-28,0,0,0
2024-07-29,34,0,0
2024-07-30,43,2,0
2024-07-31,24,3,0
2024-08-01,18,0,0
2024-08-02,39,0,0
2024-08-03,0,0,0
2024-08-04,0,0,1
2024-08-05,50,0,0
2024-08-06,25,1,0
2024-08-07,54,14,0
2024-08-08,14,10,0
2024-08-09,22,2,0
2024-08-10,1,0,3
2024-08-11,1,0,0
2024-08-12,41,0,0
2024-08-13,21,9,1
2024-08-14,50,17,0
2024-08-15,12,11,0
2024-08-16,17,5,0
2024-08-17,0,0,0
2024-08-18,0,0,0
2024-08-19,25,0,0
2024-08-20,34,0,0
2024-08-21,93,1,0
2024-08-22,38,0,0
2024-08-23,27,0,0
2024-08-24,3,0,6
2024-08-25,0,0,0
2024-08-26,28,0,0
2024-08-27,51,0,0
2024-08-28,33,0,0
2024-08-29,55,1,1
2024-08-30,22,0,1
2024-08-31,4,1,1
2024-09-01,0,0,0
2024-09-02,55,3,1
2024-09-03,104,0,9
2024-09-04,33,2,3
2024-09-05,58,0,4
2024-09-06,76,0,2
2024-09-07,1,0,1
2024-09-08,0,0,3
2024-09-09,39,0,3
2024-09-10,27,1,2
2024-09-11,22,1,4
2024-09-12,31,3,2
2024-09-13,20,0,3
2024-09-14,14,0,1
2024-09-15,5,0,0
2024-09-16,23,3,0
2024-09-17,43,1,1
2024-09-18,33,1,4
2024-09-19,49,0,2
2024-09-20,35,0,1
2024-09-21,102,0,0
2024-09-22,1,0,0
2024-09-23,60,1,4
2024-09-24,40,1,3
2024-09-25,38,2,1
2024-09-26,56,1,2
2024-09-27,59,0,1
2024-09-28,7,4,1
2024-09-29,7,2,1
2024-09-30,27,1,1
2024-10-01,25,0,1
2024-10-02,32,0,0
2024-10-03,18,0,0
2024-10-04,17,0,0
2024-10-05,5,0,2
2024-10-06,0,0,2
2024-10-07,67,0,1
2024-10-08,36,0,1
2024-10-09,73,2,2
2024-10-10,38,11,1
2024-10-11,30,1,1
2024-10-12,0,2,3
2024-10-13,1,0,1
2024-10-14,40,2,2
2024-10-15,40,14,1
2024-10-16,54,1,1
2024-10-17,49,0,0
2024-10-18,22,2,7
2024-10-19,1,0,0
2024-10-20,0,1,11
2024-10-21,14,5,0
2024-10-22,26,3,0
2024-10-23,19,7,2
2024-10-24,14,0,0
2024-10-25,21,5,0
2024-10-26,1,1,8
2024-10-27,0,1,4
2024-10-28,25,5,1
2024-10-29,24,2,0
2024-10-30,53,3,0
2024-10-31,20,0,0
2024-11-01,3,2,3
2024-11-02,1,0,0
2024-11-03,0,1,5
2024-11-04,26,4,2
2024-11-05,26,6,0
2024-11-06,53,11,0
2024-11-07,45,2,0
2024-11-08,38,0,0
2024-11-09,5,1,4
2024-11-10,0,1,0
2024-11-11,47,3,0
2024-11-12,39,4,1
2024-11-13,53,8,1
2024-11-14,53,2,0
2024-11-15,18,2,0
2024-11-16,7,0,0
2024-11-17,0,0,0
2024-11-18,44,1,1
2024-11-19,53,0,0
2024-11-20,24,0,0
2024-11-21,30,2,0
2024-11-22,29,5,2
2024-11-23,0,2,2
2024-11-24,1,1,3
2024-11-25,41,5,2
2024-11-26,39,0,3
2024-11-27,75,3,0
2024-11-28,45,2,0
2024-11-29,33,0,0
2024-11-30,0,0,0
2024-12-01,4,0,0
2024-12-02,53,0,5
2024-12-03,55,1,3
2024-12-04,28,0,19
2024-12-05,54,0,0
2024-12-06,35,0,0
2024-12-07,0,0,0
2024-12-08,0,0,4
2024-12-09,59,4,1
2024-12-10,28,0,3
2024-12-11,30,4,2
2024-12-12,61,9,0
2024-12-13,24,4,2
2024-12-14,10,0,0
2024-12-15,3,0,0
2024-12-16,35,3,0
2024-12-17,15,1,0
2024-12-18,16,1,0
2024-12-19,63,8,0
2024-12-20,30,2,1
2024-12-21,0,0,0
2024-12-22,0,3,8
2024-12-23,7,0,0
2024-12-24,17,0,0
2024-12-25,1,2,0
2024-12-26,0,0,0
2024-12-27,0,0,5
2024-12-28,0,2,3
2024-12-29,0,0,1
2024-12-30,0,0,0
2024-12-31,2,0,2
2025-01-01,0,0,1
2025-01-02,17,1,4
2025-01-03,236,1,3
2025-01-04,0,0,7
2025-01-05,0,0,7
2025-01-06,18,9,7
2025-01-07,69,5,0
2025-01-08,52,0,0
2025-01-09,32,0,1
2025-01-10,50,1,3
2025-01-11,10,1,10
2025-01-12,1,0,1
2025-01-13,59,0,0
2025-01-14,52,3,3
2025-01-15,34,1,0
2025-01-16,36,3,2
2025-01-17,64,0,1
2025-01-18,1,0,9
2025-01-19,0,2,3
2025-01-20,31,1,3
2025-01-21,25,2,1
2025-01-22,37,0,0
2025-01-23,58,3,0
2025-01-24,21,0,3
2025-01-25,0,0,0
2025-01-26,2,0,0
2025-01-27,58,0,1
2025-01-28,63,1,0
2025-01-29,39,0,0
2025-01-30,15,11,1
2025-01-31,61,15,0
2025-02-01,0,0,0
2025-02-02,0,0,0
2025-02-03,47,4,1
2025-02-04,45,1,0
2025-02-05,50,0,0
2025-02-06,59,8,0
2025-02-07,78,6,0
2025-02-08,0,0,2
2025-02-09,0,1,2
2025-02-10,46,3,1
2025-02-11,24,1,0
2025-02-12,75,3,0
2025-02-13,47,4,0
2025-02-14,40,1,1
2025-02-15,9,1,0
2025-02-16,0,0,4
2025-02-17,50,4,0
2025-02-18,53,0,2
2025-02-19,94,1,0
2025-02-20,49,1,1
2025-02-21,44,0,0
2025-02-22,0,0,1
2025-02-23,0,0,2
2025-02-24,27,1,3
2025-02-25,99,2,0
2025-02-26,50,2,0
2025-02-27,44,2,0
2025-02-28,27,1,1
2025-03-01,0,1,1
2025-03-02,0,0,0
2025-03-03,37,2,0
2025-03-04,55,1,0
2025-03-05,15,1,0
2025-03-06,41,1,0
2025-03-07,41,0,0
2025-03-08,0,2,0
2025-03-09,0,3,1
2025-03-10,61,3,1
2025-03-11,66,2,0
2025-03-12,52,3,0
2025-03-13,51,1,2
2025-03-14,40,1,0
2025-03-15,12,0,2
2025-03-16,0,0,3
2025-03-17,79,2,0
2025-03-18,80,6,0
2025-03-19,44,0,0
2025-03-20,49,2,3
2025-03-21,56,0,1
2025-03-22,1,0,18
2025-03-23,0,0,4
2025-03-24,34,2,0
2025-03-25,48,2,0
2025-03-26,43,0,0
2025-03-27,86,0,0
2025-03-28,40,1,0
2025-03-29,1,1,18
2025-03-30,0,1,7
2025-03-31,30,1,0
2025-04-01,55,1,0
2025-04-02,74,2,1
2025-04-03,61,4,8
2025-04-04,47,2,3
2025-04-05,2,0,0
2025-04-06,0,0,3
2025-04-07,35,1,5
2025-04-08,68,3,2
2025-04-09,70,0,3
2025-04-10,38,0,2
2025-04-11,42,0,2
2025-04-12,11,0,10
2025-04-13,4,0,4
2025-04-14,84,7,7
2025-04-15,32,14,4
2025-04-16,53,19,6
2025-04-17,40,1,2
2025-04-18,7,0,0
2025-04-19,0,0,6
2025-04-20,0,0,0
2025-04-21,1,0,3
2025-04-22,111,4,0
2025-04-23,67,0,0
2025-04-24,56,0,2
2025-04-25,32,0,0
2025-04-26,0,1,2
2025-04-27,0,0,0
2025-04-28,45,1,2
2025-04-29,60,2,0
2025-04-30,39,0,8
2025-05-01,13,0,8
2025-05-02,7,0,1
2025-05-03,0,0,1
2025-05-04,0,0,1
2025-05-05,55,0,3
2025-05-06,70,6,8
2025-05-07,78,1,4
2025-05-08,43,0,1
2025-05-09,46,0,1
2025-05-10,0,0,1
2025-05-11,1,0,0
2025-05-12,44,0,2
2025-05-13,78,1,1
2025-05-14,35,3,3
2025-05-15,63,4,3
2025-05-16,25,0,1
2025-05-17,0,0,1
2025-05-18,0,0,4
2025-05-19,67,5,5
2025-05-20,43,3,0
2025-05-21,34,1,3
2025-05-22,14,1,1
2025-05-23,11,2,2
2025-05-24,1,1,2
2025-05-25,0,0,1
2025-05-26,18,1,4
2025-05-27,47,0,2
2025-05-28,7,1,1
2025-05-29,11,0,1
2025-05-30,18,0,1
2025-05-31,0,0,13
2025-06-01,0,0,2
2025-06-02,30,2,0
2025-06-03,46,1,1
2025-06-04,39,0,5
2025-06-05,33,3,0
2025-06-06,23,0,0
2025-06-07,1,0,2
2025-06-08,0,0,5
2025-06-09,2,0,0
2025-06-10,35,3,1
2025-06-11,31,0,1
2025-06-12,68,1,0
2025-06-13,20,0,0
2025-06-14,0,0,6
2025-06-15,0,1,0
2025-06-16,43,4,0
2025-06-17,27,2,1
2025-06-18,25,0,1
2025-06-19,38,1,1
2025-06-20,27,0,0
2025-06-21,0,1,5
2025-06-22,0,0,1
2025-06-23,23,0,1
2025-06-24,35,1,0
2025-06-25,14,2,0
2025-06-26,55,0,0
2025-06-27,33,1,0
2025-06-28,7,0,3
2025-06-29,10,0,0
2025-06-30,93,3,0
2025-07-01,30,1,0
2025-07-02,33,0,0
2025-07-03,38,0,1
2025-07-04,23,1,9
2025-07-05,0,1,0
2025-07-06,0,0,0
2025-07-07,84,0,0
2025-07-08,71,0,1
2025-07-09,63,2,0
2025-07-10,48,0,2
2025-07-11,55,0,1
2025-07-12,2,0,0
2025-07-13,2,0,0
2025-07-14,43,6,0
2025-07-15,72,6,4
2025-07-16,64,3,9
2025-07-17,113,1,2
2025-07-18,46,0,5
2025-07-19,2,0,5
2025-07-20,0,0,5
2025-07-21,36,1,3
2025-07-22,62,0,3
2025-07-23,39,0,4
2025-07-24,26,0,1
2025-07-25,64,2,4
2025-07-26,0,0,1
2025-07-27,0,0,1
2025-07-28,107,0,5
2025-07-29,14,0,10
2025-07-30,68,0,3
2025-07-31,38,0,13
2025-08-01,14,0,0
2025-08-02,1,0,4
2025-08-03,0,0,12
2025-08-04,46,1,16
2025-08-05,45,1,7
2025-08-06,43,0,3
2025-08-07,57,5,3
2025-08-08,30,4,0
2025-08-09,1,0,0
2025-08-10,0,0,2
2025-08-11,39,0,5
2025-08-12,41,1,3
2025-08-13,20,1,13
2025-08-14,57,2,12
2025-08-15,35,3,0
2025-08-16,0,0,1
2025-08-17,0,0,0
2025-08-18,31,0,3
2025-08-19,45,4,6
2025-08-20,14,2,10
2025-08-21,43,1,0
