,bitcoin/bitcoin,libbitcoin/libbitcoin-system,bitcoinj/bitcoinj
2023-09-25,1,0,7
2023-09-26,2,0,0
2023-09-27,13,0,0
2023-09-28,6,0,0
2023-09-29,10,0,0
2023-09-30,24,0,6
2023-10-01,0,0,6
2023-10-02,32,0,8
2023-10-03,29,0,1
2023-10-04,31,0,0
2023-10-05,29,0,1
2023-10-06,14,0,0
2023-10-07,2,0,0
2023-10-08,31,0,0
2023-10-09,18,0,1
2023-10-10,12,0,0
2023-10-11,8,0,1
2023-10-12,15,0,1
2023-10-13,27,0,0
2023-10-14,0,0,0
2023-10-15,3,0,1
2023-10-16,10,0,0
2023-10-17,11,0,0
2023-10-18,7,0,0
2023-10-19,14,0,0
2023-10-20,25,0,0
2023-10-21,0,0,0
2023-10-22,0,0,0
2023-10-23,17,0,0
2023-10-24,18,0,13
2023-10-25,8,0,0
2023-10-26,10,0,0
2023-10-27,2,0,0
2023-10-28,0,0,0
2023-10-29,3,0,0
2023-10-30,18,0,0
2023-10-31,11,0,0
2023-11-01,12,0,0
2023-11-02,11,0,0
2023-11-03,21,0,0
2023-11-04,1,0,0
2023-11-05,6,0,0
2023-11-06,7,0,0
2023-11-07,16,0,0
2023-11-08,17,0,0
2023-11-09,15,0,0
2023-11-10,18,0,2
2023-11-11,1,0,0
2023-11-12,0,0,0
2023-11-13,25,0,0
2023-11-14,11,0,0
2023-11-15,6,0,0
2023-11-16,20,0,2
2023-11-17,17,0,0
2023-11-18,0,0,0
2023-11-19,1,0,3
2023-11-20,6,0,0
2023-11-21,4,0,1
2023-11-22,23,0,0
2023-11-23,10,0,0
2023-11-24,6,0,0
2023-11-25,4,0,0
2023-11-26,2,0,0
2023-11-27,2,0,0
2023-11-28,21,0,0
2023-11-29,13,0,0
2023-11-30,14,0,0
2023-12-01,7,0,0
2023-12-02,1,0,0
2023-12-03,1,0,0
2023-12-04,20,0,0
2023-12-05,14,0,1
2023-12-06,11,0,0
2023-12-07,15,0,0
2023-12-08,22,0,1
2023-12-09,6,0,0
2023-12-10,1,0,0
2023-12-11,20,0,0
2023-12-12,14,0,0
2023-12-13,10,0,0
2023-12-14,12,0,0
2023-12-15,13,0,0
2023-12-16,0,0,0
2023-12-17,1,0,0
2023-12-18,6,0,4
2023-12-19,3,0,2
2023-12-20,4,0,3
2023-12-21,9,0,0
2023-12-22,4,0,0
2023-12-23,1,0,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,0,0
2023-12-27,4,0,0
2023-12-28,0,0,0
2023-12-29,0,0,0
2023-12-30,0,0,0
2023-12-31,1,0,0
2024-01-01,0,0,0
2024-01-02,7,0,0
2024-01-03,2,0,0
2024-01-04,9,0,0
2024-01-05,14,0,0
2024-01-06,2,0,0
2024-01-07,2,0,0
2024-01-08,12,0,0
2024-01-09,12,0,0
2024-01-10,7,0,1
2024-01-11,22,0,0
2024-01-12,9,0,0
2024-01-13,1,0,0
2024-01-14,0,0,0
2024-01-15,11,0,0
2024-01-16,20,0,2
2024-01-17,7,0,0
2024-01-18,10,0,0
2024-01-19,9,0,0
2024-01-20,2,0,0
2024-01-21,0,0,0
2024-01-22,6,0,0
2024-01-23,16,0,0
2024-01-24,6,0,0
2024-01-25,23,0,0
2024-01-26,11,0,0
2024-01-27,0,3,0
2024-01-28,0,0,0
2024-01-29,11,10,0
2024-01-30,10,0,0
2024-01-31,13,0,4
2024-02-01,18,0,0
2024-02-02,3,0,0
2024-02-03,3,0,0
2024-02-04,0,0,0
2024-02-05,8,0,0
2024-02-06,11,0,0
2024-02-07,15,0,1
2024-02-08,15,2,0
2024-02-09,21,1,1
2024-02-10,3,0,0
2024-02-11,4,0,0
2024-02-12,14,3,0
2024-02-13,18,1,0
2024-02-14,1,5,0
2024-02-15,10,0,0
2024-02-16,11,0,0
2024-02-17,1,4,0
2024-02-18,1,5,0
2024-02-19,4,1,0
2024-02-20,14,2,0
2024-02-21,14,1,0
2024-02-22,2,1,0
2024-02-23,3,0,0
2024-02-24,0,8,1
2024-02-25,0,1,0
2024-02-26,15,2,0
2024-02-27,19,5,0
2024-02-28,24,0,0
2024-02-29,17,2,0
2024-03-01,25,1,0
2024-03-02,3,0,0
2024-03-03,1,0,0
2024-03-04,11,0,0
2024-03-05,16,2,0
2024-03-06,6,1,0
2024-03-07,9,0,0
2024-03-08,11,0,0
2024-03-09,3,0,0
2024-03-10,2,0,1
2024-03-11,20,8,2
2024-03-12,28,3,0
2024-03-13,10,0,0
2024-03-14,12,1,1
2024-03-15,7,1,1
2024-03-16,0,3,0
2024-03-17,5,4,0
2024-03-18,28,0,0
2024-03-19,10,0,0
2024-03-20,18,0,0
2024-03-21,12,0,0
2024-03-22,11,1,0
2024-03-23,3,2,0
2024-03-24,0,2,0
2024-03-25,13,0,0
2024-03-26,29,0,0
2024-03-27,14,0,0
2024-03-28,6,8,0
2024-03-29,7,9,0
2024-03-30,1,0,0
2024-03-31,1,0,0
2024-04-01,9,0,0
2024-04-02,15,0,0
2024-04-03,4,0,0
2024-04-04,12,0,0
2024-04-05,8,2,0
2024-04-06,9,0,0
2024-04-07,6,0,3
2024-04-08,5,0,0
2024-04-09,16,0,0
2024-04-10,10,3,1
2024-04-11,5,5,0
2024-04-12,5,1,0
2024-04-13,0,0,0
2024-04-14,1,2,0
2024-04-15,13,0,0
2024-04-16,22,2,0
2024-04-17,12,0,0
2024-04-18,12,0,0
2024-04-19,12,0,0
2024-04-20,0,1,0
2024-04-21,1,0,1
2024-04-22,14,0,0
2024-04-23,7,0,10
2024-04-24,20,0,0
2024-04-25,20,0,0
2024-04-26,16,0,0
2024-04-27,2,0,7
2024-04-28,9,4,0
2024-04-29,11,11,8
2024-04-30,15,0,0
2024-05-01,15,5,0
2024-05-02,10,0,0
2024-05-03,23,0,0
2024-05-04,6,0,0
2024-05-05,4,0,1
2024-05-06,11,0,0
2024-05-07,8,0,0
2024-05-08,10,2,1
2024-05-09,14,3,0
2024-05-10,6,0,0
2024-05-11,6,0,0
2024-05-12,4,0,0
2024-05-13,12,0,0
2024-05-14,26,0,4
2024-05-15,12,0,0
2024-05-16,34,3,0
2024-05-17,6,0,0
2024-05-18,1,0,0
2024-05-19,0,0,0
2024-05-20,5,0,0
2024-05-21,19,1,0
2024-05-22,18,5,0
2024-05-23,16,3,0
2024-05-24,9,7,0
2024-05-25,0,14,0
2024-05-26,0,1,0
2024-05-27,1,2,0
2024-05-28,3,7,0
2024-05-29,10,13,0
2024-05-30,16,9,0
2024-05-31,6,4,0
2024-06-01,0,5,6
2024-06-02,4,6,0
2024-06-03,11,3,0
2024-06-04,9,3,0
2024-06-05,18,1,0
2024-06-06,11,1,0
2024-06-07,19,0,0
2024-06-08,3,0,0
2024-06-09,3,2,0
2024-06-10,21,0,0
2024-06-11,14,0,0
2024-06-12,18,2,0
2024-06-13,17,1,0
2024-06-14,12,1,0
2024-06-15,0,0,0
2024-06-16,1,0,0
2024-06-17,12,1,0
2024-06-18,22,2,0
2024-06-19,7,0,0
2024-06-20,10,0,0
2024-06-21,18,2,0
2024-06-22,2,1,0
2024-06-23,0,0,1
2024-06-24,5,0,2
2024-06-25,7,0,1
2024-06-26,20,1,1
2024-06-27,17,0,5
2024-06-28,4,4,1
2024-06-29,1,4,0
2024-06-30,2,1,0
2024-07-01,39,1,1
2024-07-02,21,8,0
2024-07-03,5,3,0
2024-07-04,11,2,0
2024-07-05,8,1,0
2024-07-06,5,4,0
2024-07-07,0,23,0
2024-07-08,11,13,0
2024-07-09,13,3,0
2024-07-10,7,2,0
2024-07-11,14,0,0
2024-07-12,9,0,2
2024-07-13,1,0,0
2024-07-14,3,1,1
2024-07-15,11,8,1
2024-07-16,25,6,0
2024-07-17,11,2,0
2024-07-18,14,2,0
2024-07-19,18,0,0
2024-07-20,3,0,0
2024-07-21,0,3,0
2024-07-22,14,6,0
2024-07-23,19,0,0
2024-07-24,20,0,0
2024-07-25,32,0,1
2024-07-26,13,4,0
2024-07-27,1,0,0
2024-07-28,1,2,0
2024-07-29,5,0,0
2024-07-30,17,1,0
2024-07-31,24,3,0
2024-08-01,12,5,1
2024-08-02,30,0,3
2024-08-03,6,1,11
2024-08-04,11,2,0
2024-08-05,33,2,2
2024-08-06,16,2,0
2024-08-07,14,2,0
2024-08-08,18,0,0
2024-08-09,14,0,0
2024-08-10,3,0,0
2024-08-11,1,0,0
2024-08-12,23,7,0
2024-08-13,15,2,0
2024-08-14,15,6,0
2024-08-15,4,0,2
2024-08-16,83,0,0
2024-08-17,0,0,0
2024-08-18,0,7,0
2024-08-19,1,2,1
2024-08-20,7,4,0
2024-08-21,9,1,2
2024-08-22,4,6,0
2024-08-23,9,3,1
2024-08-24,3,0,0
2024-08-25,7,0,0
2024-08-26,15,0,0
2024-08-27,18,0,3
2024-08-28,39,0,5
2024-08-29,30,0,9
2024-08-30,14,0,5
2024-08-31,5,0,2
2024-09-01,9,0,3
2024-09-02,13,0,36
2024-09-03,17,0,3
2024-09-04,26,0,1
2024-09-05,22,0,0
2024-09-06,28,0,0
2024-09-07,7,0,0
2024-09-08,6,0,0
2024-09-09,11,0,0
2024-09-10,12,0,0
2024-09-11,15,0,0
2024-09-12,46,0,0
2024-09-13,21,0,0
2024-09-14,5,0,0
2024-09-15,0,0,0
2024-09-16,9,0,0
2024-09-17,32,0,0
2024-09-18,14,0,0
2024-09-19,9,0,0
2024-09-20,15,0,0
2024-09-21,3,0,0
2024-09-22,1,0,0
2024-09-23,21,0,0
2024-09-24,6,0,0
2024-09-25,9,0,3
2024-09-26,14,0,0
2024-09-27,8,0,1
2024-09-28,3,0,0
2024-09-29,3,0,0
2024-09-30,11,0,0
2024-10-01,18,0,0
2024-10-02,12,0,0
2024-10-03,5,0,0
2024-10-04,5,0,0
2024-10-05,3,0,0
2024-10-06,1,0,0
2024-10-07,18,0,0
2024-10-08,14,0,0
2024-10-09,3,0,0
2024-10-10,8,0,0
2024-10-11,4,0,0
2024-10-12,2,0,0
2024-10-13,1,0,0
2024-10-14,0,0,0
2024-10-15,5,0,0
2024-10-16,16,0,0
2024-10-17,7,0,2
2024-10-18,0,0,1
2024-10-19,3,0,0
2024-10-20,0,0,0
2024-10-21,21,0,0
2024-10-22,5,2,0
2024-10-23,6,0,0
2024-10-24,22,2,0
2024-10-25,57,0,0
2024-10-26,3,0,0
2024-10-27,2,0,0
2024-10-28,19,3,0
2024-10-29,8,0,0
2024-10-30,11,0,0
2024-10-31,14,9,0
2024-11-01,5,0,0
2024-11-02,0,0,0
2024-11-03,2,0,0
2024-11-04,16,0,0
2024-11-05,11,0,0
2024-11-06,14,0,0
2024-11-07,5,0,0
2024-11-08,9,0,0
2024-11-09,1,0,2
2024-11-10,0,0,0
2024-11-11,18,0,0
2024-11-12,15,0,0
2024-11-13,32,0,0
2024-11-14,19,0,0
2024-11-15,10,0,0
2024-11-16,0,0,0
2024-11-17,1,1,0
2024-11-18,6,0,0
2024-11-19,5,8,4
2024-11-20,39,3,0
2024-11-21,10,6,0
2024-11-22,5,5,0
2024-11-23,2,5,0
2024-11-24,1,12,0
2024-11-25,11,11,0
2024-11-26,10,4,0
2024-11-27,9,0,0
2024-11-28,3,3,0
2024-11-29,1,0,0
2024-11-30,3,0,0
2024-12-01,1,0,0
2024-12-02,30,1,0
2024-12-03,20,7,1
2024-12-04,17,8,0
2024-12-05,11,10,0
2024-12-06,17,4,0
2024-12-07,0,4,0
2024-12-08,2,1,0
2024-12-09,5,0,1
2024-12-10,6,6,0
2024-12-11,3,7,0
2024-12-12,10,3,0
2024-12-13,12,0,0
2024-12-14,3,3,0
2024-12-15,1,0,1
2024-12-16,2,0,0
2024-12-17,18,2,0
2024-12-18,16,4,0
2024-12-19,13,2,0
2024-12-20,8,4,0
2024-12-21,2,5,0
2024-12-22,1,3,0
2024-12-23,1,0,0
2024-12-24,4,0,0
2024-12-25,1,0,0
2024-12-26,2,1,0
2024-12-27,3,1,0
2024-12-28,3,0,0
2024-12-29,0,0,0
2024-12-30,13,0,0
2024-12-31,2,0,0
2025-01-01,0,0,0
2025-01-02,1,0,0
2025-01-03,8,4,1
2025-01-04,5,6,0
2025-01-05,5,2,0
2025-01-06,33,0,0
2025-01-07,7,0,0
2025-01-08,8,0,0
2025-01-09,19,0,0
2025-01-10,14,0,0
2025-01-11,0,4,0
2025-01-12,0,2,0
2025-01-13,5,9,0
2025-01-14,8,0,0
2025-01-15,14,0,0
2025-01-16,18,0,0
2025-01-17,8,0,1
2025-01-18,0,0,0
2025-01-19,1,0,7
2025-01-20,25,6,3
2025-01-21,14,4,0
2025-01-22,27,2,0
2025-01-23,14,4,1
2025-01-24,10,4,0
2025-01-25,0,6,0
2025-01-26,2,0,0
2025-01-27,7,2,2
2025-01-28,5,9,0
2025-01-29,23,10,2
2025-01-30,0,2,3
2025-01-31,7,5,0
2025-02-01,0,0,0
2025-02-02,1,0,0
2025-02-03,2,0,0
2025-02-04,18,0,0
2025-02-05,7,0,1
2025-02-06,17,0,0
2025-02-07,8,0,0
2025-02-08,1,0,2
2025-02-09,0,0,3
2025-02-10,19,3,7
2025-02-11,10,1,0
2025-02-12,30,0,0
2025-02-13,28,3,0
2025-02-14,24,1,0
2025-02-15,2,2,0
2025-02-16,2,2,0
2025-02-17,3,3,0
2025-02-18,12,0,0
2025-02-19,17,0,9
2025-02-20,21,0,0
2025-02-21,14,0,0
2025-02-22,2,0,0
2025-02-23,0,0,0
2025-02-24,7,2,3
2025-02-25,8,0,2
2025-02-26,3,0,1
2025-02-27,1,0,3
2025-02-28,0,0,2
2025-03-01,2,2,3
2025-03-02,0,0,0
2025-03-03,4,0,0
2025-03-04,18,4,0
2025-03-05,16,4,0
2025-03-06,15,0,0
2025-03-07,8,0,0
2025-03-08,4,1,0
2025-03-09,1,0,2
2025-03-10,2,1,2
2025-03-11,4,0,0
2025-03-12,27,0,0
2025-03-13,23,0,0
2025-03-14,14,0,11
2025-03-15,1,0,1
2025-03-16,13,0,4
2025-03-17,9,1,0
2025-03-18,15,0,0
2025-03-19,4,2,0
2025-03-20,7,0,0
2025-03-21,8,1,0
2025-03-22,1,1,0
2025-03-23,6,0,0
2025-03-24,37,2,7
2025-03-25,10,2,0
2025-03-26,18,2,0
2025-03-27,21,1,4
2025-03-28,3,0,10
2025-03-29,4,0,4
2025-03-30,1,7,15
2025-03-31,15,1,5
2025-04-01,19,1,0
2025-04-02,39,2,3
2025-04-03,15,0,14
2025-04-04,5,0,4
2025-04-05,0,0,15
2025-04-06,2,0,1
2025-04-07,13,3,5
2025-04-08,8,0,1
2025-04-09,11,0,13
2025-04-10,6,4,1
2025-04-11,7,2,2
2025-04-12,1,0,2
2025-04-13,4,16,8
2025-04-14,12,2,7
2025-04-15,7,0,0
2025-04-16,10,1,0
2025-04-17,14,10,0
2025-04-18,4,3,0
2025-04-19,6,0,0
2025-04-20,0,0,0
2025-04-21,8,4,0
2025-04-22,16,0,0
2025-04-23,17,0,11
2025-04-24,7,0,12
2025-04-25,16,0,6
2025-04-26,7,1,0
2025-04-27,1,0,0
2025-04-28,18,0,5
2025-04-29,10,0,16
2025-04-30,16,0,0
2025-05-01,15,0,0
2025-05-02,3,0,0
2025-05-03,1,3,0
2025-05-04,1,1,0
2025-05-05,6,20,0
2025-05-06,21,8,0
2025-05-07,16,13,18
2025-05-08,14,9,0
2025-05-09,25,20,0
2025-05-10,10,9,0
2025-05-11,3,9,0
2025-05-12,21,23,0
2025-05-13,22,17,0
2025-05-14,39,10,0
2025-05-15,31,4,0
2025-05-16,27,15,0
2025-05-17,10,25,0
2025-05-18,3,6,21
2025-05-19,23,3,0
2025-05-20,30,2,0
2025-05-21,19,5,0
2025-05-22,12,8,0
2025-05-23,9,4,12
2025-05-24,1,4,6
2025-05-25,0,24,0
2025-05-26,4,0,0
2025-05-27,17,2,0
2025-05-28,9,5,0
2025-05-29,14,3,0
2025-05-30,12,7,0
2025-05-31,1,22,0
2025-06-01,1,16,0
2025-06-02,10,9,0
2025-06-03,10,3,0
2025-06-04,9,0,0
2025-06-05,6,0,2
2025-06-06,15,0,0
2025-06-07,1,0,0
2025-06-08,1,0,0
2025-06-09,9,0,0
2025-06-10,26,0,0
2025-06-11,20,0,0
2025-06-12,9,0,0
2025-06-13,23,1,0
2025-06-14,17,2,0
2025-06-15,1,0,0
2025-06-16,9,0,0
2025-06-17,3,0,0
2025-06-18,8,0,2
