,rclone/rclone,iterate-ch/cyberduck,aws/aws-cli
2013-08-31,0,0,8
2013-09-01,0,14,0
2013-09-02,0,48,4
2013-09-03,0,14,8
2013-09-04,0,10,7
2013-09-05,0,15,3
2013-09-06,0,32,10
2013-09-07,0,0,1
2013-09-08,0,10,0
2013-09-09,0,19,4
2013-09-10,0,45,4
2013-09-11,0,37,3
2013-09-12,0,13,14
2013-09-13,0,15,7
2013-09-14,0,6,3
2013-09-15,0,16,0
2013-09-16,0,21,11
2013-09-17,0,33,9
2013-09-18,0,36,9
2013-09-19,0,38,2
2013-09-20,0,49,1
2013-09-21,0,0,2
2013-09-22,0,12,0
2013-09-23,0,38,11
2013-09-24,0,7,1
2013-09-25,0,40,0
2013-09-26,0,1,4
2013-09-27,0,0,2
2013-09-28,0,3,0
2013-09-29,0,4,0
2013-09-30,0,3,11
2013-10-01,0,18,11
2013-10-02,0,11,10
2013-10-03,0,22,5
2013-10-04,0,4,1
2013-10-05,0,2,0
2013-10-06,0,0,0
2013-10-07,0,12,0
2013-10-08,0,45,6
2013-10-09,0,22,5
2013-10-10,0,19,1
2013-10-11,0,27,4
2013-10-12,0,6,2
2013-10-13,0,0,0
2013-10-14,0,33,12
2013-10-15,0,42,0
2013-10-16,0,28,4
2013-10-17,0,16,11
2013-10-18,0,26,0
2013-10-19,0,0,1
2013-10-20,0,2,0
2013-10-21,0,12,2
2013-10-22,0,3,6
2013-10-23,0,24,5
2013-10-24,0,19,7
2013-10-25,1,3,0
2013-10-26,0,1,1
2013-10-27,0,1,0
2013-10-28,0,39,10
2013-10-29,0,11,6
2013-10-30,0,33,5
2013-10-31,0,26,4
2013-11-01,0,37,1
2013-11-02,0,13,4
2013-11-03,0,13,0
2013-11-04,0,26,0
2013-11-05,0,24,8
2013-11-06,0,40,11
2013-11-07,0,45,5
2013-11-08,0,39,7
2013-11-09,0,15,0
2013-11-10,0,3,0
2013-11-11,0,20,2
2013-11-12,0,13,2
2013-11-13,0,21,9
2013-11-14,0,11,0
2013-11-15,0,16,0
2013-11-16,0,1,3
2013-11-17,0,0,0
2013-11-18,0,5,3
2013-11-19,0,18,0
2013-11-20,0,21,2
2013-11-21,0,10,5
2013-11-22,0,3,10
2013-11-23,0,0,1
2013-11-24,0,2,0
2013-11-25,0,10,6
2013-11-26,0,8,20
2013-11-27,0,10,6
2013-11-28,0,12,1
2013-11-29,0,0,0
2013-11-30,0,0,0
2013-12-01,0,0,0
2013-12-02,0,1,4
2013-12-03,0,2,5
2013-12-04,0,0,4
2013-12-05,0,0,9
2013-12-06,0,0,5
2013-12-07,0,0,4
2013-12-08,0,0,0
2013-12-09,0,0,2
2013-12-10,0,0,0
2013-12-11,0,0,2
2013-12-12,0,0,5
2013-12-13,0,10,3
2013-12-14,0,0,1
2013-12-15,0,0,0
2013-12-16,0,0,7
2013-12-17,0,0,0
2013-12-18,0,0,1
2013-12-19,0,0,2
2013-12-20,0,0,14
2013-12-21,0,0,2
2013-12-22,0,1,0
2013-12-23,0,1,0
2013-12-24,0,0,0
2013-12-25,0,0,0
2013-12-26,0,0,0
2013-12-27,0,0,0
2013-12-28,0,2,0
2013-12-29,0,3,1
2013-12-30,0,5,0
2013-12-31,0,2,0
2014-01-01,0,4,0
2014-01-02,0,0,10
2014-01-03,0,6,2
2014-01-04,0,0,0
2014-01-05,0,0,0
2014-01-06,0,1,0
2014-01-07,0,0,0
2014-01-08,0,0,0
2014-01-09,0,0,14
2014-01-10,0,12,0
2014-01-11,0,0,0
2014-01-12,0,7,0
2014-01-13,0,7,0
2014-01-14,0,2,0
2014-01-15,0,0,6
2014-01-16,0,8,5
2014-01-17,0,4,0
2014-01-18,0,0,0
2014-01-19,0,0,0
2014-01-20,0,0,0
2014-01-21,0,8,0
2014-01-22,0,0,4
2014-01-23,0,3,7
2014-01-24,0,7,0
2014-01-25,0,0,0
2014-01-26,0,0,0
2014-01-27,0,5,0
2014-01-28,0,13,4
2014-01-29,0,23,8
2014-01-30,0,16,4
2014-01-31,0,5,3
2014-02-01,0,0,2
2014-02-02,0,0,0
2014-02-03,0,3,3
2014-02-04,0,0,0
2014-02-05,0,3,2
2014-02-06,0,5,11
2014-02-07,0,0,5
2014-02-08,0,0,0
2014-02-09,0,0,0
2014-02-10,0,9,1
2014-02-11,0,4,12
2014-02-12,0,10,2
2014-02-13,0,1,0
2014-02-14,0,0,7
2014-02-15,0,0,0
2014-02-16,0,0,0
2014-02-17,0,1,1
2014-02-18,0,0,0
2014-02-19,0,3,3
2014-02-20,0,1,5
2014-02-21,0,9,3
2014-02-22,0,0,0
2014-02-23,0,0,1
2014-02-24,0,0,1
2014-02-25,0,4,6
2014-02-26,0,0,5
2014-02-27,0,6,2
2014-02-28,0,0,11
2014-03-01,0,0,0
2014-03-02,0,0,0
2014-03-03,0,14,6
2014-03-04,0,2,7
2014-03-05,0,2,9
2014-03-06,0,1,7
2014-03-07,0,1,0
2014-03-08,1,0,0
2014-03-09,0,0,0
2014-03-10,0,0,5
2014-03-11,0,6,0
2014-03-12,0,0,0
2014-03-13,0,2,3
2014-03-14,0,3,7
2014-03-15,5,0,0
2014-03-16,5,0,0
2014-03-17,0,0,2
2014-03-18,0,2,1
2014-03-19,0,6,0
2014-03-20,0,0,3
2014-03-21,0,7,10
2014-03-22,0,13,0
2014-03-23,0,0,0
2014-03-24,0,5,1
2014-03-25,0,0,4
2014-03-26,0,15,14
2014-03-27,6,0,4
2014-03-28,3,0,1
2014-03-29,0,0,3
2014-03-30,0,0,0
2014-03-31,0,0,3
2014-04-01,0,8,14
2014-04-02,0,0,4
2014-04-03,0,0,0
2014-04-04,0,0,3
2014-04-05,0,0,1
2014-04-06,0,0,0
2014-04-07,0,10,7
2014-04-08,0,7,2
2014-04-09,0,7,3
2014-04-10,0,9,4
2014-04-11,0,5,0
2014-04-12,0,1,0
2014-04-13,0,0,0
2014-04-14,0,1,0
2014-04-15,0,2,1
2014-04-16,0,5,1
2014-04-17,6,4,5
2014-04-18,3,0,8
2014-04-19,0,0,0
2014-04-20,0,0,0
2014-04-21,0,1,3
2014-04-22,0,1,0
2014-04-23,0,0,0
2014-04-24,1,5,5
2014-04-25,1,14,0
2014-04-26,1,0,0
2014-04-27,0,1,0
2014-04-28,0,1,3
2014-04-29,0,21,1
2014-04-30,0,14,2
2014-05-01,0,0,1
2014-05-02,0,0,0
2014-05-03,0,0,0
2014-05-04,0,0,0
2014-05-05,4,2,0
2014-05-06,0,2,4
2014-05-07,0,3,0
2014-05-08,0,1,1
2014-05-09,0,21,0
2014-05-10,0,0,0
2014-05-11,1,0,0
2014-05-12,0,0,5
2014-05-13,0,9,2
2014-05-14,0,24,12
2014-05-15,0,11,8
2014-05-16,3,15,8
2014-05-17,0,0,0
2014-05-18,2,1,0
2014-05-19,0,12,3
2014-05-20,0,0,3
2014-05-21,1,0,4
2014-05-22,0,3,1
2014-05-23,0,0,4
2014-05-24,0,0,0
2014-05-25,0,0,0
2014-05-26,0,6,0
2014-05-27,0,2,5
2014-05-28,0,0,0
2014-05-29,0,2,6
2014-05-30,2,6,0
2014-05-31,0,1,1
2014-06-01,0,2,0
2014-06-02,0,8,1
2014-06-03,0,17,16
2014-06-04,0,5,25
2014-06-05,0,4,0
2014-06-06,0,0,6
2014-06-07,0,0,0
2014-06-08,0,0,0
2014-06-09,0,0,1
2014-06-10,0,11,3
2014-06-11,0,24,0
2014-06-12,0,7,1
2014-06-13,0,13,4
2014-06-14,0,0,0
2014-06-15,0,0,0
2014-06-16,0,11,0
2014-06-17,0,12,0
2014-06-18,0,9,5
2014-06-19,0,0,8
2014-06-20,0,15,1
2014-06-21,0,1,0
2014-06-22,0,0,0
2014-06-23,0,8,2
2014-06-24,0,2,11
2014-06-25,0,3,1
2014-06-26,6,14,8
2014-06-27,0,0,1
2014-06-28,0,1,0
2014-06-29,0,0,0
2014-06-30,0,3,8
2014-07-01,0,4,4
2014-07-02,0,10,3
2014-07-03,4,3,1
2014-07-04,2,7,1
2014-07-05,0,0,0
2014-07-06,0,0,0
2014-07-07,0,0,6
2014-07-08,0,1,0
2014-07-09,1,7,0
2014-07-10,0,2,5
2014-07-11,0,0,0
2014-07-12,1,0,0
2014-07-13,3,0,0
2014-07-14,0,0,2
2014-07-15,19,11,2
2014-07-16,2,1,7
2014-07-17,0,0,1
2014-07-18,1,1,0
2014-07-19,10,0,0
2014-07-20,2,0,0
2014-07-21,2,0,1
2014-07-22,2,3,0
2014-07-23,0,5,0
2014-07-24,4,0,4
2014-07-25,1,0,0
2014-07-26,0,6,0
2014-07-27,0,5,0
2014-07-28,0,2,2
2014-07-29,7,13,3
2014-07-30,0,8,1
2014-07-31,3,3,8
2014-08-01,0,0,0
2014-08-02,0,0,0
2014-08-03,1,17,0
2014-08-04,0,0,7
2014-08-05,0,0,4
2014-08-06,0,0,8
2014-08-07,0,0,6
2014-08-08,0,0,4
2014-08-09,2,0,0
2014-08-10,0,0,0
2014-08-11,0,3,8
2014-08-12,0,12,15
2014-08-13,0,16,15
2014-08-14,0,13,4
2014-08-15,0,9,0
2014-08-16,0,1,0
2014-08-17,0,0,0
2014-08-18,0,4,1
2014-08-19,0,1,7
2014-08-20,0,7,7
2014-08-21,0,18,5
2014-08-22,0,0,1
2014-08-23,0,0,0
2014-08-24,0,0,0
2014-08-25,0,0,0
2014-08-26,0,6,0
2014-08-27,0,1,3
2014-08-28,0,1,0
2014-08-29,0,4,0
2014-08-30,0,0,0
2014-08-31,0,0,0
2014-09-01,0,1,0
2014-09-02,0,1,1
2014-09-03,0,0,0
2014-09-04,0,3,1
2014-09-05,0,16,0
2014-09-06,0,1,0
2014-09-07,0,0,0
2014-09-08,0,0,1
2014-09-09,0,1,0
2014-09-10,0,12,0
2014-09-11,0,6,8
2014-09-12,0,2,0
2014-09-13,0,1,0
2014-09-14,0,0,0
2014-09-15,0,3,1
2014-09-16,0,16,1
2014-09-17,0,33,4
2014-09-18,0,10,0
2014-09-19,0,1,2
2014-09-20,0,1,0
2014-09-21,0,0,0
2014-09-22,0,1,0
2014-09-23,0,14,4
2014-09-24,0,0,1
2014-09-25,0,10,2
2014-09-26,0,16,0
2014-09-27,0,0,0
2014-09-28,0,6,0
2014-09-29,0,10,9
2014-09-30,0,4,1
2014-10-01,0,5,1
2014-10-02,0,38,1
2014-10-03,0,0,3
2014-10-04,0,5,5
2014-10-05,0,2,0
2014-10-06,0,9,6
2014-10-07,0,18,5
2014-10-08,0,27,13
2014-10-09,0,4,2
2014-10-10,0,9,2
2014-10-11,0,1,0
2014-10-12,0,2,0
2014-10-13,0,2,2
2014-10-14,0,2,1
2014-10-15,0,10,0
2014-10-16,0,6,7
2014-10-17,0,22,3
2014-10-18,0,3,3
2014-10-19,0,15,0
2014-10-20,0,4,0
2014-10-21,0,29,0
2014-10-22,0,21,4
2014-10-23,0,23,6
2014-10-24,0,7,3
2014-10-25,0,4,0
2014-10-26,0,0,0
2014-10-27,0,3,3
2014-10-28,0,14,11
2014-10-29,0,28,0
2014-10-30,0,12,0
2014-10-31,0,28,10
2014-11-01,0,8,0
2014-11-02,0,19,0
2014-11-03,0,19,14
2014-11-04,0,15,0
2014-11-05,0,44,1
2014-11-06,0,11,4
2014-11-07,0,15,7
2014-11-08,0,0,2
2014-11-09,0,1,0
2014-11-10,0,8,14
2014-11-11,0,16,2
2014-11-12,0,7,16
2014-11-13,0,9,9
2014-11-14,0,9,2
2014-11-15,0,2,0
2014-11-16,0,0,0
2014-11-17,0,3,4
2014-11-18,0,4,2
2014-11-19,0,19,2
2014-11-20,0,11,17
2014-11-21,0,10,11
2014-11-22,0,4,3
2014-11-23,0,0,0
2014-11-24,0,1,4
2014-11-25,0,27,10
2014-11-26,0,13,6
2014-11-27,0,13,3
2014-11-28,0,17,0
2014-11-29,0,1,0
2014-11-30,0,12,0
2014-12-01,0,28,1
2014-12-02,0,31,6
2014-12-03,0,17,0
2014-12-04,0,23,4
2014-12-05,0,39,1
2014-12-06,0,6,1
2014-12-07,0,6,0
2014-12-08,0,37,8
2014-12-09,0,10,14
2014-12-10,0,11,2
2014-12-11,0,4,9
2014-12-12,6,10,0
2014-12-13,0,1,0
2014-12-14,0,0,0
2014-12-15,0,0,2
2014-12-16,0,5,3
2014-12-17,0,1,3
2014-12-18,0,1,3
2014-12-19,0,0,6
2014-12-20,0,0,0
2014-12-21,0,3,0
2014-12-22,0,33,0
2014-12-23,3,21,0
2014-12-24,0,5,0
2014-12-25,0,5,0
2014-12-26,0,13,0
2014-12-27,0,5,0
2014-12-28,0,0,0
2014-12-29,0,20,0
2014-12-30,0,5,2
2014-12-31,0,0,3
2015-01-01,0,2,0
2015-01-02,0,0,0
2015-01-03,0,1,0
2015-01-04,3,0,0
2015-01-05,0,10,2
2015-01-06,0,18,0
2015-01-07,0,29,2
2015-01-08,0,34,5
2015-01-09,0,12,0
2015-01-10,0,7,0
2015-01-11,0,4,0
2015-01-12,0,26,4
2015-01-13,0,44,5
2015-01-14,0,24,3
2015-01-15,0,15,8
2015-01-16,0,9,2
2015-01-17,0,2,2
2015-01-18,0,0,0
2015-01-19,0,13,1
2015-01-20,0,23,9
2015-01-21,0,14,1
2015-01-22,0,9,0
2015-01-23,0,17,0
2015-01-24,0,1,0
2015-01-25,0,5,0
2015-01-26,0,20,6
2015-01-27,0,11,11
2015-01-28,0,15,3
2015-01-29,0,12,5
2015-01-30,0,13,0
2015-01-31,0,3,0
2015-02-01,0,1,0
2015-02-02,0,13,3
2015-02-03,0,43,2
2015-02-04,2,8,3
2015-02-05,1,3,5
2015-02-06,0,3,19
2015-02-07,6,1,0
2015-02-08,0,2,0
2015-02-09,0,12,6
2015-02-10,2,6,8
2015-02-11,0,10,16
2015-02-12,1,25,33
2015-02-13,0,19,6
2015-02-14,0,0,4
2015-02-15,0,0,0
2015-02-16,0,13,4
2015-02-17,0,10,16
2015-02-18,0,23,7
2015-02-19,0,29,10
2015-02-20,1,34,5
2015-02-21,0,4,0
2015-02-22,0,1,0
2015-02-23,0,46,8
2015-02-24,0,24,7
2015-02-25,0,14,17
2015-02-26,0,13,5
2015-02-27,3,29,3
2015-02-28,5,4,2
2015-03-01,0,0,0
2015-03-02,3,23,6
2015-03-03,0,24,2
2015-03-04,3,39,10
2015-03-05,0,5,27
2015-03-06,0,0,1
2015-03-07,0,0,0
2015-03-08,0,0,0
2015-03-09,0,0,8
2015-03-10,0,0,2
2015-03-11,0,0,2
2015-03-12,0,3,26
2015-03-13,0,0,1
2015-03-14,0,0,0
2015-03-15,7,0,0
2015-03-16,0,0,7
2015-03-17,0,0,2
2015-03-18,0,4,11
2015-03-19,0,0,8
2015-03-20,0,0,1
2015-03-21,0,1,0
2015-03-22,0,2,1
2015-03-23,0,0,9
2015-03-24,0,2,19
2015-03-25,0,0,16
2015-03-26,0,0,13
2015-03-27,0,3,0
2015-03-28,0,2,0
2015-03-29,0,4,0
2015-03-30,0,13,0
2015-03-31,0,30,0
2015-04-01,0,14,4
2015-04-02,0,16,8
2015-04-03,0,0,9
2015-04-04,0,3,0
2015-04-05,0,0,0
2015-04-06,0,0,3
2015-04-07,0,20,4
2015-04-08,0,15,6
2015-04-09,0,7,9
2015-04-10,0,0,6
2015-04-11,0,0,0
2015-04-12,0,0,0
2015-04-13,0,1,10
2015-04-14,0,20,8
2015-04-15,0,9,4
2015-04-16,0,1,25
2015-04-17,0,21,11
2015-04-18,0,2,0
2015-04-19,0,3,1
2015-04-20,0,24,4
2015-04-21,0,34,1
2015-04-22,0,15,6
2015-04-23,0,8,5
2015-04-24,0,5,0
2015-04-25,0,0,0
2015-04-26,0,0,0
2015-04-27,0,0,7
2015-04-28,0,5,1
2015-04-29,0,13,3
2015-04-30,0,17,4
2015-05-01,0,1,0
2015-05-02,0,3,0
2015-05-03,0,0,0
2015-05-04,0,5,3
2015-05-05,0,3,5
2015-05-06,0,17,0
2015-05-07,0,1,5
2015-05-08,0,2,1
2015-05-09,0,0,0
2015-05-10,4,0,0
2015-05-11,0,4,0
2015-05-12,0,4,0
2015-05-13,0,5,2
2015-05-14,0,0,4
2015-05-15,0,17,0
2015-05-16,0,0,0
2015-05-17,0,0,0
2015-05-18,0,0,4
2015-05-19,1,22,0
2015-05-20,0,17,4
2015-05-21,3,39,5
2015-05-22,0,25,1
2015-05-23,0,0,0
2015-05-24,0,1,0
2015-05-25,0,25,0
2015-05-26,0,4,6
2015-05-27,0,2,7
2015-05-28,0,2,16
2015-05-29,0,0,0
2015-05-30,0,2,0
2015-05-31,0,0,0
2015-06-01,0,18,7
2015-06-02,0,9,9
2015-06-03,0,16,2
2015-06-04,0,7,4
2015-06-05,3,3,1
2015-06-06,6,3,0
2015-06-07,0,0,0
2015-06-08,0,1,4
2015-06-09,3,0,0
2015-06-10,0,5,0
2015-06-11,0,0,15
2015-06-12,0,5,8
2015-06-13,0,1,0
2015-06-14,6,6,0
2015-06-15,0,0,5
2015-06-16,0,15,4
2015-06-17,0,3,4
2015-06-18,0,22,12
2015-06-19,0,11,10
2015-06-20,0,0,0
2015-06-21,0,0,0
2015-06-22,0,2,5
2015-06-23,0,11,2
2015-06-24,0,10,10
2015-06-25,0,24,0
2015-06-26,0,11,0
2015-06-27,0,0,0
2015-06-28,0,0,0
2015-06-29,0,15,0
2015-06-30,0,12,0
2015-07-01,0,18,1
2015-07-02,0,4,0
2015-07-03,0,9,1
2015-07-04,0,0,0
2015-07-05,0,1,0
2015-07-06,0,1,0
2015-07-07,0,13,4
2015-07-08,0,6,4
2015-07-09,0,0,10
2015-07-10,0,4,0
2015-07-11,0,0,0
2015-07-12,0,5,0
2015-07-13,0,4,0
2015-07-14,0,3,5
2015-07-15,0,5,3
2015-07-16,0,4,0
2015-07-17,0,5,1
2015-07-18,0,0,4
2015-07-19,0,0,0
2015-07-20,0,0,2
2015-07-21,0,0,0
2015-07-22,0,0,0
2015-07-23,0,0,6
2015-07-24,0,5,0
2015-07-25,0,0,0
2015-07-26,0,0,0
2015-07-27,0,2,1
2015-07-28,0,2,7
2015-07-29,1,11,0
2015-07-30,0,5,4
2015-07-31,0,4,0
2015-08-01,0,0,2
2015-08-02,0,0,0
2015-08-03,0,0,0
2015-08-04,0,1,5
2015-08-05,0,1,0
2015-08-06,0,1,4
2015-08-07,0,4,2
2015-08-08,0,0,0
2015-08-09,0,3,0
2015-08-10,7,0,0
2015-08-11,0,2,6
2015-08-12,0,2,6
2015-08-13,0,3,1
2015-08-14,0,6,2
2015-08-15,2,0,0
2015-08-16,8,0,0
2015-08-17,4,0,2
2015-08-18,0,0,6
2015-08-19,1,2,7
2015-08-20,3,0,7
2015-08-21,0,2,0
2015-08-22,0,0,0
2015-08-23,2,0,0
2015-08-24,0,12,2
2015-08-25,3,2,7
2015-08-26,0,5,2
2015-08-27,2,7,14
2015-08-28,4,5,6
2015-08-29,4,0,0
2015-08-30,0,1,1
2015-08-31,1,12,6
2015-09-01,4,6,6
2015-09-02,2,14,5
2015-09-03,0,9,7
2015-09-04,0,5,0
2015-09-05,1,2,0
2015-09-06,1,1,0
2015-09-07,0,3,0
2015-09-08,5,2,3
2015-09-09,3,6,1
2015-09-10,0,5,5
2015-09-11,4,1,1
2015-09-12,2,1,0
2015-09-13,0,0,0
2015-09-14,8,8,0
2015-09-15,1,8,4
2015-09-16,4,14,9
2015-09-17,5,15,12
2015-09-18,0,11,7
2015-09-19,0,2,1
2015-09-20,0,3,0
2015-09-21,1,9,0
2015-09-22,4,10,3
2015-09-23,0,22,0
2015-09-24,0,20,6
2015-09-25,0,3,4
2015-09-26,3,0,0
2015-09-27,0,0,0
2015-09-28,4,1,1
2015-09-29,0,1,4
2015-09-30,0,0,1
2015-10-01,0,2,8
2015-10-02,0,2,3
2015-10-03,10,0,0
2015-10-04,0,0,0
2015-10-05,1,0,0
2015-10-06,0,6,14
2015-10-07,0,13,2
2015-10-08,0,3,3
2015-10-09,0,2,1
2015-10-10,0,2,0
2015-10-11,0,0,0
2015-10-12,2,8,5
2015-10-13,0,8,3
2015-10-14,0,30,1
2015-10-15,0,9,4
2015-10-16,0,11,1
2015-10-17,0,0,3
2015-10-18,0,0,0
2015-10-19,2,0,23
2015-10-20,1,4,7
2015-10-21,0,19,7
2015-10-22,0,3,10
2015-10-23,0,1,4
2015-10-24,0,0,1
2015-10-25,0,6,0
2015-10-26,0,15,6
2015-10-27,0,5,16
2015-10-28,0,5,8
2015-10-29,1,12,10
2015-10-30,0,10,1
2015-10-31,0,0,0
2015-11-01,0,0,1
2015-11-02,3,17,4
2015-11-03,1,7,10
2015-11-04,0,7,28
2015-11-05,1,7,6
2015-11-06,7,1,3
2015-11-07,11,0,1
2015-11-08,4,0,0
2015-11-09,0,9,1
2015-11-10,0,2,7
2015-11-11,4,11,9
2015-11-12,1,0,4
2015-11-13,0,0,7
2015-11-14,11,0,0
2015-11-15,0,0,0
2015-11-16,0,11,1
2015-11-17,0,3,4
2015-11-18,0,0,15
2015-11-19,0,3,7
2015-11-20,0,7,3
2015-11-21,0,0,0
2015-11-22,1,0,0
2015-11-23,2,1,4
2015-11-24,0,8,9
2015-11-25,0,2,5
2015-11-26,0,0,0
2015-11-27,0,3,0
2015-11-28,0,1,0
2015-11-29,0,1,0
2015-11-30,0,0,2
2015-12-01,0,0,4
2015-12-02,0,0,2
2015-12-03,0,0,1
2015-12-04,0,9,11
2015-12-05,0,0,0
2015-12-06,0,0,0
2015-12-07,0,17,2
2015-12-08,0,40,21
2015-12-09,0,28,3
2015-12-10,0,0,0
2015-12-11,0,4,0
2015-12-12,0,0,0
2015-12-13,0,0,0
2015-12-14,0,1,2
2015-12-15,0,6,3
2015-12-16,0,6,3
2015-12-17,11,1,7
2015-12-18,0,17,4
2015-12-19,0,4,0
2015-12-20,0,0,0
2015-12-21,0,23,7
2015-12-22,0,7,4
2015-12-23,0,25,5
2015-12-24,0,0,0
2015-12-25,0,7,0
2015-12-26,0,39,0
2015-12-27,0,4,0
2015-12-28,1,67,0
2015-12-29,2,34,2
2015-12-30,15,54,5
2015-12-31,0,8,1
2016-01-01,0,1,0
2016-01-02,5,0,0
2016-01-03,2,1,0
2016-01-04,0,6,1
2016-01-05,4,10,4
2016-01-06,0,4,5
2016-01-07,3,5,4
2016-01-08,4,27,0
2016-01-09,1,1,0
2016-01-10,4,0,0
2016-01-11,1,24,1
2016-01-12,0,3,4
2016-01-13,0,13,11
2016-01-14,0,11,8
2016-01-15,0,0,17
2016-01-16,4,0,0
2016-01-17,4,0,1
2016-01-18,0,13,1
2016-01-19,2,24,10
2016-01-20,4,39,1
2016-01-21,0,22,10
2016-01-22,0,22,12
2016-01-23,5,10,1
2016-01-24,4,0,0
2016-01-25,0,22,1
