,flutter/flutter,necolas/react-native-web,microsoft/reactxp
2017-10-17,8,0,1
2017-10-18,13,3,0
2017-10-19,18,3,1
2017-10-20,11,1,1
2017-10-21,2,0,0
2017-10-22,1,0,0
2017-10-23,7,0,1
2017-10-24,7,0,2
2017-10-25,10,0,2
2017-10-26,6,0,0
2017-10-27,0,0,1
2017-10-28,1,0,0
2017-10-29,0,0,0
2017-10-30,4,1,1
2017-10-31,7,2,1
2017-11-01,13,0,0
2017-11-02,11,0,2
2017-11-03,9,0,0
2017-11-04,1,0,0
2017-11-05,0,0,0
2017-11-06,4,0,0
2017-11-07,6,0,0
2017-11-08,9,0,0
2017-11-09,10,0,1
2017-11-10,17,0,0
2017-11-11,3,0,0
2017-11-12,0,0,0
2017-11-13,5,0,0
2017-11-14,6,0,0
2017-11-15,3,6,7
2017-11-16,7,0,2
2017-11-17,11,0,1
2017-11-18,0,0,1
2017-11-19,0,0,0
2017-11-20,3,0,1
2017-11-21,4,0,0
2017-11-22,24,0,1
2017-11-23,8,0,0
2017-11-24,0,0,0
2017-11-25,1,0,0
2017-11-26,0,0,0
2017-11-27,3,0,0
2017-11-28,4,0,0
2017-11-29,18,0,0
2017-11-30,19,0,0
2017-12-01,16,0,0
2017-12-02,3,11,0
2017-12-03,0,4,0
2017-12-04,7,0,0
2017-12-05,10,1,0
2017-12-06,13,3,0
2017-12-07,18,0,0
2017-12-08,16,0,0
2017-12-09,4,0,2
2017-12-10,1,0,0
2017-12-11,9,0,0
2017-12-12,10,0,0
2017-12-13,9,0,2
2017-12-14,24,0,0
2017-12-15,14,0,1
2017-12-16,6,0,2
2017-12-17,0,0,0
2017-12-18,8,8,1
2017-12-19,8,2,0
2017-12-20,11,11,9
2017-12-21,14,0,14
2017-12-22,5,0,11
2017-12-23,2,1,2
2017-12-24,0,2,2
2017-12-25,0,0,1
2017-12-26,0,2,0
2017-12-27,3,0,0
2017-12-28,0,0,2
2017-12-29,0,0,0
2017-12-30,0,5,0
2017-12-31,0,4,0
2018-01-01,0,1,0
2018-01-02,8,0,3
2018-01-03,13,0,0
2018-01-04,14,2,3
2018-01-05,13,0,7
2018-01-06,7,1,1
2018-01-07,0,0,8
2018-01-08,7,5,3
2018-01-09,17,3,5
2018-01-10,11,6,1
2018-01-11,15,4,19
2018-01-12,17,0,0
2018-01-13,5,0,0
2018-01-14,0,0,2
2018-01-15,2,0,0
2018-01-16,7,2,6
2018-01-17,12,1,9
2018-01-18,9,10,5
2018-01-19,12,4,2
2018-01-20,6,0,3
2018-01-21,0,0,0
2018-01-22,4,3,0
2018-01-23,4,5,0
2018-01-24,5,0,0
2018-01-25,10,0,0
2018-01-26,8,1,0
2018-01-27,7,0,3
2018-01-28,0,0,0
2018-01-29,5,3,3
2018-01-30,16,0,0
2018-01-31,10,10,0
2018-02-01,12,0,3
2018-02-02,8,0,0
2018-02-03,2,1,2
2018-02-04,0,1,0
2018-02-05,8,1,1
2018-02-06,17,1,0
2018-02-07,14,2,1
2018-02-08,14,1,2
2018-02-09,11,1,0
2018-02-10,11,0,0
2018-02-11,1,0,0
2018-02-12,7,4,0
2018-02-13,17,2,3
2018-02-14,17,3,4
2018-02-15,14,0,1
2018-02-16,14,4,1
2018-02-17,4,5,0
2018-02-18,0,2,0
2018-02-19,4,6,0
2018-02-20,7,2,1
2018-02-21,12,8,3
2018-02-22,6,0,1
2018-02-23,4,0,3
2018-02-24,2,0,2
2018-02-25,0,0,1
2018-02-26,8,1,1
2018-02-27,8,0,1
2018-02-28,9,0,2
2018-03-01,15,0,1
2018-03-02,11,1,4
2018-03-03,2,0,0
2018-03-04,1,0,0
2018-03-05,3,3,4
2018-03-06,13,0,1
2018-03-07,15,0,0
2018-03-08,12,1,0
2018-03-09,15,0,1
2018-03-10,3,0,1
2018-03-11,2,0,0
2018-03-12,11,0,0
2018-03-13,7,0,0
2018-03-14,12,0,0
2018-03-15,6,3,1
2018-03-16,12,0,5
2018-03-17,10,0,0
2018-03-18,0,0,0
2018-03-19,19,0,0
2018-03-20,14,0,3
2018-03-21,8,0,1
2018-03-22,14,0,1
2018-03-23,7,0,3
2018-03-24,5,0,0
2018-03-25,2,0,1
2018-03-26,2,0,1
2018-03-27,12,0,3
2018-03-28,9,0,3
2018-03-29,13,4,1
2018-03-30,6,0,1
2018-03-31,2,2,0
2018-04-01,0,4,1
2018-04-02,4,3,1
2018-04-03,14,0,0
2018-04-04,16,0,3
2018-04-05,10,0,0
2018-04-06,7,0,0
2018-04-07,1,3,0
2018-04-08,1,5,0
2018-04-09,6,0,0
2018-04-10,13,0,2
2018-04-11,12,0,1
2018-04-12,13,0,2
2018-04-13,5,0,2
2018-04-14,1,0,2
2018-04-15,0,4,0
2018-04-16,8,0,1
2018-04-17,10,0,0
2018-04-18,8,0,1
2018-04-19,14,0,0
2018-04-20,12,0,2
2018-04-21,6,6,0
2018-04-22,1,0,0
2018-04-23,12,0,0
2018-04-24,9,1,5
2018-04-25,9,0,3
2018-04-26,21,0,0
2018-04-27,14,0,4
2018-04-28,5,0,0
2018-04-29,1,0,0
2018-04-30,10,1,0
2018-05-01,15,0,0
2018-05-02,9,0,0
2018-05-03,20,0,1
2018-05-04,13,0,2
2018-05-05,3,0,0
2018-05-06,0,0,1
2018-05-07,11,1,0
2018-05-08,13,8,1
2018-05-09,54,1,3
2018-05-10,14,0,1
2018-05-11,15,0,0
2018-05-12,1,0,0
2018-05-13,0,0,2
2018-05-14,6,0,0
2018-05-15,12,0,5
2018-05-16,13,1,0
2018-05-17,8,0,1
2018-05-18,12,5,1
2018-05-19,1,7,0
2018-05-20,0,0,0
2018-05-21,9,0,4
2018-05-22,8,0,0
2018-05-23,5,0,6
2018-05-24,11,0,2
2018-05-25,7,4,0
2018-05-26,4,0,0
2018-05-27,0,0,0
2018-05-28,11,0,0
2018-05-29,4,7,0
2018-05-30,13,0,4
2018-05-31,12,0,1
2018-06-01,16,0,1
2018-06-02,0,0,0
2018-06-03,0,24,1
2018-06-04,10,20,2
2018-06-05,15,6,0
2018-06-06,9,2,2
2018-06-07,7,0,2
2018-06-08,7,0,1
2018-06-09,4,0,1
2018-06-10,2,0,5
2018-06-11,5,0,1
2018-06-12,7,0,1
2018-06-13,9,0,4
2018-06-14,6,3,12
2018-06-15,15,1,6
2018-06-16,5,0,3
2018-06-17,0,0,2
2018-06-18,2,0,2
2018-06-19,5,0,4
2018-06-20,11,0,2
2018-06-21,10,0,1
2018-06-22,13,0,0
2018-06-23,0,0,1
2018-06-24,0,0,5
2018-06-25,11,0,7
2018-06-26,7,2,2
2018-06-27,11,0,2
2018-06-28,17,4,9
2018-06-29,6,0,1
2018-06-30,0,0,1
2018-07-01,1,0,2
2018-07-02,7,0,1
2018-07-03,9,0,1
2018-07-04,5,1,1
2018-07-05,4,2,2
2018-07-06,3,4,0
2018-07-07,0,0,4
2018-07-08,0,0,0
2018-07-09,17,0,1
2018-07-10,13,0,1
2018-07-11,9,0,4
2018-07-12,10,0,1
2018-07-13,5,0,0
2018-07-14,6,0,1
2018-07-15,0,0,0
2018-07-16,7,0,1
2018-07-17,4,0,0
2018-07-18,12,0,2
2018-07-19,19,2,1
2018-07-20,14,0,0
2018-07-21,3,0,1
2018-07-22,0,0,0
2018-07-23,7,0,1
2018-07-24,12,0,0
2018-07-25,13,0,0
2018-07-26,7,0,0
2018-07-27,12,0,1
2018-07-28,4,0,0
2018-07-29,0,0,1
2018-07-30,20,0,1
2018-07-31,9,0,0
2018-08-01,11,0,0
2018-08-02,24,0,1
2018-08-03,8,0,3
2018-08-04,6,0,0
2018-08-05,0,0,0
2018-08-06,10,0,0
2018-08-07,12,0,0
2018-08-08,11,0,3
2018-08-09,12,0,0
2018-08-10,8,0,0
2018-08-11,2,0,1
2018-08-12,5,0,0
2018-08-13,6,0,0
2018-08-14,5,0,3
2018-08-15,17,0,1
2018-08-16,17,0,0
2018-08-17,11,7,1
2018-08-18,3,0,0
2018-08-19,2,0,0
2018-08-20,11,0,0
2018-08-21,13,0,0
2018-08-22,8,0,0
2018-08-23,15,0,0
2018-08-24,10,0,0
2018-08-25,1,0,3
2018-08-26,2,0,0
2018-08-27,8,0,0
2018-08-28,19,0,0
2018-08-29,10,0,0
2018-08-30,15,0,1
2018-08-31,19,0,0
2018-09-01,1,0,0
2018-09-02,4,0,0
2018-09-03,3,0,2
2018-09-04,16,0,1
2018-09-05,13,0,1
2018-09-06,19,0,0
2018-09-07,19,0,0
2018-09-08,4,0,8
2018-09-09,3,4,5
2018-09-10,9,0,1
2018-09-11,7,0,1
2018-09-12,19,0,6
2018-09-13,7,0,4
2018-09-14,12,0,3
2018-09-15,0,0,4
2018-09-16,2,0,0
2018-09-17,4,8,1
2018-09-18,12,0,1
2018-09-19,12,0,0
2018-09-20,10,0,1
2018-09-21,1,0,1
2018-09-22,5,2,0
2018-09-23,1,0,0
2018-09-24,9,0,0
2018-09-25,13,0,0
2018-09-26,10,0,1
2018-09-27,16,1,3
2018-09-28,18,0,1
2018-09-29,1,0,1
2018-09-30,0,0,2
2018-10-01,11,0,0
2018-10-02,10,0,2
2018-10-03,20,0,3
2018-10-04,16,0,1
2018-10-05,19,0,1
2018-10-06,3,0,0
2018-10-07,0,0,1
2018-10-08,15,0,1
2018-10-09,17,0,1
2018-10-10,12,6,2
2018-10-11,14,0,1
2018-10-12,7,3,1
2018-10-13,1,0,0
2018-10-14,0,0,0
2018-10-15,5,0,0
2018-10-16,19,0,0
2018-10-17,10,0,0
2018-10-18,19,0,0
2018-10-19,18,0,0
2018-10-20,2,0,3
2018-10-21,2,0,0
2018-10-22,5,0,0
2018-10-23,14,5,1
2018-10-24,12,0,2
2018-10-25,12,0,1
2018-10-26,14,0,5
2018-10-27,6,0,7
2018-10-28,2,0,2
2018-10-29,6,1,3
2018-10-30,25,1,0
2018-10-31,9,0,1
2018-11-01,11,3,1
2018-11-02,14,0,0
2018-11-03,3,0,2
2018-11-04,1,0,0
2018-11-05,11,1,0
2018-11-06,18,0,0
2018-11-07,20,0,0
2018-11-08,14,0,0
2018-11-09,18,0,6
2018-11-10,9,4,0
2018-11-11,4,0,2
2018-11-12,4,1,0
2018-11-13,33,1,0
2018-11-14,25,0,3
2018-11-15,16,5,3
2018-11-16,14,1,7
2018-11-17,3,0,3
2018-11-18,0,0,3
2018-11-19,15,0,0
2018-11-20,11,0,0
2018-11-21,5,0,2
2018-11-22,0,0,0
2018-11-23,0,0,0
2018-11-24,0,0,0
2018-11-25,1,0,1
2018-11-26,4,0,5
2018-11-27,6,3,3
2018-11-28,7,0,1
2018-11-29,2,0,3
2018-11-30,2,0,0
2018-12-01,1,0,2
2018-12-02,0,0,7
2018-12-03,0,0,2
2018-12-04,0,0,2
2018-12-05,1,1,0
2018-12-06,0,0,0
2018-12-07,1,0,0
2018-12-08,0,0,0
2018-12-09,0,0,0
2018-12-10,9,0,0
2018-12-11,13,1,0
2018-12-12,13,0,0
2018-12-13,12,0,0
2018-12-14,12,0,4
2018-12-15,4,0,0
2018-12-16,1,0,0
2018-12-17,9,0,0
2018-12-18,16,0,1
2018-12-19,12,0,1
2018-12-20,9,0,0
2018-12-21,14,5,0
2018-12-22,2,0,0
2018-12-23,5,2,0
2018-12-24,2,2,0
2018-12-25,0,0,0
2018-12-26,3,0,0
2018-12-27,5,0,0
2018-12-28,4,0,0
2018-12-29,1,0,0
2018-12-30,0,0,0
2018-12-31,0,4,1
2019-01-01,1,2,0
2019-01-02,4,0,0
2019-01-03,11,0,0
2019-01-04,10,0,1
2019-01-05,4,0,0
2019-01-06,1,0,0
2019-01-07,9,0,0
2019-01-08,14,0,0
2019-01-09,19,0,1
2019-01-10,14,0,0
2019-01-11,12,0,1
2019-01-12,3,0,0
2019-01-13,0,0,0
2019-01-14,12,0,0
2019-01-15,14,0,3
2019-01-16,23,0,0
2019-01-17,20,0,1
2019-01-18,14,0,0
2019-01-19,8,0,3
2019-01-20,0,0,0
2019-01-21,1,0,2
2019-01-22,12,0,2
2019-01-23,9,13,0
2019-01-24,15,0,0
2019-01-25,17,0,2
2019-01-26,7,0,0
2019-01-27,1,0,0
2019-01-28,4,0,2
2019-01-29,13,0,1
2019-01-30,22,1,2
2019-01-31,3,0,1
2019-02-01,13,0,0
2019-02-02,0,0,0
2019-02-03,1,0,0
2019-02-04,10,0,1
2019-02-05,21,0,2
2019-02-06,18,0,0
2019-02-07,6,0,1
2019-02-08,17,0,0
2019-02-09,4,0,0
2019-02-10,0,0,0
2019-02-11,8,0,0
2019-02-12,23,0,0
2019-02-13,19,0,0
2019-02-14,6,0,0
2019-02-15,19,0,0
2019-02-16,5,0,0
2019-02-17,0,0,7
2019-02-18,0,0,0
2019-02-19,0,0,2
2019-02-20,13,0,0
2019-02-21,15,0,0
2019-02-22,17,0,0
2019-02-23,13,0,0
2019-02-24,5,0,0
2019-02-25,12,0,0
2019-02-26,18,0,0
2019-02-27,12,0,1
2019-02-28,10,0,0
2019-03-01,20,1,0
2019-03-02,3,0,0
2019-03-03,1,0,0
2019-03-04,8,0,0
2019-03-05,0,0,1
2019-03-06,16,0,1
2019-03-07,9,6,0
2019-03-08,14,3,1
2019-03-09,15,0,6
2019-03-10,6,0,3
2019-03-11,9,3,0
2019-03-12,14,11,0
2019-03-13,8,3,0
2019-03-14,10,1,1
2019-03-15,24,3,1
2019-03-16,6,0,0
2019-03-17,2,0,1
2019-03-18,11,2,1
2019-03-19,13,1,2
2019-03-20,15,0,2
2019-03-21,21,0,0
2019-03-22,7,2,1
2019-03-23,4,0,1
2019-03-24,2,0,1
2019-03-25,6,0,0
2019-03-26,12,0,0
2019-03-27,17,0,0
2019-03-28,11,0,0
2019-03-29,17,0,1
2019-03-30,8,0,0
2019-03-31,3,0,1
2019-04-01,6,0,0
2019-04-02,14,0,0
2019-04-03,11,0,0
2019-04-04,19,0,0
2019-04-05,17,0,0
2019-04-06,3,0,0
2019-04-07,2,0,2
2019-04-08,9,0,0
2019-04-09,13,0,0
2019-04-10,16,0,0
2019-04-11,17,0,0
2019-04-12,2,0,0
2019-04-13,2,0,0
2019-04-14,0,0,0
2019-04-15,12,0,3
2019-04-16,16,0,2
2019-04-17,13,0,0
2019-04-18,18,0,0
2019-04-19,13,0,0
2019-04-20,1,0,3
2019-04-21,0,0,0
2019-04-22,19,0,0
2019-04-23,15,0,0
2019-04-24,17,0,0
2019-04-25,29,0,1
2019-04-26,17,0,1
2019-04-27,6,0,0
2019-04-28,1,0,0
2019-04-29,21,0,0
2019-04-30,17,0,0
2019-05-01,23,0,0
2019-05-02,22,0,0
2019-05-03,17,0,0
2019-05-04,9,0,0
2019-05-05,0,0,0
2019-05-06,16,0,0
2019-05-07,8,0,0
2019-05-08,9,0,0
2019-05-09,13,0,0
2019-05-10,20,0,0
2019-05-11,2,0,0
2019-05-12,3,0,1
2019-05-13,13,0,0
2019-05-14,19,0,0
2019-05-15,14,9,0
2019-05-16,13,1,0
2019-05-17,10,0,0
2019-05-18,3,0,0
2019-05-19,2,0,0
2019-05-20,20,0,0
2019-05-21,22,4,0
2019-05-22,8,0,0
2019-05-23,8,0,0
2019-05-24,9,0,1
2019-05-25,3,0,0
2019-05-26,2,0,0
2019-05-27,2,0,0
2019-05-28,13,0,0
2019-05-29,15,0,0
2019-05-30,31,0,1
2019-05-31,14,0,0
2019-06-01,8,0,0
2019-06-02,1,0,0
2019-06-03,25,0,0
2019-06-04,23,0,0
2019-06-05,14,0,0
2019-06-06,23,0,0
2019-06-07,19,0,3
2019-06-08,13,0,0
2019-06-09,6,0,0
2019-06-10,19,0,0
2019-06-11,18,0,0
2019-06-12,15,0,0
2019-06-13,16,0,2
2019-06-14,16,0,0
2019-06-15,7,0,0
2019-06-16,4,0,0
2019-06-17,5,0,1
2019-06-18,16,0,0
2019-06-19,23,0,0
2019-06-20,19,0,0
2019-06-21,11,0,0
2019-06-22,7,0,0
2019-06-23,4,0,0
2019-06-24,9,0,0
2019-06-25,13,0,0
2019-06-26,14,0,0
2019-06-27,17,0,0
2019-06-28,26,0,0
2019-06-29,0,0,0
2019-06-30,0,0,0
2019-07-01,8,0,0
2019-07-02,5,7,0
2019-07-03,13,0,0
2019-07-04,2,0,0
2019-07-05,1,0,0
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,17,0,0
2019-07-09,16,0,0
2019-07-10,13,0,0
2019-07-11,15,0,1
2019-07-12,16,0,3
2019-07-13,5,0,0
2019-07-14,0,0,6
2019-07-15,7,0,3
2019-07-16,13,0,0
2019-07-17,27,0,2
2019-07-18,14,0,0
2019-07-19,23,0,0
2019-07-20,3,0,2
2019-07-21,6,0,0
2019-07-22,19,0,0
2019-07-23,16,0,1
2019-07-24,17,0,1
2019-07-25,11,0,0
2019-07-26,15,0,0
2019-07-27,9,0,2
2019-07-28,2,0,0
2019-07-29,11,0,0
2019-07-30,16,0,0
2019-07-31,15,0,0
2019-08-01,19,0,0
2019-08-02,19,0,0
2019-08-03,5,0,0
2019-08-04,3,0,0
2019-08-05,8,0,0
2019-08-06,25,0,0
2019-08-07,19,0,0
2019-08-08,18,0,0
2019-08-09,22,6,0
2019-08-10,5,0,0
2019-08-11,0,0,0
2019-08-12,13,0,0
2019-08-13,6,0,0
2019-08-14,23,0,0
2019-08-15,30,0,0
2019-08-16,28,2,0
2019-08-17,5,0,0
2019-08-18,3,0,0
2019-08-19,14,0,0
2019-08-20,32,0,0
2019-08-21,20,0,1
2019-08-22,19,0,1
2019-08-23,16,0,0
2019-08-24,3,0,0
2019-08-25,2,0,0
2019-08-26,14,0,0
2019-08-27,17,0,0
2019-08-28,31,0,0
2019-08-29,15,0,0
2019-08-30,15,0,0
2019-08-31,10,0,0
2019-09-01,0,0,0
2019-09-02,13,0,0
2019-09-03,25,0,0
2019-09-04,5,0,0
2019-09-05,21,0,0
2019-09-06,17,0,0
2019-09-07,5,0,0
2019-09-08,0,0,0
2019-09-09,2,0,0
2019-09-10,21,0,0
2019-09-11,21,0,0
2019-09-12,19,0,3
2019-09-13,16,0,0
2019-09-14,10,0,0
2019-09-15,0,0,0
2019-09-16,27,0,0
2019-09-17,12,0,0
2019-09-18,20,0,0
2019-09-19,20,0,0
2019-09-20,13,0,0
2019-09-21,0,0,0
2019-09-22,0,0,0
2019-09-23,4,0,0
2019-09-24,25,0,0
2019-09-25,21,0,0
2019-09-26,27,0,0
2019-09-27,23,0,0
2019-09-28,7,0,0
2019-09-29,4,0,0
2019-09-30,18,2,0
2019-10-01,14,0,0
2019-10-02,23,0,0
2019-10-03,9,0,0
2019-10-04,28,33,0
2019-10-05,5,0,0
2019-10-06,2,0,0
2019-10-07,13,3,1
2019-10-08,14,3,0
2019-10-09,23,0,2
2019-10-10,35,0,2
2019-10-11,19,0,0
2019-10-12,0,0,0
2019-10-13,1,0,0
2019-10-14,16,0,0
2019-10-15,26,0,0
2019-10-16,11,0,0
2019-10-17,15,0,0
2019-10-18,24,0,0
2019-10-19,0,0,0
2019-10-20,0,0,0
2019-10-21,13,0,1
2019-10-22,11,0,0
2019-10-23,12,0,0
2019-10-24,28,0,0
2019-10-25,12,0,0
2019-10-26,9,0,0
2019-10-27,0,0,0
2019-10-28,29,0,0
2019-10-29,24,0,0
2019-10-30,20,0,0
2019-10-31,19,0,0
2019-11-01,19,0,0
2019-11-02,2,0,1
2019-11-03,0,0,3
2019-11-04,5,0,0
2019-11-05,30,0,0
2019-11-06,23,0,0
2019-11-07,19,0,0
2019-11-08,18,0,0
2019-11-09,12,0,0
2019-11-10,2,0,0
2019-11-11,10,0,0
2019-11-12,9,5,0
2019-11-13,12,2,0
2019-11-14,20,0,1
2019-11-15,17,1,3
2019-11-16,7,0,0
2019-11-17,3,0,0
2019-11-18,13,0,0
2019-11-19,24,0,0
2019-11-20,21,0,0
2019-11-21,22,0,0
2019-11-22,23,0,0
2019-11-23,9,0,0
2019-11-24,1,0,0
2019-11-25,13,0,0
2019-11-26,20,0,0
2019-11-27,21,0,0
2019-11-28,7,0,0
2019-11-29,1,0,0
2019-11-30,1,0,3
2019-12-01,0,0,0
2019-12-02,8,0,0
2019-12-03,23,0,0
2019-12-04,27,0,0
2019-12-05,19,0,0
2019-12-06,15,0,0
2019-12-07,1,0,0
2019-12-08,0,0,0
2019-12-09,13,0,0
2019-12-10,20,0,0
2019-12-11,6,0,0
2019-12-12,12,0,0
2019-12-13,16,0,0
2019-12-14,0,0,0
2019-12-15,0,0,0
2019-12-16,12,0,0
2019-12-17,16,0,0
2019-12-18,21,7,0
2019-12-19,19,3,0
2019-12-20,7,4,0
2019-12-21,7,2,0
2019-12-22,0,0,0
2019-12-23,5,0,0
2019-12-24,2,0,0
2019-12-25,0,0,0
2019-12-26,8,0,0
2019-12-27,5,0,0
2019-12-28,3,0,0
2019-12-29,1,0,0
2019-12-30,3,0,0
2019-12-31,1,0,0
2020-01-01,0,0,0
2020-01-02,6,0,0
2020-01-03,14,0,0
2020-01-04,1,0,0
2020-01-05,0,0,0
2020-01-06,14,0,0
2020-01-07,13,0,0
2020-01-08,28,0,1
2020-01-09,11,0,1
2020-01-10,18,1,0
2020-01-11,6,0,0
2020-01-12,0,0,3
2020-01-13,11,0,2
2020-01-14,18,0,1
2020-01-15,12,0,0
2020-01-16,26,0,0
2020-01-17,22,0,0
2020-01-18,2,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,9,0,0
2020-01-22,26,0,0
2020-01-23,5,0,0
2020-01-24,18,1,0
2020-01-25,15,0,0
2020-01-26,3,0,0
2020-01-27,12,0,0
2020-01-28,28,0,0
2020-01-29,24,0,0
2020-01-30,19,0,0
2020-01-31,23,4,1
2020-02-01,5,0,0
2020-02-02,0,0,0
2020-02-03,8,0,0
2020-02-04,21,0,0
2020-02-05,17,0,0
2020-02-06,27,3,0
2020-02-07,24,0,0
2020-02-08,5,0,0
2020-02-09,0,0,0
2020-02-10,18,1,0
2020-02-11,14,0,0
2020-02-12,22,0,0
2020-02-13,27,0,0
2020-02-14,13,0,0
2020-02-15,4,0,0
2020-02-16,0,0,0
2020-02-17,1,0,0
2020-02-18,13,0,1
2020-02-19,10,0,0
2020-02-20,18,0,0
2020-02-21,10,0,0
2020-02-22,0,0,0
2020-02-23,5,0,0
2020-02-24,11,3,0
2020-02-25,15,0,0
2020-02-26,21,0,0
2020-02-27,22,0,0
2020-02-28,27,0,0
2020-02-29,6,0,0
2020-03-01,0,0,0
2020-03-02,7,0,0
2020-03-03,15,0,0
2020-03-04,17,0,0
2020-03-05,22,0,0
2020-03-06,25,0,0
2020-03-07,3,0,0
2020-03-08,6,0,0
2020-03-09,10,0,0
2020-03-10,23,0,0
2020-03-11,15,0,0
2020-03-12,16,0,0
2020-03-13,23,0,0
2020-03-14,10,0,0
2020-03-15,7,0,0
2020-03-16,13,0,0
2020-03-17,12,0,0
2020-03-18,25,0,0
2020-03-19,22,0,0
2020-03-20,22,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,7,0,0
2020-03-24,16,0,0
2020-03-25,31,0,0
2020-03-26,11,0,0
2020-03-27,16,0,0
2020-03-28,5,0,0
2020-03-29,3,0,0
2020-03-30,12,0,0
2020-03-31,19,0,0
2020-04-01,17,0,0
2020-04-02,17,0,0
2020-04-03,21,0,0
2020-04-04,5,0,0
2020-04-05,9,0,0
2020-04-06,16,0,0
2020-04-07,21,0,0
2020-04-08,20,0,0
2020-04-09,19,0,0
2020-04-10,27,0,0
2020-04-11,9,0,0
2020-04-12,4,0,0
2020-04-13,15,0,0
2020-04-14,9,0,0
2020-04-15,12,0,0
2020-04-16,26,0,0
2020-04-17,12,0,0
2020-04-18,7,0,0
2020-04-19,1,0,0
2020-04-20,21,0,0
2020-04-21,11,0,0
2020-04-22,30,0,0
2020-04-23,17,0,0
2020-04-24,8,0,0
2020-04-25,7,0,0
2020-04-26,1,0,0
2020-04-27,22,0,0
