,scikit-learn/scikit-learn,statsmodels/statsmodels,mlpack/mlpack
2019-05-25,1,9,5
2019-05-26,1,9,3
2019-05-27,3,1,16
2019-05-28,8,3,13
2019-05-29,7,14,7
2019-05-30,3,1,11
2019-05-31,2,7,6
2019-06-01,2,4,4
2019-06-02,0,0,7
2019-06-03,2,0,0
2019-06-04,2,4,2
2019-06-05,1,4,2
2019-06-06,0,23,6
2019-06-07,2,18,4
2019-06-08,2,10,7
2019-06-09,0,14,3
2019-06-10,2,5,6
2019-06-11,4,4,2
2019-06-12,7,0,1
2019-06-13,10,0,6
2019-06-14,5,9,6
2019-06-15,1,0,6
2019-06-16,2,1,5
2019-06-17,3,0,16
2019-06-18,4,0,10
2019-06-19,4,2,10
2019-06-20,6,0,21
2019-06-21,6,2,13
2019-06-22,7,0,7
2019-06-23,2,1,1
2019-06-24,11,3,2
2019-06-25,3,0,6
2019-06-26,6,0,10
2019-06-27,2,0,8
2019-06-28,4,6,7
2019-06-29,0,3,5
2019-06-30,1,0,10
2019-07-01,7,0,3
2019-07-02,12,1,0
2019-07-03,3,6,11
2019-07-04,0,4,4
2019-07-05,3,3,2
2019-07-06,2,3,4
2019-07-07,0,18,2
2019-07-08,5,6,1
2019-07-09,0,2,4
2019-07-10,0,11,18
2019-07-11,1,4,4
2019-07-12,7,17,7
2019-07-13,8,9,5
2019-07-14,10,8,6
2019-07-15,7,12,4
2019-07-16,1,16,13
2019-07-17,4,15,10
2019-07-18,6,17,6
2019-07-19,15,19,3
2019-07-20,3,7,2
2019-07-21,2,2,5
2019-07-22,3,8,3
2019-07-23,3,13,0
2019-07-24,5,18,4
2019-07-25,12,20,1
2019-07-26,3,3,4
2019-07-27,4,0,3
2019-07-28,3,8,0
2019-07-29,8,6,2
2019-07-30,12,13,5
2019-07-31,6,22,3
2019-08-01,5,9,5
2019-08-02,7,31,8
2019-08-03,0,9,2
2019-08-04,1,6,2
2019-08-05,2,18,9
2019-08-06,4,7,19
2019-08-07,14,3,13
2019-08-08,5,4,7
2019-08-09,2,10,3
2019-08-10,0,0,23
2019-08-11,2,0,7
2019-08-12,6,1,5
2019-08-13,5,0,7
2019-08-14,10,0,8
2019-08-15,4,4,7
2019-08-16,2,11,25
2019-08-17,2,3,3
2019-08-18,2,4,2
2019-08-19,2,8,5
2019-08-20,7,2,5
2019-08-21,6,4,1
2019-08-22,4,7,20
2019-08-23,6,2,7
2019-08-24,11,0,6
2019-08-25,7,0,4
2019-08-26,6,12,17
2019-08-27,4,3,0
2019-08-28,6,0,4
2019-08-29,6,4,6
2019-08-30,0,2,9
2019-08-31,0,0,4
2019-09-01,0,2,8
2019-09-02,2,0,3
2019-09-03,1,0,5
2019-09-04,4,0,4
2019-09-05,3,0,3
2019-09-06,7,0,4
2019-09-07,1,2,7
2019-09-08,6,0,6
2019-09-09,5,0,0
2019-09-10,9,0,5
2019-09-11,4,2,6
2019-09-12,1,0,5
2019-09-13,7,0,0
2019-09-14,2,1,3
2019-09-15,1,14,5
2019-09-16,4,5,5
2019-09-17,1,0,9
2019-09-18,8,0,5
2019-09-19,7,0,0
2019-09-20,8,0,5
2019-09-21,1,0,6
2019-09-22,1,0,4
2019-09-23,8,0,11
2019-09-24,4,0,9
2019-09-25,1,0,8
2019-09-26,4,0,15
2019-09-27,2,0,8
2019-09-28,4,0,11
2019-09-29,1,0,6
2019-09-30,0,0,6
2019-10-01,2,0,6
2019-10-02,7,1,1
2019-10-03,3,2,10
2019-10-04,5,0,10
2019-10-05,3,2,14
2019-10-06,1,0,6
2019-10-07,6,0,3
2019-10-08,4,0,4
2019-10-09,4,0,10
2019-10-10,2,0,6
2019-10-11,1,0,4
2019-10-12,2,0,14
2019-10-13,6,0,5
2019-10-14,8,0,6
2019-10-15,6,0,2
2019-10-16,13,1,3
2019-10-17,5,1,2
2019-10-18,7,0,2
2019-10-19,2,0,5
2019-10-20,5,1,5
2019-10-21,12,3,8
2019-10-22,9,1,4
2019-10-23,8,3,5
2019-10-24,9,0,1
2019-10-25,6,0,3
2019-10-26,1,8,2
2019-10-27,6,1,4
2019-10-28,12,0,4
2019-10-29,7,0,4
2019-10-30,8,0,5
2019-10-31,7,1,0
2019-11-01,4,0,0
2019-11-02,25,1,2
2019-11-03,5,0,11
2019-11-04,11,0,17
2019-11-05,10,2,3
2019-11-06,11,0,4
2019-11-07,8,0,4
2019-11-08,2,0,2
2019-11-09,0,0,3
2019-11-10,2,8,12
2019-11-11,3,2,1
2019-11-12,4,10,3
2019-11-13,6,4,2
2019-11-14,6,5,17
2019-11-15,8,1,3
2019-11-16,3,0,3
2019-11-17,6,2,4
2019-11-18,4,12,4
2019-11-19,7,7,3
2019-11-20,10,1,11
2019-11-21,4,1,3
2019-11-22,2,3,3
2019-11-23,0,0,3
2019-11-24,1,0,8
2019-11-25,3,3,9
2019-11-26,4,4,2
2019-11-27,0,13,12
2019-11-28,0,11,3
2019-11-29,1,4,3
2019-11-30,0,0,14
2019-12-01,1,3,4
2019-12-02,4,1,7
2019-12-03,1,4,5
2019-12-04,8,2,10
2019-12-05,3,23,14
2019-12-06,6,3,5
2019-12-07,2,2,1
2019-12-08,2,0,5
2019-12-09,5,0,5
2019-12-10,12,3,9
2019-12-11,2,0,4
2019-12-12,0,2,2
2019-12-13,4,12,2
2019-12-14,3,11,0
2019-12-15,0,0,0
2019-12-16,0,9,0
2019-12-17,1,8,0
2019-12-18,6,2,3
2019-12-19,7,0,1
2019-12-20,10,0,0
2019-12-21,3,0,1
2019-12-22,0,0,1
2019-12-23,4,2,2
2019-12-24,1,5,2
2019-12-25,0,0,2
2019-12-26,12,0,1
2019-12-27,3,0,5
2019-12-28,0,5,10
2019-12-29,3,1,2
2019-12-30,1,3,2
2019-12-31,3,0,4
2020-01-01,1,0,6
2020-01-02,3,0,7
2020-01-03,4,0,0
2020-01-04,3,0,1
2020-01-05,0,0,7
2020-01-06,4,9,4
2020-01-07,0,2,3
2020-01-08,8,2,11
2020-01-09,8,0,8
2020-01-10,3,0,2
2020-01-11,1,0,1
2020-01-12,4,0,4
2020-01-13,9,6,12
2020-01-14,4,13,4
2020-01-15,3,12,13
2020-01-16,0,9,8
2020-01-17,3,0,2
2020-01-18,0,1,48
2020-01-19,0,0,3
2020-01-20,1,0,8
2020-01-21,2,9,12
2020-01-22,7,17,1
2020-01-23,0,2,4
2020-01-24,1,0,6
2020-01-25,1,10,3
2020-01-26,10,2,4
2020-01-27,8,4,11
2020-01-28,7,20,5
2020-01-29,18,1,13
2020-01-30,14,1,5
2020-01-31,10,0,3
2020-02-01,9,0,1
2020-02-02,8,0,1
2020-02-03,2,2,2
2020-02-04,5,7,0
2020-02-05,7,8,4
2020-02-06,2,0,7
2020-02-07,3,1,0
2020-02-08,0,0,10
2020-02-09,0,0,9
2020-02-10,5,3,9
2020-02-11,6,2,8
2020-02-12,6,0,7
2020-02-13,3,0,8
2020-02-14,1,5,15
2020-02-15,0,11,13
2020-02-16,2,5,4
2020-02-17,1,7,11
2020-02-18,3,1,5
2020-02-19,3,0,0
2020-02-20,6,3,2
2020-02-21,6,6,1
2020-02-22,1,0,5
2020-02-23,4,0,2
2020-02-24,5,4,5
2020-02-25,1,4,7
2020-02-26,2,0,3
2020-02-27,5,1,5
2020-02-28,6,6,2
2020-02-29,5,0,2
2020-03-01,2,0,0
2020-03-02,7,0,2
2020-03-03,8,3,6
2020-03-04,8,2,8
2020-03-05,2,0,1
2020-03-06,1,0,12
2020-03-07,0,5,7
2020-03-08,0,0,13
2020-03-09,2,0,5
2020-03-10,6,0,11
2020-03-11,5,0,11
2020-03-12,3,3,12
2020-03-13,5,3,20
2020-03-14,0,0,6
2020-03-15,0,0,14
2020-03-16,2,0,13
2020-03-17,1,8,26
2020-03-18,3,0,20
2020-03-19,3,0,2
2020-03-20,4,0,2
2020-03-21,2,4,1
2020-03-22,1,0,25
2020-03-23,1,0,8
2020-03-24,5,2,13
2020-03-25,3,0,2
2020-03-26,0,2,3
2020-03-27,4,5,10
2020-03-28,1,5,6
2020-03-29,1,9,3
2020-03-30,2,4,5
2020-03-31,6,0,12
2020-04-01,3,0,13
2020-04-02,2,2,11
2020-04-03,0,2,14
2020-04-04,2,0,14
2020-04-05,8,6,10
2020-04-06,3,12,8
2020-04-07,2,1,25
2020-04-08,0,1,4
2020-04-09,1,1,9
2020-04-10,6,1,5
2020-04-11,2,0,1
2020-04-12,0,0,3
2020-04-13,0,0,3
2020-04-14,5,0,2
2020-04-15,5,0,31
2020-04-16,0,0,7
2020-04-17,5,0,39
2020-04-18,1,0,22
2020-04-19,7,0,3
2020-04-20,3,0,7
2020-04-21,3,2,5
2020-04-22,6,0,18
2020-04-23,14,3,8
2020-04-24,8,1,6
2020-04-25,2,4,1
2020-04-26,9,2,2
2020-04-27,12,0,9
2020-04-28,9,0,2
2020-04-29,5,3,5
2020-04-30,1,15,2
2020-05-01,3,14,9
2020-05-02,1,0,0
2020-05-03,2,3,12
2020-05-04,5,5,7
2020-05-05,8,4,9
2020-05-06,1,3,0
2020-05-07,2,3,6
2020-05-08,5,4,10
2020-05-09,1,3,5
2020-05-10,6,0,16
2020-05-11,1,1,17
2020-05-12,6,0,6
2020-05-13,5,3,12
2020-05-14,7,16,7
2020-05-15,5,1,8
2020-05-16,4,3,3
2020-05-17,5,9,4
2020-05-18,9,6,23
2020-05-19,6,0,9
2020-05-20,12,4,24
2020-05-21,1,2,3
2020-05-22,3,0,7
2020-05-23,2,0,8
2020-05-24,2,5,6
2020-05-25,5,1,23
2020-05-26,4,1,3
2020-05-27,3,2,14
2020-05-28,1,0,9
2020-05-29,0,2,15
2020-05-30,0,1,8
2020-05-31,0,1,6
2020-06-01,4,31,4
2020-06-02,3,5,4
2020-06-03,7,3,8
2020-06-04,1,0,13
2020-06-05,2,26,5
2020-06-06,29,10,7
2020-06-07,8,10,2
2020-06-08,10,24,5
2020-06-09,10,1,10
2020-06-10,4,0,11
2020-06-11,4,3,24
2020-06-12,0,4,3
2020-06-13,1,1,2
2020-06-14,0,2,53
2020-06-15,13,1,7
2020-06-16,13,0,4
2020-06-17,8,1,3
2020-06-18,8,0,15
2020-06-19,8,1,20
2020-06-20,3,0,11
2020-06-21,2,7,9
2020-06-22,5,1,8
2020-06-23,10,3,24
2020-06-24,16,3,16
2020-06-25,22,0,6
2020-06-26,13,0,16
2020-06-27,7,2,4
2020-06-28,1,9,15
2020-06-29,5,6,8
2020-06-30,2,4,163
2020-07-01,3,18,9
2020-07-02,1,17,10
2020-07-03,0,0,7
2020-07-04,9,0,16
2020-07-05,4,0,17
2020-07-06,6,10,6
2020-07-07,0,6,37
2020-07-08,6,1,3
2020-07-09,10,12,25
2020-07-10,10,10,14
2020-07-11,10,0,23
2020-07-12,10,0,4
2020-07-13,0,1,11
2020-07-14,4,4,25
2020-07-15,8,4,9
2020-07-16,5,0,1
2020-07-17,7,8,15
2020-07-18,1,4,13
2020-07-19,0,2,10
2020-07-20,3,7,21
2020-07-21,2,18,27
2020-07-22,2,4,23
2020-07-23,1,0,55
2020-07-24,1,9,27
2020-07-25,3,3,3
2020-07-26,7,0,14
2020-07-27,2,4,28
2020-07-28,4,9,19
2020-07-29,4,3,14
2020-07-30,6,6,5
2020-07-31,6,6,29
2020-08-01,5,0,13
2020-08-02,6,3,7
2020-08-03,7,23,10
2020-08-04,3,9,18
2020-08-05,7,13,8
2020-08-06,10,10,7
2020-08-07,10,4,16
2020-08-08,1,0,18
2020-08-09,1,0,18
2020-08-10,1,6,4
2020-08-11,2,6,8
2020-08-12,1,0,52
2020-08-13,5,2,29
2020-08-14,3,8,28
2020-08-15,2,0,2
2020-08-16,2,1,7
2020-08-17,3,0,14
2020-08-18,5,3,4
2020-08-19,5,2,19
2020-08-20,8,3,11
2020-08-21,20,10,17
2020-08-22,3,0,7
2020-08-23,6,1,11
2020-08-24,4,1,22
2020-08-25,8,10,22
2020-08-26,4,3,10
2020-08-27,5,9,15
2020-08-28,2,2,11
2020-08-29,3,0,6
2020-08-30,0,0,11
2020-08-31,16,5,15
2020-09-01,4,3,15
2020-09-02,3,5,33
2020-09-03,6,3,21
2020-09-04,6,0,7
2020-09-05,0,0,4
2020-09-06,0,3,25
2020-09-07,6,5,5
2020-09-08,2,1,4
2020-09-09,2,0,8
2020-09-10,1,0,5
2020-09-11,0,2,22
2020-09-12,1,0,2
2020-09-13,2,0,52
2020-09-14,0,0,14
2020-09-15,2,17,7
2020-09-16,1,1,13
2020-09-17,9,2,27
2020-09-18,2,1,7
2020-09-19,0,3,4
2020-09-20,0,0,23
2020-09-21,5,6,4
2020-09-22,1,2,12
2020-09-23,6,3,1
2020-09-24,4,0,0
2020-09-25,0,0,8
2020-09-26,3,0,2
2020-09-27,0,2,11
2020-09-28,5,0,4
2020-09-29,6,3,6
2020-09-30,4,1,6
2020-10-01,2,5,20
2020-10-02,3,0,13
2020-10-03,0,2,21
2020-10-04,1,0,12
2020-10-05,3,0,12
2020-10-06,5,1,13
2020-10-07,6,3,9
2020-10-08,7,0,6
2020-10-09,6,4,13
2020-10-10,0,1,17
2020-10-11,1,1,13
2020-10-12,5,3,15
2020-10-13,2,0,24
2020-10-14,10,0,13
2020-10-15,3,0,7
2020-10-16,1,0,9
2020-10-17,0,0,5
2020-10-18,0,0,13
2020-10-19,4,0,12
2020-10-20,2,0,4
2020-10-21,4,3,6
2020-10-22,2,0,3
2020-10-23,3,1,2
2020-10-24,0,0,5
2020-10-25,0,0,2
2020-10-26,1,0,0
2020-10-27,4,7,4
2020-10-28,9,1,7
2020-10-29,2,2,3
2020-10-30,4,3,6
2020-10-31,1,0,9
2020-11-01,7,0,14
2020-11-02,9,0,8
2020-11-03,3,2,6
2020-11-04,1,0,2
2020-11-05,1,6,3
2020-11-06,8,3,2
2020-11-07,0,1,10
2020-11-08,2,0,4
2020-11-09,1,0,7
2020-11-10,6,0,14
2020-11-11,4,1,12
2020-11-12,4,0,5
2020-11-13,6,0,6
2020-11-14,1,0,7
2020-11-15,0,0,4
2020-11-16,2,0,3
2020-11-17,2,0,12
2020-11-18,6,1,12
2020-11-19,2,1,4
2020-11-20,6,0,14
2020-11-21,0,0,2
2020-11-22,1,1,14
2020-11-23,5,0,3
2020-11-24,0,2,9
2020-11-25,2,0,14
2020-11-26,5,0,19
2020-11-27,4,1,4
2020-11-28,0,3,8
2020-11-29,0,0,8
2020-11-30,2,0,8
2020-12-01,8,1,7
2020-12-02,4,0,10
2020-12-03,1,0,4
2020-12-04,3,0,4
2020-12-05,0,0,12
2020-12-06,0,0,13
2020-12-07,0,2,29
2020-12-08,0,0,4
2020-12-09,0,0,5
2020-12-10,1,0,3
2020-12-11,1,0,21
2020-12-12,0,0,10
2020-12-13,0,0,12
2020-12-14,3,0,0
2020-12-15,6,3,8
2020-12-16,4,0,12
2020-12-17,4,0,8
2020-12-18,3,1,9
2020-12-19,2,7,0
2020-12-20,3,0,3
2020-12-21,4,2,4
2020-12-22,9,4,2
2020-12-23,0,2,9
2020-12-24,0,0,7
2020-12-25,0,0,3
2020-12-26,0,0,8
2020-12-27,0,0,13
2020-12-28,0,0,4
2020-12-29,0,0,3
2020-12-30,0,0,3
2020-12-31,0,1,13
2021-01-01,0,0,4
2021-01-02,3,0,18
2021-01-03,1,5,6
2021-01-04,3,3,1
2021-01-05,3,0,9
2021-01-06,4,0,4
2021-01-07,0,4,3
2021-01-08,4,4,1
2021-01-09,1,0,3
2021-01-10,1,3,7
2021-01-11,5,0,9
2021-01-12,3,2,7
2021-01-13,5,0,9
2021-01-14,2,0,5
2021-01-15,0,2,11
2021-01-16,2,0,3
2021-01-17,1,0,4
2021-01-18,3,0,5
2021-01-19,4,0,6
2021-01-20,1,2,3
2021-01-21,2,1,11
2021-01-22,6,0,5
2021-01-23,2,4,9
2021-01-24,2,1,9
2021-01-25,5,7,4
2021-01-26,6,5,5
2021-01-27,4,3,5
2021-01-28,4,0,8
2021-01-29,3,6,8
2021-01-30,3,2,2
2021-01-31,1,5,2
2021-02-01,13,0,1
2021-02-02,1,0,5
2021-02-03,4,0,4
2021-02-04,1,0,6
2021-02-05,1,0,8
2021-02-06,5,0,3
2021-02-07,4,2,1
2021-02-08,5,0,4
2021-02-09,4,0,3
2021-02-10,5,3,3
2021-02-11,7,0,1
2021-02-12,7,2,4
2021-02-13,0,5,0
2021-02-14,0,0,5
2021-02-15,3,0,5
2021-02-16,0,0,1
2021-02-17,3,5,0
2021-02-18,8,1,3
2021-02-19,3,3,1
2021-02-20,2,0,1
2021-02-21,0,0,3
2021-02-22,8,0,9
2021-02-23,3,0,6
2021-02-24,3,0,2
2021-02-25,8,1,5
2021-02-26,0,2,3
2021-02-27,4,0,22
2021-02-28,0,3,4
2021-03-01,3,4,4
2021-03-02,4,1,2
2021-03-03,3,3,1
2021-03-04,0,2,2
2021-03-05,0,2,5
2021-03-06,0,4,5
2021-03-07,1,0,1
2021-03-08,1,4,0
2021-03-09,1,3,3
2021-03-10,2,1,9
