,tensorflow/models,pytorch/vision,huggingface/transformers
2019-05-06,2,2,0
2019-05-07,2,4,3
2019-05-08,2,2,7
2019-05-09,2,0,3
2019-05-10,5,1,1
2019-05-11,2,0,2
2019-05-12,0,0,0
2019-05-13,0,0,1
2019-05-14,3,1,0
2019-05-15,3,0,0
2019-05-16,2,0,0
2019-05-17,0,1,0
2019-05-18,2,1,4
2019-05-19,0,7,0
2019-05-20,1,5,0
2019-05-21,5,8,0
2019-05-22,8,8,1
2019-05-23,6,3,3
2019-05-24,7,1,0
2019-05-25,0,1,0
2019-05-26,1,0,0
2019-05-27,0,2,2
2019-05-28,13,0,0
2019-05-29,7,3,0
2019-05-30,2,1,4
2019-05-31,7,1,8
2019-06-01,0,0,11
2019-06-02,0,0,0
2019-06-03,12,3,3
2019-06-04,2,0,0
2019-06-05,14,3,0
2019-06-06,6,1,6
2019-06-07,1,4,0
2019-06-08,0,0,0
2019-06-09,0,0,0
2019-06-10,1,0,1
2019-06-11,2,4,3
2019-06-12,3,2,1
2019-06-13,12,4,0
2019-06-14,4,6,14
2019-06-15,0,1,5
2019-06-16,0,0,0
2019-06-17,0,1,10
2019-06-18,4,1,32
2019-06-19,6,1,12
2019-06-20,8,4,10
2019-06-21,5,0,5
2019-06-22,2,0,7
2019-06-23,0,0,2
2019-06-24,2,7,5
2019-06-25,1,1,4
2019-06-26,1,3,9
2019-06-27,0,0,3
2019-06-28,4,2,5
2019-06-29,0,1,2
2019-06-30,0,0,0
2019-07-01,0,1,1
2019-07-02,3,2,9
2019-07-03,1,2,9
2019-07-04,0,6,3
2019-07-05,0,2,19
2019-07-06,0,2,0
2019-07-07,0,0,0
2019-07-08,5,1,3
2019-07-09,2,2,17
2019-07-10,1,1,6
2019-07-11,5,1,17
2019-07-12,0,4,11
2019-07-13,0,0,4
2019-07-14,0,0,2
2019-07-15,3,2,19
2019-07-16,3,1,23
2019-07-17,0,1,9
2019-07-18,7,0,6
2019-07-19,9,4,0
2019-07-20,3,0,1
2019-07-21,1,0,2
2019-07-22,1,1,4
2019-07-23,5,5,16
2019-07-24,10,3,3
2019-07-25,5,0,7
2019-07-26,2,5,11
2019-07-27,0,0,3
2019-07-28,0,0,0
2019-07-29,2,0,1
2019-07-30,8,0,0
2019-07-31,2,3,3
2019-08-01,5,2,1
2019-08-02,5,1,0
2019-08-03,1,0,1
2019-08-04,0,1,4
2019-08-05,3,3,20
2019-08-06,6,4,5
2019-08-07,5,3,9
2019-08-08,2,4,8
2019-08-09,8,0,3
2019-08-10,2,0,2
2019-08-11,0,0,1
2019-08-12,4,1,5
2019-08-13,9,0,4
2019-08-14,12,0,4
2019-08-15,3,0,6
2019-08-16,9,0,10
2019-08-17,2,0,2
2019-08-18,0,0,6
2019-08-19,13,0,6
2019-08-20,15,0,32
2019-08-21,6,1,13
2019-08-22,8,0,5
2019-08-23,7,0,8
2019-08-24,1,0,2
2019-08-25,1,0,0
2019-08-26,6,0,5
2019-08-27,5,0,12
2019-08-28,5,4,44
2019-08-29,3,3,6
2019-08-30,4,4,57
2019-08-31,0,0,23
2019-09-01,0,0,1
2019-09-02,0,2,8
2019-09-03,3,0,0
2019-09-04,4,0,10
2019-09-05,6,0,23
2019-09-06,7,2,6
2019-09-07,0,0,0
2019-09-08,0,0,19
2019-09-09,3,4,16
2019-09-10,1,3,10
2019-09-11,3,1,8
2019-09-12,2,1,4
2019-09-13,2,0,3
2019-09-14,0,0,0
2019-09-15,0,0,0
2019-09-16,2,1,8
2019-09-17,6,3,2
2019-09-18,6,5,18
2019-09-19,2,0,27
2019-09-20,8,5,2
2019-09-21,0,0,0
2019-09-22,0,1,1
2019-09-23,4,4,12
2019-09-24,2,6,38
2019-09-25,1,0,14
2019-09-26,2,1,40
2019-09-27,2,2,18
2019-09-28,0,0,2
2019-09-29,1,0,2
2019-09-30,3,4,3
2019-10-01,2,2,6
2019-10-02,1,3,6
2019-10-03,3,2,37
2019-10-04,3,3,10
2019-10-05,1,0,0
2019-10-06,0,0,2
2019-10-07,4,4,20
2019-10-08,2,4,17
2019-10-09,4,0,22
2019-10-10,9,0,26
2019-10-11,10,1,15
2019-10-12,3,1,2
2019-10-13,2,0,3
2019-10-14,1,0,13
2019-10-15,6,3,30
2019-10-16,5,9,8
2019-10-17,9,2,13
2019-10-18,6,10,3
2019-10-19,4,0,1
2019-10-20,1,0,2
2019-10-21,8,5,5
2019-10-22,6,3,11
2019-10-23,5,1,3
2019-10-24,6,1,7
2019-10-25,1,1,0
2019-10-26,0,3,0
2019-10-27,0,0,3
2019-10-28,7,2,9
2019-10-29,3,3,2
2019-10-30,1,3,22
2019-10-31,2,2,7
2019-11-01,7,0,2
2019-11-02,1,0,0
2019-11-03,0,0,1
2019-11-04,1,2,13
2019-11-05,3,2,18
2019-11-06,3,2,11
2019-11-07,6,1,2
2019-11-08,1,0,9
2019-11-09,0,0,2
2019-11-10,2,0,0
2019-11-11,5,0,5
2019-11-12,9,0,12
2019-11-13,5,1,0
2019-11-14,7,1,15
2019-11-15,2,5,2
2019-11-16,0,0,12
2019-11-17,0,0,0
2019-11-18,3,2,7
2019-11-19,3,0,9
2019-11-20,2,0,2
2019-11-21,10,1,6
2019-11-22,6,0,7
2019-11-23,3,0,3
2019-11-24,1,0,0
2019-11-25,4,3,7
2019-11-26,1,3,49
2019-11-27,8,0,31
2019-11-28,1,0,7
2019-11-29,1,0,8
2019-11-30,2,1,2
2019-12-01,0,0,2
2019-12-02,3,1,4
2019-12-03,3,0,41
2019-12-04,6,3,17
2019-12-05,6,5,23
2019-12-06,6,1,10
2019-12-07,0,0,1
2019-12-08,1,0,0
2019-12-09,1,0,14
2019-12-10,3,2,58
2019-12-11,1,1,29
2019-12-12,4,1,15
2019-12-13,3,0,25
2019-12-14,5,0,11
2019-12-15,2,0,2
2019-12-16,3,4,28
2019-12-17,6,1,18
2019-12-18,7,0,33
2019-12-19,7,6,26
2019-12-20,3,0,39
2019-12-21,0,0,45
2019-12-22,3,0,51
2019-12-23,0,0,28
2019-12-24,0,0,15
2019-12-25,0,0,25
2019-12-26,1,0,7
2019-12-27,0,0,7
2019-12-28,1,0,6
2019-12-29,0,0,2
2019-12-30,1,0,0
2019-12-31,1,0,0
2020-01-01,0,0,2
2020-01-02,2,3,0
2020-01-03,1,1,0
2020-01-04,1,0,1
2020-01-05,0,0,4
2020-01-06,1,0,8
2020-01-07,4,0,12
2020-01-08,3,0,5
2020-01-09,1,0,1
2020-01-10,1,2,14
2020-01-11,0,0,8
2020-01-12,0,0,0
2020-01-13,3,2,9
2020-01-14,4,2,17
2020-01-15,0,0,6
2020-01-16,1,2,15
2020-01-17,3,4,3
2020-01-18,1,0,0
2020-01-19,0,0,0
2020-01-20,0,1,4
2020-01-21,6,1,10
2020-01-22,4,5,1
2020-01-23,4,0,33
2020-01-24,4,0,8
2020-01-25,1,0,0
2020-01-26,0,0,0
2020-01-27,4,8,9
2020-01-28,6,1,15
2020-01-29,4,6,14
2020-01-30,6,1,11
2020-01-31,4,0,18
2020-02-01,2,0,2
2020-02-02,0,0,0
2020-02-03,1,1,5
2020-02-04,2,1,13
2020-02-05,3,0,4
2020-02-06,1,0,7
2020-02-07,3,0,13
2020-02-08,1,0,0
2020-02-09,0,0,0
2020-02-10,0,4,15
2020-02-11,1,0,8
2020-02-12,5,0,6
2020-02-13,5,2,5
2020-02-14,4,4,14
2020-02-15,2,0,0
2020-02-16,0,0,1
2020-02-17,0,0,5
2020-02-18,4,0,2
2020-02-19,4,0,9
2020-02-20,14,0,11
2020-02-21,9,0,7
2020-02-22,3,0,6
2020-02-23,3,0,6
2020-02-24,5,4,13
2020-02-25,8,3,10
2020-02-26,13,0,8
2020-02-27,1,1,6
2020-02-28,11,1,0
2020-02-29,0,0,2
2020-03-01,2,0,3
2020-03-02,4,0,11
2020-03-03,7,0,14
2020-03-04,7,5,22
2020-03-05,7,0,33
2020-03-06,3,0,13
2020-03-07,1,0,0
2020-03-08,1,0,6
2020-03-09,5,0,14
2020-03-10,6,4,8
2020-03-11,9,4,47
2020-03-12,8,3,7
2020-03-13,5,4,6
2020-03-14,5,0,1
2020-03-15,4,0,0
2020-03-16,3,4,7
2020-03-17,11,4,11
2020-03-18,3,0,8
2020-03-19,6,1,23
2020-03-20,4,2,5
2020-03-21,1,0,0
2020-03-22,1,0,0
2020-03-23,0,3,9
2020-03-24,2,3,13
2020-03-25,7,0,5
2020-03-26,4,0,15
2020-03-27,5,0,10
2020-03-28,1,0,0
2020-03-29,1,0,2
2020-03-30,7,5,11
2020-03-31,7,5,16
2020-04-01,7,4,7
2020-04-02,9,5,5
2020-04-03,8,5,10
2020-04-04,5,0,7
2020-04-05,2,0,2
2020-04-06,3,3,19
2020-04-07,1,5,8
2020-04-08,6,2,6
2020-04-09,4,2,5
2020-04-10,7,2,7
2020-04-11,2,0,2
2020-04-12,2,0,0
2020-04-13,7,0,2
2020-04-14,4,4,2
2020-04-15,7,1,2
2020-04-16,9,1,12
2020-04-17,12,0,8
2020-04-18,1,0,6
2020-04-19,2,0,0
2020-04-20,9,0,10
2020-04-21,6,1,4
2020-04-22,8,0,6
2020-04-23,5,1,9
2020-04-24,34,2,6
2020-04-25,21,0,1
2020-04-26,8,1,0
2020-04-27,6,2,9
2020-04-28,3,2,14
2020-04-29,2,3,5
2020-04-30,1,0,4
2020-05-01,13,0,16
2020-05-02,2,0,11
2020-05-03,0,0,1
2020-05-04,5,5,2
2020-05-05,3,6,4
2020-05-06,10,0,7
2020-05-07,5,3,17
2020-05-08,5,0,9
2020-05-09,2,0,0
2020-05-10,2,0,3
2020-05-11,4,5,17
2020-05-12,9,3,12
2020-05-13,5,0,7
2020-05-14,12,4,14
2020-05-15,3,1,10
2020-05-16,0,0,0
2020-05-17,1,0,1
2020-05-18,6,6,19
2020-05-19,12,3,13
2020-05-20,8,5,13
2020-05-21,11,3,4
2020-05-22,4,0,15
2020-05-23,2,0,1
2020-05-24,4,0,0
2020-05-25,2,0,11
2020-05-26,7,3,11
2020-05-27,4,0,10
2020-05-28,4,0,7
2020-05-29,11,4,8
2020-05-30,2,1,0
2020-05-31,0,1,0
2020-06-01,4,3,25
2020-06-02,8,0,11
2020-06-03,11,1,7
2020-06-04,10,3,14
2020-06-05,3,1,13
2020-06-06,1,0,3
2020-06-07,0,0,1
2020-06-08,6,0,9
2020-06-09,7,1,9
2020-06-10,8,1,14
2020-06-11,4,3,6
2020-06-12,12,0,7
2020-06-13,0,0,1
2020-06-14,1,0,2
2020-06-15,3,0,14
2020-06-16,6,0,13
2020-06-17,11,1,14
2020-06-18,12,0,10
2020-06-19,17,1,5
2020-06-20,2,0,7
2020-06-21,4,0,1
2020-06-22,7,2,30
2020-06-23,14,3,11
2020-06-24,8,0,24
2020-06-25,10,0,11
2020-06-26,9,4,12
2020-06-27,1,0,2
2020-06-28,14,0,4
2020-06-29,28,4,21
2020-06-30,31,7,18
2020-07-01,30,2,17
2020-07-02,0,3,11
2020-07-03,4,3,10
2020-07-04,3,0,0
2020-07-05,2,0,0
2020-07-06,8,5,13
2020-07-07,6,2,22
2020-07-08,17,2,9
2020-07-09,14,2,10
2020-07-10,24,2,20
2020-07-11,7,0,1
2020-07-12,3,2,1
2020-07-13,16,2,7
2020-07-14,15,0,14
2020-07-15,4,2,14
2020-07-16,22,2,10
2020-07-17,30,1,11
2020-07-18,5,0,8
2020-07-19,3,0,0
2020-07-20,14,1,17
2020-07-21,11,0,24
2020-07-22,11,0,7
2020-07-23,25,0,8
2020-07-24,27,0,13
2020-07-25,0,0,0
2020-07-26,4,0,3
2020-07-27,8,0,16
2020-07-28,28,0,21
2020-07-29,15,2,9
2020-07-30,23,4,10
2020-07-31,15,9,10
2020-08-01,4,0,2
2020-08-02,4,0,1
2020-08-03,33,14,11
2020-08-04,11,2,19
2020-08-05,38,1,10
2020-08-06,6,1,8
2020-08-07,25,2,19
2020-08-08,12,1,5
2020-08-09,7,0,2
2020-08-10,9,0,12
2020-08-11,17,1,28
2020-08-12,11,0,12
2020-08-13,22,0,11
2020-08-14,24,1,7
2020-08-15,5,0,0
2020-08-16,2,0,2
2020-08-17,12,0,28
2020-08-18,25,0,13
2020-08-19,14,0,7
2020-08-20,4,4,16
2020-08-21,7,3,8
2020-08-22,2,0,2
2020-08-23,4,0,3
2020-08-24,12,3,13
2020-08-25,11,3,20
2020-08-26,12,1,19
2020-08-27,11,2,12
2020-08-28,7,2,9
2020-08-29,1,0,3
2020-08-30,0,0,6
2020-08-31,4,1,15
2020-09-01,2,3,22
2020-09-02,6,3,12
2020-09-03,6,1,12
2020-09-04,3,0,8
2020-09-05,0,0,1
2020-09-06,1,0,1
2020-09-07,1,1,18
2020-09-08,6,0,9
2020-09-09,13,2,6
2020-09-10,7,0,24
2020-09-11,7,0,9
2020-09-12,0,0,1
2020-09-13,1,0,2
2020-09-14,7,9,14
2020-09-15,14,0,15
2020-09-16,10,0,11
2020-09-17,4,0,16
2020-09-18,8,4,27
2020-09-19,4,0,4
2020-09-20,1,0,3
2020-09-21,6,1,16
2020-09-22,6,7,24
2020-09-23,2,1,8
2020-09-24,5,3,15
2020-09-25,5,1,19
2020-09-26,3,0,0
2020-09-27,2,0,2
2020-09-28,7,4,14
2020-09-29,3,6,11
2020-09-30,6,2,16
2020-10-01,5,3,27
2020-10-02,11,1,1
2020-10-03,2,1,0
2020-10-04,0,0,2
2020-10-05,3,6,19
2020-10-06,7,5,16
2020-10-07,4,9,13
2020-10-08,9,1,8
2020-10-09,5,2,14
2020-10-10,0,0,2
2020-10-11,0,1,3
2020-10-12,2,4,11
2020-10-13,10,3,10
2020-10-14,3,7,12
2020-10-15,3,1,13
2020-10-16,3,5,12
2020-10-17,2,0,3
2020-10-18,0,0,1
2020-10-19,4,0,17
2020-10-20,5,2,14
2020-10-21,10,7,24
2020-10-22,15,7,22
2020-10-23,9,6,11
2020-10-24,3,0,2
2020-10-25,3,0,1
2020-10-26,9,6,26
2020-10-27,8,7,21
2020-10-28,9,1,11
2020-10-29,3,0,21
2020-10-30,5,10,10
2020-10-31,0,0,0
2020-11-01,15,0,2
2020-11-02,2,2,15
2020-11-03,5,2,14
2020-11-04,1,2,13
2020-11-05,4,2,10
2020-11-06,6,6,19
2020-11-07,8,0,2
2020-11-08,2,0,7
2020-11-09,3,7,19
2020-11-10,8,3,22
2020-11-11,4,0,11
2020-11-12,5,2,9
2020-11-13,7,0,11
2020-11-14,3,0,0
2020-11-15,0,0,1
2020-11-16,5,6,10
2020-11-17,6,0,14
2020-11-18,6,4,26
2020-11-19,5,4,19
2020-11-20,5,3,6
2020-11-21,0,0,0
2020-11-22,0,0,1
2020-11-23,3,0,17
2020-11-24,4,0,10
2020-11-25,5,0,5
2020-11-26,3,2,6
2020-11-27,1,5,12
2020-11-28,0,0,1
2020-11-29,0,0,3
2020-11-30,5,3,15
2020-12-01,3,6,11
2020-12-02,3,6,7
2020-12-03,6,4,7
2020-12-04,10,4,5
2020-12-05,2,1,2
2020-12-06,1,0,1
2020-12-07,2,2,11
2020-12-08,4,3,9
2020-12-09,4,3,10
2020-12-10,2,3,7
2020-12-11,5,2,15
2020-12-12,1,2,0
2020-12-13,0,0,0
2020-12-14,11,2,10
2020-12-15,4,2,19
2020-12-16,2,1,10
2020-12-17,2,1,12
2020-12-18,2,0,9
2020-12-19,3,0,3
2020-12-20,0,1,1
2020-12-21,4,0,9
2020-12-22,2,2,10
2020-12-23,2,2,6
2020-12-24,2,0,8
2020-12-25,0,0,2
2020-12-26,0,0,0
2020-12-27,0,0,1
2020-12-28,2,0,3
2020-12-29,2,0,3
2020-12-30,1,0,1
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,1,0,3
2021-01-03,0,0,1
2021-01-04,2,4,12
2021-01-05,6,1,13
2021-01-06,3,0,15
2021-01-07,3,2,9
2021-01-08,6,2,7
2021-01-09,2,0,0
2021-01-10,0,0,2
2021-01-11,2,1,16
2021-01-12,7,0,13
2021-01-13,5,0,14
2021-01-14,7,3,11
2021-01-15,4,2,5
2021-01-16,3,0,0
2021-01-17,0,0,0
2021-01-18,0,1,3
2021-01-19,6,2,13
2021-01-20,10,5,17
2021-01-21,3,1,11
2021-01-22,6,3,5
2021-01-23,2,0,2
2021-01-24,2,0,0
2021-01-25,8,4,7
2021-01-26,2,3,13
2021-01-27,3,5,21
2021-01-28,2,6,11
2021-01-29,4,4,6
2021-01-30,1,0,1
2021-01-31,1,0,2
2021-02-01,3,3,11
2021-02-02,7,5,9
2021-02-03,4,1,11
2021-02-04,2,6,14
2021-02-05,4,1,7
2021-02-06,1,0,0
2021-02-07,2,0,0
2021-02-08,4,1,25
2021-02-09,5,3,16
2021-02-10,2,2,9
2021-02-11,4,6,8
2021-02-12,8,5,4
2021-02-13,0,0,6
2021-02-14,0,0,0
2021-02-15,2,4,12
2021-02-16,4,4,5
2021-02-17,4,0,8
2021-02-18,4,1,6
2021-02-19,4,1,15
2021-02-20,0,0,3
2021-02-21,0,0,1
2021-02-22,7,9,9
2021-02-23,3,5,3
2021-02-24,9,1,6
2021-02-25,7,4,11
2021-02-26,7,2,4
2021-02-27,2,0,5
2021-02-28,3,0,3
2021-03-01,5,17,5
2021-03-02,10,3,1
2021-03-03,8,3,9
2021-03-04,2,3,6
2021-03-05,5,0,11
2021-03-06,1,0,3
2021-03-07,0,0,0
2021-03-08,3,2,20
2021-03-09,2,3,9
2021-03-10,7,7,8
2021-03-11,11,5,17
2021-03-12,5,6,7
2021-03-13,1,0,0
2021-03-14,2,0,0
2021-03-15,1,4,16
2021-03-16,5,3,14
2021-03-17,3,3,11
2021-03-18,6,1,14
2021-03-19,8,1,9
2021-03-20,2,4,0
2021-03-21,0,0,5
2021-03-22,11,3,10
2021-03-23,9,0,12
2021-03-24,8,4,6
2021-03-25,6,1,7
2021-03-26,6,0,3
2021-03-27,0,0,0
2021-03-28,0,0,1
2021-03-29,7,1,11
2021-03-30,8,11,11
2021-03-31,3,3,13
2021-04-01,6,0,7
2021-04-02,9,0,1
2021-04-03,1,0,0
2021-04-04,1,0,0
2021-04-05,12,0,15
2021-04-06,7,2,12
2021-04-07,1,7,11
2021-04-08,2,4,14
2021-04-09,3,2,13
2021-04-10,1,1,0
2021-04-11,0,0,0
2021-04-12,7,3,9
2021-04-13,11,1,15
2021-04-14,5,2,10
2021-04-15,3,0,3
2021-04-16,5,1,5
2021-04-17,2,1,0
2021-04-18,0,1,0
2021-04-19,4,5,4
2021-04-20,5,4,6
2021-04-21,6,6,13
2021-04-22,3,3,7
2021-04-23,3,6,19
2021-04-24,2,0,2
2021-04-25,0,0,2
2021-04-26,5,7,20
2021-04-27,7,6,3
2021-04-28,5,4,3
2021-04-29,2,1,4
2021-04-30,7,2,19
2021-05-01,0,0,0
2021-05-02,0,0,1
2021-05-03,3,2,12
2021-05-04,10,2,8
2021-05-05,6,2,5
2021-05-06,5,1,8
2021-05-07,7,4,7
2021-05-08,2,0,0
2021-05-09,0,0,1
2021-05-10,7,4,10
2021-05-11,11,9,8
2021-05-12,3,1,9
2021-05-13,4,3,8
2021-05-14,5,1,4
2021-05-15,0,1,0
2021-05-16,0,0,0
2021-05-17,8,9,7
2021-05-18,3,2,10
2021-05-19,3,3,3
2021-05-20,7,4,6
2021-05-21,3,21,7
2021-05-22,2,3,1
2021-05-23,0,0,0
2021-05-24,8,6,7
2021-05-25,5,6,9
2021-05-26,3,5,7
2021-05-27,6,5,3
2021-05-28,6,0,3
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,0,0,4
2021-06-01,2,7,15
2021-06-02,6,1,7
2021-06-03,11,4,2
2021-06-04,6,9,2
2021-06-05,0,6,0
2021-06-06,2,1,0
2021-06-07,2,7,7
2021-06-08,4,4,11
2021-06-09,5,13,8
2021-06-10,1,9,10
2021-06-11,6,9,3
2021-06-12,2,0,0
2021-06-13,1,0,1
2021-06-14,6,3,19
2021-06-15,18,5,14
2021-06-16,9,4,6
2021-06-17,3,3,9
2021-06-18,3,2,4
2021-06-19,2,0,0
2021-06-20,2,0,0
2021-06-21,4,4,10
2021-06-22,3,1,10
2021-06-23,3,3,21
2021-06-24,12,2,5
2021-06-25,6,2,10
2021-06-26,0,0,2
2021-06-27,0,0,0
2021-06-28,3,4,13
2021-06-29,2,1,11
2021-06-30,5,1,10
2021-07-01,11,2,12
2021-07-02,3,0,7
2021-07-03,1,0,0
2021-07-04,1,0,1
2021-07-05,2,1,12
2021-07-06,0,0,9
2021-07-07,4,0,12
2021-07-08,5,1,9
2021-07-09,7,1,11
2021-07-10,2,0,3
2021-07-11,0,0,0
2021-07-12,3,3,19
2021-07-13,8,0,13
2021-07-14,2,2,11
2021-07-15,2,1,19
2021-07-16,3,3,5
2021-07-17,2,0,4
2021-07-18,0,0,0
2021-07-19,7,0,3
2021-07-20,2,2,9
2021-07-21,2,0,9
2021-07-22,6,3,4
2021-07-23,1,2,3
2021-07-24,3,0,2
2021-07-25,0,1,0
2021-07-26,5,1,10
2021-07-27,4,1,3
2021-07-28,2,2,12
2021-07-29,4,1,3
2021-07-30,2,1,6
2021-07-31,0,0,0
2021-08-01,2,0,1
2021-08-02,3,1,3
2021-08-03,12,1,3
2021-08-04,3,3,10
2021-08-05,5,0,4
2021-08-06,2,4,6
2021-08-07,1,0,0
2021-08-08,1,0,2
2021-08-09,6,1,6
2021-08-10,1,0,12
2021-08-11,10,0,3
2021-08-12,3,2,13
2021-08-13,2,1,7
2021-08-14,0,0,0
2021-08-15,0,0,0
2021-08-16,1,4,7
2021-08-17,4,3,2
2021-08-18,4,2,2
2021-08-19,4,2,1
2021-08-20,5,1,1
2021-08-21,1,0,0
2021-08-22,0,0,0
2021-08-23,5,4,9
2021-08-24,2,0,5
2021-08-25,12,0,8
2021-08-26,3,5,13
2021-08-27,4,2,8
2021-08-28,2,0,1
2021-08-29,0,0,0
2021-08-30,3,0,22
2021-08-31,5,5,21
2021-09-01,5,4,26
2021-09-02,7,5,11
2021-09-03,8,0,0
2021-09-04,0,3,0
2021-09-05,0,1,0
2021-09-06,5,7,11
2021-09-07,12,2,5
2021-09-08,3,2,13
2021-09-09,5,1,7
2021-09-10,18,2,7
2021-09-11,4,0,0
2021-09-12,3,0,0
2021-09-13,2,3,10
2021-09-14,3,6,8
2021-09-15,2,2,4
2021-09-16,6,3,11
2021-09-17,8,3,9
2021-09-18,1,0,0
2021-09-19,1,0,0
2021-09-20,10,2,10
2021-09-21,19,7,12
2021-09-22,9,1,11
2021-09-23,6,1,6
2021-09-24,10,6,10
2021-09-25,0,0,2
2021-09-26,0,1,4
2021-09-27,3,3,9
2021-09-28,5,2,2
2021-09-29,4,9,10
2021-09-30,1,5,8
2021-10-01,17,4,5
2021-10-02,7,0,0
2021-10-03,3,0,0
2021-10-04,8,4,6
2021-10-05,2,7,10
2021-10-06,1,5,12
2021-10-07,3,10,8
2021-10-08,3,5,11
2021-10-09,8,0,1
2021-10-10,0,0,0
2021-10-11,4,3,10
2021-10-12,3,2,7
2021-10-13,6,4,1
2021-10-14,4,2,10
2021-10-15,4,5,4
2021-10-16,2,0,3
2021-10-17,0,1,1
2021-10-18,6,7,10
2021-10-19,8,7,3
2021-10-20,10,12,10
2021-10-21,3,9,12
2021-10-22,9,6,9
2021-10-23,10,0,0
2021-10-24,8,1,0
2021-10-25,12,9,11
2021-10-26,11,9,14
2021-10-27,3,10,8
2021-10-28,8,5,11
2021-10-29,9,11,11
2021-10-30,0,0,0
2021-10-31,1,2,0
2021-11-01,4,9,9
2021-11-02,3,8,7
2021-11-03,3,11,11
2021-11-04,6,7,4
2021-11-05,2,8,3
2021-11-06,1,3,4
2021-11-07,1,0,0
2021-11-08,5,5,8
2021-11-09,3,6,10
2021-11-10,6,3,6
2021-11-11,4,6,7
2021-11-12,5,8,4
2021-11-13,4,0,2
2021-11-14,0,1,1
2021-11-15,4,2,8
2021-11-16,12,6,5
2021-11-17,9,5,6
2021-11-18,4,4,7
2021-11-19,8,1,5
2021-11-20,2,0,0
2021-11-21,0,3,2
2021-11-22,3,9,6
2021-11-23,7,1,1
2021-11-24,0,1,3
2021-11-25,1,2,2
2021-11-26,0,3,4
2021-11-27,0,1,0
2021-11-28,0,0,1
2021-11-29,2,5,6
2021-11-30,2,5,6
2021-12-01,3,3,6
2021-12-02,1,3,8
2021-12-03,9,1,6
2021-12-04,4,0,0
2021-12-05,0,2,1
2021-12-06,2,2,15
2021-12-07,3,5,5
2021-12-08,1,11,19
2021-12-09,4,8,10
2021-12-10,1,2,10
2021-12-11,1,0,2
2021-12-12,0,0,3
2021-12-13,7,3,19
2021-12-14,1,4,3
2021-12-15,5,1,12
2021-12-16,3,3,11
2021-12-17,2,1,8
2021-12-18,0,0,0
2021-12-19,0,2,0
2021-12-20,2,2,12
2021-12-21,3,2,17
2021-12-22,2,2,14
2021-12-23,0,0,16
2021-12-24,0,1,1
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,1,8
2021-12-28,2,0,8
2021-12-29,4,0,2
2021-12-30,0,2,6
2021-12-31,0,1,0
2022-01-01,0,1,0
2022-01-02,0,1,0
2022-01-03,0,0,7
2022-01-04,6,2,6
