,redis/redis,memcached/memcached,tarantool/tarantool
2019-03-01,22,0,6
2019-03-02,2,0,1
2019-03-03,1,0,0
2019-03-04,1,0,4
2019-03-05,1,0,4
2019-03-06,1,0,4
2019-03-07,5,0,9
2019-03-08,3,0,0
2019-03-09,2,0,0
2019-03-10,3,0,0
2019-03-11,1,0,3
2019-03-12,11,0,2
2019-03-13,15,0,20
2019-03-14,13,0,1
2019-03-15,11,0,11
2019-03-16,1,0,0
2019-03-17,0,0,0
2019-03-18,10,0,6
2019-03-19,2,0,11
2019-03-20,4,0,4
2019-03-21,17,0,3
2019-03-22,3,0,1
2019-03-23,0,0,0
2019-03-24,3,0,0
2019-03-25,0,0,2
2019-03-26,0,0,13
2019-03-27,0,0,14
2019-03-28,1,0,24
2019-03-29,0,0,1
2019-03-30,0,0,0
2019-03-31,0,0,0
2019-04-01,0,0,4
2019-04-02,0,0,29
2019-04-03,0,0,6
2019-04-04,0,0,4
2019-04-05,0,0,7
2019-04-06,0,0,0
2019-04-07,0,0,13
2019-04-08,3,0,3
2019-04-09,1,0,8
2019-04-10,2,0,12
2019-04-11,2,0,15
2019-04-12,0,0,16
2019-04-13,0,0,0
2019-04-14,0,0,0
2019-04-15,2,0,0
2019-04-16,3,1,4
2019-04-17,1,0,3
2019-04-18,0,0,9
2019-04-19,0,0,1
2019-04-20,0,0,0
2019-04-21,0,0,0
2019-04-22,0,0,0
2019-04-23,0,0,6
2019-04-24,1,0,1
2019-04-25,0,0,25
2019-04-26,8,0,2
2019-04-27,0,14,0
2019-04-28,0,0,0
2019-04-29,1,0,6
2019-04-30,0,0,4
2019-05-01,0,0,0
2019-05-02,1,0,6
2019-05-03,0,0,0
2019-05-04,0,0,0
2019-05-05,2,0,0
2019-05-06,22,0,9
2019-05-07,4,0,5
2019-05-08,4,0,1
2019-05-09,0,0,1
2019-05-10,11,0,2
2019-05-11,0,0,0
2019-05-12,0,0,0
2019-05-13,2,1,18
2019-05-14,1,0,1
2019-05-15,5,0,12
2019-05-16,0,0,1
2019-05-17,0,0,4
2019-05-18,0,0,1
2019-05-19,0,0,0
2019-05-20,0,8,8
2019-05-21,2,0,23
2019-05-22,1,0,8
2019-05-23,0,0,3
2019-05-24,0,0,0
2019-05-25,0,1,0
2019-05-26,0,0,0
2019-05-27,0,0,5
2019-05-28,0,0,6
2019-05-29,1,0,7
2019-05-30,0,0,7
2019-05-31,0,0,3
2019-06-01,0,0,0
2019-06-02,2,0,0
2019-06-03,0,0,1
2019-06-04,0,0,4
2019-06-05,2,0,0
2019-06-06,0,0,14
2019-06-07,2,0,6
2019-06-08,0,0,1
2019-06-09,0,0,5
2019-06-10,1,0,0
2019-06-11,0,0,3
2019-06-12,1,0,0
2019-06-13,2,0,13
2019-06-14,0,0,2
2019-06-15,0,0,0
2019-06-16,0,0,3
2019-06-17,0,0,1
2019-06-18,0,0,2
2019-06-19,0,0,2
2019-06-20,0,0,32
2019-06-21,0,0,5
2019-06-22,0,0,0
2019-06-23,0,0,2
2019-06-24,0,0,7
2019-06-25,1,0,8
2019-06-26,0,0,0
2019-06-27,0,0,1
2019-06-28,0,0,6
2019-06-29,1,0,0
2019-06-30,2,0,0
2019-07-01,0,0,2
2019-07-02,1,0,0
2019-07-03,3,0,2
2019-07-04,3,0,15
2019-07-05,2,0,13
2019-07-06,0,0,1
2019-07-07,4,0,0
2019-07-08,6,0,9
2019-07-09,0,0,6
2019-07-10,8,0,0
2019-07-11,0,0,16
2019-07-12,3,0,6
2019-07-13,0,0,2
2019-07-14,0,0,0
2019-07-15,1,0,4
2019-07-16,1,0,1
2019-07-17,9,0,1
2019-07-18,5,0,7
2019-07-19,3,0,5
2019-07-20,0,0,0
2019-07-21,1,0,0
2019-07-22,9,0,1
2019-07-23,7,0,0
2019-07-24,7,0,28
2019-07-25,3,0,5
2019-07-26,0,1,7
2019-07-27,0,0,0
2019-07-28,1,0,2
2019-07-29,1,0,4
2019-07-30,9,0,6
2019-07-31,6,0,7
2019-08-01,0,0,9
2019-08-02,3,0,13
2019-08-03,0,0,0
2019-08-04,0,0,0
2019-08-05,2,0,0
2019-08-06,0,0,2
2019-08-07,1,0,0
2019-08-08,1,0,1
2019-08-09,0,0,1
2019-08-10,0,0,0
2019-08-11,0,0,1
2019-08-12,0,0,0
2019-08-13,0,0,1
2019-08-14,0,0,9
2019-08-15,0,0,4
2019-08-16,0,0,4
2019-08-17,0,0,0
2019-08-18,2,0,0
2019-08-19,0,0,2
2019-08-20,0,0,13
2019-08-21,0,0,6
2019-08-22,1,0,16
2019-08-23,0,1,1
2019-08-24,0,0,0
2019-08-25,1,0,0
2019-08-26,0,0,1
2019-08-27,0,2,11
2019-08-28,0,10,5
2019-08-29,0,3,11
2019-08-30,1,0,0
2019-08-31,5,0,0
2019-09-01,0,0,0
2019-09-02,2,0,1
2019-09-03,0,0,0
2019-09-04,4,0,0
2019-09-05,4,0,0
2019-09-06,3,0,0
2019-09-07,0,0,0
2019-09-08,0,0,0
2019-09-09,0,0,2
2019-09-10,0,0,3
2019-09-11,1,0,0
2019-09-12,3,0,2
2019-09-13,3,0,4
2019-09-14,0,0,0
2019-09-15,2,0,0
2019-09-16,7,0,4
2019-09-17,4,1,3
2019-09-18,7,1,6
2019-09-19,0,2,1
2019-09-20,15,0,1
2019-09-21,0,2,0
2019-09-22,1,0,0
2019-09-23,9,0,0
2019-09-24,0,0,1
2019-09-25,6,0,4
2019-09-26,7,0,0
2019-09-27,11,0,1
2019-09-28,0,3,0
2019-09-29,0,0,0
2019-09-30,10,2,0
2019-10-01,4,6,3
2019-10-02,5,0,0
2019-10-03,5,0,0
2019-10-04,9,0,10
2019-10-05,0,0,0
2019-10-06,0,0,0
2019-10-07,12,0,0
2019-10-08,4,0,0
2019-10-09,2,0,3
2019-10-10,9,0,0
2019-10-11,0,0,0
2019-10-12,0,0,1
2019-10-13,0,0,0
2019-10-14,0,0,1
2019-10-15,3,0,2
2019-10-16,5,0,3
2019-10-17,3,5,8
2019-10-18,0,0,0
2019-10-19,0,0,0
2019-10-20,2,0,1
2019-10-21,0,0,4
2019-10-22,0,6,0
2019-10-23,27,0,2
2019-10-24,6,0,4
2019-10-25,3,0,0
2019-10-26,0,0,0
2019-10-27,0,0,0
2019-10-28,17,0,18
2019-10-29,8,0,0
2019-10-30,3,0,6
2019-10-31,11,0,1
2019-11-01,0,0,3
2019-11-02,0,0,0
2019-11-03,2,0,0
2019-11-04,20,0,0
2019-11-05,3,0,2
2019-11-06,7,0,0
2019-11-07,1,0,1
2019-11-08,1,0,3
2019-11-09,0,0,6
2019-11-10,2,2,0
2019-11-11,3,2,1
2019-11-12,1,0,8
2019-11-13,2,0,6
2019-11-14,5,0,4
2019-11-15,2,0,1
2019-11-16,0,0,0
2019-11-17,0,0,0
2019-11-18,5,0,0
2019-11-19,33,0,0
2019-11-20,5,0,0
2019-11-21,7,0,9
2019-11-22,12,0,1
2019-11-23,0,0,0
2019-11-24,0,0,0
2019-11-25,4,0,0
2019-11-26,1,0,1
2019-11-27,0,0,9
2019-11-28,2,0,0
2019-11-29,1,0,0
2019-11-30,0,0,0
2019-12-01,2,0,0
2019-12-02,9,0,5
2019-12-03,2,0,1
2019-12-04,0,0,0
2019-12-05,3,0,5
2019-12-06,1,0,2
2019-12-07,0,0,0
2019-12-08,0,0,0
2019-12-09,4,0,0
2019-12-10,1,0,8
2019-12-11,5,0,3
2019-12-12,10,0,0
2019-12-13,1,0,0
2019-12-14,0,0,0
2019-12-15,0,0,0
2019-12-16,4,0,1
2019-12-17,13,0,2
2019-12-18,10,0,0
2019-12-19,4,0,3
2019-12-20,1,0,0
2019-12-21,2,0,0
2019-12-22,0,0,0
2019-12-23,2,0,3
2019-12-24,0,0,4
2019-12-25,0,0,4
2019-12-26,2,0,0
2019-12-27,0,0,3
2019-12-28,0,0,1
2019-12-29,5,0,2
2019-12-30,2,0,27
2019-12-31,4,0,17
2020-01-01,2,0,0
2020-01-02,0,0,0
2020-01-03,0,0,0
2020-01-04,1,0,0
2020-01-05,0,0,0
2020-01-06,1,0,0
2020-01-07,4,0,0
2020-01-08,6,0,0
2020-01-09,3,0,0
2020-01-10,7,0,2
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,8,0,5
2020-01-14,2,20,2
2020-01-15,2,0,1
2020-01-16,2,0,1
2020-01-17,1,0,1
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,1,0,1
2020-01-21,0,4,4
2020-01-22,0,0,0
2020-01-23,2,0,0
2020-01-24,0,0,1
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,1,0,0
2020-01-28,2,0,0
2020-01-29,5,0,2
2020-01-30,5,0,0
2020-01-31,0,0,0
2020-02-01,0,12,0
2020-02-02,1,0,0
2020-02-03,4,0,0
2020-02-04,9,0,1
2020-02-05,10,0,1
2020-02-06,38,0,2
2020-02-07,4,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,5,0,0
2020-02-11,2,0,0
2020-02-12,4,0,4
2020-02-13,2,0,0
2020-02-14,8,0,3
2020-02-15,0,4,3
2020-02-16,3,0,0
2020-02-17,0,0,1
2020-02-18,2,0,2
2020-02-19,2,0,2
2020-02-20,6,0,10
2020-02-21,4,0,1
2020-02-22,4,0,0
2020-02-23,4,0,0
2020-02-24,5,0,6
2020-02-25,3,0,2
2020-02-26,0,3,0
2020-02-27,20,0,5
2020-02-28,8,0,4
2020-02-29,1,0,0
2020-03-01,0,0,0
2020-03-02,5,0,4
2020-03-03,1,0,1
2020-03-04,7,0,3
2020-03-05,5,0,6
2020-03-06,1,7,2
2020-03-07,2,2,0
2020-03-08,0,1,1
2020-03-09,1,2,0
2020-03-10,2,6,2
2020-03-11,2,6,0
2020-03-12,5,2,1
2020-03-13,7,0,0
2020-03-14,0,0,0
2020-03-15,4,0,0
2020-03-16,9,1,12
2020-03-17,0,2,3
2020-03-18,9,0,1
2020-03-19,0,0,1
2020-03-20,5,0,19
2020-03-21,0,0,0
2020-03-22,3,0,0
2020-03-23,13,2,1
2020-03-24,0,0,0
2020-03-25,5,1,1
2020-03-26,3,6,11
2020-03-27,9,2,1
2020-03-28,3,2,0
2020-03-29,2,0,1
2020-03-30,5,0,0
2020-03-31,11,0,0
2020-04-01,7,0,0
2020-04-02,21,0,11
2020-04-03,9,0,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,15,0,1
2020-04-07,2,0,8
2020-04-08,3,0,8
2020-04-09,8,1,0
2020-04-10,2,0,13
2020-04-11,1,5,1
2020-04-12,1,8,0
2020-04-13,2,1,9
2020-04-14,8,1,3
2020-04-15,5,0,18
2020-04-16,5,0,4
2020-04-17,5,0,18
2020-04-18,1,0,1
2020-04-19,1,0,0
2020-04-20,8,0,22
2020-04-21,4,0,1
2020-04-22,8,0,0
2020-04-23,10,0,0
2020-04-24,4,0,2
2020-04-25,3,0,0
2020-04-26,0,0,0
2020-04-27,7,0,2
2020-04-28,11,0,5
2020-04-29,7,3,1
2020-04-30,7,3,3
2020-05-01,3,3,1
2020-05-02,4,0,0
2020-05-03,1,0,0
2020-05-04,14,0,0
2020-05-05,14,0,0
2020-05-06,6,0,0
2020-05-07,1,0,1
2020-05-08,1,0,6
2020-05-09,4,0,0
2020-05-10,2,0,0
2020-05-11,3,0,0
2020-05-12,4,0,4
2020-05-13,2,6,0
2020-05-14,12,0,0
2020-05-15,2,0,5
2020-05-16,1,0,0
2020-05-17,4,1,0
2020-05-18,7,0,10
2020-05-19,5,0,2
2020-05-20,4,0,20
2020-05-21,11,0,8
2020-05-22,7,0,1
2020-05-23,0,0,0
2020-05-24,2,0,0
2020-05-25,4,0,2
2020-05-26,6,0,0
2020-05-27,9,3,4
2020-05-28,9,0,7
2020-05-29,3,0,1
2020-05-30,0,0,0
2020-05-31,3,0,0
2020-06-01,0,0,2
2020-06-02,1,0,2
2020-06-03,1,0,7
2020-06-04,0,0,1
2020-06-05,0,0,0
2020-06-06,3,0,0
2020-06-07,1,0,0
2020-06-08,9,0,13
2020-06-09,3,2,18
2020-06-10,2,0,6
2020-06-11,3,0,2
2020-06-12,3,0,0
2020-06-13,0,0,0
2020-06-14,1,0,1
2020-06-15,2,0,3
2020-06-16,4,0,3
2020-06-17,1,0,1
2020-06-18,3,0,0
2020-06-19,0,0,1
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,5,0,10
2020-06-23,3,0,2
2020-06-24,2,0,0
2020-06-25,3,0,0
2020-06-26,0,0,5
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,5
2020-06-30,0,0,1
2020-07-01,0,2,0
2020-07-02,0,7,6
2020-07-03,0,0,3
2020-07-04,0,0,0
2020-07-05,0,1,0
2020-07-06,0,0,5
2020-07-07,0,0,1
2020-07-08,0,0,23
2020-07-09,0,0,4
2020-07-10,17,0,30
2020-07-11,2,0,5
2020-07-12,1,0,1
2020-07-13,4,0,8
2020-07-14,3,0,4
2020-07-15,6,0,7
2020-07-16,4,0,6
2020-07-17,1,0,8
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,5,0,8
2020-07-21,7,0,2
2020-07-22,4,0,5
2020-07-23,3,0,0
2020-07-24,1,0,1
2020-07-25,0,0,0
2020-07-26,1,0,0
2020-07-27,3,0,1
2020-07-28,5,0,8
2020-07-29,4,0,3
2020-07-30,4,0,2
2020-07-31,3,0,2
2020-08-01,0,0,0
2020-08-02,1,0,0
2020-08-03,0,0,0
2020-08-04,3,0,0
2020-08-05,4,0,0
2020-08-06,7,0,0
2020-08-07,2,0,0
2020-08-08,7,0,0
2020-08-09,4,0,0
2020-08-10,0,0,0
2020-08-11,18,0,1
2020-08-12,6,0,2
2020-08-13,1,0,1
2020-08-14,1,0,0
2020-08-15,3,0,1
2020-08-16,1,0,0
2020-08-17,2,0,1
2020-08-18,5,0,0
2020-08-19,1,0,0
2020-08-20,6,0,1
2020-08-21,1,0,0
2020-08-22,0,0,0
2020-08-23,3,0,0
2020-08-24,3,0,8
2020-08-25,2,0,1
2020-08-26,0,0,0
2020-08-27,4,0,0
2020-08-28,2,0,0
2020-08-29,0,0,0
2020-08-30,1,1,0
2020-08-31,2,0,4
2020-09-01,2,0,0
2020-09-02,3,0,0
2020-09-03,3,0,0
2020-09-04,0,0,0
2020-09-05,0,0,0
2020-09-06,8,0,0
2020-09-07,3,0,0
2020-09-08,5,0,5
2020-09-09,11,0,4
2020-09-10,4,0,0
2020-09-11,0,0,9
2020-09-12,0,0,1
2020-09-13,3,0,1
2020-09-14,0,0,2
2020-09-15,2,0,4
2020-09-16,4,0,0
2020-09-17,2,0,4
2020-09-18,0,0,8
2020-09-19,1,0,0
2020-09-20,3,0,0
2020-09-21,5,0,0
2020-09-22,6,0,0
2020-09-23,4,0,13
2020-09-24,6,0,1
2020-09-25,3,0,8
2020-09-26,0,0,1
2020-09-27,3,0,0
2020-09-28,1,0,4
2020-09-29,6,0,11
2020-09-30,3,0,1
2020-10-01,3,0,5
2020-10-02,2,0,2
2020-10-03,0,0,0
2020-10-04,2,0,0
2020-10-05,3,0,0
2020-10-06,1,0,5
2020-10-07,1,0,2
2020-10-08,2,0,0
2020-10-09,0,0,0
2020-10-10,0,0,0
2020-10-11,8,0,0
2020-10-12,1,0,1
2020-10-13,4,0,12
2020-10-14,1,0,12
2020-10-15,0,0,5
2020-10-16,0,0,33
2020-10-17,0,0,2
2020-10-18,5,0,0
2020-10-19,2,0,0
2020-10-20,2,0,3
2020-10-21,0,0,5
2020-10-22,4,0,9
2020-10-23,1,0,1
2020-10-24,0,0,0
2020-10-25,3,0,0
2020-10-26,3,3,0
2020-10-27,8,0,0
2020-10-28,8,4,0
2020-10-29,0,2,1
2020-10-30,0,7,5
2020-10-31,0,0,0
2020-11-01,1,0,7
2020-11-02,1,2,2
2020-11-03,3,0,4
2020-11-04,8,0,0
2020-11-05,4,0,0
2020-11-06,0,0,0
2020-11-07,0,0,0
2020-11-08,3,0,0
2020-11-09,2,0,0
2020-11-10,3,0,9
2020-11-11,4,2,1
2020-11-12,2,1,1
2020-11-13,1,1,1
2020-11-14,0,0,0
2020-11-15,1,0,0
2020-11-16,2,0,0
2020-11-17,4,0,1
2020-11-18,1,0,5
2020-11-19,0,0,2
2020-11-20,1,5,1
2020-11-21,0,0,0
2020-11-22,5,0,1
2020-11-23,2,0,20
2020-11-24,2,0,0
2020-11-25,4,0,0
2020-11-26,1,0,10
2020-11-27,0,0,0
2020-11-28,0,0,0
2020-11-29,1,0,0
2020-11-30,3,0,0
2020-12-01,3,0,2
2020-12-02,4,0,2
2020-12-03,3,0,4
2020-12-04,0,0,16
2020-12-05,0,0,0
2020-12-06,11,0,2
2020-12-07,3,0,3
2020-12-08,7,0,1
2020-12-09,3,0,0
2020-12-10,0,0,3
2020-12-11,1,1,6
2020-12-12,2,0,0
2020-12-13,11,0,0
2020-12-14,3,0,0
2020-12-15,2,0,0
2020-12-16,1,0,4
2020-12-17,6,0,0
2020-12-18,1,0,0
2020-12-19,0,0,1
2020-12-20,0,0,1
2020-12-21,1,0,9
2020-12-22,5,0,10
2020-12-23,6,0,6
2020-12-24,22,0,12
2020-12-25,3,0,20
2020-12-26,0,0,1
2020-12-27,3,0,3
2020-12-28,0,0,10
2020-12-29,0,0,9
2020-12-30,1,0,5
2020-12-31,1,0,0
2021-01-01,1,0,0
2021-01-02,1,0,0
2021-01-03,4,0,0
2021-01-04,5,0,0
2021-01-05,3,0,0
2021-01-06,2,0,0
2021-01-07,4,0,0
2021-01-08,6,0,0
2021-01-09,3,0,0
2021-01-10,0,0,0
2021-01-11,0,0,0
2021-01-12,4,0,0
2021-01-13,4,0,0
2021-01-14,1,0,8
2021-01-15,3,0,9
2021-01-16,0,0,0
2021-01-17,2,0,0
2021-01-18,1,0,3
2021-01-19,6,0,0
2021-01-20,7,0,1
2021-01-21,4,0,4
2021-01-22,3,0,1
2021-01-23,1,0,0
2021-01-24,0,0,0
2021-01-25,1,0,8
2021-01-26,4,0,0
2021-01-27,3,0,8
2021-01-28,9,0,0
2021-01-29,3,0,2
2021-01-30,1,0,0
2021-01-31,3,0,0
2021-02-01,0,0,2
2021-02-02,3,0,1
2021-02-03,1,0,0
2021-02-04,3,0,3
2021-02-05,3,0,0
2021-02-06,0,0,0
2021-02-07,5,0,0
2021-02-08,5,0,6
2021-02-09,3,0,2
2021-02-10,2,0,0
2021-02-11,2,0,0
2021-02-12,0,0,6
2021-02-13,0,0,0
2021-02-14,1,0,0
2021-02-15,5,0,1
2021-02-16,5,0,0
2021-02-17,2,0,1
2021-02-18,0,0,7
2021-02-19,1,0,2
2021-02-20,1,0,0
2021-02-21,3,0,0
2021-02-22,6,0,0
2021-02-23,3,0,0
2021-02-24,8,0,3
2021-02-25,2,0,0
2021-02-26,1,0,2
2021-02-27,0,0,0
2021-02-28,3,0,3
2021-03-01,6,0,0
2021-03-02,2,0,15
2021-03-03,3,0,4
2021-03-04,3,0,1
2021-03-05,3,0,2
2021-03-06,0,0,0
2021-03-07,2,0,0
2021-03-08,5,0,2
2021-03-09,4,0,0
2021-03-10,7,0,2
2021-03-11,4,0,4
2021-03-12,1,0,2
2021-03-13,0,0,0
2021-03-14,2,0,0
2021-03-15,1,0,12
2021-03-16,9,0,3
2021-03-17,4,0,3
2021-03-18,0,0,1
2021-03-19,0,0,10
2021-03-20,0,0,0
2021-03-21,0,0,0
2021-03-22,7,0,3
2021-03-23,2,0,0
2021-03-24,7,0,17
2021-03-25,5,0,2
2021-03-26,2,0,1
2021-03-27,0,0,0
2021-03-28,2,0,0
2021-03-29,3,0,3
2021-03-30,7,0,0
2021-03-31,2,0,4
2021-04-01,8,0,0
2021-04-02,0,0,7
2021-04-03,0,0,0
2021-04-04,1,0,0
2021-04-05,2,0,17
2021-04-06,4,0,0
2021-04-07,2,0,6
2021-04-08,0,0,3
2021-04-09,0,0,0
2021-04-10,1,0,0
2021-04-11,1,0,0
2021-04-12,1,0,6
2021-04-13,8,0,8
2021-04-14,2,0,31
2021-04-15,4,0,60
2021-04-16,1,0,2
2021-04-17,0,0,2
2021-04-18,3,0,0
2021-04-19,6,0,2
2021-04-20,4,0,1
2021-04-21,7,0,21
2021-04-22,2,0,2
2021-04-23,0,0,0
2021-04-24,2,0,0
2021-04-25,7,0,0
2021-04-26,7,0,3
2021-04-27,5,0,4
2021-04-28,3,0,1
2021-04-29,2,0,0
2021-04-30,0,0,1
2021-05-01,0,0,0
2021-05-02,1,0,0
2021-05-03,6,0,0
2021-05-04,2,0,2
2021-05-05,1,0,0
2021-05-06,3,0,0
2021-05-07,1,0,0
2021-05-08,0,0,0
2021-05-09,3,0,0
2021-05-10,3,0,0
2021-05-11,1,0,0
2021-05-12,0,0,0
2021-05-13,1,0,1
2021-05-14,1,0,12
2021-05-15,1,0,0
2021-05-16,0,0,0
2021-05-17,3,0,3
2021-05-18,8,0,1
2021-05-19,5,0,3
2021-05-20,3,0,1
2021-05-21,0,0,0
2021-05-22,1,0,0
2021-05-23,1,0,1
2021-05-24,1,0,3
2021-05-25,0,0,1
2021-05-26,1,0,3
2021-05-27,0,0,2
2021-05-28,0,0,1
2021-05-29,0,0,1
2021-05-30,3,0,0
2021-05-31,0,0,0
2021-06-01,6,0,8
2021-06-02,2,0,3
2021-06-03,2,0,4
2021-06-04,1,0,0
2021-06-05,0,0,0
2021-06-06,3,0,0
2021-06-07,4,0,4
2021-06-08,5,13,0
2021-06-09,1,1,0
2021-06-10,2,3,6
2021-06-11,0,0,1
2021-06-12,0,0,8
2021-06-13,3,0,0
2021-06-14,5,0,0
2021-06-15,5,0,2
2021-06-16,6,0,15
2021-06-17,4,0,1
2021-06-18,0,0,5
2021-06-19,0,0,0
2021-06-20,4,0,0
2021-06-21,2,0,2
2021-06-22,10,0,3
2021-06-23,2,0,5
2021-06-24,5,0,3
2021-06-25,0,0,0
2021-06-26,1,0,0
2021-06-27,1,0,0
2021-06-28,1,0,0
2021-06-29,5,0,0
2021-06-30,8,0,0
2021-07-01,3,0,3
2021-07-02,0,0,6
2021-07-03,1,0,0
2021-07-04,2,0,0
2021-07-05,7,0,4
2021-07-06,3,0,0
2021-07-07,1,0,4
2021-07-08,0,0,1
2021-07-09,1,0,5
2021-07-10,1,0,0
2021-07-11,4,0,0
2021-07-12,0,0,3
2021-07-13,1,0,0
2021-07-14,3,0,4
2021-07-15,1,0,1
2021-07-16,1,0,2
2021-07-17,2,0,0
2021-07-18,4,0,0
2021-07-19,2,0,4
2021-07-20,1,0,5
2021-07-21,1,0,6
2021-07-22,1,0,2
2021-07-23,0,0,0
2021-07-24,0,0,0
2021-07-25,1,6,0
2021-07-26,1,0,0
2021-07-27,0,0,1
2021-07-28,0,0,2
2021-07-29,4,0,12
2021-07-30,3,0,5
2021-07-31,0,0,0
2021-08-01,3,0,0
2021-08-02,7,0,6
2021-08-03,4,0,0
2021-08-04,4,0,4
2021-08-05,10,1,9
2021-08-06,1,1,18
2021-08-07,1,1,0
2021-08-08,3,0,0
2021-08-09,4,2,24
2021-08-10,6,9,6
2021-08-11,1,0,2
2021-08-12,3,0,10
2021-08-13,0,0,10
2021-08-14,1,0,19
2021-08-15,1,0,0
2021-08-16,0,0,3
2021-08-17,0,0,6
2021-08-18,2,0,35
2021-08-19,0,0,25
2021-08-20,1,0,10
2021-08-21,0,0,0
2021-08-22,3,0,0
2021-08-23,1,0,0
2021-08-24,1,0,0
2021-08-25,1,0,1
2021-08-26,0,0,0
2021-08-27,0,0,1
2021-08-28,0,0,0
2021-08-29,2,0,0
2021-08-30,2,0,0
2021-08-31,1,0,0
2021-09-01,0,0,8
2021-09-02,3,0,1
2021-09-03,1,0,0
2021-09-04,0,0,0
2021-09-05,1,0,0
2021-09-06,1,0,0
2021-09-07,1,0,0
2021-09-08,2,0,4
2021-09-09,11,0,5
2021-09-10,1,0,6
2021-09-11,1,0,0
2021-09-12,1,0,0
2021-09-13,3,0,0
2021-09-14,3,0,2
2021-09-15,5,0,0
2021-09-16,1,0,1
2021-09-17,0,0,19
2021-09-18,0,0,0
2021-09-19,2,0,0
2021-09-20,2,0,0
2021-09-21,0,0,0
2021-09-22,2,0,3
2021-09-23,5,0,1
2021-09-24,3,0,0
2021-09-25,0,0,1
2021-09-26,4,0,0
2021-09-27,1,3,6
2021-09-28,0,1,5
2021-09-29,2,0,0
2021-09-30,3,0,5
2021-10-01,1,0,0
2021-10-02,0,0,1
2021-10-03,3,0,0
2021-10-04,9,0,0
2021-10-05,2,1,3
2021-10-06,5,1,0
2021-10-07,3,0,4
2021-10-08,2,0,0
2021-10-09,0,0,0
2021-10-10,8,0,0
2021-10-11,2,0,1
2021-10-12,6,0,3
2021-10-13,2,0,0
2021-10-14,1,0,5
2021-10-15,1,0,2
2021-10-16,1,0,0
2021-10-17,4,0,0
2021-10-18,5,0,2
2021-10-19,3,0,0
2021-10-20,3,0,5
2021-10-21,2,0,4
2021-10-22,0,0,4
2021-10-23,0,0,0
2021-10-24,3,0,0
2021-10-25,6,0,4
2021-10-26,4,0,3
2021-10-27,3,0,2
2021-10-28,1,0,19
2021-10-29,1,0,1
2021-10-30,0,0,0
2021-10-31,5,0,3
2021-11-01,3,0,3
2021-11-02,7,0,12
2021-11-03,3,1,2
2021-11-04,4,0,0
2021-11-05,1,0,0
2021-11-06,0,0,0
2021-11-07,2,0,0
2021-11-08,3,0,8
2021-11-09,3,0,0
2021-11-10,2,0,4
2021-11-11,4,0,58
2021-11-12,0,0,0
2021-11-13,1,0,0
2021-11-14,0,0,0
