,huggingface/transformers,flairNLP/flair,allenai/allennlp
2019-05-18,4,2,0
2019-05-19,0,0,0
2019-05-20,0,5,2
2019-05-21,0,8,3
2019-05-22,1,3,0
2019-05-23,3,2,1
2019-05-24,0,4,0
2019-05-25,0,0,0
2019-05-26,0,0,0
2019-05-27,2,11,0
2019-05-28,0,6,1
2019-05-29,0,4,1
2019-05-30,4,12,4
2019-05-31,8,0,1
2019-06-01,11,0,0
2019-06-02,0,0,0
2019-06-03,3,0,1
2019-06-04,0,0,0
2019-06-05,0,0,0
2019-06-06,6,0,1
2019-06-07,0,0,3
2019-06-08,0,0,0
2019-06-09,0,0,0
2019-06-10,1,0,3
2019-06-11,3,3,1
2019-06-12,1,10,3
2019-06-13,0,6,1
2019-06-14,14,2,6
2019-06-15,5,0,0
2019-06-16,0,0,0
2019-06-17,10,5,4
2019-06-18,32,0,4
2019-06-19,12,10,1
2019-06-20,10,5,5
2019-06-21,5,4,3
2019-06-22,7,0,1
2019-06-23,2,0,0
2019-06-24,5,5,1
2019-06-25,4,0,1
2019-06-26,9,1,2
2019-06-27,3,3,2
2019-06-28,5,0,3
2019-06-29,2,0,0
2019-06-30,0,0,0
2019-07-01,1,2,3
2019-07-02,9,0,0
2019-07-03,9,1,1
2019-07-04,3,2,0
2019-07-05,19,2,0
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,3,2,2
2019-07-09,17,0,5
2019-07-10,6,2,3
2019-07-11,17,0,1
2019-07-12,11,0,1
2019-07-13,4,4,0
2019-07-14,2,0,0
2019-07-15,19,2,1
2019-07-16,23,11,2
2019-07-17,9,7,3
2019-07-18,6,8,2
2019-07-19,0,2,2
2019-07-20,1,0,1
2019-07-21,2,1,0
2019-07-22,4,5,0
2019-07-23,16,3,0
2019-07-24,3,2,1
2019-07-25,7,8,0
2019-07-26,11,3,0
2019-07-27,3,2,0
2019-07-28,0,0,0
2019-07-29,1,6,3
2019-07-30,0,4,0
2019-07-31,3,2,0
2019-08-01,1,1,0
2019-08-02,0,1,0
2019-08-03,1,1,0
2019-08-04,4,5,0
2019-08-05,20,12,0
2019-08-06,5,2,1
2019-08-07,9,5,0
2019-08-08,8,2,2
2019-08-09,3,1,0
2019-08-10,2,0,0
2019-08-11,1,1,0
2019-08-12,5,7,2
2019-08-13,4,4,7
2019-08-14,4,7,1
2019-08-15,6,4,3
2019-08-16,10,4,1
2019-08-17,2,0,0
2019-08-18,6,0,0
2019-08-19,6,4,4
2019-08-20,32,3,2
2019-08-21,13,7,4
2019-08-22,5,11,2
2019-08-23,8,29,1
2019-08-24,2,2,1
2019-08-25,0,3,0
2019-08-26,5,47,5
2019-08-27,12,7,9
2019-08-28,44,1,2
2019-08-29,6,9,3
2019-08-30,57,3,0
2019-08-31,23,0,0
2019-09-01,1,9,0
2019-09-02,8,3,0
2019-09-03,0,3,0
2019-09-04,10,10,0
2019-09-05,23,4,1
2019-09-06,6,5,4
2019-09-07,0,0,0
2019-09-08,19,7,0
2019-09-09,16,3,0
2019-09-10,10,9,1
2019-09-11,8,5,1
2019-09-12,4,1,0
2019-09-13,3,8,0
2019-09-14,0,1,2
2019-09-15,0,1,0
2019-09-16,8,13,0
2019-09-17,2,6,1
2019-09-18,18,3,1
2019-09-19,27,9,3
2019-09-20,2,10,1
2019-09-21,0,7,1
2019-09-22,1,5,0
2019-09-23,12,20,1
2019-09-24,38,4,5
2019-09-25,14,4,6
2019-09-26,40,9,2
2019-09-27,18,2,3
2019-09-28,2,5,0
2019-09-29,2,3,0
2019-09-30,3,1,6
2019-10-01,6,0,2
2019-10-02,6,1,1
2019-10-03,37,0,4
2019-10-04,10,4,4
2019-10-05,0,1,0
2019-10-06,2,3,0
2019-10-07,20,2,1
2019-10-08,17,6,0
2019-10-09,22,4,2
2019-10-10,26,1,2
2019-10-11,15,0,4
2019-10-12,2,0,0
2019-10-13,3,0,2
2019-10-14,13,3,0
2019-10-15,30,9,1
2019-10-16,8,10,3
2019-10-17,13,1,1
2019-10-18,3,1,1
2019-10-19,1,0,1
2019-10-20,2,21,0
2019-10-21,5,0,0
2019-10-22,11,6,0
2019-10-23,3,1,0
2019-10-24,7,1,2
2019-10-25,0,0,2
2019-10-26,0,0,0
2019-10-27,3,0,0
2019-10-28,9,0,3
2019-10-29,2,0,1
2019-10-30,22,0,0
2019-10-31,7,0,0
2019-11-01,2,0,0
2019-11-02,0,0,1
2019-11-03,1,0,0
2019-11-04,13,0,0
2019-11-05,18,0,1
2019-11-06,11,0,0
2019-11-07,2,0,0
2019-11-08,9,0,1
2019-11-09,2,0,0
2019-11-10,0,0,0
2019-11-11,5,0,0
2019-11-12,12,0,1
2019-11-13,0,0,3
2019-11-14,15,0,0
2019-11-15,2,0,1
2019-11-16,12,0,0
2019-11-17,0,0,1
2019-11-18,7,0,0
2019-11-19,9,0,3
2019-11-20,2,1,0
2019-11-21,6,0,1
2019-11-22,7,0,1
2019-11-23,3,0,1
2019-11-24,0,0,0
2019-11-25,7,0,0
2019-11-26,49,0,1
2019-11-27,31,21,0
2019-11-28,7,5,0
2019-11-29,8,0,0
2019-11-30,2,0,0
2019-12-01,2,0,0
2019-12-02,4,0,0
2019-12-03,41,0,2
2019-12-04,17,2,1
2019-12-05,23,0,0
2019-12-06,10,0,0
2019-12-07,1,0,0
2019-12-08,0,0,0
2019-12-09,14,1,0
2019-12-10,58,0,1
2019-12-11,29,0,1
2019-12-12,15,0,0
2019-12-13,25,0,3
2019-12-14,11,0,1
2019-12-15,2,0,0
2019-12-16,28,0,2
2019-12-17,18,1,7
2019-12-18,33,0,0
2019-12-19,26,0,3
2019-12-20,39,0,1
2019-12-21,45,0,0
2019-12-22,51,0,0
2019-12-23,28,0,2
2019-12-24,15,0,0
2019-12-25,25,0,0
2019-12-26,7,0,0
2019-12-27,7,0,0
2019-12-28,6,0,0
2019-12-29,2,0,0
2019-12-30,0,4,0
2019-12-31,0,0,0
2020-01-01,2,5,0
2020-01-02,0,0,4
2020-01-03,0,0,7
2020-01-04,1,0,0
2020-01-05,4,3,0
2020-01-06,8,0,3
2020-01-07,12,26,3
2020-01-08,5,2,3
2020-01-09,1,0,1
2020-01-10,14,1,0
2020-01-11,8,5,2
2020-01-12,0,0,0
2020-01-13,9,9,1
2020-01-14,17,3,8
2020-01-15,6,0,8
2020-01-16,15,0,3
2020-01-17,3,0,8
2020-01-18,0,2,0
2020-01-19,0,1,0
2020-01-20,4,0,2
2020-01-21,10,1,4
2020-01-22,1,5,1
2020-01-23,33,5,0
2020-01-24,8,7,2
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,9,0,3
2020-01-28,15,3,3
2020-01-29,14,1,3
2020-01-30,11,0,5
2020-01-31,18,0,3
2020-02-01,2,1,1
2020-02-02,0,0,0
2020-02-03,5,0,3
2020-02-04,13,0,6
2020-02-05,4,0,4
2020-02-06,7,0,5
2020-02-07,13,10,2
2020-02-08,0,0,1
2020-02-09,0,0,0
2020-02-10,15,2,6
2020-02-11,8,0,4
2020-02-12,6,1,4
2020-02-13,5,2,3
2020-02-14,14,0,5
2020-02-15,0,0,1
2020-02-16,1,0,1
2020-02-17,5,0,3
2020-02-18,2,0,9
2020-02-19,9,0,2
2020-02-20,11,0,5
2020-02-21,7,0,6
2020-02-22,6,0,1
2020-02-23,6,0,2
2020-02-24,13,17,2
2020-02-25,10,6,4
2020-02-26,8,2,4
2020-02-27,6,1,6
2020-02-28,0,0,1
2020-02-29,2,0,0
2020-03-01,3,0,0
2020-03-02,11,0,8
2020-03-03,14,0,6
2020-03-04,22,3,2
2020-03-05,33,1,3
2020-03-06,13,0,5
2020-03-07,0,0,2
2020-03-08,6,1,0
2020-03-09,14,0,4
2020-03-10,8,0,2
2020-03-11,47,0,1
2020-03-12,7,0,1
2020-03-13,6,0,5
2020-03-14,1,0,1
2020-03-15,0,0,0
2020-03-16,7,1,6
2020-03-17,11,0,4
2020-03-18,8,0,1
2020-03-19,23,0,0
2020-03-20,5,0,1
2020-03-21,0,0,1
2020-03-22,0,1,0
2020-03-23,9,0,3
2020-03-24,13,1,3
2020-03-25,5,1,2
2020-03-26,15,2,1
2020-03-27,10,0,1
2020-03-28,0,3,0
2020-03-29,2,5,1
2020-03-30,11,3,0
2020-03-31,16,0,0
2020-04-01,7,9,1
2020-04-02,5,1,0
2020-04-03,10,4,3
2020-04-04,7,5,5
2020-04-05,2,0,2
2020-04-06,19,4,0
2020-04-07,8,7,3
2020-04-08,6,4,1
2020-04-09,5,5,0
2020-04-10,7,3,0
2020-04-11,2,6,1
2020-04-12,0,0,0
2020-04-13,2,3,1
2020-04-14,2,2,2
2020-04-15,2,3,2
2020-04-16,12,7,10
2020-04-17,8,8,2
2020-04-18,6,0,1
2020-04-19,0,1,0
2020-04-20,10,4,4
2020-04-21,4,3,6
2020-04-22,6,6,3
2020-04-23,9,0,7
2020-04-24,6,4,5
2020-04-25,1,0,1
2020-04-26,0,8,0
2020-04-27,9,4,6
2020-04-28,14,14,8
2020-04-29,5,11,3
2020-04-30,4,2,9
2020-05-01,16,5,9
2020-05-02,11,2,0
2020-05-03,1,5,0
2020-05-04,2,0,2
2020-05-05,4,10,1
2020-05-06,7,13,0
2020-05-07,17,4,3
2020-05-08,9,1,4
2020-05-09,0,4,0
2020-05-10,3,0,0
2020-05-11,17,8,0
2020-05-12,12,6,6
2020-05-13,7,6,3
2020-05-14,14,9,2
2020-05-15,10,1,0
2020-05-16,0,0,0
2020-05-17,1,0,0
2020-05-18,19,7,3
2020-05-19,13,2,3
2020-05-20,13,2,1
2020-05-21,4,0,5
2020-05-22,15,6,2
2020-05-23,1,61,0
2020-05-24,0,10,0
2020-05-25,11,4,0
2020-05-26,11,1,3
2020-05-27,10,0,4
2020-05-28,7,3,1
2020-05-29,8,1,2
2020-05-30,0,4,0
2020-05-31,0,0,0
2020-06-01,25,4,5
2020-06-02,11,3,3
2020-06-03,7,4,2
2020-06-04,14,0,2
2020-06-05,13,17,3
2020-06-06,3,2,0
2020-06-07,1,13,0
2020-06-08,9,20,4
2020-06-09,9,5,0
2020-06-10,14,11,3
2020-06-11,6,12,2
2020-06-12,7,2,1
2020-06-13,1,2,0
2020-06-14,2,1,1
2020-06-15,14,2,1
2020-06-16,13,9,5
2020-06-17,14,4,1
2020-06-18,10,7,2
2020-06-19,5,0,1
2020-06-20,7,1,0
2020-06-21,1,0,0
2020-06-22,30,1,6
2020-06-23,11,2,1
2020-06-24,24,15,0
2020-06-25,11,8,2
2020-06-26,12,3,0
2020-06-27,2,0,1
2020-06-28,4,0,0
2020-06-29,21,1,3
2020-06-30,18,1,2
2020-07-01,17,2,3
2020-07-02,11,2,1
2020-07-03,10,8,0
2020-07-04,0,0,0
2020-07-05,0,17,0
2020-07-06,13,1,2
2020-07-07,22,1,1
2020-07-08,9,2,2
2020-07-09,10,6,1
2020-07-10,20,2,4
2020-07-11,1,0,0
2020-07-12,1,0,0
2020-07-13,7,7,3
2020-07-14,14,4,5
2020-07-15,14,5,4
2020-07-16,10,2,0
2020-07-17,11,2,3
2020-07-18,8,0,0
2020-07-19,0,0,0
2020-07-20,17,0,0
2020-07-21,24,0,1
2020-07-22,7,0,0
2020-07-23,8,1,1
2020-07-24,13,0,2
2020-07-25,0,0,0
2020-07-26,3,1,0
2020-07-27,16,0,1
2020-07-28,21,0,0
2020-07-29,9,2,0
2020-07-30,10,3,1
2020-07-31,10,0,5
2020-08-01,2,0,0
2020-08-02,1,0,0
2020-08-03,11,9,1
2020-08-04,19,6,1
2020-08-05,10,4,1
2020-08-06,8,1,0
2020-08-07,19,0,2
2020-08-08,5,0,0
2020-08-09,2,0,0
2020-08-10,12,3,2
2020-08-11,28,0,0
2020-08-12,12,20,3
2020-08-13,11,29,0
2020-08-14,7,7,0
2020-08-15,0,0,0
2020-08-16,2,1,0
2020-08-17,28,8,4
2020-08-18,13,7,1
2020-08-19,7,0,2
2020-08-20,16,1,1
2020-08-21,8,0,1
2020-08-22,2,0,0
2020-08-23,3,0,0
2020-08-24,13,1,1
2020-08-25,20,0,1
2020-08-26,19,0,2
2020-08-27,12,0,1
2020-08-28,9,0,0
2020-08-29,3,4,0
2020-08-30,6,8,0
2020-08-31,15,3,2
2020-09-01,22,2,1
2020-09-02,12,3,0
2020-09-03,12,2,1
2020-09-04,8,7,0
2020-09-05,1,1,0
2020-09-06,1,1,0
2020-09-07,18,1,0
2020-09-08,9,1,3
2020-09-09,6,0,0
2020-09-10,24,4,1
2020-09-11,9,1,1
2020-09-12,1,0,0
2020-09-13,2,0,0
2020-09-14,14,2,1
2020-09-15,15,5,0
2020-09-16,11,1,2
2020-09-17,16,0,3
2020-09-18,27,3,0
2020-09-19,4,0,1
2020-09-20,3,1,0
2020-09-21,16,7,0
2020-09-22,24,2,4
2020-09-23,8,8,1
2020-09-24,15,0,0
2020-09-25,19,2,5
2020-09-26,0,0,0
2020-09-27,2,7,0
2020-09-28,14,0,4
2020-09-29,11,0,0
2020-09-30,16,0,2
2020-10-01,27,0,0
2020-10-02,1,0,1
2020-10-03,0,0,1
2020-10-04,2,0,0
2020-10-05,19,0,1
2020-10-06,16,0,3
2020-10-07,13,5,5
2020-10-08,8,0,3
2020-10-09,14,0,1
2020-10-10,2,0,0
2020-10-11,3,0,0
2020-10-12,11,0,1
2020-10-13,10,0,1
2020-10-14,12,0,0
2020-10-15,13,1,1
2020-10-16,12,0,3
2020-10-17,3,2,0
2020-10-18,1,1,0
2020-10-19,17,2,2
2020-10-20,14,0,1
2020-10-21,24,1,1
2020-10-22,22,1,1
2020-10-23,11,2,1
2020-10-24,2,0,0
2020-10-25,1,0,0
2020-10-26,26,0,3
2020-10-27,21,0,0
2020-10-28,11,1,2
2020-10-29,21,3,4
2020-10-30,10,3,0
2020-10-31,0,1,0
2020-11-01,2,0,0
2020-11-02,15,3,2
2020-11-03,14,3,0
2020-11-04,13,1,1
2020-11-05,10,5,1
2020-11-06,19,2,0
2020-11-07,2,4,1
2020-11-08,7,1,0
2020-11-09,19,19,2
2020-11-10,22,2,3
2020-11-11,11,11,4
2020-11-12,9,22,2
2020-11-13,11,3,2
2020-11-14,0,5,0
2020-11-15,1,0,0
2020-11-16,10,0,1
2020-11-17,14,0,5
2020-11-18,26,2,2
2020-11-19,19,2,0
2020-11-20,6,8,1
2020-11-21,0,2,0
2020-11-22,1,6,0
2020-11-23,17,11,1
2020-11-24,10,5,0
2020-11-25,5,22,0
2020-11-26,6,6,0
2020-11-27,12,2,0
2020-11-28,1,2,0
2020-11-29,3,0,0
2020-11-30,15,3,0
2020-12-01,11,38,0
2020-12-02,7,0,4
2020-12-03,7,4,0
2020-12-04,5,0,0
2020-12-05,2,0,2
2020-12-06,1,0,1
2020-12-07,11,8,0
2020-12-08,9,3,0
2020-12-09,10,3,0
2020-12-10,7,4,1
2020-12-11,15,1,0
2020-12-12,0,0,1
2020-12-13,0,2,0
2020-12-14,10,5,0
2020-12-15,19,5,2
2020-12-16,10,18,2
2020-12-17,12,3,0
2020-12-18,9,0,0
2020-12-19,3,2,1
2020-12-20,1,1,0
2020-12-21,9,1,2
2020-12-22,10,1,2
2020-12-23,6,2,2
2020-12-24,8,3,0
2020-12-25,2,0,0
2020-12-26,0,6,0
2020-12-27,1,2,0
2020-12-28,3,1,0
2020-12-29,3,0,0
2020-12-30,1,1,0
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,3,5,0
2021-01-03,1,1,0
2021-01-04,12,9,0
2021-01-05,13,7,2
2021-01-06,15,4,0
2021-01-07,9,2,1
2021-01-08,7,1,1
2021-01-09,0,0,0
2021-01-10,2,0,0
2021-01-11,16,0,0
2021-01-12,13,8,0
2021-01-13,14,4,0
2021-01-14,11,1,0
2021-01-15,5,0,0
2021-01-16,0,1,0
2021-01-17,0,0,0
2021-01-18,3,0,0
2021-01-19,13,0,0
2021-01-20,17,0,2
2021-01-21,11,0,0
2021-01-22,5,0,1
2021-01-23,2,0,0
2021-01-24,0,2,0
2021-01-25,7,0,0
2021-01-26,13,0,4
2021-01-27,21,0,3
2021-01-28,11,0,3
2021-01-29,6,2,5
2021-01-30,1,0,0
2021-01-31,2,0,0
2021-02-01,11,2,0
2021-02-02,9,6,1
2021-02-03,11,2,2
2021-02-04,14,1,1
2021-02-05,7,2,2
2021-02-06,0,0,0
2021-02-07,0,0,0
2021-02-08,25,2,0
2021-02-09,16,0,1
2021-02-10,9,4,0
2021-02-11,8,1,0
2021-02-12,4,1,1
2021-02-13,6,0,0
2021-02-14,0,0,0
2021-02-15,12,0,1
2021-02-16,5,0,0
2021-02-17,8,1,2
2021-02-18,6,0,0
2021-02-19,15,0,4
2021-02-20,3,1,0
2021-02-21,1,1,0
2021-02-22,9,0,0
2021-02-23,3,0,4
2021-02-24,6,0,6
2021-02-25,11,6,1
2021-02-26,4,0,0
2021-02-27,5,0,0
2021-02-28,3,2,0
2021-03-01,5,0,1
2021-03-02,1,6,1
2021-03-03,9,15,1
2021-03-04,6,7,1
2021-03-05,11,2,1
2021-03-06,3,0,1
2021-03-07,0,0,0
2021-03-08,20,8,0
2021-03-09,9,2,1
2021-03-10,8,2,1
2021-03-11,17,4,0
2021-03-12,7,1,2
2021-03-13,0,9,0
2021-03-14,0,3,0
2021-03-15,16,9,0
2021-03-16,14,7,0
2021-03-17,11,3,0
2021-03-18,14,2,0
2021-03-19,9,26,0
2021-03-20,0,0,0
2021-03-21,5,0,0
2021-03-22,10,5,0
2021-03-23,12,7,0
2021-03-24,6,8,1
2021-03-25,7,0,1
2021-03-26,3,2,4
2021-03-27,0,0,0
2021-03-28,1,0,0
2021-03-29,11,2,0
2021-03-30,11,6,1
2021-03-31,13,5,6
2021-04-01,7,5,0
2021-04-02,1,2,1
2021-04-03,0,0,0
2021-04-04,0,3,0
2021-04-05,15,0,3
2021-04-06,12,3,1
2021-04-07,11,8,1
2021-04-08,14,4,3
2021-04-09,13,0,0
2021-04-10,0,0,0
2021-04-11,0,0,0
2021-04-12,9,0,1
2021-04-13,15,0,2
2021-04-14,10,0,7
2021-04-15,3,3,1
2021-04-16,5,7,0
2021-04-17,0,4,0
2021-04-18,0,8,0
2021-04-19,4,25,1
2021-04-20,6,5,5
2021-04-21,13,26,0
2021-04-22,7,1,3
2021-04-23,19,0,4
2021-04-24,2,0,1
2021-04-25,2,0,0
2021-04-26,20,2,1
2021-04-27,3,16,3
2021-04-28,3,0,0
2021-04-29,4,0,0
2021-04-30,19,5,0
2021-05-01,0,5,0
2021-05-02,1,2,1
2021-05-03,12,0,5
2021-05-04,8,1,0
2021-05-05,5,0,0
2021-05-06,8,0,1
2021-05-07,7,0,5
2021-05-08,0,0,0
2021-05-09,1,0,0
2021-05-10,10,0,0
2021-05-11,8,0,1
2021-05-12,9,0,0
2021-05-13,8,2,1
2021-05-14,4,4,1
2021-05-15,0,0,0
2021-05-16,0,2,0
2021-05-17,7,1,2
2021-05-18,10,0,1
2021-05-19,3,0,2
2021-05-20,6,1,0
2021-05-21,7,0,0
2021-05-22,1,0,0
2021-05-23,0,0,0
2021-05-24,7,0,0
2021-05-25,9,0,0
2021-05-26,7,0,2
2021-05-27,3,1,2
2021-05-28,3,0,1
2021-05-29,0,1,2
2021-05-30,0,0,0
2021-05-31,4,0,0
2021-06-01,15,0,2
2021-06-02,7,0,5
2021-06-03,2,0,2
2021-06-04,2,0,0
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,7,0,2
2021-06-08,11,0,0
2021-06-09,8,0,0
2021-06-10,10,0,0
2021-06-11,3,2,1
2021-06-12,0,1,0
2021-06-13,1,0,0
2021-06-14,19,4,0
2021-06-15,14,0,1
2021-06-16,6,46,0
2021-06-17,9,0,2
2021-06-18,4,1,0
2021-06-19,0,0,0
2021-06-20,0,1,0
2021-06-21,10,0,3
2021-06-22,10,0,1
2021-06-23,21,0,0
2021-06-24,5,0,2
2021-06-25,10,0,3
2021-06-26,2,0,0
2021-06-27,0,0,0
2021-06-28,13,1,0
2021-06-29,11,8,1
2021-06-30,10,8,1
2021-07-01,12,6,1
2021-07-02,7,1,0
2021-07-03,0,0,0
2021-07-04,1,1,0
2021-07-05,12,2,0
2021-07-06,9,1,0
2021-07-07,12,1,1
2021-07-08,9,9,2
2021-07-09,11,7,0
2021-07-10,3,0,0
2021-07-11,0,0,0
2021-07-12,19,0,0
2021-07-13,13,0,0
2021-07-14,11,0,0
2021-07-15,19,3,0
2021-07-16,5,0,0
2021-07-17,4,1,0
2021-07-18,0,0,0
2021-07-19,3,8,5
2021-07-20,9,1,1
2021-07-21,9,3,0
2021-07-22,4,0,0
2021-07-23,3,0,3
2021-07-24,2,0,0
2021-07-25,0,10,0
2021-07-26,10,7,1
2021-07-27,3,3,1
2021-07-28,12,7,0
2021-07-29,3,3,0
2021-07-30,6,0,1
2021-07-31,0,11,0
2021-08-01,1,0,0
2021-08-02,3,1,0
2021-08-03,3,6,1
2021-08-04,10,0,0
2021-08-05,4,0,1
2021-08-06,6,1,0
2021-08-07,0,0,0
2021-08-08,2,0,0
2021-08-09,6,0,1
2021-08-10,12,7,1
2021-08-11,3,1,0
2021-08-12,13,0,0
2021-08-13,7,0,0
2021-08-14,0,0,0
2021-08-15,0,0,0
2021-08-16,7,0,0
2021-08-17,2,13,1
2021-08-18,2,6,1
2021-08-19,1,8,2
2021-08-20,1,3,1
2021-08-21,0,13,0
2021-08-22,0,3,0
2021-08-23,9,10,2
2021-08-24,5,11,1
2021-08-25,8,24,1
2021-08-26,13,56,0
2021-08-27,8,2,2
2021-08-28,1,7,1
2021-08-29,0,15,0
2021-08-30,22,0,1
2021-08-31,21,0,0
2021-09-01,26,0,2
2021-09-02,11,0,0
2021-09-03,0,1,0
2021-09-04,0,0,0
2021-09-05,0,0,0
2021-09-06,11,3,0
2021-09-07,5,1,1
2021-09-08,13,2,1
2021-09-09,7,2,0
2021-09-10,7,2,0
2021-09-11,0,5,0
2021-09-12,0,1,0
2021-09-13,10,6,0
2021-09-14,8,6,0
2021-09-15,4,0,0
2021-09-16,11,15,0
2021-09-17,9,2,1
2021-09-18,0,0,0
2021-09-19,0,1,0
2021-09-20,10,2,0
2021-09-21,12,3,1
2021-09-22,11,0,0
2021-09-23,6,1,0
2021-09-24,10,0,0
2021-09-25,2,0,0
2021-09-26,4,0,0
2021-09-27,9,0,0
2021-09-28,2,5,0
2021-09-29,10,13,0
2021-09-30,8,6,1
2021-10-01,5,2,0
2021-10-02,0,4,0
2021-10-03,0,5,0
2021-10-04,6,5,0
2021-10-05,10,5,0
2021-10-06,12,1,0
2021-10-07,8,6,1
2021-10-08,11,0,1
2021-10-09,1,0,0
2021-10-10,0,0,0
2021-10-11,10,0,0
2021-10-12,7,4,0
2021-10-13,1,0,0
2021-10-14,10,0,0
2021-10-15,4,0,0
2021-10-16,3,0,0
2021-10-17,1,0,0
2021-10-18,10,1,0
2021-10-19,3,0,0
2021-10-20,10,13,0
2021-10-21,12,0,0
2021-10-22,9,0,2
2021-10-23,0,0,0
2021-10-24,0,4,0
2021-10-25,11,0,1
2021-10-26,14,0,0
2021-10-27,8,0,0
2021-10-28,11,0,0
2021-10-29,11,3,0
2021-10-30,0,5,0
2021-10-31,0,0,0
2021-11-01,9,0,1
2021-11-02,7,10,0
2021-11-03,11,2,0
2021-11-04,4,0,0
2021-11-05,3,0,0
2021-11-06,4,0,0
2021-11-07,0,2,0
2021-11-08,8,0,0
2021-11-09,10,1,0
2021-11-10,6,0,0
2021-11-11,7,3,0
2021-11-12,4,3,1
2021-11-13,2,31,0
2021-11-14,1,19,0
2021-11-15,8,24,0
2021-11-16,5,7,0
2021-11-17,6,11,0
2021-11-18,7,6,0
2021-11-19,5,9,0
2021-11-20,0,0,0
2021-11-21,2,2,0
2021-11-22,6,3,1
2021-11-23,1,5,1
2021-11-24,3,1,0
2021-11-25,2,6,0
2021-11-26,4,0,0
2021-11-27,0,0,0
2021-11-28,1,1,0
2021-11-29,6,1,0
2021-11-30,6,16,1
2021-12-01,6,6,2
2021-12-02,8,2,0
2021-12-03,6,1,0
2021-12-04,0,1,0
2021-12-05,1,0,0
2021-12-06,15,33,0
2021-12-07,5,3,0
2021-12-08,19,4,1
2021-12-09,10,1,2
2021-12-10,10,4,2
2021-12-11,2,0,1
2021-12-12,3,0,0
2021-12-13,19,2,0
2021-12-14,3,7,1
2021-12-15,12,12,0
2021-12-16,11,7,0
2021-12-17,8,4,1
2021-12-18,0,0,0
2021-12-19,0,0,0
2021-12-20,12,5,1
2021-12-21,17,0,0
2021-12-22,14,0,0
2021-12-23,16,1,2
2021-12-24,1,0,1
2021-12-25,0,0,0
2021-12-26,0,1,0
2021-12-27,8,5,0
2021-12-28,8,9,0
2021-12-29,2,30,0
2021-12-30,6,17,0
2021-12-31,0,5,0
2022-01-01,0,3,0
2022-01-02,0,4,0
2022-01-03,7,1,0
2022-01-04,6,2,1
2022-01-05,6,7,1
2022-01-06,16,0,0
2022-01-07,5,0,0
2022-01-08,1,5,0
2022-01-09,0,5,0
2022-01-10,30,4,0
2022-01-11,17,6,0
2022-01-12,8,2,2
2022-01-13,8,2,2
2022-01-14,11,0,0
2022-01-15,1,1,0
2022-01-16,1,3,0
2022-01-17,5,1,0
2022-01-18,19,3,0
2022-01-19,18,2,0
2022-01-20,9,2,0
2022-01-21,15,1,0
2022-01-22,0,0,0
2022-01-23,0,0,0
2022-01-24,12,0,0
2022-01-25,4,5,0
2022-01-26,8,8,0
2022-01-27,15,3,3
2022-01-28,11,8,0
