,histoire-dev/histoire,storybookjs/storybook,tajo/ladle
2022-12-09,1,50,0
2022-12-10,0,10,0
2022-12-11,0,3,0
2022-12-12,0,34,0
2022-12-13,0,76,0
2022-12-14,0,98,0
2022-12-15,2,50,2
2022-12-16,0,57,5
2022-12-17,0,2,0
2022-12-18,0,6,0
2022-12-19,12,41,0
2022-12-20,8,55,0
2022-12-21,0,21,0
2022-12-22,0,30,0
2022-12-23,4,45,0
2022-12-24,0,10,0
2022-12-25,0,13,0
2022-12-26,0,5,0
2022-12-27,0,5,0
2022-12-28,1,17,0
2022-12-29,0,36,0
2022-12-30,0,45,0
2022-12-31,0,10,0
2023-01-01,0,14,0
2023-01-02,0,11,0
2023-01-03,0,22,0
2023-01-04,0,16,0
2023-01-05,0,24,0
2023-01-06,0,33,0
2023-01-07,0,20,0
2023-01-08,0,7,0
2023-01-09,0,38,1
2023-01-10,0,68,0
2023-01-11,0,25,0
2023-01-12,0,53,0
2023-01-13,0,89,1
2023-01-14,0,28,0
2023-01-15,0,17,0
2023-01-16,0,45,0
2023-01-17,0,54,0
2023-01-18,0,42,0
2023-01-19,0,76,0
2023-01-20,0,61,0
2023-01-21,0,9,0
2023-01-22,0,23,0
2023-01-23,0,38,0
2023-01-24,0,51,1
2023-01-25,0,57,1
2023-01-26,0,38,6
2023-01-27,0,29,0
2023-01-28,0,8,0
2023-01-29,0,5,0
2023-01-30,0,45,0
2023-01-31,0,42,2
2023-02-01,0,58,0
2023-02-02,0,30,1
2023-02-03,0,34,1
2023-02-04,0,21,0
2023-02-05,16,9,6
2023-02-06,1,42,0
2023-02-07,0,39,2
2023-02-08,14,15,0
2023-02-09,3,20,13
2023-02-10,12,19,7
2023-02-11,2,6,0
2023-02-12,0,3,0
2023-02-13,0,40,2
2023-02-14,0,31,2
2023-02-15,11,55,9
2023-02-16,5,67,8
2023-02-17,7,36,4
2023-02-18,3,7,3
2023-02-19,0,5,0
2023-02-20,0,57,0
2023-02-21,0,68,0
2023-02-22,0,58,0
2023-02-23,0,55,0
2023-02-24,0,42,1
2023-02-25,0,7,0
2023-02-26,0,0,0
2023-02-27,0,44,0
2023-02-28,0,39,0
2023-03-01,0,50,0
2023-03-02,0,43,0
2023-03-03,0,43,0
2023-03-04,0,7,0
2023-03-05,0,9,2
2023-03-06,0,35,3
2023-03-07,0,31,11
2023-03-08,0,51,0
2023-03-09,0,54,0
2023-03-10,0,27,0
2023-03-11,0,0,0
2023-03-12,0,0,0
2023-03-13,0,52,0
2023-03-14,0,49,0
2023-03-15,0,31,0
2023-03-16,9,34,0
2023-03-17,2,25,0
2023-03-18,0,4,0
2023-03-19,0,2,0
2023-03-20,0,53,0
2023-03-21,0,21,1
2023-03-22,0,43,2
2023-03-23,0,39,1
2023-03-24,0,31,0
2023-03-25,0,8,0
2023-03-26,0,0,0
2023-03-27,0,14,0
2023-03-28,0,32,0
2023-03-29,0,36,0
2023-03-30,0,40,0
2023-03-31,0,36,0
2023-04-01,0,6,0
2023-04-02,0,3,0
2023-04-03,0,42,0
2023-04-04,0,35,0
2023-04-05,0,61,0
2023-04-06,0,17,1
2023-04-07,0,4,1
2023-04-08,0,3,2
2023-04-09,0,3,0
2023-04-10,0,21,0
2023-04-11,11,35,0
2023-04-12,0,35,0
2023-04-13,0,27,3
2023-04-14,6,20,1
2023-04-15,0,6,0
2023-04-16,0,5,0
2023-04-17,1,55,5
2023-04-18,0,50,1
2023-04-19,0,33,2
2023-04-20,0,28,0
2023-04-21,0,26,2
2023-04-22,0,4,0
2023-04-23,0,1,0
2023-04-24,0,29,0
2023-04-25,0,53,0
2023-04-26,0,28,0
2023-04-27,0,28,2
2023-04-28,0,39,0
2023-04-29,0,4,0
2023-04-30,0,8,0
2023-05-01,0,41,0
2023-05-02,0,14,0
2023-05-03,0,55,0
2023-05-04,0,27,0
2023-05-05,0,14,0
2023-05-06,0,1,0
2023-05-07,0,13,0
2023-05-08,0,27,0
2023-05-09,0,23,0
2023-05-10,0,37,0
2023-05-11,0,42,0
2023-05-12,0,18,0
2023-05-13,0,1,0
2023-05-14,0,4,0
2023-05-15,0,25,0
2023-05-16,0,21,0
2023-05-17,0,7,0
2023-05-18,0,17,0
2023-05-19,0,23,0
2023-05-20,0,3,0
2023-05-21,0,8,0
2023-05-22,0,30,0
2023-05-23,0,52,0
2023-05-24,0,34,0
2023-05-25,0,17,0
2023-05-26,0,52,0
2023-05-27,0,9,3
2023-05-28,0,7,0
2023-05-29,0,11,0
2023-05-30,0,40,0
2023-05-31,0,51,0
2023-06-01,0,37,0
2023-06-02,0,32,0
2023-06-03,0,9,0
2023-06-04,0,15,0
2023-06-05,0,41,0
2023-06-06,0,83,0
2023-06-07,0,118,2
2023-06-08,0,98,0
2023-06-09,0,82,0
2023-06-10,0,1,1
2023-06-11,0,2,0
2023-06-12,0,45,1
2023-06-13,6,62,2
2023-06-14,0,55,0
2023-06-15,0,43,0
2023-06-16,0,23,0
2023-06-17,0,39,0
2023-06-18,0,3,0
2023-06-19,0,63,0
2023-06-20,0,43,0
2023-06-21,0,83,0
2023-06-22,0,68,0
2023-06-23,0,47,0
2023-06-24,0,5,0
2023-06-25,0,1,0
2023-06-26,0,16,0
2023-06-27,0,23,0
2023-06-28,0,9,0
2023-06-29,0,4,0
2023-06-30,0,19,0
2023-07-01,0,0,0
2023-07-02,0,7,0
2023-07-03,0,29,0
2023-07-04,0,71,0
2023-07-05,0,56,0
2023-07-06,2,80,0
2023-07-07,0,39,0
2023-07-08,0,14,0
2023-07-09,0,12,0
2023-07-10,0,75,1
2023-07-11,0,85,0
2023-07-12,0,55,0
2023-07-13,0,37,0
2023-07-14,0,8,4
2023-07-15,2,4,0
2023-07-16,0,5,2
2023-07-17,0,21,0
2023-07-18,0,42,0
2023-07-19,0,43,0
2023-07-20,0,16,0
2023-07-21,0,40,0
2023-07-22,0,4,0
2023-07-23,0,2,0
2023-07-24,0,53,0
2023-07-25,0,55,0
2023-07-26,0,43,0
2023-07-27,0,27,0
2023-07-28,0,8,0
2023-07-29,0,7,0
2023-07-30,0,5,0
2023-07-31,0,31,0
2023-08-01,0,48,0
2023-08-02,0,25,0
2023-08-03,0,37,0
2023-08-04,0,7,0
2023-08-05,0,0,0
2023-08-06,0,2,0
2023-08-07,0,16,4
2023-08-08,1,2,0
2023-08-09,0,30,0
2023-08-10,0,23,2
2023-08-11,0,38,0
2023-08-12,0,1,0
2023-08-13,14,7,0
2023-08-14,3,12,0
2023-08-15,3,26,0
2023-08-16,3,37,0
2023-08-17,0,5,0
2023-08-18,0,16,0
2023-08-19,0,3,0
2023-08-20,0,5,0
2023-08-21,0,70,0
2023-08-22,6,34,0
2023-08-23,2,28,0
2023-08-24,0,23,0
2023-08-25,0,25,0
2023-08-26,0,1,0
2023-08-27,0,0,0
2023-08-28,0,26,0
2023-08-29,0,48,1
2023-08-30,0,17,0
2023-08-31,0,23,0
2023-09-01,0,20,0
2023-09-02,0,4,1
2023-09-03,0,3,0
2023-09-04,0,49,3
2023-09-05,0,27,6
2023-09-06,0,15,0
2023-09-07,0,7,1
2023-09-08,0,29,0
2023-09-09,0,4,0
2023-09-10,0,3,0
2023-09-11,0,19,0
2023-09-12,0,30,0
2023-09-13,0,18,0
2023-09-14,0,39,0
2023-09-15,0,29,1
2023-09-16,0,5,0
2023-09-17,0,2,7
2023-09-18,0,40,1
2023-09-19,0,64,5
2023-09-20,0,69,0
2023-09-21,0,26,2
2023-09-22,0,61,1
2023-09-23,0,5,0
2023-09-24,7,17,0
2023-09-25,1,14,1
2023-09-26,0,5,2
2023-09-27,0,0,1
2023-09-28,0,1,0
2023-09-29,0,0,0
2023-09-30,6,5,2
2023-10-01,0,2,2
2023-10-02,0,33,1
2023-10-03,0,67,8
2023-10-04,0,41,1
2023-10-05,0,61,0
2023-10-06,0,27,0
2023-10-07,1,3,0
2023-10-08,0,14,0
2023-10-09,0,45,0
2023-10-10,0,38,0
2023-10-11,0,60,0
2023-10-12,0,42,0
2023-10-13,0,24,0
2023-10-14,0,0,0
2023-10-15,0,5,0
2023-10-16,0,5,0
2023-10-17,0,34,2
2023-10-18,1,41,0
2023-10-19,0,31,0
2023-10-20,0,40,0
2023-10-21,0,1,0
2023-10-22,0,10,0
2023-10-23,0,17,0
2023-10-24,0,18,2
2023-10-25,6,15,0
2023-10-26,0,30,0
2023-10-27,0,38,0
2023-10-28,0,2,0
2023-10-29,0,0,0
2023-10-30,0,34,0
2023-10-31,0,33,2
2023-11-01,0,52,0
2023-11-02,0,76,0
2023-11-03,0,60,0
2023-11-04,0,9,0
2023-11-05,0,10,0
2023-11-06,0,30,1
2023-11-07,0,29,0
2023-11-08,0,23,0
2023-11-09,0,21,0
2023-11-10,0,25,0
2023-11-11,0,0,0
2023-11-12,0,2,0
2023-11-13,11,27,0
2023-11-14,0,20,0
2023-11-15,0,24,0
2023-11-16,1,24,0
2023-11-17,0,42,0
2023-11-18,0,4,0
2023-11-19,0,3,1
2023-11-20,0,71,1
2023-11-21,1,31,0
2023-11-22,0,60,0
2023-11-23,0,25,0
2023-11-24,0,54,0
2023-11-25,4,7,0
2023-11-26,0,3,0
2023-11-27,0,31,0
2023-11-28,0,77,2
2023-11-29,0,69,0
2023-11-30,2,55,0
2023-12-01,0,27,2
2023-12-02,0,14,0
2023-12-03,0,4,1
2023-12-04,0,35,0
2023-12-05,0,51,0
2023-12-06,0,33,0
2023-12-07,0,15,1
2023-12-08,0,15,0
2023-12-09,0,0,0
2023-12-10,0,24,0
2023-12-11,0,40,0
2023-12-12,0,26,0
2023-12-13,0,25,0
2023-12-14,0,23,0
2023-12-15,0,24,0
2023-12-16,0,1,0
2023-12-17,0,1,0
2023-12-18,0,31,0
2023-12-19,0,36,0
2023-12-20,0,9,0
2023-12-21,0,16,0
2023-12-22,0,13,0
2023-12-23,0,1,0
2023-12-24,0,4,0
2023-12-25,0,0,0
2023-12-26,0,2,0
2023-12-27,0,7,0
2023-12-28,0,31,0
2023-12-29,0,30,0
2023-12-30,0,13,0
2023-12-31,0,3,0
2024-01-01,0,6,0
2024-01-02,0,28,0
2024-01-03,0,51,0
2024-01-04,0,24,0
2024-01-05,0,60,0
2024-01-06,0,11,0
2024-01-07,0,4,0
2024-01-08,0,24,0
2024-01-09,0,43,0
2024-01-10,0,53,0
2024-01-11,0,37,0
2024-01-12,0,35,0
2024-01-13,0,24,0
2024-01-14,0,5,0
2024-01-15,6,51,1
2024-01-16,0,54,0
2024-01-17,0,36,0
2024-01-18,0,42,0
2024-01-19,0,35,0
2024-01-20,0,1,0
2024-01-21,0,3,0
2024-01-22,0,31,0
2024-01-23,0,23,0
2024-01-24,0,29,0
2024-01-25,2,25,0
2024-01-26,0,17,0
2024-01-27,0,12,0
2024-01-28,0,10,0
2024-01-29,0,25,0
2024-01-30,0,31,0
2024-01-31,0,74,0
2024-02-01,0,52,0
2024-02-02,0,15,0
2024-02-03,0,3,0
2024-02-04,4,0,0
2024-02-05,0,24,0
2024-02-06,2,32,0
2024-02-07,0,22,0
2024-02-08,0,24,0
2024-02-09,0,37,0
2024-02-10,0,5,0
2024-02-11,0,2,0
2024-02-12,0,37,0
2024-02-13,0,27,0
2024-02-14,0,10,0
2024-02-15,0,34,0
2024-02-16,0,58,0
2024-02-17,0,7,0
2024-02-18,0,9,0
2024-02-19,1,72,0
2024-02-20,0,53,0
2024-02-21,1,20,0
2024-02-22,0,21,0
2024-02-23,0,58,0
2024-02-24,0,6,0
2024-02-25,0,2,0
2024-02-26,0,51,0
2024-02-27,0,73,0
2024-02-28,0,49,0
2024-02-29,0,33,0
2024-03-01,0,29,0
2024-03-02,0,13,0
2024-03-03,0,2,0
2024-03-04,0,49,0
2024-03-05,0,64,0
2024-03-06,0,39,0
2024-03-07,0,51,0
2024-03-08,0,31,0
2024-03-09,0,1,0
2024-03-10,0,2,0
2024-03-11,0,57,0
2024-03-12,0,53,0
2024-03-13,5,50,0
2024-03-14,2,35,0
2024-03-15,0,19,0
2024-03-16,0,11,0
2024-03-17,0,26,2
2024-03-18,0,30,0
2024-03-19,0,30,0
2024-03-20,0,28,0
2024-03-21,0,61,0
2024-03-22,0,16,0
2024-03-23,0,0,0
2024-03-24,0,4,0
2024-03-25,0,18,0
2024-03-26,0,28,0
2024-03-27,0,18,0
2024-03-28,0,11,0
2024-03-29,0,9,0
2024-03-30,0,12,0
2024-03-31,0,7,0
2024-04-01,0,10,0
2024-04-02,2,24,0
2024-04-03,0,8,0
2024-04-04,0,27,0
2024-04-05,1,38,0
2024-04-06,0,1,0
2024-04-07,0,1,0
2024-04-08,2,16,0
2024-04-09,3,70,0
2024-04-10,0,72,0
2024-04-11,0,68,0
2024-04-12,0,56,0
2024-04-13,0,1,0
2024-04-14,0,2,0
2024-04-15,1,31,0
2024-04-16,0,31,0
2024-04-17,0,45,0
2024-04-18,0,41,0
2024-04-19,0,53,0
2024-04-20,0,6,0
2024-04-21,0,0,0
2024-04-22,0,25,0
2024-04-23,0,7,0
2024-04-24,0,9,0
2024-04-25,0,15,0
2024-04-26,0,10,0
2024-04-27,0,2,0
2024-04-28,0,2,0
2024-04-29,0,30,0
2024-04-30,0,44,0
2024-05-01,0,29,0
2024-05-02,0,27,0
2024-05-03,0,9,0
2024-05-04,0,10,0
2024-05-05,0,26,0
2024-05-06,0,42,0
2024-05-07,0,58,0
2024-05-08,0,21,0
2024-05-09,0,15,0
2024-05-10,0,7,0
2024-05-11,0,0,0
2024-05-12,0,8,0
2024-05-13,0,45,0
2024-05-14,0,80,0
2024-05-15,0,56,1
2024-05-16,0,18,0
2024-05-17,0,36,0
2024-05-18,0,13,0
2024-05-19,0,5,0
2024-05-20,0,8,0
2024-05-21,0,11,0
2024-05-22,0,19,0
2024-05-23,0,25,0
2024-05-24,0,24,0
2024-05-25,0,5,0
2024-05-26,0,0,0
2024-05-27,0,22,0
2024-05-28,0,4,0
2024-05-29,0,9,0
2024-05-30,0,6,1
2024-05-31,0,13,3
2024-06-01,0,0,0
2024-06-02,0,8,0
2024-06-03,0,35,0
2024-06-04,0,22,0
2024-06-05,0,31,0
2024-06-06,0,28,0
2024-06-07,0,34,0
2024-06-08,0,30,0
2024-06-09,0,14,0
2024-06-10,0,32,0
2024-06-11,0,21,0
2024-06-12,0,26,0
2024-06-13,0,25,0
2024-06-14,0,17,0
2024-06-15,0,4,0
2024-06-16,0,3,0
2024-06-17,0,14,0
2024-06-18,0,21,0
2024-06-19,0,16,0
2024-06-20,0,5,0
2024-06-21,0,8,0
2024-06-22,0,7,0
2024-06-23,0,9,0
2024-06-24,0,37,1
2024-06-25,2,48,0
2024-06-26,0,51,0
2024-06-27,0,58,0
2024-06-28,0,75,0
2024-06-29,0,2,0
2024-06-30,0,0,0
2024-07-01,0,45,0
2024-07-02,0,70,0
2024-07-03,0,90,0
2024-07-04,0,13,0
2024-07-05,0,35,0
2024-07-06,0,5,0
2024-07-07,0,7,0
2024-07-08,0,54,0
2024-07-09,0,28,0
2024-07-10,0,105,0
2024-07-11,0,46,0
2024-07-12,0,55,0
2024-07-13,0,10,0
2024-07-14,0,1,0
2024-07-15,0,35,0
2024-07-16,0,26,0
2024-07-17,0,20,0
2024-07-18,0,18,0
2024-07-19,0,39,0
2024-07-20,0,1,0
2024-07-21,0,3,0
2024-07-22,0,8,0
2024-07-23,0,18,0
2024-07-24,0,22,0
2024-07-25,0,22,0
2024-07-26,0,9,0
2024-07-27,0,2,0
2024-07-28,0,4,0
2024-07-29,0,40,0
2024-07-30,0,41,0
2024-07-31,0,45,0
2024-08-01,0,40,0
2024-08-02,0,29,0
2024-08-03,0,13,0
2024-08-04,0,3,0
2024-08-05,0,34,0
2024-08-06,0,52,2
2024-08-07,0,52,0
2024-08-08,0,45,0
2024-08-09,0,32,0
2024-08-10,0,6,0
2024-08-11,0,0,0
2024-08-12,0,26,0
2024-08-13,0,72,0
2024-08-14,0,62,0
2024-08-15,0,28,1
2024-08-16,0,29,0
2024-08-17,0,4,0
2024-08-18,0,3,0
2024-08-19,0,22,0
2024-08-20,0,11,0
2024-08-21,0,14,1
2024-08-22,6,26,0
2024-08-23,0,15,1
2024-08-24,0,0,0
2024-08-25,0,0,0
2024-08-26,0,25,0
2024-08-27,0,29,0
2024-08-28,0,21,0
2024-08-29,0,20,0
2024-08-30,0,13,0
2024-08-31,0,4,0
2024-09-01,0,0,0
2024-09-02,0,28,0
2024-09-03,0,19,0
2024-09-04,0,13,0
2024-09-05,0,24,0
2024-09-06,0,20,0
2024-09-07,0,6,0
2024-09-08,0,0,0
2024-09-09,0,16,0
2024-09-10,0,6,0
2024-09-11,0,21,0
2024-09-12,0,4,0
2024-09-13,0,13,0
2024-09-14,0,21,0
2024-09-15,0,4,0
2024-09-16,0,22,0
2024-09-17,0,12,0
2024-09-18,0,5,0
2024-09-19,0,6,0
2024-09-20,0,8,0
2024-09-21,0,8,0
2024-09-22,0,6,0
2024-09-23,0,25,0
2024-09-24,0,29,0
2024-09-25,0,35,0
2024-09-26,0,30,0
2024-09-27,0,20,0
2024-09-28,0,5,0
2024-09-29,0,0,0
2024-09-30,0,58,0
2024-10-01,0,42,0
2024-10-02,0,39,0
2024-10-03,0,11,0
2024-10-04,0,16,0
2024-10-05,0,1,0
2024-10-06,0,1,0
2024-10-07,1,18,2
2024-10-08,0,22,0
2024-10-09,0,24,0
2024-10-10,0,22,0
2024-10-11,0,14,0
2024-10-12,0,15,0
2024-10-13,0,5,0
2024-10-14,0,17,0
2024-10-15,0,25,0
2024-10-16,0,22,0
2024-10-17,0,16,0
2024-10-18,0,7,0
2024-10-19,0,10,0
2024-10-20,0,8,0
2024-10-21,0,35,0
2024-10-22,0,11,0
2024-10-23,0,35,0
2024-10-24,0,26,0
2024-10-25,0,14,0
2024-10-26,0,0,0
2024-10-27,0,4,0
2024-10-28,0,35,0
2024-10-29,0,33,0
2024-10-30,0,30,0
2024-10-31,0,22,0
2024-11-01,0,27,0
2024-11-02,0,5,0
2024-11-03,0,4,0
2024-11-04,0,21,0
2024-11-05,0,21,0
2024-11-06,0,6,0
2024-11-07,0,4,0
2024-11-08,0,9,0
2024-11-09,0,2,0
2024-11-10,0,2,0
2024-11-11,0,6,0
2024-11-12,0,36,4
2024-11-13,0,24,0
2024-11-14,0,37,0
2024-11-15,0,19,0
2024-11-16,0,11,0
2024-11-17,0,11,0
2024-11-18,0,34,0
2024-11-19,0,41,0
2024-11-20,0,23,0
2024-11-21,0,16,0
2024-11-22,0,37,0
2024-11-23,0,9,0
2024-11-24,0,0,0
2024-11-25,0,34,0
2024-11-26,0,51,0
2024-11-27,0,38,0
2024-11-28,0,28,0
2024-11-29,0,56,0
2024-11-30,0,8,0
2024-12-01,0,1,0
2024-12-02,0,51,0
2024-12-03,0,45,0
2024-12-04,0,49,0
2024-12-05,0,34,0
2024-12-06,0,63,0
2024-12-07,0,1,0
2024-12-08,0,2,0
2024-12-09,0,35,0
2024-12-10,0,49,0
2024-12-11,0,45,0
2024-12-12,0,37,0
2024-12-13,0,41,0
2024-12-14,0,3,0
2024-12-15,0,15,0
2024-12-16,0,61,0
2024-12-17,0,20,0
2024-12-18,0,34,0
2024-12-19,0,22,0
2024-12-20,0,26,0
2024-12-21,0,2,0
2024-12-22,0,2,0
2024-12-23,0,18,2
2024-12-24,0,18,2
2024-12-25,0,2,0
2024-12-26,0,0,0
2024-12-27,0,10,0
2024-12-28,0,2,0
2024-12-29,0,0,0
2024-12-30,0,3,0
2024-12-31,0,2,0
2025-01-01,0,0,0
2025-01-02,0,30,0
2025-01-03,0,28,2
2025-01-04,0,4,0
2025-01-05,0,10,0
2025-01-06,0,17,0
2025-01-07,0,44,0
2025-01-08,1,36,0
2025-01-09,0,27,0
2025-01-10,0,45,0
2025-01-11,0,0,0
2025-01-12,0,1,0
2025-01-13,0,29,0
2025-01-14,0,16,0
2025-01-15,0,26,0
2025-01-16,0,28,0
2025-01-17,0,37,0
2025-01-18,0,2,0
2025-01-19,0,0,0
2025-01-20,0,33,0
2025-01-21,0,18,0
2025-01-22,1,33,0
2025-01-23,0,32,0
2025-01-24,3,21,0
2025-01-25,0,0,0
2025-01-26,0,3,0
2025-01-27,0,26,0
