,etcd-io/etcd,hashicorp/consul,apache/zookeeper
2022-03-23,17,13,0
2022-03-24,6,7,0
2022-03-25,1,6,0
2022-03-26,2,1,0
2022-03-27,0,0,0
2022-03-28,1,11,1
2022-03-29,3,7,1
2022-03-30,0,12,2
2022-03-31,6,14,0
2022-04-01,3,8,1
2022-04-02,7,0,0
2022-04-03,6,0,0
2022-04-04,7,8,0
2022-04-05,5,21,1
2022-04-06,11,5,1
2022-04-07,10,13,0
2022-04-08,9,1,1
2022-04-09,5,0,1
2022-04-10,2,0,0
2022-04-11,3,14,0
2022-04-12,9,14,0
2022-04-13,6,9,0
2022-04-14,1,15,0
2022-04-15,0,5,0
2022-04-16,1,0,1
2022-04-17,2,1,0
2022-04-18,6,11,0
2022-04-19,6,3,0
2022-04-20,3,6,0
2022-04-21,4,16,0
2022-04-22,6,16,0
2022-04-23,4,0,0
2022-04-24,5,0,0
2022-04-25,6,8,0
2022-04-26,3,13,0
2022-04-27,1,34,0
2022-04-28,5,6,0
2022-04-29,2,10,0
2022-04-30,0,0,0
2022-05-01,1,0,0
2022-05-02,1,3,0
2022-05-03,3,8,0
2022-05-04,1,11,1
2022-05-05,14,8,2
2022-05-06,19,4,2
2022-05-07,4,0,0
2022-05-08,0,0,0
2022-05-09,0,17,0
2022-05-10,2,9,0
2022-05-11,4,9,0
2022-05-12,2,9,0
2022-05-13,11,11,0
2022-05-14,0,0,0
2022-05-15,0,0,0
2022-05-16,4,7,1
2022-05-17,2,7,1
2022-05-18,4,4,0
2022-05-19,2,13,0
2022-05-20,23,4,0
2022-05-21,0,0,0
2022-05-22,1,0,0
2022-05-23,0,9,0
2022-05-24,1,7,1
2022-05-25,2,16,0
2022-05-26,0,10,0
2022-05-27,1,10,0
2022-05-28,3,0,0
2022-05-29,0,0,0
2022-05-30,1,1,0
2022-05-31,0,9,0
2022-06-01,0,20,1
2022-06-02,0,5,0
2022-06-03,0,2,0
2022-06-04,1,0,0
2022-06-05,0,0,0
2022-06-06,0,11,0
2022-06-07,5,8,0
2022-06-08,2,10,0
2022-06-09,6,6,0
2022-06-10,3,20,0
2022-06-11,0,1,0
2022-06-12,0,0,0
2022-06-13,29,18,0
2022-06-14,3,23,0
2022-06-15,9,23,0
2022-06-16,4,14,0
2022-06-17,14,17,2
2022-06-18,0,1,0
2022-06-19,0,2,0
2022-06-20,2,14,1
2022-06-21,3,49,0
2022-06-22,2,16,0
2022-06-23,2,9,0
2022-06-24,4,8,2
2022-06-25,2,0,0
2022-06-26,7,1,0
2022-06-27,1,8,1
2022-06-28,2,5,0
2022-06-29,2,10,0
2022-06-30,2,2,0
2022-07-01,0,1,0
2022-07-02,2,0,0
2022-07-03,0,0,0
2022-07-04,4,9,0
2022-07-05,6,4,0
2022-07-06,2,7,0
2022-07-07,2,18,0
2022-07-08,4,5,0
2022-07-09,0,0,0
2022-07-10,1,0,0
2022-07-11,4,6,0
2022-07-12,5,8,1
2022-07-13,6,14,1
2022-07-14,0,26,0
2022-07-15,2,12,0
2022-07-16,0,0,0
2022-07-17,1,0,0
2022-07-18,1,10,0
2022-07-19,3,8,0
2022-07-20,4,18,0
2022-07-21,5,28,0
2022-07-22,1,16,0
2022-07-23,1,1,0
2022-07-24,2,0,0
2022-07-25,6,26,0
2022-07-26,13,17,1
2022-07-27,2,24,0
2022-07-28,4,20,0
2022-07-29,3,9,0
2022-07-30,0,0,0
2022-07-31,7,0,0
2022-08-01,2,23,0
2022-08-02,4,34,0
2022-08-03,1,5,0
2022-08-04,0,2,0
2022-08-05,3,20,0
2022-08-06,4,0,0
2022-08-07,0,0,0
2022-08-08,5,50,0
2022-08-09,1,30,0
2022-08-10,7,21,0
2022-08-11,3,14,0
2022-08-12,1,13,0
2022-08-13,1,0,0
2022-08-14,2,2,0
2022-08-15,5,17,0
2022-08-16,2,7,0
2022-08-17,5,5,0
2022-08-18,6,7,0
2022-08-19,1,3,0
2022-08-20,1,0,0
2022-08-21,1,0,0
2022-08-22,1,21,0
2022-08-23,4,18,0
2022-08-24,8,10,0
2022-08-25,6,21,0
2022-08-26,11,28,0
2022-08-27,5,0,0
2022-08-28,0,6,0
2022-08-29,5,30,0
2022-08-30,4,12,0
2022-08-31,4,15,0
2022-09-01,0,17,0
2022-09-02,0,9,0
2022-09-03,3,0,0
2022-09-04,1,0,1
2022-09-05,4,1,0
2022-09-06,7,19,0
2022-09-07,4,8,0
2022-09-08,3,49,0
2022-09-09,6,16,0
2022-09-10,1,0,0
2022-09-11,0,0,0
2022-09-12,1,4,0
2022-09-13,8,31,0
2022-09-14,9,20,0
2022-09-15,12,23,0
2022-09-16,13,13,0
2022-09-17,7,1,0
2022-09-18,1,0,0
2022-09-19,7,4,0
2022-09-20,49,5,0
2022-09-21,1,9,0
2022-09-22,11,4,0
2022-09-23,3,18,0
2022-09-24,1,0,0
2022-09-25,0,0,1
2022-09-26,5,3,0
2022-09-27,3,15,0
2022-09-28,4,18,0
2022-09-29,8,25,1
2022-09-30,5,32,0
2022-10-01,0,1,0
2022-10-02,0,0,0
2022-10-03,1,23,0
2022-10-04,1,33,0
2022-10-05,3,11,1
2022-10-06,2,6,0
2022-10-07,3,14,0
2022-10-08,1,0,0
2022-10-09,4,0,0
2022-10-10,3,10,0
2022-10-11,0,20,1
2022-10-12,5,17,0
2022-10-13,9,97,0
2022-10-14,6,15,0
2022-10-15,0,4,0
2022-10-16,3,0,0
2022-10-17,15,7,0
2022-10-18,1,23,0
2022-10-19,0,17,0
2022-10-20,6,16,0
2022-10-21,3,18,0
2022-10-22,3,3,0
2022-10-23,8,0,0
2022-10-24,6,21,0
2022-10-25,3,17,0
2022-10-26,10,14,0
2022-10-27,11,6,0
2022-10-28,11,5,0
2022-10-29,4,0,0
2022-10-30,1,0,0
2022-10-31,6,7,0
2022-11-01,3,2,0
2022-11-02,10,3,1
2022-11-03,2,3,1
2022-11-04,3,4,0
2022-11-05,3,0,0
2022-11-06,5,0,0
2022-11-07,10,4,0
2022-11-08,18,6,0
2022-11-09,8,7,1
2022-11-10,6,4,0
2022-11-11,11,2,0
2022-11-12,2,0,0
2022-11-13,14,0,0
2022-11-14,23,10,1
2022-11-15,16,5,0
2022-11-16,10,6,0
2022-11-17,11,11,0
2022-11-18,10,7,0
2022-11-19,0,4,0
2022-11-20,0,1,0
2022-11-21,5,6,0
2022-11-22,5,2,0
2022-11-23,9,0,0
2022-11-24,1,3,0
2022-11-25,10,1,0
2022-11-26,11,1,0
2022-11-27,5,0,0
2022-11-28,4,8,0
2022-11-29,2,8,0
2022-11-30,2,5,0
2022-12-01,7,4,0
2022-12-02,19,3,0
2022-12-03,5,3,0
2022-12-04,3,0,0
2022-12-05,7,5,0
2022-12-06,23,3,0
2022-12-07,8,4,0
2022-12-08,4,7,0
2022-12-09,7,3,0
2022-12-10,2,1,1
2022-12-11,0,0,0
2022-12-12,9,4,0
2022-12-13,28,7,1
2022-12-14,7,8,0
2022-12-15,3,5,1
2022-12-16,10,2,0
2022-12-17,3,0,0
2022-12-18,0,0,1
2022-12-19,5,9,0
2022-12-20,13,6,0
2022-12-21,1,1,0
2022-12-22,1,6,0
2022-12-23,6,1,0
2022-12-24,2,0,0
2022-12-25,1,0,0
2022-12-26,2,0,0
2022-12-27,0,0,0
2022-12-28,7,0,0
2022-12-29,11,0,0
2022-12-30,11,0,0
2022-12-31,0,0,0
2023-01-01,2,0,0
2023-01-02,0,0,0
2023-01-03,0,3,0
2023-01-04,0,7,1
2023-01-05,2,6,0
2023-01-06,0,10,0
2023-01-07,5,0,0
2023-01-08,0,0,0
2023-01-09,6,3,0
2023-01-10,8,1,0
2023-01-11,6,5,0
2023-01-12,7,2,1
2023-01-13,5,2,0
2023-01-14,3,0,0
2023-01-15,1,0,0
2023-01-16,10,2,0
2023-01-17,7,3,0
2023-01-18,6,6,0
2023-01-19,3,3,1
2023-01-20,4,8,1
2023-01-21,1,1,0
2023-01-22,0,0,0
2023-01-23,4,1,2
2023-01-24,15,3,1
2023-01-25,0,4,1
2023-01-26,0,8,1
2023-01-27,2,7,0
2023-01-28,1,1,0
2023-01-29,0,0,0
2023-01-30,9,3,0
2023-01-31,3,4,0
2023-02-01,4,6,0
2023-02-02,3,2,1
2023-02-03,6,10,0
2023-02-04,0,1,0
2023-02-05,1,0,0
2023-02-06,4,14,0
2023-02-07,1,9,0
2023-02-08,3,9,3
2023-02-09,4,11,0
2023-02-10,3,6,1
2023-02-11,1,0,0
2023-02-12,0,0,0
2023-02-13,4,8,2
2023-02-14,9,2,0
2023-02-15,17,6,1
2023-02-16,4,3,0
2023-02-17,1,13,1
2023-02-18,1,1,0
2023-02-19,0,0,0
2023-02-20,2,0,0
2023-02-21,0,5,0
2023-02-22,0,16,1
2023-02-23,2,14,0
2023-02-24,4,6,1
2023-02-25,2,2,1
2023-02-26,3,0,0
2023-02-27,7,7,2
2023-02-28,2,10,0
2023-03-01,1,8,0
2023-03-02,3,7,0
2023-03-03,13,13,0
2023-03-04,0,0,0
2023-03-05,0,0,0
2023-03-06,4,9,2
2023-03-07,2,6,0
2023-03-08,5,5,2
2023-03-09,3,6,0
2023-03-10,5,6,0
2023-03-11,2,0,0
2023-03-12,1,0,0
2023-03-13,5,3,0
2023-03-14,9,5,0
2023-03-15,4,6,0
2023-03-16,6,2,0
2023-03-17,5,4,1
2023-03-18,5,1,0
2023-03-19,2,0,0
2023-03-20,7,14,0
2023-03-21,7,7,0
2023-03-22,6,6,0
2023-03-23,3,3,0
2023-03-24,6,6,0
2023-03-25,0,0,0
2023-03-26,1,0,1
2023-03-27,1,11,0
2023-03-28,9,7,0
2023-03-29,6,3,0
2023-03-30,18,4,0
2023-03-31,8,7,0
2023-04-01,4,0,0
2023-04-02,3,0,0
2023-04-03,10,6,0
2023-04-04,19,3,0
2023-04-05,10,5,0
2023-04-06,11,5,0
2023-04-07,7,4,0
2023-04-08,2,1,0
2023-04-09,2,0,0
2023-04-10,9,6,0
2023-04-11,11,10,0
2023-04-12,7,8,1
2023-04-13,6,1,0
2023-04-14,4,7,0
2023-04-15,0,0,0
2023-04-16,5,0,0
2023-04-17,3,3,1
2023-04-18,5,6,0
2023-04-19,0,8,0
2023-04-20,10,6,0
2023-04-21,0,6,0
2023-04-22,3,0,0
2023-04-23,1,0,0
2023-04-24,4,8,0
2023-04-25,7,7,0
2023-04-26,9,12,0
2023-04-27,4,3,0
2023-04-28,4,8,0
2023-04-29,3,1,0
2023-04-30,0,0,0
2023-05-01,2,1,0
2023-05-02,1,1,0
2023-05-03,7,1,0
2023-05-04,5,0,0
2023-05-05,6,3,1
2023-05-06,0,0,0
2023-05-07,5,0,0
2023-05-08,5,9,0
2023-05-09,8,10,0
2023-05-10,10,3,0
2023-05-11,8,4,0
2023-05-12,6,7,0
2023-05-13,8,1,0
2023-05-14,1,0,0
2023-05-15,11,11,0
2023-05-16,5,5,0
2023-05-17,2,6,0
2023-05-18,1,1,0
2023-05-19,5,3,0
2023-05-20,0,0,0
2023-05-21,0,0,0
2023-05-22,2,4,0
2023-05-23,9,6,0
2023-05-24,3,9,0
2023-05-25,9,9,0
2023-05-26,5,5,0
2023-05-27,1,0,0
2023-05-28,0,0,0
2023-05-29,2,3,0
2023-05-30,5,10,0
2023-05-31,0,8,0
2023-06-01,4,3,0
2023-06-02,3,4,0
2023-06-03,0,0,0
2023-06-04,1,0,0
2023-06-05,7,5,0
2023-06-06,4,5,0
2023-06-07,4,6,0
2023-06-08,6,5,0
2023-06-09,8,3,0
2023-06-10,2,1,0
2023-06-11,0,0,0
2023-06-12,7,16,0
2023-06-13,6,16,2
2023-06-14,6,7,1
2023-06-15,3,11,2
2023-06-16,11,5,5
2023-06-17,2,1,1
2023-06-18,0,0,0
2023-06-19,10,0,1
2023-06-20,5,7,0
2023-06-21,5,6,1
2023-06-22,8,2,0
2023-06-23,9,6,1
2023-06-24,6,0,0
2023-06-25,2,0,0
2023-06-26,8,7,0
2023-06-27,7,12,0
2023-06-28,5,7,0
2023-06-29,3,6,0
2023-06-30,0,7,0
2023-07-01,1,1,0
2023-07-02,1,0,3
2023-07-03,6,0,0
2023-07-04,3,2,2
2023-07-05,5,8,1
2023-07-06,7,4,0
2023-07-07,6,2,1
2023-07-08,0,0,0
2023-07-09,1,0,0
2023-07-10,8,2,0
2023-07-11,7,6,0
2023-07-12,4,8,0
2023-07-13,8,4,1
2023-07-14,6,7,0
2023-07-15,5,1,0
2023-07-16,0,0,0
2023-07-17,7,8,5
2023-07-18,10,3,2
2023-07-19,2,7,0
2023-07-20,1,6,0
2023-07-21,2,9,0
2023-07-22,1,1,0
2023-07-23,2,1,0
2023-07-24,3,9,0
2023-07-25,2,2,0
2023-07-26,9,7,0
2023-07-27,10,1,0
2023-07-28,6,1,0
2023-07-29,0,0,0
2023-07-30,0,0,0
2023-07-31,6,5,0
2023-08-01,3,6,0
2023-08-02,6,3,0
2023-08-03,5,4,0
2023-08-04,5,4,1
2023-08-05,1,1,0
2023-08-06,3,0,0
2023-08-07,3,2,0
2023-08-08,0,7,0
2023-08-09,1,4,0
2023-08-10,3,6,0
2023-08-11,3,6,0
2023-08-12,0,0,0
2023-08-13,0,0,0
2023-08-14,7,0,0
2023-08-15,12,5,0
2023-08-16,2,7,0
2023-08-17,1,7,0
2023-08-18,11,4,0
2023-08-19,3,0,0
2023-08-20,2,0,0
2023-08-21,14,5,0
2023-08-22,9,11,0
2023-08-23,7,4,2
2023-08-24,1,6,0
2023-08-25,4,2,0
2023-08-26,0,0,0
2023-08-27,1,0,0
2023-08-28,8,5,0
2023-08-29,3,3,1
2023-08-30,5,3,1
2023-08-31,1,7,0
2023-09-01,9,12,0
2023-09-02,3,0,1
2023-09-03,3,0,0
2023-09-04,4,0,0
2023-09-05,4,3,0
2023-09-06,5,8,0
2023-09-07,3,5,0
2023-09-08,5,13,0
2023-09-09,9,0,0
2023-09-10,2,1,1
2023-09-11,5,7,0
2023-09-12,5,9,0
2023-09-13,2,7,0
2023-09-14,1,11,0
2023-09-15,1,13,0
2023-09-16,2,1,0
2023-09-17,2,0,0
2023-09-18,9,13,0
2023-09-19,9,16,0
2023-09-20,1,10,0
2023-09-21,13,12,0
2023-09-22,2,19,0
2023-09-23,0,0,0
2023-09-24,1,0,1
2023-09-25,11,7,0
2023-09-26,4,3,0
2023-09-27,1,3,0
2023-09-28,4,1,0
2023-09-29,4,2,0
2023-09-30,7,0,1
2023-10-01,2,0,0
2023-10-02,4,2,1
2023-10-03,5,6,5
2023-10-04,6,6,0
2023-10-05,7,9,1
2023-10-06,1,5,0
2023-10-07,6,0,0
2023-10-08,3,1,0
2023-10-09,8,1,0
2023-10-10,10,10,0
2023-10-11,7,10,1
2023-10-12,11,13,0
2023-10-13,12,12,0
2023-10-14,0,1,0
2023-10-15,1,0,0
2023-10-16,8,9,0
2023-10-17,16,9,2
2023-10-18,6,3,0
2023-10-19,2,8,0
2023-10-20,2,7,0
2023-10-21,0,0,0
2023-10-22,0,0,0
2023-10-23,3,5,0
2023-10-24,10,8,0
2023-10-25,7,3,0
2023-10-26,3,8,0
2023-10-27,3,5,0
2023-10-28,0,0,0
2023-10-29,5,0,0
2023-10-30,2,3,0
2023-10-31,0,4,0
2023-11-01,0,2,0
2023-11-02,0,9,1
2023-11-03,3,7,0
2023-11-04,2,0,0
2023-11-05,2,0,0
2023-11-06,0,8,0
2023-11-07,6,16,0
2023-11-08,7,10,0
2023-11-09,14,14,0
2023-11-10,5,5,0
2023-11-11,6,0,0
2023-11-12,0,0,0
2023-11-13,5,4,0
2023-11-14,1,6,0
2023-11-15,6,14,0
2023-11-16,15,5,0
2023-11-17,1,3,0
2023-11-18,2,2,0
2023-11-19,5,1,0
2023-11-20,3,9,0
2023-11-21,10,4,0
2023-11-22,6,5,0
2023-11-23,11,0,0
2023-11-24,8,1,0
2023-11-25,4,0,0
2023-11-26,2,0,0
2023-11-27,7,6,0
2023-11-28,4,8,0
2023-11-29,0,5,0
2023-11-30,7,2,1
2023-12-01,1,4,1
2023-12-02,1,1,0
2023-12-03,4,0,0
2023-12-04,2,2,2
2023-12-05,3,3,0
2023-12-06,6,8,0
2023-12-07,4,6,0
2023-12-08,1,5,0
2023-12-09,0,0,0
2023-12-10,2,0,0
2023-12-11,7,5,0
2023-12-12,10,11,0
2023-12-13,6,1,0
2023-12-14,3,9,0
2023-12-15,8,2,0
2023-12-16,1,0,0
2023-12-17,1,0,0
2023-12-18,1,6,0
2023-12-19,3,3,0
2023-12-20,9,1,0
2023-12-21,5,7,1
2023-12-22,0,5,0
2023-12-23,1,0,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,0,0
2023-12-27,5,0,0
2023-12-28,4,1,0
2023-12-29,1,0,0
2023-12-30,0,0,0
2023-12-31,0,0,0
2024-01-01,0,0,0
2024-01-02,4,3,0
2024-01-03,3,5,0
2024-01-04,4,2,0
2024-01-05,2,4,0
2024-01-06,1,0,0
2024-01-07,0,0,0
2024-01-08,1,5,0
2024-01-09,7,9,0
2024-01-10,6,6,0
2024-01-11,4,3,0
2024-01-12,10,9,0
2024-01-13,2,0,0
2024-01-14,1,0,0
2024-01-15,4,1,0
2024-01-16,4,8,0
2024-01-17,2,5,0
2024-01-18,6,8,0
2024-01-19,7,11,0
2024-01-20,1,1,0
2024-01-21,1,0,0
2024-01-22,0,6,0
2024-01-23,0,4,0
2024-01-24,2,12,0
2024-01-25,17,6,0
2024-01-26,1,5,1
2024-01-27,0,2,0
2024-01-28,0,1,0
2024-01-29,0,13,0
2024-01-30,2,12,1
2024-01-31,4,7,1
2024-02-01,9,8,0
2024-02-02,0,8,0
2024-02-03,1,1,0
2024-02-04,0,0,0
2024-02-05,4,2,2
2024-02-06,7,10,4
2024-02-07,8,8,4
2024-02-08,4,9,1
2024-02-09,2,9,4
2024-02-10,0,0,0
2024-02-11,1,0,0
2024-02-12,1,7,0
2024-02-13,13,11,0
2024-02-14,7,6,0
2024-02-15,3,2,1
2024-02-16,2,2,0
2024-02-17,3,0,0
2024-02-18,3,0,0
2024-02-19,5,0,0
2024-02-20,5,4,0
2024-02-21,2,3,0
2024-02-22,14,4,0
2024-02-23,4,1,0
2024-02-24,1,0,0
2024-02-25,0,0,0
2024-02-26,5,6,0
2024-02-27,0,0,0
2024-02-28,6,8,0
2024-02-29,0,3,0
2024-03-01,1,9,0
2024-03-02,0,0,0
2024-03-03,0,0,0
2024-03-04,2,1,0
2024-03-05,3,3,1
2024-03-06,1,3,0
2024-03-07,8,1,0
2024-03-08,6,0,0
2024-03-09,2,0,2
2024-03-10,2,0,0
2024-03-11,9,1,0
2024-03-12,1,3,0
2024-03-13,1,3,0
2024-03-14,0,4,0
2024-03-15,6,3,0
2024-03-16,5,0,1
2024-03-17,5,0,0
2024-03-18,5,1,0
2024-03-19,3,1,0
2024-03-20,3,0,0
2024-03-21,12,0,0
2024-03-22,0,3,0
2024-03-23,0,0,0
2024-03-24,7,0,0
2024-03-25,9,2,0
2024-03-26,6,2,0
2024-03-27,10,2,0
2024-03-28,2,3,0
2024-03-29,3,0,0
2024-03-30,3,0,0
2024-03-31,3,0,0
2024-04-01,9,1,0
2024-04-02,9,1,0
2024-04-03,4,3,0
2024-04-04,8,1,0
2024-04-05,11,0,0
2024-04-06,3,0,0
2024-04-07,2,0,0
2024-04-08,5,3,0
2024-04-09,25,0,0
2024-04-10,5,1,0
2024-04-11,9,3,0
2024-04-12,9,0,0
2024-04-13,4,0,0
2024-04-14,5,0,0
2024-04-15,5,1,0
2024-04-16,7,1,0
2024-04-17,5,1,0
2024-04-18,6,1,0
2024-04-19,1,0,0
2024-04-20,3,0,0
2024-04-21,11,0,0
2024-04-22,9,2,0
2024-04-23,9,1,0
2024-04-24,20,2,1
2024-04-25,9,0,0
2024-04-26,6,0,0
2024-04-27,2,0,0
2024-04-28,0,0,0
2024-04-29,6,1,0
2024-04-30,9,0,2
2024-05-01,4,1,0
2024-05-02,2,3,1
2024-05-03,10,4,0
2024-05-04,3,1,0
2024-05-05,1,0,0
2024-05-06,10,1,0
2024-05-07,6,3,0
2024-05-08,11,1,0
2024-05-09,11,3,0
2024-05-10,2,2,0
2024-05-11,2,0,1
2024-05-12,9,0,0
2024-05-13,7,5,0
2024-05-14,3,4,0
2024-05-15,1,3,0
2024-05-16,1,1,0
2024-05-17,3,0,0
2024-05-18,5,0,0
2024-05-19,1,0,0
2024-05-20,9,4,0
2024-05-21,8,2,0
2024-05-22,7,3,0
2024-05-23,1,1,0
2024-05-24,2,5,0
2024-05-25,2,1,0
2024-05-26,0,0,0
2024-05-27,1,0,0
2024-05-28,0,5,0
2024-05-29,5,0,0
2024-05-30,7,1,0
2024-05-31,1,0,0
2024-06-01,1,0,0
2024-06-02,1,0,0
2024-06-03,2,2,0
2024-06-04,3,3,0
2024-06-05,4,1,0
2024-06-06,2,2,0
2024-06-07,11,0,0
2024-06-08,1,0,0
2024-06-09,0,0,0
2024-06-10,0,4,0
2024-06-11,2,6,0
2024-06-12,7,4,0
2024-06-13,5,3,0
2024-06-14,6,2,0
2024-06-15,11,0,2
2024-06-16,0,0,0
2024-06-17,13,1,0
2024-06-18,10,2,0
2024-06-19,9,0,0
2024-06-20,0,0,0
2024-06-21,2,0,0
2024-06-22,2,0,0
2024-06-23,1,0,0
2024-06-24,11,1,0
2024-06-25,7,2,0
2024-06-26,1,1,0
2024-06-27,3,0,0
2024-06-28,6,0,0
2024-06-29,4,0,0
2024-06-30,2,0,0
2024-07-01,1,0,0
2024-07-02,5,1,0
2024-07-03,10,3,0
2024-07-04,8,0,0
2024-07-05,1,2,0
2024-07-06,1,0,0
2024-07-07,0,0,0
2024-07-08,0,3,0
2024-07-09,2,2,0
2024-07-10,7,1,0
2024-07-11,0,1,0
2024-07-12,3,0,0
2024-07-13,4,0,0
2024-07-14,8,0,0
2024-07-15,5,0,0
2024-07-16,0,0,1
2024-07-17,1,0,0
2024-07-18,4,1,0
2024-07-19,1,0,0
2024-07-20,1,0,0
2024-07-21,0,0,0
2024-07-22,2,1,0
2024-07-23,5,0,0
2024-07-24,2,1,0
2024-07-25,4,0,0
2024-07-26,4,0,0
2024-07-27,1,0,0
2024-07-28,0,0,0
2024-07-29,3,0,0
2024-07-30,4,3,0
2024-07-31,6,0,0
2024-08-01,5,1,0
2024-08-02,3,0,2
2024-08-03,1,0,0
2024-08-04,1,0,0
2024-08-05,3,0,1
2024-08-06,0,0,1
2024-08-07,3,1,0
2024-08-08,14,0,0
2024-08-09,2,0,0
2024-08-10,1,0,0
2024-08-11,1,0,1
2024-08-12,4,1,0
2024-08-13,0,2,0
2024-08-14,3,4,0
2024-08-15,2,2,0
2024-08-16,7,0,0
2024-08-17,0,0,0
2024-08-18,1,0,0
2024-08-19,2,2,1
2024-08-20,0,3,0
2024-08-21,2,0,0
2024-08-22,3,2,0
2024-08-23,1,0,0
2024-08-24,4,0,0
2024-08-25,1,0,0
2024-08-26,1,4,1
2024-08-27,1,0,1
2024-08-28,0,1,0
2024-08-29,9,3,0
2024-08-30,4,1,0
2024-08-31,1,0,0
2024-09-01,0,0,0
2024-09-02,0,0,0
2024-09-03,6,0,1
2024-09-04,1,0,0
2024-09-05,2,1,0
2024-09-06,2,1,0
2024-09-07,0,0,0
2024-09-08,1,0,0
2024-09-09,4,1,0
2024-09-10,5,1,3
2024-09-11,5,3,0
2024-09-12,0,6,1
2024-09-13,0,5,0
2024-09-14,3,0,0
2024-09-15,2,0,0
2024-09-16,3,7,0
2024-09-17,2,4,1
2024-09-18,2,1,1
2024-09-19,4,4,4
2024-09-20,6,1,2
2024-09-21,0,0,0
2024-09-22,6,0,1
2024-09-23,5,1,1
2024-09-24,8,0,0
2024-09-25,5,1,1
2024-09-26,1,1,0
2024-09-27,1,1,0
2024-09-28,0,0,0
2024-09-29,1,0,1
2024-09-30,2,0,0
2024-10-01,5,0,0
2024-10-02,5,1,0
2024-10-03,6,0,0
2024-10-04,11,0,0
2024-10-05,4,0,0
2024-10-06,2,0,0
2024-10-07,0,1,0
2024-10-08,8,0,1
2024-10-09,3,1,0
2024-10-10,3,0,0
2024-10-11,10,1,0
2024-10-12,1,0,0
2024-10-13,3,0,0
2024-10-14,3,3,0
2024-10-15,6,2,2
2024-10-16,6,2,0
2024-10-17,7,4,1
2024-10-18,6,0,3
2024-10-19,0,0,0
2024-10-20,8,0,0
2024-10-21,1,1,0
2024-10-22,4,1,0
2024-10-23,7,0,0
2024-10-24,10,0,0
2024-10-25,4,0,0
2024-10-26,2,0,0
2024-10-27,2,0,0
2024-10-28,1,2,0
2024-10-29,5,1,1
2024-10-30,9,1,0
2024-10-31,6,0,0
2024-11-01,2,0,0
2024-11-02,1,0,0
2024-11-03,5,0,0
2024-11-04,0,1,0
2024-11-05,2,2,0
2024-11-06,10,0,0
2024-11-07,10,1,0
2024-11-08,4,0,0
2024-11-09,3,0,0
