,spring-projects/spring-framework,apache/tomcat,apache/struts
2013-07-27,1,0,0
2013-07-28,0,3,1
2013-07-29,2,7,2
2013-07-30,12,7,2
2013-07-31,5,9,0
2013-08-01,6,9,2
2013-08-02,8,4,1
2013-08-03,2,0,0
2013-08-04,0,9,0
2013-08-05,8,6,0
2013-08-06,4,1,0
2013-08-07,3,11,0
2013-08-08,3,8,0
2013-08-09,3,1,1
2013-08-10,1,3,0
2013-08-11,0,1,0
2013-08-12,4,15,0
2013-08-13,5,2,0
2013-08-14,2,16,0
2013-08-15,0,13,0
2013-08-16,0,5,0
2013-08-17,0,0,0
2013-08-18,0,1,0
2013-08-19,0,10,0
2013-08-20,14,7,0
2013-08-21,9,3,0
2013-08-22,11,4,0
2013-08-23,4,8,0
2013-08-24,0,2,0
2013-08-25,0,0,0
2013-08-26,2,1,0
2013-08-27,18,7,0
2013-08-28,16,18,0
2013-08-29,17,14,0
2013-08-30,0,19,0
2013-08-31,0,0,0
2013-09-01,0,0,0
2013-09-02,12,20,0
2013-09-03,7,18,1
2013-09-04,8,9,14
2013-09-05,0,11,0
2013-09-06,2,3,1
2013-09-07,2,0,3
2013-09-08,0,0,0
2013-09-09,1,19,0
2013-09-10,0,4,7
2013-09-11,1,12,4
2013-09-12,3,12,0
2013-09-13,0,1,0
2013-09-14,4,3,0
2013-09-15,0,0,0
2013-09-16,0,22,0
2013-09-17,0,11,2
2013-09-18,0,9,0
2013-09-19,0,13,2
2013-09-20,2,3,0
2013-09-21,0,0,0
2013-09-22,0,0,1
2013-09-23,5,3,1
2013-09-24,2,6,1
2013-09-25,13,4,0
2013-09-26,13,11,0
2013-09-27,4,2,0
2013-09-28,6,0,0
2013-09-29,0,4,0
2013-09-30,5,11,0
2013-10-01,5,11,0
2013-10-02,6,11,0
2013-10-03,2,6,0
2013-10-04,4,10,0
2013-10-05,0,3,0
2013-10-06,0,8,0
2013-10-07,3,12,0
2013-10-08,8,20,0
2013-10-09,0,9,0
2013-10-10,7,17,1
2013-10-11,5,7,1
2013-10-12,0,1,0
2013-10-13,1,5,0
2013-10-14,7,1,0
2013-10-15,13,16,0
2013-10-16,1,11,4
2013-10-17,7,3,2
2013-10-18,17,2,8
2013-10-19,2,0,0
2013-10-20,0,3,0
2013-10-21,8,3,5
2013-10-22,2,11,3
2013-10-23,4,0,8
2013-10-24,0,3,3
2013-10-25,8,0,0
2013-10-26,21,0,0
2013-10-27,5,0,0
2013-10-28,7,3,2
2013-10-29,13,8,2
2013-10-30,14,6,1
2013-10-31,13,2,0
2013-11-01,6,6,0
2013-11-02,1,0,0
2013-11-03,1,0,0
2013-11-04,7,18,1
2013-11-05,13,25,0
2013-11-06,2,5,0
2013-11-07,2,10,0
2013-11-08,5,17,0
2013-11-09,0,25,0
2013-11-10,1,3,0
2013-11-11,2,7,0
2013-11-12,2,3,0
2013-11-13,2,10,0
2013-11-14,0,10,0
2013-11-15,5,8,0
2013-11-16,0,3,0
2013-11-17,1,15,2
2013-11-18,4,12,0
2013-11-19,5,9,1
2013-11-20,16,8,1
2013-11-21,11,7,1
2013-11-22,10,14,0
2013-11-23,0,0,0
2013-11-24,1,4,0
2013-11-25,4,8,0
2013-11-26,15,21,0
2013-11-27,1,5,0
2013-11-28,0,5,0
2013-11-29,0,8,3
2013-11-30,0,1,3
2013-12-01,0,0,0
2013-12-02,20,2,0
2013-12-03,18,3,0
2013-12-04,2,4,0
2013-12-05,2,5,0
2013-12-06,7,2,0
2013-12-07,0,2,0
2013-12-08,3,0,1
2013-12-09,6,13,0
2013-12-10,10,3,0
2013-12-11,28,5,1
2013-12-12,12,6,0
2013-12-13,4,14,0
2013-12-14,0,2,0
2013-12-15,0,0,0
2013-12-16,6,11,0
2013-12-17,11,10,1
2013-12-18,1,9,0
2013-12-19,6,2,0
2013-12-20,3,1,0
2013-12-21,1,0,0
2013-12-22,0,0,0
2013-12-23,5,2,0
2013-12-24,3,1,0
2013-12-25,0,1,0
2013-12-26,0,1,0
2013-12-27,0,5,0
2013-12-28,1,5,1
2013-12-29,2,0,0
2013-12-30,4,1,2
2013-12-31,0,0,1
2014-01-01,1,0,0
2014-01-02,4,0,2
2014-01-03,16,1,1
2014-01-04,5,0,0
2014-01-05,6,0,0
2014-01-06,5,1,0
2014-01-07,1,4,0
2014-01-08,1,4,2
2014-01-09,0,11,0
2014-01-10,7,11,2
2014-01-11,0,1,0
2014-01-12,0,0,0
2014-01-13,11,3,0
2014-01-14,8,4,4
2014-01-15,13,4,4
2014-01-16,9,3,0
2014-01-17,6,8,0
2014-01-18,0,6,0
2014-01-19,0,7,1
2014-01-20,16,5,5
2014-01-21,19,8,1
2014-01-22,29,3,0
2014-01-23,3,18,0
2014-01-24,12,85,0
2014-01-25,12,2,0
2014-01-26,1,1,0
2014-01-27,7,5,0
2014-01-28,12,0,0
2014-01-29,0,11,0
2014-01-30,2,5,0
2014-01-31,6,3,2
2014-02-01,10,0,0
2014-02-02,0,0,0
2014-02-03,5,7,2
2014-02-04,7,8,0
2014-02-05,7,5,0
2014-02-06,11,6,0
2014-02-07,9,8,0
2014-02-08,6,0,0
2014-02-09,4,0,0
2014-02-10,3,7,0
2014-02-11,9,8,0
2014-02-12,10,5,0
2014-02-13,9,2,0
2014-02-14,10,1,0
2014-02-15,0,3,0
2014-02-16,0,6,7
2014-02-17,2,4,9
2014-02-18,5,3,2
2014-02-19,4,7,3
2014-02-20,0,6,0
2014-02-21,1,5,0
2014-02-22,7,0,0
2014-02-23,2,0,0
2014-02-24,5,4,0
2014-02-25,6,4,3
2014-02-26,7,1,0
2014-02-27,4,3,0
2014-02-28,25,0,2
2014-03-01,1,0,8
2014-03-02,1,7,4
2014-03-03,4,1,1
2014-03-04,6,6,0
2014-03-05,14,11,0
2014-03-06,13,6,14
2014-03-07,4,1,6
2014-03-08,0,3,0
2014-03-09,0,0,7
2014-03-10,11,16,0
2014-03-11,5,9,0
2014-03-12,3,14,0
2014-03-13,8,13,7
2014-03-14,6,16,0
2014-03-15,1,6,0
2014-03-16,6,0,0
2014-03-17,7,11,1
2014-03-18,13,5,3
2014-03-19,6,5,5
2014-03-20,6,3,4
2014-03-21,8,11,2
2014-03-22,0,1,5
2014-03-23,6,7,0
2014-03-24,25,7,2
2014-03-25,17,18,0
2014-03-26,16,16,0
2014-03-27,6,8,5
2014-03-28,6,1,5
2014-03-29,1,0,0
2014-03-30,3,0,2
2014-03-31,6,0,0
2014-04-01,13,3,0
2014-04-02,7,2,0
2014-04-03,1,6,0
2014-04-04,7,9,0
2014-04-05,0,0,0
2014-04-06,3,0,10
2014-04-07,3,2,0
2014-04-08,5,3,0
2014-04-09,14,2,0
2014-04-10,5,1,1
2014-04-11,4,3,1
2014-04-12,0,7,0
2014-04-13,7,5,3
2014-04-14,3,1,3
2014-04-15,5,3,0
2014-04-16,5,10,0
2014-04-17,7,9,0
2014-04-18,4,3,0
2014-04-19,0,0,1
2014-04-20,0,1,0
2014-04-21,4,0,0
2014-04-22,31,13,1
2014-04-23,10,4,0
2014-04-24,5,14,8
2014-04-25,8,15,4
2014-04-26,0,7,3
2014-04-27,5,15,0
2014-04-28,6,9,4
2014-04-29,15,1,0
2014-04-30,14,0,0
2014-05-01,8,0,4
2014-05-02,3,0,8
2014-05-03,0,0,8
2014-05-04,0,0,3
2014-05-05,1,0,4
2014-05-06,9,0,0
2014-05-07,2,4,0
2014-05-08,4,16,4
2014-05-09,6,8,0
2014-05-10,0,4,0
2014-05-11,1,3,0
2014-05-12,5,11,4
2014-05-13,1,15,2
2014-05-14,3,5,7
2014-05-15,10,5,0
2014-05-16,5,10,1
2014-05-17,0,0,0
2014-05-18,2,1,0
2014-05-19,16,8,3
2014-05-20,5,13,0
2014-05-21,1,15,2
2014-05-22,0,5,0
2014-05-23,3,1,4
2014-05-24,2,1,0
2014-05-25,0,0,0
2014-05-26,3,12,0
2014-05-27,5,5,0
2014-05-28,4,3,0
2014-05-29,2,11,0
2014-05-30,13,5,1
2014-05-31,0,0,0
2014-06-01,0,2,2
2014-06-02,2,5,0
2014-06-03,0,8,2
2014-06-04,7,10,0
2014-06-05,6,8,3
2014-06-06,12,14,0
2014-06-07,3,0,0
2014-06-08,0,0,0
2014-06-09,3,4,0
2014-06-10,10,5,0
2014-06-11,8,8,0
2014-06-12,4,4,0
2014-06-13,2,3,0
2014-06-14,0,1,0
2014-06-15,0,1,0
2014-06-16,5,10,2
2014-06-17,1,6,0
2014-06-18,1,8,3
2014-06-19,7,10,0
2014-06-20,2,4,0
2014-06-21,0,8,0
2014-06-22,1,4,0
2014-06-23,0,18,0
2014-06-24,8,3,1
2014-06-25,17,7,0
2014-06-26,16,9,0
2014-06-27,9,9,8
2014-06-28,2,0,0
2014-06-29,12,0,0
2014-06-30,6,5,0
2014-07-01,19,0,0
2014-07-02,14,1,0
2014-07-03,5,8,0
2014-07-04,6,9,0
2014-07-05,2,0,0
2014-07-06,0,2,0
2014-07-07,12,5,0
2014-07-08,2,9,3
2014-07-09,16,12,7
2014-07-10,13,5,0
2014-07-11,3,4,4
2014-07-12,4,2,0
2014-07-13,0,5,0
2014-07-14,6,1,0
2014-07-15,13,2,0
2014-07-16,23,0,0
2014-07-17,6,1,0
2014-07-18,24,1,0
2014-07-19,5,0,0
2014-07-20,1,0,2
2014-07-21,0,0,0
2014-07-22,14,0,0
2014-07-23,6,0,0
2014-07-24,17,5,0
2014-07-25,1,0,0
2014-07-26,0,0,0
2014-07-27,0,1,0
2014-07-28,11,5,8
2014-07-29,14,11,6
2014-07-30,10,10,7
2014-07-31,7,10,1
2014-08-01,6,13,2
2014-08-02,2,0,0
2014-08-03,0,0,0
2014-08-04,5,11,2
2014-08-05,1,7,4
2014-08-06,3,5,2
2014-08-07,6,17,4
2014-08-08,10,14,0
2014-08-09,7,0,0
2014-08-10,0,4,0
2014-08-11,6,10,0
2014-08-12,9,14,0
2014-08-13,9,5,2
2014-08-14,8,1,0
2014-08-15,7,9,0
2014-08-16,1,0,0
2014-08-17,1,0,0
2014-08-18,13,6,3
2014-08-19,10,6,0
2014-08-20,8,3,0
2014-08-21,8,4,5
2014-08-22,10,5,2
2014-08-23,0,0,0
2014-08-24,1,0,0
2014-08-25,3,4,6
2014-08-26,3,12,3
2014-08-27,4,10,0
2014-08-28,2,1,1
2014-08-29,10,1,0
2014-08-30,2,0,0
2014-08-31,8,0,6
2014-09-01,8,12,0
2014-09-02,12,23,0
2014-09-03,15,12,0
2014-09-04,12,4,0
2014-09-05,2,3,0
2014-09-06,0,0,0
2014-09-07,2,8,0
2014-09-08,0,8,0
2014-09-09,3,13,0
2014-09-10,0,27,0
2014-09-11,0,12,0
2014-09-12,6,35,0
2014-09-13,0,0,0
2014-09-14,0,1,0
2014-09-15,0,2,0
2014-09-16,7,6,5
2014-09-17,7,8,0
2014-09-18,9,0,0
2014-09-19,11,0,0
2014-09-20,3,0,0
2014-09-21,4,1,1
2014-09-22,15,8,2
2014-09-23,0,10,2
2014-09-24,15,18,0
2014-09-25,5,29,0
2014-09-26,18,9,0
2014-09-27,0,3,1
2014-09-28,2,1,0
2014-09-29,8,10,0
2014-09-30,26,11,1
2014-10-01,7,9,1
2014-10-02,6,8,0
2014-10-03,3,7,0
2014-10-04,0,0,0
2014-10-05,1,0,0
2014-10-06,7,3,0
2014-10-07,7,5,0
2014-10-08,4,17,0
2014-10-09,0,6,0
2014-10-10,2,6,0
2014-10-11,0,0,0
2014-10-12,0,4,0
2014-10-13,6,25,2
2014-10-14,7,13,0
2014-10-15,4,7,1
2014-10-16,4,9,0
2014-10-17,7,13,0
2014-10-18,0,0,0
2014-10-19,0,3,0
2014-10-20,7,2,0
2014-10-21,15,6,0
2014-10-22,6,6,0
2014-10-23,10,14,0
2014-10-24,8,11,0
2014-10-25,1,5,0
2014-10-26,2,6,0
2014-10-27,14,18,0
2014-10-28,11,2,0
2014-10-29,10,42,0
2014-10-30,7,8,0
2014-10-31,7,0,0
2014-11-01,10,8,0
2014-11-02,3,0,0
2014-11-03,7,16,0
2014-11-04,0,25,0
2014-11-05,1,1,0
2014-11-06,5,3,0
2014-11-07,2,2,0
2014-11-08,0,2,0
2014-11-09,1,2,0
2014-11-10,2,32,1
2014-11-11,4,0,0
2014-11-12,0,20,3
2014-11-13,3,2,1
2014-11-14,0,1,4
2014-11-15,0,1,0
2014-11-16,0,1,0
2014-11-17,0,5,3
2014-11-18,0,7,0
2014-11-19,0,0,0
2014-11-20,2,5,0
2014-11-21,1,5,6
2014-11-22,11,9,0
2014-11-23,0,34,0
2014-11-24,8,10,0
2014-11-25,3,10,0
2014-11-26,6,2,0
2014-11-27,5,4,0
2014-11-28,5,9,0
2014-11-29,2,2,0
2014-11-30,0,5,0
2014-12-01,7,13,0
2014-12-02,9,6,1
2014-12-03,9,10,0
2014-12-04,4,1,0
2014-12-05,8,19,1
2014-12-06,0,3,0
2014-12-07,5,8,0
2014-12-08,4,11,0
2014-12-09,5,6,1
2014-12-10,9,16,0
2014-12-11,2,13,0
2014-12-12,2,13,0
2014-12-13,2,4,0
2014-12-14,0,16,0
2014-12-15,1,11,0
2014-12-16,2,15,2
2014-12-17,0,11,0
2014-12-18,3,7,0
2014-12-19,0,8,0
2014-12-20,0,3,12
2014-12-21,0,0,2
2014-12-22,14,0,0
2014-12-23,7,9,16
2014-12-24,0,0,0
2014-12-25,0,0,0
2014-12-26,1,0,2
2014-12-27,0,0,0
2014-12-28,2,0,0
2014-12-29,11,1,2
2014-12-30,10,0,2
2014-12-31,4,0,5
2015-01-01,1,13,0
2015-01-02,3,0,2
2015-01-03,0,0,0
2015-01-04,1,0,0
2015-01-05,2,1,0
2015-01-06,2,3,0
2015-01-07,3,2,0
2015-01-08,6,33,0
2015-01-09,1,19,0
2015-01-10,5,0,0
2015-01-11,0,0,0
2015-01-12,2,11,0
2015-01-13,1,10,0
2015-01-14,0,0,1
2015-01-15,0,25,0
2015-01-16,1,6,0
2015-01-17,2,0,0
2015-01-18,0,0,0
2015-01-19,0,4,0
2015-01-20,11,11,1
2015-01-21,3,8,4
2015-01-22,7,13,0
2015-01-23,4,22,0
2015-01-24,1,6,0
2015-01-25,0,0,0
2015-01-26,4,6,0
2015-01-27,0,10,1
2015-01-28,0,14,0
2015-01-29,1,18,0
2015-01-30,0,14,0
2015-01-31,0,0,0
2015-02-01,0,6,1
2015-02-02,4,2,2
2015-02-03,3,5,0
2015-02-04,0,10,1
2015-02-05,1,14,0
2015-02-06,0,2,0
2015-02-07,0,0,0
2015-02-08,0,1,0
2015-02-09,3,0,0
2015-02-10,16,10,0
2015-02-11,4,5,0
2015-02-12,6,17,0
2015-02-13,0,8,0
2015-02-14,0,7,0
2015-02-15,0,7,1
2015-02-16,4,21,1
2015-02-17,3,16,2
2015-02-18,16,4,0
2015-02-19,10,1,0
2015-02-20,5,2,0
2015-02-21,0,2,0
2015-02-22,0,14,0
2015-02-23,3,16,0
2015-02-24,4,17,0
2015-02-25,7,5,0
2015-02-26,10,3,0
2015-02-27,16,37,0
2015-02-28,7,3,0
2015-03-01,0,0,0
2015-03-02,6,7,0
2015-03-03,0,13,0
2015-03-04,1,8,0
2015-03-05,8,4,0
2015-03-06,16,5,4
2015-03-07,9,3,1
2015-03-08,0,2,0
2015-03-09,2,4,0
2015-03-10,4,7,0
2015-03-11,2,17,0
2015-03-12,0,5,0
2015-03-13,12,7,0
2015-03-14,1,4,0
2015-03-15,0,0,0
2015-03-16,5,7,0
2015-03-17,10,6,0
2015-03-18,2,6,0
2015-03-19,5,8,5
2015-03-20,16,3,0
2015-03-21,2,2,0
2015-03-22,3,0,0
2015-03-23,12,9,0
2015-03-24,12,4,0
2015-03-25,3,0,0
2015-03-26,2,4,0
2015-03-27,2,0,0
2015-03-28,1,2,0
2015-03-29,0,2,0
2015-03-30,12,0,1
2015-03-31,8,10,0
2015-04-01,11,15,0
2015-04-02,5,1,1
2015-04-03,4,1,1
2015-04-04,0,0,0
2015-04-05,0,0,0
2015-04-06,2,1,0
2015-04-07,5,3,6
2015-04-08,2,12,0
2015-04-09,1,13,0
2015-04-10,2,6,0
2015-04-11,0,0,0
2015-04-12,0,0,0
2015-04-13,7,12,0
2015-04-14,7,5,0
2015-04-15,6,2,0
2015-04-16,11,1,0
2015-04-17,5,6,0
2015-04-18,7,0,3
2015-04-19,7,0,1
2015-04-20,6,0,0
2015-04-21,5,3,0
2015-04-22,10,4,0
2015-04-23,8,3,0
2015-04-24,9,4,0
2015-04-25,0,0,0
2015-04-26,3,0,0
2015-04-27,3,6,0
2015-04-28,0,7,0
2015-04-29,0,11,1
2015-04-30,2,15,2
2015-05-01,0,9,7
2015-05-02,3,0,0
2015-05-03,0,1,6
2015-05-04,17,0,0
2015-05-05,23,6,0
2015-05-06,19,7,5
2015-05-07,16,15,0
2015-05-08,9,3,0
2015-05-09,9,0,0
2015-05-10,3,0,0
2015-05-11,8,8,0
2015-05-12,5,10,0
2015-05-13,8,11,0
2015-05-14,6,0,0
2015-05-15,5,1,2
2015-05-16,2,3,0
2015-05-17,4,0,0
2015-05-18,17,6,0
2015-05-19,6,4,0
2015-05-20,9,9,0
2015-05-21,7,25,1
2015-05-22,29,6,2
2015-05-23,14,4,0
2015-05-24,6,1,0
2015-05-25,0,0,7
2015-05-26,0,21,11
2015-05-27,3,14,7
2015-05-28,2,20,6
2015-05-29,11,8,1
2015-05-30,0,0,1
2015-05-31,19,0,0
2015-06-01,11,18,0
2015-06-02,2,11,0
2015-06-03,2,12,0
2015-06-04,11,14,0
2015-06-05,5,8,0
2015-06-06,0,0,0
2015-06-07,0,0,6
2015-06-08,2,20,5
2015-06-09,1,25,1
2015-06-10,4,20,4
2015-06-11,8,4,3
2015-06-12,5,13,6
2015-06-13,5,2,0
2015-06-14,1,1,1
2015-06-15,21,9,1
2015-06-16,12,8,3
2015-06-17,14,14,8
2015-06-18,1,15,2
2015-06-19,9,22,0
2015-06-20,5,0,1
2015-06-21,3,0,2
2015-06-22,4,8,4
2015-06-23,10,18,12
2015-06-24,6,17,0
2015-06-25,3,7,2
2015-06-26,12,27,2
2015-06-27,3,0,0
2015-06-28,0,0,1
2015-06-29,14,5,0
2015-06-30,10,7,0
2015-07-01,2,8,0
2015-07-02,4,7,0
2015-07-03,4,21,0
2015-07-04,1,0,0
2015-07-05,0,0,0
2015-07-06,11,6,0
2015-07-07,23,6,0
2015-07-08,8,5,0
2015-07-09,7,4,0
2015-07-10,2,1,6
2015-07-11,0,0,4
2015-07-12,0,0,1
2015-07-13,9,0,1
2015-07-14,8,0,1
2015-07-15,6,4,0
2015-07-16,4,2,2
2015-07-17,17,5,3
