,home-assistant/core,node-red/node-red,ioBroker/ioBroker
2023-01-19,24,1,0
2023-01-20,31,0,0
2023-01-21,16,0,0
2023-01-22,34,0,0
2023-01-23,47,10,0
2023-01-24,70,0,0
2023-01-25,58,5,0
2023-01-26,52,1,0
2023-01-27,41,1,0
2023-01-28,18,0,0
2023-01-29,21,0,0
2023-01-30,53,11,0
2023-01-31,53,0,0
2023-02-01,32,1,0
2023-02-02,53,23,0
2023-02-03,58,4,0
2023-02-04,20,6,0
2023-02-05,46,2,0
2023-02-06,28,0,0
2023-02-07,79,0,0
2023-02-08,54,0,0
2023-02-09,46,0,0
2023-02-10,14,2,0
2023-02-11,7,0,0
2023-02-12,41,0,0
2023-02-13,51,1,0
2023-02-14,45,1,0
2023-02-15,62,0,0
2023-02-16,27,0,0
2023-02-17,49,0,0
2023-02-18,25,0,0
2023-02-19,15,0,1
2023-02-20,44,13,0
2023-02-21,26,6,1
2023-02-22,47,0,1
2023-02-23,22,6,0
2023-02-24,17,2,0
2023-02-25,33,1,0
2023-02-26,9,1,0
2023-02-27,53,5,7
2023-02-28,54,0,0
2023-03-01,74,3,0
2023-03-02,21,21,0
2023-03-03,14,23,0
2023-03-04,6,0,0
2023-03-05,30,0,0
2023-03-06,32,5,0
2023-03-07,18,4,0
2023-03-08,70,0,0
2023-03-09,40,0,0
2023-03-10,16,0,0
2023-03-11,10,1,0
2023-03-12,12,1,0
2023-03-13,58,2,0
2023-03-14,27,0,0
2023-03-15,33,0,0
2023-03-16,46,0,0
2023-03-17,32,0,0
2023-03-18,10,0,0
2023-03-19,9,0,0
2023-03-20,32,8,0
2023-03-21,36,0,0
2023-03-22,25,0,0
2023-03-23,50,0,0
2023-03-24,21,2,0
2023-03-25,15,0,0
2023-03-26,38,1,0
2023-03-27,42,0,0
2023-03-28,77,0,0
2023-03-29,38,0,0
2023-03-30,33,0,0
2023-03-31,60,2,0
2023-04-01,19,2,0
2023-04-02,9,0,8
2023-04-03,82,0,0
2023-04-04,34,2,0
2023-04-05,52,0,0
2023-04-06,75,0,0
2023-04-07,13,0,1
2023-04-08,10,0,0
2023-04-09,38,1,0
2023-04-10,14,0,0
2023-04-11,15,0,0
2023-04-12,34,0,0
2023-04-13,62,0,0
2023-04-14,15,0,0
2023-04-15,19,0,0
2023-04-16,21,0,3
2023-04-17,63,1,0
2023-04-18,21,0,5
2023-04-19,29,0,1
2023-04-20,27,1,2
2023-04-21,49,0,0
2023-04-22,57,1,0
2023-04-23,13,1,0
2023-04-24,36,1,0
2023-04-25,34,0,0
2023-04-26,41,0,0
2023-04-27,43,0,0
2023-04-28,43,23,0
2023-04-29,41,1,0
2023-04-30,44,0,0
2023-05-01,27,3,0
2023-05-02,15,0,0
2023-05-03,44,0,0
2023-05-04,47,0,0
2023-05-05,57,0,0
2023-05-06,22,2,0
2023-05-07,16,1,0
2023-05-08,6,1,0
2023-05-09,13,0,0
2023-05-10,10,0,1
2023-05-11,21,0,0
2023-05-12,17,0,0
2023-05-13,5,1,0
2023-05-14,46,0,0
2023-05-15,14,0,0
2023-05-16,12,1,0
2023-05-17,19,1,1
2023-05-18,9,0,0
2023-05-19,2,0,0
2023-05-20,5,0,0
2023-05-21,15,0,0
2023-05-22,29,46,0
2023-05-23,53,0,0
2023-05-24,68,0,0
2023-05-25,29,10,0
2023-05-26,20,11,0
2023-05-27,14,1,0
2023-05-28,16,0,0
2023-05-29,40,2,0
2023-05-30,39,4,0
2023-05-31,56,4,0
2023-06-01,61,0,0
2023-06-02,21,1,0
2023-06-03,10,0,0
2023-06-04,6,0,0
2023-06-05,33,0,0
2023-06-06,18,0,0
2023-06-07,50,0,0
2023-06-08,59,0,0
2023-06-09,14,2,0
2023-06-10,4,2,0
2023-06-11,11,0,0
2023-06-12,19,0,0
2023-06-13,19,0,0
2023-06-14,23,0,0
2023-06-15,61,0,0
2023-06-16,19,0,0
2023-06-17,7,7,0
2023-06-18,7,0,1
2023-06-19,22,0,0
2023-06-20,39,1,1
2023-06-21,45,21,0
2023-06-22,45,4,0
2023-06-23,46,8,0
2023-06-24,12,0,0
2023-06-25,15,0,0
2023-06-26,78,0,0
2023-06-27,107,1,0
2023-06-28,54,0,0
2023-06-29,71,0,0
2023-06-30,50,0,0
2023-07-01,11,2,0
2023-07-02,14,1,0
2023-07-03,71,0,0
2023-07-04,17,0,0
2023-07-05,38,1,0
2023-07-06,43,0,0
2023-07-07,36,0,0
2023-07-08,38,0,0
2023-07-09,21,0,0
2023-07-10,32,9,0
2023-07-11,64,3,0
2023-07-12,52,0,0
2023-07-13,57,9,0
2023-07-14,16,4,0
2023-07-15,15,5,0
2023-07-16,14,2,0
2023-07-17,54,0,0
2023-07-18,83,1,0
2023-07-19,34,0,0
2023-07-20,66,0,0
2023-07-21,43,0,0
2023-07-22,34,0,0
2023-07-23,42,0,0
2023-07-24,56,0,0
2023-07-25,30,0,0
2023-07-26,24,5,0
2023-07-27,52,0,0
2023-07-28,23,0,0
2023-07-29,7,1,0
2023-07-30,33,0,0
2023-07-31,22,2,0
2023-08-01,43,0,0
2023-08-02,22,2,0
2023-08-03,36,0,0
2023-08-04,71,1,0
2023-08-05,29,0,0
2023-08-06,24,1,0
2023-08-07,37,0,0
2023-08-08,46,1,0
2023-08-09,13,0,0
2023-08-10,60,0,0
2023-08-11,74,0,0
2023-08-12,12,0,0
2023-08-13,17,1,0
2023-08-14,38,10,0
2023-08-15,36,2,0
2023-08-16,36,8,0
2023-08-17,22,2,0
2023-08-18,60,4,0
2023-08-19,13,4,0
2023-08-20,9,2,0
2023-08-21,53,3,0
2023-08-22,51,0,0
2023-08-23,43,0,0
2023-08-24,59,0,0
2023-08-25,45,0,0
2023-08-26,10,0,0
2023-08-27,34,0,0
2023-08-28,43,0,0
2023-08-29,38,0,0
2023-08-30,56,0,0
2023-08-31,33,0,0
2023-09-01,29,4,0
2023-09-02,37,1,0
2023-09-03,23,0,0
2023-09-04,76,1,0
2023-09-05,40,26,0
2023-09-06,61,4,0
2023-09-07,51,0,0
2023-09-08,62,4,0
2023-09-09,29,2,0
2023-09-10,37,0,0
2023-09-11,34,0,0
2023-09-12,119,0,0
2023-09-13,48,0,4
2023-09-14,37,4,3
2023-09-15,19,0,0
2023-09-16,19,1,0
2023-09-17,7,2,0
2023-09-18,15,3,0
2023-09-19,16,13,0
2023-09-20,16,0,0
2023-09-21,21,0,0
2023-09-22,19,4,0
2023-09-23,64,0,0
2023-09-24,24,3,0
2023-09-25,46,11,0
2023-09-26,64,2,0
2023-09-27,42,0,0
2023-09-28,51,0,0
2023-09-29,24,0,0
2023-09-30,34,0,0
2023-10-01,34,0,0
2023-10-02,62,0,0
2023-10-03,15,2,0
2023-10-04,38,0,0
2023-10-05,26,0,0
2023-10-06,93,0,0
2023-10-07,19,0,0
2023-10-08,23,0,0
2023-10-09,21,0,0
2023-10-10,28,0,7
2023-10-11,24,0,3
2023-10-12,73,1,4
2023-10-13,26,0,5
2023-10-14,12,0,1
2023-10-15,36,0,0
2023-10-16,15,0,0
2023-10-17,21,2,0
2023-10-18,27,5,0
2023-10-19,44,0,0
2023-10-20,90,0,0
2023-10-21,25,0,0
2023-10-22,57,0,0
2023-10-23,33,0,0
2023-10-24,70,1,0
2023-10-25,63,0,0
2023-10-26,19,0,0
2023-10-27,42,0,0
2023-10-28,16,0,0
2023-10-29,30,1,0
2023-10-30,51,0,0
2023-10-31,50,1,0
2023-11-01,29,17,0
2023-11-02,14,0,0
2023-11-03,44,3,0
2023-11-04,42,0,0
2023-11-05,11,0,0
2023-11-06,56,0,1
2023-11-07,43,11,0
2023-11-08,29,0,0
2023-11-09,14,0,0
2023-11-10,35,0,0
2023-11-11,11,0,0
2023-11-12,31,0,0
2023-11-13,34,0,0
2023-11-14,20,2,0
2023-11-15,41,0,0
2023-11-16,23,0,1
2023-11-17,23,3,0
2023-11-18,8,1,0
2023-11-19,18,0,0
2023-11-20,26,5,0
2023-11-21,27,1,0
2023-11-22,78,0,0
2023-11-23,16,0,0
2023-11-24,40,1,0
2023-11-25,20,0,0
2023-11-26,23,0,0
2023-11-27,28,6,0
2023-11-28,24,1,0
2023-11-29,70,7,0
2023-11-30,92,10,0
2023-12-01,10,2,0
2023-12-02,10,3,0
2023-12-03,11,0,0
2023-12-04,74,3,0
2023-12-05,53,1,0
2023-12-06,30,3,0
2023-12-07,31,11,0
2023-12-08,65,3,0
2023-12-09,21,0,0
2023-12-10,11,0,0
2023-12-11,27,2,0
2023-12-12,34,1,0
2023-12-13,67,1,0
2023-12-14,39,1,0
2023-12-15,8,3,0
2023-12-16,17,1,0
2023-12-17,11,2,0
2023-12-18,44,0,0
2023-12-19,42,0,0
2023-12-20,26,4,0
2023-12-21,40,0,0
2023-12-22,37,0,0
2023-12-23,52,1,0
2023-12-24,18,1,0
2023-12-25,8,0,0
2023-12-26,24,2,0
2023-12-27,108,3,0
2023-12-28,73,0,0
2023-12-29,48,3,0
2023-12-30,21,0,3
2023-12-31,33,0,0
2024-01-01,18,2,0
2024-01-02,87,0,0
2024-01-03,35,0,0
2024-01-04,53,0,3
2024-01-05,78,6,0
2024-01-06,32,0,0
2024-01-07,24,4,0
2024-01-08,63,9,0
2024-01-09,27,1,0
2024-01-10,25,0,0
2024-01-11,25,2,0
2024-01-12,92,0,0
2024-01-13,32,0,0
2024-01-14,45,1,0
2024-01-15,28,9,0
2024-01-16,46,6,0
2024-01-17,34,0,0
2024-01-18,27,0,0
2024-01-19,70,4,0
2024-01-20,62,3,0
2024-01-21,26,4,0
2024-01-22,54,2,0
2024-01-23,31,2,0
2024-01-24,45,0,0
2024-01-25,30,2,0
2024-01-26,11,3,0
2024-01-27,17,0,0
2024-01-28,21,0,0
2024-01-29,42,1,0
2024-01-30,92,2,0
2024-01-31,72,0,0
2024-02-01,72,0,0
2024-02-02,67,0,0
2024-02-03,153,0,0
2024-02-04,174,0,0
2024-02-05,86,9,0
2024-02-06,63,7,1
2024-02-07,45,4,0
2024-02-08,21,2,0
2024-02-09,59,2,0
2024-02-10,16,0,0
2024-02-11,22,0,0
2024-02-12,84,0,0
2024-02-13,30,0,0
2024-02-14,56,0,0
2024-02-15,23,0,0
2024-02-16,75,0,0
2024-02-17,28,2,0
2024-02-18,34,0,0
2024-02-19,36,4,0
2024-02-20,26,2,0
2024-02-21,42,0,0
2024-02-22,62,2,0
2024-02-23,36,0,0
2024-02-24,40,0,0
2024-02-25,60,3,0
2024-02-26,62,7,0
2024-02-27,99,0,0
2024-02-28,78,0,0
2024-02-29,90,0,0
2024-03-01,73,8,0
2024-03-02,39,0,0
2024-03-03,54,0,0
2024-03-04,86,4,0
2024-03-05,132,2,0
2024-03-06,105,0,0
2024-03-07,23,18,0
2024-03-08,59,4,0
2024-03-09,50,0,0
2024-03-10,53,1,0
2024-03-11,117,1,0
2024-03-12,62,3,0
2024-03-13,105,7,0
2024-03-14,163,5,0
2024-03-15,63,0,0
2024-03-16,47,5,0
2024-03-17,40,11,0
2024-03-18,30,0,0
2024-03-19,40,0,0
2024-03-20,40,0,0
2024-03-21,31,13,0
2024-03-22,73,0,0
2024-03-23,30,0,0
2024-03-24,21,0,0
2024-03-25,48,4,0
2024-03-26,34,2,0
2024-03-27,60,10,0
2024-03-28,74,15,0
2024-03-29,45,0,0
2024-03-30,13,0,0
2024-03-31,19,1,0
2024-04-01,21,0,0
2024-04-02,100,8,0
2024-04-03,55,4,0
2024-04-04,40,6,0
2024-04-05,54,2,0
2024-04-06,56,0,0
2024-04-07,30,0,0
2024-04-08,63,0,0
2024-04-09,26,0,0
2024-04-10,20,0,0
2024-04-11,22,6,0
2024-04-12,44,3,0
2024-04-13,34,0,0
2024-04-14,19,0,0
2024-04-15,14,1,0
2024-04-16,20,0,0
2024-04-17,41,0,0
2024-04-18,25,5,2
2024-04-19,18,0,0
2024-04-20,22,2,0
2024-04-21,16,0,1
2024-04-22,22,0,0
2024-04-23,80,8,0
2024-04-24,61,2,0
2024-04-25,24,0,0
2024-04-26,16,0,0
2024-04-27,51,0,0
2024-04-28,24,3,0
2024-04-29,64,3,0
2024-04-30,42,0,0
2024-05-01,71,0,0
2024-05-02,37,0,0
2024-05-03,53,6,1
2024-05-04,28,0,0
2024-05-05,34,1,0
2024-05-06,66,0,0
2024-05-07,43,0,0
2024-05-08,45,4,0
2024-05-09,7,3,0
2024-05-10,37,0,0
2024-05-11,30,0,0
2024-05-12,22,4,0
2024-05-13,19,7,0
2024-05-14,53,16,0
2024-05-15,45,2,0
2024-05-16,35,2,0
2024-05-17,56,5,0
2024-05-18,31,0,0
2024-05-19,11,0,0
2024-05-20,30,1,0
2024-05-21,34,9,0
2024-05-22,37,3,0
2024-05-23,27,6,4
2024-05-24,90,0,4
2024-05-25,70,1,0
2024-05-26,36,5,0
2024-05-27,45,2,0
2024-05-28,50,8,0
2024-05-29,93,5,0
2024-05-30,54,17,0
2024-05-31,72,2,0
2024-06-01,13,0,0
2024-06-02,11,4,0
2024-06-03,100,4,0
2024-06-04,81,0,0
2024-06-05,50,2,0
2024-06-06,50,0,0
2024-06-07,74,0,0
2024-06-08,30,0,0
2024-06-09,31,0,0
2024-06-10,62,10,0
2024-06-11,101,3,0
2024-06-12,56,0,0
2024-06-13,55,0,0
2024-06-14,35,3,0
2024-06-15,44,0,0
2024-06-16,15,0,0
2024-06-17,32,4,0
2024-06-18,51,2,0
2024-06-19,32,0,0
2024-06-20,11,5,0
2024-06-21,134,0,0
2024-06-22,79,1,0
2024-06-23,24,3,0
2024-06-24,69,15,0
2024-06-25,61,5,0
2024-06-26,140,12,0
2024-06-27,77,1,0
2024-06-28,61,10,0
2024-06-29,48,2,0
2024-06-30,33,1,0
2024-07-01,71,10,0
2024-07-02,57,1,0
2024-07-03,55,0,0
2024-07-04,72,1,0
2024-07-05,85,0,0
2024-07-06,34,0,0
2024-07-07,47,0,0
2024-07-08,31,1,0
2024-07-09,31,0,0
2024-07-10,99,0,1
2024-07-11,28,0,0
2024-07-12,27,0,0
2024-07-13,8,0,1
2024-07-14,8,0,0
2024-07-15,17,0,0
2024-07-16,32,1,0
2024-07-17,22,0,0
2024-07-18,19,11,0
2024-07-19,98,0,0
2024-07-20,41,1,0
2024-07-21,35,0,0
2024-07-22,46,1,0
2024-07-23,42,0,3
2024-07-24,28,0,0
2024-07-25,30,0,0
2024-07-26,28,0,0
2024-07-27,12,0,0
2024-07-28,11,0,0
2024-07-29,71,0,0
2024-07-30,49,0,0
2024-07-31,95,0,0
2024-08-01,18,0,0
2024-08-02,61,0,0
2024-08-03,11,0,0
2024-08-04,10,4,0
2024-08-05,51,1,0
2024-08-06,44,0,0
2024-08-07,36,0,0
2024-08-08,18,0,0
2024-08-09,24,0,3
2024-08-10,42,0,4
2024-08-11,9,2,2
2024-08-12,79,5,1
2024-08-13,41,2,0
2024-08-14,70,1,0
2024-08-15,33,0,0
2024-08-16,86,0,0
2024-08-17,14,0,0
2024-08-18,34,3,0
2024-08-19,40,0,0
2024-08-20,29,0,0
2024-08-21,21,0,0
2024-08-22,29,0,0
2024-08-23,13,0,5
2024-08-24,21,0,0
2024-08-25,65,0,0
2024-08-26,34,0,0
2024-08-27,41,1,0
2024-08-28,76,0,0
2024-08-29,29,0,0
2024-08-30,77,0,0
2024-08-31,20,1,0
2024-09-01,19,0,0
2024-09-02,62,0,0
2024-09-03,80,0,0
2024-09-04,60,0,0
2024-09-05,26,0,0
2024-09-06,86,0,0
2024-09-07,10,0,0
2024-09-08,57,0,0
2024-09-09,28,2,0
2024-09-10,62,0,0
2024-09-11,55,18,0
2024-09-12,23,1,0
2024-09-13,39,6,0
2024-09-14,23,0,0
2024-09-15,8,0,0
2024-09-16,91,3,0
2024-09-17,34,9,0
2024-09-18,56,0,0
2024-09-19,29,0,0
2024-09-20,37,0,0
2024-09-21,21,0,0
2024-09-22,39,0,0
2024-09-23,118,1,0
2024-09-24,106,0,0
2024-09-25,50,0,0
2024-09-26,43,1,0
2024-09-27,119,3,11
2024-09-28,13,0,0
2024-09-29,5,0,0
2024-09-30,94,0,0
2024-10-01,81,2,0
2024-10-02,93,0,0
2024-10-03,71,0,0
2024-10-04,36,1,4
2024-10-05,29,0,0
2024-10-06,23,0,0
2024-10-07,37,2,0
2024-10-08,60,6,0
2024-10-09,55,6,0
2024-10-10,21,5,0
2024-10-11,117,0,0
2024-10-12,11,3,0
2024-10-13,17,0,0
2024-10-14,27,0,0
2024-10-15,22,0,0
2024-10-16,40,0,0
2024-10-17,18,0,0
2024-10-18,65,0,2
2024-10-19,77,0,0
2024-10-20,28,0,5
2024-10-21,54,5,0
2024-10-22,17,1,2
2024-10-23,30,2,1
2024-10-24,33,1,0
2024-10-25,107,2,0
2024-10-26,38,0,0
2024-10-27,8,0,0
2024-10-28,39,5,0
2024-10-29,85,4,0
2024-10-30,53,4,0
2024-10-31,34,4,0
2024-11-01,13,3,0
2024-11-02,26,0,0
2024-11-03,18,0,0
2024-11-04,102,0,0
2024-11-05,79,0,0
2024-11-06,58,2,0
2024-11-07,23,7,0
2024-11-08,72,7,0
2024-11-09,34,0,0
2024-11-10,36,1,0
2024-11-11,29,4,0
2024-11-12,11,1,0
2024-11-13,26,2,0
2024-11-14,36,1,0
2024-11-15,123,1,0
2024-11-16,6,0,0
2024-11-17,11,0,0
2024-11-18,24,6,0
2024-11-19,32,0,0
2024-11-20,36,0,0
2024-11-21,60,0,0
2024-11-22,91,0,0
2024-11-23,40,0,0
2024-11-24,27,0,0
2024-11-25,25,6,0
2024-11-26,85,1,0
2024-11-27,50,0,0
2024-11-28,93,0,0
2024-11-29,11,0,0
2024-11-30,17,0,0
2024-12-01,45,0,0
2024-12-02,55,1,0
2024-12-03,77,11,0
2024-12-04,59,5,0
2024-12-05,25,8,0
2024-12-06,66,3,0
2024-12-07,7,0,0
2024-12-08,11,0,0
2024-12-09,70,1,0
2024-12-10,86,5,0
2024-12-11,39,3,0
2024-12-12,74,7,0
2024-12-13,67,0,0
2024-12-14,14,0,0
2024-12-15,41,0,0
2024-12-16,40,7,0
2024-12-17,65,6,0
2024-12-18,66,1,0
2024-12-19,33,0,0
2024-12-20,58,4,0
2024-12-21,51,0,0
2024-12-22,57,0,0
2024-12-23,45,0,0
2024-12-24,39,0,0
2024-12-25,8,0,0
2024-12-26,17,0,0
2024-12-27,19,0,0
2024-12-28,26,0,0
2024-12-29,50,0,0
2024-12-30,51,0,0
2024-12-31,39,0,0
2025-01-01,15,0,0
2025-01-02,78,0,0
2025-01-03,66,0,0
2025-01-04,32,0,0
2025-01-05,18,0,0
2025-01-06,100,0,0
2025-01-07,29,1,0
2025-01-08,40,0,0
2025-01-09,57,0,0
2025-01-10,34,0,0
2025-01-11,21,0,0
2025-01-12,9,1,0
2025-01-13,59,2,0
2025-01-14,41,0,0
2025-01-15,36,2,0
2025-01-16,57,0,0
2025-01-17,59,3,0
2025-01-18,29,0,0
2025-01-19,54,1,0
2025-01-20,87,3,0
2025-01-21,37,2,0
2025-01-22,45,1,0
2025-01-23,56,0,0
2025-01-24,52,0,0
2025-01-25,19,0,0
2025-01-26,26,0,0
2025-01-27,41,4,0
2025-01-28,84,0,0
2025-01-29,102,1,0
2025-01-30,51,0,0
2025-01-31,83,1,0
2025-02-01,58,1,0
2025-02-02,44,0,5
2025-02-03,67,2,0
2025-02-04,106,0,0
2025-02-05,85,0,0
2025-02-06,48,0,0
2025-02-07,89,0,0
2025-02-08,126,0,0
2025-02-09,179,0,0
2025-02-10,61,6,0
2025-02-11,39,0,0
2025-02-12,48,2,0
2025-02-13,19,2,0
2025-02-14,37,13,0
2025-02-15,20,0,0
2025-02-16,15,2,0
2025-02-17,37,1,0
2025-02-18,29,0,1
2025-02-19,43,0,0
2025-02-20,52,1,0
2025-02-21,59,0,0
2025-02-22,27,0,0
2025-02-23,19,0,0
2025-02-24,34,9,1
2025-02-25,72,2,0
2025-02-26,53,0,0
2025-02-27,41,0,0
2025-02-28,74,1,0
2025-03-01,43,0,0
2025-03-02,78,0,0
2025-03-03,23,10,0
2025-03-04,64,0,0
2025-03-05,54,0,0
2025-03-06,38,2,0
2025-03-07,64,0,0
2025-03-08,31,0,0
2025-03-09,25,0,0
2025-03-10,25,3,0
2025-03-11,93,3,0
2025-03-12,12,0,0
2025-03-13,28,1,0
2025-03-14,54,0,0
2025-03-15,25,0,0
2025-03-16,34,0,0
2025-03-17,23,5,0
2025-03-18,28,3,0
2025-03-19,25,0,0
2025-03-20,32,0,0
2025-03-21,52,0,0
2025-03-22,30,0,0
2025-03-23,52,0,0
2025-03-24,45,2,0
2025-03-25,66,0,0
2025-03-26,82,0,0
2025-03-27,61,0,0
2025-03-28,82,0,0
2025-03-29,45,0,0
2025-03-30,83,0,0
2025-03-31,88,0,0
2025-04-01,51,0,0
2025-04-02,62,0,0
2025-04-03,30,0,0
2025-04-04,56,0,0
2025-04-05,25,0,0
2025-04-06,12,0,0
2025-04-07,26,0,0
2025-04-08,31,0,0
2025-04-09,26,0,0
2025-04-10,38,0,0
2025-04-11,81,1,0
2025-04-12,21,0,0
2025-04-13,13,1,0
2025-04-14,78,12,0
2025-04-15,30,8,0
2025-04-16,31,1,0
2025-04-17,19,3,0
2025-04-18,17,0,0
2025-04-19,77,0,0
2025-04-20,38,0,0
2025-04-21,18,4,0
2025-04-22,53,0,0
2025-04-23,26,8,0
2025-04-24,54,6,0
2025-04-25,51,5,0
2025-04-26,22,1,0
2025-04-27,12,0,0
2025-04-28,38,24,0
2025-04-29,54,1,0
2025-04-30,102,1,0
2025-05-01,48,3,0
2025-05-02,19,2,0
2025-05-03,36,0,0
2025-05-04,45,0,0
2025-05-05,50,0,0
2025-05-06,69,0,0
2025-05-07,58,0,0
2025-05-08,39,0,0
2025-05-09,75,1,0
2025-05-10,7,0,0
2025-05-11,32,0,0
2025-05-12,37,0,0
2025-05-13,19,2,0
2025-05-14,61,1,0
2025-05-15,22,0,0
2025-05-16,101,0,0
2025-05-17,12,0,0
2025-05-18,22,0,0
2025-05-19,78,0,1
2025-05-20,55,0,0
2025-05-21,42,0,0
2025-05-22,54,0,0
2025-05-23,70,0,0
2025-05-24,12,0,1
2025-05-25,15,0,0
2025-05-26,111,0,0
2025-05-27,54,0,0
2025-05-28,56,0,0
2025-05-29,15,0,0
2025-05-30,21,2,0
2025-05-31,24,0,0
2025-06-01,6,0,0
2025-06-02,55,5,0
2025-06-03,26,13,0
2025-06-04,43,5,1
2025-06-05,16,1,0
2025-06-06,7,23,1
2025-06-07,12,2,0
2025-06-08,9,0,0
2025-06-09,13,5,0
2025-06-10,113,11,0
2025-06-11,104,6,0
2025-06-12,27,0,0
2025-06-13,49,1,0
2025-06-14,12,4,0
2025-06-15,10,1,0
2025-06-16,40,7,0
2025-06-17,20,1,0
2025-06-18,17,0,0
2025-06-19,22,3,0
2025-06-20,41,0,0
2025-06-21,4,1,0
2025-06-22,14,0,0
2025-06-23,112,3,0
2025-06-24,57,2,0
2025-06-25,50,23,0
2025-06-26,76,18,0
2025-06-27,67,0,0
2025-06-28,22,0,0
2025-06-29,7,3,0
2025-06-30,50,0,0
2025-07-01,83,0,0
2025-07-02,63,2,0
2025-07-03,34,1,0
2025-07-04,69,4,0
2025-07-05,27,0,0
2025-07-06,13,1,0
2025-07-07,24,1,0
2025-07-08,44,0,0
2025-07-09,42,0,0
2025-07-10,22,4,0
2025-07-11,18,2,0
2025-07-12,7,0,0
2025-07-13,17,0,0
2025-07-14,90,5,0
2025-07-15,43,0,0
2025-07-16,42,0,0
2025-07-17,30,0,0
2025-07-18,37,0,0
2025-07-19,44,0,0
2025-07-20,19,0,0
2025-07-21,45,7,0
2025-07-22,29,2,0
2025-07-23,52,0,0
2025-07-24,42,0,0
2025-07-25,23,1,0
2025-07-26,8,0,0
2025-07-27,31,0,0
2025-07-28,45,0,0
2025-07-29,22,6,0
2025-07-30,59,0,0
2025-07-31,42,1,0
2025-08-01,27,0,0
2025-08-02,9,0,0
2025-08-03,8,2,0
2025-08-04,86,0,0
2025-08-05,68,0,0
2025-08-06,71,0,0
2025-08-07,22,0,0
2025-08-08,41,0,0
2025-08-09,10,0,6
2025-08-10,30,0,3
2025-08-11,69,0,0
2025-08-12,41,0,0
2025-08-13,34,0,0
2025-08-14,17,0,0
2025-08-15,71,0,0
2025-08-16,11,0,0
2025-08-17,21,0,0
2025-08-18,20,0,0
