,microsoft/terminal,mintty/mintty,alacritty/alacritty
2018-05-30,-0.008398852535937478,1,1
2018-05-31,1.0,0,0
2018-06-01,-0.10000000000000009,4,0
2018-06-02,-0.04500000000000003,0,74
2018-06-03,-0.028500000000000022,0,0
2018-06-04,-0.020662499999999924,0,0
2018-06-05,0.9838832500000001,1,0
2018-06-06,0.8868379875,1,0
2018-06-07,-0.15609369625000008,1,2
2018-06-08,-0.08306831301562503,2,1
2018-06-09,-0.05756135253593743,0,0
2018-06-10,-0.036779249999999875,0,0
2018-06-11,-0.02927876249999991,0,0
2018-06-12,-0.024255708749999928,4,0
2018-06-13,-0.02066200926562494,0,0
2018-06-14,-0.017967165551562456,1,0
2018-06-15,-0.008398852535937478,1,0
2018-06-16,0.0,0,2
2018-06-17,0.0,0,1
2018-06-18,0.0,3,1
2018-06-19,0.0,1,1
2018-06-20,0.0,2,0
2018-06-21,0.0,1,0
2018-06-22,0.0,0,0
2018-06-23,0.0,0,1
2018-06-24,0.0,1,0
2018-06-25,0.0,0,0
2018-06-26,0.0,3,1
2018-06-27,0.0,1,0
2018-06-28,0.0,2,0
2018-06-29,0.0,1,0
2018-06-30,0.0,0,0
2018-07-01,0.0,9,4
2018-07-02,0.0,0,2
2018-07-03,0.0,0,1
2018-07-04,0.0,0,0
2018-07-05,0.0,1,1
2018-07-06,0.0,0,1
2018-07-07,0.0,0,0
2018-07-08,0.0,0,0
2018-07-09,0.0,1,1
2018-07-10,0.0,1,0
2018-07-11,0.0,0,0
2018-07-12,0.0,0,0
2018-07-13,0.0,0,0
2018-07-14,0.0,0,0
2018-07-15,0.0,0,4
2018-07-16,0.0,0,1
2018-07-17,0.0,0,0
2018-07-18,0.0,1,1
2018-07-19,0.0,1,1
2018-07-20,0.0,0,1
2018-07-21,0.0,0,4
2018-07-22,0.0,0,2
2018-07-23,0.0,1,1
2018-07-24,0.0,0,0
2018-07-25,0.0,1,2
2018-07-26,0.0,6,2
2018-07-27,0.0,0,0
2018-07-28,0.0,0,2
2018-07-29,0.0,0,4
2018-07-30,0.0,0,0
2018-07-31,0.0,0,0
2018-08-01,0.0,0,0
2018-08-02,0.0,0,0
2018-08-03,0.0,0,1
2018-08-04,0.0,0,0
2018-08-05,0.0,0,2
2018-08-06,0.0,0,0
2018-08-07,0.0,0,0
2018-08-08,0.0,0,0
2018-08-09,0.0,1,0
2018-08-10,0.0,0,0
2018-08-11,0.0,0,0
2018-08-12,0.0,2,0
2018-08-13,0.0,5,0
2018-08-14,0.0,0,0
2018-08-15,0.0,0,1
2018-08-16,0.0,0,0
2018-08-17,0.0,2,0
2018-08-18,0.0,0,0
2018-08-19,1.0,0,0
2018-08-20,-0.10000000000000009,0,0
2018-08-21,-0.04500000000000003,1,0
2018-08-22,-0.028500000000000022,0,0
2018-08-23,-0.020662499999999924,0,0
2018-08-24,-0.016116749999999947,3,0
2018-08-25,-0.01316201249999996,0,0
2018-08-26,-0.011093696249999967,0,0
2018-08-27,-0.009568313015624975,1,0
2018-08-28,-0.008398852535937478,1,0
2018-08-29,0.0,0,0
2018-08-30,0.0,0,0
2018-08-31,0.0,0,0
2018-09-01,0.0,0,0
2018-09-02,0.0,6,1
2018-09-03,0.0,3,0
2018-09-04,0.0,3,0
2018-09-05,0.0,0,2
2018-09-06,0.0,0,0
2018-09-07,0.0,2,0
2018-09-08,0.0,2,0
2018-09-09,0.0,1,0
2018-09-10,1.0,0,0
2018-09-11,0.8999999999999999,2,0
2018-09-12,0.8549999999999999,2,0
2018-09-13,-0.17350000000000015,3,0
2018-09-14,-0.09416249999999998,0,0
2018-09-15,-0.0652792499999999,0,0
2018-09-16,-0.04994126249999983,1,0
2018-09-17,-0.040372458749999875,2,11
2018-09-18,-0.0338240217656249,0,3
2018-09-19,-0.02906086180156242,1,3
2018-09-20,2.9820328344484377,2,9
2018-09-21,2.691601147464062,3,0
2018-09-22,-0.4350000000000004,4,1
2018-09-23,-0.22050000000000014,2,2
2018-09-24,-0.14748749999999983,3,3
2018-09-25,-0.11033774999999962,3,1
2018-09-26,-0.08783628749999972,0,2
2018-09-27,-0.07276712624999979,2,1
2018-09-28,-0.06198602779687483,0,3
2018-09-29,-0.05390149665468736,0,1
2018-09-30,-0.025196557607812434,0,2
2018-10-01,0.0,0,0
2018-10-02,12.0,1,0
2018-10-03,-1.200000000000001,4,3
2018-10-04,0.45999999999999963,5,0
2018-10-05,-0.44200000000000034,0,0
2018-10-06,0.7070500000000008,0,0
2018-10-07,-0.3219009999999995,0,2
2018-10-08,0.7763933500000005,0,0
2018-10-09,-0.2777411049999997,1,0
2018-10-10,0.8063557313125004,0,0
2018-10-11,-0.25649667668124976,0,0
2018-10-12,0.9116071744843751,0,0
2018-10-13,-0.1641092987859375,0,0
2018-10-14,-0.08839282551562488,2,2
2018-10-15,-0.06410929878593742,0,0
2018-10-16,-0.04339282551562486,0,3
2018-10-17,-0.035609298785937396,0,1
2018-10-18,-0.022730325515624934,1,1
2018-10-19,-0.019492548785937445,0,0
2018-10-20,-0.009568313015624975,0,2
2018-10-21,-0.008398852535937478,0,0
2018-10-22,0.0,1,2
2018-10-23,0.0,0,0
2018-10-24,0.0,0,0
2018-10-25,0.0,0,0
2018-10-26,0.0,0,0
2018-10-27,0.0,0,5
2018-10-28,0.0,0,0
2018-10-29,0.0,4,2
2018-10-30,0.0,0,2
2018-10-31,0.0,5,3
2018-11-01,0.0,7,5
2018-11-02,0.0,1,1
2018-11-03,0.0,0,2
2018-11-04,0.0,1,2
2018-11-05,0.0,1,0
2018-11-06,0.0,0,1
2018-11-07,0.0,0,2
2018-11-08,0.0,0,0
2018-11-09,0.0,0,0
2018-11-10,0.0,2,2
2018-11-11,0.0,0,3
2018-11-12,0.0,1,3
2018-11-13,0.0,0,3
2018-11-14,0.0,1,4
2018-11-15,0.0,2,2
2018-11-16,0.0,0,1
2018-11-17,0.0,0,2
2018-11-18,0.0,0,3
2018-11-19,0.0,0,3
2018-11-20,0.0,0,0
2018-11-21,0.0,0,0
2018-11-22,0.0,1,0
2018-11-23,0.0,0,2
2018-11-24,0.0,0,1
2018-11-25,0.0,2,0
2018-11-26,0.0,0,0
2018-11-27,0.0,2,0
2018-11-28,0.0,0,0
2018-11-29,3.0,1,0
2018-11-30,-0.30000000000000027,0,0
2018-12-01,-0.1350000000000001,0,0
2018-12-02,-0.08550000000000006,0,3
2018-12-03,-0.06198749999999977,2,1
2018-12-04,-0.048350249999999845,3,0
2018-12-05,-0.03948603749999988,4,0
2018-12-06,-0.0332810887499999,0,3
2018-12-07,-0.028704939046874926,2,1
2018-12-08,-0.025196557607812434,1,3
2018-12-09,0.0,2,3
2018-12-10,0.0,2,1
2018-12-11,0.0,2,0
2018-12-12,0.0,3,1
2018-12-13,0.0,0,0
2018-12-14,0.0,0,2
2018-12-15,0.0,0,2
2018-12-16,0.0,0,0
2018-12-17,0.0,0,1
2018-12-18,0.0,0,1
2018-12-19,0.0,1,0
2018-12-20,0.0,0,2
2018-12-21,0.0,1,0
2018-12-22,0.0,0,1
2018-12-23,0.0,1,1
2018-12-24,0.0,0,0
2018-12-25,0.0,0,0
2018-12-26,0.0,0,0
2018-12-27,0.0,0,4
2018-12-28,0.0,0,2
2018-12-29,0.0,0,0
2018-12-30,0.0,0,0
2018-12-31,0.0,0,2
2019-01-01,0.0,1,0
2019-01-02,0.0,0,3
2019-01-03,0.0,0,1
2019-01-04,0.0,1,0
2019-01-05,0.0,3,5
2019-01-06,0.0,1,1
2019-01-07,0.0,0,3
2019-01-08,0.0,1,2
2019-01-09,0.0,3,2
2019-01-10,0.0,1,0
2019-01-11,0.0,0,1
2019-01-12,0.0,0,1
2019-01-13,0.0,0,1
2019-01-14,0.0,0,0
2019-01-15,0.0,0,0
2019-01-16,0.0,0,0
2019-01-17,0.0,4,2
2019-01-18,0.0,0,0
2019-01-19,0.0,3,3
2019-01-20,0.0,3,1
2019-01-21,0.0,0,3
2019-01-22,0.0,1,0
2019-01-23,0.0,4,2
2019-01-24,0.0,0,0
2019-01-25,0.0,5,0
2019-01-26,0.0,1,0
2019-01-27,0.0,0,1
2019-01-28,0.0,2,2
2019-01-29,0.0,1,0
2019-01-30,0.0,0,0
2019-01-31,0.0,0,0
2019-02-01,0.0,1,0
2019-02-02,0.0,0,2
2019-02-03,0.0,0,2
2019-02-04,0.0,0,3
2019-02-05,0.0,1,2
2019-02-06,0.0,1,1
2019-02-07,0.0,3,2
2019-02-08,0.0,4,2
2019-02-09,0.0,0,1
2019-02-10,0.0,6,3
2019-02-11,0.0,0,2
2019-02-12,0.0,0,0
2019-02-13,0.0,2,1
2019-02-14,0.0,0,0
2019-02-15,0.0,2,0
2019-02-16,0.0,0,3
2019-02-17,0.0,0,0
2019-02-18,0.0,1,1
2019-02-19,0.0,1,0
2019-02-20,0.0,0,0
2019-02-21,0.0,0,2
2019-02-22,0.0,0,0
2019-02-23,0.0,0,0
2019-02-24,0.0,0,0
2019-02-25,0.0,0,1
2019-02-26,0.0,0,0
2019-02-27,4.0,0,0
2019-02-28,-0.40000000000000036,3,0
2019-03-01,-0.18000000000000013,0,0
2019-03-02,-0.11400000000000009,1,4
2019-03-03,-0.0826499999999997,1,1
2019-03-04,-0.06446699999999979,0,3
2019-03-05,-0.05264804999999984,0,0
2019-03-06,-0.04437478499999987,4,0
2019-03-07,-0.0382732520624999,8,1
2019-03-08,-0.033595410143749914,0,1
2019-03-09,0.0,0,0
2019-03-10,0.0,0,0
2019-03-11,0.0,1,1
2019-03-12,0.0,2,2
2019-03-13,0.0,1,1
2019-03-14,0.0,2,2
2019-03-15,0.0,4,3
2019-03-16,0.0,1,0
2019-03-17,0.0,1,1
2019-03-18,0.0,0,0
2019-03-19,0.0,1,2
2019-03-20,0.0,4,0
2019-03-21,0.0,2,2
2019-03-22,0.0,0,0
2019-03-23,0.0,0,1
2019-03-24,0.0,0,1
2019-03-25,0.0,1,1
2019-03-26,0.0,0,1
2019-03-27,0.0,5,0
2019-03-28,3.0,9,2
2019-03-29,5.699999999999999,3,1
2019-03-30,-0.7350000000000007,0,2
2019-03-31,-0.35550000000000026,0,1
2019-04-01,0.7670125000000001,2,2
2019-04-02,6.72767475,3,2
2019-04-03,-0.8811865375000002,0,1
2019-04-04,-0.4557531637499999,1,5
2019-04-05,-0.3154296165468748,1,0
2019-04-06,-0.24336068570156172,2,1
2019-04-07,-0.17637237771562447,0,1
2019-04-08,-0.10322778374999969,1,4
2019-04-09,-0.08722418676562474,0,6
2019-04-10,-0.07537704364531231,5,3
2019-04-11,-0.05879196775156235,1,2
2019-04-12,0.0,1,0
2019-04-13,0.0,0,0
2019-04-14,0.0,0,1
2019-04-15,0.0,0,0
2019-04-16,0.0,0,0
2019-04-17,0.0,1,1
2019-04-18,0.0,1,0
2019-04-19,0.0,0,5
2019-04-20,0.0,0,1
2019-04-21,2.0,0,2
2019-04-22,-0.20000000000000018,0,4
2019-04-23,5.91,1,3
2019-04-24,-0.6570000000000006,0,1
2019-04-25,2.688675,1,3
2019-04-26,0.49676649999999967,0,0
2019-04-27,-0.3852990249999997,0,0
2019-04-28,-0.2493878924999997,0,7
2019-04-29,2.8114037989687506,0,1
2019-04-30,1.5476273674281251,2,2
2019-05-01,-0.44801266559374997,4,1
2019-05-02,2.727663783534375,0,0
2019-05-03,0.541213864703125,4,1
2019-05-04,-0.3594401206234373,0,1
2019-05-05,-0.21061839003593735,0,0
2019-05-06,2.8499073862500004,1,0
2019-05-07,16.580094918453124,2,1
2019-05-08,0.06506402886093632,0,1
2019-05-09,8.886259193678125,1,1
2019-05-10,5.323713864703124,3,1
2019-05-11,-0.641377620623437,1,3
2019-05-12,-0.06319464003593689,4,1
2019-05-13,6.1596061987500015,1,1
2019-05-14,15.677073199703127,0,1
2019-05-15,3.481354853626562,0,0
2019-05-16,3.033732580857812,0,1
2019-05-17,2.381447028521875,3,1
2019-05-18,1.5646978247812515,2,0
2019-05-19,-1.1920478145171862,0,1
2019-05-20,3.231609748198439,1,1
2019-05-21,10.00832429510469,5,0
2019-05-22,4.239719970982813,1,0
2019-05-23,12.434342847545313,0,0
2019-05-24,7.7517544972062495,8,0
2019-05-25,-2.2063031034921874,2,1
2019-05-26,-1.2652076491906243,3,0
2019-05-27,-0.8853289801078108,4,0
2019-05-28,5.328464514187502,1,1
2019-05-29,1.849155294184376,1,0
2019-05-30,5.993270871510938,0,0
2019-05-31,-1.3012864599343752,0,0
2019-06-01,1.2622579343406257,0,0
2019-06-02,-0.6421765253593745,0,1
2019-06-03,-0.3619598249999992,0,3
2019-06-04,14.724134535000001,0,0
2019-06-05,-0.7241500543437507,6,0
2019-06-06,0.036012571987499964,2,3
2019-06-07,3.3090012262828123,8,1
2019-06-08,-0.8644168602515616,0,1
2019-06-09,-0.49005037603124924,4,5
2019-06-10,2.634992857428126,1,0
2019-06-11,3.421665793750001,3,0
2019-06-12,7.232752596015625,2,0
2019-06-13,-0.2647928473046879,0,2
2019-06-14,4.3016705494484375,0,0
2019-06-15,-0.9506723545984376,4,4
2019-06-16,-0.5563484476437491,1,5
2019-06-17,1.6219743612500006,1,1
2019-06-18,7.502194925953126,4,1
2019-06-19,1.8640348578296875,0,1
2019-06-20,2.09595432698125,1,1
2019-06-21,1.163447385446875,3,2
2019-06-22,0.32572608238593803,0,0
2019-06-23,0.4652602123203131,0,2
2019-06-24,2.5601787575000006,1,0
2019-06-25,3.3894525164687503,0,3
2019-06-26,2.2174926645531254,2,0
2019-06-27,1.242219876915625,5,0
2019-06-28,2.3836448483453125,0,1
2019-06-29,2.324910857610938,0,1
2019-06-30,-0.6954002518374998,0,1
2019-07-01,0.5859284456984379,0,0
2019-07-02,7.599314385917188,0,0
2019-07-03,-0.07841267342031255,0,0
2019-07-04,-0.6608240291906249,3,0
2019-07-05,1.5892371901109377,1,0
2019-07-06,0.5112995171312507,0,2
2019-07-07,-0.406660009154687,1,2
2019-07-08,0.7402968961421879,0,2
2019-07-09,2.7186951044843752,2,0
2019-07-10,10.506064947089063,4,3
2019-07-11,5.617300091696874,0,0
2019-07-12,4.6550892424640615,0,0
2019-07-13,-0.3368345722812507,4,0
2019-07-14,-0.8846657805874993,0,1
2019-07-15,0.4030996637140636,1,1
2019-07-16,2.447076210734376,0,1
2019-07-17,2.2863684621671885,2,0
2019-07-18,2.233307300470313,0,0
2019-07-19,3.219747740995313,1,0
2019-07-20,-0.8258997920953124,0,0
2019-07-21,-0.4489611907312496,0,0
2019-07-22,-0.28331633628593705,4,1
2019-07-23,4.786664310734376,0,1
2019-07-24,3.3256620821671876,1,1
2019-07-25,8.235169364595313,1,0
2019-07-26,3.6792237183453116,0,1
2019-07-27,-1.1857823096703128,1,0
2019-07-28,-0.6783291601437497,0,2
2019-07-29,2.541260437500001,0,0
2019-07-30,7.343520218750001,0,1
2019-07-31,-0.22625821257812495,1,0
2019-08-01,2.208579156507813,0,3
2019-08-02,1.1898337914656252,0,0
2019-08-03,-0.7005814879015617,0,1
2019-08-04,-0.4065768001796869,1,3
2019-08-05,2.7263185612500007,0,0
2019-08-06,7.479708228453125,1,2
2019-08-07,0.8804437045171873,1,0
2019-08-08,0.21813575294687482,1,1
2019-08-09,1.4607213159171875,0,0
2019-08-10,-0.5599834336390619,0,0
2019-08-11,0.6549572574281257,0,0
2019-08-12,0.6515268112500004,2,0
2019-08-13,1.6537797159531256,1,0
2019-08-14,2.557174033267188,0,0
2019-08-15,0.4370923324312501,0,2
2019-08-16,6.6226673394125,0,0
2019-08-17,-0.928639241067188,0,0
2019-08-18,-0.4787744138218748,0,1
2019-08-19,2.6845012157343753,0,1
2019-08-20,8.459605154448438,1,0
2019-08-21,4.778204170182812,2,0
2019-08-22,0.7607695721312495,1,0
2019-08-23,1.0990917556265625,1,0
2019-08-24,-0.7706897936453119,0,1
2019-08-25,-0.5143037552515615,0,4
2019-08-26,1.6532352987500007,5,1
2019-08-27,-0.48107878029687434,2,0
2019-08-28,1.673568922751563,0,3
2019-08-29,16.561489031582813,1,0
2019-08-30,0.07695786625312384,0,0
2019-08-31,-1.0901678311031255,0,0
2019-09-01,-0.6589467300718752,0,0
2019-09-02,-0.46268339249999857,1,0
2019-09-03,34.639229598968754,1,1
2019-09-04,6.205027189928122,8,0
2019-09-05,2.1909465127187486,0,0
2019-09-06,-0.14914641883750068,1,1
2019-09-07,-1.595104619142185,0,0
2019-09-08,-1.0200089550718725,0,0
2019-09-09,3.2178495625000023,2,2
2019-09-10,2.9581917562500015,0,1
2019-09-11,1.8761285194531259,0,0
2019-09-12,-0.06543547516406178,2,0
2019-09-13,1.4143325170625003,2,1
2019-09-14,-0.5387478887109372,0,0
2019-09-15,-0.31440025507187447,5,0
2019-09-16,3.7769644150000006,1,2
2019-09-17,6.4204241754375,0,0
2019-09-18,-0.030545263456250193,0,1
2019-09-19,6.371281929559375,0,1
2019-09-20,0.9158977368765622,0,0
2019-09-21,-0.7801399785671871,0,1
2019-09-22,-0.49242550507187455,0,0
2019-09-23,6.645736877500001,1,0
2019-09-24,7.0167666116875,0,1
2019-09-25,0.6489651149968747,0,0
2019-09-26,2.0681598204828124,4,3
2019-09-27,5.139798063854688,6,0
2019-09-28,-0.14804584378281205,0,2
2019-09-29,-0.7346907925718744,0,0
2019-09-30,4.506827026250001,0,0
2019-10-01,6.117122963890626,5,0
2019-10-02,4.7606250981234375,0,1
2019-10-03,1.7278026399312498,0,0
2019-10-04,5.00196066588125,1,1
2019-10-05,-1.224921381951562,4,1
2019-10-06,-0.7180637407312491,3,1
2019-10-07,-0.4856894212859366,0,0
2019-10-08,1.6232052361718763,0,0
2019-10-09,1.488278831210938,1,2
2019-10-10,-0.5184550095953122,0,0
2019-10-11,2.7073397682375004,0,1
2019-10-12,-0.48093143570156244,3,0
2019-10-13,-0.2589516152156247,0,0
2019-10-14,-0.14405752499999988,0,2
2019-10-15,6.889501082500001,1,2
2019-10-16,1.2103257314687497,4,3
2019-10-17,6.409579631396875,0,1
2019-10-18,2.9604212061781245,0,0
2019-10-19,-0.945342439046875,0,0
2019-10-20,-0.5588388076078122,0,1
2019-10-21,0.6169949125000008,1,0
2019-10-22,1.600552851250001,1,1
2019-10-23,-0.4907666711093745,0,1
2019-10-24,3.673267482467188,0,2
2019-10-25,-0.6058131811812499,1,0
2019-10-26,-0.33450696981406214,0,1
2019-10-27,-0.19299092264374984,0,0
2019-10-28,0.8799322787500004,1,0
2019-10-29,-0.1962227055156248,1,2
2019-10-30,-0.1251835285671873,0,0
2019-10-31,5.910327509928125,0,1
2019-11-01,5.341064247937499,1,0
2019-11-02,-0.9197121601437506,0,2
2019-11-03,-0.45416201250000027,2,3
2019-11-04,3.6939313037500003,0,2
2019-11-05,4.369756186984375,0,0
2019-11-06,4.135928572464063,2,0
2019-11-07,1.0154657474999997,2,0
2019-11-08,5.22587794440625,3,0
2019-11-09,-1.1080824933093747,0,0
2019-11-10,-0.6139374152156243,0,1
2019-11-11,0.5969064025000006,1,3
2019-11-12,2.584239704187501,1,1
2019-11-13,5.395070018528125,1,1
