,kamranahmedse/developer-roadmap,bregman-arie/devops-exercises,liuchong/awesome-roadmaps
2020-11-08,-0.04500000000000003,0,0
2020-11-09,-0.028500000000000022,0,0
2020-11-10,-0.020662499999999924,0,0
2020-11-11,-0.016116749999999947,0,0
2020-11-12,-0.01316201249999996,0,0
2020-11-13,-0.011093696249999967,0,0
2020-11-14,-0.009568313015624975,0,0
2020-11-15,-0.008398852535937478,0,0
2020-11-16,0.0,0,0
2020-11-17,0.0,0,0
2020-11-18,0.0,0,0
2020-11-19,0.0,1,0
2020-11-20,0.0,0,0
2020-11-21,1.0,0,0
2020-11-22,0.8999999999999999,0,0
2020-11-23,-0.14500000000000013,0,0
2020-11-24,-0.07350000000000005,2,0
2020-11-25,-0.04916249999999994,0,0
2020-11-26,-0.036779249999999875,0,0
2020-11-27,-0.02927876249999991,0,0
2020-11-28,-0.024255708749999928,0,0
2020-11-29,-0.02066200926562494,0,0
2020-11-30,-0.017967165551562456,0,0
2020-12-01,-0.008398852535937478,0,0
2020-12-02,0.0,0,0
2020-12-03,0.0,0,0
2020-12-04,0.0,0,0
2020-12-05,0.0,0,0
2020-12-06,0.0,0,0
2020-12-07,0.0,0,0
2020-12-08,0.0,0,0
2020-12-09,0.0,2,0
2020-12-10,0.0,3,0
2020-12-11,0.0,0,0
2020-12-12,0.0,1,0
2020-12-13,0.0,0,0
2020-12-14,0.0,0,0
2020-12-15,0.0,0,0
2020-12-16,0.0,3,0
2020-12-17,0.0,0,5
2020-12-18,0.0,1,0
2020-12-19,0.0,0,0
2020-12-20,0.0,0,0
2020-12-21,0.0,0,0
2020-12-22,0.0,1,0
2020-12-23,0.0,0,0
2020-12-24,0.0,0,0
2020-12-25,0.0,0,0
2020-12-26,0.0,0,0
2020-12-27,0.0,0,0
2020-12-28,0.0,0,0
2020-12-29,0.0,0,0
2020-12-30,0.0,0,0
2020-12-31,0.0,0,0
2021-01-01,0.0,0,0
2021-01-02,0.0,2,0
2021-01-03,0.0,1,0
2021-01-04,0.0,0,0
2021-01-05,0.0,0,0
2021-01-06,0.0,0,0
2021-01-07,1.0,0,0
2021-01-08,0.8999999999999999,0,0
2021-01-09,-0.14500000000000013,0,0
2021-01-10,-0.07350000000000005,0,0
2021-01-11,-0.04916249999999994,1,0
2021-01-12,-0.036779249999999875,0,0
2021-01-13,-0.02927876249999991,0,0
2021-01-14,-0.024255708749999928,0,0
2021-01-15,-0.02066200926562494,0,0
2021-01-16,-0.017967165551562456,0,0
2021-01-17,-0.008398852535937478,0,0
2021-01-18,0.0,0,0
2021-01-19,0.0,0,0
2021-01-20,0.0,1,0
2021-01-21,0.0,0,0
2021-01-22,0.0,4,0
2021-01-23,0.0,2,0
2021-01-24,0.0,2,0
2021-01-25,0.0,0,0
2021-01-26,0.0,0,0
2021-01-27,0.0,0,0
2021-01-28,0.0,0,0
2021-01-29,0.0,0,0
2021-01-30,0.0,0,0
2021-01-31,0.0,0,0
2021-02-01,0.0,0,0
2021-02-02,1.0,0,0
2021-02-03,-0.10000000000000009,0,0
2021-02-04,-0.04500000000000003,0,0
2021-02-05,-0.028500000000000022,0,0
2021-02-06,-0.020662499999999924,0,0
2021-02-07,-0.016116749999999947,0,0
2021-02-08,-0.01316201249999996,0,0
2021-02-09,-0.011093696249999967,0,0
2021-02-10,-0.009568313015624975,0,0
2021-02-11,-0.008398852535937478,0,0
2021-02-12,0.0,0,0
2021-02-13,0.0,0,0
2021-02-14,0.0,0,0
2021-02-15,0.0,0,0
2021-02-16,0.0,1,0
2021-02-17,0.0,1,0
2021-02-18,0.0,0,0
2021-02-19,0.0,0,0
2021-02-20,0.0,1,0
2021-02-21,0.0,0,0
2021-02-22,0.0,0,0
2021-02-23,0.0,0,0
2021-02-24,0.0,0,0
2021-02-25,0.0,0,0
2021-02-26,0.0,1,0
2021-02-27,0.0,0,0
2021-02-28,0.0,2,0
2021-03-01,0.0,0,0
2021-03-02,0.0,0,0
2021-03-03,0.0,0,0
2021-03-04,0.0,0,0
2021-03-05,0.0,0,0
2021-03-06,0.0,1,0
2021-03-07,0.0,0,0
2021-03-08,0.0,0,0
2021-03-09,0.0,0,0
2021-03-10,0.0,0,0
2021-03-11,0.0,0,0
2021-03-12,0.0,0,0
2021-03-13,0.0,0,0
2021-03-14,0.0,0,0
2021-03-15,0.0,0,0
2021-03-16,0.0,0,0
2021-03-17,0.0,0,0
2021-03-18,0.0,0,0
2021-03-19,0.0,0,0
2021-03-20,0.0,0,0
2021-03-21,0.0,0,0
2021-03-22,0.0,0,0
2021-03-23,0.0,0,0
2021-03-24,0.0,0,0
2021-03-25,0.0,0,0
2021-03-26,0.0,0,0
2021-03-27,0.0,0,0
2021-03-28,0.0,0,0
2021-03-29,0.0,0,0
2021-03-30,0.0,1,0
2021-03-31,0.0,0,0
2021-04-01,0.0,0,0
2021-04-02,0.0,0,0
2021-04-03,0.0,0,0
2021-04-04,0.0,0,0
2021-04-05,0.0,0,0
2021-04-06,0.0,0,0
2021-04-07,0.0,0,0
2021-04-08,0.0,0,0
2021-04-09,0.0,0,0
2021-04-10,0.0,0,0
2021-04-11,0.0,1,0
2021-04-12,0.0,0,0
2021-04-13,0.0,0,0
2021-04-14,0.0,0,0
2021-04-15,0.0,0,0
2021-04-16,0.0,0,0
2021-04-17,0.0,0,0
2021-04-18,0.0,0,0
2021-04-19,0.0,0,0
2021-04-20,0.0,0,0
2021-04-21,0.0,0,0
2021-04-22,0.0,0,0
2021-04-23,0.0,0,0
2021-04-24,0.0,0,0
2021-04-25,0.0,0,0
2021-04-26,0.0,0,0
2021-04-27,0.0,0,0
2021-04-28,0.0,0,0
2021-04-29,0.0,0,0
2021-04-30,0.0,0,0
2021-05-01,0.0,0,0
2021-05-02,0.0,0,0
2021-05-03,0.0,0,0
2021-05-04,0.0,0,0
2021-05-05,0.0,0,0
2021-05-06,0.0,0,0
2021-05-07,0.0,0,0
2021-05-08,0.0,0,0
2021-05-09,0.0,0,0
2021-05-10,0.0,0,0
2021-05-11,0.0,0,0
2021-05-12,0.0,0,0
2021-05-13,0.0,0,0
2021-05-14,0.0,0,0
2021-05-15,0.0,0,0
2021-05-16,0.0,1,0
2021-05-17,0.0,0,0
2021-05-18,0.0,2,0
2021-05-19,0.0,0,0
2021-05-20,0.0,0,0
2021-05-21,0.0,0,0
2021-05-22,0.0,0,0
2021-05-23,0.0,0,0
2021-05-24,0.0,0,0
2021-05-25,0.0,0,0
2021-05-26,0.0,0,0
2021-05-27,0.0,0,0
2021-05-28,0.0,0,0
2021-05-29,0.0,0,0
2021-05-30,0.0,0,0
2021-05-31,0.0,0,0
2021-06-01,0.0,0,0
2021-06-02,0.0,0,0
2021-06-03,0.0,0,0
2021-06-04,0.0,0,0
2021-06-05,0.0,0,0
2021-06-06,0.0,0,0
2021-06-07,0.0,0,0
2021-06-08,0.0,0,0
2021-06-09,0.0,0,0
2021-06-10,0.0,0,0
2021-06-11,0.0,0,0
2021-06-12,0.0,0,0
2021-06-13,0.0,0,0
2021-06-14,0.0,0,0
2021-06-15,0.0,0,0
2021-06-16,0.0,0,0
2021-06-17,0.0,0,0
2021-06-18,0.0,0,0
2021-06-19,0.0,0,0
2021-06-20,0.0,0,0
2021-06-21,0.0,0,0
2021-06-22,0.0,0,0
2021-06-23,0.0,0,0
2021-06-24,0.0,0,0
2021-06-25,0.0,0,0
2021-06-26,0.0,1,0
2021-06-27,0.0,4,0
2021-06-28,0.0,0,0
2021-06-29,0.0,0,0
2021-06-30,0.0,2,0
2021-07-01,0.0,1,0
2021-07-02,0.0,0,0
2021-07-03,0.0,0,0
2021-07-04,0.0,0,0
2021-07-05,0.0,0,0
2021-07-06,0.0,0,0
2021-07-07,0.0,0,0
2021-07-08,0.0,0,0
2021-07-09,0.0,0,0
2021-07-10,0.0,0,0
2021-07-11,0.0,3,0
2021-07-12,0.0,2,0
2021-07-13,0.0,0,0
2021-07-14,0.0,3,0
2021-07-15,0.0,0,0
2021-07-16,0.0,0,0
2021-07-17,0.0,1,0
2021-07-18,0.0,2,0
2021-07-19,0.0,0,0
2021-07-20,0.0,3,0
2021-07-21,0.0,0,0
2021-07-22,0.0,1,0
2021-07-23,0.0,0,0
2021-07-24,0.0,0,0
2021-07-25,0.0,0,0
2021-07-26,0.0,0,0
2021-07-27,0.0,0,0
2021-07-28,0.0,0,0
2021-07-29,0.0,0,0
2021-07-30,0.0,0,0
2021-07-31,0.0,0,0
2021-08-01,6.0,0,0
2021-08-02,2.3999999999999995,0,0
2021-08-03,1.4299999999999995,0,0
2021-08-04,-0.5060000000000004,0,0
2021-08-05,-0.29947499999999966,0,0
2021-08-06,-0.21568799999999952,0,0
2021-08-07,-0.16864732499999946,0,0
2021-08-08,-0.13828171499999958,0,0
2021-08-09,-0.11701499184374967,0,0
2021-08-10,-0.10128544676249973,0,0
2021-08-11,-0.044333183639062385,0,0
2021-08-12,0.983202294928125,0,0
2021-08-13,-0.10000000000000009,1,0
2021-08-14,7.955,0,0
2021-08-15,7.171499999999999,0,0
2021-08-16,-0.18066250000000084,0,0
2021-08-17,-0.7041167500000005,1,0
2021-08-18,-0.45146201249999957,0,0
2021-08-19,1.6661723037500011,0,0
2021-08-20,2.5355390869843757,0,0
2021-08-21,0.39143872746406283,0,0
2021-08-22,4.529541913375001,0,0
2021-08-23,-0.8266560206625,0,0
2021-08-24,1.5755198666968753,0,0
2021-08-25,-0.44623562753593743,0,0
2021-08-26,0.7288973200000006,0,0
2021-08-27,-0.3031634772812497,0,0
2021-08-28,7.791268597131251,0,0
2021-08-29,6.049033148126562,0,0
2021-08-30,-1.1632269426140631,0,0
2021-08-31,-0.6232984051796877,1,0
2021-09-01,1.6029013614687506,0,0
2021-09-02,0.4985370986781259,0,0
2021-09-03,9.582318336984375,1,0
2021-09-04,4.708717489964062,1,0
2021-09-05,29.725972622125,0,0
2021-09-06,-2.8420650113968775,0,0
2021-09-07,-0.9738577427515627,0,0
2021-09-08,-0.34899190499999966,0,0
2021-09-09,9.927411552718754,0,0
2021-09-10,-1.9100568055874987,1,0
2021-09-11,-1.138945797692186,0,0
2021-09-12,-0.8487442497031237,2,0
2021-09-13,0.3853292225500019,0,0
2021-09-14,0.4285272996203138,0,0
2021-09-15,-0.3188429993015621,3,0
2021-09-16,-0.21349782430156217,0,0
2021-09-17,-0.16281279570781215,1,0
2021-09-18,0.8708333721046879,0,0
2021-09-19,-0.1292787625,0,0
2021-09-20,-0.06925570874999996,0,0
2021-09-21,-0.04916200926562496,0,0
2021-09-22,3.9613703344484374,0,0
2021-09-23,-0.4245156025359378,1,0
2021-09-24,2.8068379875,0,0
2021-09-25,0.5749063037499997,0,0
2021-09-26,6.672781686984375,2,1
2021-09-27,2.096634147464062,1,0
2021-09-28,-0.7581355500000001,2,0
2021-09-29,2.552112465,0,0
2021-09-30,2.3759864604375007,1,0
2021-10-01,1.3101567386062505,0,0
2021-10-02,-0.6007829727968748,0,0
2021-10-03,-0.389394281873437,0,0
2021-10-04,-0.27599588239531186,0,0
2021-10-05,1.783341805701563,0,0
2021-10-06,-0.33019718385781227,0,0
2021-10-07,-0.1783100527968748,0,0
2021-10-08,-0.13308888915468733,0,0
2021-10-09,2.914341816360938,0,1
2021-10-10,1.6509687949281249,3,0
2021-10-11,-0.36132402500000016,0,0
2021-10-12,-0.19768739250000006,0,0
2021-10-13,-0.13812412603124977,0,0
2021-10-14,-0.10647295507187465,0,0
2021-10-15,-0.07171953749999978,0,0
2021-10-16,-0.05960511374999983,0,0
2021-10-17,-0.050892331546874864,1,0
2021-10-18,-0.044333183639062385,0,0
2021-10-19,-0.016797705071874957,0,0
2021-10-20,0.0,3,0
2021-10-21,0.0,2,0
2021-10-22,4.0,0,0
2021-10-23,-0.40000000000000036,0,0
2021-10-24,0.8199999999999998,3,0
2021-10-25,-0.2140000000000002,1,0
2021-10-26,1.8723500000000002,0,0
2021-10-27,-0.292967,0,0
2021-10-28,0.8366894500000002,2,0
2021-10-29,-0.21749153499999996,1,0
2021-10-30,-0.13776026456249973,0,0
2021-10-31,-0.1054226063937498,3,0
2021-11-01,-0.056554838015624824,0,0
2021-11-02,-0.04670299503593736,0,0
2021-11-03,0.9677013614687501,1,0
2021-11-04,-0.12789140132187501,0,0
2021-11-05,0.945431686984375,0,0
2021-11-06,-0.1368988525359376,0,0
2021-11-07,-0.06566249999999996,3,0
2021-11-08,-0.04461674999999997,0,0
2021-11-09,-0.03382451249999988,2,0
2021-11-10,-0.027210446249999916,1,0
2021-11-11,-0.022730325515624934,1,0
2021-11-12,-0.019492548785937445,4,0
2021-11-13,-0.009568313015624975,1,0
2021-11-14,-0.008398852535937478,0,0
2021-11-15,2.0,0,0
2021-11-16,-0.20000000000000018,2,0
2021-11-17,-0.09000000000000007,1,0
2021-11-18,-0.057000000000000044,4,0
2021-11-19,1.9586750000000002,5,0
2021-11-20,-0.23223350000000006,3,0
2021-11-21,-0.11632402499999998,0,0
2021-11-22,3.9208126075,4,0
2021-11-23,-0.4604616260312502,1,0
2021-11-24,-0.22903120507187497,2,0
2021-11-25,0.859675975,1,0
2021-11-26,-0.20483739249999972,2,0
2021-11-27,6.87139637396875,0,0
