,cypress-io/cypress,seleniumhq/selenium,DevExpress/testcafe
2015-09-16,12,5,2
2015-09-17,3,16,0
2015-09-18,0,9,0
2015-09-19,3,4,0
2015-09-20,11,2,0
2015-09-21,6,8,0
2015-09-22,0,6,4
2015-09-23,4,0,4
2015-09-24,0,4,2
2015-09-25,4,0,0
2015-09-26,7,0,0
2015-09-27,14,5,0
2015-09-28,0,2,2
2015-09-29,0,3,2
2015-09-30,0,6,2
2015-10-01,7,7,2
2015-10-02,19,9,1
2015-10-03,8,3,0
2015-10-04,12,0,0
2015-10-05,11,15,6
2015-10-06,2,5,6
2015-10-07,4,22,0
2015-10-08,4,13,1
2015-10-09,4,6,1
2015-10-10,1,3,0
2015-10-11,3,4,0
2015-10-12,3,6,2
2015-10-13,0,16,4
2015-10-14,0,6,2
2015-10-15,1,7,2
2015-10-16,0,4,1
2015-10-17,0,0,0
2015-10-18,0,14,0
2015-10-19,1,4,1
2015-10-20,0,1,0
2015-10-21,8,1,2
2015-10-22,1,1,0
2015-10-23,3,1,2
2015-10-24,9,0,0
2015-10-25,1,0,0
2015-10-26,19,0,0
2015-10-27,0,0,1
2015-10-28,0,2,1
2015-10-29,12,1,4
2015-10-30,3,2,5
2015-10-31,0,0,0
2015-11-01,9,0,0
2015-11-02,7,7,0
2015-11-03,0,9,7
2015-11-04,4,5,0
2015-11-05,2,2,0
2015-11-06,0,2,1
2015-11-07,3,0,0
2015-11-08,0,0,0
2015-11-09,2,1,13
2015-11-10,10,0,6
2015-11-11,2,1,3
2015-11-12,0,1,4
2015-11-13,0,0,3
2015-11-14,0,2,0
2015-11-15,0,0,0
2015-11-16,0,1,0
2015-11-17,1,3,2
2015-11-18,1,24,0
2015-11-19,4,1,0
2015-11-20,2,0,2
2015-11-21,2,1,0
2015-11-22,0,0,0
2015-11-23,6,1,4
2015-11-24,0,4,0
2015-11-25,0,4,1
2015-11-26,0,0,3
2015-11-27,0,0,12
2015-11-28,4,3,0
2015-11-29,4,14,0
2015-11-30,13,1,2
2015-12-01,5,3,4
2015-12-02,5,0,2
2015-12-03,1,2,2
2015-12-04,0,1,2
2015-12-05,0,1,0
2015-12-06,0,0,0
2015-12-07,10,1,2
2015-12-08,0,2,0
2015-12-09,19,3,3
2015-12-10,2,4,5
2015-12-11,4,10,2
2015-12-12,4,0,0
2015-12-13,0,0,0
2015-12-14,0,0,4
2015-12-15,0,3,3
2015-12-16,0,0,5
2015-12-17,0,3,0
2015-12-18,2,0,1
2015-12-19,1,0,0
2015-12-20,8,0,0
2015-12-21,5,5,5
2015-12-22,1,1,0
2015-12-23,1,0,2
2015-12-24,3,0,0
2015-12-25,3,0,4
2015-12-26,7,1,0
2015-12-27,0,3,0
2015-12-28,0,1,0
2015-12-29,0,0,0
2015-12-30,9,0,3
2015-12-31,12,0,0
2016-01-01,1,0,0
2016-01-02,0,0,0
2016-01-03,0,0,0
2016-01-04,3,0,0
2016-01-05,0,2,0
2016-01-06,2,5,0
2016-01-07,1,5,0
2016-01-08,0,5,0
2016-01-09,3,0,0
2016-01-10,0,0,0
2016-01-11,6,1,4
2016-01-12,14,5,3
2016-01-13,8,7,4
2016-01-14,19,6,3
2016-01-15,12,3,3
2016-01-16,21,3,0
2016-01-17,7,1,0
2016-01-18,9,5,2
2016-01-19,3,13,2
2016-01-20,27,5,0
2016-01-21,21,3,0
2016-01-22,3,11,3
2016-01-23,8,1,0
2016-01-24,2,1,0
2016-01-25,28,18,3
2016-01-26,12,6,5
2016-01-27,5,15,3
2016-01-28,11,15,0
2016-01-29,15,10,3
2016-01-30,0,6,0
2016-01-31,0,1,0
2016-02-01,11,8,6
2016-02-02,19,2,2
2016-02-03,16,2,3
2016-02-04,14,6,4
2016-02-05,6,15,2
2016-02-06,26,0,0
2016-02-07,12,0,0
2016-02-08,15,0,2
2016-02-09,13,16,2
2016-02-10,13,19,2
2016-02-11,3,5,0
2016-02-12,11,17,0
2016-02-13,6,7,0
2016-02-14,0,1,0
2016-02-15,9,0,2
2016-02-16,21,1,9
2016-02-17,29,1,5
2016-02-18,16,10,2
2016-02-19,1,6,2
2016-02-20,0,2,0
2016-02-21,0,3,0
2016-02-22,24,4,0
2016-02-23,15,10,0
2016-02-24,25,1,3
2016-02-25,23,1,5
2016-02-26,25,2,1
2016-02-27,11,2,0
2016-02-28,13,2,0
2016-02-29,15,3,4
2016-03-01,15,2,3
2016-03-02,6,7,2
2016-03-03,0,2,6
2016-03-04,10,5,2
2016-03-05,18,1,0
2016-03-06,8,8,0
2016-03-07,12,6,0
2016-03-08,22,0,0
2016-03-09,13,4,2
2016-03-10,0,3,1
2016-03-11,11,9,3
2016-03-12,0,3,0
2016-03-13,2,2,0
2016-03-14,22,6,0
2016-03-15,0,36,0
2016-03-16,0,12,0
2016-03-17,0,7,0
2016-03-18,8,0,1
2016-03-19,10,6,0
2016-03-20,6,1,0
2016-03-21,20,1,3
2016-03-22,7,0,2
2016-03-23,17,0,4
2016-03-24,38,1,1
2016-03-25,24,0,1
2016-03-26,11,0,1
2016-03-27,9,1,0
2016-03-28,33,4,1
2016-03-29,3,0,4
2016-03-30,11,1,2
2016-03-31,9,1,0
2016-04-01,22,1,0
2016-04-02,3,1,0
2016-04-03,2,0,0
2016-04-04,34,3,0
2016-04-05,12,1,2
2016-04-06,23,0,0
2016-04-07,6,9,4
2016-04-08,6,1,1
2016-04-09,2,1,0
2016-04-10,11,0,0
2016-04-11,12,1,2
2016-04-12,9,3,2
2016-04-13,1,6,0
2016-04-14,13,0,1
2016-04-15,8,0,2
2016-04-16,0,0,0
2016-04-17,0,0,0
2016-04-18,5,0,0
2016-04-19,26,0,2
2016-04-20,12,3,4
2016-04-21,0,5,3
2016-04-22,8,3,2
2016-04-23,1,0,0
2016-04-24,0,0,0
2016-04-25,0,3,4
2016-04-26,7,0,3
2016-04-27,8,0,8
2016-04-28,14,3,5
2016-04-29,30,2,2
2016-04-30,0,0,0
2016-05-01,4,0,0
2016-05-02,7,6,0
2016-05-03,6,5,0
2016-05-04,19,0,1
2016-05-05,3,2,3
2016-05-06,14,2,6
2016-05-07,8,0,0
2016-05-08,4,0,0
2016-05-09,16,0,0
2016-05-10,8,0,1
2016-05-11,8,4,4
2016-05-12,1,9,1
2016-05-13,22,1,3
2016-05-14,10,0,0
2016-05-15,37,1,0
2016-05-16,33,1,1
2016-05-17,33,0,1
2016-05-18,31,13,3
2016-05-19,22,4,0
2016-05-20,1,8,0
2016-05-21,8,7,0
2016-05-22,10,0,0
2016-05-23,20,2,3
2016-05-24,7,13,0
2016-05-25,2,1,0
2016-05-26,0,2,3
2016-05-27,0,1,4
2016-05-28,0,0,0
2016-05-29,0,0,0
2016-05-30,0,0,3
2016-05-31,8,15,1
2016-06-01,6,2,2
2016-06-02,5,4,2
2016-06-03,11,10,0
2016-06-04,0,4,0
2016-06-05,3,4,0
2016-06-06,4,5,2
2016-06-07,10,13,0
2016-06-08,13,5,0
2016-06-09,12,6,1
2016-06-10,32,4,0
2016-06-11,13,2,0
2016-06-12,14,5,0
2016-06-13,42,0,0
2016-06-14,13,5,4
2016-06-15,4,4,0
2016-06-16,23,23,3
2016-06-17,34,3,3
2016-06-18,0,8,0
2016-06-19,0,4,0
2016-06-20,13,5,4
2016-06-21,13,1,1
2016-06-22,4,1,2
2016-06-23,6,1,2
2016-06-24,19,1,2
2016-06-25,1,9,0
2016-06-26,0,7,0
2016-06-27,13,0,3
2016-06-28,61,2,4
2016-06-29,18,4,2
2016-06-30,24,3,0
2016-07-01,16,2,0
2016-07-02,0,0,0
2016-07-03,8,0,2
2016-07-04,0,0,1
2016-07-05,30,3,2
2016-07-06,36,0,0
2016-07-07,39,3,3
2016-07-08,29,4,2
2016-07-09,2,0,0
2016-07-10,0,0,0
2016-07-11,54,1,1
2016-07-12,26,2,0
2016-07-13,32,3,0
2016-07-14,26,3,0
2016-07-15,23,3,4
2016-07-16,1,0,0
2016-07-17,1,2,0
2016-07-18,19,9,1
2016-07-19,45,1,1
2016-07-20,12,0,3
2016-07-21,16,5,2
2016-07-22,18,2,0
2016-07-23,0,0,0
2016-07-24,0,0,0
2016-07-25,1,3,2
2016-07-26,0,9,2
2016-07-27,3,8,4
2016-07-28,2,14,1
2016-07-29,9,9,0
2016-07-30,2,0,0
2016-07-31,9,0,0
2016-08-01,16,1,0
2016-08-02,17,17,1
2016-08-03,9,10,0
2016-08-04,10,0,1
2016-08-05,14,1,2
2016-08-06,1,6,0
2016-08-07,6,1,0
2016-08-08,6,3,2
2016-08-09,0,2,1
2016-08-10,0,2,1
2016-08-11,2,1,1
2016-08-12,0,2,3
2016-08-13,0,0,0
2016-08-14,0,0,0
2016-08-15,4,0,2
2016-08-16,1,0,3
2016-08-17,13,0,3
2016-08-18,6,1,1
2016-08-19,2,10,1
2016-08-20,0,0,0
2016-08-21,0,7,0
2016-08-22,8,8,1
2016-08-23,37,4,2
2016-08-24,32,3,1
2016-08-25,10,4,0
2016-08-26,38,4,0
2016-08-27,5,0,0
2016-08-28,4,0,0
2016-08-29,25,2,2
2016-08-30,49,4,2
2016-08-31,50,5,2
2016-09-01,42,14,1
2016-09-02,4,3,1
2016-09-03,1,6,0
2016-09-04,1,0,0
2016-09-05,17,7,1
2016-09-06,16,0,3
2016-09-07,26,1,7
2016-09-08,3,2,4
2016-09-09,8,2,1
2016-09-10,1,0,0
2016-09-11,3,0,0
2016-09-12,7,1,2
2016-09-13,28,1,3
2016-09-14,12,4,0
2016-09-15,2,7,3
2016-09-16,0,0,2
2016-09-17,0,0,0
2016-09-18,0,8,0
2016-09-19,11,1,6
2016-09-20,2,8,1
2016-09-21,8,4,5
2016-09-22,8,3,1
2016-09-23,30,17,1
2016-09-24,12,5,0
2016-09-25,1,10,0
2016-09-26,23,12,1
2016-09-27,5,8,0
2016-09-28,10,10,0
2016-09-29,7,13,1
2016-09-30,30,3,2
2016-10-01,0,4,0
2016-10-02,21,7,0
2016-10-03,28,2,1
2016-10-04,29,8,1
2016-10-05,13,9,1
2016-10-06,14,10,3
2016-10-07,1,15,1
2016-10-08,0,0,0
2016-10-09,0,0,0
2016-10-10,3,15,1
2016-10-11,2,26,3
2016-10-12,6,28,4
2016-10-13,20,16,4
2016-10-14,23,12,1
2016-10-15,0,0,0
2016-10-16,0,1,0
2016-10-17,11,1,4
2016-10-18,1,10,2
2016-10-19,4,6,6
2016-10-20,9,1,0
2016-10-21,14,11,2
2016-10-22,6,1,0
2016-10-23,2,1,0
2016-10-24,7,16,3
2016-10-25,6,30,1
2016-10-26,5,12,1
2016-10-27,0,5,3
2016-10-28,1,3,2
2016-10-29,0,4,0
2016-10-30,0,0,0
2016-10-31,1,8,2
2016-11-01,1,15,2
2016-11-02,2,18,2
2016-11-03,4,7,2
2016-11-04,3,0,0
2016-11-05,0,0,0
2016-11-06,0,1,0
2016-11-07,12,13,0
2016-11-08,7,8,4
2016-11-09,3,1,1
2016-11-10,1,1,0
2016-11-11,7,3,0
2016-11-12,0,0,0
2016-11-13,0,3,0
2016-11-14,31,8,1
2016-11-15,33,0,0
2016-11-16,14,0,3
2016-11-17,11,4,1
2016-11-18,0,4,1
2016-11-19,0,4,0
2016-11-20,0,0,0
2016-11-21,15,2,0
2016-11-22,9,1,2
2016-11-23,5,2,0
2016-11-24,0,8,1
2016-11-25,2,2,0
2016-11-26,7,2,0
2016-11-27,6,0,0
2016-11-28,30,4,2
2016-11-29,15,1,2
2016-11-30,7,6,5
2016-12-01,2,1,1
2016-12-02,1,0,3
2016-12-03,0,3,0
2016-12-04,8,0,0
2016-12-05,14,1,0
2016-12-06,9,0,3
2016-12-07,8,3,5
2016-12-08,8,1,6
2016-12-09,15,0,0
2016-12-10,0,0,0
2016-12-11,0,1,0
2016-12-12,17,2,3
2016-12-13,19,3,2
2016-12-14,8,3,1
2016-12-15,8,0,2
2016-12-16,5,0,3
2016-12-17,3,0,0
2016-12-18,3,0,0
2016-12-19,13,5,4
2016-12-20,5,8,2
2016-12-21,16,14,3
2016-12-22,16,8,5
2016-12-23,13,10,1
2016-12-24,0,11,0
2016-12-25,0,0,0
2016-12-26,1,0,1
2016-12-27,2,6,3
2016-12-28,11,1,5
2016-12-29,0,0,2
2016-12-30,4,0,1
2016-12-31,0,0,0
2017-01-01,1,0,0
2017-01-02,7,4,0
2017-01-03,2,13,0
2017-01-04,17,7,0
2017-01-05,10,8,0
2017-01-06,10,2,0
2017-01-07,5,15,0
2017-01-08,0,3,0
2017-01-09,20,9,4
2017-01-10,8,1,1
2017-01-11,2,0,2
2017-01-12,0,0,4
2017-01-13,11,2,1
2017-01-14,0,0,0
2017-01-15,0,0,0
2017-01-16,0,0,3
2017-01-17,6,7,2
2017-01-18,2,2,3
2017-01-19,10,1,7
2017-01-20,13,1,3
2017-01-21,10,0,0
2017-01-22,0,0,0
2017-01-23,6,10,1
2017-01-24,5,1,1
2017-01-25,1,3,3
2017-01-26,13,7,2
2017-01-27,13,3,3
2017-01-28,0,1,0
2017-01-29,6,0,0
2017-01-30,17,7,0
2017-01-31,4,1,1
2017-02-01,4,2,1
2017-02-02,7,0,2
2017-02-03,11,2,0
2017-02-04,0,2,0
2017-02-05,18,6,0
2017-02-06,20,8,2
2017-02-07,30,2,1
2017-02-08,15,7,3
2017-02-09,15,4,2
2017-02-10,25,1,2
2017-02-11,19,0,0
2017-02-12,17,0,0
2017-02-13,16,12,6
2017-02-14,2,3,0
2017-02-15,0,6,4
2017-02-16,2,1,7
2017-02-17,1,1,0
2017-02-18,0,6,0
2017-02-19,0,0,0
2017-02-20,0,10,0
2017-02-21,3,5,2
2017-02-22,4,21,4
2017-02-23,8,13,0
2017-02-24,1,7,0
2017-02-25,0,0,0
2017-02-26,2,0,0
2017-02-27,1,5,0
2017-02-28,2,5,3
2017-03-01,8,10,0
2017-03-02,4,17,3
2017-03-03,1,9,1
2017-03-04,0,3,0
2017-03-05,1,2,0
2017-03-06,9,14,4
2017-03-07,28,14,3
2017-03-08,1,11,0
2017-03-09,16,16,2
2017-03-10,5,9,1
2017-03-11,0,2,0
2017-03-12,0,0,0
2017-03-13,1,8,0
2017-03-14,2,8,0
2017-03-15,2,19,1
2017-03-16,2,10,1
2017-03-17,0,6,7
2017-03-18,0,3,0
2017-03-19,0,0,0
2017-03-20,0,3,9
2017-03-21,1,6,1
2017-03-22,11,5,1
2017-03-23,5,4,3
2017-03-24,10,1,5
2017-03-25,0,0,0
2017-03-26,0,15,0
2017-03-27,10,5,4
2017-03-28,7,8,3
2017-03-29,7,15,0
2017-03-30,4,21,1
2017-03-31,6,2,2
2017-04-01,0,0,0
2017-04-02,0,0,0
2017-04-03,4,17,2
2017-04-04,7,11,0
2017-04-05,16,3,0
2017-04-06,5,14,3
2017-04-07,5,8,0
2017-04-08,9,4,0
2017-04-09,3,11,0
2017-04-10,1,8,0
2017-04-11,11,7,2
2017-04-12,41,14,5
2017-04-13,23,7,0
2017-04-14,21,5,2
2017-04-15,3,0,0
2017-04-16,2,0,0
2017-04-17,19,2,2
2017-04-18,8,11,4
2017-04-19,15,3,6
2017-04-20,13,3,5
2017-04-21,90,13,3
2017-04-22,0,3,0
2017-04-23,0,0,0
2017-04-24,11,4,2
2017-04-25,45,3,3
2017-04-26,9,3,4
2017-04-27,1,10,0
2017-04-28,18,3,0
2017-04-29,0,0,0
2017-04-30,1,0,0
2017-05-01,6,0,0
2017-05-02,19,3,1
2017-05-03,3,1,0
2017-05-04,4,7,1
2017-05-05,5,0,0
2017-05-06,0,0,0
2017-05-07,0,0,0
2017-05-08,1,0,0
2017-05-09,52,1,0
2017-05-10,15,1,2
2017-05-11,6,2,0
2017-05-12,3,16,3
2017-05-13,5,0,0
2017-05-14,2,0,0
2017-05-15,71,10,2
2017-05-16,52,0,0
2017-05-17,87,8,0
2017-05-18,60,4,2
2017-05-19,78,2,0
2017-05-20,0,1,0
2017-05-21,0,7,0
2017-05-22,32,0,0
2017-05-23,37,0,2
2017-05-24,43,5,0
2017-05-25,27,0,1
2017-05-26,15,6,2
2017-05-27,16,2,0
2017-05-28,0,0,0
2017-05-29,8,0,2
2017-05-30,16,2,1
2017-05-31,43,0,5
2017-06-01,17,0,0
2017-06-02,15,0,0
2017-06-03,0,0,0
2017-06-04,0,0,0
2017-06-05,44,1,1
2017-06-06,27,5,0
2017-06-07,22,5,1
2017-06-08,25,3,0
2017-06-09,36,0,3
2017-06-10,6,0,0
2017-06-11,9,5,1
2017-06-12,31,1,0
2017-06-13,71,3,6
2017-06-14,14,8,0
2017-06-15,23,2,1
2017-06-16,28,4,0
2017-06-17,24,2,0
2017-06-18,11,0,0
2017-06-19,50,5,2
2017-06-20,42,4,3
2017-06-21,37,4,3
2017-06-22,29,7,0
2017-06-23,17,10,0
2017-06-24,13,1,0
2017-06-25,7,0,0
2017-06-26,17,10,2
2017-06-27,21,3,3
2017-06-28,36,2,1
2017-06-29,56,2,0
2017-06-30,25,0,1
2017-07-01,6,0,0
2017-07-02,10,0,0
2017-07-03,11,2,3
2017-07-04,5,3,1
2017-07-05,40,2,2
2017-07-06,38,0,0
2017-07-07,26,4,0
2017-07-08,18,0,0
2017-07-09,10,0,0
2017-07-10,24,3,4
2017-07-11,19,8,1
2017-07-12,14,1,1
2017-07-13,23,1,0
2017-07-14,10,1,1
2017-07-15,24,0,0
2017-07-16,17,1,0
2017-07-17,25,0,1
2017-07-18,26,7,0
2017-07-19,27,5,0
2017-07-20,1,31,2
2017-07-21,8,25,4
2017-07-22,3,3,1
2017-07-23,8,3,0
2017-07-24,26,0,5
2017-07-25,6,2,1
2017-07-26,22,6,0
2017-07-27,18,0,0
2017-07-28,0,0,1
2017-07-29,2,0,0
2017-07-30,4,0,0
2017-07-31,6,5,4
2017-08-01,5,0,0
2017-08-02,4,8,4
2017-08-03,0,4,0
2017-08-04,0,9,0
2017-08-05,1,4,0
2017-08-06,0,0,0
2017-08-07,1,4,0
2017-08-08,0,27,0
2017-08-09,10,20,0
2017-08-10,4,15,0
2017-08-11,17,2,1
2017-08-12,5,1,0
2017-08-13,19,0,0
2017-08-14,27,9,1
2017-08-15,17,18,4
2017-08-16,14,7,3
2017-08-17,34,13,1
2017-08-18,15,7,2
2017-08-19,0,0,0
2017-08-20,0,0,0
2017-08-21,9,11,1
2017-08-22,20,3,0
2017-08-23,47,7,0
2017-08-24,22,10,1
2017-08-25,20,7,0
2017-08-26,17,2,0
2017-08-27,0,5,0
2017-08-28,13,11,0
2017-08-29,23,16,1
2017-08-30,5,12,3
2017-08-31,11,9,4
2017-09-01,24,25,1
2017-09-02,2,0,0
2017-09-03,13,4,0
2017-09-04,42,5,0
2017-09-05,26,1,2
2017-09-06,18,4,3
2017-09-07,11,9,1
2017-09-08,3,8,2
2017-09-09,6,0,0
2017-09-10,13,8,0
2017-09-11,17,11,3
2017-09-12,4,1,4
2017-09-13,7,4,2
2017-09-14,12,5,2
2017-09-15,12,9,0
2017-09-16,22,0,0
2017-09-17,16,1,0
2017-09-18,6,5,2
2017-09-19,4,63,3
2017-09-20,0,3,3
2017-09-21,0,3,3
2017-09-22,0,12,1
2017-09-23,0,0,0
2017-09-24,0,0,0
2017-09-25,11,6,0
2017-09-26,15,0,3
2017-09-27,21,2,1
2017-09-28,25,6,2
2017-09-29,16,5,1
2017-09-30,0,0,0
2017-10-01,2,0,0
2017-10-02,1,6,1
2017-10-03,23,10,3
2017-10-04,15,15,3
2017-10-05,32,3,1
2017-10-06,21,23,0
2017-10-07,6,0,0
2017-10-08,6,0,0
2017-10-09,5,9,3
2017-10-10,16,0,9
2017-10-11,3,18,1
2017-10-12,16,2,3
2017-10-13,17,2,1
2017-10-14,8,3,0
2017-10-15,2,0,0
2017-10-16,2,0,0
2017-10-17,7,0,3
2017-10-18,11,2,2
2017-10-19,0,3,0
2017-10-20,10,6,0
2017-10-21,0,1,0
2017-10-22,0,4,0
2017-10-23,13,6,3
2017-10-24,13,13,1
2017-10-25,3,23,1
2017-10-26,7,6,1
2017-10-27,3,8,0
2017-10-28,1,7,0
2017-10-29,0,8,0
2017-10-30,18,1,1
2017-10-31,0,9,0
2017-11-01,2,1,0
2017-11-02,2,27,0
2017-11-03,1,16,0
2017-11-04,0,0,0
2017-11-05,0,0,0
2017-11-06,0,8,0
2017-11-07,1,3,0
2017-11-08,1,3,1
2017-11-09,1,3,1
2017-11-10,0,6,0
2017-11-11,0,2,0
2017-11-12,0,3,0
2017-11-13,0,4,1
2017-11-14,2,1,1
2017-11-15,1,4,0
2017-11-16,4,8,2
2017-11-17,0,22,3
2017-11-18,1,6,0
2017-11-19,0,1,0
2017-11-20,12,2,0
2017-11-21,10,3,0
2017-11-22,14,9,0
2017-11-23,0,6,2
2017-11-24,0,1,3
2017-11-25,0,5,0
2017-11-26,0,0,0
2017-11-27,5,10,1
2017-11-28,0,17,0
2017-11-29,2,2,4
2017-11-30,3,10,1
2017-12-01,0,9,4
2017-12-02,1,4,0
2017-12-03,1,4,0
2017-12-04,8,0,0
2017-12-05,4,0,3
2017-12-06,3,10,2
2017-12-07,9,8,1
2017-12-08,1,6,1
2017-12-09,0,0,0
2017-12-10,0,3,0
2017-12-11,0,1,2
2017-12-12,2,1,0
2017-12-13,2,5,0
2017-12-14,3,1,1
2017-12-15,5,3,1
2017-12-16,0,5,0
2017-12-17,3,4,0
2017-12-18,0,2,0
2017-12-19,8,0,0
2017-12-20,1,0,0
2017-12-21,2,5,1
2017-12-22,1,4,2
2017-12-23,0,0,0
2017-12-24,2,0,0
2017-12-25,4,1,0
2017-12-26,16,0,0
2017-12-27,17,1,0
2017-12-28,8,4,2
2017-12-29,0,4,3
2017-12-30,0,5,0
2017-12-31,7,0,0
2018-01-01,8,0,0
2018-01-02,6,0,0
2018-01-03,0,0,0
2018-01-04,1,2,0
2018-01-05,1,0,0
2018-01-06,4,0,0
2018-01-07,1,0,0
2018-01-08,1,13,0
2018-01-09,4,1,0
2018-01-10,1,1,1
2018-01-11,0,9,0
2018-01-12,2,2,3
2018-01-13,0,4,0
2018-01-14,0,0,0
2018-01-15,2,3,0
2018-01-16,3,0,0
2018-01-17,2,16,0
2018-01-18,6,25,1
2018-01-19,1,20,0
2018-01-20,0,4,0
2018-01-21,0,0,0
2018-01-22,0,3,0
2018-01-23,0,0,0
2018-01-24,3,2,0
2018-01-25,1,6,1
2018-01-26,0,8,0
2018-01-27,0,0,0
2018-01-28,0,5,0
2018-01-29,0,0,2
2018-01-30,1,9,0
2018-01-31,6,2,0
2018-02-01,0,1,3
2018-02-02,0,10,0
2018-02-03,0,0,0
2018-02-04,4,0,0
2018-02-05,4,10,2
2018-02-06,1,1,2
2018-02-07,2,7,1
2018-02-08,1,3,3
2018-02-09,0,21,1
2018-02-10,0,2,0
2018-02-11,7,4,0
2018-02-12,3,3,1
2018-02-13,0,15,2
2018-02-14,3,15,0
2018-02-15,0,3,4
2018-02-16,6,5,1
2018-02-17,3,0,0
2018-02-18,3,1,0
2018-02-19,3,4,6
2018-02-20,2,10,1
2018-02-21,2,15,5
2018-02-22,0,6,1
2018-02-23,0,0,0
2018-02-24,0,0,0
2018-02-25,0,0,0
2018-02-26,3,0,3
2018-02-27,0,7,2
2018-02-28,2,2,0
2018-03-01,3,11,4
2018-03-02,0,19,0
2018-03-03,0,7,0
2018-03-04,1,4,0
2018-03-05,5,1,1
2018-03-06,1,32,1
2018-03-07,0,9,1
2018-03-08,0,1,0
2018-03-09,1,7,0
2018-03-10,0,8,0
2018-03-11,0,3,0
2018-03-12,1,11,0
2018-03-13,0,7,2
2018-03-14,2,3,1
2018-03-15,2,2,1
2018-03-16,0,0,1
2018-03-17,1,0,0
2018-03-18,0,0,0
2018-03-19,3,10,1
2018-03-20,0,3,1
2018-03-21,2,4,0
2018-03-22,1,4,1
2018-03-23,0,8,2
2018-03-24,0,1,0
2018-03-25,1,1,0
2018-03-26,3,0,0
2018-03-27,0,11,0
2018-03-28,0,5,0
2018-03-29,0,7,3
2018-03-30,1,1,3
2018-03-31,0,8,0
2018-04-01,0,0,0
2018-04-02,0,4,2
2018-04-03,0,15,5
2018-04-04,4,3,2
2018-04-05,1,4,3
2018-04-06,1,0,1
2018-04-07,1,0,0
2018-04-08,0,2,0
2018-04-09,1,5,1
2018-04-10,0,7,2
2018-04-11,3,0,3
2018-04-12,2,5,2
2018-04-13,1,6,1
2018-04-14,0,0,0
2018-04-15,8,0,0
2018-04-16,5,2,2
2018-04-17,1,3,2
2018-04-18,1,0,1
2018-04-19,2,0,2
2018-04-20,0,4,2
2018-04-21,0,1,0
2018-04-22,0,0,0
2018-04-23,9,7,1
2018-04-24,2,1,2
