,meilisearch/meilisearch,elastic/elasticsearch,typesense/typesense
2023-11-29,0.0,25,4
2023-11-30,0.0,39,6
2023-12-01,0.0,45,10
2023-12-02,0.0,2,1
2023-12-03,0.0,4,1
2023-12-04,0.0,33,3
2023-12-05,0.0,48,5
2023-12-06,7.0,30,5
2023-12-07,0.0,36,3
2023-12-08,0.0,21,2
2023-12-09,0.0,4,0
2023-12-10,0.0,3,2
2023-12-11,2.0,42,7
2023-12-12,2.0,45,10
2023-12-13,2.0,17,8
2023-12-14,31.0,38,2
2023-12-15,0.0,6,0
2023-12-16,0.0,3,0
2023-12-17,0.0,1,1
2023-12-18,7.0,20,13
2023-12-19,12.0,25,13
2023-12-20,9.0,23,6
2023-12-21,2.0,21,6
2023-12-22,0.0,19,1
2023-12-23,0.0,2,1
2023-12-24,0.0,2,0
2023-12-25,0.0,2,4
2023-12-26,0.0,4,9
2023-12-27,0.0,18,11
2023-12-28,0.0,8,3
2023-12-29,0.0,8,4
2023-12-30,0.0,6,0
2023-12-31,0.0,2,0
2024-01-01,0.0,1,0
2024-01-02,3.0,40,9
2024-01-03,3.0,34,4
2024-01-04,0.0,38,4
2024-01-05,0.0,30,6
2024-01-06,0.0,4,1
2024-01-07,0.0,3,0
2024-01-08,2.0,46,3
2024-01-09,1.0,50,6
2024-01-10,1.0,41,11
2024-01-11,9.0,33,1
2024-01-12,1.0,35,3
2024-01-13,0.0,6,0
2024-01-14,0.0,2,0
2024-01-15,1.0,17,2
2024-01-16,15.0,26,1
2024-01-17,2.0,38,2
2024-01-18,2.0,46,2
2024-01-19,0.0,4,4
2024-01-20,0.0,3,3
2024-01-21,0.0,4,1
2024-01-22,7.0,25,2
2024-01-23,0.0,11,2
2024-01-24,1.0,31,1
2024-01-25,1.0,23,2
2024-01-26,0.0,24,5
2024-01-27,0.0,3,1
2024-01-28,0.0,2,1
2024-01-29,0.0,42,0
2024-01-30,0.0,42,1
2024-01-31,0.0,26,0
2024-02-01,9.0,26,1
2024-02-02,0.0,28,4
2024-02-03,0.0,1,0
2024-02-04,0.0,4,0
2024-02-05,0.0,30,2
2024-02-06,3.0,53,5
2024-02-07,9.0,31,4
2024-02-08,64.0,35,1
2024-02-09,0.0,38,0
2024-02-10,0.0,2,0
2024-02-11,0.0,2,0
2024-02-12,5.0,40,5
2024-02-13,5.0,24,5
2024-02-14,5.0,30,2
2024-02-15,5.0,38,2
2024-02-16,0.0,5,1
2024-02-17,0.0,1,0
2024-02-18,0.0,5,1
2024-02-19,1.0,18,4
2024-02-20,2.0,18,3
2024-02-21,4.0,31,1
2024-02-22,3.0,33,5
2024-02-23,0.0,26,0
2024-02-24,0.0,5,1
2024-02-25,0.0,2,0
2024-02-26,13.0,6,2
2024-02-27,0.0,5,1
2024-02-28,1.0,6,3
2024-02-29,1.0,4,3
2024-03-01,0.0,6,2
2024-03-02,0.0,2,2
2024-03-03,0.0,4,2
2024-03-04,2.0,29,3
2024-03-05,16.0,25,4
2024-03-06,1.0,29,2
2024-03-07,0.0,22,3
2024-03-08,0.0,33,4
2024-03-09,0.0,5,0
2024-03-10,0.0,1,0
2024-03-11,1.0,26,1
2024-03-12,7.0,42,2
2024-03-13,9.0,42,1
2024-03-14,1.0,27,2
2024-03-15,0.0,2,2
2024-03-16,0.0,1,2
2024-03-17,0.0,3,0
2024-03-18,4.0,25,2
2024-03-19,20.0,41,2
2024-03-20,5.0,32,2
2024-03-21,3.0,42,1
2024-03-22,1.0,34,2
2024-03-23,0.0,2,1
2024-03-24,0.0,2,0
2024-03-25,15.0,20,2
2024-03-26,15.0,29,1
2024-03-27,14.0,34,1
2024-03-28,3.0,27,1
2024-03-29,0.0,17,1
2024-03-30,0.0,7,3
2024-03-31,0.0,5,0
2024-04-01,0.0,21,2
2024-04-02,2.0,28,1
2024-04-03,2.0,34,1
2024-04-04,16.0,29,3
2024-04-05,1.0,23,1
2024-04-06,0.0,1,1
2024-04-07,0.0,0,3
2024-04-08,0.0,27,1
2024-04-09,1.0,27,2
2024-04-10,0.0,39,1
2024-04-11,2.0,30,3
2024-04-12,0.0,27,0
2024-04-13,0.0,3,0
2024-04-14,1.0,2,0
2024-04-15,0.0,33,0
2024-04-16,18.0,37,0
2024-04-17,6.0,24,1
2024-04-18,2.0,29,1
2024-04-19,0.0,3,1
2024-04-20,0.0,4,0
2024-04-21,0.0,2,0
2024-04-22,4.0,38,1
2024-04-23,1.0,30,3
2024-04-24,4.0,37,2
2024-04-25,2.0,30,1
2024-04-26,0.0,24,1
2024-04-27,0.0,2,0
2024-04-28,0.0,3,0
2024-04-29,0.0,38,3
2024-04-30,2.0,33,1
2024-05-01,0.0,31,1
2024-05-02,2.0,35,0
2024-05-03,1.0,25,1
2024-05-04,0.0,5,1
2024-05-05,0.0,2,1
2024-05-06,1.0,24,2
2024-05-07,5.0,33,0
2024-05-08,0.0,30,1
2024-05-09,0.0,28,0
2024-05-10,0.0,29,1
2024-05-11,0.0,4,0
2024-05-12,0.0,2,1
2024-05-13,0.0,42,0
2024-05-14,8.0,35,3
2024-05-15,5.0,31,3
2024-05-16,5.0,27,4
2024-05-17,0.0,42,0
2024-05-18,0.0,3,0
2024-05-19,0.0,6,0
2024-05-20,15.0,18,3
2024-05-21,7.0,26,3
2024-05-22,5.0,37,2
2024-05-23,3.0,35,0
2024-05-24,0.0,28,2
2024-05-25,0.0,2,0
2024-05-26,0.0,1,0
2024-05-27,4.0,30,0
2024-05-28,11.0,32,3
2024-05-29,8.0,35,4
2024-05-30,18.0,24,0
2024-05-31,0.0,24,1
2024-06-01,0.0,1,0
2024-06-02,0.0,4,0
2024-06-03,1.0,29,3
2024-06-04,3.0,34,3
2024-06-05,19.0,35,4
2024-06-06,38.0,22,4
2024-06-07,0.0,22,5
2024-06-08,1.0,1,0
2024-06-09,0.0,0,0
2024-06-10,6.0,30,1
2024-06-11,6.0,33,4
2024-06-12,13.0,37,2
2024-06-13,5.0,31,1
2024-06-14,0.0,2,1
2024-06-15,0.0,2,0
2024-06-16,0.0,3,1
2024-06-17,4.0,30,2
2024-06-18,1.0,33,1
2024-06-19,1.0,30,1
2024-06-20,8.0,26,0
2024-06-21,0.0,44,1
2024-06-22,0.0,2,1
2024-06-23,0.0,0,0
2024-06-24,6.0,19,1
2024-06-25,10.0,28,1
2024-06-26,7.0,32,0
2024-06-27,4.0,29,2
2024-06-28,0.0,34,0
2024-06-29,0.0,1,0
2024-06-30,0.0,2,0
2024-07-01,1.0,31,1
2024-07-02,8.0,39,4
2024-07-03,0.0,40,2
2024-07-04,2.0,16,3
2024-07-05,0.0,24,2
2024-07-06,0.0,0,0
2024-07-07,2.0,1,0
2024-07-08,8.0,35,0
2024-07-09,6.0,26,0
2024-07-10,47.0,28,3
2024-07-11,12.0,31,1
2024-07-12,0.0,21,1
2024-07-13,0.0,1,0
2024-07-14,0.0,0,2
2024-07-15,7.0,28,0
2024-07-16,8.0,316,2
2024-07-17,5.0,31,0
2024-07-18,1.0,40,2
2024-07-19,0.0,31,0
2024-07-20,0.0,10,0
2024-07-21,0.0,2,0
2024-07-22,1.0,24,4
2024-07-23,1.0,18,0
2024-07-24,9.0,20,1
2024-07-25,19.0,37,0
2024-07-26,0.0,37,1
2024-07-27,0.0,7,0
2024-07-28,0.0,0,0
2024-07-29,4.0,30,2
2024-07-30,17.0,31,3
2024-07-31,15.0,16,3
2024-08-01,1.0,20,4
2024-08-02,0.0,15,1
2024-08-03,0.0,0,0
2024-08-04,0.0,1,0
2024-08-05,0.0,23,0
2024-08-06,1.0,26,1
2024-08-07,2.0,22,2
2024-08-08,2.0,23,2
2024-08-09,0.0,18,0
2024-08-10,0.0,0,0
2024-08-11,0.0,0,0
2024-08-12,0.0,28,1
2024-08-13,0.0,17,1
2024-08-14,2.0,20,1
2024-08-15,0.0,24,3
2024-08-16,0.0,2,3
2024-08-17,0.0,1,2
2024-08-18,0.0,0,0
2024-08-19,0.0,21,1
2024-08-20,0.0,29,0
2024-08-21,2.0,25,0
2024-08-22,0.0,27,3
2024-08-23,0.0,25,3
2024-08-24,0.0,5,0
2024-08-25,0.0,3,0
2024-08-26,0.0,23,2
2024-08-27,0.0,29,1
2024-08-28,0.0,32,1
2024-08-29,0.0,42,2
2024-08-30,13.0,26,3
2024-08-31,0.0,3,0
2024-09-01,1.0,2,0
2024-09-02,25.0,11,0
2024-09-03,13.0,24,1
2024-09-04,13.0,40,1
2024-09-05,12.0,23,3
2024-09-06,1.0,32,7
2024-09-07,0.0,4,1
2024-09-08,0.0,3,2
2024-09-09,2.0,36,0
2024-09-10,5.0,27,1
2024-09-11,8.0,35,0
2024-09-12,9.0,30,1
2024-09-13,4.0,16,2
2024-09-14,2.0,4,0
2024-09-15,1.0,1,1
2024-09-16,8.0,25,1
2024-09-17,37.0,43,1
2024-09-18,6.0,62,1
2024-09-19,25.0,40,0
2024-09-20,0.0,44,3
2024-09-21,0.0,12,0
2024-09-22,0.0,2,1
2024-09-23,10.0,42,0
2024-09-24,17.0,37,3
2024-09-25,12.0,37,2
2024-09-26,1.0,56,0
2024-09-27,2.0,36,1
2024-09-28,1.0,3,1
2024-09-29,1.0,3,0
2024-09-30,8.0,36,4
2024-10-01,18.0,43,1
2024-10-02,4.0,36,0
2024-10-03,12.0,40,3
2024-10-04,2.0,48,0
2024-10-05,0.0,2,0
2024-10-06,0.0,5,0
2024-10-07,6.0,38,0
2024-10-08,5.0,47,4
2024-10-09,2.0,37,0
2024-10-10,3.0,47,2
2024-10-11,0.0,46,2
2024-10-12,0.0,2,0
2024-10-13,0.0,1,2
2024-10-14,22.0,57,3
2024-10-15,3.0,52,3
2024-10-16,13.0,44,0
2024-10-17,14.0,33,3
2024-10-18,0.0,32,0
2024-10-19,1.0,3,0
2024-10-20,5.0,1,0
2024-10-21,11.0,41,1
2024-10-22,0.0,46,0
2024-10-23,1.0,46,1
2024-10-24,0.0,59,3
2024-10-25,0.0,47,1
2024-10-26,0.0,3,1
2024-10-27,0.0,1,1
2024-10-28,14.0,37,1
2024-10-29,3.0,29,3
2024-10-30,5.0,34,0
2024-10-31,1.0,32,3
2024-11-01,0.0,44,1
2024-11-02,1.0,8,0
2024-11-03,0.0,3,0
2024-11-04,13.0,31,1
2024-11-05,13.0,38,1
2024-11-06,7.0,45,0
2024-11-07,17.0,44,2
2024-11-08,1.0,42,2
2024-11-09,0.0,1,2
2024-11-10,0.0,1,2
2024-11-11,0.0,38,0
2024-11-12,11.0,35,0
2024-11-13,8.0,35,1
2024-11-14,6.0,38,3
2024-11-15,0.0,13,1
2024-11-16,0.0,1,1
2024-11-17,0.0,1,0
2024-11-18,22.0,36,0
2024-11-19,2.0,47,0
2024-11-20,76.0,51,0
2024-11-21,16.0,48,3
2024-11-22,0.0,50,0
2024-11-23,0.0,6,2
2024-11-24,0.0,4,0
2024-11-25,5.0,41,4
2024-11-26,7.0,31,1
2024-11-27,15.0,37,0
2024-11-28,12.0,25,1
2024-11-29,0.0,20,3
2024-11-30,0.0,7,0
2024-12-01,0.0,3,0
2024-12-02,21.0,22,1
2024-12-03,3.0,42,2
2024-12-04,22.0,46,0
2024-12-05,12.0,36,1
