,agda/agda,idris-lang/Idris2,idris-lang/Idris-dev
2020-11-11,3,3.0,0
2020-11-12,1,0.0,0
2020-11-13,10,0.0,0
2020-11-14,0,0.0,0
2020-11-15,0,0.0,0
2020-11-16,4,0.0,0
2020-11-17,1,0.0,0
2020-11-18,2,0.0,0
2020-11-19,5,0.0,0
2020-11-20,2,1.0,0
2020-11-21,6,0.0,0
2020-11-22,17,0.0,0
2020-11-23,10,1.0,0
2020-11-24,0,0.0,0
2020-11-25,9,0.0,0
2020-11-26,1,4.0,0
2020-11-27,2,7.0,0
2020-11-28,5,0.0,0
2020-11-29,0,1.0,0
2020-11-30,2,0.0,0
2020-12-01,40,0.0,0
2020-12-02,62,1.0,0
2020-12-03,23,4.0,0
2020-12-04,9,8.0,0
2020-12-05,0,1.0,0
2020-12-06,0,7.0,0
2020-12-07,2,9.0,0
2020-12-08,5,11.0,0
2020-12-09,0,1.0,0
2020-12-10,5,4.0,0
2020-12-11,2,1.0,1
2020-12-12,0,0.0,0
2020-12-13,0,1.0,0
2020-12-14,0,6.0,0
2020-12-15,2,0.0,0
2020-12-16,7,1.0,2
2020-12-17,3,2.0,0
2020-12-18,2,3.0,0
2020-12-19,1,0.0,0
2020-12-20,0,0.0,0
2020-12-21,1,1.0,0
2020-12-22,1,0.0,0
2020-12-23,15,1.0,0
2020-12-24,1,1.0,0
2020-12-25,1,0.0,0
2020-12-26,0,0.0,0
2020-12-27,2,5.0,0
2020-12-28,5,1.0,0
2020-12-29,2,16.0,0
2020-12-30,0,0.0,1
2020-12-31,0,1.0,0
2021-01-01,0,2.0,0
2021-01-02,5,0.0,0
2021-01-03,0,11.0,0
2021-01-04,2,0.0,0
2021-01-05,1,4.0,0
2021-01-06,10,4.0,0
2021-01-07,5,1.0,0
2021-01-08,0,1.0,0
2021-01-09,0,0.0,0
2021-01-10,0,1.0,0
2021-01-11,4,7.0,1
2021-01-12,1,5.0,0
2021-01-13,0,12.0,0
2021-01-14,1,1.0,0
2021-01-15,0,7.0,0
2021-01-16,2,20.0,0
2021-01-17,2,0.0,0
2021-01-18,3,2.0,0
2021-01-19,4,21.0,0
2021-01-20,0,8.0,0
2021-01-21,1,21.0,0
2021-01-22,0,18.0,0
2021-01-23,0,0.0,0
2021-01-24,0,0.0,0
2021-01-25,5,0.0,0
2021-01-26,2,1.0,0
2021-01-27,6,9.0,0
2021-01-28,1,0.0,0
2021-01-29,0,1.0,1
2021-01-30,8,3.0,0
2021-01-31,0,1.0,0
2021-02-01,0,4.0,0
2021-02-02,3,5.0,0
2021-02-03,4,3.0,0
2021-02-04,2,6.0,0
2021-02-05,4,4.0,0
2021-02-06,11,5.0,0
2021-02-07,11,1.0,0
2021-02-08,12,4.0,0
2021-02-09,7,2.0,0
2021-02-10,13,10.0,0
2021-02-11,0,2.0,0
2021-02-12,2,4.0,0
2021-02-13,3,0.0,0
2021-02-14,4,2.0,0
2021-02-15,4,12.0,0
2021-02-16,8,9.0,0
2021-02-17,12,1.0,0
2021-02-18,4,5.0,0
2021-02-19,1,2.0,0
2021-02-20,1,4.0,0
2021-02-21,3,0.0,0
2021-02-22,44,8.0,0
2021-02-23,8,7.0,0
2021-02-24,1,4.0,0
2021-02-25,2,9.0,0
2021-02-26,1,5.0,0
2021-02-27,0,5.0,0
2021-02-28,3,7.0,0
2021-03-01,3,8.0,0
2021-03-02,6,1.0,0
2021-03-03,3,4.0,0
2021-03-04,2,5.0,0
2021-03-05,2,1.0,0
2021-03-06,0,0.0,0
2021-03-07,1,2.0,0
2021-03-08,1,1.0,0
2021-03-09,1,7.0,0
2021-03-10,2,1.0,0
2021-03-11,0,0.0,0
2021-03-12,0,1.0,0
2021-03-13,0,0.0,0
2021-03-14,17,0.0,0
2021-03-15,1,8.0,0
2021-03-16,0,3.0,0
2021-03-17,2,3.0,0
2021-03-18,0,3.0,0
2021-03-19,14,0.0,0
2021-03-20,0,0.0,0
2021-03-21,0,0.0,0
2021-03-22,0,2.0,0
2021-03-23,0,0.0,0
2021-03-24,1,0.0,0
2021-03-25,1,8.0,0
2021-03-26,0,4.0,0
2021-03-27,0,0.0,0
2021-03-28,1,0.0,0
2021-03-29,14,3.0,0
2021-03-30,0,1.0,0
2021-03-31,6,4.0,0
2021-04-01,3,1.0,0
2021-04-02,5,3.0,0
2021-04-03,0,2.0,0
2021-04-04,0,4.0,0
2021-04-05,1,1.0,0
2021-04-06,1,1.0,0
2021-04-07,0,7.0,0
2021-04-08,4,6.0,0
2021-04-09,0,4.0,0
2021-04-10,2,1.0,0
2021-04-11,0,2.0,0
2021-04-12,1,6.0,0
2021-04-13,3,0.0,0
2021-04-14,4,1.0,0
2021-04-15,3,1.0,0
2021-04-16,2,4.0,0
2021-04-17,4,0.0,0
2021-04-18,0,0.0,0
2021-04-19,9,20.0,0
2021-04-20,4,0.0,0
2021-04-21,5,2.0,0
2021-04-22,6,3.0,0
2021-04-23,0,4.0,0
2021-04-24,0,0.0,0
2021-04-25,1,8.0,0
2021-04-26,0,16.0,0
2021-04-27,0,2.0,0
2021-04-28,1,15.0,0
2021-04-29,2,14.0,0
2021-04-30,0,3.0,0
2021-05-01,0,8.0,0
2021-05-02,0,1.0,0
2021-05-03,0,8.0,0
2021-05-04,0,4.0,0
2021-05-05,1,2.0,0
2021-05-06,4,7.0,0
2021-05-07,7,1.0,0
2021-05-08,9,5.0,0
2021-05-09,1,7.0,0
2021-05-10,1,13.0,0
2021-05-11,4,7.0,0
2021-05-12,3,1.0,0
2021-05-13,4,15.0,0
2021-05-14,0,6.0,0
2021-05-15,3,3.0,0
2021-05-16,0,4.0,0
2021-05-17,14,7.0,0
2021-05-18,0,5.0,0
2021-05-19,5,5.0,0
2021-05-20,1,26.0,0
2021-05-21,0,7.0,0
2021-05-22,7,2.0,0
2021-05-23,0,0.0,0
2021-05-24,12,2.0,0
2021-05-25,3,8.0,0
2021-05-26,0,11.0,0
2021-05-27,3,6.0,0
2021-05-28,0,0.0,0
2021-05-29,4,2.0,0
2021-05-30,0,0.0,0
2021-05-31,2,1.0,0
2021-06-01,2,2.0,0
2021-06-02,1,0.0,0
2021-06-03,4,10.0,0
2021-06-04,5,1.0,0
2021-06-05,5,3.0,0
2021-06-06,0,0.0,0
2021-06-07,21,3.0,0
2021-06-08,0,1.0,0
2021-06-09,0,1.0,0
2021-06-10,0,8.0,0
2021-06-11,0,5.0,0
2021-06-12,0,5.0,0
2021-06-13,0,8.0,0
2021-06-14,1,16.0,0
2021-06-15,1,4.0,0
2021-06-16,0,6.0,0
2021-06-17,1,4.0,0
2021-06-18,3,6.0,0
2021-06-19,4,0.0,0
2021-06-20,0,1.0,1
2021-06-21,0,6.0,0
2021-06-22,0,4.0,0
2021-06-23,0,22.0,0
2021-06-24,1,3.0,0
2021-06-25,0,1.0,0
2021-06-26,0,0.0,1
2021-06-27,0,11.0,0
2021-06-28,0,20.0,0
2021-06-29,0,7.0,0
2021-06-30,0,8.0,0
2021-07-01,0,2.0,0
2021-07-02,0,2.0,0
2021-07-03,0,1.0,0
2021-07-04,0,1.0,0
2021-07-05,0,0.0,0
2021-07-06,0,3.0,0
2021-07-07,0,1.0,0
2021-07-08,0,0.0,0
2021-07-09,1,1.0,0
2021-07-10,0,12.0,0
2021-07-11,0,5.0,0
2021-07-12,0,3.0,0
2021-07-13,4,18.0,0
2021-07-14,7,8.0,0
2021-07-15,2,34.0,0
2021-07-16,0,26.0,0
2021-07-17,2,13.0,0
2021-07-18,0,8.0,0
2021-07-19,0,4.0,0
2021-07-20,0,1.0,0
2021-07-21,3,2.0,0
2021-07-22,0,13.0,0
2021-07-23,0,7.0,0
2021-07-24,0,1.0,0
2021-07-25,0,4.0,0
2021-07-26,1,4.0,0
2021-07-27,0,3.0,0
2021-07-28,1,1.0,0
2021-07-29,2,0.0,0
2021-07-30,0,2.0,0
2021-07-31,0,3.0,0
2021-08-01,0,0.0,0
2021-08-02,0,0.0,0
2021-08-03,4,2.0,0
2021-08-04,0,0.0,0
2021-08-05,2,1.0,0
2021-08-06,2,2.0,0
2021-08-07,0,1.0,0
2021-08-08,0,1.0,0
2021-08-09,4,2.0,0
2021-08-10,3,5.0,0
2021-08-11,0,6.0,0
2021-08-12,0,2.0,0
2021-08-13,2,3.0,0
2021-08-14,0,0.0,0
2021-08-15,0,1.0,0
