,sindresorhus/type-fest,definitelytyped/definitelytyped,microsoft/TypeScript
2019-11-18,0,46,3
2019-11-19,0,36,7
2019-11-20,0,24,5
2019-11-21,0,3,8
2019-11-22,0,33,11
2019-11-23,0,7,1
2019-11-24,0,0,0
2019-11-25,0,16,3
2019-11-26,0,28,0
2019-11-27,0,32,7
2019-11-28,0,0,1
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,1,0,0
2019-12-02,0,10,5
2019-12-03,0,17,2
2019-12-04,0,14,3
2019-12-05,0,5,5
2019-12-06,0,20,4
2019-12-07,0,20,0
2019-12-08,0,1,0
2019-12-09,0,11,2
2019-12-10,0,39,4
2019-12-11,0,1,8
2019-12-12,0,1,1
2019-12-13,0,22,6
2019-12-14,0,0,0
2019-12-15,0,0,1
2019-12-16,0,28,2
2019-12-17,0,15,2
2019-12-18,0,31,13
2019-12-19,0,1,3
2019-12-20,0,37,7
2019-12-21,0,0,4
2019-12-22,0,1,2
2019-12-23,0,52,6
2019-12-24,0,1,1
2019-12-25,0,0,0
2019-12-26,0,45,0
2019-12-27,0,21,1
2019-12-28,0,1,0
2019-12-29,0,0,0
2019-12-30,0,7,1
2019-12-31,0,12,1
2020-01-01,0,0,0
2020-01-02,0,33,3
2020-01-03,0,34,11
2020-01-04,0,0,2
2020-01-05,0,0,0
2020-01-06,0,15,4
2020-01-07,0,17,10
2020-01-08,0,31,8
2020-01-09,0,22,3
2020-01-10,0,14,8
2020-01-11,0,5,0
2020-01-12,0,0,0
2020-01-13,0,19,3
2020-01-14,0,4,2
2020-01-15,0,33,5
2020-01-16,0,28,5
2020-01-17,0,36,9
2020-01-18,0,4,3
2020-01-19,0,0,0
2020-01-20,0,17,0
2020-01-21,1,33,8
2020-01-22,0,35,8
2020-01-23,0,22,9
2020-01-24,2,1,14
2020-01-25,0,19,7
2020-01-26,0,1,0
2020-01-27,0,42,6
2020-01-28,0,28,10
2020-01-29,0,24,14
2020-01-30,0,24,6
2020-01-31,3,23,15
2020-02-01,0,3,0
2020-02-02,0,1,0
2020-02-03,0,17,3
2020-02-04,0,16,3
2020-02-05,0,25,9
2020-02-06,1,32,4
2020-02-07,0,27,4
2020-02-08,0,3,0
2020-02-09,0,2,0
2020-02-10,3,43,2
2020-02-11,0,16,6
2020-02-12,0,27,9
2020-02-13,0,12,4
2020-02-14,3,31,8
2020-02-15,0,0,2
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,40,2
2020-02-19,0,23,8
2020-02-20,2,26,15
2020-02-21,0,15,17
2020-02-22,0,7,1
2020-02-23,0,1,0
2020-02-24,1,2,11
2020-02-25,0,76,23
2020-02-26,0,54,14
2020-02-27,0,21,24
2020-02-28,0,17,7
2020-02-29,0,0,6
2020-03-01,0,0,0
2020-03-02,0,40,12
2020-03-03,0,14,12
2020-03-04,0,16,9
2020-03-05,0,20,8
2020-03-06,0,36,6
2020-03-07,0,4,3
2020-03-08,0,0,1
2020-03-09,3,12,4
2020-03-10,1,15,9
2020-03-11,0,4,15
2020-03-12,1,22,17
2020-03-13,0,25,16
2020-03-14,0,18,2
2020-03-15,0,13,0
2020-03-16,0,2,2
2020-03-17,0,7,13
2020-03-18,0,25,7
2020-03-19,0,1,11
2020-03-20,0,43,3
2020-03-21,0,1,2
2020-03-22,0,30,2
2020-03-23,0,24,2
2020-03-24,0,7,5
2020-03-25,0,13,11
2020-03-26,0,7,5
2020-03-27,0,58,4
2020-03-28,0,4,1
2020-03-29,0,1,0
2020-03-30,0,23,10
2020-03-31,0,111,8
2020-04-01,0,30,9
2020-04-02,0,23,9
2020-04-03,0,18,7
2020-04-04,0,5,1
2020-04-05,4,0,0
2020-04-06,0,29,2
2020-04-07,0,32,7
2020-04-08,2,23,7
2020-04-09,0,17,13
2020-04-10,0,18,9
2020-04-11,0,24,2
2020-04-12,0,1,0
2020-04-13,0,41,8
2020-04-14,0,1,3
2020-04-15,0,32,9
2020-04-16,0,14,1
2020-04-17,0,41,2
2020-04-18,0,1,0
2020-04-19,0,0,3
2020-04-20,0,3,11
2020-04-21,1,3,14
2020-04-22,0,3,10
2020-04-23,0,36,4
2020-04-24,0,6,14
2020-04-25,0,0,3
2020-04-26,0,46,0
2020-04-27,0,83,4
2020-04-28,0,7,7
2020-04-29,0,4,6
2020-04-30,0,5,9
2020-05-01,0,10,0
2020-05-02,0,1,1
2020-05-03,0,3,0
2020-05-04,0,46,9
2020-05-05,0,17,5
2020-05-06,2,11,14
2020-05-07,0,10,8
2020-05-08,0,8,8
2020-05-09,0,5,1
2020-05-10,0,6,0
2020-05-11,0,23,13
2020-05-12,0,44,14
2020-05-13,0,66,2
2020-05-14,0,37,4
2020-05-15,0,35,4
2020-05-16,0,0,23
2020-05-17,0,4,1
2020-05-18,0,34,7
2020-05-19,0,90,15
2020-05-20,0,26,17
2020-05-21,2,33,15
2020-05-22,0,9,19
2020-05-23,0,4,5
2020-05-24,0,3,0
2020-05-25,0,4,7
2020-05-26,2,16,14
2020-05-27,0,46,8
2020-05-28,0,12,2
2020-05-29,0,18,39
2020-05-30,0,25,4
2020-05-31,0,2,2
2020-06-01,0,16,16
2020-06-02,0,9,6
2020-06-03,0,13,7
2020-06-04,0,39,8
2020-06-05,0,11,9
2020-06-06,0,3,0
2020-06-07,0,1,0
2020-06-08,0,15,0
2020-06-09,2,22,7
2020-06-10,0,20,7
2020-06-11,0,15,5
2020-06-12,0,30,6
