,google/closure-compiler,rescript-lang/rescript-compiler,microsoft/typescript
2019-01-21,0,10,0
2019-01-22,13,16,7
2019-01-23,7,10,7
2019-01-24,0,11,30
2019-01-25,11,13,38
2019-01-26,8,0,6
2019-01-27,0,0,4
2019-01-28,0,16,15
2019-01-29,15,1,15
2019-01-30,8,17,21
2019-01-31,3,7,21
2019-02-01,4,0,31
2019-02-02,3,0,13
2019-02-03,0,0,10
2019-02-04,2,6,19
2019-02-05,0,5,12
2019-02-06,15,7,23
2019-02-07,8,9,32
2019-02-08,14,7,7
2019-02-09,0,9,1
2019-02-10,0,1,7
2019-02-11,0,2,18
2019-02-12,12,4,0
2019-02-13,7,6,7
2019-02-14,4,9,9
2019-02-15,13,9,8
2019-02-16,0,1,1
2019-02-17,0,2,1
2019-02-18,0,5,2
2019-02-19,5,3,11
2019-02-20,0,6,14
2019-02-21,19,12,14
2019-02-22,5,3,15
2019-02-23,0,4,6
2019-02-24,0,0,0
2019-02-25,4,6,10
2019-02-26,6,0,21
2019-02-27,4,10,12
2019-02-28,8,0,16
2019-03-01,4,13,19
2019-03-02,0,11,7
2019-03-03,0,6,1
2019-03-04,3,0,8
2019-03-05,14,4,13
2019-03-06,9,3,10
2019-03-07,11,2,6
2019-03-08,6,0,19
2019-03-09,2,0,11
2019-03-10,0,0,2
2019-03-11,11,4,9
2019-03-12,0,0,15
2019-03-13,3,14,22
2019-03-14,7,16,16
2019-03-15,0,0,10
2019-03-16,11,0,2
2019-03-17,0,0,0
2019-03-18,0,3,12
2019-03-19,11,7,10
2019-03-20,10,1,6
2019-03-21,6,4,4
2019-03-22,3,0,5
2019-03-23,0,5,2
2019-03-24,0,12,37
2019-03-25,3,12,2
2019-03-26,4,1,9
2019-03-27,10,12,8
2019-03-28,10,1,7
2019-03-29,0,4,6
2019-03-30,0,3,1
2019-03-31,0,1,2
2019-04-01,0,6,5
2019-04-02,0,15,17
2019-04-03,17,0,15
2019-04-04,4,1,19
2019-04-05,8,1,9
2019-04-06,0,2,7
2019-04-07,0,3,2
2019-04-08,4,13,18
2019-04-09,6,2,2
2019-04-10,5,2,4
2019-04-11,11,5,9
2019-04-12,4,1,8
2019-04-13,0,0,3
2019-04-14,0,0,0
2019-04-15,10,14,8
2019-04-16,2,11,15
2019-04-17,0,5,25
2019-04-18,12,9,34
2019-04-19,12,0,16
2019-04-20,6,5,0
2019-04-21,0,5,0
2019-04-22,0,10,4
2019-04-23,0,7,20
2019-04-24,14,0,22
2019-04-25,13,2,26
2019-04-26,2,5,12
2019-04-27,0,2,9
2019-04-28,0,13,5
2019-04-29,3,7,29
2019-04-30,10,1,23
2019-05-01,9,0,19
2019-05-02,9,0,14
2019-05-03,4,0,6
2019-05-04,0,0,0
2019-05-05,0,0,3
2019-05-06,12,0,6
2019-05-07,10,0,10
2019-05-08,6,0,10
2019-05-09,6,0,4
2019-05-10,6,0,7
2019-05-11,0,0,4
2019-05-12,0,0,2
2019-05-13,10,0,11
2019-05-14,10,0,7
2019-05-15,2,0,7
2019-05-16,12,0,4
2019-05-17,9,0,5
2019-05-18,0,0,0
2019-05-19,0,1,0
2019-05-20,7,12,11
2019-05-21,11,4,13
2019-05-22,0,0,17
2019-05-23,6,0,15
2019-05-24,7,0,14
2019-05-25,9,0,0
2019-05-26,0,0,0
2019-05-27,0,3,1
2019-05-28,0,11,6
2019-05-29,10,14,5
2019-05-30,10,2,14
2019-05-31,6,7,33
2019-06-01,0,0,4
2019-06-02,0,0,3
2019-06-03,2,13,7
2019-06-04,9,7,6
2019-06-05,0,10,18
2019-06-06,6,4,22
2019-06-07,1,0,9
2019-06-08,1,1,2
2019-06-09,0,4,7
2019-06-10,0,7,3
2019-06-11,6,6,7
2019-06-12,1,11,6
2019-06-13,0,16,4
2019-06-14,9,8,32
2019-06-15,0,0,1
2019-06-16,0,4,0
2019-06-17,3,5,9
2019-06-18,6,13,8
2019-06-19,4,1,23
2019-06-20,4,15,20
2019-06-21,1,8,19
2019-06-22,0,0,6
2019-06-23,0,0,5
2019-06-24,3,9,8
2019-06-25,3,4,15
2019-06-26,12,4,19
2019-06-27,8,5,17
2019-06-28,2,2,18
2019-06-29,0,6,7
2019-06-30,0,0,8
2019-07-01,8,7,27
2019-07-02,4,3,7
2019-07-03,4,4,14
2019-07-04,0,14,2
2019-07-05,0,10,9
2019-07-06,0,0,0
2019-07-07,0,13,1
2019-07-08,8,6,15
2019-07-09,5,11,5
2019-07-10,0,7,11
2019-07-11,11,9,16
2019-07-12,0,6,17
2019-07-13,14,9,2
2019-07-14,0,0,0
2019-07-15,0,16,11
2019-07-16,0,5,14
2019-07-17,15,5,19
2019-07-18,7,9,11
2019-07-19,5,14,8
2019-07-20,0,0,6
2019-07-21,0,5,1
2019-07-22,3,13,5
2019-07-23,6,2,7
2019-07-24,8,3,5
2019-07-25,3,7,14
2019-07-26,11,8,9
2019-07-27,0,0,1
2019-07-28,0,0,3
2019-07-29,6,27,14
2019-07-30,4,12,9
2019-07-31,0,6,7
2019-08-01,9,8,10
2019-08-02,2,6,16
2019-08-03,6,0,5
2019-08-04,0,4,6
2019-08-05,0,16,9
2019-08-06,3,8,22
2019-08-07,0,7,10
2019-08-08,0,18,11
2019-08-09,0,6,37
2019-08-10,3,0,8
2019-08-11,0,2,0
2019-08-12,1,8,7
2019-08-13,2,0,7
2019-08-14,3,9,16
2019-08-15,2,14,22
2019-08-16,5,6,23
2019-08-17,0,0,4
2019-08-18,0,0,2
2019-08-19,5,6,14
2019-08-20,2,1,10
2019-08-21,4,2,7
2019-08-22,2,3,6
2019-08-23,7,4,9
2019-08-24,0,4,1
2019-08-25,0,0,0
2019-08-26,0,7,11
2019-08-27,13,2,13
2019-08-28,4,13,8
2019-08-29,4,10,7
2019-08-30,0,2,10
2019-08-31,7,0,5
2019-09-01,0,0,0
2019-09-02,0,14,4
2019-09-03,4,12,8
2019-09-04,0,2,18
2019-09-05,10,0,14
2019-09-06,0,4,7
2019-09-07,0,0,3
2019-09-08,0,2,0
2019-09-09,0,24,11
2019-09-10,10,3,8
2019-09-11,12,19,19
2019-09-12,4,10,11
2019-09-13,4,0,7
2019-09-14,0,0,3
2019-09-15,0,6,5
2019-09-16,2,1,9
2019-09-17,3,9,12
2019-09-18,7,8,13
2019-09-19,0,12,6
2019-09-20,10,7,12
2019-09-21,0,5,8
2019-09-22,0,0,0
2019-09-23,5,7,15
2019-09-24,5,2,30
2019-09-25,0,3,18
2019-09-26,12,8,13
2019-09-27,1,1,23
2019-09-28,0,5,0
2019-09-29,0,0,0
2019-09-30,8,0,17
2019-10-01,1,4,14
2019-10-02,2,1,8
2019-10-03,2,0,12
2019-10-04,8,0,16
2019-10-05,0,0,5
2019-10-06,0,0,7
2019-10-07,6,1,3
2019-10-08,6,0,3
2019-10-09,0,1,10
2019-10-10,12,0,7
2019-10-11,6,4,0
2019-10-12,0,5,1
2019-10-13,0,1,6
2019-10-14,5,6,7
2019-10-15,12,6,16
2019-10-16,0,11,29
2019-10-17,8,4,30
2019-10-18,6,5,23
2019-10-19,6,0,8
2019-10-20,0,1,0
2019-10-21,0,6,14
2019-10-22,1,11,8
2019-10-23,0,7,5
2019-10-24,15,1,6
2019-10-25,0,12,5
2019-10-26,0,0,1
2019-10-27,0,0,0
2019-10-28,0,8,6
2019-10-29,11,1,6
2019-10-30,0,11,7
2019-10-31,0,0,4
2019-11-01,0,1,2
2019-11-02,0,3,0
2019-11-03,0,1,0
2019-11-04,0,15,3
2019-11-05,10,6,4
2019-11-06,19,8,2
2019-11-07,5,10,4
2019-11-08,8,2,1
2019-11-09,0,1,1
2019-11-10,0,4,0
2019-11-11,1,2,1
2019-11-12,3,1,3
2019-11-13,0,0,2
2019-11-14,0,0,2
2019-11-15,7,11,5
2019-11-16,11,11,0
2019-11-17,0,13,0
2019-11-18,4,14,3
2019-11-19,0,4,7
2019-11-20,4,7,5
2019-11-21,0,0,8
2019-11-22,9,0,11
2019-11-23,0,8,1
2019-11-24,0,4,0
2019-11-25,0,21,3
2019-11-26,7,0,0
2019-11-27,4,3,7
2019-11-28,0,1,1
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,0,1,0
2019-12-02,2,7,5
2019-12-03,8,2,2
2019-12-04,0,10,3
2019-12-05,10,3,5
2019-12-06,0,5,4
2019-12-07,0,0,0
2019-12-08,0,0,0
2019-12-09,0,12,2
2019-12-10,11,5,4
2019-12-11,14,9,8
2019-12-12,5,11,1
2019-12-13,3,7,6
2019-12-14,0,21,0
2019-12-15,0,17,1
2019-12-16,10,13,2
2019-12-17,8,6,2
2019-12-18,0,3,13
2019-12-19,0,5,3
2019-12-20,14,3,7
2019-12-21,0,1,4
2019-12-22,0,0,2
2019-12-23,0,1,6
2019-12-24,0,15,1
2019-12-25,0,5,0
2019-12-26,0,2,0
2019-12-27,0,0,1
2019-12-28,0,0,0
2019-12-29,0,0,0
2019-12-30,0,0,1
2019-12-31,0,0,1
2020-01-01,0,0,0
2020-01-02,0,10,3
2020-01-03,19,7,11
2020-01-04,0,1,2
2020-01-05,0,0,0
2020-01-06,7,3,4
2020-01-07,8,11,10
2020-01-08,8,5,8
2020-01-09,3,1,3
2020-01-10,6,0,8
2020-01-11,0,0,0
2020-01-12,0,4,0
2020-01-13,3,5,3
2020-01-14,0,7,2
2020-01-15,17,8,5
2020-01-16,4,3,5
2020-01-17,7,0,9
2020-01-18,0,4,3
2020-01-19,0,4,0
2020-01-20,0,12,0
2020-01-21,6,0,8
2020-01-22,5,2,8
2020-01-23,2,0,9
2020-01-24,3,1,14
2020-01-25,0,0,7
2020-01-26,0,0,0
2020-01-27,2,1,6
2020-01-28,9,13,10
2020-01-29,6,4,14
2020-01-30,6,22,6
2020-01-31,0,17,15
2020-02-01,0,4,0
2020-02-02,0,8,0
2020-02-03,0,9,3
2020-02-04,12,9,3
2020-02-05,0,3,9
2020-02-06,0,2,4
2020-02-07,7,8,4
2020-02-08,0,5,0
2020-02-09,0,3,0
2020-02-10,7,6,2
2020-02-11,0,6,6
2020-02-12,4,9,9
2020-02-13,11,7,4
2020-02-14,0,7,8
2020-02-15,0,6,2
2020-02-16,0,5,0
2020-02-17,0,4,0
2020-02-18,0,7,2
2020-02-19,18,6,8
2020-02-20,10,2,15
2020-02-21,4,13,17
2020-02-22,0,4,1
2020-02-23,0,14,0
2020-02-24,3,10,11
2020-02-25,1,17,23
2020-02-26,2,8,14
2020-02-27,0,4,24
2020-02-28,0,5,7
2020-02-29,0,6,6
2020-03-01,0,6,0
2020-03-02,6,5,12
2020-03-03,2,3,12
2020-03-04,4,0,9
2020-03-05,0,14,8
2020-03-06,20,9,6
2020-03-07,0,1,3
2020-03-08,0,7,1
2020-03-09,15,7,4
2020-03-10,4,15,9
2020-03-11,0,13,15
2020-03-12,0,10,17
2020-03-13,0,0,16
2020-03-14,10,6,2
2020-03-15,0,25,0
2020-03-16,0,3,2
2020-03-17,0,0,13
2020-03-18,0,5,7
2020-03-19,17,1,11
2020-03-20,0,1,3
2020-03-21,0,14,2
2020-03-22,0,7,2
2020-03-23,0,8,2
2020-03-24,0,9,5
2020-03-25,19,9,11
2020-03-26,0,14,5
2020-03-27,7,4,4
2020-03-28,0,0,1
2020-03-29,0,0,0
2020-03-30,0,0,10
2020-03-31,7,22,8
2020-04-01,3,21,9
2020-04-02,5,0,9
2020-04-03,2,0,7
2020-04-04,0,0,1
2020-04-05,1,0,0
2020-04-06,0,1,2
2020-04-07,8,13,7
2020-04-08,9,9,7
2020-04-09,3,3,13
2020-04-10,0,1,9
2020-04-11,0,4,2
2020-04-12,0,13,0
2020-04-13,8,4,8
2020-04-14,0,1,3
2020-04-15,0,5,9
2020-04-16,12,7,1
2020-04-17,0,3,2
2020-04-18,0,1,0
2020-04-19,2,2,3
2020-04-20,18,0,11
2020-04-21,4,0,14
2020-04-22,0,0,10
2020-04-23,0,8,4
2020-04-24,0,15,14
2020-04-25,0,7,3
2020-04-26,0,14,0
2020-04-27,17,10,4
2020-04-28,0,0,7
2020-04-29,4,8,6
2020-04-30,0,15,9
2020-05-01,0,0,0
2020-05-02,0,0,1
2020-05-03,0,0,0
2020-05-04,14,1,9
2020-05-05,4,7,5
2020-05-06,0,10,14
2020-05-07,8,18,8
2020-05-08,0,5,8
2020-05-09,3,14,1
2020-05-10,0,7,0
2020-05-11,5,4,13
2020-05-12,0,12,14
2020-05-13,0,14,2
2020-05-14,11,12,4
2020-05-15,0,7,4
2020-05-16,0,13,23
2020-05-17,0,3,1
2020-05-18,19,7,7
2020-05-19,0,11,15
2020-05-20,8,24,17
2020-05-21,0,6,15
2020-05-22,0,5,19
2020-05-23,0,1,5
2020-05-24,0,1,0
2020-05-25,0,21,7
2020-05-26,2,1,14
2020-05-27,18,20,8
2020-05-28,0,5,2
2020-05-29,13,10,39
2020-05-30,0,0,4
2020-05-31,0,2,2
2020-06-01,0,33,16
2020-06-02,11,9,6
2020-06-03,0,4,7
2020-06-04,19,0,8
2020-06-05,4,3,9
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,3,4,0
2020-06-09,6,2,7
2020-06-10,0,19,7
2020-06-11,3,6,5
2020-06-12,10,4,6
2020-06-13,0,8,4
2020-06-14,0,6,0
2020-06-15,6,0,4
2020-06-16,7,3,13
2020-06-17,9,6,12
2020-06-18,11,6,11
2020-06-19,8,15,15
2020-06-20,0,16,1
2020-06-21,0,3,1
2020-06-22,5,2,8
2020-06-23,6,12,14
2020-06-24,5,0,8
2020-06-25,10,0,5
2020-06-26,4,0,13
2020-06-27,4,0,0
2020-06-28,0,0,3
2020-06-29,8,23,10
2020-06-30,21,11,13
2020-07-01,8,17,5
2020-07-02,6,18,8
2020-07-03,0,19,7
2020-07-04,0,20,3
2020-07-05,0,0,0
2020-07-06,5,19,10
2020-07-07,6,0,21
2020-07-08,12,16,19
2020-07-09,11,9,7
2020-07-10,7,0,10
2020-07-11,1,9,1
2020-07-12,0,34,0
2020-07-13,3,6,8
2020-07-14,6,15,6
2020-07-15,3,15,7
2020-07-16,7,4,5
2020-07-17,18,18,6
2020-07-18,0,3,0
2020-07-19,1,13,0
2020-07-20,8,9,1
2020-07-21,4,7,7
2020-07-22,9,7,8
2020-07-23,10,6,1
2020-07-24,8,9,3
2020-07-25,2,1,0
2020-07-26,8,10,0
2020-07-27,11,13,5
2020-07-28,8,10,3
2020-07-29,7,8,3
2020-07-30,6,13,11
2020-07-31,10,10,1
2020-08-01,1,1,1
2020-08-02,0,2,0
2020-08-03,12,5,12
2020-08-04,5,2,11
2020-08-05,4,17,8
2020-08-06,6,14,4
2020-08-07,18,15,1
2020-08-08,1,0,1
2020-08-09,0,2,0
2020-08-10,8,3,2
2020-08-11,13,0,2
2020-08-12,6,12,2
2020-08-13,3,2,5
2020-08-14,13,19,3
2020-08-15,1,4,1
2020-08-16,0,2,1
2020-08-17,1,0,5
2020-08-18,2,1,11
2020-08-19,11,0,9
2020-08-20,6,0,8
2020-08-21,3,0,8
2020-08-22,0,0,5
2020-08-23,0,1,1
2020-08-24,1,16,2
2020-08-25,4,13,6
2020-08-26,11,0,6
2020-08-27,7,2,10
2020-08-28,5,0,4
2020-08-29,0,0,4
2020-08-30,0,0,0
2020-08-31,7,26,4
2020-09-01,6,6,6
2020-09-02,5,0,3
2020-09-03,7,4,4
2020-09-04,1,3,8
2020-09-05,0,12,4
2020-09-06,0,5,0
2020-09-07,1,4,0
2020-09-08,6,4,11
2020-09-09,10,17,4
2020-09-10,8,15,13
2020-09-11,12,14,12
2020-09-12,2,0,6
2020-09-13,1,0,2
2020-09-14,4,7,12
2020-09-15,4,10,10
2020-09-16,4,40,4
2020-09-17,5,18,4
2020-09-18,5,10,3
2020-09-19,2,7,3
2020-09-20,0,4,0
2020-09-21,12,7,7
2020-09-22,7,5,10
2020-09-23,2,0,11
2020-09-24,4,0,8
2020-09-25,4,2,11
2020-09-26,1,0,6
2020-09-27,0,0,2
2020-09-28,4,1,4
2020-09-29,1,7,8
2020-09-30,8,1,5
2020-10-01,7,0,11
2020-10-02,5,0,8
2020-10-03,1,0,2
2020-10-04,0,0,0
2020-10-05,4,0,11
2020-10-06,3,0,21
2020-10-07,2,0,14
2020-10-08,5,5,5
2020-10-09,3,3,11
2020-10-10,1,2,2
2020-10-11,0,6,1
2020-10-12,4,4,9
2020-10-13,4,11,7
2020-10-14,4,13,7
2020-10-15,1,18,7
2020-10-16,1,4,0
2020-10-17,1,0,3
2020-10-18,1,0,0
2020-10-19,4,11,13
2020-10-20,8,6,3
2020-10-21,1,8,7
2020-10-22,2,4,7
2020-10-23,2,10,8
2020-10-24,0,4,3
2020-10-25,0,1,0
2020-10-26,4,6,8
2020-10-27,1,0,18
2020-10-28,3,2,13
2020-10-29,7,0,9
2020-10-30,3,0,12
2020-10-31,0,3,1
2020-11-01,0,7,1
2020-11-02,6,1,15
2020-11-03,6,0,11
2020-11-04,0,8,5
2020-11-05,6,10,3
2020-11-06,2,10,10
2020-11-07,0,4,2
2020-11-08,0,0,0
2020-11-09,8,4,3
2020-11-10,3,11,8
2020-11-11,3,1,15
2020-11-12,2,7,6
2020-11-13,6,0,1
2020-11-14,5,0,0
2020-11-15,1,0,1
2020-11-16,4,10,1
2020-11-17,7,16,1
2020-11-18,3,1,4
2020-11-19,3,10,2
2020-11-20,2,5,4
2020-11-21,1,0,2
2020-11-22,0,0,0
2020-11-23,5,0,3
2020-11-24,3,3,12
2020-11-25,3,0,5
2020-11-26,0,4,4
2020-11-27,0,2,1
2020-11-28,0,4,0
2020-11-29,0,6,0
2020-11-30,3,5,5
2020-12-01,4,1,10
2020-12-02,4,1,7
2020-12-03,4,4,8
2020-12-04,5,4,7
2020-12-05,0,0,5
2020-12-06,0,8,1
2020-12-07,6,4,4
2020-12-08,9,8,5
2020-12-09,5,0,10
2020-12-10,8,0,4
2020-12-11,3,1,5
2020-12-12,0,0,2
2020-12-13,0,5,1
2020-12-14,3,2,1
2020-12-15,8,1,5
2020-12-16,3,5,5
2020-12-17,4,2,5
2020-12-18,1,0,11
2020-12-19,0,0,2
2020-12-20,0,0,0
2020-12-21,2,0,1
2020-12-22,6,0,6
2020-12-23,1,0,2
2020-12-24,0,0,1
2020-12-25,0,0,0
2020-12-26,0,0,0
2020-12-27,0,3,0
2020-12-28,0,8,4
2020-12-29,1,7,0
2020-12-30,1,9,4
2020-12-31,0,5,1
2021-01-01,0,0,1
2021-01-02,0,0,1
2021-01-03,0,0,0
2021-01-04,0,3,13
2021-01-05,2,0,4
2021-01-06,4,2,3
2021-01-07,9,0,2
2021-01-08,5,6,6
2021-01-09,3,0,3
2021-01-10,0,1,3
2021-01-11,2,2,3
2021-01-12,5,0,6
2021-01-13,9,2,2
2021-01-14,9,4,2
2021-01-15,8,7,6
2021-01-16,4,15,3
2021-01-17,2,1,0
2021-01-18,0,11,2
2021-01-19,2,0,3
2021-01-20,7,3,7
2021-01-21,7,2,2
2021-01-22,5,4,3
2021-01-23,0,2,3
2021-01-24,0,5,0
2021-01-25,10,1,8
2021-01-26,4,0,1
2021-01-27,3,2,4
2021-01-28,5,1,3
2021-01-29,11,2,7
2021-01-30,0,4,0
2021-01-31,0,5,0
2021-02-01,8,0,2
2021-02-02,8,0,4
2021-02-03,5,7,7
2021-02-04,3,1,8
2021-02-05,3,1,6
2021-02-06,3,0,0
2021-02-07,0,1,1
2021-02-08,8,10,2
2021-02-09,6,0,4
2021-02-10,3,3,3
2021-02-11,9,0,5
2021-02-12,8,1,7
2021-02-13,0,0,2
2021-02-14,1,0,1
2021-02-15,0,0,1
2021-02-16,0,0,6
2021-02-17,8,0,3
2021-02-18,19,7,11
2021-02-19,3,12,6
2021-02-20,0,3,1
2021-02-21,2,0,1
2021-02-22,7,6,2
2021-02-23,6,6,7
2021-02-24,6,3,6
2021-02-25,3,4,8
2021-02-26,6,0,4
2021-02-27,0,0,1
2021-02-28,1,0,1
2021-03-01,7,8,7
2021-03-02,4,0,7
2021-03-03,5,3,8
2021-03-04,7,0,5
2021-03-05,4,0,6
2021-03-06,0,5,3
2021-03-07,0,0,1
2021-03-08,14,0,1
2021-03-09,7,5,5
2021-03-10,4,3,6
2021-03-11,3,7,11
2021-03-12,2,1,5
2021-03-13,0,12,3
2021-03-14,0,0,0
2021-03-15,0,9,0
2021-03-16,6,2,5
2021-03-17,5,4,0
2021-03-18,4,3,2
2021-03-19,4,9,5
2021-03-20,2,3,3
2021-03-21,0,2,1
2021-03-22,6,4,5
2021-03-23,2,8,1
2021-03-24,6,0,2
2021-03-25,7,3,6
2021-03-26,1,2,7
2021-03-27,0,0,2
2021-03-28,0,1,2
2021-03-29,10,0,4
2021-03-30,13,2,9
2021-03-31,16,1,3
2021-04-01,18,1,2
2021-04-02,9,4,2
2021-04-03,2,1,1
2021-04-04,0,0,1
2021-04-05,6,3,13
2021-04-06,7,1,7
2021-04-07,4,5,9
2021-04-08,7,0,2
2021-04-09,7,0,3
2021-04-10,2,0,1
2021-04-11,0,8,0
2021-04-12,5,9,3
2021-04-13,5,8,8
2021-04-14,8,2,3
2021-04-15,3,2,3
2021-04-16,3,2,2
2021-04-17,0,0,2
2021-04-18,0,1,1
2021-04-19,5,1,7
2021-04-20,7,4,6
2021-04-21,5,0,5
2021-04-22,3,24,4
2021-04-23,5,4,4
2021-04-24,1,2,2
2021-04-25,0,3,1
2021-04-26,9,1,3
2021-04-27,2,1,4
2021-04-28,10,5,6
2021-04-29,4,8,5
2021-04-30,6,0,5
2021-05-01,1,0,0
2021-05-02,0,0,1
2021-05-03,9,0,1
2021-05-04,2,1,0
2021-05-05,7,0,5
2021-05-06,2,5,7
2021-05-07,4,1,10
2021-05-08,2,8,1
2021-05-09,1,6,1
2021-05-10,9,9,3
2021-05-11,6,0,2
2021-05-12,11,2,3
2021-05-13,9,16,3
2021-05-14,12,2,0
2021-05-15,6,1,1
2021-05-16,1,3,0
2021-05-17,8,0,1
2021-05-18,12,2,6
2021-05-19,7,8,6
2021-05-20,3,1,9
2021-05-21,5,0,3
2021-05-22,4,5,1
2021-05-23,0,9,0
2021-05-24,11,1,8
2021-05-25,8,2,6
2021-05-26,10,1,11
2021-05-27,7,1,4
2021-05-28,3,0,4
2021-05-29,1,4,2
2021-05-30,0,3,0
2021-05-31,0,2,0
2021-06-01,4,0,3
2021-06-02,7,3,3
2021-06-03,13,0,7
2021-06-04,13,0,5
2021-06-05,2,1,1
2021-06-06,0,7,0
2021-06-07,7,0,2
2021-06-08,7,0,4
2021-06-09,10,0,1
2021-06-10,11,0,4
2021-06-11,14,2,3
2021-06-12,1,1,1
2021-06-13,0,2,2
2021-06-14,3,4,2
2021-06-15,5,1,3
2021-06-16,2,1,5
2021-06-17,3,0,6
2021-06-18,3,0,6
2021-06-19,0,0,1
2021-06-20,0,13,1
2021-06-21,6,0,7
2021-06-22,7,0,6
2021-06-23,7,0,7
2021-06-24,6,0,6
2021-06-25,3,0,9
2021-06-26,1,14,4
2021-06-27,0,0,4
2021-06-28,7,0,7
2021-06-29,5,0,6
2021-06-30,5,0,3
2021-07-01,6,4,3
2021-07-02,7,5,2
2021-07-03,1,3,2
2021-07-04,0,11,3
2021-07-05,0,0,1
2021-07-06,0,0,5
2021-07-07,9,0,3
2021-07-08,2,0,3
2021-07-09,9,0,1
2021-07-10,2,0,2
2021-07-11,0,0,2
2021-07-12,9,16,3
2021-07-13,13,0,5
2021-07-14,8,13,5
2021-07-15,17,0,2
2021-07-16,5,5,12
2021-07-17,1,1,4
2021-07-18,0,6,2
2021-07-19,5,0,3
2021-07-20,5,0,1
2021-07-21,5,0,3
2021-07-22,2,5,1
2021-07-23,3,3,3
2021-07-24,0,0,1
2021-07-25,1,0,1
2021-07-26,5,8,6
2021-07-27,11,1,1
2021-07-28,1,0,2
2021-07-29,2,0,6
2021-07-30,4,39,7
2021-07-31,0,0,1
2021-08-01,0,0,1
2021-08-02,6,2,10
2021-08-03,9,1,5
2021-08-04,7,0,7
2021-08-05,7,1,5
2021-08-06,5,0,9
2021-08-07,0,62,4
2021-08-08,0,0,5
2021-08-09,4,0,2
2021-08-10,21,1,6
2021-08-11,12,0,1
2021-08-12,7,2,2
2021-08-13,10,3,5
2021-08-14,2,0,2
2021-08-15,0,16,0
2021-08-16,3,2,4
2021-08-17,11,0,4
2021-08-18,5,0,2
2021-08-19,12,0,3
2021-08-20,7,21,4
2021-08-21,0,4,2
2021-08-22,0,20,0
2021-08-23,10,0,3
2021-08-24,13,0,5
2021-08-25,5,0,3
2021-08-26,7,0,4
2021-08-27,3,0,1
2021-08-28,0,34,2
2021-08-29,0,1,1
2021-08-30,3,0,4
2021-08-31,3,6,1
2021-09-01,0,7,4
2021-09-02,0,0,4
2021-09-03,3,23,5
2021-09-04,0,0,2
2021-09-05,0,20,0
2021-09-06,0,1,1
2021-09-07,3,0,3
2021-09-08,4,0,8
2021-09-09,3,7,5
2021-09-10,3,0,7
2021-09-11,1,0,4
2021-09-12,0,63,2
