,pytorch/pytorch,google/flax,deepmind/dm-haiku
2020-11-06,30,2,1
2020-11-07,13,0,1
2020-11-08,5,0,0
2020-11-09,25,5,1
2020-11-10,43,4,0
2020-11-11,47,9,2
2020-11-12,46,10,3
2020-11-13,47,11,3
2020-11-14,26,1,0
2020-11-15,6,1,1
2020-11-16,23,5,2
2020-11-17,30,3,1
2020-11-18,40,5,0
2020-11-19,39,2,1
2020-11-20,27,9,2
2020-11-21,22,1,0
2020-11-22,3,0,0
2020-11-23,1,23,1
2020-11-24,1,6,4
2020-11-25,11,1,0
2020-11-26,8,7,1
2020-11-27,6,10,0
2020-11-28,1,0,0
2020-11-29,2,0,0
2020-11-30,26,20,0
2020-12-01,39,6,0
2020-12-02,62,13,1
2020-12-03,39,11,0
2020-12-04,35,15,1
2020-12-05,22,0,0
2020-12-06,10,0,0
2020-12-07,16,0,0
2020-12-08,38,14,0
2020-12-09,36,10,2
2020-12-10,59,9,0
2020-12-11,46,1,1
2020-12-12,16,0,0
2020-12-13,1,0,0
2020-12-14,25,2,2
2020-12-15,30,4,0
2020-12-16,44,5,1
2020-12-17,51,15,2
2020-12-18,35,1,0
2020-12-19,16,0,0
2020-12-20,3,0,0
2020-12-21,28,0,3
2020-12-22,31,2,2
2020-12-23,27,4,0
2020-12-24,4,3,0
2020-12-25,1,2,0
2020-12-26,0,0,9
2020-12-27,0,2,0
2020-12-28,7,12,0
2020-12-29,8,6,0
2020-12-30,13,8,1
2020-12-31,5,0,0
2021-01-01,1,1,0
2021-01-02,0,1,0
2021-01-03,1,1,0
2021-01-04,21,0,3
2021-01-05,40,3,3
2021-01-06,46,4,2
2021-01-07,28,8,1
2021-01-08,43,1,1
2021-01-09,8,1,0
2021-01-10,4,0,0
2021-01-11,28,1,1
2021-01-12,43,4,3
2021-01-13,33,8,0
2021-01-14,27,11,7
2021-01-15,23,6,6
2021-01-16,11,1,1
2021-01-17,1,0,0
2021-01-18,7,2,0
2021-01-19,30,5,0
2021-01-20,44,3,0
2021-01-21,28,4,1
2021-01-22,45,4,0
2021-01-23,13,0,0
2021-01-24,2,2,0
2021-01-25,20,6,0
2021-01-26,30,6,0
2021-01-27,35,9,1
2021-01-28,49,9,0
2021-01-29,37,13,0
2021-01-30,9,3,0
2021-01-31,3,0,0
2021-02-01,23,11,1
2021-02-02,61,5,0
2021-02-03,44,6,0
2021-02-04,68,7,0
2021-02-05,37,18,1
2021-02-06,13,2,0
2021-02-07,3,1,0
2021-02-08,25,2,7
2021-02-09,28,1,0
2021-02-10,37,3,2
2021-02-11,42,0,0
2021-02-12,17,3,0
2021-02-13,11,2,0
2021-02-14,12,0,0
2021-02-15,3,4,1
2021-02-16,10,5,0
2021-02-17,40,11,1
2021-02-18,47,5,2
2021-02-19,47,6,1
2021-02-20,12,1,0
2021-02-21,3,0,0
2021-02-22,29,3,0
2021-02-23,30,2,2
2021-02-24,26,2,2
2021-02-25,40,15,0
2021-02-26,33,10,1
2021-02-27,8,0,0
2021-02-28,6,3,0
2021-03-01,38,11,0
2021-03-02,74,23,0
2021-03-03,59,0,1
2021-03-04,31,0,2
2021-03-05,48,12,0
2021-03-06,7,0,0
2021-03-07,3,0,0
2021-03-08,28,13,2
2021-03-09,44,4,0
2021-03-10,48,7,0
2021-03-11,47,9,1
2021-03-12,73,11,4
2021-03-13,10,0,0
2021-03-14,7,0,0
2021-03-15,30,14,2
2021-03-16,27,3,1
2021-03-17,35,2,0
2021-03-18,41,6,4
2021-03-19,28,0,2
2021-03-20,7,0,0
2021-03-21,3,0,0
2021-03-22,28,6,0
2021-03-23,43,2,0
2021-03-24,31,9,1
2021-03-25,30,6,3
2021-03-26,33,1,2
2021-03-27,29,0,0
2021-03-28,6,0,0
2021-03-29,46,2,0
2021-03-30,42,5,1
2021-03-31,46,8,0
2021-04-01,64,4,1
2021-04-02,53,1,0
2021-04-03,10,0,0
2021-04-04,1,0,0
2021-04-05,33,3,0
2021-04-06,56,12,3
2021-04-07,51,4,1
2021-04-08,38,3,4
2021-04-09,38,0,0
2021-04-10,17,0,0
2021-04-11,7,0,0
2021-04-12,30,6,2
2021-04-13,72,12,0
2021-04-14,58,2,0
2021-04-15,88,5,0
2021-04-16,54,4,0
2021-04-17,12,0,0
2021-04-18,6,0,0
2021-04-19,33,1,0
2021-04-20,51,6,4
2021-04-21,73,6,0
2021-04-22,56,3,0
2021-04-23,44,3,0
2021-04-24,12,1,1
2021-04-25,12,0,0
2021-04-26,38,11,1
2021-04-27,87,1,0
2021-04-28,43,1,0
2021-04-29,60,6,1
2021-04-30,56,5,0
2021-05-01,25,1,0
2021-05-02,15,0,0
2021-05-03,38,1,0
2021-05-04,46,12,2
2021-05-05,38,0,0
2021-05-06,62,4,0
2021-05-07,52,9,0
2021-05-08,14,2,0
2021-05-09,4,0,0
2021-05-10,35,5,2
2021-05-11,59,0,0
2021-05-12,73,0,1
2021-05-13,72,0,0
2021-05-14,61,2,0
2021-05-15,10,0,0
2021-05-16,2,0,0
2021-05-17,41,1,1
2021-05-18,39,17,0
2021-05-19,32,5,0
2021-05-20,40,4,0
2021-05-21,68,1,1
2021-05-22,24,3,0
2021-05-23,11,1,0
2021-05-24,24,3,0
2021-05-25,46,4,0
2021-05-26,43,4,0
2021-05-27,39,2,1
2021-05-28,16,0,0
2021-05-29,6,0,0
2021-05-30,6,0,0
2021-05-31,7,0,0
2021-06-01,30,0,6
2021-06-02,52,1,1
2021-06-03,33,1,3
2021-06-04,55,4,1
2021-06-05,22,0,3
2021-06-06,6,0,0
2021-06-07,21,0,2
2021-06-08,47,2,1
2021-06-09,48,0,3
2021-06-10,38,2,1
2021-06-11,37,1,0
2021-06-12,9,0,0
2021-06-13,5,0,0
2021-06-14,20,1,0
2021-06-15,38,8,1
2021-06-16,33,3,0
2021-06-17,54,2,1
2021-06-18,29,5,2
2021-06-19,8,0,1
2021-06-20,4,0,0
2021-06-21,28,0,5
2021-06-22,47,3,1
2021-06-23,50,2,1
2021-06-24,50,0,0
2021-06-25,46,1,0
2021-06-26,9,0,0
2021-06-27,2,2,0
2021-06-28,39,1,0
2021-06-29,34,4,0
2021-06-30,53,2,0
2021-07-01,35,1,0
2021-07-02,11,3,0
2021-07-03,7,0,0
2021-07-04,0,0,0
2021-07-05,0,1,0
2021-07-06,13,3,1
2021-07-07,54,1,0
2021-07-08,38,2,1
2021-07-09,50,2,0
2021-07-10,18,1,0
2021-07-11,10,0,0
2021-07-12,35,5,0
2021-07-13,20,7,0
2021-07-14,21,4,0
2021-07-15,25,4,2
2021-07-16,35,0,1
2021-07-17,5,0,0
2021-07-18,9,0,0
2021-07-19,27,1,0
2021-07-20,51,1,1
2021-07-21,41,3,0
2021-07-22,37,4,0
2021-07-23,35,0,0
2021-07-24,12,0,0
2021-07-25,3,1,0
2021-07-26,36,2,0
2021-07-27,46,3,0
2021-07-28,32,2,0
2021-07-29,28,1,0
2021-07-30,43,3,0
2021-07-31,7,0,0
2021-08-01,1,0,0
2021-08-02,27,1,0
2021-08-03,49,9,0
2021-08-04,28,1,0
2021-08-05,28,3,0
2021-08-06,28,4,1
2021-08-07,7,2,0
2021-08-08,0,0,0
2021-08-09,34,7,2
2021-08-10,35,1,1
2021-08-11,27,3,0
2021-08-12,19,6,2
2021-08-13,36,4,0
2021-08-14,8,0,0
2021-08-15,5,0,0
2021-08-16,29,1,1
2021-08-17,36,1,0
2021-08-18,50,0,0
2021-08-19,34,0,0
2021-08-20,34,2,0
2021-08-21,8,2,0
2021-08-22,1,0,0
2021-08-23,15,0,0
2021-08-24,45,1,0
2021-08-25,45,1,0
2021-08-26,41,0,0
2021-08-27,42,0,0
2021-08-28,9,0,0
2021-08-29,8,0,0
2021-08-30,35,0,0
2021-08-31,34,5,1
2021-09-01,44,3,0
2021-09-02,48,3,0
2021-09-03,11,2,1
2021-09-04,3,2,0
2021-09-05,6,0,0
2021-09-06,1,7,3
2021-09-07,24,6,1
2021-09-08,48,1,3
2021-09-09,37,6,0
2021-09-10,30,7,1
2021-09-11,9,0,0
2021-09-12,6,1,0
2021-09-13,29,4,0
2021-09-14,37,0,1
2021-09-15,41,0,0
2021-09-16,29,5,0
2021-09-17,56,2,0
2021-09-18,12,0,0
2021-09-19,0,0,0
2021-09-20,18,3,0
2021-09-21,34,4,0
2021-09-22,34,1,0
2021-09-23,28,0,1
2021-09-24,39,3,0
2021-09-25,10,0,0
2021-09-26,1,0,0
2021-09-27,13,2,4
2021-09-28,27,8,1
2021-09-29,32,5,2
2021-09-30,34,2,1
2021-10-01,62,1,0
2021-10-02,13,0,0
2021-10-03,4,1,2
2021-10-04,6,7,0
2021-10-05,33,1,0
2021-10-06,39,3,0
2021-10-07,35,2,2
2021-10-08,53,2,0
2021-10-09,26,0,0
2021-10-10,9,0,0
2021-10-11,27,2,0
2021-10-12,31,0,0
2021-10-13,45,0,0
2021-10-14,29,0,2
2021-10-15,38,0,0
2021-10-16,5,2,0
2021-10-17,6,0,0
2021-10-18,34,8,2
2021-10-19,54,0,1
2021-10-20,43,1,1
2021-10-21,34,1,2
2021-10-22,39,0,0
2021-10-23,10,0,0
2021-10-24,5,0,0
2021-10-25,29,5,2
2021-10-26,40,0,0
2021-10-27,32,8,0
2021-10-28,56,10,0
2021-10-29,39,1,0
2021-10-30,8,0,0
2021-10-31,3,0,0
2021-11-01,19,0,3
2021-11-02,27,0,0
2021-11-03,46,1,1
2021-11-04,38,2,1
2021-11-05,39,0,1
2021-11-06,4,0,0
2021-11-07,2,0,0
2021-11-08,25,0,1
2021-11-09,41,0,1
2021-11-10,27,1,0
2021-11-11,37,3,1
2021-11-12,20,1,0
2021-11-13,11,0,0
2021-11-14,1,0,0
2021-11-15,20,0,0
2021-11-16,39,8,0
2021-11-17,33,2,0
2021-11-18,25,1,1
2021-11-19,42,0,1
2021-11-20,18,0,0
2021-11-21,11,0,0
2021-11-22,13,1,1
2021-11-23,21,0,1
2021-11-24,20,0,1
2021-11-25,3,1,0
2021-11-26,0,0,0
2021-11-27,1,0,0
2021-11-28,2,0,0
2021-11-29,24,1,2
2021-11-30,52,6,0
2021-12-01,30,4,2
2021-12-02,59,1,2
2021-12-03,30,4,0
2021-12-04,10,0,0
2021-12-05,1,0,0
2021-12-06,20,3,0
2021-12-07,37,5,0
2021-12-08,37,2,0
2021-12-09,28,1,0
2021-12-10,25,0,0
2021-12-11,7,2,0
2021-12-12,9,2,0
2021-12-13,5,6,0
2021-12-14,44,4,0
2021-12-15,34,4,0
2021-12-16,39,0,0
2021-12-17,47,2,0
2021-12-18,8,0,0
2021-12-19,7,0,0
2021-12-20,17,0,0
2021-12-21,32,0,1
2021-12-22,34,1,4
2021-12-23,27,2,1
2021-12-24,5,1,0
2021-12-25,2,0,0
2021-12-26,0,0,0
2021-12-27,2,0,0
2021-12-28,13,0,0
2021-12-29,13,0,0
2021-12-30,18,0,1
2021-12-31,2,1,0
2022-01-01,0,0,0
2022-01-02,2,0,0
2022-01-03,3,2,0
2022-01-04,20,2,2
2022-01-05,50,4,1
2022-01-06,37,1,0
2022-01-07,53,0,4
2022-01-08,14,0,0
2022-01-09,3,0,0
2022-01-10,24,0,1
2022-01-11,29,4,0
2022-01-12,49,0,4
2022-01-13,30,2,0
2022-01-14,27,6,0
2022-01-15,7,1,0
2022-01-16,1,0,0
2022-01-17,4,1,0
2022-01-18,19,2,1
2022-01-19,32,7,0
2022-01-20,43,1,0
2022-01-21,34,2,0
2022-01-22,17,0,0
2022-01-23,3,1,0
2022-01-24,10,0,0
2022-01-25,40,4,0
2022-01-26,44,10,0
2022-01-27,49,8,0
2022-01-28,40,1,1
2022-01-29,8,0,0
2022-01-30,4,3,0
2022-01-31,24,9,1
2022-02-01,47,7,1
2022-02-02,34,3,0
2022-02-03,35,1,0
2022-02-04,37,4,0
2022-02-05,11,1,0
2022-02-06,0,0,0
2022-02-07,39,7,1
2022-02-08,31,6,2
2022-02-09,30,3,0
2022-02-10,24,8,4
2022-02-11,43,3,3
2022-02-12,8,3,0
2022-02-13,1,0,0
2022-02-14,25,2,4
2022-02-15,47,3,1
2022-02-16,45,11,0
2022-02-17,31,5,0
2022-02-18,29,3,0
2022-02-19,17,1,0
2022-02-20,3,1,0
2022-02-21,2,1,0
2022-02-22,23,3,0
2022-02-23,36,12,0
2022-02-24,45,11,1
2022-02-25,27,8,0
2022-02-26,13,2,0
2022-02-27,3,1,0
2022-02-28,22,12,0
2022-03-01,52,3,0
2022-03-02,37,3,0
2022-03-03,31,14,0
2022-03-04,30,6,1
2022-03-05,7,2,0
2022-03-06,5,0,0
2022-03-07,15,1,2
2022-03-08,35,6,3
2022-03-09,29,8,0
2022-03-10,25,2,0
2022-03-11,42,3,0
2022-03-12,8,1,0
2022-03-13,2,1,0
2022-03-14,27,1,2
2022-03-15,41,7,1
2022-03-16,51,5,3
2022-03-17,41,2,1
2022-03-18,10,2,0
2022-03-19,2,0,0
2022-03-20,0,0,0
2022-03-21,32,0,0
2022-03-22,41,3,0
2022-03-23,31,4,0
2022-03-24,34,2,0
2022-03-25,36,0,0
2022-03-26,4,0,0
2022-03-27,0,0,0
2022-03-28,34,2,1
2022-03-29,48,9,0
2022-03-30,34,3,2
2022-03-31,46,0,1
2022-04-01,43,0,1
2022-04-02,10,0,0
2022-04-03,1,0,0
2022-04-04,36,3,0
2022-04-05,33,3,0
2022-04-06,51,3,1
2022-04-07,54,1,1
2022-04-08,39,11,0
2022-04-09,9,0,0
2022-04-10,1,0,0
2022-04-11,41,0,2
2022-04-12,33,0,2
2022-04-13,40,1,3
2022-04-14,42,1,3
2022-04-15,47,0,0
2022-04-16,13,0,0
2022-04-17,8,0,0
2022-04-18,27,1,0
2022-04-19,60,1,0
2022-04-20,37,2,0
2022-04-21,23,0,3
2022-04-22,47,1,0
2022-04-23,11,1,0
2022-04-24,6,0,0
2022-04-25,47,4,0
2022-04-26,45,2,1
2022-04-27,25,3,0
2022-04-28,42,5,1
2022-04-29,8,1,1
2022-04-30,4,2,0
2022-05-01,6,1,0
2022-05-02,38,3,0
2022-05-03,54,1,1
2022-05-04,46,1,0
2022-05-05,43,7,1
2022-05-06,30,6,0
2022-05-07,11,0,1
2022-05-08,4,0,0
2022-05-09,42,0,1
2022-05-10,50,2,4
2022-05-11,74,2,0
2022-05-12,45,7,1
2022-05-13,53,0,0
2022-05-14,14,0,0
2022-05-15,8,0,0
2022-05-16,42,3,3
2022-05-17,51,0,5
2022-05-18,65,2,1
2022-05-19,60,5,1
2022-05-20,54,2,4
2022-05-21,20,1,0
2022-05-22,12,0,0
2022-05-23,24,8,1
2022-05-24,50,7,0
2022-05-25,43,6,0
2022-05-26,47,2,0
2022-05-27,13,4,1
2022-05-28,6,0,0
2022-05-29,1,0,0
2022-05-30,8,2,1
2022-05-31,56,1,0
2022-06-01,57,0,1
2022-06-02,44,3,0
2022-06-03,51,1,0
2022-06-04,11,0,0
2022-06-05,7,1,0
2022-06-06,57,0,2
2022-06-07,43,0,1
2022-06-08,52,1,0
2022-06-09,67,5,0
2022-06-10,54,2,3
2022-06-11,18,4,0
2022-06-12,7,0,0
2022-06-13,45,5,1
2022-06-14,62,8,1
2022-06-15,42,4,0
2022-06-16,49,1,0
2022-06-17,45,5,0
2022-06-18,8,0,0
2022-06-19,2,0,0
2022-06-20,36,0,0
2022-06-21,50,10,0
2022-06-22,58,5,0
2022-06-23,37,2,0
2022-06-24,49,3,0
2022-06-25,11,2,0
2022-06-26,4,0,0
2022-06-27,46,2,0
2022-06-28,41,1,1
2022-06-29,48,5,0
2022-06-30,47,1,0
2022-07-01,17,4,0
2022-07-02,4,0,0
2022-07-03,1,0,0
2022-07-04,11,0,3
2022-07-05,50,1,1
2022-07-06,49,2,0
2022-07-07,59,7,0
2022-07-08,52,4,0
2022-07-09,16,1,0
2022-07-10,1,0,1
2022-07-11,28,0,0
2022-07-12,43,2,0
2022-07-13,57,1,1
2022-07-14,41,1,0
2022-07-15,51,2,1
2022-07-16,15,0,0
2022-07-17,11,0,0
2022-07-18,23,2,2
2022-07-19,44,2,2
2022-07-20,48,3,2
2022-07-21,1222,3,1
2022-07-22,64,2,1
2022-07-23,17,1,0
2022-07-24,8,0,0
2022-07-25,46,8,0
2022-07-26,51,2,1
2022-07-27,83,8,4
2022-07-28,47,8,0
2022-07-29,35,6,0
2022-07-30,8,0,0
2022-07-31,2,0,0
2022-08-01,33,0,0
2022-08-02,34,9,2
2022-08-03,51,5,0
2022-08-04,43,2,0
2022-08-05,39,10,0
2022-08-06,21,1,0
2022-08-07,10,0,0
2022-08-08,42,0,2
2022-08-09,37,3,0
2022-08-10,48,0,0
2022-08-11,43,2,2
2022-08-12,34,4,1
2022-08-13,12,0,0
2022-08-14,3,0,0
2022-08-15,23,2,0
2022-08-16,51,1,0
2022-08-17,45,1,1
2022-08-18,44,4,0
2022-08-19,51,1,3
2022-08-20,9,0,1
2022-08-21,7,0,0
2022-08-22,42,1,2
2022-08-23,43,0,1
2022-08-24,50,1,2
2022-08-25,43,1,1
2022-08-26,34,0,1
2022-08-27,11,0,0
2022-08-28,13,0,0
2022-08-29,35,2,0
2022-08-30,41,4,0
2022-08-31,34,2,3
2022-09-01,48,1,1
2022-09-02,21,3,1
2022-09-03,4,0,0
2022-09-04,2,0,1
2022-09-05,11,4,0
2022-09-06,31,0,0
2022-09-07,43,1,0
2022-09-08,30,1,1
2022-09-09,47,3,2
2022-09-10,13,0,1
2022-09-11,1,0,0
2022-09-12,32,1,1
2022-09-13,39,2,0
2022-09-14,34,3,0
2022-09-15,33,0,0
2022-09-16,44,3,0
2022-09-17,27,3,0
2022-09-18,4,0,0
2022-09-19,25,8,0
2022-09-20,29,5,0
2022-09-21,50,1,2
2022-09-22,32,0,0
2022-09-23,50,3,0
2022-09-24,15,0,0
2022-09-25,8,0,0
2022-09-26,22,2,0
2022-09-27,52,1,0
2022-09-28,68,3,0
2022-09-29,50,2,1
2022-09-30,61,5,1
2022-10-01,11,0,0
2022-10-02,17,1,0
2022-10-03,56,3,0
2022-10-04,21,1,0
2022-10-05,36,3,0
2022-10-06,46,4,0
2022-10-07,51,8,1
2022-10-08,12,1,0
2022-10-09,10,1,0
2022-10-10,29,12,0
2022-10-11,49,8,0
2022-10-12,36,1,1
2022-10-13,58,3,1
2022-10-14,38,2,0
2022-10-15,16,0,0
2022-10-16,10,0,0
2022-10-17,42,2,1
2022-10-18,52,8,1
2022-10-19,44,3,1
2022-10-20,41,3,0
2022-10-21,49,1,0
2022-10-22,10,0,0
2022-10-23,8,0,0
2022-10-24,43,6,0
2022-10-25,54,1,0
2022-10-26,57,1,0
2022-10-27,35,7,0
2022-10-28,48,4,0
2022-10-29,25,0,0
2022-10-30,5,0,0
2022-10-31,45,2,0
2022-11-01,56,3,3
2022-11-02,78,0,2
2022-11-03,54,1,2
2022-11-04,38,1,0
2022-11-05,12,1,0
2022-11-06,1,0,0
2022-11-07,35,2,1
2022-11-08,41,1,0
2022-11-09,40,3,0
2022-11-10,49,1,1
2022-11-11,44,3,0
2022-11-12,20,0,0
2022-11-13,15,0,0
2022-11-14,30,4,0
2022-11-15,46,3,1
2022-11-16,63,2,3
2022-11-17,52,5,0
2022-11-18,50,1,0
2022-11-19,21,2,0
2022-11-20,6,1,0
2022-11-21,25,3,0
2022-11-22,44,3,3
2022-11-23,50,5,0
2022-11-24,32,6,0
2022-11-25,15,0,0
2022-11-26,3,0,0
2022-11-27,12,0,0
2022-11-28,49,6,0
2022-11-29,39,1,0
2022-11-30,61,4,0
2022-12-01,49,5,0
2022-12-02,42,11,0
2022-12-03,13,0,0
2022-12-04,9,0,0
2022-12-05,27,2,0
2022-12-06,62,11,0
2022-12-07,36,7,0
2022-12-08,65,4,0
2022-12-09,41,4,1
2022-12-10,21,0,0
2022-12-11,17,1,0
2022-12-12,28,10,0
2022-12-13,55,4,0
2022-12-14,49,5,0
2022-12-15,35,6,0
2022-12-16,63,3,0
2022-12-17,17,3,0
2022-12-18,3,0,0
2022-12-19,39,5,0
2022-12-20,60,9,0
2022-12-21,49,0,0
2022-12-22,34,3,1
2022-12-23,11,4,0
2022-12-24,0,1,0
2022-12-25,1,0,0
2022-12-26,4,0,0
2022-12-27,13,2,0
2022-12-28,29,0,0
2022-12-29,15,0,0
2022-12-30,15,2,0
2022-12-31,5,0,0
2023-01-01,0,0,0
2023-01-02,8,0,0
2023-01-03,19,8,0
2023-01-04,34,0,0
2023-01-05,34,0,0
2023-01-06,38,1,1
2023-01-07,8,0,0
2023-01-08,4,0,0
2023-01-09,24,3,0
2023-01-10,37,3,1
2023-01-11,42,5,1
2023-01-12,47,1,0
2023-01-13,30,3,0
2023-01-14,17,0,0
2023-01-15,3,0,0
2023-01-16,13,4,0
2023-01-17,49,12,0
2023-01-18,67,18,0
2023-01-19,40,6,2
2023-01-20,44,1,0
2023-01-21,38,0,0
2023-01-22,15,0,0
2023-01-23,41,0,2
2023-01-24,48,3,0
2023-01-25,31,2,0
2023-01-26,48,3,0
2023-01-27,37,1,2
2023-01-28,16,0,0
2023-01-29,15,0,0
2023-01-30,35,0,1
2023-01-31,45,6,0
2023-02-01,60,4,1
2023-02-02,61,12,1
2023-02-03,58,6,0
2023-02-04,19,0,0
2023-02-05,11,0,0
2023-02-06,20,1,1
2023-02-07,64,2,0
2023-02-08,51,1,0
2023-02-09,73,4,0
2023-02-10,69,0,0
2023-02-11,27,0,0
2023-02-12,16,0,0
2023-02-13,42,1,1
2023-02-14,42,0,1
2023-02-15,40,1,1
2023-02-16,54,6,0
2023-02-17,36,3,0
2023-02-18,6,0,0
2023-02-19,6,2,0
2023-02-20,12,0,1
2023-02-21,37,0,0
2023-02-22,27,3,0
2023-02-23,39,6,1
2023-02-24,26,3,1
2023-02-25,14,1,0
2023-02-26,11,0,0
2023-02-27,45,2,0
2023-02-28,46,3,1
2023-03-01,61,3,0
2023-03-02,29,5,2
2023-03-03,39,2,1
2023-03-04,19,0,0
2023-03-05,12,0,0
2023-03-06,28,4,1
2023-03-07,50,5,0
2023-03-08,51,3,1
2023-03-09,13,2,0
2023-03-10,55,5,0
2023-03-11,16,2,1
2023-03-12,9,0,0
2023-03-13,37,3,1
2023-03-14,71,2,1
2023-03-15,39,5,0
2023-03-16,31,4,1
2023-03-17,34,3,1
2023-03-18,11,1,0
2023-03-19,7,0,0
2023-03-20,26,0,0
2023-03-21,51,1,0
2023-03-22,54,4,2
2023-03-23,43,0,3
2023-03-24,50,2,0
2023-03-25,16,1,0
2023-03-26,8,0,0
2023-03-27,37,8,0
2023-03-28,74,4,0
2023-03-29,48,4,0
