,storybookjs/storybook,histoire-dev/histoire,tajo/ladle
2022-07-27,24,0,0
2022-07-28,21,4,0
2022-07-29,14,7,0
2022-07-30,0,13,0
2022-07-31,32,1,0
2022-08-01,22,3,0
2022-08-02,40,8,2
2022-08-03,17,1,0
2022-08-04,14,0,5
2022-08-05,12,1,0
2022-08-06,0,0,0
2022-08-07,1,0,1
2022-08-08,16,0,0
2022-08-09,43,9,2
2022-08-10,53,17,0
2022-08-11,22,4,0
2022-08-12,53,14,0
2022-08-13,6,6,0
2022-08-14,18,1,0
2022-08-15,47,0,0
2022-08-16,10,11,3
2022-08-17,47,4,0
2022-08-18,18,0,2
2022-08-19,9,0,0
2022-08-20,3,0,0
2022-08-21,2,0,0
2022-08-22,56,0,0
2022-08-23,38,18,0
2022-08-24,31,0,0
2022-08-25,45,0,4
2022-08-26,43,0,2
2022-08-27,2,0,0
2022-08-28,0,0,1
2022-08-29,35,0,3
2022-08-30,24,1,8
2022-08-31,28,0,3
2022-09-01,43,0,0
2022-09-02,51,0,0
2022-09-03,2,0,0
2022-09-04,11,0,0
2022-09-05,31,0,0
2022-09-06,23,0,0
2022-09-07,40,0,0
2022-09-08,52,0,3
2022-09-09,8,0,0
2022-09-10,5,0,0
2022-09-11,14,0,0
2022-09-12,32,0,0
2022-09-13,47,0,0
2022-09-14,38,0,0
2022-09-15,29,0,0
2022-09-16,15,1,0
2022-09-17,7,4,3
2022-09-18,11,0,0
2022-09-19,3,1,0
2022-09-20,9,0,0
2022-09-21,8,0,0
2022-09-22,9,0,0
2022-09-23,1,0,0
2022-09-24,2,0,0
2022-09-25,0,2,0
2022-09-26,43,1,0
2022-09-27,49,0,0
2022-09-28,17,0,3
2022-09-29,9,0,0
2022-09-30,36,0,0
2022-10-01,20,0,0
2022-10-02,19,15,0
2022-10-03,59,30,0
2022-10-04,60,3,0
2022-10-05,90,0,0
2022-10-06,40,11,1
2022-10-07,29,0,0
2022-10-08,10,7,1
2022-10-09,21,7,1
2022-10-10,120,1,0
2022-10-11,60,0,1
2022-10-12,73,3,0
2022-10-13,71,0,0
2022-10-14,40,2,0
2022-10-15,20,0,0
2022-10-16,7,0,0
2022-10-17,98,6,2
2022-10-18,93,0,1
2022-10-19,53,0,0
2022-10-20,43,1,0
2022-10-21,36,0,1
2022-10-22,41,0,0
2022-10-23,16,0,0
2022-10-24,56,2,0
2022-10-25,75,0,0
2022-10-26,70,5,0
2022-10-27,73,0,0
2022-10-28,63,0,0
2022-10-29,14,0,0
2022-10-30,4,0,0
2022-10-31,19,0,0
2022-11-01,37,0,0
2022-11-02,62,0,0
2022-11-03,71,0,0
2022-11-04,64,0,0
2022-11-05,7,0,0
2022-11-06,3,0,0
2022-11-07,23,0,0
2022-11-08,37,0,0
2022-11-09,33,0,0
2022-11-10,29,0,0
2022-11-11,48,6,0
2022-11-12,0,7,0
2022-11-13,17,0,0
2022-11-14,62,1,0
2022-11-15,45,0,0
2022-11-16,63,0,0
2022-11-17,65,0,0
2022-11-18,32,0,0
2022-11-19,14,0,0
2022-11-20,4,0,0
2022-11-21,44,0,0
2022-11-22,21,0,0
2022-11-23,33,0,0
2022-11-24,48,0,0
2022-11-25,52,0,0
2022-11-26,2,0,0
2022-11-27,7,0,0
2022-11-28,52,0,1
2022-11-29,48,0,0
2022-11-30,54,0,0
2022-12-01,33,0,0
2022-12-02,48,5,0
2022-12-03,22,11,0
2022-12-04,14,0,0
2022-12-05,50,0,1
2022-12-06,76,0,0
2022-12-07,77,0,0
2022-12-08,83,0,0
2022-12-09,50,1,0
2022-12-10,10,0,0
2022-12-11,3,0,0
2022-12-12,34,0,0
2022-12-13,76,0,0
2022-12-14,98,0,0
2022-12-15,50,2,2
2022-12-16,57,0,5
2022-12-17,2,0,0
2022-12-18,6,0,0
2022-12-19,41,12,0
2022-12-20,55,8,0
2022-12-21,21,0,0
2022-12-22,30,0,0
2022-12-23,45,4,0
2022-12-24,10,0,0
2022-12-25,13,0,0
2022-12-26,5,0,0
2022-12-27,5,0,0
2022-12-28,17,1,0
2022-12-29,36,0,0
2022-12-30,45,0,0
2022-12-31,10,0,0
2023-01-01,14,0,0
2023-01-02,11,0,0
2023-01-03,22,0,0
2023-01-04,16,0,0
2023-01-05,24,0,0
2023-01-06,33,0,0
2023-01-07,20,0,0
2023-01-08,7,0,0
2023-01-09,38,0,1
2023-01-10,68,0,0
2023-01-11,25,0,0
2023-01-12,53,0,0
2023-01-13,89,0,1
2023-01-14,28,0,0
2023-01-15,17,0,0
2023-01-16,45,0,0
2023-01-17,54,0,0
2023-01-18,42,0,0
2023-01-19,76,0,0
2023-01-20,61,0,0
2023-01-21,9,0,0
2023-01-22,23,0,0
2023-01-23,38,0,0
2023-01-24,51,0,1
2023-01-25,57,0,1
2023-01-26,38,0,6
2023-01-27,29,0,0
2023-01-28,8,0,0
2023-01-29,5,0,0
2023-01-30,45,0,0
2023-01-31,42,0,2
2023-02-01,58,0,0
2023-02-02,30,0,1
2023-02-03,34,0,1
2023-02-04,21,0,0
2023-02-05,9,16,6
2023-02-06,42,1,0
2023-02-07,39,0,2
2023-02-08,15,14,0
2023-02-09,20,3,13
2023-02-10,19,12,7
2023-02-11,6,2,0
2023-02-12,3,0,0
2023-02-13,40,0,2
2023-02-14,31,0,2
2023-02-15,55,11,9
2023-02-16,67,5,8
2023-02-17,36,7,4
2023-02-18,7,3,3
2023-02-19,5,0,0
2023-02-20,57,0,0
2023-02-21,68,0,0
2023-02-22,58,0,0
2023-02-23,55,0,0
2023-02-24,42,0,1
2023-02-25,7,0,0
2023-02-26,0,0,0
2023-02-27,44,0,0
2023-02-28,39,0,0
2023-03-01,50,0,0
2023-03-02,43,0,0
2023-03-03,43,0,0
2023-03-04,7,0,0
2023-03-05,9,0,2
2023-03-06,35,0,3
2023-03-07,31,0,11
2023-03-08,51,0,0
2023-03-09,54,0,0
2023-03-10,27,0,0
2023-03-11,0,0,0
2023-03-12,0,0,0
2023-03-13,52,0,0
2023-03-14,49,0,0
2023-03-15,31,0,0
2023-03-16,34,9,0
2023-03-17,25,2,0
2023-03-18,4,0,0
2023-03-19,2,0,0
2023-03-20,53,0,0
2023-03-21,21,0,1
2023-03-22,43,0,2
2023-03-23,39,0,1
2023-03-24,31,0,0
2023-03-25,8,0,0
2023-03-26,0,0,0
2023-03-27,14,0,0
2023-03-28,32,0,0
2023-03-29,36,0,0
2023-03-30,40,0,0
2023-03-31,36,0,0
2023-04-01,6,0,0
2023-04-02,3,0,0
2023-04-03,42,0,0
2023-04-04,35,0,0
2023-04-05,61,0,0
2023-04-06,17,0,1
2023-04-07,4,0,1
2023-04-08,3,0,2
2023-04-09,3,0,0
2023-04-10,21,0,0
2023-04-11,35,11,0
2023-04-12,35,0,0
2023-04-13,27,0,3
2023-04-14,20,6,1
2023-04-15,6,0,0
2023-04-16,5,0,0
2023-04-17,55,1,5
2023-04-18,50,0,1
2023-04-19,33,0,2
2023-04-20,28,0,0
2023-04-21,26,0,2
2023-04-22,4,0,0
2023-04-23,1,0,0
2023-04-24,29,0,0
2023-04-25,53,0,0
2023-04-26,28,0,0
2023-04-27,28,0,2
2023-04-28,39,0,0
2023-04-29,4,0,0
2023-04-30,8,0,0
2023-05-01,41,0,0
2023-05-02,14,0,0
2023-05-03,55,0,0
2023-05-04,27,0,0
2023-05-05,14,0,0
2023-05-06,1,0,0
2023-05-07,13,0,0
2023-05-08,27,0,0
2023-05-09,23,0,0
2023-05-10,37,0,0
2023-05-11,42,0,0
2023-05-12,18,0,0
2023-05-13,1,0,0
2023-05-14,4,0,0
2023-05-15,25,0,0
2023-05-16,21,0,0
2023-05-17,7,0,0
2023-05-18,17,0,0
2023-05-19,23,0,0
2023-05-20,3,0,0
2023-05-21,8,0,0
2023-05-22,30,0,0
2023-05-23,52,0,0
2023-05-24,34,0,0
2023-05-25,17,0,0
2023-05-26,52,0,0
2023-05-27,9,0,3
2023-05-28,7,0,0
2023-05-29,11,0,0
2023-05-30,40,0,0
2023-05-31,51,0,0
2023-06-01,37,0,0
2023-06-02,32,0,0
2023-06-03,9,0,0
2023-06-04,15,0,0
2023-06-05,41,0,0
2023-06-06,83,0,0
2023-06-07,118,0,2
2023-06-08,98,0,0
2023-06-09,82,0,0
2023-06-10,1,0,1
2023-06-11,2,0,0
2023-06-12,45,0,1
2023-06-13,62,6,2
2023-06-14,55,0,0
2023-06-15,43,0,0
2023-06-16,23,0,0
2023-06-17,39,0,0
2023-06-18,3,0,0
2023-06-19,63,0,0
2023-06-20,43,0,0
2023-06-21,83,0,0
2023-06-22,68,0,0
2023-06-23,47,0,0
2023-06-24,5,0,0
2023-06-25,1,0,0
2023-06-26,16,0,0
2023-06-27,23,0,0
2023-06-28,9,0,0
2023-06-29,4,0,0
2023-06-30,19,0,0
2023-07-01,0,0,0
2023-07-02,7,0,0
2023-07-03,29,0,0
2023-07-04,71,0,0
2023-07-05,56,0,0
2023-07-06,80,2,0
2023-07-07,39,0,0
2023-07-08,14,0,0
2023-07-09,12,0,0
2023-07-10,75,0,1
2023-07-11,85,0,0
2023-07-12,55,0,0
2023-07-13,37,0,0
2023-07-14,8,0,4
2023-07-15,4,2,0
2023-07-16,5,0,2
2023-07-17,21,0,0
2023-07-18,42,0,0
2023-07-19,43,0,0
2023-07-20,16,0,0
2023-07-21,40,0,0
2023-07-22,4,0,0
2023-07-23,2,0,0
2023-07-24,53,0,0
2023-07-25,55,0,0
2023-07-26,43,0,0
2023-07-27,27,0,0
2023-07-28,8,0,0
2023-07-29,7,0,0
2023-07-30,5,0,0
2023-07-31,31,0,0
2023-08-01,48,0,0
2023-08-02,25,0,0
2023-08-03,37,0,0
2023-08-04,7,0,0
2023-08-05,0,0,0
2023-08-06,2,0,0
2023-08-07,16,0,4
2023-08-08,2,1,0
2023-08-09,30,0,0
2023-08-10,23,0,2
2023-08-11,38,0,0
2023-08-12,1,0,0
2023-08-13,7,14,0
2023-08-14,12,3,0
2023-08-15,26,3,0
2023-08-16,37,3,0
2023-08-17,5,0,0
2023-08-18,16,0,0
2023-08-19,3,0,0
2023-08-20,5,0,0
2023-08-21,70,0,0
2023-08-22,34,6,0
2023-08-23,28,2,0
2023-08-24,23,0,0
2023-08-25,25,0,0
2023-08-26,1,0,0
2023-08-27,0,0,0
2023-08-28,26,0,0
2023-08-29,48,0,1
2023-08-30,17,0,0
2023-08-31,23,0,0
2023-09-01,20,0,0
2023-09-02,4,0,1
2023-09-03,3,0,0
2023-09-04,49,0,3
2023-09-05,27,0,6
2023-09-06,15,0,0
2023-09-07,7,0,1
2023-09-08,29,0,0
2023-09-09,4,0,0
2023-09-10,3,0,0
2023-09-11,19,0,0
2023-09-12,30,0,0
2023-09-13,18,0,0
2023-09-14,39,0,0
2023-09-15,29,0,1
2023-09-16,5,0,0
2023-09-17,2,0,7
2023-09-18,40,0,1
2023-09-19,64,0,5
2023-09-20,69,0,0
2023-09-21,26,0,2
2023-09-22,61,0,1
2023-09-23,5,0,0
2023-09-24,17,7,0
2023-09-25,14,1,1
2023-09-26,5,0,2
2023-09-27,0,0,1
2023-09-28,1,0,0
2023-09-29,0,0,0
2023-09-30,5,6,2
2023-10-01,2,0,2
2023-10-02,33,0,1
2023-10-03,67,0,8
2023-10-04,41,0,1
2023-10-05,61,0,0
2023-10-06,27,0,0
2023-10-07,3,1,0
2023-10-08,14,0,0
2023-10-09,45,0,0
2023-10-10,38,0,0
2023-10-11,60,0,0
2023-10-12,42,0,0
2023-10-13,24,0,0
2023-10-14,0,0,0
2023-10-15,5,0,0
2023-10-16,5,0,0
2023-10-17,34,0,2
2023-10-18,41,1,0
2023-10-19,31,0,0
2023-10-20,40,0,0
2023-10-21,1,0,0
2023-10-22,10,0,0
2023-10-23,17,0,0
2023-10-24,18,0,2
2023-10-25,15,6,0
2023-10-26,30,0,0
2023-10-27,38,0,0
2023-10-28,2,0,0
2023-10-29,0,0,0
2023-10-30,34,0,0
2023-10-31,33,0,2
2023-11-01,52,0,0
2023-11-02,76,0,0
2023-11-03,60,0,0
2023-11-04,9,0,0
2023-11-05,10,0,0
2023-11-06,30,0,1
2023-11-07,29,0,0
2023-11-08,23,0,0
2023-11-09,21,0,0
2023-11-10,25,0,0
2023-11-11,0,0,0
2023-11-12,2,0,0
2023-11-13,27,11,0
2023-11-14,20,0,0
2023-11-15,24,0,0
2023-11-16,24,1,0
2023-11-17,42,0,0
2023-11-18,4,0,0
2023-11-19,3,0,1
2023-11-20,71,0,1
2023-11-21,31,1,0
2023-11-22,60,0,0
2023-11-23,25,0,0
2023-11-24,54,0,0
2023-11-25,7,4,0
2023-11-26,3,0,0
2023-11-27,31,0,0
2023-11-28,77,0,2
2023-11-29,69,0,0
2023-11-30,55,2,0
2023-12-01,27,0,2
2023-12-02,14,0,0
2023-12-03,4,0,1
2023-12-04,35,0,0
2023-12-05,51,0,0
2023-12-06,33,0,0
2023-12-07,15,0,1
2023-12-08,15,0,0
2023-12-09,0,0,0
2023-12-10,24,0,0
2023-12-11,40,0,0
2023-12-12,26,0,0
2023-12-13,25,0,0
2023-12-14,23,0,0
2023-12-15,24,0,0
2023-12-16,1,0,0
2023-12-17,1,0,0
2023-12-18,31,0,0
2023-12-19,36,0,0
2023-12-20,9,0,0
2023-12-21,16,0,0
2023-12-22,13,0,0
2023-12-23,1,0,0
2023-12-24,4,0,0
2023-12-25,0,0,0
2023-12-26,2,0,0
2023-12-27,7,0,0
2023-12-28,31,0,0
2023-12-29,30,0,0
2023-12-30,13,0,0
2023-12-31,3,0,0
2024-01-01,6,0,0
2024-01-02,28,0,0
2024-01-03,51,0,0
2024-01-04,24,0,0
2024-01-05,60,0,0
2024-01-06,11,0,0
2024-01-07,4,0,0
2024-01-08,24,0,0
2024-01-09,43,0,0
2024-01-10,53,0,0
2024-01-11,37,0,0
2024-01-12,35,0,0
2024-01-13,24,0,0
2024-01-14,5,0,0
2024-01-15,51,6,1
2024-01-16,54,0,0
2024-01-17,36,0,0
2024-01-18,42,0,0
2024-01-19,35,0,0
2024-01-20,1,0,0
