,ohmyzsh/ohmyzsh,Bash-it/bash-it,sorin-ionescu/prezto
2019-03-18,0,0,1
2019-03-19,0,3,0
2019-03-20,0,0,0
2019-03-21,3,1,0
2019-03-22,2,3,0
2019-03-23,6,0,0
2019-03-24,9,0,0
2019-03-25,11,0,0
2019-03-26,3,1,0
2019-03-27,0,3,0
2019-03-28,0,1,0
2019-03-29,5,0,0
2019-03-30,0,0,0
2019-03-31,1,0,0
2019-04-01,0,0,0
2019-04-02,1,1,0
2019-04-03,1,0,0
2019-04-04,1,2,0
2019-04-05,0,1,0
2019-04-06,0,0,0
2019-04-07,6,0,0
2019-04-08,11,3,0
2019-04-09,29,1,0
2019-04-10,3,0,0
2019-04-11,0,1,0
2019-04-12,0,0,0
2019-04-13,0,0,0
2019-04-14,1,2,0
2019-04-15,5,0,0
2019-04-16,2,1,0
2019-04-17,1,0,0
2019-04-18,2,0,0
2019-04-19,0,0,0
2019-04-20,0,1,0
2019-04-21,0,0,0
2019-04-22,3,1,0
2019-04-23,0,0,0
2019-04-24,0,2,0
2019-04-25,1,0,0
2019-04-26,4,3,0
2019-04-27,0,0,0
2019-04-28,0,2,0
2019-04-29,4,0,0
2019-04-30,0,0,0
2019-05-01,1,0,0
2019-05-02,0,0,0
2019-05-03,2,0,0
2019-05-04,3,0,0
2019-05-05,1,0,0
2019-05-06,3,4,0
2019-05-07,6,0,0
2019-05-08,9,0,0
2019-05-09,1,0,0
2019-05-10,1,0,0
2019-05-11,1,0,0
2019-05-12,0,0,0
2019-05-13,0,0,0
2019-05-14,0,0,0
2019-05-15,0,0,0
2019-05-16,1,0,0
2019-05-17,1,0,0
2019-05-18,0,0,0
2019-05-19,2,0,0
2019-05-20,1,1,0
2019-05-21,4,0,0
2019-05-22,0,1,0
2019-05-23,0,0,1
2019-05-24,1,2,0
2019-05-25,4,1,0
2019-05-26,1,0,0
2019-05-27,1,1,0
2019-05-28,1,0,0
2019-05-29,0,0,2
2019-05-30,0,0,0
2019-05-31,0,1,0
2019-06-01,1,0,0
2019-06-02,0,1,0
2019-06-03,26,3,0
2019-06-04,0,2,0
2019-06-05,0,0,0
2019-06-06,0,0,0
2019-06-07,2,0,0
2019-06-08,1,1,0
2019-06-09,2,0,0
2019-06-10,1,2,0
2019-06-11,2,0,0
2019-06-12,1,0,0
2019-06-13,0,0,0
2019-06-14,1,1,0
2019-06-15,6,0,0
2019-06-16,0,0,0
2019-06-17,0,0,1
2019-06-18,0,0,0
2019-06-19,0,0,0
2019-06-20,0,0,0
2019-06-21,0,0,0
2019-06-22,0,0,0
2019-06-23,0,0,0
2019-06-24,0,2,0
2019-06-25,0,0,0
2019-06-26,1,1,0
2019-06-27,1,0,0
2019-06-28,0,0,0
2019-06-29,0,0,0
2019-06-30,0,0,0
2019-07-01,2,0,0
2019-07-02,0,0,1
2019-07-03,0,0,0
2019-07-04,0,1,0
2019-07-05,0,0,0
2019-07-06,1,2,0
2019-07-07,1,0,0
2019-07-08,0,10,0
2019-07-09,0,0,0
2019-07-10,0,0,0
2019-07-11,1,0,0
2019-07-12,4,1,0
2019-07-13,1,0,0
2019-07-14,4,0,0
2019-07-15,0,0,0
2019-07-16,1,0,0
2019-07-17,1,0,0
2019-07-18,0,0,0
2019-07-19,0,0,0
2019-07-20,0,0,0
2019-07-21,0,0,0
2019-07-22,1,1,0
2019-07-23,0,2,1
2019-07-24,0,1,1
2019-07-25,0,0,1
2019-07-26,0,0,0
2019-07-27,1,1,0
2019-07-28,0,0,0
2019-07-29,0,3,0
2019-07-30,0,4,0
2019-07-31,2,2,1
2019-08-01,0,1,0
2019-08-02,0,0,1
2019-08-03,1,0,0
2019-08-04,0,0,0
2019-08-05,0,0,0
2019-08-06,1,0,0
2019-08-07,2,0,0
2019-08-08,0,0,0
2019-08-09,0,0,0
2019-08-10,0,0,0
2019-08-11,0,0,0
2019-08-12,0,0,0
2019-08-13,3,0,0
2019-08-14,0,0,0
2019-08-15,0,0,0
2019-08-16,0,0,0
2019-08-17,0,0,0
2019-08-18,1,0,0
2019-08-19,6,0,3
2019-08-20,1,0,0
2019-08-21,0,0,0
2019-08-22,1,0,0
2019-08-23,5,0,0
2019-08-24,0,0,0
2019-08-25,0,0,0
2019-08-26,0,0,0
2019-08-27,2,0,0
2019-08-28,0,0,0
2019-08-29,0,0,0
2019-08-30,0,0,0
2019-08-31,0,1,0
2019-09-01,0,0,0
2019-09-02,2,2,0
2019-09-03,2,0,0
2019-09-04,0,0,0
2019-09-05,0,0,0
2019-09-06,1,1,1
2019-09-07,0,0,0
2019-09-08,9,0,0
2019-09-09,0,0,0
2019-09-10,0,0,7
2019-09-11,1,0,0
2019-09-12,0,0,0
2019-09-13,3,1,0
2019-09-14,0,0,0
2019-09-15,0,0,0
2019-09-16,0,0,0
2019-09-17,0,0,0
2019-09-18,0,0,0
2019-09-19,1,1,0
2019-09-20,1,0,0
2019-09-21,1,0,0
2019-09-22,0,0,1
2019-09-23,0,0,0
2019-09-24,3,0,0
2019-09-25,0,0,0
2019-09-26,0,0,0
2019-09-27,0,1,0
2019-09-28,0,0,0
2019-09-29,0,0,0
2019-09-30,2,0,0
2019-10-01,10,0,0
2019-10-02,6,0,0
2019-10-03,5,1,0
2019-10-04,0,5,0
2019-10-05,3,1,0
2019-10-06,1,0,0
2019-10-07,16,1,0
2019-10-08,4,1,0
2019-10-09,14,0,0
2019-10-10,3,1,0
2019-10-11,0,1,0
2019-10-12,0,5,0
2019-10-13,0,0,0
2019-10-14,2,0,0
2019-10-15,6,0,0
2019-10-16,3,3,2
2019-10-17,0,0,2
2019-10-18,8,1,0
2019-10-19,6,0,0
2019-10-20,2,0,0
2019-10-21,1,0,0
2019-10-22,1,0,0
2019-10-23,0,0,0
2019-10-24,4,0,0
2019-10-25,5,0,0
2019-10-26,0,0,0
2019-10-27,1,0,0
2019-10-28,0,1,0
2019-10-29,0,0,0
2019-10-30,1,0,0
2019-10-31,0,1,0
2019-11-01,0,1,0
2019-11-02,0,2,0
2019-11-03,0,0,0
2019-11-04,0,2,0
2019-11-05,1,0,0
2019-11-06,6,1,0
2019-11-07,0,0,1
2019-11-08,2,0,0
2019-11-09,2,0,0
2019-11-10,0,0,0
2019-11-11,0,0,1
2019-11-12,0,0,0
2019-11-13,0,0,0
2019-11-14,2,0,0
2019-11-15,4,0,0
2019-11-16,1,0,0
2019-11-17,7,0,0
2019-11-18,1,0,0
2019-11-19,4,0,0
2019-11-20,3,4,0
2019-11-21,4,0,0
2019-11-22,1,0,0
2019-11-23,2,0,0
2019-11-24,0,0,0
2019-11-25,2,0,0
2019-11-26,0,0,0
2019-11-27,0,2,0
2019-11-28,3,0,0
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,0,0,0
2019-12-02,0,3,0
2019-12-03,0,0,0
2019-12-04,0,0,0
2019-12-05,0,0,0
2019-12-06,0,1,0
2019-12-07,1,0,0
2019-12-08,0,0,0
2019-12-09,0,0,0
2019-12-10,0,0,1
2019-12-11,0,0,0
2019-12-12,0,0,0
2019-12-13,0,0,0
2019-12-14,0,0,0
2019-12-15,0,0,0
2019-12-16,0,0,0
2019-12-17,1,1,0
2019-12-18,2,0,1
2019-12-19,1,5,0
2019-12-20,1,0,0
2019-12-21,6,0,0
2019-12-22,2,0,0
2019-12-23,0,0,0
2019-12-24,0,0,0
2019-12-25,0,0,0
2019-12-26,6,0,0
2019-12-27,9,7,1
2019-12-28,2,4,0
2019-12-29,10,3,0
2019-12-30,0,6,0
2019-12-31,0,1,0
2020-01-01,1,1,0
2020-01-02,0,0,0
2020-01-03,0,0,0
2020-01-04,1,0,0
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,1,0
2020-01-08,0,0,0
2020-01-09,0,2,0
2020-01-10,0,0,0
2020-01-11,0,0,1
2020-01-12,0,0,0
2020-01-13,0,0,1
2020-01-14,0,0,1
2020-01-15,1,0,1
2020-01-16,1,2,1
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,4,0,0
2020-01-20,0,0,3
2020-01-21,0,0,0
2020-01-22,0,1,0
2020-01-23,0,2,0
2020-01-24,0,3,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,1,2,0
2020-01-29,2,0,0
2020-01-30,1,0,0
2020-01-31,1,0,0
2020-02-01,0,0,0
2020-02-02,0,0,1
2020-02-03,0,4,0
2020-02-04,4,0,0
2020-02-05,0,1,0
2020-02-06,0,0,0
2020-02-07,1,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,6,0,0
2020-02-11,10,0,1
2020-02-12,6,1,0
2020-02-13,4,3,0
2020-02-14,0,3,0
2020-02-15,3,1,0
2020-02-16,0,11,0
2020-02-17,2,1,0
2020-02-18,6,1,0
2020-02-19,8,0,0
2020-02-20,0,0,0
2020-02-21,0,3,0
2020-02-22,0,3,0
2020-02-23,0,1,0
2020-02-24,3,3,0
2020-02-25,6,0,0
2020-02-26,1,3,0
2020-02-27,15,7,1
2020-02-28,14,2,0
2020-02-29,2,0,0
2020-03-01,8,0,0
2020-03-02,13,0,1
2020-03-03,6,3,0
2020-03-04,4,0,0
2020-03-05,3,0,0
2020-03-06,0,0,1
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,4,5,0
2020-03-10,2,2,0
2020-03-11,4,3,0
2020-03-12,2,0,0
2020-03-13,0,0,0
2020-03-14,0,1,0
2020-03-15,0,0,0
2020-03-16,1,0,1
2020-03-17,0,0,0
2020-03-18,0,1,0
2020-03-19,1,1,2
2020-03-20,1,4,0
2020-03-21,1,0,0
2020-03-22,1,1,1
2020-03-23,2,0,0
2020-03-24,3,0,0
2020-03-25,2,7,0
2020-03-26,1,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,3,2
2020-03-30,3,2,0
2020-03-31,0,15,0
2020-04-01,0,5,0
2020-04-02,0,1,0
2020-04-03,1,0,0
2020-04-04,0,0,0
2020-04-05,3,0,0
2020-04-06,0,5,1
2020-04-07,0,1,0
2020-04-08,0,8,1
2020-04-09,0,2,0
2020-04-10,1,2,0
2020-04-11,0,1,0
2020-04-12,0,1,0
2020-04-13,1,12,0
2020-04-14,1,0,0
2020-04-15,0,1,0
2020-04-16,0,3,0
2020-04-17,0,0,0
2020-04-18,0,4,0
2020-04-19,0,1,0
2020-04-20,0,3,0
2020-04-21,0,17,0
2020-04-22,1,4,0
2020-04-23,0,0,0
2020-04-24,0,0,1
2020-04-25,0,0,0
2020-04-26,2,0,0
2020-04-27,0,2,0
2020-04-28,0,2,0
2020-04-29,0,1,0
2020-04-30,3,0,1
2020-05-01,2,3,0
2020-05-02,0,6,1
2020-05-03,0,0,0
2020-05-04,1,0,0
2020-05-05,2,0,0
2020-05-06,0,0,0
2020-05-07,1,4,0
2020-05-08,0,1,0
2020-05-09,1,1,0
2020-05-10,1,0,0
2020-05-11,4,1,0
2020-05-12,0,1,0
2020-05-13,0,6,0
2020-05-14,0,0,1
2020-05-15,0,0,0
2020-05-16,3,1,0
2020-05-17,0,0,0
2020-05-18,3,5,0
2020-05-19,2,4,0
2020-05-20,2,1,1
2020-05-21,6,0,0
2020-05-22,6,1,0
2020-05-23,13,1,0
2020-05-24,1,0,0
2020-05-25,1,0,0
2020-05-26,6,0,0
2020-05-27,0,0,0
2020-05-28,0,0,0
2020-05-29,0,0,1
2020-05-30,0,0,0
2020-05-31,0,0,0
2020-06-01,0,2,1
2020-06-02,2,0,0
2020-06-03,5,1,0
2020-06-04,2,0,1
2020-06-05,1,0,0
2020-06-06,0,0,0
2020-06-07,1,0,0
2020-06-08,4,0,0
2020-06-09,2,2,0
2020-06-10,4,0,0
2020-06-11,0,0,0
2020-06-12,0,0,0
2020-06-13,0,0,0
2020-06-14,0,1,0
2020-06-15,0,2,0
2020-06-16,0,5,0
2020-06-17,2,4,0
2020-06-18,1,2,0
2020-06-19,2,5,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,9,0
2020-06-23,1,7,0
2020-06-24,0,3,0
2020-06-25,0,0,0
2020-06-26,1,0,0
2020-06-27,0,0,0
2020-06-28,3,1,0
2020-06-29,0,0,3
2020-06-30,2,3,0
2020-07-01,5,0,0
2020-07-02,0,6,0
2020-07-03,2,0,0
2020-07-04,0,0,0
2020-07-05,1,0,0
2020-07-06,4,0,1
2020-07-07,0,3,0
2020-07-08,0,1,0
2020-07-09,4,2,0
2020-07-10,0,1,0
2020-07-11,4,0,0
2020-07-12,1,4,0
2020-07-13,1,2,0
2020-07-14,4,0,0
2020-07-15,1,1,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,3,0,0
2020-07-19,0,0,0
2020-07-20,0,0,2
2020-07-21,0,0,0
2020-07-22,0,0,1
2020-07-23,1,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,1
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,1,1,1
2020-07-31,1,0,0
2020-08-01,1,0,0
2020-08-02,1,0,0
2020-08-03,0,3,0
2020-08-04,6,3,0
2020-08-05,4,2,0
2020-08-06,1,0,0
2020-08-07,1,0,0
2020-08-08,0,1,0
2020-08-09,0,1,0
2020-08-10,0,3,0
2020-08-11,0,1,0
2020-08-12,0,0,0
2020-08-13,0,0,0
2020-08-14,0,0,0
2020-08-15,0,0,0
2020-08-16,0,0,0
2020-08-17,2,0,0
2020-08-18,1,0,0
2020-08-19,0,0,0
2020-08-20,3,0,0
2020-08-21,0,0,0
2020-08-22,1,0,0
2020-08-23,2,0,0
2020-08-24,1,0,0
2020-08-25,0,0,0
2020-08-26,0,0,0
2020-08-27,1,0,0
2020-08-28,2,0,0
2020-08-29,0,0,0
2020-08-30,0,0,0
2020-08-31,0,0,0
2020-09-01,2,1,1
2020-09-02,1,1,0
2020-09-03,1,0,0
2020-09-04,5,0,0
2020-09-05,0,1,0
2020-09-06,0,0,0
2020-09-07,0,0,0
2020-09-08,0,0,0
2020-09-09,3,1,0
2020-09-10,0,0,0
2020-09-11,0,0,0
2020-09-12,2,1,0
2020-09-13,0,0,0
2020-09-14,2,0,0
2020-09-15,0,0,0
2020-09-16,0,0,0
2020-09-17,0,0,0
2020-09-18,2,0,0
2020-09-19,0,0,0
2020-09-20,1,0,0
2020-09-21,0,2,0
2020-09-22,0,1,0
2020-09-23,0,2,0
2020-09-24,0,1,0
2020-09-25,0,2,0
2020-09-26,7,0,0
2020-09-27,1,0,0
2020-09-28,3,0,0
2020-09-29,3,0,0
2020-09-30,2,0,0
2020-10-01,1,2,0
