,django/django,rails/rails,pallets/flask
2022-08-04,4.0,13,5
2022-08-05,1.0,9,4
2022-08-06,2.0,26,0
2022-08-07,0.0,3,0
2022-08-08,4.0,9,7
2022-08-09,8.0,8,4
2022-08-10,3.0,9,0
2022-08-11,5.0,8,0
2022-08-12,3.0,6,0
2022-08-13,0.0,0,2
2022-08-14,0.0,0,0
2022-08-15,4.0,5,3
2022-08-16,2.0,5,0
2022-08-17,5.0,3,2
2022-08-18,3.0,16,0
2022-08-19,0.0,11,0
2022-08-20,0.0,1,0
2022-08-21,0.0,0,2
2022-08-22,0.0,12,2
2022-08-23,4.0,7,0
2022-08-24,2.0,9,0
2022-08-25,5.0,13,0
2022-08-26,2.0,3,0
2022-08-27,4.0,3,2
2022-08-28,0.0,4,0
2022-08-29,4.0,5,0
2022-08-30,6.0,14,0
2022-08-31,3.0,8,0
2022-09-01,4.0,14,0
2022-09-02,1.0,11,2
2022-09-03,0.0,0,0
2022-09-04,1.0,0,0
2022-09-05,3.0,10,0
2022-09-06,6.0,2,0
2022-09-07,3.0,13,0
2022-09-08,2.0,24,0
2022-09-09,3.0,42,0
2022-09-10,0.0,7,0
2022-09-11,0.0,7,2
2022-09-12,4.0,18,0
2022-09-13,2.0,18,0
2022-09-14,1.0,23,2
2022-09-15,5.0,17,0
2022-09-16,5.0,13,0
2022-09-17,4.0,8,0
2022-09-18,0.0,1,1
2022-09-19,2.0,12,0
2022-09-20,0.0,19,0
2022-09-21,1.0,5,0
2022-09-22,1.0,19,0
2022-09-23,1.0,8,0
2022-09-24,4.0,0,0
2022-09-25,4.0,3,0
2022-09-26,5.0,8,0
2022-09-27,8.0,10,0
2022-09-28,8.0,4,0
2022-09-29,4.0,8,0
2022-09-30,2.0,5,0
2022-10-01,2.0,0,0
2022-10-02,0.0,6,0
2022-10-03,3.0,6,0
2022-10-04,7.0,7,0
2022-10-05,2.0,19,2
2022-10-06,5.0,4,0
2022-10-07,5.0,2,0
2022-10-08,1.0,1,0
2022-10-09,0.0,21,0
2022-10-10,5.0,3,0
2022-10-11,1.0,10,0
2022-10-12,3.0,4,0
2022-10-13,5.0,12,0
2022-10-14,1.0,8,0
2022-10-15,0.0,0,0
2022-10-16,0.0,8,0
2022-10-17,0.0,8,0
2022-10-18,1.0,9,0
2022-10-19,1.0,6,1
2022-10-20,2.0,18,0
2022-10-21,3.0,8,0
2022-10-22,0.0,11,0
2022-10-23,0.0,7,0
2022-10-24,6.0,10,0
2022-10-25,2.0,17,0
2022-10-26,8.0,8,0
2022-10-27,2.0,15,0
2022-10-28,1.0,4,0
2022-10-29,3.0,7,0
2022-10-30,0.0,4,3
2022-10-31,4.0,6,0
2022-11-01,3.0,14,1
2022-11-02,4.0,8,0
2022-11-03,3.0,9,0
2022-11-04,6.0,18,0
2022-11-05,0.0,4,0
2022-11-06,0.0,2,0
2022-11-07,9.0,0,0
2022-11-08,5.0,9,0
2022-11-09,3.0,6,0
2022-11-10,4.0,17,0
2022-11-11,4.0,8,0
2022-11-12,0.0,10,0
2022-11-13,0.0,3,0
2022-11-14,7.0,12,0
2022-11-15,4.0,19,0
2022-11-16,2.0,13,0
2022-11-17,1.0,4,0
2022-11-18,5.0,1,0
2022-11-19,0.0,2,0
2022-11-20,0.0,5,0
2022-11-21,1.0,13,0
2022-11-22,4.0,21,0
2022-11-23,5.0,16,0
2022-11-24,5.0,11,0
2022-11-25,2.0,15,3
2022-11-26,0.0,7,0
2022-11-27,0.0,3,4
2022-11-28,3.0,15,0
2022-11-29,3.0,10,0
2022-11-30,2.0,9,0
2022-12-01,4.0,7,0
2022-12-02,3.0,7,0
2022-12-03,0.0,2,0
2022-12-04,0.0,2,0
2022-12-05,5.0,9,0
2022-12-06,9.0,10,0
2022-12-07,3.0,4,0
2022-12-08,3.0,12,0
2022-12-09,2.0,14,0
2022-12-10,1.0,2,1
2022-12-11,0.0,4,0
2022-12-12,4.0,12,0
2022-12-13,3.0,16,1
2022-12-14,2.0,14,1
2022-12-15,1.0,21,0
2022-12-16,3.0,14,0
2022-12-17,1.0,15,0
2022-12-18,0.0,9,0
2022-12-19,2.0,19,0
2022-12-20,3.0,8,0
2022-12-21,1.0,7,0
2022-12-22,2.0,18,2
2022-12-23,0.0,8,0
2022-12-24,3.0,3,17
2022-12-25,0.0,2,0
2022-12-26,0.0,6,0
2022-12-27,2.0,7,0
2022-12-28,2.0,5,0
2022-12-29,4.0,6,3
2022-12-30,2.0,8,0
2022-12-31,0.0,7,0
2023-01-01,0.0,11,0
2023-01-02,3.0,4,0
2023-01-03,3.0,14,1
2023-01-04,6.0,19,3
2023-01-05,11.0,16,0
2023-01-06,1.0,26,0
2023-01-07,1.0,28,0
2023-01-08,0.0,28,0
2023-01-09,2.0,28,6
2023-01-10,3.0,14,0
2023-01-11,3.0,31,0
2023-01-12,4.0,32,0
2023-01-13,2.0,22,0
2023-01-14,0.0,9,0
2023-01-15,0.0,7,0
2023-01-16,3.0,26,0
2023-01-17,45.0,25,0
2023-01-18,7.0,16,4
2023-01-19,4.0,8,1
2023-01-20,4.0,39,4
2023-01-21,0.0,14,0
2023-01-22,0.0,5,0
2023-01-23,2.0,12,1
2023-01-24,1.0,13,0
2023-01-25,4.0,22,0
2023-01-26,3.0,1,0
2023-01-27,2.0,3,0
2023-01-28,0.0,22,0
2023-01-29,0.0,19,0
2023-01-30,2.0,5,0
2023-01-31,2.0,16,0
2023-02-01,5.0,16,2
2023-02-02,2.0,36,3
2023-02-03,1.0,10,0
2023-02-04,1.0,16,0
2023-02-05,0.0,5,0
2023-02-06,1.0,38,0
2023-02-07,10.0,26,2
2023-02-08,6.0,41,0
2023-02-09,2.0,20,3
2023-02-10,5.0,16,10
2023-02-11,1.0,3,0
2023-02-12,0.0,10,0
2023-02-13,4.0,19,0
2023-02-14,6.0,16,0
2023-02-15,7.0,28,4
2023-02-16,2.0,14,2
2023-02-17,6.0,6,0
2023-02-18,2.0,11,0
2023-02-19,0.0,3,0
2023-02-20,2.0,3,0
2023-02-21,3.0,9,0
2023-02-22,3.0,26,0
2023-02-23,3.0,20,13
2023-02-24,4.0,14,0
2023-02-25,0.0,4,0
2023-02-26,0.0,8,0
2023-02-27,2.0,23,0
2023-02-28,2.0,33,0
2023-03-01,6.0,10,2
2023-03-02,3.0,7,0
2023-03-03,6.0,48,0
2023-03-04,1.0,6,0
2023-03-05,3.0,3,0
2023-03-06,3.0,17,0
2023-03-07,3.0,8,0
2023-03-08,3.0,9,2
2023-03-09,4.0,11,0
2023-03-10,1.0,10,0
2023-03-11,0.0,7,9
2023-03-12,2.0,4,0
2023-03-13,1.0,24,0
2023-03-14,3.0,25,0
2023-03-15,1.0,19,0
2023-03-16,4.0,7,0
2023-03-17,0.0,5,0
2023-03-18,2.0,2,0
2023-03-19,0.0,0,0
2023-03-20,3.0,8,0
2023-03-21,3.0,6,0
2023-03-22,7.0,15,0
2023-03-23,2.0,5,0
2023-03-24,6.0,15,0
2023-03-25,1.0,11,0
2023-03-26,0.0,9,0
2023-03-27,4.0,20,0
2023-03-28,4.0,28,0
2023-03-29,4.0,18,0
2023-03-30,4.0,31,0
2023-03-31,0.0,8,1
2023-04-01,0.0,7,0
2023-04-02,1.0,6,0
2023-04-03,6.0,7,3
2023-04-04,5.0,8,1
2023-04-05,3.0,11,1
2023-04-06,5.0,13,0
2023-04-07,4.0,3,0
2023-04-08,0.0,13,0
2023-04-09,0.0,12,0
2023-04-10,1.0,7,0
2023-04-11,1.0,14,3
2023-04-12,4.0,12,9
2023-04-13,2.0,7,7
2023-04-14,2.0,6,2
2023-04-15,1.0,12,7
2023-04-16,0.0,7,0
2023-04-17,3.0,8,0
2023-04-18,2.0,14,0
2023-04-19,3.0,18,0
2023-04-20,3.0,17,8
2023-04-21,6.0,16,0
2023-04-22,2.0,14,0
2023-04-23,0.0,13,0
2023-04-24,4.0,9,2
2023-04-25,4.0,22,16
2023-04-26,3.0,16,0
2023-04-27,4.0,18,0
2023-04-28,2.0,7,0
2023-04-29,0.0,0,0
2023-04-30,0.0,1,0
2023-05-01,2.0,0,14
2023-05-02,4.0,13,14
2023-05-03,6.0,12,0
2023-05-04,4.0,11,0
2023-05-05,1.0,20,0
2023-05-06,0.0,6,0
2023-05-07,1.0,18,0
2023-05-08,2.0,26,0
2023-05-09,2.0,20,2
2023-05-10,4.0,6,0
2023-05-11,2.0,12,0
2023-05-12,3.0,17,0
2023-05-13,0.0,10,0
2023-05-14,0.0,3,2
2023-05-15,0.0,8,0
2023-05-16,1.0,15,0
2023-05-17,4.0,4,0
2023-05-18,3.0,37,1
2023-05-19,1.0,12,0
2023-05-20,2.0,2,0
2023-05-21,0.0,9,0
2023-05-22,6.0,17,0
2023-05-23,4.0,7,0
2023-05-24,4.0,18,1
2023-05-25,1.0,11,0
2023-05-26,3.0,8,0
2023-05-27,0.0,1,0
2023-05-28,0.0,8,0
2023-05-29,0.0,21,0
2023-05-30,0.0,27,0
2023-05-31,2.0,9,4
2023-06-01,6.0,16,3
2023-06-02,2.0,25,0
2023-06-03,1.0,0,0
2023-06-04,1.0,5,0
2023-06-05,6.0,15,0
2023-06-06,3.0,18,3
2023-06-07,2.0,8,6
2023-06-08,6.0,1,2
2023-06-09,2.0,7,4
2023-06-10,1.0,4,0
2023-06-11,2.0,10,0
2023-06-12,7.0,6,0
2023-06-13,3.0,4,0
2023-06-14,4.0,13,0
2023-06-15,2.0,13,0
2023-06-16,4.0,20,0
2023-06-17,1.0,1,0
2023-06-18,3.0,2,0
2023-06-19,3.0,15,0
2023-06-20,3.0,19,0
2023-06-21,1.0,16,2
2023-06-22,0.0,4,0
2023-06-23,4.0,8,0
2023-06-24,0.0,1,0
2023-06-25,1.0,8,0
2023-06-26,7.0,19,0
2023-06-27,4.0,8,12
2023-06-28,3.0,8,0
2023-06-29,5.0,15,0
2023-06-30,3.0,10,2
2023-07-01,0.0,1,4
2023-07-02,0.0,8,0
2023-07-03,5.0,7,2
2023-07-04,2.0,7,1
2023-07-05,1.0,32,0
2023-07-06,2.0,16,0
2023-07-07,6.0,1,0
2023-07-08,0.0,0,0
2023-07-09,0.0,3,0
2023-07-10,7.0,9,0
2023-07-11,6.0,5,0
2023-07-12,4.0,8,0
2023-07-13,0.0,11,0
2023-07-14,4.0,3,0
2023-07-15,0.0,3,0
2023-07-16,0.0,1,0
2023-07-17,2.0,13,0
2023-07-18,4.0,5,0
2023-07-19,4.0,15,0
2023-07-20,2.0,10,0
2023-07-21,4.0,10,0
2023-07-22,2.0,0,0
2023-07-23,0.0,0,0
2023-07-24,3.0,8,0
2023-07-25,0.0,9,0
2023-07-26,0.0,12,0
2023-07-27,2.0,34,0
2023-07-28,2.0,19,0
2023-07-29,1.0,4,0
2023-07-30,1.0,5,0
2023-07-31,2.0,6,0
2023-08-01,5.0,13,3
2023-08-02,4.0,11,0
2023-08-03,3.0,19,0
2023-08-04,5.0,24,0
2023-08-05,1.0,10,0
2023-08-06,0.0,4,0
2023-08-07,0.0,1,0
2023-08-08,2.0,6,0
2023-08-09,3.0,9,0
2023-08-10,3.0,5,0
2023-08-11,2.0,5,0
2023-08-12,1.0,0,0
2023-08-13,0.0,1,0
2023-08-14,0.0,3,0
2023-08-15,0.0,3,0
2023-08-16,0.0,7,15
2023-08-17,0.0,15,0
2023-08-18,1.0,11,0
2023-08-19,1.0,1,8
2023-08-20,2.0,1,1
2023-08-21,1.0,21,5
2023-08-22,3.0,13,0
2023-08-23,4.0,28,0
2023-08-24,4.0,16,0
2023-08-25,4.0,14,0
2023-08-26,0.0,1,0
2023-08-27,0.0,2,2
2023-08-28,4.0,12,0
2023-08-29,0.0,20,2
2023-08-30,2.0,12,0
2023-08-31,5.0,17,0
2023-09-01,4.0,30,0
2023-09-02,0.0,3,0
2023-09-03,1.0,2,0
2023-09-04,7.0,13,0
2023-09-05,2.0,45,3
2023-09-06,0.0,20,0
2023-09-07,3.0,14,0
2023-09-08,1.0,14,0
2023-09-09,1.0,14,0
2023-09-10,1.0,10,0
2023-09-11,4.0,10,0
2023-09-12,2.0,15,0
2023-09-13,7.0,20,0
2023-09-14,6.0,20,0
2023-09-15,1.0,18,0
2023-09-16,4.0,9,0
2023-09-17,0.0,3,0
2023-09-18,22.0,5,0
2023-09-19,5.0,12,0
2023-09-20,3.0,14,0
2023-09-21,3.0,12,0
2023-09-22,6.0,4,0
2023-09-23,0.0,8,0
2023-09-24,0.0,6,1
2023-09-25,3.0,24,0
2023-09-26,2.0,31,0
2023-09-27,2.0,31,0
2023-09-28,1.0,11,0
2023-09-29,3.0,21,0
2023-09-30,0.0,3,3
2023-10-01,0.0,9,0
2023-10-02,2.0,11,0
2023-10-03,3.0,23,0
2023-10-04,6.0,14,0
2023-10-05,2.0,13,0
2023-10-06,3.0,6,1
2023-10-07,1.0,44,1
2023-10-08,0.0,8,0
2023-10-09,2.0,18,0
2023-10-10,1.0,20,0
2023-10-11,3.0,32,0
2023-10-12,1.0,30,0
2023-10-13,0.0,21,0
2023-10-14,0.0,6,0
2023-10-15,1.0,7,0
2023-10-16,3.0,13,0
2023-10-17,1.0,9,0
2023-10-18,3.0,6,0
2023-10-19,3.0,13,0
2023-10-20,1.0,16,2
2023-10-21,4.0,7,0
2023-10-22,2.0,3,0
2023-10-23,6.0,10,0
2023-10-24,2.0,10,0
2023-10-25,4.0,15,0
2023-10-26,2.0,21,0
2023-10-27,4.0,15,0
2023-10-28,3.0,10,3
2023-10-29,0.0,7,0
2023-10-30,5.0,15,0
2023-10-31,3.0,18,0
2023-11-01,3.0,20,0
2023-11-02,5.0,8,0
2023-11-03,2.0,8,0
2023-11-04,0.0,16,0
2023-11-05,0.0,13,0
2023-11-06,0.0,8,0
2023-11-07,2.0,17,0
2023-11-08,2.0,24,0
2023-11-09,2.0,16,9
2023-11-10,0.0,14,0
2023-11-11,0.0,10,0
2023-11-12,0.0,5,0
2023-11-13,3.0,7,0
2023-11-14,5.0,15,0
2023-11-15,3.0,5,11
2023-11-16,1.0,8,0
2023-11-17,4.0,13,0
2023-11-18,5.0,3,0
2023-11-19,2.0,8,0
2023-11-20,2.0,13,0
2023-11-21,5.0,3,0
2023-11-22,4.0,25,0
2023-11-23,6.0,9,0
2023-11-24,4.0,16,0
2023-11-25,2.0,6,0
2023-11-26,0.0,3,0
2023-11-27,5.0,10,0
2023-11-28,9.0,13,0
2023-11-29,4.0,7,0
2023-11-30,6.0,18,0
2023-12-01,7.0,5,0
2023-12-02,0.0,14,0
2023-12-03,2.0,7,0
2023-12-04,5.0,6,2
2023-12-05,5.0,15,0
2023-12-06,5.0,4,0
2023-12-07,5.0,6,0
2023-12-08,3.0,13,0
2023-12-09,0.0,5,0
2023-12-10,0.0,2,0
2023-12-11,0.0,21,0
2023-12-12,5.0,9,0
2023-12-13,3.0,9,6
2023-12-14,6.0,14,2
2023-12-15,6.0,1,0
2023-12-16,2.0,7,0
2023-12-17,0.0,12,0
2023-12-18,1.0,3,0
2023-12-19,1.0,5,0
2023-12-20,3.0,5,0
2023-12-21,1.0,7,0
2023-12-22,4.0,3,0
2023-12-23,2.0,0,0
2023-12-24,0.0,1,0
2023-12-25,0.0,2,0
2023-12-26,1.0,1,0
2023-12-27,3.0,4,0
2023-12-28,4.0,4,0
2023-12-29,4.0,4,0
2023-12-30,3.0,7,0
2023-12-31,3.0,27,0
2024-01-01,4.0,20,1
2024-01-02,5.0,22,0
2024-01-03,2.0,40,0
2024-01-04,3.0,37,0
2024-01-05,5.0,39,0
2024-01-06,1.0,10,0
2024-01-07,1.0,37,0
2024-01-08,2.0,28,0
2024-01-09,4.0,30,0
2024-01-10,3.0,20,0
2024-01-11,2.0,13,0
2024-01-12,4.0,12,0
2024-01-13,0.0,0,0
2024-01-14,0.0,6,0
2024-01-15,4.0,27,3
2024-01-16,6.0,17,2
2024-01-17,1.0,17,0
2024-01-18,4.0,10,8
2024-01-19,2.0,17,0
2024-01-20,1.0,8,0
2024-01-21,0.0,6,0
2024-01-22,4.0,3,0
2024-01-23,4.0,6,0
2024-01-24,2.0,8,0
2024-01-25,1.0,24,0
2024-01-26,3.0,5,0
2024-01-27,1.0,1,0
2024-01-28,1.0,7,0
2024-01-29,7.0,18,0
2024-01-30,3.0,10,0
2024-01-31,6.0,7,0
2024-02-01,6.0,10,0
2024-02-02,0.0,4,0
2024-02-03,1.0,0,10
2024-02-04,2.0,2,0
2024-02-05,5.0,5,0
2024-02-06,7.0,15,0
2024-02-07,3.0,7,0
2024-02-08,4.0,13,0
2024-02-09,3.0,32,0
2024-02-10,1.0,9,0
2024-02-11,0.0,2,0
2024-02-12,3.0,7,1
2024-02-13,1.0,19,0
2024-02-14,3.0,47,0
2024-02-15,5.0,11,0
2024-02-16,3.0,13,0
2024-02-17,2.0,4,0
2024-02-18,0.0,4,0
2024-02-19,9.0,8,0
2024-02-20,9.0,50,0
2024-02-21,6.0,23,0
2024-02-22,3.0,5,0
2024-02-23,4.0,7,0
2024-02-24,0.0,5,0
2024-02-25,0.0,6,0
2024-02-26,5.0,3,0
2024-02-27,0.0,13,0
2024-02-28,3.0,5,0
2024-02-29,5.0,2,0
2024-03-01,3.0,13,0
2024-03-02,4.0,0,0
2024-03-03,0.0,3,0
2024-03-04,10.0,2,0
2024-03-05,3.0,6,0
2024-03-06,4.0,7,0
2024-03-07,4.0,12,0
2024-03-08,6.0,5,0
2024-03-09,2.0,0,0
2024-03-10,3.0,1,0
2024-03-11,4.0,4,0
2024-03-12,2.0,7,0
2024-03-13,2.0,7,0
2024-03-14,6.0,8,0
2024-03-15,3.0,7,0
2024-03-16,1.0,3,0
2024-03-17,1.0,0,0
2024-03-18,3.0,8,0
2024-03-19,1.0,12,0
2024-03-20,2.0,5,0
2024-03-21,3.0,7,0
2024-03-22,2.0,4,0
2024-03-23,0.0,0,0
2024-03-24,1.0,5,0
2024-03-25,2.0,20,0
2024-03-26,1.0,12,0
2024-03-27,2.0,3,0
2024-03-28,1.0,5,0
2024-03-29,1.0,6,0
2024-03-30,1.0,4,0
2024-03-31,0.0,1,0
2024-04-01,1.0,3,0
2024-04-02,1.0,4,0
2024-04-03,4.0,11,0
2024-04-04,2.0,13,0
2024-04-05,3.0,8,0
