,nestjs/nest,fastify/fastify,koajs/koa
2021-10-29,5,0,0
2021-10-30,1,0,0
2021-10-31,1,2,0
2021-11-01,5,0,0
2021-11-02,14,0,0
2021-11-03,16,0,0
2021-11-04,3,2,0
2021-11-05,4,0,0
2021-11-06,0,1,0
2021-11-07,1,2,0
2021-11-08,20,0,0
2021-11-09,4,0,0
2021-11-10,21,1,0
2021-11-11,4,0,0
2021-11-12,4,2,0
2021-11-13,2,3,0
2021-11-14,1,0,0
2021-11-15,23,1,0
2021-11-16,17,5,0
2021-11-17,3,0,0
2021-11-18,17,2,0
2021-11-19,9,3,0
2021-11-20,3,2,0
2021-11-21,0,2,0
2021-11-22,17,1,0
2021-11-23,37,2,0
2021-11-24,9,3,0
2021-11-25,21,0,0
2021-11-26,0,1,0
2021-11-27,0,0,0
2021-11-28,1,0,0
2021-11-29,6,3,0
2021-11-30,7,1,0
2021-12-01,0,1,0
2021-12-02,0,0,0
2021-12-03,0,0,0
2021-12-04,1,2,0
2021-12-05,1,0,0
2021-12-06,5,0,0
2021-12-07,8,0,0
2021-12-08,0,1,0
2021-12-09,13,1,0
2021-12-10,0,0,0
2021-12-11,0,0,0
2021-12-12,1,1,0
2021-12-13,4,4,0
2021-12-14,9,6,0
2021-12-15,6,0,0
2021-12-16,17,2,0
2021-12-17,10,1,0
2021-12-18,1,3,0
2021-12-19,3,0,0
2021-12-20,3,1,0
2021-12-21,1,4,0
2021-12-22,5,0,0
2021-12-23,2,3,0
2021-12-24,2,0,0
2021-12-25,2,0,0
2021-12-26,2,0,0
2021-12-27,3,0,0
2021-12-28,0,3,0
2021-12-29,3,0,0
2021-12-30,0,0,0
2021-12-31,3,0,0
2022-01-01,0,0,0
2022-01-02,6,1,0
2022-01-03,4,6,0
2022-01-04,0,1,0
2022-01-05,0,1,0
2022-01-06,1,3,0
2022-01-07,1,0,0
2022-01-08,3,0,0
2022-01-09,2,1,0
2022-01-10,3,0,0
2022-01-11,9,1,0
2022-01-12,7,1,0
2022-01-13,5,1,0
2022-01-14,10,0,0
2022-01-15,1,0,0
2022-01-16,1,3,0
2022-01-17,18,3,0
2022-01-18,7,2,0
2022-01-19,9,4,0
2022-01-20,12,0,0
2022-01-21,15,0,0
2022-01-22,0,1,0
2022-01-23,0,0,0
2022-01-24,23,0,0
2022-01-25,3,1,0
2022-01-26,11,2,0
2022-01-27,12,0,0
2022-01-28,8,0,0
2022-01-29,1,0,0
2022-01-30,5,0,0
2022-01-31,7,2,0
2022-02-01,0,1,0
2022-02-02,10,1,0
2022-02-03,5,3,0
2022-02-04,4,1,0
2022-02-05,3,0,0
2022-02-06,1,2,0
2022-02-07,0,2,0
2022-02-08,0,1,0
2022-02-09,10,2,0
2022-02-10,6,1,0
2022-02-11,29,1,0
2022-02-12,1,0,0
2022-02-13,1,0,0
2022-02-14,44,1,0
2022-02-15,8,0,0
2022-02-16,9,3,0
2022-02-17,7,2,0
2022-02-18,19,3,0
2022-02-19,1,3,0
2022-02-20,1,1,0
2022-02-21,11,2,0
2022-02-22,5,1,0
2022-02-23,2,0,0
2022-02-24,2,1,0
2022-02-25,0,0,0
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,13,1,0
2022-03-01,25,0,0
2022-03-02,3,0,0
2022-03-03,9,2,0
2022-03-04,6,1,0
2022-03-05,1,2,0
2022-03-06,0,1,0
2022-03-07,9,1,0
2022-03-08,4,2,0
2022-03-09,2,1,0
2022-03-10,6,0,0
2022-03-11,4,0,0
2022-03-12,0,0,0
2022-03-13,0,0,0
2022-03-14,20,3,0
2022-03-15,0,2,0
2022-03-16,3,0,0
2022-03-17,4,2,0
2022-03-18,0,1,0
2022-03-19,0,0,0
2022-03-20,0,0,0
2022-03-21,20,1,0
2022-03-22,0,3,0
2022-03-23,0,0,0
2022-03-24,7,1,0
2022-03-25,13,0,0
2022-03-26,0,0,0
2022-03-27,0,1,0
2022-03-28,4,0,0
2022-03-29,6,2,0
2022-03-30,0,0,0
2022-03-31,6,0,0
2022-04-01,8,1,0
2022-04-02,0,2,0
2022-04-03,0,1,0
2022-04-04,7,1,0
2022-04-05,5,0,0
2022-04-06,3,1,0
2022-04-07,7,0,0
2022-04-08,0,0,0
2022-04-09,3,0,0
2022-04-10,2,0,0
2022-04-11,6,1,0
2022-04-12,0,2,0
2022-04-13,0,2,0
2022-04-14,0,1,0
2022-04-15,1,0,0
2022-04-16,0,0,0
2022-04-17,0,0,0
2022-04-18,1,0,0
2022-04-19,0,0,0
2022-04-20,0,0,0
2022-04-21,3,0,0
2022-04-22,5,2,0
2022-04-23,0,2,0
2022-04-24,4,0,0
2022-04-25,0,0,0
2022-04-26,0,0,0
2022-04-27,0,1,0
2022-04-28,0,4,0
2022-04-29,2,0,0
2022-04-30,0,0,0
2022-05-01,1,0,0
2022-05-02,0,2,0
2022-05-03,2,2,0
2022-05-04,14,4,0
2022-05-05,6,1,0
2022-05-06,6,0,0
2022-05-07,2,2,0
2022-05-08,0,5,0
2022-05-09,4,1,0
2022-05-10,0,0,0
2022-05-11,0,0,0
2022-05-12,0,0,0
2022-05-13,34,1,0
2022-05-14,0,1,0
2022-05-15,0,0,0
2022-05-16,4,1,0
2022-05-17,45,1,0
2022-05-18,33,1,0
2022-05-19,3,1,0
2022-05-20,4,1,0
2022-05-21,4,4,0
2022-05-22,1,4,0
2022-05-23,16,2,0
2022-05-24,3,1,0
2022-05-25,9,1,0
2022-05-26,2,4,0
2022-05-27,2,2,0
2022-05-28,3,0,0
2022-05-29,3,1,0
2022-05-30,6,3,0
2022-05-31,26,6,0
2022-06-01,17,2,0
2022-06-02,11,1,0
2022-06-03,10,2,0
2022-06-04,3,0,0
2022-06-05,0,2,0
2022-06-06,0,2,0
2022-06-07,0,0,0
2022-06-08,0,5,0
2022-06-09,0,4,0
2022-06-10,3,10,0
2022-06-11,0,0,0
2022-06-12,3,2,0
2022-06-13,9,5,0
2022-06-14,17,2,0
2022-06-15,12,4,0
2022-06-16,0,1,0
2022-06-17,11,0,0
2022-06-18,1,1,0
2022-06-19,1,7,0
2022-06-20,10,2,0
2022-06-21,5,3,0
2022-06-22,0,5,0
2022-06-23,7,4,0
2022-06-24,11,2,0
2022-06-25,1,2,0
2022-06-26,3,1,0
2022-06-27,7,1,0
2022-06-28,0,5,0
2022-06-29,0,0,0
2022-06-30,0,3,0
2022-07-01,0,4,1
2022-07-02,0,1,3
2022-07-03,0,0,0
2022-07-04,0,1,0
2022-07-05,1,2,0
2022-07-06,1,1,0
2022-07-07,29,0,0
2022-07-08,16,0,0
2022-07-09,12,2,0
2022-07-10,5,1,0
2022-07-11,29,3,0
2022-07-12,12,4,0
2022-07-13,3,1,0
2022-07-14,2,1,0
2022-07-15,0,1,0
2022-07-16,1,0,0
2022-07-17,1,0,0
2022-07-18,11,1,0
2022-07-19,1,1,0
2022-07-20,31,0,0
2022-07-21,2,2,0
2022-07-22,0,0,0
2022-07-23,0,0,0
2022-07-24,4,0,0
2022-07-25,1,3,0
2022-07-26,23,1,0
2022-07-27,4,2,0
2022-07-28,33,0,0
2022-07-29,3,0,0
2022-07-30,0,1,0
2022-07-31,2,1,0
2022-08-01,2,1,0
2022-08-02,0,0,0
2022-08-03,5,1,0
2022-08-04,0,0,0
2022-08-05,3,2,0
2022-08-06,1,0,0
2022-08-07,0,0,0
2022-08-08,0,3,0
2022-08-09,2,1,0
2022-08-10,0,4,0
2022-08-11,13,1,0
2022-08-12,3,0,0
2022-08-13,2,1,0
2022-08-14,4,1,0
2022-08-15,0,0,0
2022-08-16,16,1,0
2022-08-17,0,2,0
2022-08-18,16,2,0
2022-08-19,1,2,0
2022-08-20,0,0,0
2022-08-21,1,1,0
2022-08-22,0,1,0
2022-08-23,12,1,0
2022-08-24,10,1,0
2022-08-25,0,0,0
2022-08-26,2,2,0
2022-08-27,2,3,0
2022-08-28,0,0,0
2022-08-29,16,1,0
2022-08-30,7,1,0
2022-08-31,4,2,0
2022-09-01,3,3,0
2022-09-02,1,0,0
2022-09-03,0,2,0
2022-09-04,3,1,0
2022-09-05,1,0,0
2022-09-06,10,2,0
2022-09-07,0,2,0
2022-09-08,0,1,0
2022-09-09,7,1,0
2022-09-10,0,1,0
2022-09-11,0,1,0
2022-09-12,4,1,0
2022-09-13,2,3,0
2022-09-14,0,4,0
2022-09-15,0,1,0
2022-09-16,4,2,0
2022-09-17,3,0,0
2022-09-18,0,1,0
2022-09-19,34,2,0
2022-09-20,1,3,0
2022-09-21,2,3,0
2022-09-22,5,0,0
2022-09-23,0,2,0
2022-09-24,0,0,0
2022-09-25,1,2,0
2022-09-26,1,1,0
2022-09-27,0,2,0
2022-09-28,1,0,0
2022-09-29,0,2,0
2022-09-30,0,1,0
2022-10-01,1,0,0
2022-10-02,0,0,0
2022-10-03,13,0,0
2022-10-04,14,1,0
2022-10-05,15,0,1
2022-10-06,1,2,0
2022-10-07,0,1,0
2022-10-08,0,0,0
2022-10-09,1,0,0
2022-10-10,1,5,0
2022-10-11,2,0,0
2022-10-12,1,0,0
2022-10-13,1,0,0
2022-10-14,0,1,0
2022-10-15,2,1,0
2022-10-16,1,1,0
2022-10-17,1,10,0
2022-10-18,0,3,0
2022-10-19,0,0,0
2022-10-20,2,2,0
2022-10-21,15,2,0
2022-10-22,4,0,0
2022-10-23,2,2,0
2022-10-24,20,0,0
2022-10-25,10,1,0
2022-10-26,9,4,0
2022-10-27,31,2,0
2022-10-28,0,2,0
2022-10-29,4,0,0
2022-10-30,2,0,0
2022-10-31,17,1,0
2022-11-01,2,3,0
2022-11-02,10,1,0
2022-11-03,12,1,0
2022-11-04,1,0,0
2022-11-05,2,1,0
2022-11-06,0,0,0
2022-11-07,32,1,0
2022-11-08,0,1,0
2022-11-09,17,2,0
2022-11-10,1,1,0
2022-11-11,1,0,0
2022-11-12,0,0,0
2022-11-13,1,0,0
2022-11-14,0,0,0
2022-11-15,3,0,0
2022-11-16,0,1,0
2022-11-17,1,0,0
2022-11-18,1,3,0
2022-11-19,3,0,0
2022-11-20,0,0,0
2022-11-21,1,4,0
2022-11-22,0,0,0
2022-11-23,5,0,0
2022-11-24,4,0,0
2022-11-25,2,0,0
2022-11-26,1,1,0
2022-11-27,1,0,0
2022-11-28,2,0,0
2022-11-29,11,2,0
2022-11-30,4,2,0
2022-12-01,1,0,0
2022-12-02,4,0,0
2022-12-03,0,0,0
2022-12-04,0,0,0
2022-12-05,6,0,0
2022-12-06,0,0,10
2022-12-07,4,0,2
2022-12-08,1,0,0
2022-12-09,0,0,0
2022-12-10,1,0,0
2022-12-11,0,0,0
2022-12-12,51,0,0
2022-12-13,19,1,0
2022-12-14,8,0,0
2022-12-15,1,0,0
2022-12-16,8,0,0
2022-12-17,0,0,0
2022-12-18,0,2,0
2022-12-19,0,1,0
2022-12-20,0,1,0
2022-12-21,0,0,0
2022-12-22,0,0,0
2022-12-23,1,0,0
2022-12-24,0,1,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,10,3,0
2022-12-28,1,0,1
2022-12-29,0,2,0
2022-12-30,0,0,0
2022-12-31,0,0,0
2023-01-01,0,2,0
2023-01-02,14,0,1
2023-01-03,6,1,0
2023-01-04,3,0,0
2023-01-05,0,1,0
2023-01-06,9,1,0
2023-01-07,4,0,0
