,akka/akka,lightbend/kalix-jvm-sdk,lagom/lagom
2020-03-04,4,0,-0.3725036732296877
2020-03-05,2,0,-0.13216682646562497
2020-03-06,1,0,1.9405000000000001
2020-03-07,0,0,-0.6401625000000001
2020-03-08,0,0,-0.23972024999999986
2020-03-09,6,0,-0.14228086249999994
2020-03-10,7,0,-0.09928227375
2020-03-11,5,0,-0.07531721676562504
2020-03-12,7,0,-0.06014513823281251
2020-03-13,8,0,-0.037914547500000007
2020-03-14,0,0,-0.03175343353125009
2020-03-15,0,0,-0.027166826465625047
2020-03-16,3,0,0.0
2020-03-17,2,0,0.0
2020-03-18,3,0,0.0
2020-03-19,4,0,4.0
2020-03-20,4,0,-1.2000000000000002
2020-03-21,1,0,-0.4199999999999997
2020-03-22,0,0,-0.23799999999999988
2020-03-23,5,0,-0.16065
2020-03-24,3,1,-0.11888099999999999
2020-03-25,2,0,-0.09312344999999998
2020-03-26,3,0,0.924170905
2020-03-27,12,0,1.6364931329374999
2020-03-28,1,0,-0.7593336529312501
2020-03-29,0,0,-0.26949999999999985
2020-03-30,12,0,2.8408375
2020-03-31,3,0,-0.010045250000000117
2020-04-01,19,0,2.3022786375
2020-04-02,7,0,-0.24901899875
2020-04-03,7,0,-0.8487787642656248
2020-04-04,0,0,-0.4581600967640624
2020-04-05,0,0,-0.306717163965625
2020-04-06,2,0,-0.20947593374999998
2020-04-07,11,0,2.8338497384531247
2020-04-08,6,0,-1.0367796402140628
2020-04-09,3,0,-0.39517083727968744
2020-04-10,3,0,-0.2351269564640625
2020-04-11,0,0,-0.13407091323281253
2020-04-12,0,0,-0.08916074999999998
2020-04-13,3,0,-0.06984258749999998
2020-04-14,0,0,-0.05687182125000001
2020-04-15,2,0,-0.04763015029687513
2020-04-16,4,1,-0.04075023969843757
2020-04-17,1,0,0.0
2020-04-18,0,0,0.0
2020-04-19,0,0,0.0
2020-04-20,15,0,1.0
2020-04-21,0,0,-0.30000000000000004
2020-04-22,1,0,-0.10499999999999993
2020-04-23,1,0,1.9405000000000001
2020-04-24,3,0,-0.6401625000000001
2020-04-25,0,0,-0.23972024999999986
2020-04-26,0,0,-0.14228086249999994
2020-04-27,14,0,-0.09928227375
2020-04-28,14,0,0.9246827832343749
2020-04-29,7,1,-0.3601451382328126
2020-04-30,5,1,-0.14291454749999993
2020-05-01,0,0,-0.09125343353125007
2020-05-02,0,0,-0.06732932646562505
2020-05-03,0,0,-0.029720249999999997
2020-05-04,4,1,-0.023280862499999996
2020-05-05,11,0,-0.018957273750000003
2020-05-06,9,0,0.9841232832343749
2020-05-07,9,0,-0.3135834132328126
2020-05-08,8,0,-0.10499999999999993
2020-05-09,0,0,-0.05949999999999997
2020-05-10,0,0,-0.0401625
2020-05-11,4,0,-0.029720249999999997
2020-05-12,2,0,-0.023280862499999996
2020-05-13,2,0,-0.018957273750000003
2020-05-14,4,0,-0.015876716765625045
2020-05-15,1,0,-0.013583413232812524
2020-05-16,1,0,0.0
2020-05-17,0,0,0.0
2020-05-18,6,0,0.0
2020-05-19,2,1,0.0
2020-05-20,2,1,0.0
2020-05-21,0,0,0.0
2020-05-22,6,0,0.0
2020-05-23,0,0,0.0
2020-05-24,1,0,0.0
2020-05-25,4,0,1.0
2020-05-26,12,0,-0.30000000000000004
2020-05-27,9,0,-0.10499999999999993
2020-05-28,8,0,-0.05949999999999997
2020-05-29,2,0,-0.0401625
2020-05-30,0,0,-0.029720249999999997
2020-05-31,0,0,-0.023280862499999996
2020-06-01,7,0,-0.018957273750000003
2020-06-02,7,0,-0.015876716765625045
2020-06-03,4,0,-0.013583413232812524
2020-06-04,8,0,0.0
2020-06-05,6,0,0.0
2020-06-06,0,0,0.0
2020-06-07,0,0,0.0
2020-06-08,5,0,0.0
2020-06-09,11,0,0.0
2020-06-10,7,0,0.0
2020-06-11,17,0,0.0
2020-06-12,2,0,0.0
2020-06-13,0,0,0.0
2020-06-14,0,0,0.0
2020-06-15,5,0,1.0
2020-06-16,4,0,-0.30000000000000004
2020-06-17,6,0,-0.10499999999999993
2020-06-18,2,0,-0.05949999999999997
2020-06-19,3,0,-0.0401625
2020-06-20,0,0,-0.029720249999999997
2020-06-21,0,0,-0.023280862499999996
2020-06-22,1,0,-0.018957273750000003
2020-06-23,1,0,-0.015876716765625045
2020-06-24,1,0,-0.013583413232812524
2020-06-25,6,0,0.0
2020-06-26,3,0,0.0
2020-06-27,0,0,0.0
2020-06-28,0,0,0.0
2020-06-29,5,0,0.0
2020-06-30,1,1,0.0
2020-07-01,5,0,0.0
2020-07-02,3,0,0.0
2020-07-03,2,0,4.0
2020-07-04,0,0,-1.2000000000000002
2020-07-05,0,0,-0.4199999999999997
2020-07-06,0,0,0.7620000000000001
2020-07-07,10,0,0.53935
2020-07-08,9,0,2.476119
2020-07-09,4,0,-1.15762345
2020-07-10,2,0,1.5095084050000003
2020-07-11,0,0,-0.9118896170625002
2020-07-12,0,0,-0.4378222654312499
2020-07-13,7,0,-0.25039888624999995
2020-07-14,2,0,-0.18500157801562503
2020-07-15,2,0,-0.14577245124843757
2020-07-16,4,1,-0.10777528852968765
2020-07-17,2,0,2.9213352128015626
2020-07-18,0,0,-0.9317534335312502
2020-07-19,0,0,-0.34216682646562485
2020-07-20,0,0,-0.1784999999999999
2020-07-21,2,0,0.8795125
2020-07-22,2,0,-0.38916075000000006
2020-07-23,0,0,0.8251574125000001
2020-07-24,2,0,-0.41637182125000005
2020-07-25,0,0,-0.19279265029687506
2020-07-26,0,0,-0.12997048969843755
2020-07-27,0,0,-0.06344336249999999
2020-07-28,1,0,-0.04867752375
2020-07-29,0,0,-0.03915757926562504
2020-07-30,2,0,-0.032540686982812525
2020-07-31,2,0,-0.015876716765625045
2020-08-01,0,0,-0.013583413232812524
2020-08-02,0,0,0.0
2020-08-03,1,1,0.0
2020-08-04,4,0,0.0
2020-08-05,1,0,1.0
2020-08-06,0,0,-0.30000000000000004
2020-08-07,2,0,1.895
2020-08-08,0,0,-0.6595000000000001
2020-08-09,0,0,-0.25016249999999984
2020-08-10,11,0,-0.14872024999999994
2020-08-11,0,0,-0.10360586249999999
2020-08-12,1,0,-0.07839777375
2020-08-13,5,0,-0.06243844176562503
2020-08-14,1,0,-0.05149796073281253
2020-08-15,0,0,-0.03175343353125009
2020-08-16,0,0,-0.027166826465625047
2020-08-17,51,0,2.0
2020-08-18,13,0,-0.6000000000000001
2020-08-19,1,0,-0.20999999999999985
2020-08-20,0,0,0.881
2020-08-21,1,0,-0.380325
2020-08-22,0,0,0.8355595
2020-08-23,0,0,-0.40606172500000004
2020-08-24,9,0,1.8169229525000001
2020-08-25,3,0,6.27902631646875
2020-08-26,1,0,-2.4006101889656253
2020-08-27,0,0,-0.9026775237499993
2020-08-28,1,0,-0.5359825792656248
