,pi-hole/pi-hole,AdguardTeam/AdGuardHome,NLnetLabs/unbound
2019-05-30,6,4,0
2019-05-31,4,4,0
2019-06-01,3,0,0
2019-06-02,0,0,0
2019-06-03,4,13,1
2019-06-04,1,11,3
2019-06-05,2,2,1
2019-06-06,0,23,1
2019-06-07,0,5,0
2019-06-08,0,0,0
2019-06-09,0,0,0
2019-06-10,3,2,0
2019-06-11,0,0,2
2019-06-12,1,0,9
2019-06-13,1,0,0
2019-06-14,1,0,1
2019-06-15,4,0,0
2019-06-16,9,0,0
2019-06-17,3,0,3
2019-06-18,0,1,10
2019-06-19,0,0,0
2019-06-20,0,2,0
2019-06-21,0,0,0
2019-06-22,0,0,0
2019-06-23,0,0,0
2019-06-24,0,1,2
2019-06-25,2,3,2
2019-06-26,1,4,0
2019-06-27,2,11,0
2019-06-28,0,0,0
2019-06-29,3,0,0
2019-06-30,10,0,0
2019-07-01,2,6,0
2019-07-02,0,4,0
2019-07-03,5,2,0
2019-07-04,5,4,0
2019-07-05,7,18,1
2019-07-06,6,0,0
2019-07-07,3,0,0
2019-07-08,5,4,0
2019-07-09,3,2,1
2019-07-10,3,0,0
2019-07-11,4,0,0
2019-07-12,1,2,1
2019-07-13,1,0,0
2019-07-14,0,0,0
2019-07-15,0,7,0
2019-07-16,0,8,2
2019-07-17,0,4,0
2019-07-18,1,0,0
2019-07-19,0,13,2
2019-07-20,4,0,0
2019-07-21,0,0,0
2019-07-22,5,4,0
2019-07-23,0,3,1
2019-07-24,0,6,0
2019-07-25,0,0,0
2019-07-26,0,0,0
2019-07-27,0,0,0
2019-07-28,0,0,0
2019-07-29,1,5,3
2019-07-30,1,0,0
2019-07-31,0,4,0
2019-08-01,0,0,6
2019-08-02,0,4,0
2019-08-03,0,0,0
2019-08-04,1,0,0
2019-08-05,7,13,0
2019-08-06,1,1,0
2019-08-07,0,1,2
2019-08-08,0,4,3
2019-08-09,0,0,0
2019-08-10,0,0,0
2019-08-11,0,1,0
2019-08-12,1,0,3
2019-08-13,0,7,1
2019-08-14,2,3,6
2019-08-15,1,0,7
2019-08-16,0,8,5
2019-08-17,1,0,0
2019-08-18,0,0,0
2019-08-19,0,5,1
2019-08-20,7,7,0
2019-08-21,17,1,1
2019-08-22,6,7,4
2019-08-23,1,6,3
2019-08-24,2,0,0
2019-08-25,1,0,0
2019-08-26,2,1,0
2019-08-27,1,1,1
2019-08-28,0,1,0
2019-08-29,1,4,0
2019-08-30,1,6,0
2019-08-31,2,0,0
2019-09-01,3,0,0
2019-09-02,1,3,3
2019-09-03,2,2,1
2019-09-04,2,17,1
2019-09-05,0,0,0
2019-09-06,1,0,0
2019-09-07,6,0,0
2019-09-08,1,0,0
2019-09-09,0,2,5
2019-09-10,0,1,0
2019-09-11,0,3,1
2019-09-12,0,19,0
2019-09-13,0,3,0
2019-09-14,0,0,0
2019-09-15,1,0,0
2019-09-16,0,6,0
2019-09-17,3,5,0
2019-09-18,1,0,1
2019-09-19,0,10,11
2019-09-20,0,0,8
2019-09-21,0,0,1
2019-09-22,2,0,0
2019-09-23,0,9,2
2019-09-24,0,0,1
2019-09-25,0,4,1
2019-09-26,3,11,3
2019-09-27,0,7,0
2019-09-28,0,0,0
2019-09-29,2,0,0
