,cypress-io/cypress,DevExpress/testcafe,seleniumhq/selenium
2015-12-03,1,2,2
2015-12-04,0,2,1
2015-12-05,0,0,1
2015-12-06,0,0,0
2015-12-07,10,2,1
2015-12-08,0,0,2
2015-12-09,19,3,3
2015-12-10,2,5,4
2015-12-11,4,2,10
2015-12-12,4,0,0
2015-12-13,0,0,0
2015-12-14,0,4,0
2015-12-15,0,3,3
2015-12-16,0,5,0
2015-12-17,0,0,3
2015-12-18,2,1,0
2015-12-19,1,0,0
2015-12-20,8,0,0
2015-12-21,5,5,5
2015-12-22,1,0,1
2015-12-23,1,2,0
2015-12-24,3,0,0
2015-12-25,3,4,0
2015-12-26,7,0,1
2015-12-27,0,0,3
2015-12-28,0,0,1
2015-12-29,0,0,0
2015-12-30,9,3,0
2015-12-31,12,0,0
2016-01-01,1,0,0
2016-01-02,0,0,0
2016-01-03,0,0,0
2016-01-04,3,0,0
2016-01-05,0,0,2
2016-01-06,2,0,5
2016-01-07,1,0,5
2016-01-08,0,0,5
2016-01-09,3,0,0
2016-01-10,0,0,0
2016-01-11,6,4,1
2016-01-12,14,3,5
2016-01-13,8,4,7
2016-01-14,19,3,6
2016-01-15,12,3,3
2016-01-16,21,0,3
2016-01-17,7,0,1
2016-01-18,9,2,5
2016-01-19,3,2,13
2016-01-20,27,0,5
2016-01-21,21,0,3
2016-01-22,3,3,11
2016-01-23,8,0,1
2016-01-24,2,0,1
2016-01-25,28,3,18
2016-01-26,12,5,6
2016-01-27,5,3,15
2016-01-28,11,0,15
2016-01-29,15,3,10
2016-01-30,0,0,6
2016-01-31,0,0,1
2016-02-01,11,6,8
2016-02-02,19,2,2
2016-02-03,16,3,2
2016-02-04,14,4,6
2016-02-05,6,2,15
2016-02-06,26,0,0
2016-02-07,12,0,0
2016-02-08,15,2,0
2016-02-09,13,2,16
2016-02-10,13,2,19
2016-02-11,3,0,5
2016-02-12,11,0,17
2016-02-13,6,0,7
2016-02-14,0,0,1
2016-02-15,9,2,0
2016-02-16,21,9,1
2016-02-17,29,5,1
2016-02-18,16,2,10
2016-02-19,1,2,6
2016-02-20,0,0,2
2016-02-21,0,0,3
2016-02-22,24,0,4
2016-02-23,15,0,10
2016-02-24,25,3,1
2016-02-25,23,5,1
2016-02-26,25,1,2
2016-02-27,11,0,2
2016-02-28,13,0,2
2016-02-29,15,4,3
2016-03-01,15,3,2
2016-03-02,6,2,7
2016-03-03,0,6,2
2016-03-04,10,2,5
2016-03-05,18,0,1
2016-03-06,8,0,8
2016-03-07,12,0,6
2016-03-08,22,0,0
2016-03-09,13,2,4
2016-03-10,0,1,3
2016-03-11,11,3,9
2016-03-12,0,0,3
2016-03-13,2,0,2
2016-03-14,22,0,6
2016-03-15,0,0,36
2016-03-16,0,0,12
2016-03-17,0,0,7
2016-03-18,8,1,0
2016-03-19,10,0,6
2016-03-20,6,0,1
2016-03-21,20,3,1
2016-03-22,7,2,0
2016-03-23,17,4,0
2016-03-24,38,1,1
2016-03-25,24,1,0
2016-03-26,11,1,0
2016-03-27,9,0,1
2016-03-28,33,1,4
2016-03-29,3,4,0
2016-03-30,11,2,1
2016-03-31,9,0,1
2016-04-01,22,0,1
2016-04-02,3,0,1
2016-04-03,2,0,0
2016-04-04,34,0,3
2016-04-05,12,2,1
2016-04-06,23,0,0
2016-04-07,6,4,9
2016-04-08,6,1,1
2016-04-09,2,0,1
2016-04-10,11,0,0
2016-04-11,12,2,1
2016-04-12,9,2,3
2016-04-13,1,0,6
2016-04-14,13,1,0
2016-04-15,8,2,0
2016-04-16,0,0,0
2016-04-17,0,0,0
2016-04-18,5,0,0
2016-04-19,26,2,0
2016-04-20,12,4,3
2016-04-21,0,3,5
2016-04-22,8,2,3
2016-04-23,1,0,0
2016-04-24,0,0,0
2016-04-25,0,4,3
2016-04-26,7,3,0
2016-04-27,8,8,0
2016-04-28,14,5,3
2016-04-29,30,2,2
2016-04-30,0,0,0
2016-05-01,4,0,0
2016-05-02,7,0,6
2016-05-03,6,0,5
2016-05-04,19,1,0
2016-05-05,3,3,2
2016-05-06,14,6,2
2016-05-07,8,0,0
2016-05-08,4,0,0
2016-05-09,16,0,0
2016-05-10,8,1,0
2016-05-11,8,4,4
2016-05-12,1,1,9
2016-05-13,22,3,1
2016-05-14,10,0,0
2016-05-15,37,0,1
2016-05-16,33,1,1
2016-05-17,33,1,0
2016-05-18,31,3,13
2016-05-19,22,0,4
