,definitelytyped/definitelytyped,sindresorhus/type-fest,microsoft/TypeScript
2024-01-01,21,0,0
2024-01-02,17,1,9
2024-01-03,16,0,3
2024-01-04,4,1,5
2024-01-05,5,0,3
2024-01-06,6,0,1
2024-01-07,2,0,0
2024-01-08,11,0,2
2024-01-09,12,0,9
2024-01-10,5,0,5
2024-01-11,8,0,7
2024-01-12,5,0,3
2024-01-13,1,0,1
2024-01-14,5,0,0
2024-01-15,5,0,1
2024-01-16,10,0,6
2024-01-17,9,0,2
2024-01-18,5,0,3
2024-01-19,9,0,9
2024-01-20,5,0,1
2024-01-21,4,2,0
2024-01-22,14,1,2
2024-01-23,6,0,2
2024-01-24,7,2,2
2024-01-25,21,0,3
2024-01-26,16,0,1
2024-01-27,5,0,1
2024-01-28,5,0,2
2024-01-29,11,0,4
2024-01-30,8,2,4
2024-01-31,11,0,3
2024-02-01,23,0,4
2024-02-02,5,0,3
2024-02-03,9,0,0
2024-02-04,4,0,1
2024-02-05,9,0,1
2024-02-06,11,0,1
2024-02-07,18,0,5
2024-02-08,15,0,1
2024-02-09,8,0,2
2024-02-10,4,0,1
2024-02-11,4,0,1
2024-02-12,14,0,3
2024-02-13,11,0,6
2024-02-14,5,0,2
2024-02-15,13,0,4
2024-02-16,5,0,5
2024-02-17,6,0,1
2024-02-18,2,0,0
2024-02-19,8,0,1
2024-02-20,6,0,3
2024-02-21,7,0,3
2024-02-22,11,2,4
2024-02-23,23,0,8
2024-02-24,10,0,1
2024-02-25,0,0,1
2024-02-26,27,0,4
2024-02-27,20,0,3
2024-02-28,10,0,5
2024-02-29,34,0,2
2024-03-01,24,0,5
2024-03-02,5,0,4
2024-03-03,2,0,1
2024-03-04,13,3,6
2024-03-05,14,2,0
2024-03-06,7,0,3
2024-03-07,8,0,1
2024-03-08,8,2,4
2024-03-09,1,0,0
2024-03-10,2,0,1
2024-03-11,10,0,7
2024-03-12,3,1,6
2024-03-13,3,0,4
2024-03-14,7,0,3
2024-03-15,7,0,9
2024-03-16,2,1,2
2024-03-17,7,0,1
2024-03-18,20,2,7
2024-03-19,19,2,5
2024-03-20,10,3,6
2024-03-21,21,0,7
2024-03-22,20,1,1
2024-03-23,5,0,0
2024-03-24,1,2,0
2024-03-25,14,0,8
2024-03-26,8,0,4
2024-03-27,4,0,15
2024-03-28,8,0,5
2024-03-29,9,0,9
2024-03-30,8,1,1
2024-03-31,2,1,0
2024-04-01,6,0,2
2024-04-02,5,4,7
2024-04-03,14,1,7
2024-04-04,13,0,11
2024-04-05,16,0,5
2024-04-06,1,0,1
2024-04-07,6,0,1
2024-04-08,5,1,4
2024-04-09,22,1,4
2024-04-10,11,1,3
2024-04-11,7,0,2
2024-04-12,6,1,8
