,nestjs/nest,koajs/koa,fastify/fastify
2021-05-03,6,0,1
2021-05-04,7,0,0
2021-05-05,5,0,0
2021-05-06,9,0,0
2021-05-07,9,0,1
2021-05-08,3,0,0
2021-05-09,0,0,0
2021-05-10,1,0,0
2021-05-11,18,0,0
2021-05-12,13,0,2
2021-05-13,10,0,3
2021-05-14,8,0,1
2021-05-15,1,0,1
2021-05-16,0,0,2
2021-05-17,13,0,1
2021-05-18,6,0,1
2021-05-19,0,0,0
2021-05-20,0,0,0
2021-05-21,1,1,2
2021-05-22,3,0,1
2021-05-23,0,0,1
2021-05-24,1,0,2
2021-05-25,1,0,3
2021-05-26,0,0,2
2021-05-27,1,0,1
2021-05-28,0,0,1
2021-05-29,0,0,4
2021-05-30,0,0,0
2021-05-31,0,0,2
2021-06-01,0,0,0
2021-06-02,0,0,0
2021-06-03,0,0,1
2021-06-04,2,0,1
2021-06-05,1,0,3
2021-06-06,0,0,0
2021-06-07,3,0,1
2021-06-08,0,0,0
2021-06-09,0,0,1
2021-06-10,2,0,1
2021-06-11,2,0,1
2021-06-12,0,0,0
2021-06-13,0,0,0
2021-06-14,0,0,1
2021-06-15,0,0,0
2021-06-16,1,0,1
2021-06-17,6,0,2
2021-06-18,1,0,2
2021-06-19,0,0,1
2021-06-20,0,0,0
2021-06-21,0,0,2
2021-06-22,0,0,1
2021-06-23,0,0,3
2021-06-24,0,0,0
2021-06-25,17,0,1
2021-06-26,0,0,1
2021-06-27,0,0,1
2021-06-28,58,0,0
2021-06-29,56,0,6
2021-06-30,29,0,2
2021-07-01,10,0,0
2021-07-02,5,0,0
2021-07-03,1,0,1
2021-07-04,1,0,0
2021-07-05,20,0,1
2021-07-06,12,0,0
2021-07-07,29,0,1
2021-07-08,31,0,0
2021-07-09,27,0,4
2021-07-10,4,0,0
2021-07-11,0,0,0
2021-07-12,24,0,1
2021-07-13,11,0,0
2021-07-14,12,0,0
2021-07-15,4,0,2
2021-07-16,12,0,3
2021-07-17,1,0,1
2021-07-18,1,0,0
2021-07-19,2,0,3
2021-07-20,17,0,0
2021-07-21,3,0,5
2021-07-22,18,0,0
2021-07-23,5,0,0
2021-07-24,3,0,2
2021-07-25,1,0,0
2021-07-26,2,0,2
2021-07-27,22,0,0
2021-07-28,21,0,2
2021-07-29,13,0,0
2021-07-30,1,0,0
2021-07-31,2,0,0
2021-08-01,2,0,2
2021-08-02,17,0,1
2021-08-03,12,0,5
2021-08-04,6,0,1
2021-08-05,9,0,0
2021-08-06,11,0,0
2021-08-07,0,0,1
2021-08-08,3,0,0
2021-08-09,15,0,2
2021-08-10,12,0,2
2021-08-11,10,0,3
2021-08-12,5,0,0
2021-08-13,6,0,2
2021-08-14,1,0,0
2021-08-15,1,0,1
2021-08-16,7,0,1
2021-08-17,12,0,1
2021-08-18,7,22,1
2021-08-19,6,0,1
2021-08-20,8,0,4
2021-08-21,4,0,1
2021-08-22,0,1,2
2021-08-23,11,0,3
2021-08-24,9,0,1
2021-08-25,17,1,0
2021-08-26,7,0,0
2021-08-27,4,0,1
2021-08-28,2,0,0
2021-08-29,2,0,0
2021-08-30,6,0,0
2021-08-31,1,0,1
2021-09-01,5,0,0
2021-09-02,0,0,0
2021-09-03,3,0,1
2021-09-04,2,0,2
2021-09-05,5,0,2
2021-09-06,2,0,3
2021-09-07,6,0,3
2021-09-08,0,0,1
2021-09-09,2,0,0
2021-09-10,0,0,1
2021-09-11,0,0,0
2021-09-12,0,0,1
2021-09-13,0,0,4
2021-09-14,1,0,1
2021-09-15,0,0,0
2021-09-16,1,0,2
2021-09-17,0,0,6
2021-09-18,0,0,0
2021-09-19,0,0,1
2021-09-20,1,0,1
2021-09-21,2,0,0
2021-09-22,1,0,4
2021-09-23,0,0,4
2021-09-24,21,1,0
2021-09-25,0,0,0
2021-09-26,7,0,0
2021-09-27,24,0,0
2021-09-28,19,0,1
2021-09-29,17,0,1
2021-09-30,23,0,3
2021-10-01,17,0,0
2021-10-02,10,0,0
2021-10-03,4,0,0
2021-10-04,12,0,2
2021-10-05,16,0,0
2021-10-06,27,0,0
2021-10-07,23,0,0
2021-10-08,4,0,0
2021-10-09,20,0,0
2021-10-10,1,0,0
2021-10-11,16,0,0
2021-10-12,8,0,0
2021-10-13,48,0,2
2021-10-14,15,0,1
2021-10-15,12,0,1
2021-10-16,4,0,1
2021-10-17,1,0,0
2021-10-18,21,0,1
2021-10-19,13,0,1
2021-10-20,19,0,2
2021-10-21,28,0,0
2021-10-22,23,0,0
2021-10-23,2,0,0
2021-10-24,1,0,1
2021-10-25,19,0,1
2021-10-26,12,0,0
2021-10-27,7,0,0
2021-10-28,4,0,1
2021-10-29,5,0,0
2021-10-30,1,0,0
2021-10-31,1,0,2
2021-11-01,5,0,0
2021-11-02,14,0,0
2021-11-03,16,0,0
2021-11-04,3,0,2
2021-11-05,4,0,0
2021-11-06,0,0,1
2021-11-07,1,0,2
2021-11-08,20,0,0
2021-11-09,4,0,0
2021-11-10,21,0,1
2021-11-11,4,0,0
2021-11-12,4,0,2
2021-11-13,2,0,3
2021-11-14,1,0,0
2021-11-15,23,0,1
2021-11-16,17,0,5
2021-11-17,3,0,0
2021-11-18,17,0,2
2021-11-19,9,0,3
2021-11-20,3,0,2
2021-11-21,0,0,2
2021-11-22,17,0,1
2021-11-23,37,0,2
2021-11-24,9,0,3
2021-11-25,21,0,0
2021-11-26,0,0,1
2021-11-27,0,0,0
2021-11-28,1,0,0
2021-11-29,6,0,3
2021-11-30,7,0,1
2021-12-01,0,0,1
2021-12-02,0,0,0
2021-12-03,0,0,0
2021-12-04,1,0,2
2021-12-05,1,0,0
2021-12-06,5,0,0
2021-12-07,8,0,0
2021-12-08,0,0,1
2021-12-09,13,0,1
2021-12-10,0,0,0
2021-12-11,0,0,0
2021-12-12,1,0,1
2021-12-13,4,0,4
2021-12-14,9,0,6
2021-12-15,6,0,0
2021-12-16,17,0,2
2021-12-17,10,0,1
2021-12-18,1,0,3
2021-12-19,3,0,0
2021-12-20,3,0,1
2021-12-21,1,0,4
2021-12-22,5,0,0
2021-12-23,2,0,3
2021-12-24,2,0,0
2021-12-25,2,0,0
2021-12-26,2,0,0
2021-12-27,3,0,0
2021-12-28,0,0,3
2021-12-29,3,0,0
2021-12-30,0,0,0
2021-12-31,3,0,0
2022-01-01,0,0,0
2022-01-02,6,0,1
2022-01-03,4,0,6
2022-01-04,0,0,1
2022-01-05,0,0,1
2022-01-06,1,0,3
2022-01-07,1,0,0
2022-01-08,3,0,0
2022-01-09,2,0,1
2022-01-10,3,0,0
2022-01-11,9,0,1
2022-01-12,7,0,1
2022-01-13,5,0,1
2022-01-14,10,0,0
2022-01-15,1,0,0
2022-01-16,1,0,3
2022-01-17,18,0,3
2022-01-18,7,0,2
2022-01-19,9,0,4
2022-01-20,12,0,0
2022-01-21,15,0,0
2022-01-22,0,0,1
2022-01-23,0,0,0
2022-01-24,23,0,0
2022-01-25,3,0,1
2022-01-26,11,0,2
2022-01-27,12,0,0
2022-01-28,8,0,0
2022-01-29,1,0,0
2022-01-30,5,0,0
2022-01-31,7,0,2
2022-02-01,0,0,1
2022-02-02,10,0,1
2022-02-03,5,0,3
2022-02-04,4,0,1
2022-02-05,3,0,0
2022-02-06,1,0,2
2022-02-07,0,0,2
