,etcd-io/etcd,apache/zookeeper,hashicorp/consul
2022-03-20,2,0,0
2022-03-21,5,1,4
2022-03-22,2,0,9
2022-03-23,17,0,13
2022-03-24,6,0,7
2022-03-25,1,0,6
2022-03-26,2,0,1
2022-03-27,0,0,0
2022-03-28,1,1,11
2022-03-29,3,1,7
2022-03-30,0,2,12
2022-03-31,6,0,14
2022-04-01,3,1,8
2022-04-02,7,0,0
2022-04-03,6,0,0
2022-04-04,7,0,8
2022-04-05,5,1,21
2022-04-06,11,1,5
2022-04-07,10,0,13
2022-04-08,9,1,1
2022-04-09,5,1,0
2022-04-10,2,0,0
2022-04-11,3,0,14
2022-04-12,9,0,14
2022-04-13,6,0,9
2022-04-14,1,0,15
2022-04-15,0,0,5
2022-04-16,1,1,0
2022-04-17,2,0,1
2022-04-18,6,0,11
2022-04-19,6,0,3
2022-04-20,3,0,6
2022-04-21,4,0,16
2022-04-22,6,0,16
2022-04-23,4,0,0
2022-04-24,5,0,0
2022-04-25,6,0,8
2022-04-26,3,0,13
2022-04-27,1,0,34
2022-04-28,5,0,6
2022-04-29,2,0,10
2022-04-30,0,0,0
2022-05-01,1,0,0
2022-05-02,1,0,3
2022-05-03,3,0,8
2022-05-04,1,1,11
2022-05-05,14,2,8
2022-05-06,19,2,4
2022-05-07,4,0,0
2022-05-08,0,0,0
2022-05-09,0,0,17
2022-05-10,2,0,9
2022-05-11,4,0,9
2022-05-12,2,0,9
2022-05-13,11,0,11
2022-05-14,0,0,0
2022-05-15,0,0,0
2022-05-16,4,1,7
2022-05-17,2,1,7
2022-05-18,4,0,4
2022-05-19,2,0,13
2022-05-20,23,0,4
2022-05-21,0,0,0
2022-05-22,1,0,0
2022-05-23,0,0,9
2022-05-24,1,1,7
2022-05-25,2,0,16
2022-05-26,0,0,10
2022-05-27,1,0,10
2022-05-28,3,0,0
2022-05-29,0,0,0
2022-05-30,1,0,1
2022-05-31,0,0,9
2022-06-01,0,1,20
2022-06-02,0,0,5
2022-06-03,0,0,2
2022-06-04,1,0,0
2022-06-05,0,0,0
2022-06-06,0,0,11
2022-06-07,5,0,8
2022-06-08,2,0,10
2022-06-09,6,0,6
2022-06-10,3,0,20
2022-06-11,0,0,1
2022-06-12,0,0,0
2022-06-13,29,0,18
2022-06-14,3,0,23
2022-06-15,9,0,23
2022-06-16,4,0,14
2022-06-17,14,2,17
2022-06-18,0,0,1
2022-06-19,0,0,2
2022-06-20,2,1,14
2022-06-21,3,0,49
2022-06-22,2,0,16
2022-06-23,2,0,9
2022-06-24,4,2,8
2022-06-25,2,0,0
2022-06-26,7,0,1
2022-06-27,1,1,8
2022-06-28,2,0,5
2022-06-29,2,0,10
2022-06-30,2,0,2
2022-07-01,0,0,1
2022-07-02,2,0,0
2022-07-03,0,0,0
2022-07-04,4,0,9
2022-07-05,6,0,4
2022-07-06,2,0,7
2022-07-07,2,0,18
2022-07-08,4,0,5
2022-07-09,0,0,0
2022-07-10,1,0,0
2022-07-11,4,0,6
2022-07-12,5,1,8
2022-07-13,6,1,14
2022-07-14,0,0,26
2022-07-15,2,0,12
2022-07-16,0,0,0
2022-07-17,1,0,0
2022-07-18,1,0,10
2022-07-19,3,0,8
2022-07-20,4,0,18
2022-07-21,5,0,28
2022-07-22,1,0,16
2022-07-23,1,0,1
2022-07-24,2,0,0
2022-07-25,6,0,26
2022-07-26,13,1,17
2022-07-27,2,0,24
2022-07-28,4,0,20
2022-07-29,3,0,9
2022-07-30,0,0,0
2022-07-31,7,0,0
2022-08-01,2,0,23
2022-08-02,4,0,34
2022-08-03,1,0,5
2022-08-04,0,0,2
2022-08-05,3,0,20
2022-08-06,4,0,0
2022-08-07,0,0,0
2022-08-08,5,0,50
2022-08-09,1,0,30
2022-08-10,7,0,21
2022-08-11,3,0,14
2022-08-12,1,0,13
2022-08-13,1,0,0
2022-08-14,2,0,2
2022-08-15,5,0,17
2022-08-16,2,0,7
2022-08-17,5,0,5
2022-08-18,6,0,7
2022-08-19,1,0,3
2022-08-20,1,0,0
2022-08-21,1,0,0
2022-08-22,1,0,21
2022-08-23,4,0,18
2022-08-24,8,0,10
2022-08-25,6,0,21
2022-08-26,11,0,28
2022-08-27,5,0,0
2022-08-28,0,0,6
2022-08-29,5,0,30
2022-08-30,4,0,12
2022-08-31,4,0,15
2022-09-01,0,0,17
2022-09-02,0,0,9
2022-09-03,3,0,0
2022-09-04,1,1,0
2022-09-05,4,0,1
2022-09-06,7,0,19
2022-09-07,4,0,8
2022-09-08,3,0,49
2022-09-09,6,0,16
2022-09-10,1,0,0
2022-09-11,0,0,0
2022-09-12,1,0,4
2022-09-13,8,0,31
2022-09-14,9,0,20
2022-09-15,12,0,23
2022-09-16,13,0,13
2022-09-17,7,0,1
2022-09-18,1,0,0
2022-09-19,7,0,4
2022-09-20,49,0,5
2022-09-21,1,0,9
2022-09-22,11,0,4
2022-09-23,3,0,18
2022-09-24,1,0,0
2022-09-25,0,1,0
2022-09-26,5,0,3
2022-09-27,3,0,15
2022-09-28,4,0,18
2022-09-29,8,1,25
2022-09-30,5,0,32
2022-10-01,0,0,1
2022-10-02,0,0,0
2022-10-03,1,0,23
2022-10-04,1,0,33
2022-10-05,3,1,11
2022-10-06,2,0,6
2022-10-07,3,0,14
2022-10-08,1,0,0
2022-10-09,4,0,0
2022-10-10,3,0,10
2022-10-11,0,1,20
2022-10-12,5,0,17
2022-10-13,9,0,97
2022-10-14,6,0,15
2022-10-15,0,0,4
2022-10-16,3,0,0
2022-10-17,15,0,7
2022-10-18,1,0,23
2022-10-19,0,0,17
2022-10-20,6,0,16
2022-10-21,3,0,18
2022-10-22,3,0,3
2022-10-23,8,0,0
2022-10-24,6,0,21
2022-10-25,3,0,17
2022-10-26,10,0,14
2022-10-27,11,0,6
2022-10-28,11,0,5
2022-10-29,4,0,0
2022-10-30,1,0,0
2022-10-31,6,0,7
2022-11-01,3,0,2
2022-11-02,10,1,3
2022-11-03,2,1,3
2022-11-04,3,0,4
2022-11-05,3,0,0
2022-11-06,5,0,0
2022-11-07,10,0,4
2022-11-08,18,0,6
2022-11-09,8,1,7
2022-11-10,6,0,4
2022-11-11,11,0,2
2022-11-12,2,0,0
2022-11-13,14,0,0
2022-11-14,23,1,10
2022-11-15,16,0,5
2022-11-16,10,0,6
2022-11-17,11,0,11
2022-11-18,10,0,7
2022-11-19,0,0,4
2022-11-20,0,0,1
2022-11-21,5,0,6
2022-11-22,5,0,2
2022-11-23,9,0,0
2022-11-24,1,0,3
2022-11-25,10,0,1
2022-11-26,11,0,1
2022-11-27,5,0,0
2022-11-28,4,0,8
2022-11-29,2,0,8
2022-11-30,2,0,5
2022-12-01,7,0,4
2022-12-02,19,0,3
2022-12-03,5,0,3
