,twbs/bootstrap,primer/css,zurb/foundation-sites
2019-11-13,0,2,0
2019-11-14,0,4,0
2019-11-15,1,12,0
2019-11-16,0,0,0
2019-11-17,0,0,14
2019-11-18,1,1,0
2019-11-19,0,3,0
2019-11-20,0,1,0
2019-11-21,1,3,0
2019-11-22,1,1,0
2019-11-23,0,0,0
2019-11-24,3,0,0
2019-11-25,5,0,0
2019-11-26,2,2,0
2019-11-27,1,0,0
2019-11-28,4,0,0
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,1,0,0
2019-12-02,0,0,0
2019-12-03,0,0,1
2019-12-04,1,3,0
2019-12-05,0,0,13
2019-12-06,2,0,1
2019-12-07,0,0,2
2019-12-08,1,1,2
2019-12-09,1,0,0
2019-12-10,0,0,0
2019-12-11,1,0,1
2019-12-12,0,3,1
2019-12-13,2,0,8
2019-12-14,5,0,0
2019-12-15,2,0,0
2019-12-16,0,14,0
2019-12-17,0,12,1
2019-12-18,1,3,1
2019-12-19,0,0,0
2019-12-20,1,2,0
2019-12-21,0,0,1
2019-12-22,0,0,0
2019-12-23,0,0,0
2019-12-24,1,0,0
2019-12-25,14,0,0
2019-12-26,0,6,0
2019-12-27,2,7,0
2019-12-28,0,0,0
2019-12-29,0,0,0
2019-12-30,2,0,0
2019-12-31,0,0,0
2020-01-01,0,0,0
2020-01-02,4,0,1
2020-01-03,0,10,0
2020-01-04,2,0,0
2020-01-05,0,0,0
2020-01-06,1,0,0
2020-01-07,6,0,1
2020-01-08,1,0,0
2020-01-09,1,0,0
2020-01-10,1,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,3,0,8
2020-01-14,1,0,0
2020-01-15,0,0,0
2020-01-16,1,0,0
2020-01-17,1,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,0,2
2020-01-22,0,0,0
2020-01-23,2,13,0
2020-01-24,0,1,0
2020-01-25,3,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,1,1,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,1,0,0
2020-02-02,0,0,0
2020-02-03,4,0,24
2020-02-04,1,0,11
2020-02-05,2,0,6
2020-02-06,1,0,0
2020-02-07,1,0,2
2020-02-08,0,0,0
2020-02-09,1,0,0
2020-02-10,3,0,0
2020-02-11,2,2,2
2020-02-12,5,2,1
2020-02-13,3,2,0
2020-02-14,6,4,1
2020-02-15,8,0,0
2020-02-16,4,0,0
2020-02-17,9,0,1
2020-02-18,0,1,0
2020-02-19,0,6,0
2020-02-20,1,5,0
2020-02-21,0,24,0
2020-02-22,2,0,0
2020-02-23,1,1,0
2020-02-24,0,8,0
2020-02-25,0,10,0
2020-02-26,0,6,1
2020-02-27,0,5,0
2020-02-28,0,9,0
2020-02-29,1,0,0
2020-03-01,0,3,0
2020-03-02,1,11,0
2020-03-03,0,5,0
2020-03-04,3,0,1
2020-03-05,5,0,5
2020-03-06,2,0,0
2020-03-07,1,0,0
2020-03-08,3,0,0
2020-03-09,5,1,0
2020-03-10,10,1,0
2020-03-11,1,10,0
2020-03-12,3,1,0
2020-03-13,1,1,0
2020-03-14,2,0,0
2020-03-15,2,0,0
2020-03-16,1,3,0
2020-03-17,4,1,0
2020-03-18,18,2,0
2020-03-19,1,3,0
2020-03-20,4,2,0
2020-03-21,1,0,0
2020-03-22,0,0,0
2020-03-23,9,0,0
2020-03-24,8,10,0
2020-03-25,7,2,0
2020-03-26,1,7,0
2020-03-27,0,0,12
2020-03-28,12,0,21
2020-03-29,2,0,0
2020-03-30,8,0,0
2020-03-31,9,7,0
2020-04-01,7,7,0
2020-04-02,2,5,0
2020-04-03,0,1,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,3,1,0
2020-04-07,0,5,2
2020-04-08,3,6,6
2020-04-09,4,1,0
2020-04-10,1,0,0
2020-04-11,2,0,0
2020-04-12,0,0,3
2020-04-13,9,4,0
2020-04-14,10,4,0
2020-04-15,6,4,0
2020-04-16,2,6,0
2020-04-17,6,3,0
2020-04-18,3,0,0
2020-04-19,0,0,0
