,twbs/bootstrap,primer/css,zurb/foundation-sites
2016-02-08,28,0,8
2016-02-09,29,0,11
2016-02-10,0,0,10
2016-02-11,6,4,8
2016-02-12,0,1,4
2016-02-13,0,0,0
2016-02-14,5,0,1
2016-02-15,2,0,10
2016-02-16,33,9,16
2016-02-17,49,4,19
2016-02-18,6,1,22
2016-02-19,15,7,8
2016-02-20,0,0,1
2016-02-21,0,0,0
2016-02-22,0,0,1
2016-02-23,9,0,16
2016-02-24,1,0,24
2016-02-25,3,0,15
2016-02-26,2,0,19
2016-02-27,10,0,0
2016-02-28,11,0,3
2016-02-29,1,0,15
2016-03-01,1,0,23
2016-03-02,1,0,12
2016-03-03,4,0,7
2016-03-04,4,8,10
2016-03-05,2,0,0
2016-03-06,3,0,0
2016-03-07,15,0,2
2016-03-08,0,0,16
2016-03-09,0,0,2
2016-03-10,4,2,8
2016-03-11,6,1,12
2016-03-12,0,2,4
2016-03-13,1,2,2
2016-03-14,7,11,13
2016-03-15,2,0,4
2016-03-16,7,2,24
2016-03-17,1,4,8
2016-03-18,0,0,1
2016-03-19,2,1,1
2016-03-20,0,1,0
2016-03-21,0,3,1
2016-03-22,5,0,5
2016-03-23,0,0,3
2016-03-24,7,0,5
2016-03-25,0,0,0
2016-03-26,0,0,1
2016-03-27,2,0,6
2016-03-28,0,0,13
2016-03-29,0,1,4
2016-03-30,2,1,3
2016-03-31,2,2,0
2016-04-01,0,0,9
2016-04-02,3,0,4
2016-04-03,0,0,4
2016-04-04,3,0,5
2016-04-05,1,0,9
2016-04-06,7,0,6
2016-04-07,2,0,9
2016-04-08,0,0,15
2016-04-09,7,0,4
2016-04-10,5,0,0
2016-04-11,9,0,5
2016-04-12,2,0,13
2016-04-13,1,0,5
2016-04-14,3,0,4
2016-04-15,1,0,10
2016-04-16,0,0,1
2016-04-17,6,0,1
2016-04-18,1,0,4
2016-04-19,1,0,3
