,Immediate-Mode-UI/Nuklear,ocornut/imgui,lvgl/lvgl
2017-02-14,0,0,-0.10504650412499983
2017-02-15,0,0,-0.08785332028749976
2017-02-16,0,0,-0.016116749999999947
2017-02-17,1,0,1.9868379875
2017-02-18,1,0,-0.21109369625000016
2017-02-19,0,0,-0.09956831301562505
2017-02-20,1,0,-0.06539885253593752
2017-02-21,3,0,-0.04132499999999985
2017-02-22,0,0,0.9677665000000001
2017-02-23,1,0,-0.126324025
2017-02-24,2,0,-0.06718739249999997
2017-02-25,3,0,-0.047636626031249976
2017-02-26,0,2,-0.03746020507187488
2017-02-27,0,0,-0.016116749999999947
2017-02-28,0,0,-0.01316201249999996
2017-03-01,2,0,-0.011093696249999967
2017-03-02,2,0,-0.009568313015624975
2017-03-03,0,0,-0.008398852535937478
2017-03-04,2,0,0.0
2017-03-05,0,0,0.0
2017-03-06,0,0,0.0
2017-03-07,0,0,2.0
2017-03-08,0,0,-0.20000000000000018
2017-03-09,1,0,1.91
2017-03-10,0,0,-0.25700000000000023
2017-03-11,0,0,-0.13132499999999991
2017-03-12,5,0,-0.08923349999999994
2017-03-13,0,1,-0.06764902499999977
2017-03-14,0,0,-0.05442089249999983
2017-03-15,4,1,-0.04546065103124987
2017-03-16,1,4,-0.03898509757187489
2017-03-17,2,3,-0.01913662603124995
2017-03-18,4,0,-0.016797705071874957
2017-03-19,0,0,1.0
2017-03-20,0,0,1.9
2017-03-21,2,0,-0.24500000000000022
2017-03-22,0,0,-0.11850000000000009
2017-03-23,0,0,-0.07766249999999997
2017-03-24,0,2,-0.05744174999999979
2017-03-25,3,0,-0.04539551249999985
2017-03-26,2,2,-0.03741772124999989
2017-03-27,0,0,1.968244294484375
2017-03-28,0,0,-0.22753547856718762
2017-03-29,0,1,-0.10679770507187503
2017-03-30,2,0,-0.057000000000000044
2017-03-31,0,0,-0.04132499999999985
2017-04-01,0,2,-0.032233499999999894
2017-04-02,1,0,-0.02632402499999992
2017-04-03,0,0,-0.022187392499999934
2017-04-04,4,0,-0.01913662603124995
2017-04-05,2,0,-0.016797705071874957
2017-04-06,1,0,0.0
2017-04-07,0,0,0.0
2017-04-08,1,0,0.0
2017-04-09,5,0,0.0
2017-04-10,2,0,1.0
2017-04-11,0,0,1.9
2017-04-12,0,0,-0.24500000000000022
2017-04-13,0,1,3.8815
2017-04-14,0,0,-0.4776625000000003
2017-04-15,0,0,-0.23744174999999992
2017-04-16,0,0,-0.15939551249999995
2017-04-17,0,0,-0.12006772124999959
2017-04-18,0,0,1.9037772944843754
2017-04-19,0,0,-0.2801835285671874
2017-04-20,2,0,-0.1511724900718749
2017-04-21,0,0,1.9047267479375
2017-04-22,0,0,-0.2749204101437499
2017-04-23,0,0,0.8777665
2017-04-24,0,0,2.816675975
2017-04-25,0,1,-0.40851239250000004
2017-04-26,0,3,-0.21487012603124994
2017-04-27,1,0,-0.14928423007187486
2017-04-28,0,5,0.8997083575000003
2017-04-29,0,0,-0.18064888853124983
2017-04-30,0,2,-0.11237743882187484
2017-05-01,1,28,2.928650598234375
2017-05-02,0,1,-0.3577662915828126
2017-05-03,0,0,1.8236866923921875
2017-05-04,0,0,-0.2986620125000002
2017-05-05,0,0,-0.1630811962499998
2017-05-06,1,0,-0.11491856301562486
2017-05-07,0,0,-0.08920989003593721
2017-05-08,0,0,2.9344854112500003
2017-05-09,4,0,-0.3550289640468751
2017-05-10,1,0,1.8176160498921876
2017-05-11,0,0,-0.3046366260312502
2017-05-12,0,0,0.8312147949281252
2017-05-13,0,1,1.79464975
2017-05-14,0,1,0.6741889625
2017-05-15,0,0,8.71598541125
2017-05-16,0,2,-1.0776914640468758
2017-05-17,2,1,-0.5383257001078124
2017-05-18,0,0,-0.34169463853124993
2017-05-19,0,0,-0.2562946763218741
2017-05-20,0,0,-0.1899684680156244
2017-05-21,0,0,-0.15708728731718705
2017-05-22,0,0,-0.12620928433749964
2017-05-23,6,0,-0.09451366967656225
2017-05-24,0,0,-0.0755896728234373
2017-05-25,1,0,0.0
2017-05-26,1,5,0.0
2017-05-27,0,1,0.0
2017-05-28,0,0,0.0
2017-05-29,2,0,0.0
2017-05-30,0,0,0.0
2017-05-31,0,0,0.0
2017-06-01,0,1,0.0
2017-06-02,0,6,0.0
2017-06-03,0,0,0.0
2017-06-04,3,0,0.0
2017-06-05,0,0,0.0
2017-06-06,6,0,0.0
2017-06-07,0,0,1.0
2017-06-08,1,0,-0.10000000000000009
2017-06-09,1,0,-0.04500000000000003
2017-06-10,0,0,-0.028500000000000022
2017-06-11,0,0,-0.020662499999999924
2017-06-12,0,0,-0.016116749999999947
2017-06-13,0,2,3.9868379875
2017-06-14,2,0,-0.4110936962500003
2017-06-15,0,0,-0.1895683130156251
2017-06-16,4,1,0.8776011474640625
2017-06-17,0,2,4.81735
2017-06-18,0,0,1.3905329999999998
2017-06-19,0,1,0.4938519499999998
2017-06-20,0,0,0.6024627149999999
2017-06-21,6,1,1.6402974979375005
2017-06-22,2,0,-0.4421661726437497
2017-06-23,0,0,0.7517002412500003
2017-06-24,0,1,-0.28514006926562474
2017-06-25,0,0,-0.19403157261406206
2017-06-26,0,0,2.8538799025390627
2017-06-27,0,0,0.6155537606625
2017-06-28,0,0,0.7087286919484375
2017-06-29,0,0,-0.2711974910671876
2017-06-30,3,0,-0.16337890132187477
2017-07-01,0,0,-0.10708106301562477
2017-07-02,0,1,-0.08466414003593722
2017-07-03,0,2,-0.06255985124999981
2017-07-04,0,0,-0.05296064779687485
2017-07-05,0,0,-0.045858566873437374
2017-07-06,1,0,-0.017967165551562456
2017-07-07,1,0,6.9916011474640625
2017-07-08,0,0,-0.7000000000000006
2017-07-09,0,1,35.685
2017-07-10,0,0,2.200499999999997
2017-07-11,0,0,-2.3646375000000015
2017-07-12,0,0,5.59118275
2017-07-13,0,0,-1.7069840874999977
2017-07-14,0,3,-1.0968338737499976
2017-07-15,0,8,-0.8370111411093731
2017-07-16,0,1,-0.6817746077515605
2017-07-17,2,0,-0.5238386960624986
2017-07-18,0,0,-0.4519026568874988
2017-07-19,0,1,1.8719510110343753
2017-07-20,0,7,1.733021808890625
2017-07-21,0,0,-0.3487919677515626
2017-07-22,0,9,-0.1470000000000001
2017-07-23,1,8,-0.09832499999999988
2017-07-24,2,0,0.9264415000000003
2017-07-25,0,1,4.841442475
2017-07-26,0,12,0.40648858249999964
2017-07-27,0,7,11.60517598146875
2017-07-28,0,0,7.555903168896874
2017-07-29,0,9,-1.6047269550718757
2017-07-30,0,14,21.1385917375
2017-07-31,0,10,-1.797470508750001
2017-08-01,0,0,-1.5475623067656243
2017-08-02,0,0,1.9576709861359383
2017-08-03,0,1,-1.0862200431953102
2017-08-04,0,0,9.266707125026564
2017-08-05,0,3,-1.5780820725718745
2017-08-06,0,2,-0.8448005028234367
2017-08-07,0,8,1.4450531674062506
2017-08-08,0,13,2.3595458936937512
2017-08-09,0,4,-0.5928474412859372
2017-08-10,0,1,-0.3523250640468747
2017-08-11,4,11,3.737041479892188
2017-08-12,4,1,4.41009586984375
2017-08-13,1,0,1.161337199640625
2017-08-14,0,17,2.3993265699999995
2017-08-15,2,10,-0.66756771478125
2017-08-16,0,13,10.594717855881251
2017-08-17,1,10,10.614746642392188
2017-08-18,0,0,2.1005941524999994
2017-08-19,4,0,-1.4219160083125004
2017-08-20,1,25,3.1076020947781258
2017-08-21,1,1,2.9663537725390636
2017-08-22,0,22,2.9536642183812507
2017-08-23,0,0,9.936361633642187
2017-08-24,0,4,5.232326151828125
2017-08-25,0,4,-1.7076989190828125
2017-08-26,0,6,-0.9673245324937494
2017-08-27,2,0,-0.6218727451437487
2017-08-28,0,6,-0.45721783706249847
2017-08-29,0,22,0.6261571652937511
2017-08-30,0,0,-0.3860334084562493
2017-08-31,0,0,-0.26150272706562444
2017-09-01,2,13,-0.18786556900468712
2017-09-02,0,0,-0.07945446775156227
2017-09-03,0,0,4.98388325
2017-09-04,3,5,-0.5131620125000004
2017-09-05,0,2,-0.23609369625000015
2017-09-06,0,10,-0.15206831301562507
2017-09-07,0,0,-0.11171135253593709
2017-09-08,0,0,-0.08058374999999973
2017-09-09,0,0,-0.06581006249999981
2017-09-10,0,0,-0.05546848124999983
2017-09-11,4,2,2.9521584349218752
2017-09-12,0,2,0.6580057373203123
2017-09-13,0,0,3.7649999999999997
2017-09-14,4,5,0.4694999999999996
2017-09-15,0,1,0.6295124999999999
2017-09-16,0,0,-0.32801274999999996
2017-09-17,2,1,-0.2117527874999996
2017-09-18,3,14,-0.16007260124999959
2017-09-19,1,3,-0.1292259352968746
2017-09-20,1,3,-0.10841841812343718
2017-09-21,4,0,0.9290721866515627
2017-09-22,0,0,7.845742580590625
2017-09-23,1,0,3.137032834448437
2017-09-24,1,4,-0.7968988525359382
2017-09-25,0,13,0.5713374999999998
2017-09-26,0,14,-0.39541674999999954
2017-09-27,0,22,5.730253987500001
2017-09-28,0,23,-0.80935679625
2017-09-29,0,17,-0.44162843301562466
2017-09-30,0,1,-0.31643689166093725
2017-10-01,6,0,-0.24260108484999923
2017-10-02,0,3,3.8586103936062504
2017-10-03,0,6,3.511459611984375
2017-10-04,6,5,-0.6549610300359378
2017-10-05,0,10,7.64859012190625
2017-10-06,0,21,-1.0470431152156254
2017-10-07,4,0,-0.5071169999999998
2017-10-08,1,0,-0.3451150499999998
2017-10-09,2,0,9.737677165000001
2017-10-10,0,0,4.788417962937499
2017-10-11,0,10,3.7728352377937497
2017-10-12,0,1,2.8226550198562492
2017-10-13,0,13,-1.0791715041249996
2017-10-14,0,0,-0.6748333202874991
2017-10-15,0,10,0.554366875000001
2017-10-16,0,5,0.5468572125000011
2017-10-17,3,7,1.5624776298437508
2017-10-18,1,9,2.4769850652968755
2017-10-19,0,5,0.41822803470625014
2017-10-20,0,21,6.590953235257812
2017-10-21,0,0,-0.9346991726437504
2017-10-22,0,6,-0.46197670874999985
2017-10-23,0,18,-0.3154987842656248
2017-10-24,0,12,0.7596051544484383
2017-10-25,0,4,-0.286795829817187
2017-10-26,0,1,1.8062695721312503
2017-10-27,0,22,-0.3409207443734374
2017-10-28,0,3,-0.18603954364531228
2017-10-29,0,13,-0.13190871775156235
2017-10-30,0,3,1.9455129875000001
2017-10-31,0,0,2.75667280375
2017-11-01,0,8,1.5741076619843748
2017-11-02,0,8,2.5774137549640623
2017-11-03,0,1,1.4640383739687497
2017-11-04,0,0,0.49698129492812504
2017-11-05,0,0,6.608500725
2017-11-06,0,4,0.042105569999999815
2017-11-07,2,7,5.38808301021875
2017-11-08,2,5,1.9954279258812497
2017-11-09,0,3,1.136807452610938
2017-11-10,0,2,2.2796682008812503
2017-11-11,1,4,0.23684728261093801
2017-11-12,3,2,-0.5678719043374993
2017-11-13,0,5,1.6143819351046882
2017-11-14,3,5,-0.49712949576718685
2017-11-15,1,10,2.715573405620313
2017-11-16,1,6,2.4861117657375003
2017-11-17,0,2,2.4328987151109374
2017-11-18,1,21,-0.6093298403687502
2017-11-19,0,15,11.656423604376563
2017-11-20,0,10,1.573576004964062
2017-11-21,0,0,7.99103958646875
2017-11-22,0,10,5.485084918678124
2017-11-23,0,1,0.4600779347031252
2017-11-24,0,6,-0.11407108540468691
2017-11-25,1,0,-0.8356583966546863
2017-11-26,1,1,8.41050479989219
2017-11-27,3,5,0.6507987925625005
2017-11-28,2,14,1.0206354767718757
2017-11-29,2,6,15.222091976501563
2017-11-30,0,2,1.8891202310671873
2017-12-01,0,3,-0.4523980400328127
2017-12-02,3,0,8.0456173694125
2017-12-03,0,0,0.44360035621406335
2017-12-04,1,0,-1.108644234640624
2017-12-05,0,8,-0.7591353913546866
2017-12-06,0,11,2.4748392288968764
2017-12-07,1,16,2.286196739178126
2017-12-08,2,18,2.2305597986125005
2017-12-09,0,2,-0.6898310144093749
2017-12-10,0,14,-0.39918856217656207
2017-12-11,0,10,6.709435951145313
2017-12-12,0,30,-0.866621492571875
2017-12-13,0,14,0.5638826237500001
2017-12-14,0,3,-0.40097206529687496
2017-12-15,0,6,-0.2768200854046868
2017-12-16,0,0,-0.19521874665468703
2017-12-17,0,1,2.8620068548921878
2017-12-18,0,0,-0.39377262375
2017-12-19,0,0,3.784859796390625
2017-12-20,0,3,5.444614335998438
2017-12-21,0,9,3.1484441869843747
2017-12-22,0,5,5.159250897464062
2017-12-23,2,17,-0.0731360375000003
2017-12-24,0,6,2.2942769112500003
2017-12-25,1,7,-0.7767034890468746
2017-12-26,0,4,-0.5004854176078115
2017-12-27,0,0,-0.36034647956249927
2017-12-28,0,7,-0.2924563982374991
2017-12-29,1,7,-0.2167408072781244
2017-12-30,0,1,-0.14158502198749962
2017-12-31,4,0,3.90675748301875
2018-01-01,7,0,-0.43710379158281276
2018-01-02,5,4,5.794803442392188
2018-01-03,6,18,-0.7140000000000006
2018-01-04,2,2,1.64735
2018-01-05,4,8,1.564533
2018-01-06,1,0,-0.46662304999999965
2018-01-07,5,19,-0.2880752849999997
2018-01-08,2,4,13.7844296729375
2018-01-09,5,0,0.4262839123562494
2018-01-10,0,9,1.0540325969062496
2018-01-11,0,13,-0.7879045327156252
2018-01-12,1,6,-0.477599018531249
2018-01-13,0,0,0.6401061688968759
2018-01-14,0,3,0.6253756199281257
2018-01-15,2,12,3.6411307275000007
2018-01-16,0,0,4.34403220028125
2018-01-17,0,3,-0.8880704540343751
2018-01-18,0,4,3.588286418896875
2018-01-19,0,12,11.328773532428125
2018-01-20,0,6,-1.5720352087500005
2018-01-21,0,12,1.192106190734375
2018-01-22,1,2,-0.7528020130515622
2018-01-23,0,8,2.495442414151564
2018-01-24,0,21,-0.6844860252218743
2018-01-25,0,15,2.5793618023203133
2018-01-26,0,3,2.4108688929375
2018-01-27,0,1,-0.6717266913312496
2018-01-28,2,7,-0.39182387293124965
2018-01-29,0,12,0.7938898364687503
2018-01-30,2,13,3.7395834561781256
2018-01-31,2,15,2.438458773453125
2018-02-01,2,18,-0.6064636838578126
2018-02-02,2,2,-0.3316485277968749
2018-02-03,0,0,0.761831753345313
2018-02-04,2,6,-0.2648130701078121
2018-02-05,0,26,5.842908003750001
2018-02-06,0,23,0.2780708644843747
2018-02-07,0,0,3.5293843066515627
2018-02-08,0,2,-0.6944170991906253
2018-02-09,0,2,1.629166429892188
2018-02-10,4,2,-0.44245669624999984
2018-02-11,2,1,-0.27730713801562445
2018-02-12,1,10,-0.20959004253593708
2018-02-13,0,13,-0.1624766243437495
2018-02-14,0,7,-0.1365697132312496
2018-02-15,0,4,3.927003870401563
2018-02-16,0,15,1.5442171973562497
2018-02-17,1,0,0.6008633739687497
2018-02-18,0,2,-0.3207977050718752
2018-02-19,0,0,-0.1846499999999998
2018-02-20,0,11,2.865708
2018-02-21,2,4,-0.40554404999999993
2018-02-22,0,12,-0.22181555999999983
2018-02-23,1,3,10.8408773429375
2018-02-24,0,0,8.774186767575
2018-02-25,0,5,-1.5697162680875012
2018-02-26,0,2,1.188615109964062
2018-02-27,0,0,4.254431411250001
2018-02-28,0,3,3.997385810953126
2018-03-01,2,7,4.886853804892188
2018-03-02,1,0,1.7375242162500002
2018-03-03,0,6,-1.0642344056718744
2018-03-04,0,4,5.295709216948438
2018-03-05,1,4,0.9379552696406255
2018-03-06,0,1,-0.7691031697812494
2018-03-07,0,2,13.4915699236
2018-03-08,0,5,-1.7768590427578128
2018-03-09,0,2,1.0992892704765629
2018-03-10,0,1,1.2106963707375
2018-03-11,0,0,-0.6973577601078114
2018-03-12,0,7,7.547768229406251
2018-03-13,0,4,-1.152122916246875
2018-03-14,2,0,-0.6056679525718744
2018-03-15,0,0,-0.42051390721874965
2018-03-16,0,0,2.668604646996876
2018-03-17,0,5,-0.4702580185312497
2018-03-18,0,2,-0.27623043110312473
2018-03-19,0,6,0.8089527249281252
2018-03-20,1,7,-0.23853400412499967
2018-03-21,0,0,0.8394589297125004
2018-03-22,0,4,6.8320139625
2018-03-23,2,1,-0.7989435887500005
2018-03-24,1,0,-0.38832168904687514
2018-03-25,1,1,-0.25852107010781245
2018-03-26,0,0,-0.17184794624999938
2018-03-27,0,0,-0.13554757551562457
2018-03-28,0,1,-0.11162663628593716
2018-03-29,0,0,0.9127758132343753
2018-03-30,2,0,-0.1753770436453124
2018-03-31,0,0,-0.10379196775156238
2018-04-01,4,0,-0.028500000000000022
2018-04-02,6,1,-0.020662499999999924
2018-04-03,0,6,4.98388325
2018-04-04,1,5,0.4868379874999996
2018-04-05,3,0,1.6639063037499997
2018-04-06,5,8,-0.3970683130156253
2018-04-07,0,4,-0.23021135253593716
2018-04-08,0,1,-0.1582462499999997
2018-04-09,0,5,2.8767481875000005
2018-04-10,0,3,-0.4008639937499999
2018-04-11,1,3,-0.22025928632812486
2018-04-12,1,1,-0.15924996819531237
2018-04-13,1,1,0.9104770214328128
2018-04-14,1,1,0.8348520449281251
2018-04-15,3,0,-0.1844860375
2018-04-16,0,0,-0.10678108874999995
2018-04-17,0,1,2.9221325609531252
2018-04-18,0,5,1.6380241923921874
2018-04-19,0,4,-0.3642787625000002
2018-04-20,0,2,-0.19975570875000004
2018-04-21,0,0,-0.13964950926562475
2018-04-22,0,0,-0.10764241555156215
2018-04-23,4,3,-0.08011839003593726
2018-04-24,0,2,-0.05960511374999983
2018-04-25,0,9,-0.050892331546874864
2018-04-26,0,1,-0.044333183639062385
2018-04-27,0,8,-0.016797705071874957
2018-04-28,0,2,0.0
2018-04-29,0,1,0.0
2018-04-30,0,7,0.0
2018-05-01,0,0,0.0
2018-05-02,0,0,0.0
2018-05-03,0,14,0.0
2018-05-04,0,5,0.0
2018-05-05,0,0,0.0
2018-05-06,0,0,0.0
2018-05-07,1,9,0.0
2018-05-08,0,6,4.0
2018-05-09,0,5,-0.40000000000000036
2018-05-10,0,1,-0.18000000000000013
2018-05-11,1,3,-0.11400000000000009
2018-05-12,0,5,-0.0826499999999997
2018-05-13,0,6,-0.06446699999999979
2018-05-14,3,7,-0.05264804999999984
2018-05-15,0,0,-0.04437478499999987
2018-05-16,0,1,4.9617267479375
2018-05-17,0,4,1.4664045898562497
2018-05-18,0,1,-0.4250000000000004
2018-05-19,0,0,-0.23250000000000015
2018-05-20,0,0,5.8396875
2018-05-21,0,4,-0.7219087500000001
2018-05-22,1,0,1.6319564375
2018-05-23,0,2,-0.45279250625000006
2018-05-24,0,2,-0.2840039575781244
2018-05-25,0,2,0.7851686112890629
2018-05-26,0,0,5.762905219928125
2018-05-27,0,1,-0.7437956775000003
2018-05-28,0,6,-0.38223390309375
2018-05-29,0,1,-0.2642430077156248
2018-05-30,0,2,0.8407716239687506
2018-05-31,0,0,0.7733397824281253
2018-06-01,0,0,3.76493422875
2018-06-02,0,0,-0.5496304905156252
2018-06-03,0,0,-0.29497123062968744
2018-06-04,0,3,-0.20117236521562482
2018-06-05,0,6,-0.11192876249999961
2018-06-06,0,5,-0.08872270874999971
2018-06-07,0,3,21.926689940734374
2018-06-08,0,2,-0.2623419505515643
2018-06-09,0,0,1.7633278954015617
2018-06-10,3,4,-1.0505954101437507
2018-06-11,0,7,5.353425000000001
2018-06-12,0,6,3.918606500000001
2018-06-13,0,4,-0.1537852749999995
2018-06-14,0,2,4.1852644075
2018-06-15,0,1,1.9163486836562504
2018-06-16,0,2,0.00929452942812592
2018-06-17,0,0,0.39677903088125044
2018-06-18,0,0,2.492501952392188
2018-06-19,0,0,13.35788837815625
2018-06-20,0,2,-1.8076511890437508
2018-06-21,2,2,0.10120365555468758
2018-06-22,0,3,1.3202122311359377
2018-06-23,0,1,-0.6775801604765612
2018-06-24,0,0,-0.4294791043734366
2018-06-25,0,4,-0.31317892930156177
2018-06-26,0,2,0.7501427109171883
2018-06-27,0,2,-0.304548452326562
2018-06-28,0,3,-0.20000165675312462
