,gorhill/ublock,brave/brave-browser,adblockplus/adblockplus
2018-11-04,6,1,0
2018-11-05,3,0,0
2018-11-06,7,2,0
2018-11-07,0,2,2
2018-11-08,9,2,0
2018-11-09,0,5,0
2018-11-10,0,1,0
2018-11-11,0,0,0
2018-11-12,0,1,1
2018-11-13,0,2,1
2018-11-14,1,1,0
2018-11-15,0,2,0
2018-11-16,2,0,0
2018-11-17,2,0,0
2018-11-18,5,0,0
2018-11-19,1,4,0
2018-11-20,0,5,1
2018-11-21,0,0,1
2018-11-22,0,2,1
2018-11-23,0,0,1
2018-11-24,5,0,0
2018-11-25,5,0,0
2018-11-26,3,1,0
2018-11-27,0,0,2
2018-11-28,0,0,1
2018-11-29,0,4,3
2018-11-30,0,0,1
2018-12-01,3,0,0
2018-12-02,0,0,0
2018-12-03,2,0,1
2018-12-04,4,74,2
2018-12-05,4,3,0
2018-12-06,12,4,0
2018-12-07,3,2,0
2018-12-08,5,1,0
2018-12-09,0,0,0
2018-12-10,0,3,0
2018-12-11,0,2,0
2018-12-12,0,14,0
2018-12-13,3,12,0
2018-12-14,11,4,0
2018-12-15,4,0,0
2018-12-16,8,0,0
2018-12-17,4,2,0
2018-12-18,9,2,0
2018-12-19,8,2,0
2018-12-20,7,1,0
2018-12-21,12,0,0
2018-12-22,12,0,0
2018-12-23,11,5,0
2018-12-24,5,1,0
2018-12-25,2,0,0
2018-12-26,5,1,0
2018-12-27,5,0,0
2018-12-28,5,0,0
2018-12-29,5,0,0
2018-12-30,0,0,0
2018-12-31,2,0,0
2019-01-01,16,0,0
2019-01-02,0,1,1
2019-01-03,0,1,2
2019-01-04,0,1,0
2019-01-05,0,0,0
2019-01-06,0,0,0
2019-01-07,0,1,2
2019-01-08,7,5,2
2019-01-09,0,0,1
2019-01-10,0,0,2
2019-01-11,2,5,1
2019-01-12,7,1,0
2019-01-13,1,2,0
2019-01-14,10,3,1
2019-01-15,9,1,0
2019-01-16,7,4,2
2019-01-17,7,4,3
2019-01-18,4,0,0
2019-01-19,4,0,0
2019-01-20,4,0,0
2019-01-21,1,0,4
2019-01-22,4,2,4
2019-01-23,1,1,1
2019-01-24,2,8,5
2019-01-25,5,0,1
2019-01-26,5,0,0
2019-01-27,4,0,0
2019-01-28,5,0,0
2019-01-29,4,1,0
2019-01-30,0,4,1
2019-01-31,0,1,2
2019-02-01,7,1,1
2019-02-02,4,0,0
2019-02-03,0,0,0
2019-02-04,0,0,0
2019-02-05,3,4,1
2019-02-06,0,1,0
2019-02-07,0,3,0
2019-02-08,1,1,2
2019-02-09,0,0,0
2019-02-10,4,0,0
2019-02-11,0,6,2
2019-02-12,6,3,3
2019-02-13,0,1,1
2019-02-14,3,3,1
2019-02-15,5,4,1
2019-02-16,1,0,0
2019-02-17,8,0,0
2019-02-18,7,0,1
2019-02-19,2,0,1
2019-02-20,6,0,2
2019-02-21,0,3,0
2019-02-22,0,5,2
2019-02-23,0,1,0
2019-02-24,7,0,0
2019-02-25,0,0,0
2019-02-26,4,0,1
2019-02-27,0,2,0
2019-02-28,0,5,0
2019-03-01,0,3,1
2019-03-02,0,0,0
2019-03-03,0,0,0
2019-03-04,0,0,1
2019-03-05,7,6,1
2019-03-06,3,7,4
2019-03-07,0,3,4
2019-03-08,3,1,1
2019-03-09,0,0,0
2019-03-10,0,0,0
2019-03-11,0,1,0
2019-03-12,1,4,1
2019-03-13,4,1,1
2019-03-14,3,1,1
2019-03-15,3,4,2
2019-03-16,3,0,0
2019-03-17,5,0,0
2019-03-18,0,0,1
2019-03-19,0,1,1
2019-03-20,0,5,0
2019-03-21,5,7,0
2019-03-22,0,2,0
2019-03-23,7,7,0
2019-03-24,0,2,0
2019-03-25,0,2,1
2019-03-26,1,3,0
2019-03-27,0,5,3
2019-03-28,4,3,0
2019-03-29,0,6,2
2019-03-30,0,3,0
2019-03-31,2,0,0
2019-04-01,0,5,0
2019-04-02,0,10,1
2019-04-03,7,11,0
2019-04-04,0,10,1
2019-04-05,0,10,5
2019-04-06,1,1,0
2019-04-07,0,3,0
2019-04-08,1,4,2
2019-04-09,0,9,1
2019-04-10,0,6,0
2019-04-11,0,6,1
2019-04-12,1,7,0
2019-04-13,1,2,0
2019-04-14,8,0,0
2019-04-15,2,9,0
2019-04-16,3,8,1
2019-04-17,1,9,1
2019-04-18,2,8,1
2019-04-19,4,4,0
2019-04-20,11,4,0
2019-04-21,9,0,0
2019-04-22,1,5,0
2019-04-23,6,9,0
2019-04-24,3,8,3
2019-04-25,6,4,1
2019-04-26,5,4,2
2019-04-27,8,1,0
2019-04-28,6,0,0
2019-04-29,3,4,1
2019-04-30,11,4,3
2019-05-01,7,5,0
2019-05-02,4,8,0
2019-05-03,0,3,0
2019-05-04,0,1,0
2019-05-05,0,0,0
2019-05-06,6,6,1
2019-05-07,0,6,0
2019-05-08,0,8,1
2019-05-09,0,4,0
2019-05-10,3,6,0
2019-05-11,9,2,0
2019-05-12,1,0,0
2019-05-13,0,4,0
2019-05-14,9,7,1
2019-05-15,4,16,1
2019-05-16,4,5,1
2019-05-17,8,8,4
2019-05-18,10,1,0
2019-05-19,6,0,0
2019-05-20,5,5,2
2019-05-21,7,4,0
2019-05-22,5,11,1
2019-05-23,9,5,2
2019-05-24,6,8,2
2019-05-25,6,2,0
2019-05-26,4,0,0
2019-05-27,0,0,1
2019-05-28,7,6,3
2019-05-29,0,8,0
2019-05-30,0,7,0
2019-05-31,5,3,0
2019-06-01,0,2,0
2019-06-02,0,0,0
2019-06-03,4,14,1
2019-06-04,0,14,1
2019-06-05,1,5,4
2019-06-06,0,5,3
2019-06-07,0,5,2
2019-06-08,0,1,0
2019-06-09,0,0,0
2019-06-10,0,5,0
2019-06-11,0,6,3
2019-06-12,0,17,2
2019-06-13,0,10,2
2019-06-14,2,13,0
2019-06-15,2,2,0
2019-06-16,0,1,0
2019-06-17,1,4,0
2019-06-18,3,9,0
2019-06-19,5,7,1
2019-06-20,5,6,0
2019-06-21,0,6,0
2019-06-22,5,1,0
2019-06-23,6,1,0
2019-06-24,1,7,0
2019-06-25,2,8,1
2019-06-26,7,7,0
2019-06-27,4,6,0
2019-06-28,1,7,0
2019-06-29,7,1,0
2019-06-30,10,0,0
2019-07-01,0,8,1
2019-07-02,5,7,1
2019-07-03,9,5,2
2019-07-04,5,4,0
2019-07-05,12,4,3
2019-07-06,8,1,0
2019-07-07,5,0,0
2019-07-08,8,14,0
2019-07-09,4,12,0
2019-07-10,5,8,1
2019-07-11,5,14,2
2019-07-12,4,7,0
2019-07-13,3,1,0
2019-07-14,0,0,0
2019-07-15,0,11,0
2019-07-16,0,8,1
2019-07-17,1,5,3
2019-07-18,5,4,1
2019-07-19,4,4,0
2019-07-20,0,1,0
2019-07-21,6,0,0
2019-07-22,10,5,2
2019-07-23,4,10,0
2019-07-24,0,5,2
2019-07-25,0,4,1
2019-07-26,7,3,3
2019-07-27,0,1,0
2019-07-28,0,0,0
2019-07-29,1,4,1
2019-07-30,4,6,2
2019-07-31,0,5,0
2019-08-01,0,7,1
2019-08-02,0,5,0
2019-08-03,4,1,0
2019-08-04,0,1,0
2019-08-05,0,4,0
2019-08-06,2,5,0
2019-08-07,1,7,0
2019-08-08,0,5,0
2019-08-09,1,5,1
2019-08-10,3,1,0
2019-08-11,5,0,0
2019-08-12,0,6,0
2019-08-13,5,7,1
2019-08-14,3,8,1
2019-08-15,0,8,2
2019-08-16,3,6,2
2019-08-17,3,1,0
2019-08-18,2,0,0
2019-08-19,3,6,0
2019-08-20,0,7,4
2019-08-21,5,11,6
2019-08-22,7,7,3
2019-08-23,4,6,1
2019-08-24,4,1,0
2019-08-25,7,0,0
2019-08-26,0,6,2
2019-08-27,0,4,2
2019-08-28,0,8,1
2019-08-29,0,11,0
2019-08-30,2,9,0
2019-08-31,0,4,0
2019-09-01,3,0,0
2019-09-02,3,4,0
2019-09-03,0,8,0
2019-09-04,1,10,1
2019-09-05,0,4,2
2019-09-06,9,10,2
2019-09-07,4,1,0
2019-09-08,1,0,0
2019-09-09,3,3,2
2019-09-10,5,6,0
2019-09-11,4,7,0
2019-09-12,3,6,0
2019-09-13,0,6,0
2019-09-14,0,2,0
2019-09-15,13,0,0
2019-09-16,4,3,0
2019-09-17,5,6,0
2019-09-18,5,5,1
2019-09-19,11,10,0
2019-09-20,4,5,1
2019-09-21,9,1,0
2019-09-22,6,0,0
2019-09-23,4,4,0
2019-09-24,3,4,0
2019-09-25,4,8,0
2019-09-26,9,3,0
2019-09-27,0,5,0
2019-09-28,4,1,0
2019-09-29,2,0,0
2019-09-30,12,1,1
2019-10-01,3,5,1
2019-10-02,0,3,2
2019-10-03,4,6,0
2019-10-04,0,3,0
2019-10-05,0,1,0
2019-10-06,0,0,0
2019-10-07,4,5,1
2019-10-08,1,4,0
2019-10-09,0,10,2
2019-10-10,0,15,1
2019-10-11,5,8,0
2019-10-12,0,1,0
2019-10-13,0,0,0
2019-10-14,3,5,0
2019-10-15,4,7,1
2019-10-16,0,7,3
2019-10-17,3,6,0
2019-10-18,0,4,0
2019-10-19,0,1,0
2019-10-20,0,0,0
2019-10-21,5,6,0
2019-10-22,1,13,0
2019-10-23,0,8,3
2019-10-24,0,6,0
2019-10-25,0,2,1
2019-10-26,11,0,0
2019-10-27,5,0,0
2019-10-28,3,10,0
2019-10-29,3,6,0
2019-10-30,0,10,0
2019-10-31,8,7,0
2019-11-01,7,10,0
2019-11-02,11,1,0
2019-11-03,5,2,0
2019-11-04,6,6,0
2019-11-05,3,8,0
2019-11-06,3,9,1
2019-11-07,0,7,1
2019-11-08,1,9,0
2019-11-09,7,4,0
2019-11-10,2,1,0
2019-11-11,0,6,2
2019-11-12,3,8,3
2019-11-13,0,6,0
2019-11-14,3,4,1
2019-11-15,0,10,2
2019-11-16,0,1,0
2019-11-17,0,0,0
2019-11-18,2,14,0
2019-11-19,7,15,0
2019-11-20,5,8,0
2019-11-21,3,12,1
2019-11-22,0,9,0
2019-11-23,5,2,0
2019-11-24,1,1,0
2019-11-25,0,5,3
2019-11-26,0,4,1
2019-11-27,0,12,0
2019-11-28,0,4,0
2019-11-29,0,2,0
2019-11-30,0,1,0
2019-12-01,8,0,0
2019-12-02,0,17,1
2019-12-03,0,15,1
2019-12-04,5,3,2
2019-12-05,5,9,0
2019-12-06,0,6,1
2019-12-07,0,1,0
2019-12-08,4,0,0
2019-12-09,0,5,2
2019-12-10,0,7,0
2019-12-11,0,1,0
2019-12-12,0,10,0
2019-12-13,0,5,0
2019-12-14,1,4,0
2019-12-15,0,0,0
2019-12-16,0,5,1
