,serverless/serverless,apache/openwhisk,aws/chalice
2016-12-25,0,0,0
2016-12-26,0,0,0
2016-12-27,2,0,20
2016-12-28,5,0,12
2016-12-29,2,0,14
2016-12-30,4,0,2
2016-12-31,0,0,0
2017-01-01,1,0,1
2017-01-02,13,0,0
2017-01-03,7,1,0
2017-01-04,3,2,0
2017-01-05,5,0,7
2017-01-06,24,0,0
2017-01-07,0,2,1
2017-01-08,1,0,1
2017-01-09,4,1,0
2017-01-10,3,0,0
2017-01-11,6,0,0
2017-01-12,1,1,0
2017-01-13,0,1,0
2017-01-14,7,0,0
2017-01-15,7,1,0
2017-01-16,3,1,0
2017-01-17,5,3,0
2017-01-18,7,3,0
2017-01-19,5,4,0
2017-01-20,8,3,1
2017-01-21,0,0,0
2017-01-22,0,0,0
2017-01-23,9,0,0
2017-01-24,7,2,0
2017-01-25,16,12,0
2017-01-26,12,2,5
2017-01-27,17,5,0
2017-01-28,4,0,0
2017-01-29,1,1,0
2017-01-30,12,3,0
2017-01-31,5,3,0
2017-02-01,2,4,1
2017-02-02,0,6,0
2017-02-03,3,3,0
2017-02-04,3,2,0
2017-02-05,2,0,0
2017-02-06,5,2,0
2017-02-07,9,2,8
2017-02-08,13,2,2
2017-02-09,8,7,0
2017-02-10,7,6,0
2017-02-11,1,0,0
2017-02-12,0,0,0
2017-02-13,3,5,0
2017-02-14,9,2,1
2017-02-15,0,1,3
2017-02-16,3,1,7
2017-02-17,2,4,0
2017-02-18,0,0,0
2017-02-19,5,0,0
2017-02-20,9,5,1
2017-02-21,0,6,2
2017-02-22,22,4,3
2017-02-23,8,0,1
2017-02-24,5,4,7
2017-02-25,2,1,0
2017-02-26,0,0,0
2017-02-27,7,5,0
2017-02-28,7,0,0
2017-03-01,11,2,1
2017-03-02,8,6,0
2017-03-03,6,4,0
2017-03-04,1,1,0
2017-03-05,0,2,0
2017-03-06,15,5,0
2017-03-07,5,10,0
2017-03-08,4,2,0
2017-03-09,8,3,0
2017-03-10,5,11,0
2017-03-11,5,3,0
2017-03-12,1,0,0
2017-03-13,11,1,0
2017-03-14,8,4,0
2017-03-15,8,2,5
2017-03-16,6,4,0
2017-03-17,5,2,0
2017-03-18,0,3,0
2017-03-19,0,0,0
2017-03-20,2,1,0
2017-03-21,4,3,1
2017-03-22,2,1,0
2017-03-23,11,0,1
2017-03-24,3,2,2
2017-03-25,1,1,0
2017-03-26,1,0,0
2017-03-27,3,2,2
2017-03-28,1,3,0
2017-03-29,14,1,10
2017-03-30,10,2,2
2017-03-31,5,1,3
2017-04-01,0,0,2
2017-04-02,0,0,1
2017-04-03,5,2,12
2017-04-04,0,2,3
2017-04-05,8,0,1
2017-04-06,27,1,0
2017-04-07,2,7,0
2017-04-08,6,1,0
2017-04-09,4,0,0
2017-04-10,3,1,0
2017-04-11,18,1,0
2017-04-12,14,2,0
2017-04-13,11,2,5
2017-04-14,11,1,0
2017-04-15,2,1,0
2017-04-16,1,0,0
2017-04-17,9,0,3
2017-04-18,1,0,10
2017-04-19,1,5,2
2017-04-20,11,2,0
2017-04-21,5,3,0
2017-04-22,0,3,0
2017-04-23,2,1,0
2017-04-24,5,1,0
2017-04-25,1,3,0
2017-04-26,18,2,6
2017-04-27,14,7,0
2017-04-28,3,3,10
2017-04-29,0,0,7
2017-04-30,1,0,0
2017-05-01,4,2,9
2017-05-02,2,1,10
2017-05-03,18,0,0
2017-05-04,2,6,6
2017-05-05,3,1,10
2017-05-06,1,0,0
2017-05-07,0,0,0
2017-05-08,4,0,11
2017-05-09,4,3,0
2017-05-10,7,5,0
2017-05-11,27,0,3
2017-05-12,16,1,1
2017-05-13,0,0,0
2017-05-14,0,0,1
2017-05-15,7,4,1
2017-05-16,2,2,0
2017-05-17,27,3,0
2017-05-18,10,2,0
2017-05-19,6,2,0
2017-05-20,2,0,0
2017-05-21,1,0,0
2017-05-22,4,2,8
2017-05-23,11,1,4
2017-05-24,74,3,12
2017-05-25,19,3,10
2017-05-26,15,3,1
2017-05-27,6,0,0
2017-05-28,0,0,0
2017-05-29,10,1,1
2017-05-30,16,1,22
2017-05-31,13,2,5
2017-06-01,23,2,0
2017-06-02,2,0,0
2017-06-03,0,1,0
2017-06-04,2,0,0
2017-06-05,9,1,0
2017-06-06,7,2,11
2017-06-07,23,1,1
2017-06-08,12,6,12
2017-06-09,12,4,0
2017-06-10,7,0,0
2017-06-11,11,0,0
2017-06-12,11,1,0
2017-06-13,14,3,1
2017-06-14,6,3,3
2017-06-15,5,1,0
2017-06-16,27,2,0
2017-06-17,2,3,0
2017-06-18,1,0,0
2017-06-19,16,1,1
2017-06-20,11,4,3
2017-06-21,16,3,5
2017-06-22,3,6,4
2017-06-23,12,4,0
2017-06-24,18,1,0
2017-06-25,5,0,0
2017-06-26,32,5,5
2017-06-27,23,3,0
2017-06-28,12,3,0
2017-06-29,6,5,0
2017-06-30,14,7,0
2017-07-01,0,3,0
2017-07-02,2,0,0
2017-07-03,14,0,0
2017-07-04,3,0,2
2017-07-05,15,0,32
2017-07-06,8,1,1
2017-07-07,17,1,1
2017-07-08,0,0,4
2017-07-09,0,0,0
2017-07-10,9,1,1
2017-07-11,4,1,4
2017-07-12,9,3,0
2017-07-13,1,3,0
2017-07-14,1,5,0
2017-07-15,1,1,0
2017-07-16,2,1,1
2017-07-17,11,1,0
2017-07-18,7,2,1
2017-07-19,14,7,0
2017-07-20,15,3,0
2017-07-21,8,1,1
2017-07-22,3,0,0
2017-07-23,7,1,0
2017-07-24,4,2,0
2017-07-25,1,0,7
2017-07-26,8,4,17
2017-07-27,5,2,7
2017-07-28,7,5,12
2017-07-29,1,0,1
2017-07-30,2,0,0
2017-07-31,1,2,18
2017-08-01,1,3,4
2017-08-02,5,3,2
2017-08-03,11,7,1
2017-08-04,6,4,12
2017-08-05,14,1,0
2017-08-06,0,0,2
2017-08-07,10,2,5
2017-08-08,18,2,3
2017-08-09,6,4,0
2017-08-10,7,2,0
2017-08-11,12,4,2
2017-08-12,2,1,0
2017-08-13,15,1,0
2017-08-14,22,0,7
2017-08-15,29,1,0
2017-08-16,7,8,2
2017-08-17,46,7,5
2017-08-18,15,1,1
2017-08-19,2,1,0
2017-08-20,4,0,0
2017-08-21,30,2,4
2017-08-22,12,2,0
2017-08-23,11,2,0
2017-08-24,12,2,1
2017-08-25,9,0,1
2017-08-26,4,0,0
2017-08-27,2,1,0
2017-08-28,16,0,0
2017-08-29,12,0,0
2017-08-30,6,0,1
2017-08-31,10,6,6
2017-09-01,20,2,4
2017-09-02,16,0,0
2017-09-03,3,0,0
2017-09-04,19,0,0
2017-09-05,13,4,13
2017-09-06,31,4,7
2017-09-07,21,5,6
2017-09-08,16,3,1
2017-09-09,6,0,0
2017-09-10,0,0,0
2017-09-11,11,3,1
2017-09-12,19,6,2
2017-09-13,16,3,1
2017-09-14,17,7,1
2017-09-15,10,4,2
2017-09-16,1,2,0
2017-09-17,4,0,0
2017-09-18,12,3,0
2017-09-19,13,2,2
2017-09-20,25,5,13
2017-09-21,39,8,2
2017-09-22,17,3,2
2017-09-23,1,0,0
2017-09-24,1,0,0
2017-09-25,0,2,0
2017-09-26,1,1,4
2017-09-27,2,1,6
2017-09-28,5,3,0
2017-09-29,10,1,0
2017-09-30,1,0,0
2017-10-01,2,1,0
2017-10-02,5,0,9
2017-10-03,7,1,0
2017-10-04,14,3,0
2017-10-05,6,0,0
2017-10-06,13,1,0
2017-10-07,4,0,1
2017-10-08,1,0,0
2017-10-09,11,0,0
2017-10-10,12,1,0
2017-10-11,9,0,1
2017-10-12,12,1,1
2017-10-13,4,0,1
2017-10-14,9,0,0
2017-10-15,7,0,0
2017-10-16,6,2,0
2017-10-17,10,9,0
2017-10-18,6,4,0
2017-10-19,15,1,0
2017-10-20,9,3,0
2017-10-21,2,3,0
2017-10-22,1,1,0
2017-10-23,0,2,0
2017-10-24,2,2,0
2017-10-25,4,2,10
2017-10-26,9,3,0
2017-10-27,10,1,0
2017-10-28,1,0,0
2017-10-29,0,0,2
2017-10-30,1,1,2
2017-10-31,1,4,1
2017-11-01,2,1,0
2017-11-02,2,0,0
2017-11-03,0,1,1
2017-11-04,2,0,0
2017-11-05,1,0,0
2017-11-06,7,1,1
2017-11-07,7,2,1
2017-11-08,5,4,0
2017-11-09,1,4,0
2017-11-10,1,4,0
2017-11-11,1,1,0
2017-11-12,0,0,1
2017-11-13,7,3,0
2017-11-14,1,1,1
2017-11-15,4,3,1
2017-11-16,8,4,15
2017-11-17,0,4,1
2017-11-18,11,1,0
2017-11-19,1,0,0
2017-11-20,0,4,0
2017-11-21,6,1,0
2017-11-22,0,2,5
2017-11-23,2,2,0
2017-11-24,0,2,0
2017-11-25,0,0,3
2017-11-26,0,0,0
2017-11-27,4,3,0
2017-11-28,2,2,4
2017-11-29,10,2,0
2017-11-30,5,0,1
2017-12-01,3,8,0
2017-12-02,3,2,0
2017-12-03,8,0,1
2017-12-04,1,2,0
2017-12-05,5,2,6
2017-12-06,15,5,5
2017-12-07,6,2,0
2017-12-08,2,5,0
2017-12-09,7,4,0
2017-12-10,3,0,0
2017-12-11,7,3,0
2017-12-12,7,6,0
2017-12-13,0,5,0
2017-12-14,7,1,3
2017-12-15,16,0,0
2017-12-16,1,0,0
2017-12-17,2,0,0
2017-12-18,2,0,1
2017-12-19,3,3,0
2017-12-20,6,0,0
2017-12-21,5,2,0
2017-12-22,6,0,0
2017-12-23,2,0,0
2017-12-24,0,1,0
2017-12-25,2,0,0
2017-12-26,0,0,0
2017-12-27,0,0,0
2017-12-28,3,0,0
2017-12-29,0,0,0
2017-12-30,0,0,0
2017-12-31,0,0,0
2018-01-01,0,0,0
2018-01-02,6,1,0
2018-01-03,7,4,0
2018-01-04,8,3,1
2018-01-05,4,5,5
2018-01-06,1,0,2
2018-01-07,4,0,0
2018-01-08,1,5,1
2018-01-09,5,0,0
2018-01-10,4,0,0
2018-01-11,0,8,1
2018-01-12,8,4,1
2018-01-13,4,1,0
2018-01-14,1,2,0
2018-01-15,3,0,2
2018-01-16,1,2,0
2018-01-17,0,2,1
2018-01-18,5,3,0
2018-01-19,9,0,1
2018-01-20,0,0,0
2018-01-21,0,0,0
2018-01-22,7,2,0
2018-01-23,8,3,0
2018-01-24,0,3,0
2018-01-25,2,0,1
2018-01-26,2,4,0
2018-01-27,1,1,0
2018-01-28,0,0,0
2018-01-29,4,0,0
2018-01-30,2,3,0
2018-01-31,3,2,0
2018-02-01,3,2,0
2018-02-02,21,0,0
2018-02-03,6,0,0
2018-02-04,1,0,0
2018-02-05,9,0,0
2018-02-06,2,5,0
2018-02-07,4,3,0
2018-02-08,16,2,0
2018-02-09,1,0,0
2018-02-10,0,3,0
2018-02-11,1,3,0
2018-02-12,1,2,0
2018-02-13,0,3,0
2018-02-14,0,6,0
2018-02-15,2,5,0
2018-02-16,0,4,0
2018-02-17,4,0,0
2018-02-18,0,0,0
2018-02-19,1,3,0
2018-02-20,2,12,0
2018-02-21,10,7,1
2018-02-22,3,2,0
2018-02-23,4,6,0
2018-02-24,5,5,0
2018-02-25,1,0,1
2018-02-26,4,6,1
2018-02-27,9,4,3
2018-02-28,11,6,0
2018-03-01,5,4,0
2018-03-02,6,3,1
2018-03-03,0,0,2
2018-03-04,4,0,0
2018-03-05,8,4,1
2018-03-06,6,6,0
2018-03-07,1,7,0
2018-03-08,3,2,0
2018-03-09,0,2,2
2018-03-10,1,0,0
2018-03-11,1,0,0
2018-03-12,15,2,1
2018-03-13,4,2,0
2018-03-14,2,3,0
2018-03-15,2,3,0
2018-03-16,0,2,0
2018-03-17,0,2,0
2018-03-18,0,1,1
2018-03-19,2,3,52
2018-03-20,0,5,24
2018-03-21,5,5,5
2018-03-22,2,1,3
2018-03-23,1,2,1
2018-03-24,1,0,0
2018-03-25,0,0,0
2018-03-26,2,4,1
2018-03-27,17,0,0
2018-03-28,9,2,4
2018-03-29,2,0,1
2018-03-30,0,0,2
2018-03-31,0,1,0
2018-04-01,0,1,0
2018-04-02,3,2,3
2018-04-03,2,7,13
2018-04-04,2,3,8
2018-04-05,10,2,1
2018-04-06,2,1,1
2018-04-07,5,0,0
2018-04-08,2,0,0
2018-04-09,9,0,0
2018-04-10,1,1,7
2018-04-11,1,0,0
2018-04-12,0,2,3
2018-04-13,0,5,4
2018-04-14,0,0,0
2018-04-15,2,0,0
2018-04-16,0,1,0
2018-04-17,7,2,0
2018-04-18,4,2,0
2018-04-19,2,3,0
2018-04-20,2,1,0
2018-04-21,0,0,5
2018-04-22,1,0,0
2018-04-23,1,3,1
2018-04-24,1,2,0
2018-04-25,4,3,0
2018-04-26,5,6,0
2018-04-27,1,2,1
2018-04-28,0,0,0
2018-04-29,0,0,0
2018-04-30,4,2,3
2018-05-01,6,2,1
2018-05-02,7,4,1
2018-05-03,5,3,0
2018-05-04,1,3,0
2018-05-05,3,0,0
2018-05-06,2,2,0
2018-05-07,0,0,2
2018-05-08,2,5,7
2018-05-09,1,5,0
2018-05-10,4,5,0
2018-05-11,1,3,3
2018-05-12,5,0,0
2018-05-13,1,1,0
2018-05-14,0,3,18
2018-05-15,0,3,10
2018-05-16,1,3,7
2018-05-17,7,2,5
2018-05-18,1,3,3
2018-05-19,1,3,4
2018-05-20,0,0,0
2018-05-21,1,2,10
2018-05-22,2,1,3
2018-05-23,4,0,0
2018-05-24,2,4,0
2018-05-25,0,3,0
2018-05-26,0,0,0
2018-05-27,1,0,0
2018-05-28,3,2,0
2018-05-29,3,1,0
2018-05-30,3,2,0
2018-05-31,1,5,0
2018-06-01,1,3,2
2018-06-02,0,1,0
2018-06-03,0,0,0
2018-06-04,1,2,0
2018-06-05,6,3,2
2018-06-06,1,2,3
2018-06-07,0,2,0
2018-06-08,0,4,0
2018-06-09,0,2,0
2018-06-10,0,0,0
2018-06-11,7,6,0
2018-06-12,12,3,5
2018-06-13,3,4,0
2018-06-14,3,2,4
2018-06-15,5,4,1
2018-06-16,0,1,2
2018-06-17,5,1,0
2018-06-18,2,5,1
2018-06-19,5,4,1
2018-06-20,18,1,0
2018-06-21,3,3,3
2018-06-22,1,1,0
2018-06-23,1,0,0
2018-06-24,3,0,0
2018-06-25,8,3,0
2018-06-26,5,3,2
2018-06-27,6,0,0
2018-06-28,7,1,4
2018-06-29,2,9,10
2018-06-30,3,0,4
2018-07-01,1,0,0
2018-07-02,4,3,18
2018-07-03,9,27,7
2018-07-04,5,1,0
2018-07-05,0,4,16
2018-07-06,0,4,7
2018-07-07,0,1,1
2018-07-08,0,0,0
2018-07-09,1,3,5
2018-07-10,6,4,9
2018-07-11,5,1,0
2018-07-12,2,5,2
2018-07-13,1,4,0
2018-07-14,0,0,0
2018-07-15,2,1,0
2018-07-16,0,1,1
2018-07-17,7,0,2
2018-07-18,2,1,1
2018-07-19,3,1,0
2018-07-20,7,0,8
2018-07-21,0,0,0
2018-07-22,3,0,0
2018-07-23,15,8,2
2018-07-24,4,5,1
2018-07-25,6,3,0
2018-07-26,5,4,0
2018-07-27,3,3,1
2018-07-28,3,0,1
2018-07-29,5,0,0
2018-07-30,4,6,3
2018-07-31,3,4,1
2018-08-01,0,2,0
2018-08-02,4,6,0
2018-08-03,9,1,0
2018-08-04,2,0,0
2018-08-05,4,0,0
2018-08-06,6,1,0
2018-08-07,3,1,0
2018-08-08,2,3,0
2018-08-09,2,3,0
2018-08-10,2,1,0
2018-08-11,0,0,0
2018-08-12,0,0,0
2018-08-13,8,2,0
2018-08-14,1,1,0
2018-08-15,0,0,0
2018-08-16,4,2,0
2018-08-17,2,2,0
2018-08-18,1,0,0
2018-08-19,2,0,0
2018-08-20,5,5,0
2018-08-21,1,1,0
2018-08-22,1,2,0
2018-08-23,4,2,0
2018-08-24,2,2,0
2018-08-25,0,3,0
2018-08-26,0,0,0
2018-08-27,2,2,0
2018-08-28,6,2,0
2018-08-29,1,4,0
2018-08-30,0,0,0
2018-08-31,1,1,0
2018-09-01,1,0,0
2018-09-02,0,0,0
2018-09-03,3,0,1
2018-09-04,8,0,0
2018-09-05,2,1,0
2018-09-06,2,1,0
2018-09-07,3,2,0
2018-09-08,0,0,0
2018-09-09,1,0,0
2018-09-10,2,0,0
2018-09-11,13,1,0
2018-09-12,3,1,0
2018-09-13,0,0,0
2018-09-14,2,1,0
2018-09-15,11,0,0
2018-09-16,3,0,0
2018-09-17,5,1,0
2018-09-18,12,7,1
2018-09-19,6,0,0
2018-09-20,4,2,0
2018-09-21,0,1,0
2018-09-22,0,0,0
2018-09-23,0,0,0
2018-09-24,2,5,0
2018-09-25,1,1,1
2018-09-26,2,1,1
2018-09-27,1,1,2
2018-09-28,2,1,0
2018-09-29,0,0,0
2018-09-30,5,0,0
2018-10-01,2,0,1
2018-10-02,3,0,2
2018-10-03,0,2,0
2018-10-04,4,1,0
2018-10-05,4,3,1
2018-10-06,4,0,0
2018-10-07,1,0,0
2018-10-08,0,1,1
2018-10-09,5,1,0
2018-10-10,0,2,0
2018-10-11,3,1,1
2018-10-12,3,3,0
2018-10-13,30,0,0
2018-10-14,15,0,0
2018-10-15,2,3,2
2018-10-16,1,0,0
2018-10-17,2,2,0
2018-10-18,1,1,0
2018-10-19,1,0,0
2018-10-20,1,0,0
2018-10-21,2,1,0
2018-10-22,4,0,0
2018-10-23,0,1,0
2018-10-24,0,0,0
2018-10-25,0,2,0
2018-10-26,3,3,0
2018-10-27,1,0,0
2018-10-28,1,0,0
2018-10-29,2,0,2
2018-10-30,1,0,0
2018-10-31,6,3,0
2018-11-01,3,0,1
2018-11-02,9,2,0
2018-11-03,0,0,0
2018-11-04,1,0,0
2018-11-05,1,1,0
2018-11-06,0,3,0
2018-11-07,1,3,0
2018-11-08,1,1,0
2018-11-09,0,0,0
2018-11-10,0,0,0
2018-11-11,0,1,0
2018-11-12,5,1,0
2018-11-13,2,1,0
2018-11-14,3,2,0
2018-11-15,7,2,0
2018-11-16,1,1,0
2018-11-17,0,0,0
2018-11-18,0,0,0
2018-11-19,6,1,0
2018-11-20,7,2,0
2018-11-21,6,1,0
2018-11-22,1,0,1
2018-11-23,10,4,0
2018-11-24,0,0,0
2018-11-25,0,0,0
2018-11-26,5,1,0
2018-11-27,9,0,0
2018-11-28,6,3,0
2018-11-29,31,3,2
2018-11-30,11,1,0
2018-12-01,0,0,0
2018-12-02,0,0,0
2018-12-03,0,0,1
2018-12-04,3,3,9
2018-12-05,23,1,14
2018-12-06,3,6,10
2018-12-07,3,4,1
2018-12-08,3,0,0
2018-12-09,0,0,0
2018-12-10,5,1,0
2018-12-11,1,1,0
2018-12-12,4,2,0
2018-12-13,5,0,1
2018-12-14,3,1,1
2018-12-15,1,1,0
2018-12-16,3,0,0
2018-12-17,2,4,3
2018-12-18,6,0,1
2018-12-19,6,0,0
2018-12-20,4,0,0
2018-12-21,2,1,0
2018-12-22,0,1,0
2018-12-23,0,0,0
2018-12-24,2,0,0
2018-12-25,0,0,0
2018-12-26,0,0,0
2018-12-27,3,0,0
2018-12-28,4,0,1
2018-12-29,2,0,0
2018-12-30,26,0,0
2018-12-31,12,0,0
2019-01-01,1,0,0
2019-01-02,2,0,5
2019-01-03,2,0,2
2019-01-04,4,0,0
2019-01-05,0,0,0
2019-01-06,2,0,0
2019-01-07,9,4,3
2019-01-08,1,2,0
2019-01-09,6,5,0
2019-01-10,1,0,0
2019-01-11,8,0,2
2019-01-12,15,0,0
2019-01-13,9,0,1
2019-01-14,6,1,3
2019-01-15,5,1,2
2019-01-16,10,1,0
2019-01-17,7,4,1
2019-01-18,8,2,0
2019-01-19,8,0,0
2019-01-20,4,0,0
2019-01-21,11,1,2
2019-01-22,17,0,0
2019-01-23,20,2,0
2019-01-24,12,2,0
2019-01-25,3,1,2
2019-01-26,3,1,0
2019-01-27,2,0,0
2019-01-28,17,0,1
2019-01-29,5,1,2
2019-01-30,1,1,21
2019-01-31,2,0,1
2019-02-01,0,0,0
2019-02-02,2,0,0
2019-02-03,4,0,0
2019-02-04,10,1,2
2019-02-05,9,0,2
2019-02-06,7,2,0
2019-02-07,7,1,0
2019-02-08,13,5,0
2019-02-09,5,5,0
2019-02-10,0,0,0
2019-02-11,7,5,0
2019-02-12,6,4,2
2019-02-13,5,7,0
2019-02-14,8,4,0
2019-02-15,8,2,0
2019-02-16,5,1,1
2019-02-17,3,0,0
2019-02-18,4,1,0
2019-02-19,9,1,1
2019-02-20,6,2,0
2019-02-21,4,1,0
2019-02-22,8,0,0
2019-02-23,0,1,0
2019-02-24,0,0,0
2019-02-25,6,1,0
2019-02-26,6,3,0
2019-02-27,12,1,3
2019-02-28,5,3,1
2019-03-01,5,1,0
2019-03-02,0,0,0
2019-03-03,1,0,0
2019-03-04,9,3,0
2019-03-05,18,2,0
2019-03-06,1,0,1
2019-03-07,6,1,0
2019-03-08,2,2,0
2019-03-09,0,0,0
2019-03-10,1,0,0
2019-03-11,4,2,0
2019-03-12,2,0,0
2019-03-13,4,0,0
2019-03-14,4,1,3
2019-03-15,5,4,2
2019-03-16,0,1,0
2019-03-17,0,0,0
2019-03-18,6,2,0
2019-03-19,1,2,0
2019-03-20,4,1,0
2019-03-21,12,0,0
2019-03-22,9,2,0
2019-03-23,1,1,0
2019-03-24,0,0,0
2019-03-25,5,2,0
2019-03-26,3,1,0
2019-03-27,2,4,0
2019-03-28,6,1,2
2019-03-29,6,1,0
2019-03-30,0,1,0
2019-03-31,0,0,0
2019-04-01,0,1,0
2019-04-02,5,1,0
2019-04-03,7,4,1
2019-04-04,3,2,0
2019-04-05,1,1,0
2019-04-06,0,0,0
2019-04-07,0,0,0
2019-04-08,5,0,0
2019-04-09,4,2,1
2019-04-10,5,0,0
2019-04-11,3,1,0
2019-04-12,9,0,0
2019-04-13,0,0,0
2019-04-14,2,0,0
2019-04-15,5,2,0
2019-04-16,0,1,0
2019-04-17,31,0,0
2019-04-18,14,0,0
2019-04-19,1,0,0
2019-04-20,0,0,0
2019-04-21,0,0,0
2019-04-22,1,1,0
2019-04-23,7,2,0
2019-04-24,5,0,0
2019-04-25,5,0,0
2019-04-26,1,1,0
2019-04-27,0,0,0
2019-04-28,1,0,0
2019-04-29,2,0,0
2019-04-30,5,0,0
2019-05-01,3,0,0
2019-05-02,0,2,0
2019-05-03,11,0,0
2019-05-04,2,0,0
2019-05-05,0,0,0
2019-05-06,6,0,23
2019-05-07,1,2,0
2019-05-08,26,2,0
2019-05-09,26,3,0
2019-05-10,22,0,0
2019-05-11,0,0,0
2019-05-12,0,0,0
2019-05-13,13,3,0
2019-05-14,48,0,0
2019-05-15,17,5,0
2019-05-16,11,0,0
2019-05-17,15,0,0
2019-05-18,0,0,0
2019-05-19,0,0,0
2019-05-20,18,1,0
2019-05-21,16,2,0
2019-05-22,28,2,0
2019-05-23,29,1,0
2019-05-24,25,0,2
2019-05-25,0,0,0
2019-05-26,0,0,0
2019-05-27,13,1,0
2019-05-28,7,1,0
2019-05-29,16,1,0
2019-05-30,24,0,0
2019-05-31,16,1,1
2019-06-01,0,1,0
2019-06-02,0,0,0
2019-06-03,36,0,0
2019-06-04,43,1,9
2019-06-05,17,2,10
2019-06-06,5,0,8
2019-06-07,4,0,8
2019-06-08,4,0,0
2019-06-09,1,0,0
2019-06-10,10,0,0
2019-06-11,9,2,0
2019-06-12,18,0,0
2019-06-13,3,1,0
2019-06-14,13,0,0
2019-06-15,3,0,0
2019-06-16,0,0,0
2019-06-17,10,0,1
2019-06-18,8,0,0
2019-06-19,6,1,0
2019-06-20,6,0,0
2019-06-21,7,0,0
2019-06-22,1,0,0
2019-06-23,2,0,0
2019-06-24,0,0,0
2019-06-25,3,1,0
2019-06-26,25,2,0
2019-06-27,13,0,1
2019-06-28,30,0,0
2019-06-29,2,2,0
2019-06-30,0,3,0
2019-07-01,15,3,0
2019-07-02,14,2,0
2019-07-03,5,1,0
2019-07-04,9,0,0
2019-07-05,2,0,0
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,15,0,0
