,tajo/ladle,histoire-dev/histoire,storybookjs/storybook
2022-06-24,5,0,17
2022-06-25,0,0,1
2022-06-26,0,0,0
2022-06-27,0,0,20
2022-06-28,1,0,25
2022-06-29,0,0,84
2022-06-30,0,0,44
2022-07-01,0,0,30
2022-07-02,0,0,22
2022-07-03,0,0,3
2022-07-04,0,0,29
2022-07-05,0,1,25
2022-07-06,0,3,54
2022-07-07,0,1,46
2022-07-08,0,1,29
2022-07-09,3,0,9
2022-07-10,10,0,11
2022-07-11,2,0,16
2022-07-12,0,0,21
2022-07-13,2,0,2
2022-07-14,0,1,10
2022-07-15,0,0,11
2022-07-16,0,0,4
2022-07-17,0,0,0
2022-07-18,2,0,15
2022-07-19,6,12,23
2022-07-20,1,5,3
2022-07-21,1,14,26
2022-07-22,0,10,17
2022-07-23,0,0,19
2022-07-24,0,0,2
2022-07-25,0,0,27
2022-07-26,0,0,37
2022-07-27,0,0,24
2022-07-28,0,4,21
2022-07-29,0,7,14
2022-07-30,0,13,0
2022-07-31,0,1,32
2022-08-01,0,3,22
2022-08-02,2,8,40
2022-08-03,0,1,17
2022-08-04,5,0,14
2022-08-05,0,1,12
2022-08-06,0,0,0
2022-08-07,1,0,1
2022-08-08,0,0,16
2022-08-09,2,9,43
2022-08-10,0,17,53
2022-08-11,0,4,22
2022-08-12,0,14,53
2022-08-13,0,6,6
2022-08-14,0,1,18
2022-08-15,0,0,47
2022-08-16,3,11,10
2022-08-17,0,4,47
2022-08-18,2,0,18
2022-08-19,0,0,9
2022-08-20,0,0,3
2022-08-21,0,0,2
2022-08-22,0,0,56
2022-08-23,0,18,38
2022-08-24,0,0,31
2022-08-25,4,0,45
2022-08-26,2,0,43
2022-08-27,0,0,2
2022-08-28,1,0,0
2022-08-29,3,0,35
2022-08-30,8,1,24
2022-08-31,3,0,28
2022-09-01,0,0,43
2022-09-02,0,0,51
2022-09-03,0,0,2
2022-09-04,0,0,11
2022-09-05,0,0,31
2022-09-06,0,0,23
2022-09-07,0,0,40
2022-09-08,3,0,52
2022-09-09,0,0,8
2022-09-10,0,0,5
2022-09-11,0,0,14
2022-09-12,0,0,32
2022-09-13,0,0,47
2022-09-14,0,0,38
2022-09-15,0,0,29
2022-09-16,0,1,15
2022-09-17,3,4,7
2022-09-18,0,0,11
2022-09-19,0,1,3
2022-09-20,0,0,9
2022-09-21,0,0,8
2022-09-22,0,0,9
2022-09-23,0,0,1
2022-09-24,0,0,2
2022-09-25,0,2,0
2022-09-26,0,1,43
2022-09-27,0,0,49
2022-09-28,3,0,17
2022-09-29,0,0,9
2022-09-30,0,0,36
2022-10-01,0,0,20
2022-10-02,0,15,19
2022-10-03,0,30,59
2022-10-04,0,3,60
2022-10-05,0,0,90
2022-10-06,1,11,40
2022-10-07,0,0,29
2022-10-08,1,7,10
2022-10-09,1,7,21
2022-10-10,0,1,120
2022-10-11,1,0,60
2022-10-12,0,3,73
2022-10-13,0,0,71
2022-10-14,0,2,40
2022-10-15,0,0,20
2022-10-16,0,0,7
2022-10-17,2,6,98
2022-10-18,1,0,93
2022-10-19,0,0,53
2022-10-20,0,1,43
2022-10-21,1,0,36
2022-10-22,0,0,41
2022-10-23,0,0,16
2022-10-24,0,2,56
2022-10-25,0,0,75
2022-10-26,0,5,70
2022-10-27,0,0,73
2022-10-28,0,0,63
2022-10-29,0,0,14
2022-10-30,0,0,4
2022-10-31,0,0,19
2022-11-01,0,0,37
2022-11-02,0,0,62
2022-11-03,0,0,71
2022-11-04,0,0,64
2022-11-05,0,0,7
2022-11-06,0,0,3
2022-11-07,0,0,23
2022-11-08,0,0,37
2022-11-09,0,0,33
2022-11-10,0,0,29
2022-11-11,0,6,48
2022-11-12,0,7,0
2022-11-13,0,0,17
2022-11-14,0,1,62
2022-11-15,0,0,45
2022-11-16,0,0,63
2022-11-17,0,0,65
2022-11-18,0,0,32
2022-11-19,0,0,14
2022-11-20,0,0,4
2022-11-21,0,0,44
2022-11-22,0,0,21
2022-11-23,0,0,33
2022-11-24,0,0,48
2022-11-25,0,0,52
2022-11-26,0,0,2
2022-11-27,0,0,7
2022-11-28,1,0,52
2022-11-29,0,0,48
2022-11-30,0,0,54
2022-12-01,0,0,33
2022-12-02,0,5,48
2022-12-03,0,11,22
2022-12-04,0,0,14
2022-12-05,1,0,50
2022-12-06,0,0,76
2022-12-07,0,0,77
2022-12-08,0,0,83
2022-12-09,0,1,50
2022-12-10,0,0,10
2022-12-11,0,0,3
2022-12-12,0,0,34
2022-12-13,0,0,76
2022-12-14,0,0,98
2022-12-15,2,2,50
2022-12-16,5,0,57
2022-12-17,0,0,2
2022-12-18,0,0,6
2022-12-19,0,12,41
2022-12-20,0,8,55
2022-12-21,0,0,21
2022-12-22,0,0,30
2022-12-23,0,4,45
2022-12-24,0,0,10
2022-12-25,0,0,13
2022-12-26,0,0,5
2022-12-27,0,0,5
2022-12-28,0,1,17
2022-12-29,0,0,36
2022-12-30,0,0,45
2022-12-31,0,0,10
2023-01-01,0,0,14
2023-01-02,0,0,11
2023-01-03,0,0,22
2023-01-04,0,0,16
2023-01-05,0,0,24
2023-01-06,0,0,33
2023-01-07,0,0,20
2023-01-08,0,0,7
2023-01-09,1,0,38
2023-01-10,0,0,68
2023-01-11,0,0,25
2023-01-12,0,0,53
2023-01-13,1,0,89
2023-01-14,0,0,28
2023-01-15,0,0,17
2023-01-16,0,0,45
2023-01-17,0,0,54
2023-01-18,0,0,42
2023-01-19,0,0,76
2023-01-20,0,0,61
2023-01-21,0,0,9
2023-01-22,0,0,23
2023-01-23,0,0,38
2023-01-24,1,0,51
2023-01-25,1,0,57
2023-01-26,6,0,38
2023-01-27,0,0,29
2023-01-28,0,0,8
2023-01-29,0,0,5
2023-01-30,0,0,45
2023-01-31,2,0,42
2023-02-01,0,0,58
2023-02-02,1,0,30
2023-02-03,1,0,34
2023-02-04,0,0,21
2023-02-05,6,16,9
2023-02-06,0,1,42
2023-02-07,2,0,39
2023-02-08,0,14,15
2023-02-09,13,3,20
2023-02-10,7,12,19
2023-02-11,0,2,6
2023-02-12,0,0,3
2023-02-13,2,0,40
2023-02-14,2,0,31
2023-02-15,9,11,55
2023-02-16,8,5,67
2023-02-17,4,7,36
2023-02-18,3,3,7
2023-02-19,0,0,5
2023-02-20,0,0,57
