,jackc/pgx,go-pg/pg,lib/pq
2014-02-05,0.0,0,0
2014-02-06,0.0,0,1
2014-02-07,0.0,0,0
2014-02-08,0.0,0,5
2014-02-09,0.0,0,0
2014-02-10,0.0,0,0
2014-02-11,0.0,0,0
2014-02-12,0.0,0,2
2014-02-13,0.0,0,2
2014-02-14,0.0,0,0
2014-02-15,0.0,0,0
2014-02-16,0.0,0,3
2014-02-17,0.0,0,1
2014-02-18,0.0,0,0
2014-02-19,0.0,0,0
2014-02-20,0.0,0,0
2014-02-21,0.0,1,0
2014-02-22,0.0,2,0
2014-02-23,0.0,0,0
2014-02-24,0.0,0,0
2014-02-25,0.0,0,0
2014-02-26,0.0,0,0
2014-02-27,0.0,0,3
2014-02-28,0.0,0,0
2014-03-01,0.0,0,0
2014-03-02,0.0,0,4
2014-03-03,0.0,0,0
2014-03-04,0.0,0,0
2014-03-05,0.0,0,0
2014-03-06,0.0,0,0
2014-03-07,0.0,0,0
2014-03-08,0.0,0,0
2014-03-09,0.0,0,0
2014-03-10,0.0,0,0
2014-03-11,0.0,0,0
2014-03-12,0.0,0,0
2014-03-13,0.0,0,1
2014-03-14,0.0,0,0
2014-03-15,0.0,0,0
2014-03-16,0.0,0,0
2014-03-17,0.0,0,0
2014-03-18,0.0,0,0
2014-03-19,0.0,0,0
2014-03-20,0.0,0,0
2014-03-21,0.0,0,0
2014-03-22,0.0,0,0
2014-03-23,0.0,0,0
2014-03-24,0.0,0,0
2014-03-25,0.0,0,0
2014-03-26,0.0,3,0
2014-03-27,0.0,0,0
2014-03-28,0.0,0,0
2014-03-29,0.0,0,0
2014-03-30,0.0,0,0
2014-03-31,0.0,0,0
2014-04-01,0.0,0,0
2014-04-02,1.0,0,0
2014-04-03,-0.10000000000000009,0,0
2014-04-04,-0.04500000000000003,0,0
2014-04-05,-0.028500000000000022,0,0
2014-04-06,-0.020662499999999924,0,0
2014-04-07,-0.016116749999999947,0,0
2014-04-08,-0.01316201249999996,0,0
2014-04-09,-0.011093696249999967,0,0
2014-04-10,-0.009568313015624975,0,0
2014-04-11,-0.008398852535937478,0,0
2014-04-12,0.0,0,0
2014-04-13,0.0,0,0
2014-04-14,0.0,0,1
2014-04-15,0.0,0,0
2014-04-16,0.0,1,0
2014-04-17,0.0,0,0
2014-04-18,0.0,4,0
2014-04-19,5.0,0,0
2014-04-20,-0.5000000000000004,0,0
2014-04-21,-0.22500000000000017,5,0
2014-04-22,-0.1425000000000001,0,0
2014-04-23,0.8966875000000004,0,0
2014-04-24,-0.18058374999999982,0,0
2014-04-25,5.8891899375,1,0
2014-04-26,-0.6839684812500004,0,0
2014-04-27,-0.33850406507812497,0,0
2014-04-28,-0.22911101267968748,0,0
2014-04-29,-0.13713701249999952,0,0
2014-04-30,-0.10779419624999965,0,0
2014-05-01,-0.08854038801562475,3,0
2014-05-02,-0.07496103003593728,0,0
2014-05-03,-0.05740987809374985,0,0
2014-05-04,-0.05039311521562487,0,0
2014-05-05,0.0,3,0
2014-05-06,0.0,0,0
2014-05-07,0.0,0,0
2014-05-08,0.0,0,0
2014-05-09,3.0,0,0
2014-05-10,-0.30000000000000027,0,0
2014-05-11,-0.1350000000000001,0,0
2014-05-12,-0.08550000000000006,0,0
2014-05-13,-0.06198749999999977,0,0
2014-05-14,-0.048350249999999845,0,0
2014-05-15,-0.03948603749999988,0,0
2014-05-16,-0.0332810887499999,0,0
2014-05-17,5.971295060953125,0,0
2014-05-18,-0.625196557607813,0,0
2014-05-19,2.73,0,0
2014-05-20,-0.4710000000000004,0,0
2014-05-21,0.7410250000000004,0,0
2014-05-22,-0.28220049999999985,0,2
2014-05-23,-0.18595957499999957,0,0
2014-05-24,-0.14341242749999966,0,0
2014-05-25,-0.11755841559374966,0,0
2014-05-26,-0.09979095396562472,0,0
