,apache/mxnet,pytorch/pytorch,tensorflow/tensorflow
2021-05-02,0,15,7
2021-05-03,2,38,59
2021-05-04,1,46,71
2021-05-05,0,38,72
2021-05-06,0,62,83
2021-05-07,0,52,81
2021-05-08,1,14,31
2021-05-09,0,4,12
2021-05-10,0,35,62
2021-05-11,0,59,85
2021-05-12,0,73,89
2021-05-13,1,72,94
2021-05-14,1,61,61
2021-05-15,1,10,37
2021-05-16,0,2,12
2021-05-17,0,41,92
2021-05-18,1,39,76
2021-05-19,0,32,80
2021-05-20,0,40,76
2021-05-21,1,68,102
2021-05-22,0,24,21
2021-05-23,0,11,8
2021-05-24,1,24,53
2021-05-25,1,46,82
2021-05-26,0,43,101
2021-05-27,0,39,94
2021-05-28,0,16,39
2021-05-29,0,6,6
2021-05-30,0,6,4
2021-05-31,0,7,23
2021-06-01,1,30,53
2021-06-02,1,52,70
2021-06-03,0,33,85
2021-06-04,0,55,70
2021-06-05,0,22,12
2021-06-06,0,6,5
2021-06-07,0,21,51
2021-06-08,1,47,89
2021-06-09,0,48,100
2021-06-10,0,38,80
2021-06-11,0,37,84
2021-06-12,0,9,17
2021-06-13,0,5,6
2021-06-14,1,20,58
2021-06-15,1,38,92
2021-06-16,0,33,71
2021-06-17,1,54,97
2021-06-18,0,29,114
2021-06-19,0,8,15
2021-06-20,0,4,10
2021-06-21,2,28,79
2021-06-22,2,47,85
2021-06-23,0,50,98
2021-06-24,1,50,104
2021-06-25,1,46,71
2021-06-26,0,9,18
2021-06-27,0,2,3
2021-06-28,1,39,49
2021-06-29,3,34,78
2021-06-30,4,53,77
2021-07-01,0,35,78
2021-07-02,1,11,62
2021-07-03,0,7,9
2021-07-04,0,0,8
2021-07-05,0,0,37
2021-07-06,3,13,48
2021-07-07,1,54,71
2021-07-08,1,38,106
2021-07-09,0,50,77
2021-07-10,0,18,21
2021-07-11,0,10,11
2021-07-12,0,35,53
2021-07-13,2,20,73
2021-07-14,0,21,97
2021-07-15,0,25,93
2021-07-16,1,35,84
2021-07-17,0,5,15
2021-07-18,0,9,2
2021-07-19,0,27,57
2021-07-20,0,51,64
2021-07-21,0,41,73
2021-07-22,0,37,81
2021-07-23,0,35,72
2021-07-24,0,12,19
2021-07-25,0,3,4
2021-07-26,1,36,57
2021-07-27,0,46,79
2021-07-28,1,32,76
2021-07-29,0,28,81
2021-07-30,1,43,81
2021-07-31,0,7,36
2021-08-01,0,1,16
2021-08-02,1,27,90
2021-08-03,0,49,79
2021-08-04,2,28,77
2021-08-05,0,28,77
2021-08-06,0,28,80
2021-08-07,0,7,30
2021-08-08,0,0,11
2021-08-09,2,34,69
2021-08-10,0,35,97
2021-08-11,0,27,94
2021-08-12,1,19,79
2021-08-13,1,36,92
2021-08-14,2,8,22
2021-08-15,0,5,9
2021-08-16,0,29,52
2021-08-17,1,36,70
2021-08-18,1,50,88
2021-08-19,2,34,57
2021-08-20,0,34,57
2021-08-21,1,8,19
2021-08-22,0,1,12
2021-08-23,1,15,59
2021-08-24,1,45,75
2021-08-25,1,45,78
2021-08-26,1,41,62
2021-08-27,0,42,57
2021-08-28,0,9,19
2021-08-29,0,8,5
2021-08-30,0,35,44
2021-08-31,0,34,52
2021-09-01,0,44,53
2021-09-02,0,48,49
2021-09-03,0,11,49
2021-09-04,0,3,22
2021-09-05,1,6,14
2021-09-06,1,1,23
2021-09-07,0,24,57
2021-09-08,1,48,63
2021-09-09,1,37,88
2021-09-10,2,30,85
2021-09-11,0,9,32
2021-09-12,0,6,13
2021-09-13,1,29,84
2021-09-14,1,37,82
2021-09-15,0,41,48
2021-09-16,1,29,84
2021-09-17,1,56,81
2021-09-18,0,12,22
2021-09-19,0,0,9
2021-09-20,1,18,33
2021-09-21,0,34,74
2021-09-22,1,34,69
2021-09-23,2,28,92
2021-09-24,1,39,63
2021-09-25,0,10,18
2021-09-26,0,1,8
2021-09-27,0,13,58
2021-09-28,7,27,57
2021-09-29,2,32,64
2021-09-30,1,34,72
2021-10-01,0,62,67
2021-10-02,0,13,34
2021-10-03,0,4,8
2021-10-04,1,6,48
2021-10-05,1,33,77
2021-10-06,1,39,104
2021-10-07,1,35,72
2021-10-08,2,53,72
2021-10-09,1,26,38
2021-10-10,0,9,12
2021-10-11,0,27,70
2021-10-12,1,31,103
2021-10-13,2,45,54
2021-10-14,3,29,73
2021-10-15,2,38,181
2021-10-16,0,5,23
2021-10-17,1,6,13
2021-10-18,2,34,58
2021-10-19,4,54,89
2021-10-20,3,43,105
2021-10-21,1,34,136
2021-10-22,0,39,40
2021-10-23,0,10,9
2021-10-24,0,5,28
