,aws/aws-cli,iterate-ch/cyberduck,rclone/rclone
2021-06-09,3,11,1
2021-06-10,3,3,4
2021-06-11,3,4,11
2021-06-12,0,0,0
2021-06-13,0,0,0
2021-06-14,3,5,1
2021-06-15,3,2,0
2021-06-16,4,7,0
2021-06-17,3,1,0
2021-06-18,0,7,0
2021-06-19,0,0,0
2021-06-20,0,3,0
2021-06-21,3,5,1
2021-06-22,1,3,2
2021-06-23,3,3,0
2021-06-24,3,9,0
2021-06-25,3,3,0
2021-06-26,0,0,0
2021-06-27,0,0,0
2021-06-28,3,4,0
2021-06-29,0,9,0
2021-06-30,3,10,0
2021-07-01,3,13,0
2021-07-02,3,2,0
2021-07-03,0,1,0
2021-07-04,0,0,0
2021-07-05,0,3,11
2021-07-06,5,2,1
2021-07-07,3,3,9
2021-07-08,3,2,5
2021-07-09,3,2,0
2021-07-10,0,1,4
2021-07-11,0,0,1
2021-07-12,3,5,0
2021-07-13,3,0,0
2021-07-14,4,8,2
2021-07-15,4,1,2
2021-07-16,3,0,0
2021-07-17,0,1,0
2021-07-18,0,0,0
2021-07-19,4,5,0
2021-07-20,5,4,9
2021-07-21,3,2,0
2021-07-22,3,7,0
2021-07-23,3,0,0
2021-07-24,0,1,2
2021-07-25,0,2,1
2021-07-26,5,2,0
2021-07-27,3,0,1
2021-07-28,8,0,0
2021-07-29,3,1,1
2021-07-30,5,4,3
2021-07-31,0,0,1
2021-08-01,0,0,4
2021-08-02,3,0,0
2021-08-03,3,5,0
2021-08-04,5,6,0
2021-08-05,3,46,0
2021-08-06,5,3,0
2021-08-07,0,1,0
2021-08-08,0,1,0
2021-08-09,4,3,1
2021-08-10,3,1,4
2021-08-11,3,3,5
2021-08-12,5,7,0
2021-08-13,6,142,3
2021-08-14,0,0,4
2021-08-15,0,0,0
2021-08-16,3,21,1
2021-08-17,3,8,0
2021-08-18,5,13,0
2021-08-19,3,8,6
2021-08-20,4,7,7
2021-08-21,0,0,0
2021-08-22,0,9,0
2021-08-23,3,6,0
2021-08-24,3,10,0
2021-08-25,4,18,0
2021-08-26,4,2,0
2021-08-27,5,2,0
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,3,15,0
2021-08-31,5,4,8
2021-09-01,6,21,0
2021-09-02,5,22,1
2021-09-03,3,7,1
2021-09-04,0,0,0
2021-09-05,0,0,0
2021-09-06,0,11,2
2021-09-07,3,6,0
2021-09-08,3,3,0
2021-09-09,4,8,1
2021-09-10,3,4,0
2021-09-11,0,3,2
2021-09-12,0,0,1
2021-09-13,3,33,0
2021-09-14,4,1,0
2021-09-15,2,2,0
2021-09-16,4,16,0
2021-09-17,3,12,4
2021-09-18,0,1,1
2021-09-19,0,5,0
2021-09-20,0,11,1
2021-09-21,8,8,0
2021-09-22,6,19,0
2021-09-23,3,33,0
2021-09-24,3,7,0
2021-09-25,0,0,0
2021-09-26,0,0,0
2021-09-27,3,16,0
2021-09-28,6,9,2
2021-09-29,7,13,0
2021-09-30,3,20,7
2021-10-01,3,10,8
2021-10-02,1,1,6
2021-10-03,0,0,0
2021-10-04,3,8,0
2021-10-05,3,0,2
2021-10-06,3,5,0
2021-10-07,3,5,3
2021-10-08,3,0,3
2021-10-09,0,4,3
2021-10-10,0,1,0
2021-10-11,5,25,12
2021-10-12,3,12,2
2021-10-13,4,0,5
2021-10-14,3,10,8
2021-10-15,3,54,19
2021-10-16,0,0,3
2021-10-17,0,18,0
2021-10-18,3,22,4
2021-10-19,3,9,13
2021-10-20,4,23,22
2021-10-21,4,26,8
2021-10-22,4,3,6
2021-10-23,0,6,3
2021-10-24,0,3,0
2021-10-25,3,25,0
2021-10-26,3,16,0
2021-10-27,3,4,1
2021-10-28,4,3,1
2021-10-29,5,7,1
2021-10-30,0,0,4
2021-10-31,0,0,6
2021-11-01,3,4,24
2021-11-02,5,5,3
2021-11-03,5,7,5
2021-11-04,5,7,2
2021-11-05,6,5,4
2021-11-06,0,1,1
2021-11-07,0,0,1
2021-11-08,7,0,1
2021-11-09,3,6,9
2021-11-10,3,10,8
2021-11-11,3,12,10
2021-11-12,3,16,1
2021-11-13,0,0,0
2021-11-14,0,2,0
2021-11-15,3,17,6
2021-11-16,4,23,0
2021-11-17,3,7,3
2021-11-18,6,9,5
2021-11-19,4,2,0
2021-11-20,0,0,0
2021-11-21,0,34,3
2021-11-22,3,22,3
2021-11-23,4,11,4
2021-11-24,3,7,1
2021-11-25,0,5,3
2021-11-26,3,1,0
2021-11-27,0,1,1
2021-11-28,0,0,0
2021-11-29,8,8,0
2021-11-30,3,13,0
2021-12-01,3,9,3
2021-12-02,3,13,0
2021-12-03,3,18,1
2021-12-04,0,4,0
2021-12-05,0,6,0
2021-12-06,3,16,0
2021-12-07,0,8,0
2021-12-08,4,2,0
2021-12-09,4,8,0
2021-12-10,0,9,0
2021-12-11,0,0,0
2021-12-12,0,0,0
2021-12-13,3,4,0
2021-12-14,1,0,0
2021-12-15,0,4,0
2021-12-16,0,4,0
2021-12-17,0,17,0
