,sindresorhus/type-fest,microsoft/TypeScript,definitelytyped/definitelytyped
2019-08-23,0,9,25
2019-08-24,0,1,2
2019-08-25,0,0,2
2019-08-26,0,11,32
2019-08-27,0,13,17
2019-08-28,0,8,2
2019-08-29,0,7,5
2019-08-30,0,10,18
2019-08-31,0,5,0
2019-09-01,0,0,0
2019-09-02,0,4,1
2019-09-03,0,8,24
2019-09-04,0,18,26
2019-09-05,0,14,15
2019-09-06,0,7,15
2019-09-07,0,3,15
2019-09-08,0,0,0
2019-09-09,0,11,18
2019-09-10,1,8,16
2019-09-11,0,19,30
2019-09-12,0,11,4
2019-09-13,0,7,3
2019-09-14,3,3,0
2019-09-15,0,5,0
2019-09-16,5,9,24
2019-09-17,0,12,15
2019-09-18,0,13,12
2019-09-19,0,6,9
2019-09-20,0,12,1
2019-09-21,0,8,0
2019-09-22,1,0,0
2019-09-23,0,15,25
2019-09-24,0,30,77
2019-09-25,2,18,67
2019-09-26,0,13,28
2019-09-27,0,23,33
2019-09-28,0,0,1
2019-09-29,0,0,0
2019-09-30,0,17,6
2019-10-01,0,14,20
2019-10-02,0,8,51
2019-10-03,0,12,45
2019-10-04,0,16,4
2019-10-05,0,5,0
2019-10-06,0,7,0
2019-10-07,0,3,36
2019-10-08,2,3,30
2019-10-09,0,10,29
2019-10-10,0,7,26
2019-10-11,0,0,5
2019-10-12,0,1,0
2019-10-13,0,6,0
2019-10-14,0,7,47
2019-10-15,0,16,26
2019-10-16,0,29,29
2019-10-17,0,30,18
2019-10-18,0,23,14
2019-10-19,0,8,1
2019-10-20,0,0,0
2019-10-21,0,14,3
2019-10-22,0,8,83
2019-10-23,0,5,19
2019-10-24,0,6,25
2019-10-25,0,5,28
2019-10-26,0,1,4
2019-10-27,0,0,1
2019-10-28,0,6,39
2019-10-29,0,6,73
2019-10-30,0,7,32
2019-10-31,0,4,3
2019-11-01,0,2,96
2019-11-02,0,0,0
2019-11-03,0,0,1
2019-11-04,0,3,56
2019-11-05,0,4,78
2019-11-06,0,2,31
2019-11-07,0,4,45
2019-11-08,0,1,17
2019-11-09,0,1,1
2019-11-10,1,0,0
2019-11-11,0,1,35
2019-11-12,0,3,31
2019-11-13,0,2,19
2019-11-14,0,2,13
2019-11-15,0,5,38
2019-11-16,0,0,9
2019-11-17,0,0,0
2019-11-18,0,3,46
2019-11-19,0,7,36
2019-11-20,0,5,24
2019-11-21,0,8,3
2019-11-22,0,11,33
2019-11-23,0,1,7
2019-11-24,0,0,0
2019-11-25,0,3,16
2019-11-26,0,0,28
2019-11-27,0,7,32
2019-11-28,0,1,0
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,1,0,0
2019-12-02,0,5,10
2019-12-03,0,2,17
2019-12-04,0,3,14
2019-12-05,0,5,5
2019-12-06,0,4,20
2019-12-07,0,0,20
2019-12-08,0,0,1
2019-12-09,0,2,11
2019-12-10,0,4,39
2019-12-11,0,8,1
2019-12-12,0,1,1
2019-12-13,0,6,22
2019-12-14,0,0,0
2019-12-15,0,1,0
2019-12-16,0,2,28
2019-12-17,0,2,15
2019-12-18,0,13,31
2019-12-19,0,3,1
2019-12-20,0,7,37
2019-12-21,0,4,0
2019-12-22,0,2,1
2019-12-23,0,6,52
2019-12-24,0,1,1
2019-12-25,0,0,0
2019-12-26,0,0,45
2019-12-27,0,1,21
2019-12-28,0,0,1
2019-12-29,0,0,0
2019-12-30,0,1,7
2019-12-31,0,1,12
2020-01-01,0,0,0
2020-01-02,0,3,33
2020-01-03,0,11,34
2020-01-04,0,2,0
2020-01-05,0,0,0
2020-01-06,0,4,15
2020-01-07,0,10,17
2020-01-08,0,8,31
2020-01-09,0,3,22
2020-01-10,0,8,14
2020-01-11,0,0,5
2020-01-12,0,0,0
2020-01-13,0,3,19
2020-01-14,0,2,4
2020-01-15,0,5,33
2020-01-16,0,5,28
2020-01-17,0,9,36
2020-01-18,0,3,4
2020-01-19,0,0,0
2020-01-20,0,0,17
2020-01-21,1,8,33
2020-01-22,0,8,35
2020-01-23,0,9,22
2020-01-24,2,14,1
2020-01-25,0,7,19
2020-01-26,0,0,1
2020-01-27,0,6,42
2020-01-28,0,10,28
2020-01-29,0,14,24
2020-01-30,0,6,24
2020-01-31,3,15,23
2020-02-01,0,0,3
2020-02-02,0,0,1
2020-02-03,0,3,17
2020-02-04,0,3,16
2020-02-05,0,9,25
2020-02-06,1,4,32
2020-02-07,0,4,27
2020-02-08,0,0,3
2020-02-09,0,0,2
2020-02-10,3,2,43
2020-02-11,0,6,16
2020-02-12,0,9,27
2020-02-13,0,4,12
2020-02-14,3,8,31
2020-02-15,0,2,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,2,40
2020-02-19,0,8,23
2020-02-20,2,15,26
2020-02-21,0,17,15
2020-02-22,0,1,7
2020-02-23,0,0,1
2020-02-24,1,11,2
2020-02-25,0,23,76
2020-02-26,0,14,54
2020-02-27,0,24,21
2020-02-28,0,7,17
2020-02-29,0,6,0
2020-03-01,0,0,0
2020-03-02,0,12,40
2020-03-03,0,12,14
2020-03-04,0,9,16
2020-03-05,0,8,20
2020-03-06,0,6,36
2020-03-07,0,3,4
2020-03-08,0,1,0
2020-03-09,3,4,12
2020-03-10,1,9,15
2020-03-11,0,15,4
2020-03-12,1,17,22
2020-03-13,0,16,25
2020-03-14,0,2,18
2020-03-15,0,0,13
2020-03-16,0,2,2
2020-03-17,0,13,7
2020-03-18,0,7,25
2020-03-19,0,11,1
2020-03-20,0,3,43
2020-03-21,0,2,1
2020-03-22,0,2,30
2020-03-23,0,2,24
2020-03-24,0,5,7
2020-03-25,0,11,13
2020-03-26,0,5,7
2020-03-27,0,4,58
2020-03-28,0,1,4
2020-03-29,0,0,1
2020-03-30,0,10,23
2020-03-31,0,8,111
2020-04-01,0,9,30
2020-04-02,0,9,23
2020-04-03,0,7,18
2020-04-04,0,1,5
2020-04-05,4,0,0
2020-04-06,0,2,29
2020-04-07,0,7,32
2020-04-08,2,7,23
2020-04-09,0,13,17
2020-04-10,0,9,18
2020-04-11,0,2,24
2020-04-12,0,0,1
