,protocolbuffers/protobuf,apache/thrift,apache/avro
2022-02-28,15,0,2
2022-03-01,7,1,0
2022-03-02,8,3,0
2022-03-03,7,0,5
2022-03-04,7,0,0
2022-03-05,7,8,0
2022-03-06,16,2,0
2022-03-07,7,0,1
2022-03-08,8,1,4
2022-03-09,10,1,0
2022-03-10,14,2,2
2022-03-11,3,1,0
2022-03-12,2,0,0
2022-03-13,15,1,0
2022-03-14,15,1,0
2022-03-15,7,0,0
2022-03-16,9,2,0
2022-03-17,7,1,0
2022-03-18,8,0,5
2022-03-19,1,2,0
2022-03-20,0,0,2
2022-03-21,2,0,0
2022-03-22,5,0,3
2022-03-23,4,0,0
2022-03-24,7,0,3
2022-03-25,3,0,0
2022-03-26,2,0,0
2022-03-27,0,0,0
2022-03-28,4,0,0
2022-03-29,13,0,4
2022-03-30,8,1,2
2022-03-31,6,1,0
2022-04-01,5,1,0
2022-04-02,1,0,0
2022-04-03,3,0,0
2022-04-04,5,0,0
2022-04-05,12,0,0
2022-04-06,10,0,0
2022-04-07,4,0,0
2022-04-08,5,0,0
2022-04-09,0,0,0
2022-04-10,0,0,0
2022-04-11,2,1,0
2022-04-12,5,1,0
2022-04-13,1,2,6
2022-04-14,2,1,1
2022-04-15,5,0,0
2022-04-16,0,1,1
2022-04-17,0,0,0
2022-04-18,10,1,4
2022-04-19,7,4,12
2022-04-20,7,3,4
2022-04-21,8,3,5
2022-04-22,16,0,0
2022-04-23,0,1,0
2022-04-24,1,0,0
2022-04-25,6,1,2
2022-04-26,17,0,0
2022-04-27,9,4,1
2022-04-28,7,1,0
2022-04-29,6,0,0
2022-04-30,1,0,1
2022-05-01,0,0,0
2022-05-02,2,0,1
2022-05-03,12,1,4
2022-05-04,7,0,2
2022-05-05,6,4,1
2022-05-06,11,5,0
2022-05-07,4,1,0
2022-05-08,0,2,1
