,elastic/elasticsearch,apache/solr,blevesearch/bleve
2022-08-15,15,2,0
2022-08-16,16,1,0
2022-08-17,32,0,0
2022-08-18,15,2,1
2022-08-19,0,2,0
2022-08-20,0,0,1
2022-08-21,0,0,0
2022-08-22,20,1,0
2022-08-23,16,0,0
2022-08-24,14,3,0
2022-08-25,11,1,0
2022-08-26,21,0,0
2022-08-27,1,0,0
2022-08-28,0,0,0
2022-08-29,15,2,0
2022-08-30,19,3,0
2022-08-31,12,1,0
2022-09-01,22,1,0
2022-09-02,3,2,0
2022-09-03,0,0,0
2022-09-04,0,1,0
2022-09-05,7,0,0
2022-09-06,17,4,0
2022-09-07,37,6,0
2022-09-08,34,0,0
2022-09-09,23,2,0
2022-09-10,1,0,0
2022-09-11,0,1,0
2022-09-12,25,2,0
2022-09-13,22,4,1
2022-09-14,16,3,0
2022-09-15,22,2,0
2022-09-16,1,3,0
2022-09-17,0,1,0
2022-09-18,0,0,0
2022-09-19,18,6,0
2022-09-20,28,5,0
2022-09-21,18,8,0
2022-09-22,15,4,0
2022-09-23,13,6,0
2022-09-24,1,0,0
2022-09-25,1,1,0
2022-09-26,33,0,0
2022-09-27,28,2,0
2022-09-28,18,2,0
2022-09-29,23,1,0
2022-09-30,17,0,0
2022-10-01,1,0,0
2022-10-02,0,2,0
2022-10-03,15,2,0
2022-10-04,21,1,0
2022-10-05,23,0,0
2022-10-06,15,0,1
2022-10-07,3,1,0
2022-10-08,0,0,0
2022-10-09,1,0,0
2022-10-10,25,0,1
2022-10-11,28,3,0
2022-10-12,31,4,2
2022-10-13,19,3,0
2022-10-14,38,8,0
2022-10-15,1,6,0
2022-10-16,0,3,0
2022-10-17,15,6,0
2022-10-18,21,9,1
2022-10-19,13,3,2
2022-10-20,19,13,1
2022-10-21,4,12,0
2022-10-22,0,0,0
2022-10-23,0,2,0
2022-10-24,15,13,0
2022-10-25,15,4,0
2022-10-26,13,27,0
2022-10-27,6,2,0
2022-10-28,7,17,0
2022-10-29,0,0,0
2022-10-30,0,3,0
2022-10-31,18,3,0
2022-11-01,25,4,0
2022-11-02,20,0,0
2022-11-03,25,3,0
2022-11-04,23,4,0
2022-11-05,3,0,0
2022-11-06,0,0,0
2022-11-07,19,0,0
2022-11-08,31,4,0
2022-11-09,28,3,0
2022-11-10,35,9,0
2022-11-11,9,6,2
2022-11-12,0,0,0
2022-11-13,0,3,0
2022-11-14,24,1,0
2022-11-15,29,0,0
2022-11-16,26,0,0
2022-11-17,22,1,1
2022-11-18,27,0,1
2022-11-19,3,0,0
2022-11-20,1,0,0
2022-11-21,21,1,0
2022-11-22,28,1,0
2022-11-23,24,0,0
2022-11-24,30,1,0
2022-11-25,1,5,0
2022-11-26,0,0,0
2022-11-27,1,0,0
2022-11-28,17,7,0
2022-11-29,14,2,0
2022-11-30,13,3,1
2022-12-01,9,1,1
2022-12-02,11,4,1
2022-12-03,0,2,0
2022-12-04,0,0,0
2022-12-05,20,1,0
2022-12-06,24,2,0
2022-12-07,28,8,0
2022-12-08,19,1,0
2022-12-09,3,2,0
2022-12-10,0,0,0
2022-12-11,3,0,0
2022-12-12,31,3,0
2022-12-13,18,1,0
2022-12-14,25,0,0
2022-12-15,15,4,1
2022-12-16,15,3,0
2022-12-17,2,0,0
2022-12-18,1,1,0
2022-12-19,12,0,1
2022-12-20,18,3,0
2022-12-21,27,1,0
2022-12-22,28,3,0
2022-12-23,12,0,0
2022-12-24,1,1,0
2022-12-25,0,0,0
2022-12-26,6,0,0
2022-12-27,9,1,0
2022-12-28,7,0,0
2022-12-29,3,0,0
2022-12-30,7,0,0
2022-12-31,1,3,0
2023-01-01,0,0,0
2023-01-02,0,2,0
2023-01-03,18,0,0
2023-01-04,24,4,0
2023-01-05,17,3,0
2023-01-06,3,5,0
2023-01-07,0,0,0
2023-01-08,0,1,0
2023-01-09,29,6,0
2023-01-10,24,5,0
2023-01-11,30,2,0
2023-01-12,23,3,0
2023-01-13,34,6,0
2023-01-14,3,0,0
2023-01-15,0,0,0
2023-01-16,24,2,0
2023-01-17,30,2,1
2023-01-18,24,4,0
2023-01-19,32,5,0
2023-01-20,4,3,1
2023-01-21,3,3,0
2023-01-22,1,1,0
2023-01-23,39,7,0
2023-01-24,43,1,0
2023-01-25,31,2,1
2023-01-26,30,0,0
2023-01-27,35,1,0
2023-01-28,1,0,0
2023-01-29,0,0,0
2023-01-30,33,3,0
2023-01-31,26,0,0
2023-02-01,30,2,0
2023-02-02,40,3,0
2023-02-03,3,3,0
2023-02-04,3,0,0
2023-02-05,0,0,0
2023-02-06,37,13,0
2023-02-07,47,0,0
2023-02-08,25,4,0
2023-02-09,27,1,0
2023-02-10,26,2,0
2023-02-11,5,0,0
2023-02-12,1,0,0
2023-02-13,25,1,0
2023-02-14,28,4,0
2023-02-15,13,3,0
2023-02-16,19,3,0
2023-02-17,6,1,0
2023-02-18,1,1,0
2023-02-19,0,1,0
2023-02-20,21,2,0
2023-02-21,26,2,2
2023-02-22,25,6,0
2023-02-23,27,3,0
2023-02-24,14,1,0
2023-02-25,1,1,0
2023-02-26,0,3,0
2023-02-27,18,5,0
2023-02-28,24,7,0
2023-03-01,27,17,0
2023-03-02,26,17,2
2023-03-03,3,2,0
2023-03-04,2,1,0
2023-03-05,0,0,0
2023-03-06,26,4,0
2023-03-07,23,5,0
2023-03-08,35,2,0
2023-03-09,17,2,0
2023-03-10,32,1,0
2023-03-11,3,1,0
2023-03-12,0,0,0
2023-03-13,3,4,0
2023-03-14,7,4,0
2023-03-15,5,3,0
2023-03-16,6,4,0
2023-03-17,1,4,3
2023-03-18,3,1,0
2023-03-19,0,0,0
2023-03-20,22,5,0
2023-03-21,32,5,0
2023-03-22,28,1,0
2023-03-23,20,4,0
2023-03-24,22,3,0
2023-03-25,1,0,0
2023-03-26,2,0,0
2023-03-27,41,6,0
2023-03-28,36,1,0
2023-03-29,29,6,0
2023-03-30,34,6,0
2023-03-31,34,3,0
2023-04-01,0,1,0
2023-04-02,0,11,0
2023-04-03,12,7,1
2023-04-04,23,8,0
2023-04-05,34,7,1
2023-04-06,20,9,0
2023-04-07,6,2,1
2023-04-08,0,0,0
2023-04-09,2,0,0
2023-04-10,16,5,0
2023-04-11,39,2,0
2023-04-12,25,8,0
2023-04-13,24,0,0
2023-04-14,5,3,0
2023-04-15,1,2,0
2023-04-16,0,1,0
2023-04-17,48,3,0
2023-04-18,40,2,0
2023-04-19,22,4,0
2023-04-20,43,1,0
2023-04-21,35,1,0
2023-04-22,4,0,0
2023-04-23,0,0,0
2023-04-24,33,5,0
2023-04-25,24,7,1
2023-04-26,22,4,0
2023-04-27,29,2,0
2023-04-28,20,1,0
2023-04-29,3,2,0
2023-04-30,1,2,0
2023-05-01,13,4,1
2023-05-02,28,5,0
2023-05-03,39,2,0
2023-05-04,33,1,1
2023-05-05,21,2,0
2023-05-06,1,0,0
2023-05-07,2,0,0
2023-05-08,18,1,0
2023-05-09,32,3,0
2023-05-10,25,3,0
2023-05-11,25,2,0
2023-05-12,17,3,0
2023-05-13,1,0,0
2023-05-14,0,0,0
2023-05-15,22,5,0
2023-05-16,31,1,0
