,pytorch/vision,facebookresearch/detectron2,fizyr/keras-retinanet
2020-08-01,0,0,3
2020-08-02,0,0,0
2020-08-03,14,0,2
2020-08-04,2,1,0
2020-08-05,1,1,0
2020-08-06,1,1,0
2020-08-07,2,2,0
2020-08-08,1,1,0
2020-08-09,0,0,0
2020-08-10,0,1,0
2020-08-11,1,3,1
2020-08-12,0,1,0
2020-08-13,0,3,0
2020-08-14,1,1,0
2020-08-15,0,3,1
2020-08-16,0,1,0
2020-08-17,0,2,0
2020-08-18,0,4,0
2020-08-19,0,1,0
2020-08-20,4,2,0
2020-08-21,3,1,0
2020-08-22,0,2,0
2020-08-23,0,0,0
2020-08-24,3,0,2
2020-08-25,3,3,0
2020-08-26,1,1,1
2020-08-27,2,2,7
2020-08-28,2,0,7
2020-08-29,0,0,0
2020-08-30,0,2,0
2020-08-31,1,1,0
2020-09-01,3,0,0
2020-09-02,3,3,2
2020-09-03,1,1,0
2020-09-04,0,10,0
2020-09-05,0,0,0
2020-09-06,0,0,0
2020-09-07,1,2,0
2020-09-08,0,2,0
2020-09-09,2,3,0
2020-09-10,0,2,0
2020-09-11,0,0,0
2020-09-12,0,0,0
2020-09-13,0,0,0
2020-09-14,9,0,0
2020-09-15,0,5,0
2020-09-16,0,0,0
2020-09-17,0,2,0
2020-09-18,4,3,0
2020-09-19,0,1,0
2020-09-20,0,1,0
2020-09-21,1,3,1
2020-09-22,7,0,0
2020-09-23,1,1,0
2020-09-24,3,1,0
2020-09-25,1,3,5
2020-09-26,0,1,0
2020-09-27,0,0,0
2020-09-28,4,3,2
2020-09-29,6,3,0
2020-09-30,2,2,0
2020-10-01,3,2,6
2020-10-02,1,1,0
2020-10-03,1,0,0
2020-10-04,0,2,2
2020-10-05,6,4,0
2020-10-06,5,1,3
2020-10-07,9,0,0
2020-10-08,1,0,0
2020-10-09,2,4,0
2020-10-10,0,0,0
2020-10-11,1,1,0
2020-10-12,4,19,0
2020-10-13,3,7,0
2020-10-14,7,6,0
2020-10-15,1,3,0
2020-10-16,5,1,0
2020-10-17,0,1,0
2020-10-18,0,0,0
2020-10-19,0,2,0
2020-10-20,2,2,0
2020-10-21,7,1,0
2020-10-22,7,1,0
2020-10-23,6,3,0
2020-10-24,0,3,0
2020-10-25,0,0,0
2020-10-26,6,1,0
2020-10-27,7,3,0
2020-10-28,1,1,0
2020-10-29,0,2,0
2020-10-30,10,5,0
2020-10-31,0,1,0
2020-11-01,0,0,0
2020-11-02,2,2,0
2020-11-03,2,2,0
2020-11-04,2,4,0
2020-11-05,2,5,0
2020-11-06,6,5,0
2020-11-07,0,1,0
2020-11-08,0,3,0
2020-11-09,7,2,0
