,definitelytyped/definitelytyped,microsoft/TypeScript,sindresorhus/type-fest
2020-01-16,28,5,0
2020-01-17,36,9,0
2020-01-18,4,3,0
2020-01-19,0,0,0
2020-01-20,17,0,0
2020-01-21,33,8,1
2020-01-22,35,8,0
2020-01-23,22,9,0
2020-01-24,1,14,2
2020-01-25,19,7,0
2020-01-26,1,0,0
2020-01-27,42,6,0
2020-01-28,28,10,0
2020-01-29,24,14,0
2020-01-30,24,6,0
2020-01-31,23,15,3
2020-02-01,3,0,0
2020-02-02,1,0,0
2020-02-03,17,3,0
2020-02-04,16,3,0
2020-02-05,25,9,0
2020-02-06,32,4,1
2020-02-07,27,4,0
2020-02-08,3,0,0
2020-02-09,2,0,0
2020-02-10,43,2,3
2020-02-11,16,6,0
2020-02-12,27,9,0
2020-02-13,12,4,0
2020-02-14,31,8,3
2020-02-15,0,2,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,40,2,0
2020-02-19,23,8,0
2020-02-20,26,15,2
2020-02-21,15,17,0
2020-02-22,7,1,0
2020-02-23,1,0,0
2020-02-24,2,11,1
2020-02-25,76,23,0
2020-02-26,54,14,0
2020-02-27,21,24,0
2020-02-28,17,7,0
2020-02-29,0,6,0
2020-03-01,0,0,0
2020-03-02,40,12,0
2020-03-03,14,12,0
2020-03-04,16,9,0
2020-03-05,20,8,0
2020-03-06,36,6,0
2020-03-07,4,3,0
2020-03-08,0,1,0
2020-03-09,12,4,3
2020-03-10,15,9,1
2020-03-11,4,15,0
2020-03-12,22,17,1
2020-03-13,25,16,0
2020-03-14,18,2,0
2020-03-15,13,0,0
2020-03-16,2,2,0
2020-03-17,7,13,0
2020-03-18,25,7,0
2020-03-19,1,11,0
2020-03-20,43,3,0
2020-03-21,1,2,0
2020-03-22,30,2,0
2020-03-23,24,2,0
2020-03-24,7,5,0
2020-03-25,13,11,0
2020-03-26,7,5,0
2020-03-27,58,4,0
2020-03-28,4,1,0
2020-03-29,1,0,0
2020-03-30,23,10,0
2020-03-31,111,8,0
2020-04-01,30,9,0
2020-04-02,23,9,0
2020-04-03,18,7,0
2020-04-04,5,1,0
2020-04-05,0,0,4
2020-04-06,29,2,0
2020-04-07,32,7,0
2020-04-08,23,7,2
2020-04-09,17,13,0
2020-04-10,18,9,0
2020-04-11,24,2,0
2020-04-12,1,0,0
