,minio/minio,ceph/ceph,seaweedfs/seaweedfs
2019-03-11,0,42.0,5
2019-03-12,1,52.0,0
2019-03-13,2,34.0,0
2019-03-14,6,29.0,2
2019-03-15,0,81.0,7
2019-03-16,0,29.0,5
2019-03-17,2,10.0,0
2019-03-18,3,21.0,8
2019-03-19,3,31.0,3
2019-03-20,4,94.0,10
2019-03-21,3,109.0,2
2019-03-22,0,88.0,0
2019-03-23,1,9.0,5
2019-03-24,0,6.0,0
2019-03-25,7,45.0,3
2019-03-26,2,51.0,6
2019-03-27,4,36.0,2
2019-03-28,1,29.0,3
2019-03-29,0,162.0,0
2019-03-30,0,6.0,2
2019-03-31,1,4.0,5
2019-04-01,1,27.0,3
2019-04-02,5,49.0,2
2019-04-03,2,49.0,1
2019-04-04,5,36.0,1
2019-04-05,2,63.0,11
2019-04-06,0,4.0,17
2019-04-07,0,7.0,3
2019-04-08,2,62.0,1
2019-04-09,4,40.0,12
2019-04-10,3,17.0,2
2019-04-11,0,37.0,10
2019-04-12,4,54.0,3
2019-04-13,1,21.0,0
2019-04-14,0,8.0,0
2019-04-15,0,23.0,3
2019-04-16,0,55.0,14
2019-04-17,2,46.0,2
2019-04-18,7,27.0,4
2019-04-19,1,13.0,9
2019-04-20,0,13.0,4
2019-04-21,0,2.0,12
2019-04-22,2,34.0,1
2019-04-23,3,33.0,0
2019-04-24,2,58.0,9
2019-04-25,1,48.0,4
2019-04-26,2,23.0,2
2019-04-27,1,7.0,0
2019-04-28,0,35.0,0
2019-04-29,4,45.0,3
2019-04-30,1,28.0,4
2019-05-01,2,95.0,0
2019-05-02,5,28.0,1
2019-05-03,2,13.0,7
2019-05-04,0,6.0,8
2019-05-05,0,4.0,1
2019-05-06,1,47.0,13
2019-05-07,4,40.0,1
2019-05-08,0,39.0,0
2019-05-09,1,54.0,0
2019-05-10,1,45.0,1
2019-05-11,1,3.0,2
2019-05-12,1,4.0,1
2019-05-13,2,32.0,0
2019-05-14,4,18.0,0
2019-05-15,1,13.0,4
2019-05-16,3,8.0,1
2019-05-17,2,11.0,3
2019-05-18,0,0.0,5
2019-05-19,0,2.0,3
2019-05-20,1,6.0,6
2019-05-21,0,19.0,0
2019-05-22,7,3.0,1
2019-05-23,1,13.0,3
2019-05-24,1,8.0,5
2019-05-25,0,1.0,2
2019-05-26,0,1.0,6
2019-05-27,0,16.0,2
2019-05-28,2,37.0,8
2019-05-29,6,58.0,3
2019-05-30,3,43.0,6
2019-05-31,3,35.0,4
2019-06-01,1,2.0,5
2019-06-02,0,1.0,0
2019-06-03,4,43.0,4
2019-06-04,4,48.0,5
2019-06-05,1,43.0,10
2019-06-06,1,39.0,5
2019-06-07,2,19.0,1
2019-06-08,1,19.0,0
2019-06-09,2,5.0,0
2019-06-10,1,13.0,0
2019-06-11,5,44.0,5
2019-06-12,4,43.0,0
2019-06-13,2,22.0,1
2019-06-14,0,40.0,3
2019-06-15,5,6.0,1
2019-06-16,0,2.0,3
2019-06-17,1,18.0,3
2019-06-18,3,26.0,1
2019-06-19,3,34.0,0
2019-06-20,3,46.0,5
2019-06-21,4,31.0,10
2019-06-22,0,4.0,7
2019-06-23,1,7.0,9
2019-06-24,2,57.0,2
2019-06-25,5,28.0,1
2019-06-26,1,23.0,3
2019-06-27,6,22.0,3
2019-06-28,0,25.0,3
2019-06-29,1,21.0,1
2019-06-30,0,6.0,2
2019-07-01,1,22.0,4
2019-07-02,1,116.0,0
2019-07-03,5,36.0,6
2019-07-04,1,25.0,0
2019-07-05,7,32.0,0
2019-07-06,2,1.0,0
2019-07-07,0,3.0,0
2019-07-08,1,33.0,4
2019-07-09,2,38.0,0
2019-07-10,5,36.0,1
2019-07-11,4,27.0,3
2019-07-12,4,50.0,0
2019-07-13,1,17.0,0
2019-07-14,0,0.0,0
2019-07-15,3,33.0,1
2019-07-16,1,49.0,1
2019-07-17,4,49.0,3
2019-07-18,3,25.0,5
2019-07-19,2,56.0,0
2019-07-20,2,11.0,0
2019-07-21,1,1.0,7
2019-07-22,0,52.0,4
2019-07-23,5,33.0,0
2019-07-24,4,33.0,4
2019-07-25,5,61.0,2
2019-07-26,4,66.0,1
2019-07-27,0,10.0,0
2019-07-28,1,7.0,2
2019-07-29,2,156.0,0
2019-07-30,2,45.0,1
2019-07-31,4,53.0,4
2019-08-01,5,38.0,3
2019-08-02,4,27.0,0
2019-08-03,0,70.0,0
2019-08-04,0,5.0,0
2019-08-05,3,48.0,2
2019-08-06,1,65.0,1
2019-08-07,2,34.0,0
2019-08-08,3,44.0,0
2019-08-09,3,26.0,1
2019-08-10,3,0.0,2
2019-08-11,1,3.0,0
2019-08-12,2,41.0,1
2019-08-13,9,23.0,0
2019-08-14,5,22.0,1
2019-08-15,3,58.0,4
2019-08-16,0,36.0,2
2019-08-17,1,5.0,0
2019-08-18,0,1.0,0
2019-08-19,4,52.0,2
2019-08-20,1,49.0,0
2019-08-21,6,28.0,2
2019-08-22,2,31.0,0
2019-08-23,3,97.0,4
2019-08-24,1,23.0,0
2019-08-25,1,10.0,0
2019-08-26,0,46.0,1
2019-08-27,1,54.0,0
2019-08-28,4,81.0,0
2019-08-29,3,22.0,0
2019-08-30,4,40.0,8
2019-08-31,3,2.0,0
2019-09-01,1,0.0,2
2019-09-02,0,15.0,4
2019-09-03,1,44.0,13
2019-09-04,2,36.0,3
2019-09-05,6,62.0,9
2019-09-06,1,42.0,4
2019-09-07,0,5.0,0
2019-09-08,1,2.0,0
2019-09-09,1,42.0,2
2019-09-10,3,49.0,2
2019-09-11,6,68.0,3
2019-09-12,8,40.0,3
2019-09-13,3,114.0,1
2019-09-14,0,6.0,2
2019-09-15,0,6.0,0
2019-09-16,5,64.0,2
2019-09-17,7,51.0,0
2019-09-18,5,68.0,0
2019-09-19,3,44.0,2
2019-09-20,5,25.0,1
2019-09-21,0,3.0,0
2019-09-22,5,27.0,0
2019-09-23,6,35.0,0
2019-09-24,2,34.0,0
2019-09-25,5,41.0,0
2019-09-26,5,52.0,0
2019-09-27,5,61.0,0
2019-09-28,0,35.0,0
2019-09-29,0,14.0,4
2019-09-30,4,37.0,0
2019-10-01,11,53.0,2
2019-10-02,3,47.0,0
2019-10-03,2,27.0,0
2019-10-04,2,57.0,0
2019-10-05,0,62.0,0
2019-10-06,1,12.0,1
2019-10-07,2,20.0,3
2019-10-08,2,47.0,0
2019-10-09,1,30.0,4
2019-10-10,3,64.0,2
2019-10-11,4,37.0,0
2019-10-12,5,8.0,3
2019-10-13,0,0.0,0
2019-10-14,2,17.0,5
2019-10-15,0,40.0,0
2019-10-16,5,35.0,0
2019-10-17,2,16.0,0
2019-10-18,3,24.0,4
2019-10-19,0,14.0,0
2019-10-20,0,3.0,0
2019-10-21,2,37.0,0
2019-10-22,1,44.0,8
2019-10-23,4,60.0,2
2019-10-24,1,43.0,7
2019-10-25,1,48.0,9
2019-10-26,0,5.0,0
2019-10-27,1,23.0,1
2019-10-28,4,53.0,0
2019-10-29,2,44.0,3
2019-10-30,6,39.0,8
2019-10-31,3,23.0,3
2019-11-01,2,63.0,0
2019-11-02,0,17.0,0
2019-11-03,0,17.0,0
2019-11-04,2,74.0,1
2019-11-05,2,51.0,1
2019-11-06,0,55.0,0
2019-11-07,0,58.0,0
2019-11-08,1,66.0,2
2019-11-09,2,23.0,5
2019-11-10,0,10.0,5
2019-11-11,2,47.0,4
2019-11-12,4,66.0,7
2019-11-13,4,46.0,1
2019-11-14,5,37.0,0
2019-11-15,2,34.0,1
2019-11-16,2,11.0,0
2019-11-17,0,22.0,1
2019-11-18,0,42.0,0
2019-11-19,2,43.0,4
2019-11-20,6,103.0,2
2019-11-21,6,69.0,0
2019-11-22,6,43.0,3
2019-11-23,0,7.0,2
2019-11-24,0,21.0,0
2019-11-25,1,26.0,2
2019-11-26,4,59.0,0
2019-11-27,2,40.0,9
2019-11-28,1,35.0,3
2019-11-29,3,8.0,9
