,reduxjs/redux-toolkit,mobxjs/mobx,reduxjs/redux
2022-10-17,0,0,0
2022-10-18,11,0,0
2022-10-19,4,0,0
2022-10-20,5,0,0
2022-10-21,2,0,0
2022-10-22,0,0,0
2022-10-23,0,0,0
2022-10-24,0,0,0
2022-10-25,0,0,0
2022-10-26,3,0,0
2022-10-27,0,0,0
2022-10-28,3,0,1
2022-10-29,0,2,0
2022-10-30,13,0,0
2022-10-31,2,0,0
2022-11-01,4,1,0
2022-11-02,3,0,0
2022-11-03,2,0,0
2022-11-04,4,1,0
2022-11-05,0,1,0
2022-11-06,0,0,0
2022-11-07,0,1,0
2022-11-08,2,0,0
2022-11-09,6,0,0
2022-11-10,1,0,0
2022-11-11,0,0,0
2022-11-12,0,0,1
2022-11-13,0,0,1
2022-11-14,1,1,1
2022-11-15,1,2,0
2022-11-16,0,0,0
2022-11-17,0,0,0
2022-11-18,0,1,0
2022-11-19,0,0,0
2022-11-20,0,0,1
2022-11-21,0,0,3
2022-11-22,0,0,0
2022-11-23,0,1,0
2022-11-24,0,0,0
2022-11-25,0,0,0
2022-11-26,0,0,0
2022-11-27,1,0,0
2022-11-28,1,0,2
2022-11-29,1,0,0
2022-11-30,12,0,2
2022-12-01,2,1,0
2022-12-02,0,0,0
2022-12-03,0,0,0
2022-12-04,0,0,0
2022-12-05,0,0,2
2022-12-06,0,0,0
2022-12-07,2,0,0
2022-12-08,0,0,0
2022-12-09,0,0,0
2022-12-10,3,0,0
2022-12-11,1,0,0
2022-12-12,2,0,0
2022-12-13,0,0,0
2022-12-14,0,0,0
2022-12-15,0,0,1
2022-12-16,0,0,0
2022-12-17,0,0,0
2022-12-18,0,0,0
2022-12-19,0,0,0
2022-12-20,0,0,0
2022-12-21,0,0,0
2022-12-22,0,0,0
2022-12-23,0,0,0
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,3,0,6
2022-12-28,1,0,0
2022-12-29,0,0,0
2022-12-30,0,0,0
2022-12-31,0,0,0
2023-01-01,0,0,0
2023-01-02,1,0,0
2023-01-03,0,2,0
2023-01-04,0,0,1
2023-01-05,0,0,2
2023-01-06,0,0,0
2023-01-07,0,1,0
2023-01-08,2,0,0
2023-01-09,0,0,0
2023-01-10,0,1,1
2023-01-11,0,0,0
2023-01-12,0,4,0
2023-01-13,0,0,0
2023-01-14,14,2,0
2023-01-15,0,0,0
2023-01-16,1,0,0
2023-01-17,4,0,0
2023-01-18,2,0,0
2023-01-19,3,0,0
2023-01-20,1,0,0
2023-01-21,8,0,0
2023-01-22,0,0,0
2023-01-23,0,1,0
2023-01-24,0,0,3
2023-01-25,0,0,0
2023-01-26,0,0,1
2023-01-27,0,0,0
2023-01-28,20,1,6
2023-01-29,0,3,3
2023-01-30,4,4,2
2023-01-31,0,0,0
2023-02-01,0,1,2
2023-02-02,0,0,0
2023-02-03,0,0,0
2023-02-04,0,0,0
2023-02-05,0,0,0
2023-02-06,0,0,0
2023-02-07,2,0,0
2023-02-08,0,0,0
2023-02-09,0,2,0
2023-02-10,0,0,0
2023-02-11,0,0,0
2023-02-12,0,0,12
2023-02-13,2,0,10
2023-02-14,1,0,0
2023-02-15,3,0,5
2023-02-16,0,0,1
2023-02-17,0,0,0
2023-02-18,0,0,0
2023-02-19,0,0,0
2023-02-20,4,0,0
2023-02-21,3,0,0
2023-02-22,0,0,1
2023-02-23,0,0,0
2023-02-24,3,0,0
2023-02-25,0,0,0
2023-02-26,3,0,0
2023-02-27,0,0,0
2023-02-28,0,0,1
2023-03-01,0,0,0
2023-03-02,0,0,0
2023-03-03,0,0,0
2023-03-04,0,1,0
2023-03-05,0,3,0
2023-03-06,1,0,5
2023-03-07,0,0,3
2023-03-08,0,1,2
2023-03-09,0,0,8
2023-03-10,0,0,0
2023-03-11,6,0,2
2023-03-12,1,0,2
2023-03-13,5,0,0
2023-03-14,2,0,0
2023-03-15,0,0,0
2023-03-16,0,0,0
2023-03-17,0,0,0
2023-03-18,3,0,0
2023-03-19,1,0,0
2023-03-20,0,0,0
2023-03-21,1,0,0
2023-03-22,0,0,0
2023-03-23,0,0,1
2023-03-24,4,0,1
2023-03-25,6,1,0
2023-03-26,13,2,1
2023-03-27,14,0,0
2023-03-28,8,1,0
2023-03-29,0,0,0
2023-03-30,1,0,0
2023-03-31,0,0,0
2023-04-01,0,0,0
2023-04-02,8,0,1
2023-04-03,11,0,12
2023-04-04,0,0,0
2023-04-05,1,0,0
2023-04-06,13,1,2
2023-04-07,13,0,0
2023-04-08,1,0,0
2023-04-09,0,0,0
2023-04-10,0,0,1
2023-04-11,0,0,3
2023-04-12,14,0,0
2023-04-13,0,0,0
2023-04-14,0,0,0
2023-04-15,2,0,1
2023-04-16,14,0,10
2023-04-17,13,0,0
2023-04-18,20,0,3
2023-04-19,1,0,1
2023-04-20,1,0,0
2023-04-21,1,0,0
2023-04-22,0,0,1
2023-04-23,0,0,1
2023-04-24,0,0,1
2023-04-25,3,0,7
2023-04-26,0,0,0
2023-04-27,1,0,2
2023-04-28,3,0,2
2023-04-29,5,0,0
2023-04-30,4,0,1
2023-05-01,0,0,2
2023-05-02,8,0,0
2023-05-03,3,0,0
2023-05-04,0,0,1
2023-05-05,30,0,2
2023-05-06,15,0,0
2023-05-07,17,0,0
2023-05-08,7,0,5
2023-05-09,0,0,2
2023-05-10,1,0,0
2023-05-11,0,0,0
2023-05-12,0,0,0
2023-05-13,1,0,0
2023-05-14,10,0,2
2023-05-15,0,0,0
2023-05-16,17,0,5
2023-05-17,0,0,0
2023-05-18,0,0,0
2023-05-19,2,0,0
2023-05-20,0,0,1
2023-05-21,10,0,3
2023-05-22,2,0,3
2023-05-23,0,0,0
2023-05-24,1,0,0
2023-05-25,4,0,0
2023-05-26,5,0,0
2023-05-27,2,0,0
2023-05-28,0,0,0
2023-05-29,14,0,0
2023-05-30,17,0,2
2023-05-31,10,0,0
2023-06-01,0,0,0
2023-06-02,1,0,0
