,NativeScript/NativeScript,facebook/react-native,flutter/flutter
2019-08-14,5,20,23
2019-08-15,5,18,30
2019-08-16,1,4,28
2019-08-17,0,0,5
2019-08-18,2,0,3
2019-08-19,5,16,14
2019-08-20,4,3,32
2019-08-21,2,10,20
2019-08-22,4,10,19
2019-08-23,3,10,16
2019-08-24,0,1,3
2019-08-25,0,0,2
2019-08-26,1,2,14
2019-08-27,0,6,17
2019-08-28,4,6,31
2019-08-29,3,7,15
2019-08-30,2,8,15
2019-08-31,0,19,10
2019-09-01,0,0,0
2019-09-02,0,5,13
2019-09-03,0,13,25
2019-09-04,1,14,5
2019-09-05,0,12,21
2019-09-06,0,20,17
2019-09-07,0,7,5
2019-09-08,0,1,0
2019-09-09,0,9,2
2019-09-10,5,13,21
2019-09-11,1,12,21
2019-09-12,3,12,19
2019-09-13,3,7,16
2019-09-14,0,6,10
2019-09-15,0,0,0
2019-09-16,0,0,27
2019-09-17,2,11,12
2019-09-18,1,12,20
2019-09-19,3,14,20
2019-09-20,0,14,13
2019-09-21,0,4,0
2019-09-22,0,1,0
2019-09-23,0,23,4
2019-09-24,1,4,25
2019-09-25,1,15,21
2019-09-26,0,10,27
2019-09-27,1,5,23
2019-09-28,1,3,7
2019-09-29,0,0,4
2019-09-30,1,26,18
2019-10-01,2,12,14
2019-10-02,6,9,23
2019-10-03,1,15,9
2019-10-04,3,6,28
2019-10-05,0,2,5
2019-10-06,0,0,2
2019-10-07,2,10,13
2019-10-08,5,15,14
2019-10-09,3,21,23
2019-10-10,6,13,35
2019-10-11,0,33,19
2019-10-12,0,7,0
2019-10-13,0,0,1
2019-10-14,2,9,16
2019-10-15,6,18,26
2019-10-16,6,19,11
2019-10-17,2,6,15
2019-10-18,0,8,24
2019-10-19,0,8,0
2019-10-20,0,0,0
2019-10-21,2,19,13
2019-10-22,4,29,11
2019-10-23,3,13,12
2019-10-24,2,4,28
2019-10-25,1,19,12
2019-10-26,0,1,9
2019-10-27,0,0,0
2019-10-28,2,16,29
2019-10-29,4,6,24
2019-10-30,0,10,20
2019-10-31,1,19,19
2019-11-01,1,30,19
2019-11-02,0,6,2
2019-11-03,0,9,0
2019-11-04,0,25,5
2019-11-05,0,25,30
2019-11-06,4,27,23
2019-11-07,5,14,19
2019-11-08,1,12,18
2019-11-09,0,8,12
2019-11-10,0,1,2
2019-11-11,1,13,10
2019-11-12,2,13,9
2019-11-13,0,18,12
2019-11-14,4,9,20
2019-11-15,0,17,17
2019-11-16,0,13,7
2019-11-17,0,2,3
2019-11-18,1,10,13
2019-11-19,2,16,24
2019-11-20,4,9,21
2019-11-21,7,16,22
2019-11-22,1,17,23
2019-11-23,0,10,9
2019-11-24,0,0,1
2019-11-25,0,0,13
2019-11-26,4,0,20
2019-11-27,1,25,21
2019-11-28,1,1,7
2019-11-29,2,0,1
2019-11-30,0,2,1
2019-12-01,0,1,0
2019-12-02,1,12,8
2019-12-03,5,8,23
2019-12-04,3,11,27
2019-12-05,3,16,19
2019-12-06,2,12,15
2019-12-07,0,6,1
2019-12-08,0,2,0
2019-12-09,2,7,13
2019-12-10,1,11,20
2019-12-11,0,13,6
2019-12-12,1,18,12
2019-12-13,5,3,16
2019-12-14,0,8,0
2019-12-15,0,0,0
2019-12-16,2,7,12
2019-12-17,2,10,16
2019-12-18,0,19,21
2019-12-19,0,16,19
2019-12-20,2,11,7
2019-12-21,0,2,7
2019-12-22,0,0,0
2019-12-23,0,5,5
2019-12-24,0,7,2
2019-12-25,0,0,0
2019-12-26,0,0,8
2019-12-27,0,4,5
2019-12-28,0,1,3
2019-12-29,0,0,1
2019-12-30,0,1,3
2019-12-31,0,1,1
2020-01-01,0,0,0
2020-01-02,0,4,6
2020-01-03,1,5,14
2020-01-04,0,0,1
2020-01-05,0,1,0
2020-01-06,1,6,14
2020-01-07,0,11,13
2020-01-08,2,3,28
2020-01-09,1,1,11
2020-01-10,2,0,18
2020-01-11,0,0,6
2020-01-12,0,0,0
2020-01-13,0,4,11
2020-01-14,2,24,18
2020-01-15,1,9,12
2020-01-16,3,6,26
2020-01-17,0,2,22
2020-01-18,0,7,2
2020-01-19,0,2,0
2020-01-20,0,13,0
2020-01-21,1,6,9
2020-01-22,1,8,26
2020-01-23,1,14,5
2020-01-24,0,5,18
2020-01-25,0,2,15
2020-01-26,0,0,3
2020-01-27,2,12,12
2020-01-28,1,18,28
2020-01-29,0,17,24
2020-01-30,3,11,19
2020-01-31,3,11,23
2020-02-01,0,7,5
2020-02-02,0,0,0
2020-02-03,1,12,8
2020-02-04,0,10,21
2020-02-05,7,10,17
2020-02-06,2,10,27
2020-02-07,0,7,24
2020-02-08,0,3,5
2020-02-09,0,0,0
2020-02-10,1,13,18
2020-02-11,0,7,14
2020-02-12,0,9,22
2020-02-13,2,16,27
2020-02-14,0,9,13
2020-02-15,0,1,4
2020-02-16,0,0,0
2020-02-17,3,2,1
2020-02-18,0,15,13
2020-02-19,0,14,10
2020-02-20,0,12,18
2020-02-21,6,16,10
2020-02-22,0,3,0
2020-02-23,1,0,5
2020-02-24,1,7,11
2020-02-25,4,12,15
2020-02-26,2,10,21
2020-02-27,7,35,22
2020-02-28,0,11,27
2020-02-29,0,4,6
2020-03-01,0,2,0
2020-03-02,0,9,7
2020-03-03,0,9,15
2020-03-04,0,19,17
2020-03-05,1,10,22
2020-03-06,4,8,25
2020-03-07,2,3,3
2020-03-08,0,0,6
2020-03-09,6,20,10
2020-03-10,7,14,23
2020-03-11,1,9,15
2020-03-12,0,10,16
2020-03-13,2,0,23
2020-03-14,0,9,10
2020-03-15,0,0,7
2020-03-16,3,13,13
2020-03-17,1,8,12
2020-03-18,1,5,25
2020-03-19,2,3,22
2020-03-20,2,9,22
2020-03-21,0,1,0
2020-03-22,0,1,0
2020-03-23,1,8,7
2020-03-24,1,10,16
2020-03-25,0,10,31
2020-03-26,4,13,11
2020-03-27,0,2,16
2020-03-28,0,8,5
2020-03-29,1,0,3
2020-03-30,1,14,12
2020-03-31,0,11,19
2020-04-01,2,13,17
2020-04-02,3,11,17
2020-04-03,4,18,21
2020-04-04,0,8,5
2020-04-05,0,0,9
2020-04-06,1,5,16
2020-04-07,1,9,21
2020-04-08,0,8,20
2020-04-09,0,10,19
2020-04-10,2,4,27
2020-04-11,0,2,9
2020-04-12,0,0,4
2020-04-13,0,0,15
2020-04-14,2,8,9
2020-04-15,0,7,12
2020-04-16,0,14,26
2020-04-17,0,9,12
2020-04-18,0,7,7
2020-04-19,0,3,1
2020-04-20,1,13,21
2020-04-21,0,8,11
2020-04-22,0,12,30
2020-04-23,0,14,17
2020-04-24,0,5,8
2020-04-25,0,3,7
2020-04-26,0,1,1
2020-04-27,0,13,22
2020-04-28,0,9,17
2020-04-29,0,13,20
2020-04-30,0,7,3
2020-05-01,0,11,11
2020-05-02,0,4,8
2020-05-03,0,3,6
2020-05-04,0,9,12
2020-05-05,0,9,21
2020-05-06,0,13,13
2020-05-07,0,9,7
2020-05-08,1,16,33
2020-05-09,0,1,1
2020-05-10,0,7,5
2020-05-11,0,14,17
2020-05-12,0,11,7
2020-05-13,0,13,12
2020-05-14,0,16,35
2020-05-15,0,11,4
2020-05-16,0,6,10
2020-05-17,0,1,0
2020-05-18,0,12,31
2020-05-19,0,10,5
2020-05-20,0,19,14
2020-05-21,0,20,7
2020-05-22,0,9,2
2020-05-23,0,1,1
2020-05-24,0,1,0
2020-05-25,0,0,0
2020-05-26,0,7,2
2020-05-27,0,10,28
2020-05-28,0,9,18
2020-05-29,0,9,17
2020-05-30,0,3,1
2020-05-31,0,0,5
2020-06-01,0,1,12
2020-06-02,0,3,12
2020-06-03,2,6,30
2020-06-04,3,6,31
2020-06-05,1,4,15
2020-06-06,4,6,5
2020-06-07,0,3,6
2020-06-08,1,6,25
2020-06-09,0,9,20
2020-06-10,2,5,15
2020-06-11,0,12,14
2020-06-12,0,7,12
2020-06-13,1,1,1
2020-06-14,0,3,0
2020-06-15,0,1,14
2020-06-16,3,10,25
2020-06-17,2,8,10
2020-06-18,2,7,25
2020-06-19,1,7,16
2020-06-20,1,6,0
2020-06-21,0,2,0
2020-06-22,0,3,4
2020-06-23,0,7,40
2020-06-24,2,5,28
2020-06-25,0,3,13
2020-06-26,0,0,17
2020-06-27,0,2,1
2020-06-28,0,2,0
2020-06-29,0,12,17
2020-06-30,3,14,17
2020-07-01,0,8,5
2020-07-02,0,18,9
2020-07-03,0,2,0
2020-07-04,0,1,0
2020-07-05,0,0,4
2020-07-06,2,6,8
2020-07-07,3,9,13
2020-07-08,0,3,24
2020-07-09,0,6,32
2020-07-10,0,6,16
2020-07-11,2,7,5
2020-07-12,0,1,0
2020-07-13,0,2,18
2020-07-14,0,11,21
2020-07-15,0,7,29
2020-07-16,0,13,23
2020-07-17,0,4,17
2020-07-18,0,0,0
2020-07-19,0,1,0
2020-07-20,2,7,14
2020-07-21,2,2,14
2020-07-22,3,5,1
2020-07-23,0,3,32
2020-07-24,0,5,17
2020-07-25,0,6,4
2020-07-26,0,0,0
2020-07-27,0,14,2
2020-07-28,0,10,45
2020-07-29,0,6,26
2020-07-30,0,5,19
2020-07-31,0,18,11
2020-08-01,0,11,1
2020-08-02,0,5,0
2020-08-03,0,7,17
2020-08-04,0,14,26
2020-08-05,0,14,30
2020-08-06,0,28,29
2020-08-07,2,11,2
2020-08-08,0,6,15
2020-08-09,0,2,9
2020-08-10,0,12,10
2020-08-11,0,6,39
2020-08-12,2,7,18
2020-08-13,0,6,23
2020-08-14,0,6,19
2020-08-15,0,1,4
2020-08-16,0,4,1
2020-08-17,0,10,20
2020-08-18,0,5,13
2020-08-19,1,9,37
2020-08-20,0,5,22
2020-08-21,0,13,22
2020-08-22,0,9,2
2020-08-23,0,2,0
2020-08-24,0,24,18
2020-08-25,0,20,20
2020-08-26,4,6,12
2020-08-27,3,16,16
2020-08-28,2,14,21
2020-08-29,1,1,7
2020-08-30,1,0,3
2020-08-31,0,4,22
2020-09-01,1,2,10
2020-09-02,0,10,18
2020-09-03,3,7,25
2020-09-04,0,3,2
2020-09-05,0,1,3
2020-09-06,2,0,0
2020-09-07,1,1,1
2020-09-08,0,6,17
2020-09-09,4,8,15
2020-09-10,6,4,14
2020-09-11,0,21,13
2020-09-12,3,2,8
2020-09-13,0,4,6
2020-09-14,0,6,1
2020-09-15,1,2,34
2020-09-16,1,4,20
2020-09-17,0,22,33
2020-09-18,0,11,14
2020-09-19,0,4,6
2020-09-20,1,5,0
2020-09-21,0,8,12
2020-09-22,0,9,20
2020-09-23,6,5,33
2020-09-24,1,10,18
2020-09-25,5,3,24
2020-09-26,2,8,4
2020-09-27,1,3,4
2020-09-28,0,6,17
2020-09-29,3,40,21
2020-09-30,3,11,23
2020-10-01,1,14,17
2020-10-02,0,16,16
2020-10-03,2,2,8
2020-10-04,0,1,4
2020-10-05,0,7,24
2020-10-06,3,6,26
2020-10-07,0,7,33
2020-10-08,0,4,34
2020-10-09,0,5,31
2020-10-10,3,5,5
2020-10-11,0,0,0
2020-10-12,0,5,36
2020-10-13,0,11,24
2020-10-14,0,5,25
2020-10-15,0,11,28
2020-10-16,0,13,22
2020-10-17,3,4,2
2020-10-18,1,0,3
2020-10-19,1,9,26
2020-10-20,0,16,13
2020-10-21,1,5,15
2020-10-22,0,4,31
2020-10-23,0,13,21
2020-10-24,0,12,5
2020-10-25,0,0,3
2020-10-26,2,7,20
2020-10-27,1,19,28
2020-10-28,2,5,18
2020-10-29,0,8,37
2020-10-30,0,8,17
2020-10-31,0,7,4
2020-11-01,0,0,4
2020-11-02,0,1,18
2020-11-03,0,3,23
2020-11-04,0,9,17
2020-11-05,0,3,29
2020-11-06,0,17,26
2020-11-07,1,2,13
2020-11-08,0,4,0
2020-11-09,0,6,24
2020-11-10,1,3,17
2020-11-11,3,3,18
2020-11-12,4,8,20
2020-11-13,6,4,17
2020-11-14,6,9,8
2020-11-15,0,0,1
2020-11-16,1,4,15
2020-11-17,6,4,12
2020-11-18,3,8,22
2020-11-19,5,23,13
2020-11-20,4,8,23
2020-11-21,1,5,6
2020-11-22,13,1,1
2020-11-23,6,0,12
2020-11-24,1,1,6
2020-11-25,4,0,11
2020-11-26,0,1,1
2020-11-27,0,1,0
2020-11-28,2,0,0
2020-11-29,1,1,0
2020-11-30,1,3,1
2020-12-01,3,5,26
2020-12-02,0,6,14
2020-12-03,1,4,20
2020-12-04,0,17,19
2020-12-05,0,3,11
2020-12-06,0,2,1
2020-12-07,2,5,13
2020-12-08,1,7,16
2020-12-09,0,6,19
2020-12-10,0,10,8
2020-12-11,0,13,19
2020-12-12,0,3,1
2020-12-13,0,11,1
2020-12-14,0,6,8
2020-12-15,0,8,24
2020-12-16,1,6,30
2020-12-17,0,6,16
2020-12-18,0,8,8
2020-12-19,3,8,0
2020-12-20,0,1,0
2020-12-21,0,3,8
2020-12-22,0,9,14
2020-12-23,1,10,13
2020-12-24,0,5,11
2020-12-25,0,0,2
2020-12-26,0,0,3
2020-12-27,0,1,0
2020-12-28,10,2,7
2020-12-29,0,12,8
2020-12-30,3,2,10
2020-12-31,0,1,5
2021-01-01,0,2,0
2021-01-02,1,0,0
2021-01-03,2,0,1
2021-01-04,0,10,5
2021-01-05,2,4,20
2021-01-06,0,4,22
2021-01-07,0,5,29
2021-01-08,0,12,26
2021-01-09,0,3,5
2021-01-10,0,4,0
2021-01-11,0,7,14
2021-01-12,0,6,17
2021-01-13,1,2,23
2021-01-14,3,6,25
2021-01-15,0,10,32
2021-01-16,0,5,11
2021-01-17,2,2,3
2021-01-18,0,0,1
2021-01-19,0,5,13
2021-01-20,1,3,27
2021-01-21,0,5,16
2021-01-22,3,10,17
2021-01-23,2,13,18
2021-01-24,0,0,3
2021-01-25,0,6,18
2021-01-26,4,12,26
2021-01-27,0,9,29
2021-01-28,2,32,27
2021-01-29,13,4,26
2021-01-30,0,1,2
2021-01-31,1,2,0
2021-02-01,1,7,22
2021-02-02,0,8,33
2021-02-03,0,13,32
2021-02-04,6,12,27
2021-02-05,7,16,7
2021-02-06,0,3,1
2021-02-07,2,5,0
2021-02-08,0,5,1
2021-02-09,0,9,34
2021-02-10,0,20,11
2021-02-11,1,7,31
2021-02-12,0,5,18
2021-02-13,0,1,5
2021-02-14,0,0,1
2021-02-15,0,1,3
2021-02-16,0,10,16
2021-02-17,0,10,27
2021-02-18,0,10,29
2021-02-19,0,7,16
2021-02-20,3,4,10
2021-02-21,0,1,0
2021-02-22,0,7,15
2021-02-23,0,7,15
2021-02-24,0,7,32
2021-02-25,1,6,20
2021-02-26,1,2,19
2021-02-27,6,19,7
2021-02-28,0,4,3
2021-03-01,4,1,16
2021-03-02,10,10,26
2021-03-03,76,12,12
2021-03-04,1,11,23
2021-03-05,3,6,24
2021-03-06,0,12,9
2021-03-07,2,5,0
2021-03-08,1,5,13
2021-03-09,2,7,19
2021-03-10,0,8,20
2021-03-11,4,13,23
2021-03-12,1,8,15
2021-03-13,0,0,16
2021-03-14,0,0,0
2021-03-15,0,9,17
2021-03-16,0,5,24
2021-03-17,0,14,27
2021-03-18,0,12,21
2021-03-19,0,2,17
2021-03-20,0,3,0
2021-03-21,0,0,0
2021-03-22,0,4,8
2021-03-23,0,11,24
2021-03-24,1,9,30
2021-03-25,0,11,28
2021-03-26,4,4,6
2021-03-27,0,2,5
2021-03-28,7,0,1
2021-03-29,6,4,5
2021-03-30,4,6,37
2021-03-31,2,11,33
2021-04-01,4,30,34
2021-04-02,1,7,30
2021-04-03,0,1,11
2021-04-04,0,0,0
2021-04-05,4,3,20
2021-04-06,52,12,27
2021-04-07,4,2,29
2021-04-08,0,13,30
2021-04-09,2,7,19
2021-04-10,1,0,5
2021-04-11,0,0,0
2021-04-12,5,21,11
2021-04-13,0,5,16
2021-04-14,5,15,24
2021-04-15,3,18,12
2021-04-16,0,5,13
2021-04-17,0,2,7
2021-04-18,1,1,8
2021-04-19,0,3,8
2021-04-20,1,18,16
2021-04-21,1,12,20
2021-04-22,0,6,33
2021-04-23,0,11,31
2021-04-24,4,7,6
2021-04-25,0,3,0
2021-04-26,0,13,15
2021-04-27,1,13,36
2021-04-28,0,12,34
2021-04-29,0,7,8
2021-04-30,1,12,13
2021-05-01,0,6,17
2021-05-02,1,4,3
2021-05-03,0,5,17
2021-05-04,0,5,5
2021-05-05,3,13,0
2021-05-06,2,4,10
2021-05-07,0,5,24
2021-05-08,3,2,3
2021-05-09,0,0,5
2021-05-10,2,4,13
2021-05-11,2,13,35
2021-05-12,4,6,20
2021-05-13,3,8,38
2021-05-14,0,7,33
2021-05-15,0,0,11
2021-05-16,0,0,3
2021-05-17,0,3,13
2021-05-18,0,4,15
2021-05-19,0,7,30
2021-05-20,1,4,30
2021-05-21,0,12,21
2021-05-22,0,3,13
2021-05-23,0,1,6
2021-05-24,0,5,20
2021-05-25,0,14,19
2021-05-26,1,5,20
2021-05-27,1,5,22
2021-05-28,4,0,16
2021-05-29,0,0,1
2021-05-30,2,0,0
2021-05-31,0,0,1
2021-06-01,3,5,16
2021-06-02,6,10,34
2021-06-03,2,13,22
2021-06-04,2,9,27
2021-06-05,0,2,5
2021-06-06,0,1,1
2021-06-07,0,12,24
2021-06-08,3,7,18
2021-06-09,0,4,21
2021-06-10,0,15,33
2021-06-11,0,10,9
2021-06-12,0,6,7
2021-06-13,0,2,6
2021-06-14,0,3,20
2021-06-15,2,17,10
2021-06-16,0,13,11
2021-06-17,0,8,10
2021-06-18,0,7,10
2021-06-19,0,0,6
2021-06-20,0,1,1
2021-06-21,0,3,7
2021-06-22,0,9,15
2021-06-23,0,4,36
2021-06-24,0,3,26
2021-06-25,0,1,30
2021-06-26,0,2,6
2021-06-27,0,0,4
2021-06-28,0,0,21
2021-06-29,0,4,19
2021-06-30,0,3,23
2021-07-01,3,6,26
2021-07-02,0,0,16
2021-07-03,0,0,4
2021-07-04,0,0,8
2021-07-05,0,1,7
2021-07-06,1,2,12
2021-07-07,0,9,11
2021-07-08,0,9,34
2021-07-09,0,1,31
2021-07-10,0,2,9
2021-07-11,0,0,3
2021-07-12,1,2,18
2021-07-13,1,6,19
2021-07-14,0,4,17
2021-07-15,0,2,13
2021-07-16,0,8,14
2021-07-17,0,1,5
2021-07-18,0,1,0
2021-07-19,0,2,16
2021-07-20,0,5,18
2021-07-21,0,10,13
2021-07-22,0,3,30
2021-07-23,0,7,11
2021-07-24,0,4,6
2021-07-25,0,1,0
2021-07-26,1,9,19
2021-07-27,0,8,23
2021-07-28,1,7,22
2021-07-29,0,8,22
2021-07-30,0,4,27
2021-07-31,0,1,2
2021-08-01,0,0,0
2021-08-02,0,10,6
2021-08-03,6,11,29
2021-08-04,2,13,27
2021-08-05,0,6,19
2021-08-06,0,7,8
2021-08-07,0,1,1
2021-08-08,0,0,1
2021-08-09,3,2,11
2021-08-10,1,8,3
2021-08-11,3,5,14
2021-08-12,0,8,17
2021-08-13,0,5,9
2021-08-14,0,1,11
2021-08-15,0,0,2
2021-08-16,0,10,17
2021-08-17,0,5,16
2021-08-18,1,7,30
2021-08-19,0,12,14
2021-08-20,1,4,18
2021-08-21,0,2,6
2021-08-22,0,0,2
2021-08-23,0,4,24
2021-08-24,1,9,13
2021-08-25,0,15,18
2021-08-26,0,8,24
2021-08-27,0,9,25
2021-08-28,0,3,10
2021-08-29,0,1,0
2021-08-30,0,2,18
2021-08-31,0,8,22
2021-09-01,0,13,11
2021-09-02,0,11,9
2021-09-03,0,3,10
2021-09-04,0,0,11
2021-09-05,0,0,3
2021-09-06,2,5,1
2021-09-07,0,2,5
2021-09-08,68,18,17
2021-09-09,1,14,10
2021-09-10,3,7,24
2021-09-11,1,13,6
2021-09-12,0,5,0
2021-09-13,0,7,10
2021-09-14,0,4,16
2021-09-15,2,12,12
2021-09-16,0,8,17
2021-09-17,0,10,17
2021-09-18,2,1,7
2021-09-19,1,1,0
2021-09-20,1,5,13
2021-09-21,1,7,9
2021-09-22,1,10,15
2021-09-23,1,3,9
2021-09-24,1,19,19
2021-09-25,2,9,3
2021-09-26,0,1,7
2021-09-27,0,6,12
2021-09-28,1,13,24
2021-09-29,1,18,16
2021-09-30,0,10,11
2021-10-01,0,8,21
2021-10-02,0,6,4
2021-10-03,0,0,0
2021-10-04,0,0,11
2021-10-05,0,3,16
2021-10-06,5,6,19
2021-10-07,0,3,26
2021-10-08,1,6,24
2021-10-09,2,3,6
2021-10-10,0,0,0
2021-10-11,0,3,8
2021-10-12,0,4,17
2021-10-13,0,8,22
2021-10-14,1,12,26
2021-10-15,0,7,16
2021-10-16,0,2,3
2021-10-17,0,1,0
2021-10-18,0,13,2
2021-10-19,0,6,21
2021-10-20,1,15,26
2021-10-21,0,11,19
2021-10-22,0,5,9
2021-10-23,0,0,1
2021-10-24,0,1,1
2021-10-25,0,9,12
2021-10-26,1,8,2
2021-10-27,0,6,26
2021-10-28,1,1,20
2021-10-29,1,3,12
2021-10-30,1,3,5
2021-10-31,0,0,0
2021-11-01,0,4,14
2021-11-02,1,5,15
2021-11-03,0,15,16
2021-11-04,0,4,22
2021-11-05,0,10,13
2021-11-06,0,1,1
2021-11-07,0,0,8
2021-11-08,0,4,27
2021-11-09,0,17,14
2021-11-10,2,11,15
2021-11-11,0,12,20
2021-11-12,0,4,13
2021-11-13,1,0,5
2021-11-14,0,0,1
2021-11-15,3,5,4
2021-11-16,0,4,9
2021-11-17,0,4,21
2021-11-18,0,9,5
2021-11-19,0,10,18
2021-11-20,0,0,9
2021-11-21,2,0,4
2021-11-22,0,6,6
2021-11-23,0,3,26
2021-11-24,0,12,14
2021-11-25,0,4,2
2021-11-26,0,1,3
2021-11-27,0,0,3
2021-11-28,0,0,4
2021-11-29,2,7,5
2021-11-30,2,14,2
2021-12-01,0,10,27
2021-12-02,0,9,15
2021-12-03,0,8,15
2021-12-04,0,0,8
2021-12-05,1,0,5
2021-12-06,0,8,9
2021-12-07,0,8,19
2021-12-08,0,3,18
2021-12-09,0,9,14
2021-12-10,7,3,10
2021-12-11,0,5,5
2021-12-12,0,0,2
2021-12-13,0,4,19
2021-12-14,0,11,21
2021-12-15,2,17,19
2021-12-16,0,13,14
2021-12-17,0,10,9
2021-12-18,0,5,1
2021-12-19,0,0,0
2021-12-20,0,19,8
2021-12-21,1,10,14
2021-12-22,3,5,19
2021-12-23,3,20,12
2021-12-24,0,2,11
2021-12-25,0,1,2
2021-12-26,0,0,3
2021-12-27,0,0,5
2021-12-28,0,0,4
2021-12-29,0,1,3
2021-12-30,0,2,2
2021-12-31,0,1,6
2022-01-01,0,0,2
2022-01-02,0,0,3
2022-01-03,0,1,5
2022-01-04,0,2,12
2022-01-05,0,5,13
2022-01-06,0,3,12
2022-01-07,0,2,14
2022-01-08,0,2,12
2022-01-09,0,0,4
2022-01-10,0,1,17
2022-01-11,0,17,10
2022-01-12,0,6,7
2022-01-13,0,1,28
2022-01-14,0,3,24
2022-01-15,0,3,3
2022-01-16,0,0,0
2022-01-17,0,7,0
2022-01-18,0,3,12
2022-01-19,0,14,12
2022-01-20,0,19,14
2022-01-21,0,6,25
2022-01-22,0,0,10
2022-01-23,1,0,6
2022-01-24,0,4,16
2022-01-25,0,8,22
2022-01-26,0,12,15
2022-01-27,0,9,8
2022-01-28,0,16,12
2022-01-29,0,6,8
2022-01-30,0,0,3
2022-01-31,0,7,8
2022-02-01,0,4,17
2022-02-02,2,14,29
2022-02-03,0,9,24
2022-02-04,0,6,26
2022-02-05,0,5,7
2022-02-06,0,0,2
2022-02-07,0,11,3
2022-02-08,0,8,26
2022-02-09,0,18,18
2022-02-10,0,14,2
2022-02-11,0,10,26
2022-02-12,0,0,6
2022-02-13,0,0,4
2022-02-14,0,4,8
2022-02-15,0,13,27
2022-02-16,1,10,16
2022-02-17,0,6,14
2022-02-18,4,7,19
2022-02-19,0,2,7
2022-02-20,1,2,0
2022-02-21,0,4,1
2022-02-22,0,10,13
2022-02-23,0,5,15
2022-02-24,0,3,8
2022-02-25,0,11,19
2022-02-26,0,1,4
2022-02-27,0,0,1
2022-02-28,0,12,18
2022-03-01,72,11,16
2022-03-02,0,10,13
2022-03-03,3,7,16
2022-03-04,5,14,19
2022-03-05,8,2,8
