,kong/kong,traefik/traefik,haproxy/haproxy
2018-05-15,1,3,1.0
2018-05-16,0,4,1.0
2018-05-17,3,4,1.0
2018-05-18,4,7,9.0
2018-05-19,1,0,0.0
2018-05-20,0,0,0.0
2018-05-21,1,0,0.0
2018-05-22,3,9,1.0
2018-05-23,1,4,4.0
2018-05-24,0,1,1.0
2018-05-25,0,3,0.0
2018-05-26,0,0,6.0
2018-05-27,0,0,0.0
2018-05-28,0,4,7.0
2018-05-29,2,1,0.0
2018-05-30,5,4,2.0
2018-05-31,5,1,7.0
2018-06-01,1,0,1.0
2018-06-02,1,0,0.0
2018-06-03,0,0,0.0
2018-06-04,1,1,7.0
2018-06-05,1,10,3.0
2018-06-06,1,4,2.0
2018-06-07,0,2,1.0
2018-06-08,0,1,4.0
2018-06-09,0,0,0.0
2018-06-10,1,0,0.0
2018-06-11,0,4,1.0
2018-06-12,0,3,1.0
2018-06-13,4,5,0.0
2018-06-14,3,2,2.0
2018-06-15,21,4,0.0
2018-06-16,6,0,0.0
2018-06-17,1,0,0.0
2018-06-18,4,1,4.0
2018-06-19,26,2,2.0
2018-06-20,3,1,3.0
2018-06-21,1,0,1.0
2018-06-22,3,2,2.0
2018-06-23,0,0,0.0
2018-06-24,0,0,0.0
2018-06-25,3,0,3.0
2018-06-26,3,1,3.0
2018-06-27,2,1,1.0
2018-06-28,6,5,0.0
2018-06-29,2,3,0.0
2018-06-30,0,1,0.0
2018-07-01,0,1,1.0
2018-07-02,1,1,0.0
2018-07-03,1,6,0.0
2018-07-04,3,4,1.0
2018-07-05,28,1,0.0
2018-07-06,15,5,0.0
2018-07-07,0,1,0.0
2018-07-08,0,0,0.0
2018-07-09,0,6,0.0
2018-07-10,0,2,0.0
2018-07-11,7,4,0.0
2018-07-12,1,7,6.0
2018-07-13,3,4,1.0
2018-07-14,0,0,0.0
2018-07-15,0,0,0.0
2018-07-16,1,1,0.0
2018-07-17,1,4,0.0
2018-07-18,6,2,1.0
2018-07-19,1,3,107.0
2018-07-20,1,0,26.0
2018-07-21,0,0,0.0
2018-07-22,0,0,0.0
2018-07-23,1,3,1.0
2018-07-24,4,0,4.0
2018-07-25,0,2,0.0
2018-07-26,3,2,19.0
2018-07-27,1,1,6.0
2018-07-28,0,0,0.0
2018-07-29,0,0,0.0
2018-07-30,0,0,6.0
2018-07-31,10,13,0.0
2018-08-01,3,8,0.0
2018-08-02,4,3,4.0
2018-08-03,10,4,0.0
2018-08-04,2,0,0.0
2018-08-05,0,0,0.0
2018-08-06,0,6,1.0
2018-08-07,4,1,5.0
2018-08-08,2,4,20.0
2018-08-09,17,0,0.0
2018-08-10,9,1,7.0
2018-08-11,1,0,0.0
2018-08-12,1,0,0.0
2018-08-13,2,1,0.0
2018-08-14,2,3,0.0
2018-08-15,2,0,0.0
2018-08-16,1,0,18.0
2018-08-17,2,0,4.0
2018-08-18,0,0,0.0
2018-08-19,0,0,1.0
2018-08-20,2,10,0.0
2018-08-21,5,2,13.0
2018-08-22,0,2,9.0
2018-08-23,5,4,3.0
2018-08-24,2,2,6.0
2018-08-25,0,0,1.0
2018-08-26,0,0,0.0
2018-08-27,0,3,2.0
2018-08-28,5,1,3.0
2018-08-29,4,2,0.0
2018-08-30,0,1,1.0
2018-08-31,1,0,2.0
2018-09-01,0,0,0.0
2018-09-02,0,0,0.0
2018-09-03,0,1,0.0
2018-09-04,0,2,3.0
2018-09-05,0,0,18.0
2018-09-06,7,1,9.0
2018-09-07,1,4,12.0
2018-09-08,0,0,0.0
2018-09-09,0,0,0.0
2018-09-10,0,0,0.0
2018-09-11,56,0,19.0
2018-09-12,6,1,43.0
2018-09-13,18,0,3.0
2018-09-14,5,3,6.0
2018-09-15,5,0,0.0
2018-09-16,5,0,0.0
2018-09-17,6,3,0.0
2018-09-18,0,4,0.0
2018-09-19,0,0,2.0
2018-09-20,1,0,18.0
2018-09-21,2,2,0.0
2018-09-22,2,0,0.0
2018-09-23,0,0,0.0
2018-09-24,35,4,0.0
2018-09-25,2,1,0.0
2018-09-26,6,0,4.0
2018-09-27,3,3,0.0
2018-09-28,6,3,1.0
2018-09-29,0,0,2.0
2018-09-30,1,0,1.0
2018-10-01,11,7,1.0
2018-10-02,0,1,4.0
2018-10-03,0,2,5.0
2018-10-04,15,5,1.0
2018-10-05,1,2,0.0
2018-10-06,0,0,0.0
2018-10-07,0,0,0.0
2018-10-08,0,2,4.0
2018-10-09,6,4,3.0
2018-10-10,2,5,4.0
2018-10-11,2,2,7.0
2018-10-12,0,3,20.0
2018-10-13,0,0,0.0
2018-10-14,0,0,0.0
2018-10-15,7,5,13.0
2018-10-16,2,3,14.0
2018-10-17,37,3,3.0
2018-10-18,10,1,3.0
2018-10-19,16,0,1.0
2018-10-20,1,0,2.0
2018-10-21,0,0,12.0
2018-10-22,11,0,3.0
2018-10-23,4,6,5.0
2018-10-24,7,1,5.0
2018-10-25,2,6,0.0
2018-10-26,0,0,8.0
2018-10-27,0,0,2.0
2018-10-28,0,0,36.0
2018-10-29,4,8,5.0
2018-10-30,5,3,3.0
2018-10-31,8,0,0.0
2018-11-01,5,0,0.0
2018-11-02,1,0,0.0
2018-11-03,0,0,0.0
2018-11-04,0,0,0.0
2018-11-05,1,0,4.0
2018-11-06,0,0,7.0
2018-11-07,0,0,2.0
2018-11-08,1,0,3.0
2018-11-09,1,0,0.0
2018-11-10,2,0,0.0
2018-11-11,0,0,20.0
2018-11-12,0,0,20.0
2018-11-13,1,0,3.0
2018-11-14,1,1,0.0
2018-11-15,6,0,4.0
2018-11-16,11,0,9.0
2018-11-17,0,0,2.0
2018-11-18,0,0,110.0
2018-11-19,0,1,8.0
2018-11-20,0,0,16.0
2018-11-21,34,0,3.0
2018-11-22,10,0,20.0
2018-11-23,0,0,7.0
2018-11-24,0,0,0.0
2018-11-25,0,0,3.0
2018-11-26,4,1,21.0
2018-11-27,2,1,6.0
2018-11-28,2,0,3.0
2018-11-29,3,0,9.0
2018-11-30,10,0,2.0
2018-12-01,0,0,61.0
2018-12-02,0,0,46.0
2018-12-03,8,2,0.0
2018-12-04,2,10,22.0
2018-12-05,13,3,11.0
2018-12-06,7,0,16.0
2018-12-07,10,0,15.0
2018-12-08,1,0,10.0
2018-12-09,2,0,0.0
2018-12-10,7,0,8.0
2018-12-11,16,0,42.0
2018-12-12,17,0,15.0
2018-12-13,12,0,16.0
2018-12-14,11,0,29.0
2018-12-15,10,0,24.0
2018-12-16,0,0,8.0
2018-12-17,4,2,4.0
2018-12-18,18,0,14.0
2018-12-19,3,0,28.0
2018-12-20,0,0,18.0
2018-12-21,4,0,11.0
2018-12-22,0,0,1.0
2018-12-23,0,0,3.0
2018-12-24,0,0,14.0
2018-12-25,0,0,0.0
2018-12-26,0,0,0.0
2018-12-27,0,0,0.0
2018-12-28,0,0,9.0
2018-12-29,0,0,0.0
2018-12-30,0,0,0.0
2018-12-31,0,0,0.0
2019-01-01,3,0,1.0
2019-01-02,3,0,6.0
2019-01-03,2,0,27.0
2019-01-04,2,0,13.0
2019-01-05,5,0,0.0
2019-01-06,0,0,0.0
2019-01-07,4,1,9.0
2019-01-08,8,18,15.0
2019-01-09,7,1,6.0
2019-01-10,7,0,3.0
2019-01-11,1,0,0.0
2019-01-12,0,0,0.0
2019-01-13,0,0,0.0
2019-01-14,8,0,25.0
2019-01-15,7,2,2.0
2019-01-16,18,0,2.0
2019-01-17,13,0,5.0
2019-01-18,10,1,10.0
2019-01-19,4,0,0.0
2019-01-20,0,0,0.0
2019-01-21,0,1,3.0
2019-01-22,0,1,1.0
2019-01-23,2,0,6.0
2019-01-24,1,0,20.0
2019-01-25,0,0,1.0
2019-01-26,0,0,3.0
2019-01-27,0,0,1.0
2019-01-28,4,0,5.0
2019-01-29,3,1,29.0
2019-01-30,9,18,11.0
2019-01-31,4,2,21.0
2019-02-01,1,1,7.0
2019-02-02,0,0,4.0
2019-02-03,0,0,0.0
2019-02-04,0,1,8.0
2019-02-05,1,3,2.0
2019-02-06,0,0,4.0
2019-02-07,6,0,8.0
2019-02-08,5,0,5.0
2019-02-09,0,0,0.0
2019-02-10,0,0,1.0
2019-02-11,0,0,0.0
2019-02-12,9,0,6.0
2019-02-13,5,10,1.0
2019-02-14,5,0,1.0
2019-02-15,6,0,1.0
2019-02-16,0,0,0.0
2019-02-17,0,0,0.0
2019-02-18,0,2,5.0
2019-02-19,39,0,2.0
2019-02-20,2,0,0.0
2019-02-21,0,2,8.0
2019-02-22,0,0,1.0
2019-02-23,0,0,0.0
2019-02-24,0,0,0.0
2019-02-25,0,0,3.0
2019-02-26,0,2,24.0
2019-02-27,1,1,15.0
2019-02-28,0,1,12.0
2019-03-01,0,1,9.0
2019-03-02,0,0,0.0
2019-03-03,0,0,0.0
2019-03-04,0,1,4.0
2019-03-05,1,1,8.0
2019-03-06,0,2,5.0
2019-03-07,1,0,11.0
2019-03-08,3,1,2.0
2019-03-09,1,0,0.0
2019-03-10,1,0,0.0
2019-03-11,8,1,33.0
2019-03-12,3,0,0.0
2019-03-13,7,1,4.0
2019-03-14,2,8,6.0
2019-03-15,0,3,12.0
2019-03-16,0,0,0.0
2019-03-17,0,0,0.0
2019-03-18,9,8,8.0
2019-03-19,4,8,12.0
2019-03-20,9,2,0.0
2019-03-21,11,3,6.0
2019-03-22,3,2,5.0
2019-03-23,0,0,0.0
2019-03-24,0,0,0.0
2019-03-25,3,2,16.0
2019-03-26,13,2,7.0
2019-03-27,2,3,15.0
2019-03-28,2,1,3.0
2019-03-29,9,10,8.0
2019-03-30,0,0,0.0
2019-03-31,0,0,0.0
2019-04-01,4,4,30.0
2019-04-02,17,2,0.0
2019-04-03,0,1,1.0
2019-04-04,1,1,0.0
2019-04-05,0,5,1.0
2019-04-06,0,0,0.0
2019-04-07,0,0,0.0
2019-04-08,1,4,0.0
2019-04-09,8,2,4.0
2019-04-10,5,0,2.0
2019-04-11,3,0,3.0
2019-04-12,2,1,37.0
2019-04-13,0,0,0.0
2019-04-14,0,0,0.0
2019-04-15,0,2,17.0
2019-04-16,5,2,14.0
2019-04-17,6,10,19.0
2019-04-18,1,0,18.0
2019-04-19,0,0,11.0
2019-04-20,0,0,0.0
2019-04-21,0,0,0.0
2019-04-22,2,0,0.0
2019-04-23,6,1,20.0
2019-04-24,6,2,8.0
2019-04-25,0,1,11.0
2019-04-26,6,3,6.0
2019-04-27,2,0,0.0
2019-04-28,0,0,0.0
2019-04-29,2,2,6.0
2019-04-30,8,0,14.0
2019-05-01,2,0,1.0
2019-05-02,5,0,6.0
2019-05-03,12,2,5.0
2019-05-04,0,0,4.0
2019-05-05,0,0,3.0
2019-05-06,6,4,12.0
2019-05-07,0,0,35.0
2019-05-08,0,1,2.0
2019-05-09,12,3,6.0
2019-05-10,12,3,13.0
2019-05-11,1,0,6.0
2019-05-12,0,0,0.0
2019-05-13,12,0,28.0
2019-05-14,1,1,17.0
2019-05-15,11,0,2.0
2019-05-16,12,1,8.0
2019-05-17,2,2,12.0
2019-05-18,1,0,1.0
2019-05-19,0,0,0.0
2019-05-20,8,1,21.0
2019-05-21,2,1,8.0
2019-05-22,2,0,34.0
2019-05-23,5,0,5.0
2019-05-24,19,0,7.0
2019-05-25,0,0,4.0
2019-05-26,0,0,12.0
2019-05-27,3,4,6.0
2019-05-28,1,0,48.0
2019-05-29,3,0,7.0
2019-05-30,9,0,0.0
2019-05-31,4,0,1.0
2019-06-01,0,0,0.0
2019-06-02,0,0,3.0
2019-06-03,2,1,8.0
2019-06-04,0,0,5.0
2019-06-05,9,1,41.0
2019-06-06,14,0,19.0
2019-06-07,13,1,15.0
2019-06-08,0,0,0.0
2019-06-09,0,0,1.0
2019-06-10,5,0,3.0
2019-06-11,2,2,17.0
2019-06-12,3,10,7.0
2019-06-13,3,0,10.0
2019-06-14,1,0,20.0
2019-06-15,0,0,20.0
2019-06-16,0,0,8.0
2019-06-17,0,7,11.0
2019-06-18,3,5,2.0
2019-06-19,6,4,3.0
2019-06-20,4,1,0.0
2019-06-21,0,8,1.0
2019-06-22,0,0,4.0
2019-06-23,0,0,0.0
2019-06-24,2,2,6.0
2019-06-25,3,4,1.0
2019-06-26,4,3,7.0
2019-06-27,0,4,0.0
2019-06-28,0,0,2.0
2019-06-29,0,0,0.0
2019-06-30,0,0,0.0
2019-07-01,2,4,4.0
2019-07-02,18,2,5.0
2019-07-03,1,1,3.0
2019-07-04,0,0,3.0
2019-07-05,10,1,9.0
2019-07-06,0,0,1.0
2019-07-07,0,0,0.0
2019-07-08,10,3,1.0
2019-07-09,2,1,5.0
2019-07-10,0,1,2.0
2019-07-11,0,0,4.0
2019-07-12,0,7,6.0
2019-07-13,0,0,0.0
2019-07-14,0,0,0.0
2019-07-15,7,6,3.0
2019-07-16,0,2,3.0
2019-07-17,0,2,3.0
2019-07-18,6,4,4.0
2019-07-19,0,10,103.0
2019-07-20,0,0,0.0
2019-07-21,0,0,0.0
2019-07-22,7,4,0.0
2019-07-23,37,0,4.0
2019-07-24,1,1,3.0
2019-07-25,7,0,1.0
2019-07-26,0,0,6.0
2019-07-27,0,0,0.0
2019-07-28,0,0,0.0
2019-07-29,2,1,12.0
2019-07-30,2,0,7.0
2019-07-31,2,0,7.0
2019-08-01,1,0,9.0
2019-08-02,0,0,4.0
2019-08-03,0,0,0.0
2019-08-04,0,0,0.0
2019-08-05,4,3,2.0
2019-08-06,1,2,8.0
2019-08-07,7,0,6.0
2019-08-08,2,0,4.0
2019-08-09,11,0,5.0
2019-08-10,0,0,0.0
2019-08-11,0,0,0.0
2019-08-12,8,11,2.0
2019-08-13,10,0,0.0
2019-08-14,9,5,1.0
2019-08-15,33,2,1.0
2019-08-16,9,0,2.0
2019-08-17,0,0,0.0
2019-08-18,0,0,0.0
2019-08-19,4,0,0.0
2019-08-20,5,1,1.0
2019-08-21,10,0,4.0
2019-08-22,3,0,23.0
2019-08-23,0,2,3.0
2019-08-24,0,0,0.0
2019-08-25,0,0,0.0
2019-08-26,1,9,3.0
2019-08-27,2,0,12.0
2019-08-28,2,1,5.0
2019-08-29,0,3,9.0
2019-08-30,1,0,21.0
2019-08-31,0,1,1.0
2019-09-01,0,0,1.0
2019-09-02,3,5,2.0
2019-09-03,2,9,0.0
2019-09-04,8,2,8.0
2019-09-05,0,2,4.0
2019-09-06,2,1,14.0
2019-09-07,1,0,0.0
2019-09-08,0,0,4.0
2019-09-09,5,5,0.0
2019-09-10,1,8,4.0
2019-09-11,0,1,0.0
2019-09-12,4,2,0.0
2019-09-13,2,9,6.0
2019-09-14,0,0,0.0
2019-09-15,1,0,1.0
2019-09-16,14,6,0.0
2019-09-17,6,3,19.0
2019-09-18,6,4,4.0
2019-09-19,1,2,0.0
2019-09-20,5,6,0.0
2019-09-21,0,0,0.0
2019-09-22,0,0,0.0
2019-09-23,7,6,12.0
2019-09-24,0,0,12.0
2019-09-25,1,2,4.0
2019-09-26,9,8,12.0
2019-09-27,9,1,6.0
2019-09-28,1,0,1.0
2019-09-29,3,0,0.0
2019-09-30,5,9,6.0
2019-10-01,1,1,4.0
2019-10-02,8,1,4.0
2019-10-03,0,0,1.0
2019-10-04,0,0,12.0
2019-10-05,0,0,0.0
2019-10-06,0,0,0.0
2019-10-07,5,13,3.0
2019-10-08,1,1,1.0
2019-10-09,3,9,11.0
2019-10-10,0,0,12.0
2019-10-11,0,2,26.0
2019-10-12,0,0,0.0
2019-10-13,0,0,0.0
2019-10-14,15,3,15.0
2019-10-15,4,3,3.0
2019-10-16,0,5,4.0
2019-10-17,0,0,10.0
2019-10-18,1,4,16.0
2019-10-19,0,0,0.0
2019-10-20,0,1,0.0
2019-10-21,0,0,5.0
2019-10-22,8,0,4.0
2019-10-23,1,2,20.0
2019-10-24,0,1,7.0
2019-10-25,0,6,3.0
2019-10-26,0,0,2.0
2019-10-27,0,0,0.0
