,wasmerio/wasmer,bytecodealliance/wasmtime,bytecodealliance/lucet
2019-06-22,0,0,2
2019-06-23,0,0,0
2019-06-24,6,7,3
2019-06-25,8,1,67
2019-06-26,14,11,7
2019-06-27,11,1,9
2019-06-28,0,5,3
2019-06-29,1,0,0
2019-06-30,5,0,0
2019-07-01,13,0,2
2019-07-02,4,7,0
2019-07-03,5,11,0
2019-07-04,1,2,0
2019-07-05,8,8,0
2019-07-06,17,1,0
2019-07-07,7,0,0
2019-07-08,20,15,4
2019-07-09,9,12,3
2019-07-10,30,2,2
2019-07-11,9,6,2
2019-07-12,8,6,1
2019-07-13,7,0,0
2019-07-14,3,0,0
2019-07-15,9,3,2
2019-07-16,4,1,0
2019-07-17,6,15,0
2019-07-18,6,2,0
2019-07-19,10,6,0
2019-07-20,0,0,0
2019-07-21,0,0,0
2019-07-22,8,9,0
2019-07-23,6,8,0
2019-07-24,16,1,0
2019-07-25,19,6,0
2019-07-26,8,4,1
2019-07-27,1,2,1
2019-07-28,0,0,0
2019-07-29,14,2,7
2019-07-30,25,2,5
2019-07-31,25,11,2
2019-08-01,44,3,2
2019-08-02,16,12,0
2019-08-03,6,3,0
2019-08-04,13,0,2
2019-08-05,23,3,1
2019-08-06,8,10,0
2019-08-07,13,8,3
2019-08-08,12,8,0
2019-08-09,15,7,1
2019-08-10,21,0,0
2019-08-11,12,0,0
2019-08-12,6,3,0
2019-08-13,7,5,0
2019-08-14,9,8,0
2019-08-15,5,0,0
2019-08-16,16,5,0
2019-08-17,5,0,0
2019-08-18,1,0,0
2019-08-19,10,9,2
2019-08-20,13,15,0
2019-08-21,11,16,3
2019-08-22,25,4,1
2019-08-23,7,6,0
2019-08-24,10,4,0
2019-08-25,8,1,0
2019-08-26,5,20,2
2019-08-27,3,5,75
2019-08-28,8,5,0
2019-08-29,6,2,0
2019-08-30,2,5,0
2019-08-31,0,1,0
2019-09-01,50,0,0
2019-09-02,7,0,0
2019-09-03,13,4,0
2019-09-04,5,7,1
2019-09-05,4,10,2
2019-09-06,9,20,2
2019-09-07,2,33,0
2019-09-08,0,0,0
2019-09-09,8,18,2
2019-09-10,2,17,1
2019-09-11,5,8,2
2019-09-12,9,4,0
2019-09-13,9,10,1
2019-09-14,1,3,2
2019-09-15,6,0,0
2019-09-16,17,7,2
2019-09-17,11,6,1
2019-09-18,27,10,0
2019-09-19,8,15,2
2019-09-20,13,2,0
2019-09-21,5,0,0
2019-09-22,0,0,0
2019-09-23,26,11,0
2019-09-24,9,11,0
2019-09-25,20,12,16
2019-09-26,14,25,2
2019-09-27,3,7,5
2019-09-28,1,0,2
2019-09-29,2,0,0
2019-09-30,3,14,2
2019-10-01,12,2,6
2019-10-02,22,35,5
2019-10-03,8,6,2
2019-10-04,3,1,3
2019-10-05,0,5,0
2019-10-06,1,0,0
2019-10-07,8,2,0
2019-10-08,9,3,5
2019-10-09,0,8,0
2019-10-10,5,10,4
2019-10-11,7,7,8
2019-10-12,0,0,0
2019-10-13,6,0,2
2019-10-14,19,0,2
2019-10-15,11,27,0
2019-10-16,3,0,1
2019-10-17,13,14,7
2019-10-18,8,9,4
2019-10-19,0,0,0
2019-10-20,0,0,0
2019-10-21,4,1,3
2019-10-22,4,15,2
2019-10-23,7,6,7
2019-10-24,2,6,0
2019-10-25,9,14,0
2019-10-26,0,0,0
2019-10-27,0,0,0
2019-10-28,4,5,0
2019-10-29,7,12,2
2019-10-30,17,17,5
2019-10-31,11,9,10
2019-11-01,1,2,4
2019-11-02,3,4,0
2019-11-03,0,0,0
2019-11-04,4,5,7
2019-11-05,3,10,3
2019-11-06,22,20,0
2019-11-07,5,17,0
2019-11-08,9,47,1
2019-11-09,1,11,0
2019-11-10,16,1,0
2019-11-11,16,9,1
2019-11-12,13,9,2
2019-11-13,20,15,0
2019-11-14,9,5,0
2019-11-15,8,14,0
2019-11-16,6,5,0
2019-11-17,3,0,0
2019-11-18,16,4,0
2019-11-19,15,8,0
2019-11-20,10,3,0
2019-11-21,50,9,0
2019-11-22,25,2,1
2019-11-23,6,2,0
2019-11-24,0,1,0
2019-11-25,4,8,3
2019-11-26,10,17,17
2019-11-27,7,4,2
2019-11-28,3,3,0
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,0,0,0
2019-12-02,12,5,0
2019-12-03,2,11,2
2019-12-04,22,14,0
2019-12-05,6,20,0
2019-12-06,14,6,0
2019-12-07,4,2,0
2019-12-08,0,0,0
2019-12-09,4,4,0
2019-12-10,5,8,0
2019-12-11,16,3,0
2019-12-12,4,5,0
2019-12-13,9,6,7
2019-12-14,1,5,0
2019-12-15,0,0,0
2019-12-16,13,13,2
2019-12-17,12,9,0
2019-12-18,15,3,4
2019-12-19,7,1,0
2019-12-20,3,3,1
2019-12-21,33,1,0
2019-12-22,1,1,0
2019-12-23,0,0,0
2019-12-24,0,4,0
2019-12-25,0,0,0
2019-12-26,0,0,0
2019-12-27,0,0,0
2019-12-28,0,0,0
2019-12-29,0,0,0
2019-12-30,1,1,0
2019-12-31,0,3,0
2020-01-01,0,0,0
2020-01-02,0,1,0
2020-01-03,0,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,1,6,3
2020-01-07,27,13,0
2020-01-08,6,8,0
2020-01-09,15,23,3
2020-01-10,11,25,2
2020-01-11,2,1,0
2020-01-12,0,0,0
2020-01-13,29,4,0
2020-01-14,23,8,0
2020-01-15,29,7,1
2020-01-16,14,23,1
2020-01-17,6,23,2
2020-01-18,1,2,0
2020-01-19,0,0,0
2020-01-20,30,5,0
2020-01-21,1,8,2
2020-01-22,5,7,3
2020-01-23,0,21,1
2020-01-24,1,11,6
2020-01-25,0,2,0
2020-01-26,0,2,0
2020-01-27,2,2,0
2020-01-28,11,5,0
2020-01-29,6,4,1
2020-01-30,0,8,8
2020-01-31,5,7,10
2020-02-01,0,3,0
2020-02-02,0,0,0
2020-02-03,3,6,0
2020-02-04,5,9,1
2020-02-05,0,5,5
2020-02-06,2,10,1
2020-02-07,4,12,0
2020-02-08,1,0,0
2020-02-09,0,1,0
2020-02-10,52,3,0
2020-02-11,10,0,2
2020-02-12,5,3,6
2020-02-13,22,3,2
2020-02-14,9,2,3
2020-02-15,2,1,0
2020-02-16,1,0,0
2020-02-17,20,0,0
2020-02-18,3,8,4
2020-02-19,7,3,1
2020-02-20,36,8,3
2020-02-21,20,18,0
2020-02-22,0,4,0
2020-02-23,0,1,0
2020-02-24,12,12,0
2020-02-25,3,15,15
2020-02-26,23,33,0
2020-02-27,9,21,0
2020-02-28,4,32,0
2020-02-29,13,6,0
2020-03-01,0,0,0
2020-03-02,4,8,1
2020-03-03,7,7,7
2020-03-04,5,6,2
2020-03-05,7,12,0
2020-03-06,3,20,0
2020-03-07,0,5,0
2020-03-08,0,1,0
2020-03-09,9,8,6
2020-03-10,16,10,14
2020-03-11,18,16,13
2020-03-12,12,20,19
2020-03-13,2,5,2
2020-03-14,2,1,0
2020-03-15,1,1,0
2020-03-16,12,1,1
2020-03-17,18,32,1
2020-03-18,7,16,7
2020-03-19,2,3,4
2020-03-20,4,18,6
2020-03-21,2,1,0
2020-03-22,0,0,0
2020-03-23,12,7,1
2020-03-24,14,9,0
2020-03-25,2,8,8
2020-03-26,16,14,9
2020-03-27,8,8,6
2020-03-28,3,1,0
2020-03-29,0,0,0
2020-03-30,15,8,7
2020-03-31,17,9,4
2020-04-01,0,3,5
2020-04-02,23,12,7
2020-04-03,8,13,4
2020-04-04,1,0,1
2020-04-05,0,0,0
2020-04-06,16,7,3
2020-04-07,16,6,4
2020-04-08,6,2,7
2020-04-09,10,4,5
2020-04-10,2,6,1
2020-04-11,1,0,0
2020-04-12,0,11,0
2020-04-13,0,4,1
2020-04-14,8,1,0
2020-04-15,3,3,3
2020-04-16,47,11,2
2020-04-17,8,11,4
2020-04-18,0,7,4
2020-04-19,0,1,0
2020-04-20,1,3,1
2020-04-21,2,18,4
2020-04-22,34,6,6
2020-04-23,17,9,3
2020-04-24,9,19,9
2020-04-25,1,0,0
2020-04-26,2,0,0
2020-04-27,13,3,5
2020-04-28,12,4,2
2020-04-29,31,14,0
2020-04-30,27,16,0
2020-05-01,28,4,0
2020-05-02,37,1,0
2020-05-03,32,0,0
2020-05-04,49,2,0
2020-05-05,51,12,0
2020-05-06,11,5,0
2020-05-07,10,11,0
2020-05-08,29,2,1
2020-05-09,14,6,0
2020-05-10,3,0,0
2020-05-11,23,2,2
2020-05-12,13,2,0
2020-05-13,34,6,2
2020-05-14,16,35,4
2020-05-15,4,4,0
2020-05-16,7,1,0
2020-05-17,0,1,0
2020-05-18,66,6,2
2020-05-19,36,5,4
2020-05-20,48,21,46
2020-05-21,31,15,1
2020-05-22,44,4,5
2020-05-23,0,3,0
2020-05-24,2,1,0
2020-05-25,31,4,0
2020-05-26,51,9,11
2020-05-27,35,2,0
2020-05-28,39,7,0
2020-05-29,15,11,1
2020-05-30,17,10,0
2020-05-31,0,0,0
2020-06-01,17,15,1
2020-06-02,35,12,0
2020-06-03,11,30,2
2020-06-04,20,9,11
2020-06-05,26,4,0
2020-06-06,0,2,0
2020-06-07,12,0,0
2020-06-08,26,12,0
2020-06-09,116,11,1
2020-06-10,14,12,1
2020-06-11,29,10,0
2020-06-12,49,11,0
2020-06-13,18,1,0
2020-06-14,1,0,0
2020-06-15,21,15,1
2020-06-16,20,4,0
2020-06-17,15,6,0
2020-06-18,44,14,0
2020-06-19,7,1,0
2020-06-20,1,0,0
2020-06-21,1,0,0
2020-06-22,25,3,0
2020-06-23,12,20,0
2020-06-24,9,12,0
2020-06-25,15,12,3
2020-06-26,10,3,1
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,7,4,1
2020-06-30,16,17,0
2020-07-01,7,13,7
2020-07-02,23,21,0
2020-07-03,17,16,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,34,12,0
2020-07-07,24,14,0
2020-07-08,18,4,3
2020-07-09,17,3,3
2020-07-10,18,19,0
2020-07-11,1,0,0
2020-07-12,0,1,0
2020-07-13,28,7,5
2020-07-14,17,13,0
2020-07-15,8,15,0
2020-07-16,35,28,0
2020-07-17,3,17,0
2020-07-18,0,2,0
2020-07-19,0,2,0
2020-07-20,12,4,0
2020-07-21,16,5,0
2020-07-22,11,7,0
2020-07-23,27,3,0
2020-07-24,19,14,0
2020-07-25,15,1,0
2020-07-26,2,0,0
2020-07-27,5,2,0
2020-07-28,6,5,0
2020-07-29,1,2,4
2020-07-30,13,9,2
2020-07-31,10,4,1
2020-08-01,1,0,0
2020-08-02,0,0,0
2020-08-03,10,4,1
2020-08-04,8,10,0
2020-08-05,17,6,0
2020-08-06,12,5,0
2020-08-07,9,21,1
2020-08-08,2,2,0
2020-08-09,1,0,0
2020-08-10,2,5,0
2020-08-11,9,0,0
2020-08-12,3,1,1
2020-08-13,12,3,7
2020-08-14,11,3,0
2020-08-15,0,1,0
2020-08-16,0,0,0
2020-08-17,11,6,11
2020-08-18,18,20,27
2020-08-19,4,10,7
2020-08-20,6,10,0
2020-08-21,6,4,0
2020-08-22,0,0,0
2020-08-23,0,0,0
2020-08-24,11,6,0
2020-08-25,1,8,1
2020-08-26,7,6,0
2020-08-27,1,4,2
2020-08-28,3,5,1
2020-08-29,0,3,0
2020-08-30,0,0,0
2020-08-31,12,5,1
2020-09-01,15,7,2
2020-09-02,1,9,0
2020-09-03,6,3,0
2020-09-04,5,1,0
2020-09-05,0,0,0
2020-09-06,0,0,0
2020-09-07,1,2,0
2020-09-08,5,13,0
2020-09-09,2,14,1
2020-09-10,7,6,6
2020-09-11,4,11,0
2020-09-12,0,0,0
2020-09-13,1,0,0
2020-09-14,5,16,0
2020-09-15,2,9,0
2020-09-16,7,1,1
2020-09-17,8,0,1
2020-09-18,5,1,0
2020-09-19,0,0,0
2020-09-20,0,0,0
2020-09-21,4,5,0
2020-09-22,16,7,0
2020-09-23,1,10,5
2020-09-24,13,0,4
2020-09-25,8,3,0
2020-09-26,0,4,0
2020-09-27,1,0,0
2020-09-28,19,1,0
2020-09-29,15,14,0
2020-09-30,9,21,0
2020-10-01,26,1,0
2020-10-02,16,20,0
2020-10-03,2,0,0
2020-10-04,0,0,0
2020-10-05,9,6,2
2020-10-06,8,2,0
2020-10-07,8,7,0
2020-10-08,18,7,3
2020-10-09,41,9,1
2020-10-10,4,0,1
2020-10-11,0,3,0
2020-10-12,50,3,0
2020-10-13,21,3,0
2020-10-14,14,4,0
2020-10-15,11,3,0
2020-10-16,17,2,0
2020-10-17,6,1,0
2020-10-18,0,3,0
2020-10-19,8,0,0
2020-10-20,13,0,2
2020-10-21,4,6,0
2020-10-22,10,2,0
2020-10-23,12,3,0
2020-10-24,0,0,0
2020-10-25,0,1,0
2020-10-26,19,3,0
2020-10-27,19,3,0
2020-10-28,9,9,0
2020-10-29,15,5,0
2020-10-30,44,2,0
2020-10-31,2,3,0
2020-11-01,0,0,0
2020-11-02,9,10,0
2020-11-03,11,12,0
2020-11-04,13,6,0
2020-11-05,5,9,0
2020-11-06,17,6,15
2020-11-07,3,0,0
2020-11-08,0,0,0
2020-11-09,11,6,2
2020-11-10,10,1,0
2020-11-11,4,17,0
2020-11-12,2,26,0
2020-11-13,6,7,0
2020-11-14,0,0,0
2020-11-15,0,0,0
2020-11-16,60,10,0
2020-11-17,14,8,0
2020-11-18,20,6,1
2020-11-19,14,8,1
2020-11-20,35,8,0
2020-11-21,17,1,1
2020-11-22,0,1,0
2020-11-23,15,10,0
2020-11-24,7,4,0
2020-11-25,6,4,0
2020-11-26,19,2,0
2020-11-27,4,0,0
2020-11-28,0,0,0
2020-11-29,0,1,0
2020-11-30,15,4,1
2020-12-01,20,6,2
2020-12-02,16,13,0
2020-12-03,27,15,0
2020-12-04,58,7,1
2020-12-05,25,0,0
2020-12-06,2,0,0
2020-12-07,6,4,3
2020-12-08,14,5,2
2020-12-09,14,4,0
2020-12-10,20,6,0
2020-12-11,18,12,0
2020-12-12,10,5,0
2020-12-13,0,0,0
2020-12-14,31,7,0
2020-12-15,12,11,0
2020-12-16,6,9,0
2020-12-17,24,21,2
2020-12-18,21,8,0
2020-12-19,0,7,0
2020-12-20,1,0,0
2020-12-21,2,0,0
2020-12-22,8,0,0
2020-12-23,3,0,0
2020-12-24,1,1,0
2020-12-25,4,0,0
2020-12-26,0,0,0
2020-12-27,1,0,0
2020-12-28,0,0,0
2020-12-29,0,0,0
2020-12-30,1,0,0
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,0,0,0
2021-01-03,2,0,0
2021-01-04,5,6,0
2021-01-05,3,19,0
2021-01-06,0,9,0
2021-01-07,5,22,0
2021-01-08,0,6,8
2021-01-09,0,5,0
2021-01-10,3,0,2
2021-01-11,8,10,3
2021-01-12,21,16,2
2021-01-13,15,15,3
2021-01-14,4,13,0
2021-01-15,2,5,0
2021-01-16,1,0,0
2021-01-17,0,0,0
2021-01-18,0,4,0
2021-01-19,0,9,0
2021-01-20,1,0,0
2021-01-21,2,15,0
2021-01-22,27,12,0
2021-01-23,1,4,0
2021-01-24,0,0,0
2021-01-25,3,18,0
2021-01-26,21,18,0
2021-01-27,7,6,0
2021-01-28,16,31,0
2021-01-29,18,27,0
2021-01-30,0,23,0
2021-01-31,0,0,0
2021-02-01,42,18,0
2021-02-02,16,24,0
2021-02-03,1,14,0
2021-02-04,8,10,0
2021-02-05,7,3,0
2021-02-06,0,2,0
2021-02-07,0,0,0
2021-02-08,2,2,0
2021-02-09,7,2,0
2021-02-10,10,0,0
2021-02-11,18,4,2
2021-02-12,9,0,0
2021-02-13,0,0,0
2021-02-14,0,0,0
2021-02-15,24,0,0
2021-02-16,28,9,0
2021-02-17,6,2,1
2021-02-18,7,22,1
2021-02-19,3,4,9
2021-02-20,0,0,0
2021-02-21,0,0,0
2021-02-22,5,2,0
2021-02-23,1,7,1
2021-02-24,5,2,1
2021-02-25,8,3,5
2021-02-26,0,3,1
2021-02-27,2,0,0
2021-02-28,3,0,0
2021-03-01,23,7,1
2021-03-02,13,5,0
2021-03-03,3,2,2
2021-03-04,26,2,0
2021-03-05,11,37,0
2021-03-06,0,4,0
2021-03-07,0,0,0
2021-03-08,3,11,0
2021-03-09,0,0,0
2021-03-10,0,1,0
2021-03-11,4,6,3
2021-03-12,6,3,0
2021-03-13,0,1,0
2021-03-14,0,0,0
2021-03-15,8,2,0
2021-03-16,7,6,0
2021-03-17,9,2,0
2021-03-18,12,2,0
2021-03-19,5,6,0
2021-03-20,3,3,0
2021-03-21,0,2,0
2021-03-22,13,7,0
2021-03-23,38,4,0
2021-03-24,4,9,0
2021-03-25,8,11,0
2021-03-26,4,11,0
2021-03-27,0,2,0
2021-03-28,0,4,0
2021-03-29,0,5,0
2021-03-30,4,2,0
2021-03-31,4,3,0
2021-04-01,7,4,0
2021-04-02,0,20,0
2021-04-03,0,1,0
2021-04-04,7,0,0
2021-04-05,0,5,0
2021-04-06,13,0,0
2021-04-07,0,6,0
2021-04-08,0,9,0
2021-04-09,0,0,0
2021-04-10,1,0,0
2021-04-11,0,0,0
2021-04-12,0,1,0
2021-04-13,0,11,0
2021-04-14,12,31,0
2021-04-15,2,6,0
2021-04-16,4,14,0
2021-04-17,0,0,0
2021-04-18,0,0,0
2021-04-19,0,9,0
2021-04-20,1,2,0
2021-04-21,20,2,0
2021-04-22,8,0,0
2021-04-23,4,2,0
2021-04-24,5,0,0
2021-04-25,0,0,0
2021-04-26,7,4,0
2021-04-27,21,3,0
2021-04-28,18,5,0
2021-04-29,27,4,1
2021-04-30,13,1,0
2021-05-01,13,1,0
2021-05-02,1,0,0
2021-05-03,7,6,0
2021-05-04,7,10,0
2021-05-05,11,7,0
2021-05-06,8,14,0
2021-05-07,4,12,0
2021-05-08,5,1,0
2021-05-09,0,0,0
2021-05-10,2,4,0
2021-05-11,16,7,0
2021-05-12,12,5,0
2021-05-13,6,6,0
2021-05-14,12,4,0
2021-05-15,9,0,0
2021-05-16,10,0,0
2021-05-17,0,7,0
2021-05-18,6,2,0
2021-05-19,11,4,1
2021-05-20,12,1,0
2021-05-21,11,9,1
2021-05-22,0,5,0
2021-05-23,0,0,0
2021-05-24,10,11,1
2021-05-25,7,3,0
2021-05-26,20,1,0
2021-05-27,14,4,0
2021-05-28,11,1,0
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,20,0,0
2021-06-01,24,5,0
2021-06-02,20,1,0
2021-06-03,10,9,0
2021-06-04,5,12,0
2021-06-05,1,0,0
2021-06-06,3,0,0
2021-06-07,22,3,0
2021-06-08,18,2,0
2021-06-09,2,11,0
2021-06-10,3,2,1
2021-06-11,1,0,0
2021-06-12,0,1,0
2021-06-13,0,1,0
2021-06-14,2,1,0
2021-06-15,3,3,0
2021-06-16,0,5,0
2021-06-17,5,6,0
2021-06-18,4,2,1
2021-06-19,0,2,0
2021-06-20,1,6,0
2021-06-21,0,9,0
2021-06-22,7,10,0
2021-06-23,9,6,3
2021-06-24,18,8,0
2021-06-25,7,3,2
2021-06-26,0,1,0
2021-06-27,0,0,0
2021-06-28,0,3,0
2021-06-29,0,1,0
2021-06-30,0,4,0
2021-07-01,1,3,0
2021-07-02,4,6,0
2021-07-03,0,4,0
2021-07-04,1,0,0
2021-07-05,2,0,0
2021-07-06,5,0,0
2021-07-07,1,2,0
2021-07-08,6,6,0
2021-07-09,0,6,0
2021-07-10,0,0,0
2021-07-11,0,0,0
2021-07-12,2,3,0
2021-07-13,21,5,0
2021-07-14,26,2,0
2021-07-15,4,6,4
2021-07-16,14,10,0
2021-07-17,7,0,0
2021-07-18,1,0,0
2021-07-19,11,13,0
2021-07-20,0,1,0
2021-07-21,0,5,0
2021-07-22,8,2,0
2021-07-23,18,4,0
2021-07-24,12,0,0
2021-07-25,0,0,0
2021-07-26,0,9,0
2021-07-27,9,9,0
2021-07-28,2,5,0
2021-07-29,5,3,2
2021-07-30,1,3,0
2021-07-31,0,1,0
2021-08-01,4,1,0
2021-08-02,2,6,0
2021-08-03,3,3,1
2021-08-04,2,4,0
2021-08-05,0,11,0
2021-08-06,0,9,0
2021-08-07,16,0,0
2021-08-08,1,1,0
2021-08-09,1,6,0
2021-08-10,9,10,0
2021-08-11,1,1,0
2021-08-12,1,4,1
2021-08-13,2,0,0
2021-08-14,0,1,0
2021-08-15,0,0,0
2021-08-16,13,3,0
2021-08-17,15,8,0
2021-08-18,0,7,0
2021-08-19,3,9,0
2021-08-20,3,4,0
2021-08-21,66,0,0
2021-08-22,0,0,0
2021-08-23,4,9,0
2021-08-24,0,6,0
2021-08-25,0,4,0
2021-08-26,0,6,0
2021-08-27,13,10,0
2021-08-28,1,1,0
2021-08-29,0,0,0
2021-08-30,28,7,0
2021-08-31,11,6,0
2021-09-01,14,13,0
2021-09-02,12,24,0
2021-09-03,6,14,0
2021-09-04,0,0,0
2021-09-05,0,0,0
2021-09-06,6,0,0
2021-09-07,2,4,0
2021-09-08,6,7,0
2021-09-09,3,6,0
2021-09-10,2,9,0
2021-09-11,0,5,0
2021-09-12,1,0,0
2021-09-13,0,8,0
2021-09-14,1,8,0
2021-09-15,2,10,0
2021-09-16,3,3,0
2021-09-17,4,25,0
2021-09-18,0,0,0
2021-09-19,0,3,0
2021-09-20,0,13,0
2021-09-21,0,9,0
2021-09-22,0,15,0
2021-09-23,2,5,0
2021-09-24,1,5,0
2021-09-25,0,0,0
2021-09-26,0,0,0
2021-09-27,4,1,1
2021-09-28,6,1,0
2021-09-29,1,13,0
2021-09-30,9,16,0
2021-10-01,2,3,0
2021-10-02,0,0,0
2021-10-03,0,0,0
2021-10-04,2,8,0
2021-10-05,2,1,0
2021-10-06,2,2,1
2021-10-07,2,6,0
2021-10-08,6,0,0
2021-10-09,0,0,0
2021-10-10,0,19,0
2021-10-11,5,17,0
2021-10-12,13,10,2
2021-10-13,0,5,0
2021-10-14,0,3,1
2021-10-15,1,3,0
2021-10-16,0,0,0
2021-10-17,1,0,0
2021-10-18,7,3,0
2021-10-19,12,2,0
2021-10-20,5,6,0
2021-10-21,0,22,0
2021-10-22,0,10,1
2021-10-23,0,0,0
2021-10-24,0,0,0
2021-10-25,1,3,0
2021-10-26,0,9,1
2021-10-27,0,2,4
2021-10-28,0,5,0
2021-10-29,0,5,0
2021-10-30,0,0,1
2021-10-31,0,8,0
2021-11-01,0,12,2
2021-11-02,0,1,0
2021-11-03,0,2,0
2021-11-04,3,0,0
2021-11-05,7,5,1
2021-11-06,0,0,0
2021-11-07,0,0,0
2021-11-08,13,3,1
2021-11-09,4,0,0
2021-11-10,2,5,0
2021-11-11,0,83,0
2021-11-12,0,1,0
2021-11-13,0,0,0
2021-11-14,0,0,0
2021-11-15,12,14,0
2021-11-16,2,17,0
2021-11-17,3,2,0
2021-11-18,1,3,0
2021-11-19,2,14,0
2021-11-20,0,1,0
2021-11-21,0,0,0
2021-11-22,10,1,0
2021-11-23,7,1,0
2021-11-24,3,2,0
2021-11-25,4,0,0
2021-11-26,0,0,0
2021-11-27,0,0,0
2021-11-28,4,0,0
2021-11-29,0,6,1
2021-11-30,14,14,0
2021-12-01,7,5,0
2021-12-02,1,0,0
2021-12-03,36,4,0
2021-12-04,0,1,0
2021-12-05,0,0,0
2021-12-06,3,0,0
2021-12-07,2,3,0
2021-12-08,3,7,0
2021-12-09,3,2,0
2021-12-10,0,5,0
2021-12-11,0,0,0
2021-12-12,0,0,0
2021-12-13,3,6,0
2021-12-14,7,3,1
2021-12-15,2,1,0
2021-12-16,0,6,0
2021-12-17,2,9,0
2021-12-18,0,2,0
2021-12-19,0,0,0
2021-12-20,4,0,0
2021-12-21,3,2,0
2021-12-22,0,0,0
2021-12-23,0,0,0
2021-12-24,0,0,0
2021-12-25,0,0,0
2021-12-26,1,0,0
2021-12-27,0,0,0
2021-12-28,0,0,0
2021-12-29,0,0,0
2021-12-30,0,0,0
2021-12-31,0,0,0
2022-01-01,0,0,0
2022-01-02,0,0,0
2022-01-03,0,7,0
2022-01-04,7,13,0
2022-01-05,0,3,0
2022-01-06,0,19,0
2022-01-07,3,7,0
2022-01-08,0,0,0
2022-01-09,0,1,0
2022-01-10,0,7,0
2022-01-11,2,10,0
2022-01-12,1,5,0
2022-01-13,1,10,0
2022-01-14,33,3,0
2022-01-15,1,0,0
2022-01-16,0,0,0
2022-01-17,1,0,0
2022-01-18,0,3,0
2022-01-19,4,4,0
2022-01-20,1,7,0
2022-01-21,1,8,1
2022-01-22,2,0,0
2022-01-23,0,0,0
2022-01-24,2,8,0
2022-01-25,2,6,0
2022-01-26,2,1,0
2022-01-27,8,1,0
2022-01-28,1,7,0
2022-01-29,1,0,0
2022-01-30,1,0,0
2022-01-31,5,6,0
2022-02-01,1,7,0
2022-02-02,0,15,0
2022-02-03,0,14,0
2022-02-04,0,3,0
2022-02-05,0,2,0
2022-02-06,1,0,0
2022-02-07,0,8,0
2022-02-08,1,5,0
2022-02-09,1,3,0
2022-02-10,3,6,0
2022-02-11,10,1,0
2022-02-12,0,0,0
2022-02-13,0,1,0
2022-02-14,1,5,0
2022-02-15,3,4,0
2022-02-16,0,4,0
2022-02-17,4,8,0
2022-02-18,2,0,0
2022-02-19,0,1,0
2022-02-20,1,0,0
2022-02-21,1,0,0
2022-02-22,2,10,0
2022-02-23,5,12,0
2022-02-24,8,3,0
