,commaai/openpilot,apolloauto/apollo,carla-simulator/carla
2018-07-05,0,4,0
2018-07-06,1,11,3
2018-07-07,0,6,0
2018-07-08,0,4,0
2018-07-09,0,18,0
2018-07-10,0,11,2
2018-07-11,0,31,0
2018-07-12,0,21,0
2018-07-13,12,24,2
2018-07-14,1,3,0
2018-07-15,0,4,4
2018-07-16,1,2,1
2018-07-17,0,17,0
2018-07-18,0,11,0
2018-07-19,0,14,3
2018-07-20,2,12,0
2018-07-21,0,4,0
2018-07-22,0,0,0
2018-07-23,0,6,2
2018-07-24,0,35,3
2018-07-25,0,7,6
2018-07-26,0,8,13
2018-07-27,0,5,14
2018-07-28,0,8,11
2018-07-29,0,1,5
2018-07-30,0,8,15
2018-07-31,0,10,1
2018-08-01,0,11,11
2018-08-02,5,10,8
2018-08-03,1,5,1
2018-08-04,0,5,0
2018-08-05,0,1,0
2018-08-06,0,13,0
2018-08-07,0,10,0
2018-08-08,0,17,0
2018-08-09,0,12,0
2018-08-10,0,6,0
2018-08-11,0,3,0
2018-08-12,0,1,1
2018-08-13,0,11,0
2018-08-14,1,10,0
2018-08-15,0,10,0
2018-08-16,0,9,0
2018-08-17,1,12,0
2018-08-18,0,10,0
2018-08-19,0,6,0
2018-08-20,5,3,10
2018-08-21,0,10,4
2018-08-22,1,22,0
2018-08-23,0,12,9
2018-08-24,1,14,6
2018-08-25,1,7,0
2018-08-26,0,0,0
2018-08-27,2,2,2
2018-08-28,1,39,0
2018-08-29,0,16,4
2018-08-30,0,9,2
2018-08-31,0,14,0
2018-09-01,1,8,0
2018-09-02,0,4,0
2018-09-03,6,4,2
2018-09-04,2,9,0
2018-09-05,1,26,1
2018-09-06,1,47,10
2018-09-07,2,22,1
2018-09-08,1,9,0
2018-09-09,1,1,0
2018-09-10,0,16,2
2018-09-11,0,25,0
2018-09-12,0,32,0
2018-09-13,0,62,0
2018-09-14,0,63,0
2018-09-15,0,10,0
2018-09-16,0,8,0
2018-09-17,1,46,6
2018-09-18,1,61,3
2018-09-19,0,63,0
2018-09-20,2,40,0
2018-09-21,0,15,0
2018-09-22,2,12,0
2018-09-23,0,6,0
2018-09-24,0,10,0
2018-09-25,5,90,0
2018-09-26,0,98,0
2018-09-27,2,116,0
2018-09-28,0,42,0
2018-09-29,0,20,0
2018-09-30,0,8,2
2018-10-01,1,15,1
2018-10-02,0,23,40
2018-10-03,0,33,1
2018-10-04,0,32,0
2018-10-05,0,32,3
2018-10-06,0,33,1
2018-10-07,0,6,10
2018-10-08,1,13,8
2018-10-09,0,40,8
2018-10-10,0,60,14
2018-10-11,0,44,15
2018-10-12,0,51,3
2018-10-13,1,17,6
2018-10-14,1,9,1
2018-10-15,0,20,24
2018-10-16,0,41,6
2018-10-17,0,48,32
2018-10-18,0,5,4
2018-10-19,0,0,23
2018-10-20,1,0,8
2018-10-21,5,0,13
2018-10-22,1,0,10
2018-10-23,1,0,16
2018-10-24,2,0,6
2018-10-25,0,0,7
2018-10-26,1,0,15
2018-10-27,0,0,1
2018-10-28,0,0,5
2018-10-29,0,0,6
2018-10-30,2,0,2
2018-10-31,1,0,16
2018-11-01,0,0,3
2018-11-02,0,0,1
2018-11-03,0,0,2
2018-11-04,0,0,0
2018-11-05,0,0,3
2018-11-06,2,0,0
2018-11-07,0,0,3
2018-11-08,1,0,6
2018-11-09,2,0,5
2018-11-10,0,0,0
2018-11-11,0,0,0
2018-11-12,0,0,4
2018-11-13,1,0,1
2018-11-14,0,0,5
2018-11-15,0,0,27
2018-11-16,0,0,1
2018-11-17,8,0,0
2018-11-18,0,0,0
2018-11-19,2,0,2
2018-11-20,1,0,1
2018-11-21,2,0,0
2018-11-22,0,0,0
2018-11-23,0,0,0
2018-11-24,0,0,0
2018-11-25,0,0,0
2018-11-26,0,0,0
2018-11-27,0,0,1
2018-11-28,0,0,4
2018-11-29,0,0,1
2018-11-30,1,0,3
2018-12-01,0,0,0
2018-12-02,0,0,0
2018-12-03,0,0,3
2018-12-04,1,0,2
2018-12-05,0,0,4
2018-12-06,0,0,0
2018-12-07,1,0,0
2018-12-08,2,0,0
2018-12-09,0,0,0
2018-12-10,5,0,4
2018-12-11,0,0,1
2018-12-12,0,0,0
2018-12-13,1,1619,20
2018-12-14,0,16,0
2018-12-15,0,32,5
2018-12-16,0,3,5
2018-12-17,1,10,0
2018-12-18,0,28,2
2018-12-19,0,16,11
2018-12-20,0,29,4
2018-12-21,4,16,13
2018-12-22,0,5,1
2018-12-23,0,2,0
2018-12-24,0,0,0
2018-12-25,1,3,0
2018-12-26,0,2,1
2018-12-27,1,3,0
2018-12-28,0,2,0
2018-12-29,1,3,0
2018-12-30,0,3,0
2018-12-31,1,0,1
2019-01-01,0,0,0
2019-01-02,0,9,0
2019-01-03,1,17,0
2019-01-04,0,20,0
2019-01-05,0,8,0
2019-01-06,0,4,0
2019-01-07,0,23,0
2019-01-08,0,6,2
2019-01-09,1,18,5
2019-01-10,0,9,6
2019-01-11,0,3,7
2019-01-12,1,5,0
2019-01-13,0,0,0
2019-01-14,1,17,3
2019-01-15,0,23,7
2019-01-16,0,25,8
2019-01-17,0,20,8
2019-01-18,0,10,2
2019-01-19,0,18,0
2019-01-20,0,2,0
2019-01-21,0,4,8
2019-01-22,1,12,20
2019-01-23,5,20,11
2019-01-24,0,20,15
2019-01-25,0,12,9
2019-01-26,2,2,21
2019-01-27,0,3,4
2019-01-28,0,5,9
2019-01-29,1,6,29
2019-01-30,0,9,32
2019-01-31,0,11,15
2019-02-01,0,11,4
2019-02-02,0,8,0
2019-02-03,0,0,0
2019-02-04,0,3,5
2019-02-05,1,7,5
2019-02-06,0,10,23
2019-02-07,1,10,12
2019-02-08,0,14,5
2019-02-09,0,8,0
2019-02-10,0,0,0
2019-02-11,0,7,5
2019-02-12,0,15,17
2019-02-13,1,25,1
2019-02-14,1,21,1
2019-02-15,0,21,3
2019-02-16,0,6,0
2019-02-17,0,1,0
2019-02-18,0,2,4
2019-02-19,0,3,2
2019-02-20,7,6,3
2019-02-21,1,21,9
2019-02-22,2,25,9
2019-02-23,0,6,0
2019-02-24,0,1,1
2019-02-25,1,11,8
2019-02-26,0,15,9
2019-02-27,0,38,39
2019-02-28,1,31,61
2019-03-01,0,36,28
2019-03-02,0,20,0
2019-03-03,0,0,0
2019-03-04,0,14,1
2019-03-05,0,21,0
2019-03-06,0,21,0
2019-03-07,0,28,2
2019-03-08,0,38,0
2019-03-09,1,6,0
2019-03-10,1,11,3
2019-03-11,3,16,10
2019-03-12,0,23,5
2019-03-13,0,45,12
2019-03-14,0,14,17
2019-03-15,0,31,25
2019-03-16,0,5,0
2019-03-17,0,2,2
2019-03-18,0,20,20
2019-03-19,0,8,55
2019-03-20,0,47,18
2019-03-21,0,43,19
2019-03-22,0,20,20
2019-03-23,0,10,4
2019-03-24,0,0,1
2019-03-25,0,13,21
2019-03-26,7,30,23
2019-03-27,1,22,11
2019-03-28,0,28,18
2019-03-29,1,29,19
2019-03-30,0,13,33
2019-03-31,0,22,0
2019-04-01,0,15,9
2019-04-02,1,16,5
2019-04-03,0,95,2
2019-04-04,0,45,10
2019-04-05,3,32,1
2019-04-06,1,8,0
2019-04-07,0,2,0
2019-04-08,0,16,6
2019-04-09,1,24,0
2019-04-10,1,28,2
2019-04-11,0,37,2
2019-04-12,2,26,17
2019-04-13,1,12,0
2019-04-14,0,5,0
2019-04-15,0,16,0
2019-04-16,2,6,5
2019-04-17,2,30,1
2019-04-18,0,28,0
2019-04-19,0,25,0
2019-04-20,0,7,0
2019-04-21,0,1,0
2019-04-22,0,35,0
2019-04-23,5,21,1
2019-04-24,0,45,4
2019-04-25,0,38,0
2019-04-26,0,19,11
2019-04-27,0,10,0
2019-04-28,0,1,0
2019-04-29,0,6,10
2019-04-30,0,27,7
2019-05-01,0,24,0
2019-05-02,1,12,16
2019-05-03,0,11,17
2019-05-04,0,8,0
2019-05-05,2,4,0
2019-05-06,3,15,1
2019-05-07,1,31,4
2019-05-08,1,21,5
2019-05-09,1,39,1
2019-05-10,0,26,1
2019-05-11,0,6,0
2019-05-12,0,0,0
2019-05-13,0,1,0
2019-05-14,1,21,1
2019-05-15,0,17,0
2019-05-16,5,34,1
2019-05-17,0,28,0
2019-05-18,0,6,0
2019-05-19,0,2,0
2019-05-20,0,28,1
2019-05-21,0,21,3
2019-05-22,1,30,3
2019-05-23,0,30,4
2019-05-24,0,36,1
2019-05-25,0,8,0
2019-05-26,2,1,0
2019-05-27,0,7,1
2019-05-28,1,14,2
2019-05-29,1,17,23
2019-05-30,0,28,0
2019-05-31,4,23,1
2019-06-01,1,12,0
2019-06-02,2,3,0
2019-06-03,0,24,1
2019-06-04,0,25,3
2019-06-05,1,31,1
2019-06-06,8,25,0
2019-06-07,1,33,0
2019-06-08,1,6,0
2019-06-09,0,0,0
2019-06-10,0,14,0
2019-06-11,0,27,1
2019-06-12,0,26,2
2019-06-13,0,23,18
2019-06-14,1,18,0
2019-06-15,0,1,0
2019-06-16,0,2,0
2019-06-17,1,33,3
2019-06-18,0,20,3
2019-06-19,0,31,2
2019-06-20,1,19,7
2019-06-21,0,23,2
2019-06-22,0,3,0
2019-06-23,0,0,0
2019-06-24,0,28,0
2019-06-25,2,29,1
2019-06-26,1,25,3
2019-06-27,0,28,8
2019-06-28,11,24,1
2019-06-29,0,12,0
2019-06-30,0,4,0
2019-07-01,3,5,2
2019-07-02,2,4,0
2019-07-03,2,7,3
2019-07-04,0,2,5
2019-07-05,0,2,19
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,1,27,81
2019-07-09,1,3,109
2019-07-10,0,16,2
2019-07-11,0,7,4
2019-07-12,3,7,9
2019-07-13,1,0,0
2019-07-14,0,0,0
2019-07-15,1,5,0
2019-07-16,0,2,0
2019-07-17,0,12,0
2019-07-18,0,13,1
2019-07-19,0,6,1
2019-07-20,0,1,0
2019-07-21,1,0,0
2019-07-22,7,7,1
2019-07-23,0,20,0
2019-07-24,1,8,0
2019-07-25,1,0,0
2019-07-26,0,6,1
2019-07-27,0,2,0
2019-07-28,0,1,0
2019-07-29,1,8,0
2019-07-30,7,11,2
2019-07-31,0,6,0
2019-08-01,5,17,2
2019-08-02,0,19,4
2019-08-03,0,2,0
2019-08-04,0,0,0
2019-08-05,0,6,0
2019-08-06,0,9,0
2019-08-07,0,11,0
2019-08-08,0,12,1
2019-08-09,0,10,0
2019-08-10,0,0,0
2019-08-11,0,0,0
2019-08-12,0,5,0
2019-08-13,7,4,0
2019-08-14,0,58,1
2019-08-15,0,22,0
2019-08-16,0,22,2
2019-08-17,0,1,0
2019-08-18,0,0,0
2019-08-19,0,16,0
2019-08-20,0,5,0
2019-08-21,0,17,0
2019-08-22,1,18,0
2019-08-23,0,12,0
2019-08-24,0,4,0
2019-08-25,0,5,0
2019-08-26,0,14,0
2019-08-27,1,12,0
2019-08-28,1,11,0
2019-08-29,0,3,0
2019-08-30,0,11,0
2019-08-31,0,0,0
2019-09-01,0,0,0
2019-09-02,0,0,2
2019-09-03,0,11,0
