,NativeScript/NativeScript,facebook/react-native,flutter/flutter
2020-12-15,0,8,24
2020-12-16,1,6,30
2020-12-17,0,6,16
2020-12-18,0,8,8
2020-12-19,3,8,0
2020-12-20,0,1,0
2020-12-21,0,3,8
2020-12-22,0,9,14
2020-12-23,1,10,13
2020-12-24,0,5,11
2020-12-25,0,0,2
2020-12-26,0,0,3
2020-12-27,0,1,0
2020-12-28,10,2,7
2020-12-29,0,12,8
2020-12-30,3,2,10
2020-12-31,0,1,5
2021-01-01,0,2,0
2021-01-02,1,0,0
2021-01-03,2,0,1
2021-01-04,0,10,5
2021-01-05,2,4,20
2021-01-06,0,4,22
2021-01-07,0,5,29
2021-01-08,0,12,26
2021-01-09,0,3,5
2021-01-10,0,4,0
2021-01-11,0,7,14
2021-01-12,0,6,17
2021-01-13,1,2,23
2021-01-14,3,6,25
2021-01-15,0,10,32
2021-01-16,0,5,11
2021-01-17,2,2,3
2021-01-18,0,0,1
2021-01-19,0,5,13
2021-01-20,1,3,27
2021-01-21,0,5,16
2021-01-22,3,10,17
2021-01-23,2,13,18
2021-01-24,0,0,3
2021-01-25,0,6,18
2021-01-26,4,12,26
2021-01-27,0,9,29
2021-01-28,2,32,27
2021-01-29,13,4,26
