,rescript-lang/rescript-compiler,microsoft/typescript,google/closure-compiler
2022-09-20,2,9,11
2022-09-21,7,8,8
2022-09-22,1,6,13
2022-09-23,3,5,3
2022-09-24,14,1,0
2022-09-25,0,1,0
2022-09-26,0,5,3
2022-09-27,0,2,1
2022-09-28,2,5,2
2022-09-29,10,6,3
2022-09-30,0,3,2
2022-10-01,4,1,1
2022-10-02,0,0,0
2022-10-03,17,4,3
2022-10-04,0,5,1
2022-10-05,13,3,1
2022-10-06,1,2,5
2022-10-07,0,5,2
2022-10-08,0,1,0
2022-10-09,1,0,0
2022-10-10,0,3,4
2022-10-11,2,2,2
2022-10-12,1,1,0
2022-10-13,1,8,6
2022-10-14,0,3,4
2022-10-15,1,1,0
2022-10-16,6,2,0
2022-10-17,0,3,1
2022-10-18,0,5,2
2022-10-19,1,6,5
2022-10-20,0,3,3
2022-10-21,0,5,2
2022-10-22,0,2,1
2022-10-23,0,1,0
2022-10-24,4,2,2
2022-10-25,0,4,1
2022-10-26,1,4,2
2022-10-27,1,2,0
2022-10-28,9,5,0
2022-10-29,1,1,0
2022-10-30,1,1,0
2022-10-31,9,5,0
2022-11-01,2,2,2
2022-11-02,0,7,1
2022-11-03,3,3,1
2022-11-04,2,1,2
2022-11-05,1,2,0
2022-11-06,0,1,0
2022-11-07,5,44,4
2022-11-08,1,8,1
2022-11-09,4,7,1
2022-11-10,3,3,4
2022-11-11,0,5,4
2022-11-12,19,1,0
2022-11-13,1,0,0
2022-11-14,6,1,2
2022-11-15,1,8,5
2022-11-16,10,3,3
2022-11-17,4,4,7
2022-11-18,1,3,2
2022-11-19,3,1,1
2022-11-20,20,2,0
2022-11-21,2,1,2
2022-11-22,0,2,2
2022-11-23,3,1,4
2022-11-24,7,1,0
2022-11-25,5,0,0
2022-11-26,1,0,0
2022-11-27,2,0,0
2022-11-28,5,3,2
2022-11-29,0,6,1
2022-11-30,1,4,1
2022-12-01,1,3,2
2022-12-02,1,3,1
2022-12-03,0,1,0
2022-12-04,0,1,0
2022-12-05,0,7,3
2022-12-06,2,10,0
2022-12-07,3,9,2
2022-12-08,8,4,1
2022-12-09,2,12,3
2022-12-10,0,1,0
2022-12-11,0,1,0
2022-12-12,2,6,3
2022-12-13,2,9,4
2022-12-14,0,2,3
2022-12-15,1,6,3
2022-12-16,0,6,1
2022-12-17,0,2,0
2022-12-18,0,1,0
2022-12-19,0,3,1
2022-12-20,1,7,1
2022-12-21,0,1,1
2022-12-22,1,1,1
2022-12-23,0,0,1
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,1,0,0
2022-12-27,0,1,1
2022-12-28,0,2,1
2022-12-29,1,0,0
2022-12-30,0,4,1
2022-12-31,0,1,0
2023-01-01,1,0,0
2023-01-02,0,1,1
2023-01-03,0,3,1
2023-01-04,0,1,4
2023-01-05,1,5,0
2023-01-06,2,6,1
2023-01-07,1,2,0
2023-01-08,1,1,0
2023-01-09,0,8,1
2023-01-10,2,9,1
2023-01-11,0,7,1
2023-01-12,1,4,3
2023-01-13,0,8,0
2023-01-14,2,1,1
2023-01-15,0,1,0
2023-01-16,0,1,0
2023-01-17,1,7,0
2023-01-18,1,4,1
2023-01-19,0,8,3
2023-01-20,0,19,1
2023-01-21,1,5,1
2023-01-22,0,1,0
2023-01-23,0,5,1
2023-01-24,0,3,2
2023-01-25,1,7,0
2023-01-26,0,2,3
2023-01-27,0,6,2
2023-01-28,1,1,0
2023-01-29,0,1,0
2023-01-30,1,3,0
2023-01-31,0,5,3
2023-02-01,3,11,0
2023-02-02,0,11,1
2023-02-03,1,7,1
2023-02-04,2,2,0
2023-02-05,0,1,0
2023-02-06,4,8,1
2023-02-07,0,4,1
2023-02-08,4,2,2
2023-02-09,1,8,2
2023-02-10,1,4,1
2023-02-11,0,1,2
2023-02-12,0,0,0
2023-02-13,0,5,1
2023-02-14,0,10,2
2023-02-15,0,4,0
2023-02-16,1,10,2
2023-02-17,0,5,2
2023-02-18,0,5,0
2023-02-19,2,0,0
2023-02-20,0,1,0
2023-02-21,0,8,2
2023-02-22,0,7,1
2023-02-23,0,4,3
2023-02-24,1,3,3
2023-02-25,0,0,1
2023-02-26,0,1,0
2023-02-27,0,5,2
2023-02-28,0,6,1
2023-03-01,1,19,0
2023-03-02,1,4,1
2023-03-03,7,5,1
2023-03-04,0,2,1
2023-03-05,4,0,0
2023-03-06,3,5,4
2023-03-07,0,20,1
2023-03-08,2,9,1
2023-03-09,3,6,4
2023-03-10,3,5,4
2023-03-11,1,1,0
2023-03-12,2,1,0
2023-03-13,0,2,2
2023-03-14,1,10,3
2023-03-15,2,8,0
2023-03-16,11,8,2
2023-03-17,7,7,2
2023-03-18,0,0,3
2023-03-19,0,2,0
2023-03-20,4,22,2
2023-03-21,6,14,4
2023-03-22,1,7,1
2023-03-23,0,12,3
2023-03-24,8,3,4
2023-03-25,0,1,2
2023-03-26,2,1,0
2023-03-27,1,6,1
2023-03-28,1,5,2
2023-03-29,1,4,2
2023-03-30,0,3,0
2023-03-31,0,6,0
2023-04-01,0,2,0
2023-04-02,0,1,0
2023-04-03,3,3,2
2023-04-04,0,2,4
2023-04-05,0,5,0
2023-04-06,1,6,2
2023-04-07,0,3,2
2023-04-08,1,1,0
2023-04-09,2,0,0
2023-04-10,4,6,1
2023-04-11,8,5,1
2023-04-12,5,5,0
2023-04-13,23,5,1
2023-04-14,4,6,1
2023-04-15,10,3,0
2023-04-16,4,2,0
2023-04-17,2,8,1
2023-04-18,3,8,2
2023-04-19,2,4,1
2023-04-20,2,10,1
2023-04-21,1,4,2
2023-04-22,1,1,1
2023-04-23,2,1,0
2023-04-24,2,2,0
2023-04-25,0,6,1
2023-04-26,3,6,0
2023-04-27,6,4,2
2023-04-28,0,2,2
2023-04-29,5,1,0
2023-04-30,5,1,0
2023-05-01,1,1,3
2023-05-02,2,8,0
2023-05-03,1,2,0
2023-05-04,1,2,1
2023-05-05,4,5,0
2023-05-06,0,1,0
2023-05-07,0,0,0
2023-05-08,0,2,1
2023-05-09,1,8,4
2023-05-10,1,1,2
2023-05-11,0,3,7
2023-05-12,17,4,1
2023-05-13,0,2,0
2023-05-14,2,1,0
2023-05-15,0,4,5
2023-05-16,4,3,2
2023-05-17,0,3,0
2023-05-18,1,4,2
2023-05-19,0,3,1
2023-05-20,0,4,0
2023-05-21,0,1,0
2023-05-22,4,4,3
2023-05-23,1,1,1
2023-05-24,1,11,5
2023-05-25,0,4,4
2023-05-26,0,7,0
2023-05-27,4,0,0
2023-05-28,2,0,0
2023-05-29,0,0,0
2023-05-30,0,5,3
2023-05-31,0,1,3
2023-06-01,3,5,6
2023-06-02,0,3,7
2023-06-03,2,1,1
2023-06-04,0,0,0
2023-06-05,0,5,8
2023-06-06,0,5,8
2023-06-07,2,2,5
2023-06-08,4,6,5
2023-06-09,2,4,5
2023-06-10,0,1,1
2023-06-11,0,1,0
2023-06-12,0,5,2
2023-06-13,0,6,9
2023-06-14,0,2,1
2023-06-15,0,1,2
2023-06-16,0,2,1
2023-06-17,0,1,0
2023-06-18,0,0,0
2023-06-19,0,0,0
2023-06-20,0,5,3
2023-06-21,3,3,6
2023-06-22,2,4,3
2023-06-23,0,5,3
2023-06-24,0,1,0
2023-06-25,1,1,0
2023-06-26,1,9,6
2023-06-27,1,5,3
2023-06-28,2,2,4
2023-06-29,1,4,2
2023-06-30,0,6,3
2023-07-01,0,2,0
2023-07-02,0,0,0
2023-07-03,0,3,0
2023-07-04,1,1,0
2023-07-05,0,2,1
2023-07-06,0,4,1
2023-07-07,1,3,1
